* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: May 22, 2024 11:34:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Splendor with Phantasm
* Measurement: L Intuaura View Splendor DS
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.147 167.5522
0.368865 79.139 167.5423
0.371538 79.127 167.5273
0.374230 79.113 167.5083
0.376942 79.097 167.4864
0.379673 79.079 167.4622
0.382424 79.061 167.4361
0.385196 79.042 167.4083
0.387987 79.023 167.3792
0.390798 79.004 167.3486
0.393630 78.984 167.3168
0.396483 78.964 167.2836
0.399356 78.944 167.2491
0.402250 78.924 167.2134
0.405165 78.904 167.1763
0.408101 78.884 167.1378
0.411058 78.864 167.0981
0.414037 78.843 167.0570
0.417037 78.822 167.0145
0.420059 78.801 166.9707
0.423103 78.780 166.9255
0.426169 78.759 166.8789
0.429257 78.738 166.8310
0.432368 78.716 166.7816
0.435501 78.695 166.7309
0.438656 78.673 166.6787
0.441835 78.651 166.6251
0.445037 78.629 166.5700
0.448262 78.606 166.5136
0.451510 78.584 166.4557
0.454782 78.561 166.3963
0.458077 78.538 166.3355
0.461397 78.515 166.2733
0.464740 78.492 166.2096
0.468108 78.469 166.1444
0.471500 78.446 166.0778
0.474917 78.422 166.0097
0.478358 78.398 165.9402
0.481825 78.374 165.8692
0.485316 78.350 165.7967
0.488833 78.326 165.7228
0.492375 78.301 165.6474
0.495943 78.277 165.5706
0.499537 78.252 165.4923
0.503157 78.227 165.4126
0.506803 78.201 165.3315
0.510475 78.176 165.2489
0.514175 78.150 165.1649
0.517900 78.125 165.0796
0.521653 78.099 164.9928
0.525434 78.073 164.9047
0.529241 78.046 164.8152
0.533076 78.020 164.7244
0.536939 77.993 164.6323
0.540830 77.966 164.5389
0.544749 77.939 164.4442
0.548696 77.912 164.3483
0.552673 77.884 164.2511
0.556677 77.856 164.1528
0.560711 77.829 164.0533
0.564774 77.801 163.9528
0.568867 77.772 163.8511
0.572989 77.744 163.7485
0.577141 77.715 163.6448
0.581324 77.686 163.5403
0.585536 77.657 163.4348
0.589779 77.628 163.3285
0.594053 77.598 163.2215
0.598358 77.568 163.1137
0.602694 77.538 163.0054
0.607061 77.508 162.8964
0.611460 77.478 162.7870
0.615891 77.447 162.6772
0.620354 77.416 162.5671
0.624849 77.385 162.4568
0.629377 77.354 162.3463
0.633938 77.322 162.2359
0.638532 77.290 162.1255
0.643159 77.258 162.0154
0.647819 77.226 161.9055
0.652514 77.194 161.7962
0.657242 77.161 161.6875
0.662005 77.128 161.5795
0.666802 77.095 161.4725
0.671634 77.062 161.3665
0.676501 77.028 161.2618
0.681403 76.994 161.1585
0.686341 76.960 161.0569
0.691314 76.925 160.9571
0.696324 76.890 160.8593
0.701370 76.855 160.7637
0.706452 76.819 160.6705
0.711571 76.782 160.5799
0.716728 76.744 160.4918
0.721921 76.704 160.4062
0.727153 76.661 160.3230
0.732422 76.614 160.2416
0.737729 76.563 160.1615
0.743075 76.507 160.0821
0.748460 76.448 160.0030
0.753883 76.386 159.9236
0.759346 76.322 159.8437
0.764849 76.255 159.7632
0.770391 76.187 159.6820
0.775974 76.116 159.6002
0.781597 76.044 159.5176
0.787261 75.971 159.4344
0.792966 75.896 159.3506
0.798712 75.819 159.2662
0.804500 75.740 159.1814
0.810329 75.660 159.0962
0.816201 75.579 159.0106
0.822116 75.496 158.9248
0.828073 75.411 158.8389
0.834074 75.325 158.7530
0.840118 75.237 158.6672
0.846206 75.148 158.5816
0.852338 75.057 158.4963
0.858514 74.964 158.4116
0.864735 74.870 158.3276
0.871001 74.775 158.2444
0.877313 74.678 158.1623
0.883670 74.579 158.0815
0.890074 74.479 158.0022
0.896524 74.377 157.9246
0.903020 74.274 157.8491
0.909564 74.170 157.7759
0.916155 74.064 157.7054
0.922794 73.956 157.6378
0.929481 73.847 157.5737
0.936216 73.737 157.5133
0.943000 73.625 157.4571
0.949834 73.512 157.4057
0.956717 73.398 157.3595
0.963649 73.282 157.3192
0.970632 73.165 157.2852
0.977666 73.047 157.2584
0.984750 72.928 157.2395
0.991886 72.807 157.2292
0.999074 72.685 157.2284
1.006314 72.562 157.2380
1.013606 72.438 157.2591
1.020951 72.313 157.2928
1.028349 72.187 157.3403
1.035801 72.060 157.4028
1.043307 71.932 157.4819
1.050867 71.802 157.5790
1.058482 71.672 157.6957
1.066152 71.541 157.8340
1.073878 71.409 157.9957
1.081660 71.275 158.1828
1.089498 71.139 158.3978
1.097393 71.000 158.6428
1.105345 70.856 158.9204
1.113355 70.708 159.2333
1.121423 70.553 159.5843
1.129549 70.392 159.9762
1.137734 70.225 160.4121
1.145979 70.050 160.8956
1.154283 69.869 161.4301
1.162647 69.681 162.0196
1.171072 69.487 162.6685
1.179558 69.288 163.3814
1.188106 69.083 164.1636
1.196715 68.874 165.0207
1.205387 68.661 165.9588
1.214122 68.444 166.9846
1.222920 68.224 168.1054
1.231782 68.003 169.3289
1.240708 67.780 170.6633
1.249699 67.555 172.1175
1.258754 67.331 173.7006
1.267876 67.108 175.4220
1.277063 66.886 177.2909
1.286318 66.667 179.3164
1.295639 66.451 -178.4934
1.305027 66.240 -176.1315
1.314484 66.033 -173.5933
1.324009 65.833 -170.8767
1.333604 65.641 -167.9836
1.343268 65.457 -164.9204
1.353002 65.283 -161.6991
1.362806 65.120 -158.3374
1.372681 64.969 -154.8592
1.382628 64.832 -151.2939
1.392647 64.711 -147.6754
1.402739 64.606 -144.0403
1.412904 64.519 -140.4259
1.423142 64.452 -136.8683
1.433455 64.407 -133.3995
1.443843 64.386 -130.0465
1.454305 64.389 -126.8299
1.464844 64.418 -123.7641
1.475459 64.475 -120.8577
1.486150 64.559 -118.1151
1.496920 64.672 -115.5381
1.507767 64.813 -113.1260
1.518693 64.980 -110.8762
1.529698 65.174 -108.7845
1.540783 65.392 -106.8450
1.551948 65.634 -105.0508
1.563194 65.898 -103.3944
1.574521 66.182 -101.8677
1.585931 66.485 -100.4625
1.597423 66.805 -99.1705
1.608999 67.140 -97.9839
1.620658 67.488 -96.8949
1.632402 67.848 -95.8965
1.644232 68.217 -94.9818
1.656146 68.594 -94.1446
1.668147 68.976 -93.3788
1.680235 69.361 -92.6793
1.692411 69.747 -92.0409
1.704675 70.131 -91.4592
1.717028 70.511 -90.9299
1.729470 70.885 -90.4492
1.742003 71.251 -90.0137
1.754626 71.605 -89.6202
1.767341 71.947 -89.2661
1.780147 72.273 -88.9486
1.793047 72.584 -88.6658
1.806040 72.877 -88.4160
1.819128 73.153 -88.1979
1.832310 73.414 -88.0105
1.845587 73.660 -87.8530
1.858961 73.895 -87.7247
1.872432 74.119 -87.6243
1.886001 74.334 -87.5504
1.899667 74.542 -87.5015
1.913433 74.743 -87.4756
1.927299 74.936 -87.4710
1.941265 75.124 -87.4858
1.955332 75.306 -87.5182
1.969501 75.482 -87.5665
1.983773 75.654 -87.6291
1.998148 75.820 -87.7045
2.012627 75.982 -87.7912
2.027212 76.140 -87.8878
2.041902 76.294 -87.9931
2.056698 76.445 -88.1058
2.071602 76.593 -88.2247
2.086614 76.739 -88.3487
2.101734 76.883 -88.4770
2.116964 77.025 -88.6087
2.132304 77.166 -88.7431
2.147756 77.306 -88.8799
2.163320 77.445 -89.0190
2.178996 77.583 -89.1611
2.194786 77.720 -89.3071
2.210690 77.855 -89.4583
2.226710 77.986 -89.6161
2.242845 78.115 -89.7815
2.259098 78.240 -89.9547
2.275468 78.361 -90.1357
2.291957 78.479 -90.3239
2.308566 78.593 -90.5185
2.325295 78.703 -90.7185
2.342145 78.810 -90.9229
2.359117 78.914 -91.1307
2.376212 79.015 -91.3406
2.393431 79.113 -91.5517
2.410775 79.209 -91.7628
2.428244 79.303 -91.9728
2.445840 79.395 -92.1808
2.463564 79.486 -92.3857
2.481416 79.575 -92.5866
2.499397 79.664 -92.7830
2.517509 79.751 -92.9743
2.535752 79.838 -93.1606
2.554127 79.923 -93.3423
2.572635 80.007 -93.5204
2.591277 80.090 -93.6960
2.610055 80.170 -93.8701
2.628968 80.249 -94.0436
2.648019 80.325 -94.2167
2.667208 80.398 -94.3893
2.686535 80.470 -94.5612
2.706003 80.539 -94.7318
2.725612 80.607 -94.9008
2.745363 80.672 -95.0673
2.765257 80.736 -95.2307
2.785295 80.799 -95.3904
2.805478 80.861 -95.5455
2.825808 80.922 -95.6955
2.846285 80.983 -95.8395
2.866910 81.042 -95.9772
2.887685 81.102 -96.1079
2.908611 81.161 -96.2316
2.929688 81.219 -96.3482
2.950917 81.277 -96.4581
2.972301 81.334 -96.5618
2.993839 81.389 -96.6595
3.015534 81.444 -96.7518
3.037386 81.497 -96.8388
3.059396 81.549 -96.9207
3.081565 81.600 -96.9977
3.103896 81.651 -97.0698
3.126388 81.701 -97.1369
3.149043 81.750 -97.1992
3.171862 81.800 -97.2566
3.194847 81.849 -97.3090
3.217998 81.899 -97.3562
3.241317 81.949 -97.3982
3.264805 81.999 -97.4345
3.288463 82.050 -97.4650
3.312293 82.101 -97.4892
3.336295 82.152 -97.5070
3.360471 82.204 -97.5183
3.384822 82.256 -97.5235
3.409350 82.307 -97.5231
3.434056 82.359 -97.5179
3.458940 82.411 -97.5087
3.484005 82.463 -97.4965
3.509252 82.516 -97.4823
3.534681 82.569 -97.4670
3.560295 82.623 -97.4515
3.586094 82.677 -97.4367
3.612081 82.732 -97.4229
3.638255 82.788 -97.4103
3.664620 82.844 -97.3989
3.691175 82.902 -97.3881
3.717923 82.960 -97.3777
3.744864 83.019 -97.3676
3.772001 83.079 -97.3578
3.799335 83.139 -97.3491
3.826866 83.200 -97.3419
3.854597 83.262 -97.3373
3.882529 83.324 -97.3361
3.910664 83.386 -97.3392
3.939002 83.449 -97.3475
3.967546 83.512 -97.3616
3.996296 83.576 -97.3819
4.025255 83.639 -97.4087
4.054423 83.703 -97.4418
4.083804 83.768 -97.4810
4.113396 83.833 -97.5260
4.143204 83.898 -97.5768
4.173227 83.963 -97.6334
4.203468 84.029 -97.6959
4.233928 84.094 -97.7644
4.264609 84.160 -97.8394
4.295512 84.225 -97.9210
4.326639 84.290 -98.0096
4.357992 84.354 -98.1055
4.389572 84.418 -98.2088
4.421380 84.482 -98.3197
4.453419 84.545 -98.4382
4.485691 84.607 -98.5640
4.518196 84.669 -98.6967
4.550936 84.731 -98.8359
4.583914 84.792 -98.9809
4.617131 84.852 -99.1310
4.650589 84.912 -99.2859
4.684289 84.971 -99.4451
4.718233 85.029 -99.6082
4.752424 85.087 -99.7753
4.786862 85.143 -99.9465
4.821549 85.198 -100.1219
4.856488 85.253 -100.3014
4.891680 85.307 -100.4846
4.927127 85.359 -100.6711
4.962831 85.411 -100.8600
4.998794 85.463 -101.0507
5.035017 85.513 -101.2424
5.071503 85.563 -101.4346
5.108253 85.613 -101.6268
5.145270 85.661 -101.8190
5.182555 85.709 -102.0113
5.220110 85.756 -102.2036
5.257937 85.803 -102.3961
5.296038 85.849 -102.5884
5.334415 85.894 -102.7805
5.373071 85.940 -102.9720
5.412006 85.985 -103.1624
5.451224 86.030 -103.3516
5.490725 86.075 -103.5392
5.530514 86.119 -103.7254
5.570590 86.164 -103.9100
5.610957 86.209 -104.0934
5.651616 86.254 -104.2759
5.692570 86.299 -104.4578
5.733821 86.344 -104.6396
5.775370 86.390 -104.8214
5.817221 86.436 -105.0035
5.859375 86.482 -105.1859
5.901834 86.529 -105.3689
5.944602 86.577 -105.5524
5.987679 86.625 -105.7369
6.031068 86.674 -105.9229
6.074771 86.723 -106.1111
6.118792 86.773 -106.3021
6.163131 86.823 -106.4965
6.207792 86.874 -106.6949
6.252776 86.925 -106.8974
6.298086 86.977 -107.1041
6.343725 87.030 -107.3153
6.389694 87.083 -107.5311
6.435996 87.137 -107.7519
6.482634 87.191 -107.9780
6.529610 87.245 -108.2097
6.576926 87.299 -108.4475
