* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: May 22, 2024 1:10:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Intuaura View Splendor II R
* Measurement: R Intuaura View Splendor II
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.351 157.7096
0.368865 83.345 157.6859
0.371538 83.336 157.6504
0.374230 83.325 157.6057
0.376942 83.312 157.5542
0.379673 83.299 157.4977
0.382424 83.285 157.4371
0.385196 83.270 157.3733
0.387987 83.255 157.3065
0.390798 83.240 157.2370
0.393630 83.225 157.1649
0.396483 83.210 157.0903
0.399356 83.195 157.0130
0.402250 83.180 156.9332
0.405165 83.164 156.8508
0.408101 83.148 156.7657
0.411058 83.133 156.6781
0.414037 83.117 156.5877
0.417037 83.101 156.4947
0.420059 83.085 156.3989
0.423103 83.069 156.3004
0.426169 83.052 156.1991
0.429257 83.036 156.0950
0.432368 83.019 155.9881
0.435501 83.003 155.8784
0.438656 82.986 155.7658
0.441835 82.969 155.6503
0.445037 82.952 155.5318
0.448262 82.935 155.4104
0.451510 82.917 155.2861
0.454782 82.900 155.1587
0.458077 82.882 155.0284
0.461397 82.865 154.8950
0.464740 82.847 154.7586
0.468108 82.829 154.6191
0.471500 82.811 154.4765
0.474917 82.793 154.3308
0.478358 82.774 154.1819
0.481825 82.756 154.0300
0.485316 82.737 153.8749
0.488833 82.719 153.7166
0.492375 82.700 153.5551
0.495943 82.681 153.3904
0.499537 82.662 153.2226
0.503157 82.642 153.0515
0.506803 82.623 152.8772
0.510475 82.603 152.6997
0.514175 82.584 152.5190
0.517900 82.564 152.3350
0.521653 82.544 152.1478
0.525434 82.524 151.9574
0.529241 82.504 151.7637
0.533076 82.483 151.5669
0.536939 82.463 151.3668
0.540830 82.442 151.1635
0.544749 82.421 150.9571
0.548696 82.400 150.7475
0.552673 82.379 150.5347
0.556677 82.357 150.3189
0.560711 82.336 150.0999
0.564774 82.314 149.8778
0.568867 82.293 149.6528
0.572989 82.271 149.4247
0.577141 82.249 149.1936
0.581324 82.226 148.9597
0.585536 82.204 148.7228
0.589779 82.181 148.4832
0.594053 82.159 148.2408
0.598358 82.136 147.9957
0.602694 82.113 147.7479
0.607061 82.089 147.4976
0.611460 82.066 147.2448
0.615891 82.042 146.9895
0.620354 82.019 146.7320
0.624849 81.995 146.4722
0.629377 81.970 146.2104
0.633938 81.946 145.9464
0.638532 81.922 145.6806
0.643159 81.897 145.4130
0.647819 81.872 145.1437
0.652514 81.847 144.8729
0.657242 81.822 144.6008
0.662005 81.797 144.3274
0.666802 81.771 144.0529
0.671634 81.746 143.7775
0.676501 81.720 143.5014
0.681403 81.694 143.2247
0.686341 81.667 142.9477
0.691314 81.641 142.6706
0.696324 81.614 142.3934
0.701370 81.587 142.1165
0.706452 81.559 141.8399
0.711571 81.531 141.5637
0.716728 81.502 141.2879
0.721921 81.472 141.0121
0.727153 81.441 140.7360
0.732422 81.407 140.4586
0.737729 81.371 140.1791
0.743075 81.333 139.8962
0.748460 81.294 139.6091
0.753883 81.252 139.3169
0.759346 81.210 139.0192
0.764849 81.167 138.7155
0.770391 81.123 138.4056
0.775974 81.079 138.0894
0.781597 81.033 137.7666
0.787261 80.988 137.4373
0.792966 80.941 137.1012
0.798712 80.894 136.7583
0.804500 80.846 136.4084
0.810329 80.798 136.0517
0.816201 80.749 135.6879
0.822116 80.699 135.3169
0.828073 80.648 134.9388
0.834074 80.597 134.5535
0.840118 80.545 134.1608
0.846206 80.492 133.7609
0.852338 80.438 133.3535
0.858514 80.383 132.9388
0.864735 80.328 132.5166
0.871001 80.271 132.0869
0.877313 80.214 131.6498
0.883670 80.155 131.2052
0.890074 80.095 130.7532
0.896524 80.035 130.2938
0.903020 79.973 129.8270
0.909564 79.910 129.3529
0.916155 79.846 128.8715
0.922794 79.780 128.3829
0.929481 79.714 127.8873
0.936216 79.646 127.3848
0.943000 79.576 126.8755
0.949834 79.505 126.3596
0.956717 79.433 125.8373
0.963649 79.359 125.3088
0.970632 79.284 124.7744
0.977666 79.207 124.2343
0.984750 79.128 123.6888
0.991886 79.048 123.1384
0.999074 78.966 122.5834
1.006314 78.882 122.0241
1.013606 78.796 121.4612
1.020951 78.709 120.8950
1.028349 78.619 120.3261
1.035801 78.527 119.7552
1.043307 78.433 119.1828
1.050867 78.337 118.6095
1.058482 78.239 118.0361
1.066152 78.138 117.4632
1.073878 78.035 116.8912
1.081660 77.929 116.3206
1.089498 77.820 115.7513
1.097393 77.708 115.1831
1.105345 77.592 114.6152
1.113355 77.473 114.0465
1.121423 77.350 113.4760
1.129549 77.223 112.9024
1.137734 77.091 112.3249
1.145979 76.956 111.7426
1.154283 76.816 111.1547
1.162647 76.673 110.5602
1.171072 76.526 109.9585
1.179558 76.374 109.3487
1.188106 76.219 108.7300
1.196715 76.061 108.1014
1.205387 75.899 107.4621
1.214122 75.734 106.8110
1.222920 75.566 106.1471
1.231782 75.395 105.4693
1.240708 75.221 104.7764
1.249699 75.045 104.0672
1.258754 74.866 103.3402
1.267876 74.685 102.5942
1.277063 74.503 101.8276
1.286318 74.318 101.0390
1.295639 74.133 100.2265
1.305027 73.946 99.3885
1.314484 73.758 98.5232
1.324009 73.569 97.6287
1.333604 73.381 96.7029
1.343268 73.192 95.7438
1.353002 73.003 94.7493
1.362806 72.816 93.7173
1.372681 72.629 92.6454
1.382628 72.443 91.5316
1.392647 72.259 90.3737
1.402739 72.077 89.1695
1.412904 71.898 87.9171
1.423142 71.721 86.6146
1.433455 71.547 85.2602
1.443843 71.375 83.8520
1.454305 71.205 82.3879
1.464844 71.037 80.8655
1.475459 70.870 79.2811
1.486150 70.702 77.6304
1.496920 70.532 75.9076
1.507767 70.361 74.1064
1.518693 70.188 72.2196
1.529698 70.012 70.2394
1.540783 69.835 68.1577
1.551948 69.657 65.9658
1.563194 69.478 63.6551
1.574521 69.298 61.2165
1.585931 69.118 58.6416
1.597423 68.940 55.9221
1.608999 68.763 53.0510
1.620658 68.589 50.0230
1.632402 68.417 46.8347
1.644232 68.250 43.4863
1.656146 68.087 39.9814
1.668147 67.930 36.3286
1.680235 67.779 32.5418
1.692411 67.636 28.6402
1.704675 67.502 24.6488
1.717028 67.377 20.5971
1.729470 67.262 16.5187
1.742003 67.160 12.4486
1.754626 67.070 8.4222
1.767341 66.995 4.4723
1.780147 66.935 0.6279
1.793047 66.893 -3.0885
1.806040 66.869 -6.6615
1.819128 66.865 -10.0841
1.832310 66.884 -13.3569
1.845587 66.925 -16.4869
1.858961 66.990 -19.4844
1.872432 67.080 -22.3595
1.886001 67.193 -25.1209
1.899667 67.329 -27.7755
1.913433 67.487 -30.3284
1.927299 67.665 -32.7833
1.941265 67.861 -35.1433
1.955332 68.073 -37.4105
1.969501 68.300 -39.5870
1.983773 68.539 -41.6741
1.998148 68.789 -43.6733
2.012627 69.046 -45.5857
2.027212 69.309 -47.4122
2.041902 69.576 -49.1539
2.056698 69.843 -50.8114
2.071602 70.109 -52.3856
2.086614 70.371 -53.8771
2.101734 70.626 -55.2867
2.116964 70.873 -56.6155
2.132304 71.109 -57.8651
2.147756 71.332 -59.0378
2.163320 71.540 -60.1371
2.178996 71.734 -61.1686
2.194786 71.914 -62.1394
2.210690 72.081 -63.0585
2.226710 72.236 -63.9349
2.242845 72.381 -64.7764
2.259098 72.517 -65.5887
2.275468 72.646 -66.3756
2.291957 72.768 -67.1392
2.308566 72.883 -67.8805
2.325295 72.993 -68.5995
2.342145 73.098 -69.2958
2.359117 73.198 -69.9683
2.376212 73.293 -70.6158
2.393431 73.385 -71.2367
2.410775 73.473 -71.8291
2.428244 73.558 -72.3910
2.445840 73.640 -72.9203
2.463564 73.720 -73.4146
2.481416 73.799 -73.8716
2.499397 73.876 -74.2895
2.517509 73.952 -74.6663
2.535752 74.027 -75.0011
2.554127 74.100 -75.2938
2.572635 74.171 -75.5453
2.591277 74.239 -75.7574
2.610055 74.303 -75.9322
2.628968 74.364 -76.0721
2.648019 74.421 -76.1788
2.667208 74.474 -76.2542
2.686535 74.524 -76.2998
2.706003 74.571 -76.3167
2.725612 74.616 -76.3062
2.745363 74.660 -76.2694
2.765257 74.703 -76.2074
2.785295 74.747 -76.1210
2.805478 74.791 -76.0114
2.825808 74.837 -75.8795
2.846285 74.886 -75.7258
2.866910 74.938 -75.5509
2.887685 74.993 -75.3546
2.908611 75.052 -75.1360
2.929688 75.115 -74.8938
2.950917 75.182 -74.6261
2.972301 75.252 -74.3316
2.993839 75.324 -74.0103
3.015534 75.400 -73.6634
3.037386 75.478 -73.2933
3.059396 75.558 -72.9036
3.081565 75.641 -72.4983
3.103896 75.727 -72.0820
3.126388 75.815 -71.6594
3.149043 75.906 -71.2353
3.171862 76.000 -70.8142
3.194847 76.098 -70.4004
3.217998 76.198 -69.9976
3.241317 76.302 -69.6084
3.264805 76.410 -69.2340
3.288463 76.522 -68.8740
3.312293 76.639 -68.5268
3.336295 76.760 -68.1901
3.360471 76.885 -67.8627
3.384822 77.015 -67.5445
3.409350 77.149 -67.2370
3.434056 77.286 -66.9426
3.458940 77.427 -66.6641
3.484005 77.569 -66.4050
3.509252 77.713 -66.1685
3.534681 77.857 -65.9578
3.560295 78.001 -65.7759
3.586094 78.146 -65.6252
3.612081 78.289 -65.5074
3.638255 78.431 -65.4232
3.664620 78.572 -65.3726
3.691175 78.712 -65.3543
3.717923 78.852 -65.3663
3.744864 78.991 -65.4064
3.772001 79.130 -65.4726
3.799335 79.268 -65.5628
3.826866 79.405 -65.6750
3.854597 79.540 -65.8077
3.882529 79.674 -65.9594
3.910664 79.805 -66.1289
3.939002 79.934 -66.3154
3.967546 80.060 -66.5186
3.996296 80.183 -66.7385
4.025255 80.302 -66.9757
4.054423 80.417 -67.2307
4.083804 80.529 -67.5039
4.113396 80.637 -67.7946
4.143204 80.742 -68.1014
4.173227 80.844 -68.4221
4.203468 80.942 -68.7539
4.233928 81.038 -69.0939
4.264609 81.130 -69.4395
4.295512 81.218 -69.7881
4.326639 81.304 -70.1381
4.357992 81.386 -70.4885
4.389572 81.464 -70.8394
4.421380 81.539 -71.1917
4.453419 81.610 -71.5464
4.485691 81.677 -71.9038
4.518196 81.741 -72.2633
4.550936 81.801 -72.6231
4.583914 81.858 -72.9812
4.617131 81.913 -73.3348
4.650589 81.964 -73.6811
4.684289 82.014 -74.0178
4.718233 82.062 -74.3429
4.752424 82.107 -74.6555
4.786862 82.150 -74.9555
4.821549 82.191 -75.2433
4.856488 82.230 -75.5198
4.891680 82.267 -75.7854
4.927127 82.302 -76.0403
4.962831 82.336 -76.2842
4.998794 82.369 -76.5169
5.035017 82.402 -76.7376
5.071503 82.435 -76.9456
5.108253 82.468 -77.1400
5.145270 82.502 -77.3205
5.182555 82.536 -77.4869
5.220110 82.570 -77.6400
5.257937 82.605 -77.7811
5.296038 82.641 -77.9122
5.334415 82.678 -78.0356
5.373071 82.716 -78.1535
5.412006 82.756 -78.2679
5.451224 82.797 -78.3801
5.490725 82.841 -78.4909
5.530514 82.887 -78.6007
5.570590 82.935 -78.7097
5.610957 82.986 -78.8189
5.651616 83.038 -78.9303
5.692570 83.092 -79.0462
5.733821 83.148 -79.1694
5.775370 83.206 -79.3025
5.817221 83.265 -79.4478
5.859375 83.326 -79.6064
5.901834 83.388 -79.7790
5.944602 83.451 -79.9656
5.987679 83.516 -80.1663
6.031068 83.582 -80.3816
6.074771 83.649 -80.6120
6.118792 83.716 -80.8584
6.163131 83.782 -81.1217
6.207792 83.849 -81.4025
6.252776 83.915 -81.7012
6.298086 83.980 -82.0176
6.343725 84.045 -82.3509
6.389694 84.109 -82.6997
6.435996 84.172 -83.0625
6.482634 84.234 -83.4378
6.529610 84.294 -83.8243
6.576926 84.353 -84.2212
6.624585 84.410 -84.6280
6.672590 84.466 -85.0441
6.720942 84.520 -85.4686
