* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jul 1, 2024 1:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ AS10 PRO L
* Measurement: L KZ AS10 PRO
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.782 158.7613
0.368865 84.777 158.7399
0.371538 84.769 158.7078
0.374230 84.759 158.6675
0.376942 84.749 158.6210
0.379673 84.737 158.5699
0.382424 84.725 158.5153
0.385196 84.713 158.4576
0.387987 84.701 158.3974
0.390798 84.688 158.3346
0.393630 84.675 158.2695
0.396483 84.662 158.2021
0.399356 84.649 158.1324
0.402250 84.636 158.0603
0.405165 84.623 157.9859
0.408101 84.610 157.9092
0.411058 84.596 157.8301
0.414037 84.583 157.7486
0.417037 84.569 157.6647
0.420059 84.556 157.5784
0.423103 84.542 157.4895
0.426169 84.528 157.3983
0.429257 84.514 157.3045
0.432368 84.500 157.2082
0.435501 84.486 157.1094
0.438656 84.471 157.0080
0.441835 84.457 156.9040
0.445037 84.443 156.7975
0.448262 84.428 156.6883
0.451510 84.413 156.5766
0.454782 84.398 156.4621
0.458077 84.384 156.3451
0.461397 84.369 156.2253
0.464740 84.353 156.1029
0.468108 84.338 155.9778
0.471500 84.323 155.8499
0.474917 84.307 155.7194
0.478358 84.292 155.5861
0.481825 84.276 155.4501
0.485316 84.260 155.3113
0.488833 84.244 155.1698
0.492375 84.228 155.0255
0.495943 84.212 154.8785
0.499537 84.196 154.7287
0.503157 84.180 154.5762
0.506803 84.163 154.4208
0.510475 84.146 154.2627
0.514175 84.130 154.1019
0.517900 84.113 153.9383
0.521653 84.096 153.7720
0.525434 84.079 153.6029
0.529241 84.062 153.4311
0.533076 84.044 153.2566
0.536939 84.027 153.0795
0.540830 84.009 152.8996
0.544749 83.991 152.7171
0.548696 83.973 152.5320
0.552673 83.956 152.3443
0.556677 83.937 152.1541
0.560711 83.919 151.9613
0.564774 83.901 151.7660
0.568867 83.882 151.5683
0.572989 83.864 151.3681
0.577141 83.845 151.1656
0.581324 83.826 150.9608
0.585536 83.807 150.7538
0.589779 83.788 150.5446
0.594053 83.768 150.3332
0.598358 83.749 150.1198
0.602694 83.729 149.9044
0.607061 83.709 149.6872
0.611460 83.690 149.4681
0.615891 83.669 149.2473
0.620354 83.649 149.0249
0.624849 83.629 148.8009
0.629377 83.608 148.5755
0.633938 83.588 148.3489
0.638532 83.567 148.1210
0.643159 83.546 147.8921
0.647819 83.525 147.6623
0.652514 83.504 147.4317
0.657242 83.482 147.2005
0.662005 83.461 146.9688
0.666802 83.439 146.7369
0.671634 83.417 146.5048
0.676501 83.395 146.2728
0.681403 83.373 146.0410
0.686341 83.351 145.8097
0.691314 83.328 145.5790
0.696324 83.305 145.3492
0.701370 83.282 145.1205
0.706452 83.259 144.8929
0.711571 83.235 144.6666
0.716728 83.211 144.4417
0.721921 83.185 144.2178
0.727153 83.159 143.9946
0.732422 83.131 143.7715
0.737729 83.101 143.5476
0.743075 83.069 143.3221
0.748460 83.036 143.0941
0.753883 83.001 142.8630
0.759346 82.966 142.6284
0.764849 82.930 142.3901
0.770391 82.893 142.1478
0.775974 82.856 141.9016
0.781597 82.818 141.6512
0.787261 82.779 141.3967
0.792966 82.740 141.1380
0.798712 82.701 140.8751
0.804500 82.660 140.6081
0.810329 82.619 140.3368
0.816201 82.578 140.0614
0.822116 82.536 139.7818
0.828073 82.493 139.4980
0.834074 82.450 139.2100
0.840118 82.406 138.9180
0.846206 82.361 138.6219
0.852338 82.316 138.3217
0.858514 82.270 138.0176
0.864735 82.223 137.7095
0.871001 82.175 137.3976
0.877313 82.127 137.0819
0.883670 82.078 136.7625
0.890074 82.028 136.4396
0.896524 81.977 136.1132
0.903020 81.925 135.7835
0.909564 81.873 135.4507
0.916155 81.820 135.1148
0.922794 81.765 134.7761
0.929481 81.710 134.4348
0.936216 81.654 134.0911
0.943000 81.597 133.7453
0.949834 81.539 133.3975
0.956717 81.480 133.0481
0.963649 81.420 132.6975
0.970632 81.358 132.3458
0.977666 81.296 131.9936
0.984750 81.233 131.6412
0.991886 81.168 131.2890
0.999074 81.102 130.9376
1.006314 81.035 130.5873
1.013606 80.967 130.2387
1.020951 80.898 129.8924
1.028349 80.827 129.5491
1.035801 80.755 129.2093
1.043307 80.682 128.8737
1.050867 80.607 128.5431
1.058482 80.531 128.2183
1.066152 80.453 127.9000
1.073878 80.374 127.5889
1.081660 80.293 127.2858
1.089498 80.210 126.9911
1.097393 80.126 126.7052
1.105345 80.040 126.4284
1.113355 79.951 126.1607
1.121423 79.861 125.9019
1.129549 79.768 125.6521
1.137734 79.673 125.4111
1.145979 79.576 125.1789
1.154283 79.477 124.9557
1.162647 79.375 124.7413
1.171072 79.271 124.5359
1.179558 79.165 124.3395
1.188106 79.057 124.1523
1.196715 78.947 123.9742
1.205387 78.835 123.8055
1.214122 78.721 123.6462
1.222920 78.605 123.4964
1.231782 78.487 123.3562
1.240708 78.367 123.2259
1.249699 78.245 123.1055
1.258754 78.122 122.9951
1.267876 77.998 122.8949
1.277063 77.871 122.8051
1.286318 77.744 122.7258
1.295639 77.615 122.6571
1.305027 77.484 122.5992
1.314484 77.353 122.5522
1.324009 77.220 122.5162
1.333604 77.087 122.4914
1.343268 76.952 122.4778
1.353002 76.817 122.4756
1.362806 76.681 122.4848
1.372681 76.545 122.5055
1.382628 76.409 122.5376
1.392647 76.272 122.5812
1.402739 76.134 122.6363
1.412904 75.997 122.7032
1.423142 75.860 122.7820
1.433455 75.722 122.8736
1.443843 75.585 122.9791
1.454305 75.446 123.1008
1.464844 75.306 123.2417
1.475459 75.164 123.4059
1.486150 75.019 123.5977
1.496920 74.870 123.8212
1.507767 74.718 124.0799
1.518693 74.562 124.3767
1.529698 74.402 124.7138
1.540783 74.238 125.0934
1.551948 74.072 125.5172
1.563194 73.902 125.9867
1.574521 73.731 126.5033
1.585931 73.558 127.0684
1.597423 73.384 127.6830
1.608999 73.209 128.3481
1.620658 73.034 129.0645
1.632402 72.861 129.8325
1.644232 72.688 130.6526
1.656146 72.518 131.5243
1.668147 72.352 132.4473
1.680235 72.189 133.4203
1.692411 72.030 134.4418
1.704675 71.878 135.5095
1.717028 71.732 136.6207
1.729470 71.593 137.7719
1.742003 71.463 138.9589
1.754626 71.342 140.1771
1.767341 71.233 141.4216
1.780147 71.134 142.6873
1.793047 71.049 143.9696
1.806040 70.978 145.2648
1.819128 70.921 146.5707
1.832310 70.880 147.8867
1.845587 70.855 149.2134
1.858961 70.846 150.5507
1.872432 70.854 151.8967
1.886001 70.877 153.2474
1.899667 70.915 154.5967
1.913433 70.968 155.9372
1.927299 71.035 157.2610
1.941265 71.114 158.5600
1.955332 71.205 159.8266
1.969501 71.307 161.0535
1.983773 71.418 162.2342
1.998148 71.538 163.3632
2.012627 71.666 164.4357
2.027212 71.799 165.4477
2.041902 71.938 166.3961
2.056698 72.080 167.2787
2.071602 72.224 168.0934
2.086614 72.369 168.8393
2.101734 72.514 169.5155
2.116964 72.657 170.1216
2.132304 72.797 170.6575
2.147756 72.933 171.1234
2.163320 73.065 171.5195
2.178996 73.192 171.8461
2.194786 73.316 172.1041
2.210690 73.437 172.2943
2.226710 73.557 172.4183
2.242845 73.677 172.4782
2.259098 73.798 172.4769
2.275468 73.920 172.4177
2.291957 74.043 172.3040
2.308566 74.167 172.1397
2.325295 74.291 171.9286
2.342145 74.417 171.6743
2.359117 74.542 171.3804
2.376212 74.667 171.0505
2.393431 74.790 170.6878
2.410775 74.913 170.2953
2.428244 75.033 169.8758
2.445840 75.151 169.4317
2.463564 75.265 168.9651
2.481416 75.376 168.4774
2.499397 75.483 167.9691
2.517509 75.586 167.4399
2.535752 75.683 166.8880
2.554127 75.776 166.3101
2.572635 75.863 165.7019
2.591277 75.945 165.0587
2.610055 76.023 164.3772
2.628968 76.095 163.6560
2.648019 76.164 162.8956
2.667208 76.227 162.0982
2.686535 76.287 161.2671
2.706003 76.343 160.4060
2.725612 76.395 159.5193
2.745363 76.444 158.6117
2.765257 76.489 157.6875
2.785295 76.531 156.7516
2.805478 76.570 155.8081
2.825808 76.606 154.8611
2.846285 76.639 153.9140
2.866910 76.670 152.9691
2.887685 76.698 152.0270
2.908611 76.724 151.0865
2.929688 76.747 150.1439
2.950917 76.766 149.1939
2.972301 76.783 148.2309
2.993839 76.795 147.2507
3.015534 76.804 146.2508
3.037386 76.809 145.2308
3.059396 76.811 144.1920
3.081565 76.810 143.1366
3.103896 76.805 142.0678
3.126388 76.797 140.9897
3.149043 76.787 139.9063
3.171862 76.774 138.8223
3.194847 76.759 137.7419
3.217998 76.742 136.6693
3.241317 76.722 135.6073
3.264805 76.701 134.5576
3.288463 76.678 133.5196
3.312293 76.653 132.4907
3.336295 76.625 131.4670
3.360471 76.594 130.4448
3.384822 76.561 129.4218
3.409350 76.525 128.3970
3.434056 76.486 127.3710
3.458940 76.446 126.3458
3.484005 76.403 125.3245
3.509252 76.360 124.3108
3.534681 76.316 123.3094
3.560295 76.272 122.3255
3.586094 76.227 121.3643
3.612081 76.184 120.4310
3.638255 76.140 119.5296
3.664620 76.097 118.6632
3.691175 76.054 117.8328
3.717923 76.010 117.0381
3.744864 75.966 116.2776
3.772001 75.923 115.5495
3.799335 75.880 114.8516
3.826866 75.838 114.1823
3.854597 75.797 113.5399
3.882529 75.760 112.9234
3.910664 75.726 112.3322
3.939002 75.697 111.7667
3.967546 75.672 111.2281
3.996296 75.654 110.7188
4.025255 75.641 110.2419
4.054423 75.635 109.8011
4.083804 75.634 109.3988
4.113396 75.640 109.0355
4.143204 75.651 108.7090
4.173227 75.668 108.4150
4.203468 75.692 108.1476
4.233928 75.722 107.9002
4.264609 75.759 107.6659
4.295512 75.803 107.4384
4.326639 75.855 107.2128
4.357992 75.915 106.9861
4.389572 75.983 106.7580
4.421380 76.061 106.5300
4.453419 76.147 106.3040
4.485691 76.242 106.0806
4.518196 76.346 105.8579
4.550936 76.457 105.6319
4.583914 76.574 105.3972
4.617131 76.696 105.1476
4.650589 76.824 104.8769
4.684289 76.954 104.5799
4.718233 77.088 104.2527
4.752424 77.225 103.8937
4.786862 77.365 103.5033
4.821549 77.508 103.0837
4.856488 77.654 102.6375
4.891680 77.803 102.1673
4.927127 77.954 101.6750
4.962831 78.106 101.1618
4.998794 78.257 100.6284
5.035017 78.408 100.0745
5.071503 78.557 99.4996
5.108253 78.703 98.9030
5.145270 78.847 98.2842
5.182555 78.988 97.6436
5.220110 79.127 96.9831
5.257937 79.263 96.3060
5.296038 79.397 95.6167
5.334415 79.527 94.9198
5.373071 79.654 94.2195
5.412006 79.777 93.5192
5.451224 79.895 92.8209
5.490725 80.010 92.1249
5.530514 80.120 91.4308
5.570590 80.226 90.7383
5.610957 80.327 90.0485
5.651616 80.424 89.3641
5.692570 80.517 88.6891
5.733821 80.606 88.0279
5.775370 80.691 87.3847
5.817221 80.773 86.7626
5.859375 80.851 86.1632
5.901834 80.926 85.5869
5.944602 80.998 85.0332
5.987679 81.066 84.5020
6.031068 81.131 83.9940
6.074771 81.194 83.5108
6.118792 81.256 83.0542
6.163131 81.316 82.6264
6.207792 81.376 82.2290
6.252776 81.435 81.8627
6.298086 81.494 81.5272
6.343725 81.552 81.2210
6.389694 81.611 80.9422
6.435996 81.670 80.6884
6.482634 81.730 80.4574
6.529610 81.792 80.2472
6.576926 81.856 80.0566
6.624585 81.923 79.8845
6.672590 81.992 79.7297
6.720942 82.063 79.5897
6.769645 82.136 79.4611
6.818700 82.212 79.3398
6.868111 82.289 79.2215
6.917881 82.369 79.1028
6.968010 82.452 78.9810
7.018504 82.536 78.8548
7.069362 82.622 78.7226
7.120590 82.710 78.5830
7.172189 82.799 78.4339
7.224161 82.888 78.2730
7.276511 82.978 78.0982
7.329239 83.067 77.9081
7.382350 83.156 77.7022
