* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Aug 23, 2024 12:59:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ AS24 Pro 1111 L
* Measurement: L AS24 Pro 1111
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.898 158.8574
0.368865 81.887 158.8391
0.371538 81.870 158.8117
0.374230 81.848 158.7770
0.376942 81.824 158.7369
0.379673 81.798 158.6924
0.382424 81.771 158.6445
0.385196 81.744 158.5936
0.387987 81.716 158.5400
0.390798 81.687 158.4838
0.393630 81.658 158.4251
0.396483 81.629 158.3640
0.399356 81.600 158.3004
0.402250 81.570 158.2343
0.405165 81.540 158.1657
0.408101 81.510 158.0946
0.411058 81.480 158.0209
0.414037 81.450 157.9447
0.417037 81.419 157.8658
0.420059 81.388 157.7843
0.423103 81.357 157.7001
0.426169 81.326 157.6132
0.429257 81.294 157.5237
0.432368 81.263 157.4313
0.435501 81.231 157.3362
0.438656 81.198 157.2383
0.441835 81.166 157.1376
0.445037 81.133 157.0340
0.448262 81.100 156.9276
0.451510 81.067 156.8182
0.454782 81.034 156.7059
0.458077 81.000 156.5907
0.461397 80.966 156.4725
0.464740 80.932 156.3513
0.468108 80.898 156.2271
0.471500 80.863 156.0999
0.474917 80.828 155.9696
0.478358 80.793 155.8362
0.481825 80.758 155.6997
0.485316 80.722 155.5601
0.488833 80.686 155.4174
0.492375 80.650 155.2715
0.495943 80.614 155.1224
0.499537 80.577 154.9702
0.503157 80.540 154.8148
0.506803 80.503 154.6562
0.510475 80.465 154.4944
0.514175 80.427 154.3293
0.517900 80.389 154.1611
0.521653 80.351 153.9896
0.525434 80.312 153.8150
0.529241 80.274 153.6371
0.533076 80.234 153.4560
0.536939 80.195 153.2717
0.540830 80.155 153.0842
0.544749 80.115 152.8935
0.548696 80.075 152.6997
0.552673 80.034 152.5028
0.556677 79.993 152.3027
0.560711 79.952 152.0996
0.564774 79.911 151.8934
0.568867 79.869 151.6842
0.572989 79.827 151.4721
0.577141 79.785 151.2570
0.581324 79.742 151.0391
0.585536 79.699 150.8184
0.589779 79.655 150.5950
0.594053 79.612 150.3689
0.598358 79.568 150.1403
0.602694 79.524 149.9091
0.607061 79.479 149.6756
0.611460 79.434 149.4398
0.615891 79.389 149.2019
0.620354 79.343 148.9619
0.624849 79.297 148.7200
0.629377 79.251 148.4763
0.633938 79.205 148.2310
0.638532 79.158 147.9843
0.643159 79.111 147.7364
0.647819 79.063 147.4874
0.652514 79.015 147.2375
0.657242 78.967 146.9870
0.662005 78.918 146.7362
0.666802 78.869 146.4852
0.671634 78.820 146.2344
0.676501 78.770 145.9841
0.681403 78.720 145.7345
0.686341 78.669 145.4860
0.691314 78.618 145.2390
0.696324 78.567 144.9938
0.701370 78.514 144.7507
0.706452 78.460 144.5100
0.711571 78.403 144.2719
0.716728 78.343 144.0366
0.721921 78.277 143.8036
0.727153 78.203 143.5726
0.732422 78.118 143.3424
0.737729 78.019 143.1117
0.743075 77.906 142.8790
0.748460 77.781 142.6429
0.753883 77.644 142.4024
0.759346 77.497 142.1567
0.764849 77.340 141.9051
0.770391 77.175 141.6473
0.775974 77.001 141.3829
0.781597 76.820 141.1117
0.787261 76.631 140.8334
0.792966 76.434 140.5476
0.798712 76.231 140.2543
0.804500 76.021 139.9531
0.810329 75.804 139.6438
0.816201 75.580 139.3261
0.822116 75.351 138.9997
0.828073 75.115 138.6644
0.834074 74.874 138.3198
0.840118 74.628 137.9656
0.846206 74.376 137.6015
0.852338 74.119 137.2272
0.858514 73.858 136.8423
0.864735 73.593 136.4463
0.871001 73.324 136.0390
0.877313 73.051 135.6199
0.883670 72.775 135.1885
0.890074 72.497 134.7445
0.896524 72.216 134.2872
0.903020 71.934 133.8163
0.909564 71.650 133.3312
0.916155 71.365 132.8314
0.922794 71.080 132.3162
0.929481 70.795 131.7850
0.936216 70.511 131.2373
0.943000 70.229 130.6723
0.949834 69.948 130.0893
0.956717 69.670 129.4876
0.963649 69.395 128.8663
0.970632 69.124 128.2245
0.977666 68.858 127.5614
0.984750 68.597 126.8761
0.991886 68.342 126.1674
0.999074 68.095 125.4342
1.006314 67.856 124.6754
1.013606 67.625 123.8896
1.020951 67.405 123.0753
1.028349 67.195 122.2312
1.035801 66.997 121.3553
1.043307 66.812 120.4457
1.050867 66.641 119.5000
1.058482 66.485 118.5155
1.066152 66.346 117.4886
1.073878 66.224 116.4145
1.081660 66.120 115.2865
1.089498 66.035 114.0949
1.097393 65.970 112.8254
1.105345 65.924 111.4571
1.113355 65.898 109.9605
1.121423 65.891 108.2947
1.129549 65.904 106.4023
1.137734 65.935 104.2017
1.145979 65.984 101.5721
1.154283 66.051 98.3277
1.162647 66.136 94.1707
1.171072 66.238 88.6036
1.179558 66.355 80.7683
1.188106 66.489 69.2206
1.196715 66.638 52.0345
1.205387 66.802 28.9739
1.214122 66.980 5.2602
1.222920 67.172 -13.0587
1.231782 67.377 -25.4399
1.240708 67.593 -33.7676
1.249699 67.821 -39.6057
1.258754 68.060 -43.8998
1.267876 68.308 -47.1973
1.277063 68.565 -49.8232
1.286318 68.830 -51.9783
1.295639 69.102 -53.7919
1.305027 69.380 -55.3503
1.314484 69.663 -56.7134
1.324009 69.950 -57.9236
1.333604 70.240 -59.0117
1.343268 70.532 -60.0011
1.353002 70.824 -60.9093
1.362806 71.115 -61.7500
1.372681 71.405 -62.5339
1.382628 71.691 -63.2698
1.392647 71.973 -63.9646
1.402739 72.249 -64.6244
1.412904 72.518 -65.2541
1.423142 72.780 -65.8584
1.433455 73.034 -66.4416
1.443843 73.280 -67.0078
1.454305 73.518 -67.5614
1.464844 73.751 -68.1069
1.475459 73.979 -68.6486
1.486150 74.205 -69.1899
1.496920 74.431 -69.7332
1.507767 74.658 -70.2797
1.518693 74.886 -70.8298
1.529698 75.116 -71.3831
1.540783 75.347 -71.9393
1.551948 75.580 -72.4977
1.563194 75.814 -73.0574
1.574521 76.049 -73.6180
1.585931 76.286 -74.1786
1.597423 76.523 -74.7388
1.608999 76.760 -75.2979
1.620658 76.997 -75.8555
1.632402 77.234 -76.4112
1.644232 77.470 -76.9645
1.656146 77.706 -77.5151
1.668147 77.939 -78.0627
1.680235 78.171 -78.6071
1.692411 78.401 -79.1481
1.704675 78.628 -79.6853
1.717028 78.852 -80.2188
1.729470 79.072 -80.7484
1.742003 79.289 -81.2741
1.754626 79.501 -81.7960
1.767341 79.708 -82.3143
1.780147 79.910 -82.8295
1.793047 80.106 -83.3426
1.806040 80.296 -83.8547
1.819128 80.479 -84.3679
1.832310 80.656 -84.8847
1.845587 80.826 -85.4076
1.858961 80.990 -85.9391
1.872432 81.147 -86.4805
1.886001 81.297 -87.0324
1.899667 81.442 -87.5945
1.913433 81.581 -88.1660
1.927299 81.714 -88.7459
1.941265 81.841 -89.3328
1.955332 81.963 -89.9253
1.969501 82.081 -90.5220
1.983773 82.194 -91.1214
1.998148 82.302 -91.7222
2.012627 82.406 -92.3229
2.027212 82.507 -92.9222
2.041902 82.604 -93.5188
2.056698 82.699 -94.1114
2.071602 82.791 -94.6986
2.086614 82.880 -95.2795
2.101734 82.968 -95.8528
2.116964 83.055 -96.4178
2.132304 83.140 -96.9737
2.147756 83.225 -97.5204
2.163320 83.309 -98.0584
2.178996 83.392 -98.5889
2.194786 83.474 -99.1139
2.210690 83.554 -99.6363
2.226710 83.633 -100.1591
2.242845 83.708 -100.6845
2.259098 83.781 -101.2139
2.275468 83.851 -101.7479
2.291957 83.917 -102.2862
2.308566 83.981 -102.8282
2.325295 84.041 -103.3730
2.342145 84.098 -103.9193
2.359117 84.153 -104.4659
2.376212 84.205 -105.0112
2.393431 84.254 -105.5539
2.410775 84.301 -106.0923
2.428244 84.346 -106.6248
2.445840 84.389 -107.1498
2.463564 84.431 -107.6657
2.481416 84.470 -108.1710
2.499397 84.509 -108.6646
2.517509 84.546 -109.1456
2.535752 84.581 -109.6137
2.554127 84.615 -110.0696
2.572635 84.647 -110.5147
2.591277 84.677 -110.9507
2.610055 84.705 -111.3797
2.628968 84.730 -111.8030
2.648019 84.753 -112.2215
2.667208 84.773 -112.6354
2.686535 84.791 -113.0447
2.706003 84.806 -113.4489
2.725612 84.820 -113.8474
2.745363 84.831 -114.2394
2.765257 84.841 -114.6239
2.785295 84.849 -114.9999
2.805478 84.856 -115.3662
2.825808 84.863 -115.7214
2.846285 84.868 -116.0644
2.866910 84.873 -116.3940
2.887685 84.877 -116.7089
2.908611 84.881 -117.0083
2.929688 84.885 -117.2917
2.950917 84.887 -117.5589
2.972301 84.888 -117.8101
2.993839 84.888 -118.0459
3.015534 84.887 -118.2667
3.037386 84.884 -118.4732
3.059396 84.880 -118.6660
3.081565 84.876 -118.8458
3.103896 84.870 -119.0130
3.126388 84.865 -119.1682
3.149043 84.860 -119.3120
3.171862 84.855 -119.4448
3.194847 84.851 -119.5669
3.217998 84.847 -119.6784
3.241317 84.845 -119.7792
3.264805 84.845 -119.8687
3.288463 84.846 -119.9459
3.312293 84.848 -120.0096
3.336295 84.852 -120.0585
3.360471 84.857 -120.0923
3.384822 84.863 -120.1111
3.409350 84.871 -120.1159
3.434056 84.879 -120.1085
3.458940 84.889 -120.0910
3.484005 84.900 -120.0658
3.509252 84.912 -120.0354
3.534681 84.926 -120.0025
3.560295 84.942 -119.9696
3.586094 84.959 -119.9387
3.612081 84.979 -119.9115
3.638255 85.001 -119.8888
3.664620 85.025 -119.8702
3.691175 85.052 -119.8551
3.717923 85.081 -119.8423
3.744864 85.112 -119.8315
3.772001 85.146 -119.8228
3.799335 85.182 -119.8173
3.826866 85.219 -119.8164
3.854597 85.258 -119.8219
3.882529 85.298 -119.8358
3.910664 85.339 -119.8602
3.939002 85.381 -119.8970
3.967546 85.424 -119.9479
3.996296 85.466 -120.0142
4.025255 85.509 -120.0967
4.054423 85.553 -120.1954
4.083804 85.597 -120.3099
4.113396 85.642 -120.4396
4.143204 85.688 -120.5838
4.173227 85.733 -120.7417
4.203468 85.779 -120.9128
4.233928 85.824 -121.0965
4.264609 85.869 -121.2924
4.295512 85.913 -121.5004
4.326639 85.955 -121.7206
4.357992 85.996 -121.9533
4.389572 86.035 -122.1991
4.421380 86.073 -122.4587
4.453419 86.108 -122.7324
4.485691 86.142 -123.0199
4.518196 86.174 -123.3199
4.550936 86.205 -123.6309
4.583914 86.234 -123.9506
4.617131 86.261 -124.2768
4.650589 86.286 -124.6074
4.684289 86.308 -124.9404
4.718233 86.329 -125.2747
4.752424 86.347 -125.6101
4.786862 86.362 -125.9466
4.821549 86.375 -126.2849
4.856488 86.386 -126.6251
4.891680 86.394 -126.9664
4.927127 86.400 -127.3076
4.962831 86.403 -127.6466
4.998794 86.405 -127.9812
5.035017 86.406 -128.3092
5.071503 86.405 -128.6284
5.108253 86.402 -128.9376
5.145270 86.398 -129.2360
5.182555 86.392 -129.5235
5.220110 86.385 -129.8004
5.257937 86.376 -130.0669
5.296038 86.367 -130.3229
5.334415 86.357 -130.5684
5.373071 86.346 -130.8027
5.412006 86.336 -131.0253
5.451224 86.326 -131.2354
5.490725 86.317 -131.4323
5.530514 86.309 -131.6154
5.570590 86.302 -131.7847
5.610957 86.295 -131.9410
5.651616 86.289 -132.0856
5.692570 86.285 -132.2200
5.733821 86.283 -132.3461
5.775370 86.282 -132.4652
5.817221 86.283 -132.5786
5.859375 86.287 -132.6870
5.901834 86.294 -132.7916
5.944602 86.303 -132.8943
5.987679 86.314 -132.9977
6.031068 86.327 -133.1041
6.074771 86.343 -133.2157
6.118792 86.361 -133.3343
6.163131 86.381 -133.4611
6.207792 86.403 -133.5969
6.252776 86.427 -133.7421
6.298086 86.453 -133.8969
6.343725 86.481 -134.0618
6.389694 86.510 -134.2372
6.435996 86.540 -134.4240
6.482634 86.571 -134.6229
6.529610 86.603 -134.8349
