* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 28, 2024 1:05:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Carol R
* Measurement: R KZ Carol
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.918 156.3996
0.368865 84.911 156.3753
0.371538 84.902 156.3387
0.374230 84.891 156.2928
0.376942 84.878 156.2398
0.379673 84.864 156.1816
0.382424 84.849 156.1192
0.385196 84.835 156.0534
0.387987 84.820 155.9845
0.390798 84.804 155.9128
0.393630 84.789 155.8383
0.396483 84.773 155.7611
0.399356 84.757 155.6813
0.402250 84.742 155.5987
0.405165 84.726 155.5134
0.408101 84.710 155.4254
0.411058 84.693 155.3345
0.414037 84.677 155.2409
0.417037 84.661 155.1445
0.420059 84.644 155.0452
0.423103 84.628 154.9430
0.426169 84.611 154.8379
0.429257 84.594 154.7298
0.432368 84.577 154.6189
0.435501 84.560 154.5049
0.438656 84.542 154.3879
0.441835 84.525 154.2679
0.445037 84.508 154.1448
0.448262 84.490 154.0186
0.451510 84.472 153.8893
0.454782 84.454 153.7569
0.458077 84.436 153.6213
0.461397 84.418 153.4826
0.464740 84.400 153.3406
0.468108 84.381 153.1955
0.471500 84.363 153.0471
0.474917 84.344 152.8954
0.478358 84.325 152.7405
0.481825 84.306 152.5823
0.485316 84.287 152.4209
0.488833 84.268 152.2561
0.492375 84.249 152.0879
0.495943 84.229 151.9165
0.499537 84.209 151.7417
0.503157 84.190 151.5636
0.506803 84.170 151.3821
0.510475 84.149 151.1972
0.514175 84.129 151.0090
0.517900 84.109 150.8174
0.521653 84.088 150.6225
0.525434 84.068 150.4242
0.529241 84.047 150.2226
0.533076 84.026 150.0177
0.536939 84.005 149.8094
0.540830 83.983 149.5979
0.544749 83.962 149.3830
0.548696 83.940 149.1649
0.552673 83.919 148.9435
0.556677 83.897 148.7189
0.560711 83.875 148.4912
0.564774 83.852 148.2603
0.568867 83.830 148.0263
0.572989 83.807 147.7892
0.577141 83.785 147.5491
0.581324 83.762 147.3060
0.585536 83.739 147.0601
0.589779 83.716 146.8112
0.594053 83.692 146.5596
0.598358 83.669 146.3053
0.602694 83.645 146.0484
0.607061 83.621 145.7889
0.611460 83.597 145.5270
0.615891 83.573 145.2627
0.620354 83.548 144.9961
0.624849 83.524 144.7274
0.629377 83.499 144.4566
0.633938 83.474 144.1839
0.638532 83.449 143.9095
0.643159 83.424 143.6333
0.647819 83.398 143.3557
0.652514 83.372 143.0768
0.657242 83.346 142.7966
0.662005 83.320 142.5155
0.666802 83.294 142.2335
0.671634 83.268 141.9509
0.676501 83.241 141.6679
0.681403 83.214 141.3847
0.686341 83.187 141.1015
0.691314 83.160 140.8185
0.696324 83.132 140.5359
0.701370 83.105 140.2540
0.706452 83.076 139.9729
0.711571 83.047 139.6927
0.716728 83.018 139.4134
0.721921 82.987 139.1347
0.727153 82.954 138.8560
0.732422 82.920 138.5767
0.737729 82.883 138.2955
0.743075 82.843 138.0112
0.748460 82.802 137.7230
0.753883 82.760 137.4299
0.759346 82.717 137.1315
0.764849 82.673 136.8273
0.770391 82.628 136.5171
0.775974 82.582 136.2007
0.781597 82.536 135.8779
0.787261 82.490 135.5486
0.792966 82.443 135.2128
0.798712 82.395 134.8704
0.804500 82.347 134.5212
0.810329 82.299 134.1653
0.816201 82.249 133.8026
0.822116 82.199 133.4329
0.828073 82.148 133.0563
0.834074 82.097 132.6727
0.840118 82.044 132.2820
0.846206 81.991 131.8843
0.852338 81.937 131.4795
0.858514 81.882 131.0676
0.864735 81.826 130.6486
0.871001 81.769 130.2224
0.877313 81.711 129.7892
0.883670 81.652 129.3489
0.890074 81.591 128.9016
0.896524 81.530 128.4473
0.903020 81.467 127.9860
0.909564 81.403 127.5180
0.916155 81.337 127.0433
0.922794 81.270 126.5621
0.929481 81.202 126.0744
0.936216 81.132 125.5805
0.943000 81.060 125.0805
0.949834 80.986 124.5748
0.956717 80.911 124.0635
0.963649 80.834 123.5470
0.970632 80.755 123.0255
0.977666 80.674 122.4995
0.984750 80.591 121.9693
0.991886 80.506 121.4354
0.999074 80.419 120.8982
1.006314 80.329 120.3584
1.013606 80.237 119.8165
1.020951 80.143 119.2730
1.028349 80.045 118.7288
1.035801 79.945 118.1845
1.043307 79.843 117.6409
1.050867 79.737 117.0989
1.058482 79.628 116.5593
1.066152 79.517 116.0229
1.073878 79.402 115.4904
1.081660 79.283 114.9625
1.089498 79.161 114.4394
1.097393 79.035 113.9211
1.105345 78.906 113.4069
1.113355 78.772 112.8960
1.121423 78.634 112.3875
1.129549 78.492 111.8806
1.137734 78.345 111.3744
1.145979 78.194 110.8682
1.154283 78.039 110.3614
1.162647 77.880 109.8534
1.171072 77.716 109.3436
1.179558 77.548 108.8315
1.188106 77.376 108.3164
1.196715 77.200 107.7977
1.205387 77.021 107.2748
1.214122 76.837 106.7471
1.222920 76.650 106.2137
1.231782 76.459 105.6739
1.240708 76.264 105.1269
1.249699 76.066 104.5719
1.258754 75.865 104.0079
1.267876 75.660 103.4340
1.277063 75.453 102.8492
1.286318 75.242 102.2523
1.295639 75.029 101.6422
1.305027 74.813 101.0177
1.314484 74.594 100.3775
1.324009 74.374 99.7201
1.333604 74.151 99.0442
1.343268 73.926 98.3481
1.353002 73.700 97.6303
1.362806 73.472 96.8891
1.372681 73.243 96.1228
1.382628 73.012 95.3294
1.392647 72.781 94.5073
1.402739 72.548 93.6546
1.412904 72.316 92.7696
1.423142 72.082 91.8506
1.433455 71.848 90.8961
1.443843 71.612 89.9048
1.454305 71.374 88.8756
1.464844 71.132 87.8070
1.475459 70.885 86.6972
1.486150 70.630 85.5431
1.496920 70.366 84.3400
1.507767 70.093 83.0814
1.518693 69.809 81.7586
1.529698 69.516 80.3610
1.540783 69.213 78.8750
1.551948 68.902 77.2841
1.563194 68.584 75.5679
1.574521 68.260 73.7009
1.585931 67.931 71.6513
1.597423 67.598 69.3788
1.608999 67.264 66.8323
1.620658 66.930 63.9460
1.632402 66.597 60.6357
1.644232 66.267 56.7926
1.656146 65.943 52.2792
1.668147 65.626 46.9254
1.680235 65.318 40.5356
1.692411 65.022 32.9157
1.704675 64.739 23.9429
1.717028 64.474 13.6831
1.729470 64.227 2.5132
1.742003 64.002 -8.8849
1.754626 63.803 -19.7401
1.767341 63.631 -29.4834
1.780147 63.491 -37.8803
1.793047 63.385 -44.9661
1.806040 63.318 -50.9151
1.819128 63.293 -55.9410
1.832310 63.313 -60.2457
1.845587 63.380 -63.9992
1.858961 63.495 -67.3335
1.872432 63.658 -70.3452
1.886001 63.869 -73.1025
1.899667 64.123 -75.6530
1.913433 64.419 -78.0303
1.927299 64.752 -80.2586
1.941265 65.119 -82.3557
1.955332 65.516 -84.3350
1.969501 65.937 -86.2072
1.983773 66.379 -87.9805
1.998148 66.837 -89.6619
2.012627 67.307 -91.2569
2.027212 67.783 -92.7701
2.041902 68.261 -94.2053
2.056698 68.736 -95.5659
2.071602 69.204 -96.8548
2.086614 69.660 -98.0744
2.101734 70.099 -99.2274
2.116964 70.517 -100.3163
2.132304 70.910 -101.3445
2.147756 71.274 -102.3162
2.163320 71.608 -103.2375
2.178996 71.911 -104.1167
2.194786 72.183 -104.9647
2.210690 72.426 -105.7939
2.226710 72.643 -106.6164
2.242845 72.838 -107.4415
2.259098 73.012 -108.2748
2.275468 73.168 -109.1189
2.291957 73.307 -109.9737
2.308566 73.430 -110.8375
2.325295 73.538 -111.7076
2.342145 73.633 -112.5807
2.359117 73.715 -113.4527
2.376212 73.786 -114.3195
2.393431 73.846 -115.1766
2.410775 73.896 -116.0194
2.428244 73.938 -116.8432
2.445840 73.973 -117.6431
2.463564 74.002 -118.4145
2.481416 74.026 -119.1530
2.499397 74.046 -119.8551
2.517509 74.063 -120.5185
2.535752 74.076 -121.1431
2.554127 74.086 -121.7314
2.572635 74.091 -122.2883
2.591277 74.091 -122.8209
2.610055 74.083 -123.3356
2.628968 74.068 -123.8372
2.648019 74.044 -124.3286
2.667208 74.012 -124.8107
2.686535 73.971 -125.2828
2.706003 73.922 -125.7430
2.725612 73.867 -126.1885
2.745363 73.804 -126.6156
2.765257 73.735 -127.0198
2.785295 73.661 -127.3962
2.805478 73.582 -127.7390
2.825808 73.499 -128.0419
2.846285 73.413 -128.2982
2.866910 73.323 -128.5012
2.887685 73.230 -128.6442
2.908611 73.134 -128.7213
2.929688 73.032 -128.7278
2.950917 72.925 -128.6600
2.972301 72.810 -128.5159
2.993839 72.688 -128.2938
3.015534 72.558 -127.9924
3.037386 72.421 -127.6107
3.059396 72.279 -127.1474
3.081565 72.134 -126.6018
3.103896 71.988 -125.9733
3.126388 71.843 -125.2618
3.149043 71.703 -124.4678
3.171862 71.570 -123.5925
3.194847 71.447 -122.6377
3.217998 71.337 -121.6053
3.241317 71.242 -120.4971
3.264805 71.166 -119.3135
3.288463 71.108 -118.0529
3.312293 71.070 -116.7126
3.336295 71.051 -115.2905
3.360471 71.050 -113.7884
3.384822 71.067 -112.2138
3.409350 71.100 -110.5804
3.434056 71.147 -108.9064
3.458940 71.209 -107.2138
3.484005 71.284 -105.5261
3.509252 71.370 -103.8679
3.534681 71.467 -102.2625
3.560295 71.575 -100.7313
3.586094 71.692 -99.2921
3.612081 71.819 -97.9582
3.638255 71.955 -96.7372
3.664620 72.103 -95.6310
3.691175 72.263 -94.6367
3.717923 72.436 -93.7490
3.744864 72.621 -92.9624
3.772001 72.817 -92.2723
3.799335 73.023 -91.6747
3.826866 73.235 -91.1663
3.854597 73.451 -90.7439
3.882529 73.667 -90.4047
3.910664 73.881 -90.1461
3.939002 74.090 -89.9658
3.967546 74.291 -89.8622
3.996296 74.484 -89.8343
4.025255 74.667 -89.8812
4.054423 74.841 -90.0019
4.083804 75.007 -90.1940
4.113396 75.165 -90.4531
4.143204 75.315 -90.7729
4.173227 75.459 -91.1458
4.203468 75.595 -91.5635
4.233928 75.724 -92.0179
4.264609 75.846 -92.5014
4.295512 75.960 -93.0081
4.326639 76.066 -93.5340
4.357992 76.164 -94.0777
4.389572 76.253 -94.6403
4.421380 76.333 -95.2249
4.453419 76.403 -95.8345
4.485691 76.464 -96.4698
4.518196 76.517 -97.1286
4.550936 76.560 -97.8056
4.583914 76.596 -98.4938
4.617131 76.623 -99.1850
4.650589 76.644 -99.8710
4.684289 76.657 -100.5447
4.718233 76.663 -101.2011
4.752424 76.661 -101.8380
4.786862 76.653 -102.4560
4.821549 76.637 -103.0574
4.856488 76.613 -103.6443
4.891680 76.582 -104.2168
4.927127 76.545 -104.7729
4.962831 76.503 -105.3090
4.998794 76.456 -105.8200
5.035017 76.405 -106.2999
5.071503 76.352 -106.7428
5.108253 76.296 -107.1438
5.145270 76.238 -107.4992
5.182555 76.178 -107.8076
5.220110 76.115 -108.0698
5.257937 76.051 -108.2876
5.296038 75.987 -108.4640
5.334415 75.924 -108.6022
5.373071 75.864 -108.7052
5.412006 75.808 -108.7752
5.451224 75.757 -108.8133
5.490725 75.714 -108.8192
5.530514 75.677 -108.7924
5.570590 75.648 -108.7338
5.610957 75.626 -108.6476
5.651616 75.612 -108.5412
5.692570 75.606 -108.4249
5.733821 75.607 -108.3102
5.775370 75.617 -108.2084
5.817221 75.637 -108.1284
5.859375 75.666 -108.0763
5.901834 75.705 -108.0552
5.944602 75.753 -108.0672
5.987679 75.810 -108.1149
6.031068 75.875 -108.2029
6.074771 75.946 -108.3372
6.118792 76.023 -108.5243
6.163131 76.103 -108.7701
6.207792 76.186 -109.0789
6.252776 76.271 -109.4527
6.298086 76.359 -109.8906
6.343725 76.448 -110.3899
6.389694 76.539 -110.9465
6.435996 76.629 -111.5563
6.482634 76.718 -112.2159
6.529610 76.805 -112.9227
6.576926 76.890 -113.6754
6.624585 76.970 -114.4730
6.672590 77.047 -115.3136
6.720942 77.121 -116.1930
