* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 14, 2024 1:16:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ EDC Pro R
* Measurement: R KZ EDC Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 82.192 -76.4579
0.368865 82.200 -76.5325
0.371538 82.213 -76.6439
0.374230 82.228 -76.7836
0.376942 82.246 -76.9440
0.379673 82.264 -77.1198
0.382424 82.284 -77.3071
0.385196 82.304 -77.5039
0.387987 82.324 -77.7088
0.390798 82.345 -77.9211
0.393630 82.366 -78.1404
0.396483 82.387 -78.3666
0.399356 82.408 -78.5995
0.402250 82.429 -78.8391
0.405165 82.451 -79.0853
0.408101 82.472 -79.3382
0.411058 82.494 -79.5978
0.414037 82.516 -79.8639
0.417037 82.538 -80.1367
0.420059 82.560 -80.4161
0.423103 82.583 -80.7021
0.426169 82.605 -80.9946
0.429257 82.628 -81.2936
0.432368 82.651 -81.5991
0.435501 82.674 -81.9111
0.438656 82.697 -82.2294
0.441835 82.721 -82.5541
0.445037 82.744 -82.8851
0.448262 82.768 -83.2224
0.451510 82.792 -83.5658
0.454782 82.816 -83.9153
0.458077 82.841 -84.2708
0.461397 82.865 -84.6323
0.464740 82.890 -84.9996
0.468108 82.914 -85.3727
0.471500 82.939 -85.7514
0.474917 82.965 -86.1357
0.478358 82.990 -86.5255
0.481825 83.016 -86.9206
0.485316 83.041 -87.3209
0.488833 83.067 -87.7263
0.492375 83.093 -88.1367
0.495943 83.120 -88.5520
0.499537 83.146 -88.9719
0.503157 83.173 -89.3964
0.506803 83.200 -89.8254
0.510475 83.227 -90.2586
0.514175 83.254 -90.6959
0.517900 83.281 -91.1373
0.521653 83.309 -91.5824
0.525434 83.337 -92.0312
0.529241 83.365 -92.4834
0.533076 83.393 -92.9390
0.536939 83.422 -93.3978
0.540830 83.450 -93.8595
0.544749 83.479 -94.3241
0.548696 83.508 -94.7913
0.552673 83.538 -95.2609
0.556677 83.567 -95.7329
0.560711 83.597 -96.2070
0.564774 83.627 -96.6830
0.568867 83.657 -97.1608
0.572989 83.687 -97.6403
0.577141 83.718 -98.1211
0.581324 83.749 -98.6033
0.585536 83.780 -99.0866
0.589779 83.811 -99.5708
0.594053 83.843 -100.0557
0.598358 83.874 -100.5414
0.602694 83.906 -101.0275
0.607061 83.938 -101.5139
0.611460 83.971 -102.0005
0.615891 84.003 -102.4871
0.620354 84.036 -102.9737
0.624849 84.069 -103.4600
0.629377 84.103 -103.9460
0.633938 84.136 -104.4315
0.638532 84.170 -104.9165
0.643159 84.204 -105.4007
0.647819 84.239 -105.8841
0.652514 84.273 -106.3667
0.657242 84.308 -106.8483
0.662005 84.343 -107.3288
0.666802 84.379 -107.8083
0.671634 84.414 -108.2865
0.676501 84.450 -108.7636
0.681403 84.486 -109.2393
0.686341 84.523 -109.7138
0.691314 84.559 -110.1869
0.696324 84.596 -110.6588
0.701370 84.633 -111.1295
0.706452 84.670 -111.5991
0.711571 84.706 -112.0679
0.716728 84.742 -112.5364
0.721921 84.777 -113.0052
0.727153 84.811 -113.4754
0.732422 84.842 -113.9483
0.737729 84.871 -114.4255
0.743075 84.897 -114.9086
0.748460 84.922 -115.3988
0.753883 84.945 -115.8969
0.759346 84.968 -116.4034
0.764849 84.990 -116.9186
0.770391 85.011 -117.4426
0.775974 85.031 -117.9751
0.781597 85.052 -118.5162
0.787261 85.071 -119.0656
0.792966 85.091 -119.6231
0.798712 85.110 -120.1885
0.804500 85.129 -120.7614
0.810329 85.147 -121.3418
0.816201 85.165 -121.9292
0.822116 85.182 -122.5234
0.828073 85.199 -123.1241
0.834074 85.215 -123.7310
0.840118 85.231 -124.3439
0.846206 85.247 -124.9623
0.852338 85.262 -125.5859
0.858514 85.276 -126.2145
0.864735 85.290 -126.8477
0.871001 85.304 -127.4851
0.877313 85.316 -128.1264
0.883670 85.329 -128.7713
0.890074 85.340 -129.4193
0.896524 85.351 -130.0702
0.903020 85.361 -130.7235
0.909564 85.371 -131.3790
0.916155 85.380 -132.0361
0.922794 85.388 -132.6947
0.929481 85.396 -133.3543
0.936216 85.403 -134.0146
0.943000 85.409 -134.6752
0.949834 85.414 -135.3357
0.956717 85.418 -135.9959
0.963649 85.422 -136.6553
0.970632 85.424 -137.3137
0.977666 85.426 -137.9707
0.984750 85.427 -138.6259
0.991886 85.427 -139.2791
0.999074 85.426 -139.9300
1.006314 85.424 -140.5782
1.013606 85.421 -141.2235
1.020951 85.417 -141.8656
1.028349 85.412 -142.5043
1.035801 85.406 -143.1393
1.043307 85.399 -143.7704
1.050867 85.390 -144.3976
1.058482 85.380 -145.0209
1.066152 85.370 -145.6405
1.073878 85.358 -146.2569
1.081660 85.344 -146.8712
1.089498 85.330 -147.4852
1.097393 85.314 -148.1012
1.105345 85.297 -148.7224
1.113355 85.279 -149.3519
1.121423 85.259 -149.9926
1.129549 85.239 -150.6468
1.137734 85.217 -151.3161
1.145979 85.194 -152.0016
1.154283 85.169 -152.7040
1.162647 85.144 -153.4240
1.171072 85.116 -154.1618
1.179558 85.088 -154.9177
1.188106 85.058 -155.6920
1.196715 85.026 -156.4848
1.205387 84.993 -157.2962
1.214122 84.959 -158.1263
1.222920 84.923 -158.9749
1.231782 84.885 -159.8420
1.240708 84.845 -160.7276
1.249699 84.803 -161.6313
1.258754 84.760 -162.5530
1.267876 84.714 -163.4921
1.277063 84.667 -164.4483
1.286318 84.618 -165.4209
1.295639 84.566 -166.4093
1.305027 84.512 -167.4126
1.314484 84.457 -168.4300
1.324009 84.398 -169.4604
1.333604 84.338 -170.5026
1.343268 84.275 -171.5553
1.353002 84.209 -172.6170
1.362806 84.141 -173.6860
1.372681 84.070 -174.7607
1.382628 83.996 -175.8392
1.392647 83.920 -176.9194
1.402739 83.841 -177.9995
1.412904 83.758 -179.0776
1.423142 83.672 179.8477
1.433455 83.582 178.7773
1.443843 83.489 177.7105
1.454305 83.390 176.6453
1.464844 83.286 175.5773
1.475459 83.176 174.5005
1.486150 83.058 173.4078
1.496920 82.932 172.2926
1.507767 82.799 171.1492
1.518693 82.657 169.9730
1.529698 82.507 168.7603
1.540783 82.349 167.5079
1.551948 82.185 166.2133
1.563194 82.014 164.8737
1.574521 81.837 163.4870
1.585931 81.655 162.0508
1.597423 81.468 160.5628
1.608999 81.278 159.0208
1.620658 81.085 157.4226
1.632402 80.891 155.7662
1.644232 80.695 154.0495
1.656146 80.499 152.2707
1.668147 80.305 150.4280
1.680235 80.112 148.5200
1.692411 79.923 146.5453
1.704675 79.738 144.5029
1.717028 79.559 142.3921
1.729470 79.386 140.2123
1.742003 79.222 137.9633
1.754626 79.068 135.6445
1.767341 78.925 133.2554
1.780147 78.793 130.7944
1.793047 78.676 128.2578
1.806040 78.573 125.6390
1.819128 78.484 122.9264
1.832310 78.411 120.1029
1.845587 78.352 117.1463
1.858961 78.308 114.0322
1.872432 78.276 110.7375
1.886001 78.257 107.2438
1.899667 78.250 103.5387
1.913433 78.255 99.6167
1.927299 78.271 95.4812
1.941265 78.298 91.1447
1.955332 78.335 86.6299
1.969501 78.383 81.9693
1.983773 78.441 77.2049
1.998148 78.508 72.3852
2.012627 78.585 67.5624
2.027212 78.670 62.7888
2.041902 78.764 58.1126
2.056698 78.867 53.5751
2.071602 78.977 49.2084
2.086614 79.095 45.0345
2.101734 79.220 41.0657
2.116964 79.351 37.3049
2.132304 79.490 33.7475
2.147756 79.635 30.3817
2.163320 79.788 27.1903
2.178996 79.949 24.1518
2.194786 80.120 21.2419
2.210690 80.302 18.4366
2.226710 80.498 15.7155
2.242845 80.707 13.0645
2.259098 80.931 10.4766
2.275468 81.168 7.9493
2.291957 81.418 5.4838
2.308566 81.679 3.0820
2.325295 81.950 0.7472
2.342145 82.229 -1.5182
2.359117 82.515 -3.7120
2.376212 82.805 -5.8328
2.393431 83.097 -7.8800
2.410775 83.390 -9.8538
2.428244 83.681 -11.7551
2.445840 83.968 -13.5857
2.463564 84.249 -15.3480
2.481416 84.523 -17.0455
2.499397 84.787 -18.6832
2.517509 85.041 -20.2674
2.535752 85.283 -21.8065
2.554127 85.513 -23.3107
2.572635 85.731 -24.7917
2.591277 85.939 -26.2605
2.610055 86.138 -27.7254
2.628968 86.329 -29.1909
2.648019 86.512 -30.6583
2.667208 86.687 -32.1257
2.686535 86.856 -33.5901
2.706003 87.019 -35.0472
2.725612 87.176 -36.4925
2.745363 87.327 -37.9210
2.765257 87.473 -39.3280
2.785295 87.614 -40.7093
2.805478 87.751 -42.0608
2.825808 87.883 -43.3793
2.846285 88.010 -44.6625
2.866910 88.134 -45.9097
2.887685 88.254 -47.1221
2.908611 88.369 -48.3033
2.929688 88.481 -49.4597
2.950917 88.587 -50.5994
2.972301 88.688 -51.7299
2.993839 88.784 -52.8573
3.015534 88.873 -53.9846
3.037386 88.958 -55.1124
3.059396 89.036 -56.2391
3.081565 89.109 -57.3621
3.103896 89.177 -58.4772
3.126388 89.241 -59.5803
3.149043 89.299 -60.6664
3.171862 89.353 -61.7306
3.194847 89.403 -62.7683
3.217998 89.450 -63.7755
3.241317 89.492 -64.7493
3.264805 89.531 -65.6889
3.288463 89.566 -66.5956
3.312293 89.596 -67.4730
3.336295 89.622 -68.3262
3.360471 89.642 -69.1594
3.384822 89.658 -69.9758
3.409350 89.668 -70.7766
3.434056 89.674 -71.5613
3.458940 89.676 -72.3281
3.484005 89.674 -73.0743
3.509252 89.669 -73.7961
3.534681 89.661 -74.4891
3.560295 89.651 -75.1489
3.586094 89.640 -75.7705
3.612081 89.627 -76.3495
3.638255 89.613 -76.8823
3.664620 89.598 -77.3666
3.691175 89.580 -77.8015
3.717923 89.560 -78.1876
3.744864 89.538 -78.5265
3.772001 89.513 -78.8199
3.799335 89.487 -79.0704
3.826866 89.460 -79.2798
3.854597 89.434 -79.4502
3.882529 89.410 -79.5835
3.910664 89.388 -79.6810
3.939002 89.370 -79.7437
3.967546 89.356 -79.7715
3.996296 89.349 -79.7632
4.025255 89.347 -79.7167
4.054423 89.351 -79.6293
4.083804 89.361 -79.4994
4.113396 89.376 -79.3275
4.143204 89.397 -79.1174
4.173227 89.423 -78.8750
4.203468 89.455 -78.6084
4.233928 89.493 -78.3265
4.264609 89.537 -78.0389
4.295512 89.588 -77.7543
4.326639 89.646 -77.4802
4.357992 89.712 -77.2216
4.389572 89.785 -76.9807
4.421380 89.867 -76.7573
4.453419 89.957 -76.5505
4.485691 90.055 -76.3601
4.518196 90.161 -76.1882
4.550936 90.273 -76.0386
4.583914 90.390 -75.9165
4.617131 90.512 -75.8276
4.650589 90.635 -75.7775
4.684289 90.761 -75.7712
4.718233 90.887 -75.8123
4.752424 91.014 -75.9026
4.786862 91.142 -76.0421
4.821549 91.270 -76.2286
4.856488 91.399 -76.4594
4.891680 91.528 -76.7311
4.927127 91.657 -77.0403
4.962831 91.784 -77.3844
4.998794 91.910 -77.7610
5.035017 92.032 -78.1686
5.071503 92.151 -78.6068
5.108253 92.266 -79.0757
5.145270 92.375 -79.5759
5.182555 92.481 -80.1075
5.220110 92.581 -80.6690
5.257937 92.677 -81.2568
5.296038 92.769 -81.8660
5.334415 92.855 -82.4910
5.373071 92.937 -83.1261
5.412006 93.014 -83.7668
5.451224 93.086 -84.4099
5.490725 93.152 -85.0544
5.530514 93.213 -85.7006
5.570590 93.268 -86.3491
5.610957 93.318 -86.9990
5.651616 93.363 -87.6477
5.692570 93.403 -88.2911
5.733821 93.439 -88.9242
5.775370 93.471 -89.5419
5.817221 93.499 -90.1403
5.859375 93.524 -90.7166
5.901834 93.545 -91.2702
5.944602 93.564 -91.8013
5.987679 93.579 -92.3102
6.031068 93.592 -92.7968
6.074771 93.603 -93.2601
6.118792 93.613 -93.6986
6.163131 93.623 -94.1105
6.207792 93.634 -94.4941
6.252776 93.646 -94.8483
6.298086 93.659 -95.1733
