* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -1.0 dBFS with no timing reference
* Dated: May 18, 2025 1:24:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Krio ANC Off L
* Measurement: L KZ Krio ANC OFF
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.565 157.0894
0.368865 94.559 157.0656
0.371538 94.551 157.0299
0.374230 94.540 156.9850
0.376942 94.528 156.9332
0.379673 94.516 156.8763
0.382424 94.502 156.8154
0.385196 94.489 156.7512
0.387987 94.475 156.6840
0.390798 94.461 156.6141
0.393630 94.446 156.5415
0.396483 94.432 156.4664
0.399356 94.418 156.3886
0.402250 94.403 156.3083
0.405165 94.388 156.2253
0.408101 94.374 156.1397
0.411058 94.359 156.0515
0.414037 94.344 155.9605
0.417037 94.329 155.8669
0.420059 94.313 155.7705
0.423103 94.298 155.6713
0.426169 94.283 155.5694
0.429257 94.267 155.4646
0.432368 94.251 155.3570
0.435501 94.236 155.2466
0.438656 94.220 155.1332
0.441835 94.204 155.0170
0.445037 94.188 154.8978
0.448262 94.171 154.7757
0.451510 94.155 154.6505
0.454782 94.138 154.5224
0.458077 94.122 154.3913
0.461397 94.105 154.2572
0.464740 94.088 154.1200
0.468108 94.071 153.9797
0.471500 94.054 153.8363
0.474917 94.037 153.6899
0.478358 94.020 153.5403
0.481825 94.002 153.3876
0.485316 93.985 153.2317
0.488833 93.967 153.0727
0.492375 93.949 152.9105
0.495943 93.931 152.7451
0.499537 93.913 152.5766
0.503157 93.895 152.4049
0.506803 93.877 152.2300
0.510475 93.858 152.0519
0.514175 93.839 151.8706
0.517900 93.821 151.6861
0.521653 93.802 151.4984
0.525434 93.783 151.3075
0.529241 93.764 151.1135
0.533076 93.744 150.9163
0.536939 93.725 150.7160
0.540830 93.705 150.5125
0.544749 93.685 150.3059
0.548696 93.666 150.0962
0.552673 93.646 149.8834
0.556677 93.625 149.6676
0.560711 93.605 149.4488
0.564774 93.585 149.2271
0.568867 93.564 149.0023
0.572989 93.543 148.7747
0.577141 93.522 148.5442
0.581324 93.501 148.3110
0.585536 93.480 148.0749
0.589779 93.459 147.8362
0.594053 93.437 147.5949
0.598358 93.416 147.3510
0.602694 93.394 147.1047
0.607061 93.372 146.8559
0.611460 93.350 146.6049
0.615891 93.327 146.3516
0.620354 93.305 146.0961
0.624849 93.282 145.8387
0.629377 93.259 145.5793
0.633938 93.236 145.3182
0.638532 93.213 145.0553
0.643159 93.190 144.7910
0.647819 93.167 144.5252
0.652514 93.143 144.2581
0.657242 93.119 143.9900
0.662005 93.095 143.7209
0.666802 93.071 143.4511
0.671634 93.047 143.1806
0.676501 93.022 142.9098
0.681403 92.997 142.6388
0.686341 92.973 142.3678
0.691314 92.947 142.0970
0.696324 92.922 141.8266
0.701370 92.896 141.5569
0.706452 92.870 141.2879
0.711571 92.844 141.0197
0.716728 92.817 140.7523
0.721921 92.788 140.4856
0.727153 92.759 140.2189
0.732422 92.727 139.9516
0.737729 92.693 139.6825
0.743075 92.658 139.4108
0.748460 92.620 139.1353
0.753883 92.582 138.8554
0.759346 92.542 138.5706
0.764849 92.502 138.2805
0.770391 92.461 137.9849
0.775974 92.419 137.6837
0.781597 92.377 137.3766
0.787261 92.334 137.0637
0.792966 92.291 136.7449
0.798712 92.247 136.4200
0.804500 92.203 136.0891
0.810329 92.158 135.7522
0.816201 92.112 135.4090
0.822116 92.066 135.0598
0.828073 92.019 134.7043
0.834074 91.971 134.3426
0.840118 91.923 133.9746
0.846206 91.874 133.6004
0.852338 91.824 133.2199
0.858514 91.773 132.8332
0.864735 91.721 132.4403
0.871001 91.669 132.0412
0.877313 91.616 131.6358
0.883670 91.561 131.2244
0.890074 91.506 130.8070
0.896524 91.449 130.3835
0.903020 91.392 129.9542
0.909564 91.333 129.5191
0.916155 91.274 129.0783
0.922794 91.213 128.6320
0.929481 91.151 128.1804
0.936216 91.087 127.7237
0.943000 91.023 127.2620
0.949834 90.956 126.7956
0.956717 90.889 126.3247
0.963649 90.820 125.8497
0.970632 90.750 125.3709
0.977666 90.678 124.8886
0.984750 90.604 124.4032
0.991886 90.529 123.9151
0.999074 90.452 123.4248
1.006314 90.373 122.9328
1.013606 90.292 122.4397
1.020951 90.210 121.9459
1.028349 90.125 121.4523
1.035801 90.039 120.9593
1.043307 89.950 120.4678
1.050867 89.859 119.9786
1.058482 89.767 119.4923
1.066152 89.672 119.0097
1.073878 89.575 118.5316
1.081660 89.476 118.0585
1.089498 89.376 117.5906
1.097393 89.274 117.1281
1.105345 89.173 116.6704
1.113355 89.071 116.2171
1.121423 88.971 115.7675
1.129549 88.872 115.3208
1.137734 88.774 114.8766
1.145979 88.677 114.4344
1.154283 88.581 113.9937
1.162647 88.486 113.5542
1.171072 88.391 113.1155
1.179558 88.297 112.6773
1.188106 88.202 112.2392
1.196715 88.106 111.8008
1.205387 88.010 111.3618
1.214122 87.911 110.9218
1.222920 87.811 110.4803
1.231782 87.709 110.0371
1.240708 87.603 109.5916
1.249699 87.494 109.1435
1.258754 87.380 108.6922
1.267876 87.262 108.2373
1.277063 87.139 107.7783
1.286318 87.010 107.3147
1.295639 86.874 106.8459
1.305027 86.732 106.3714
1.314484 86.581 105.8907
1.324009 86.423 105.4031
1.333604 86.255 104.9081
1.343268 86.077 104.4050
1.353002 85.888 103.8934
1.362806 85.688 103.3725
1.372681 85.476 102.8418
1.382628 85.250 102.3008
1.392647 85.011 101.7490
1.402739 84.756 101.1859
1.412904 84.486 100.6113
1.423142 84.198 100.0251
1.433455 83.891 99.4275
1.443843 83.564 98.8193
1.454305 83.213 98.2016
1.464844 82.836 97.5760
1.475459 82.429 96.9444
1.486150 81.988 96.3086
1.496920 81.511 95.6701
1.507767 80.996 95.0295
1.518693 80.443 94.3870
1.529698 79.853 93.7422
1.540783 79.226 93.0946
1.551948 78.566 92.4430
1.563194 77.873 91.7864
1.574521 77.151 91.1232
1.585931 76.402 90.4517
1.597423 75.630 89.7697
1.608999 74.838 89.0748
1.620658 74.029 88.3641
1.632402 73.208 87.6341
1.644232 72.378 86.8807
1.656146 71.543 86.0986
1.668147 70.710 85.2818
1.680235 69.883 84.4223
1.692411 69.067 83.5105
1.704675 68.268 82.5338
1.717028 67.494 81.4762
1.729470 66.751 80.3167
1.742003 66.047 79.0269
1.754626 65.392 77.5684
1.767341 64.793 75.8879
1.780147 64.262 73.9084
1.793047 63.808 71.5155
1.806040 63.442 68.5301
1.819128 63.174 64.6509
1.832310 63.010 59.3246
1.845587 62.956 51.4235
1.858961 63.011 38.4339
1.872432 63.175 15.1797
1.886001 63.441 -20.4506
1.899667 63.801 -51.5381
1.913433 64.248 -69.5045
1.927299 64.773 -79.8082
1.941265 65.364 -86.3902
1.955332 66.013 -91.0245
1.969501 66.710 -94.5332
1.983773 67.444 -97.3339
1.998148 68.207 -99.6572
2.012627 68.989 -101.6396
2.027212 69.781 -103.3670
2.041902 70.573 -104.8956
2.056698 71.358 -106.2637
2.071602 72.127 -107.4985
2.086614 72.871 -108.6199
2.101734 73.583 -109.6430
2.116964 74.256 -110.5799
2.132304 74.884 -111.4415
2.147756 75.462 -112.2389
2.163320 75.987 -112.9840
2.178996 76.459 -113.6914
2.194786 76.879 -114.3783
2.210690 77.252 -115.0631
2.226710 77.584 -115.7626
2.242845 77.880 -116.4885
2.259098 78.144 -117.2467
2.275468 78.378 -118.0386
2.291957 78.587 -118.8618
2.308566 78.770 -119.7119
2.325295 78.931 -120.5833
2.342145 79.070 -121.4698
2.359117 79.189 -122.3647
2.376212 79.289 -123.2613
2.393431 79.373 -124.1527
2.410775 79.441 -125.0320
2.428244 79.496 -125.8924
2.445840 79.538 -126.7271
2.463564 79.571 -127.5297
2.481416 79.595 -128.2947
2.499397 79.612 -129.0175
2.517509 79.623 -129.6959
2.535752 79.629 -130.3307
2.554127 79.629 -130.9270
2.572635 79.622 -131.4936
2.591277 79.606 -132.0417
2.610055 79.580 -132.5818
2.628968 79.542 -133.1215
2.648019 79.491 -133.6649
2.667208 79.427 -134.2133
2.686535 79.349 -134.7652
2.706003 79.258 -135.3172
2.725612 79.153 -135.8642
2.745363 79.036 -136.3997
2.765257 78.906 -136.9159
2.785295 78.763 -137.4034
2.805478 78.608 -137.8515
2.825808 78.441 -138.2483
2.846285 78.262 -138.5805
2.866910 78.070 -138.8345
2.887685 77.863 -138.9966
2.908611 77.640 -139.0541
2.929688 77.398 -138.9963
2.950917 77.132 -138.8145
2.972301 76.839 -138.5007
2.993839 76.519 -138.0459
3.015534 76.171 -137.4384
3.037386 75.799 -136.6637
3.059396 75.406 -135.7037
3.081565 74.999 -134.5371
3.103896 74.586 -133.1394
3.126388 74.175 -131.4842
3.149043 73.775 -129.5436
3.171862 73.397 -127.2906
3.194847 73.052 -124.7012
3.217998 72.753 -121.7576
3.241317 72.512 -118.4513
3.264805 72.338 -114.7863
3.288463 72.241 -110.7811
3.312293 72.224 -106.4727
3.336295 72.289 -101.9213
3.360471 72.431 -97.2156
3.384822 72.643 -92.4695
3.409350 72.916 -87.8088
3.434056 73.238 -83.3533
3.458940 73.601 -79.2020
3.484005 73.992 -75.4233
3.509252 74.401 -72.0548
3.534681 74.820 -69.1076
3.560295 75.240 -66.5726
3.586094 75.653 -64.4280
3.612081 76.057 -62.6443
3.638255 76.449 -61.1885
3.664620 76.830 -60.0258
3.691175 77.202 -59.1216
3.717923 77.570 -58.4422
3.744864 77.935 -57.9561
3.772001 78.297 -57.6345
3.799335 78.656 -57.4512
3.826866 79.010 -57.3831
3.854597 79.357 -57.4102
3.882529 79.694 -57.5156
3.910664 80.018 -57.6859
3.939002 80.328 -57.9107
3.967546 80.620 -58.1836
3.996296 80.893 -58.5017
4.025255 81.147 -58.8654
4.054423 81.380 -59.2770
4.083804 81.594 -59.7379
4.113396 81.789 -60.2461
4.143204 81.966 -60.7962
4.173227 82.127 -61.3796
4.203468 82.273 -61.9861
4.233928 82.404 -62.6047
4.264609 82.523 -63.2250
4.295512 82.630 -63.8379
4.326639 82.726 -64.4369
4.357992 82.812 -65.0188
4.389572 82.887 -65.5845
4.421380 82.950 -66.1377
4.453419 83.002 -66.6830
4.485691 83.042 -67.2232
4.518196 83.070 -67.7573
4.550936 83.087 -68.2810
4.583914 83.093 -68.7872
4.617131 83.090 -69.2672
4.650589 83.079 -69.7113
4.684289 83.060 -70.1100
4.718233 83.035 -70.4554
4.752424 83.002 -70.7421
4.786862 82.961 -70.9675
4.821549 82.914 -71.1317
4.856488 82.858 -71.2354
4.891680 82.797 -71.2795
4.927127 82.730 -71.2640
4.962831 82.660 -71.1882
4.998794 82.590 -71.0503
5.035017 82.520 -70.8480
5.071503 82.454 -70.5779
5.108253 82.393 -70.2364
5.145270 82.336 -69.8198
5.182555 82.285 -69.3265
5.220110 82.239 -68.7583
5.257937 82.199 -68.1216
5.296038 82.166 -67.4269
5.334415 82.141 -66.6879
5.373071 82.126 -65.9195
5.412006 82.123 -65.1366
5.451224 82.132 -64.3515
5.490725 82.155 -63.5735
5.530514 82.192 -62.8083
5.570590 82.244 -62.0610
5.610957 82.310 -61.3385
5.651616 82.387 -60.6505
5.692570 82.473 -60.0088
5.733821 82.568 -59.4256
5.775370 82.668 -58.9124
5.817221 82.772 -58.4779
5.859375 82.880 -58.1274
5.901834 82.991 -57.8620
5.944602 83.105 -57.6802
5.987679 83.220 -57.5783
6.031068 83.336 -57.5523
6.074771 83.451 -57.5984
6.118792 83.562 -57.7135
6.163131 83.668 -57.8955
6.207792 83.768 -58.1430
6.252776 83.861 -58.4551
6.298086 83.947 -58.8294
6.343725 84.025 -59.2610
6.389694 84.096 -59.7424
6.435996 84.159 -60.2642
6.482634 84.214 -60.8171
6.529610 84.261 -61.3930
6.576926 84.299 -61.9866
6.624585 84.329 -62.5952
6.672590 84.349 -63.2172
6.720942 84.361 -63.8496
