* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2023 1:12:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Dec 20
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.439 -20.9869
0.368865 89.436 -21.0073
0.371538 89.432 -21.0378
0.374230 89.426 -21.0761
0.376942 89.420 -21.1202
0.379673 89.414 -21.1687
0.382424 89.407 -21.2205
0.385196 89.400 -21.2750
0.387987 89.393 -21.3320
0.390798 89.386 -21.3911
0.393630 89.379 -21.4525
0.396483 89.372 -21.5159
0.399356 89.365 -21.5815
0.402250 89.357 -21.6491
0.405165 89.350 -21.7188
0.408101 89.343 -21.7907
0.411058 89.335 -21.8647
0.414037 89.328 -21.9409
0.417037 89.320 -22.0192
0.420059 89.312 -22.0997
0.423103 89.305 -22.1824
0.426169 89.297 -22.2673
0.429257 89.289 -22.3545
0.432367 89.281 -22.4439
0.435501 89.273 -22.5355
0.438656 89.265 -22.6295
0.441835 89.257 -22.7257
0.445037 89.249 -22.8242
0.448262 89.241 -22.9250
0.451510 89.233 -23.0281
0.454782 89.225 -23.1336
0.458077 89.216 -23.2413
0.461397 89.208 -23.3515
0.464740 89.199 -23.4639
0.468108 89.191 -23.5787
0.471500 89.182 -23.6959
0.474917 89.174 -23.8155
0.478358 89.165 -23.9374
0.481825 89.156 -24.0616
0.485316 89.147 -24.1883
0.488833 89.138 -24.3173
0.492375 89.130 -24.4486
0.495943 89.121 -24.5823
0.499537 89.111 -24.7184
0.503157 89.102 -24.8568
0.506803 89.093 -24.9976
0.510475 89.084 -25.1407
0.514174 89.074 -25.2860
0.517900 89.065 -25.4337
0.521653 89.055 -25.5837
0.525433 89.046 -25.7359
0.529241 89.036 -25.8904
0.533076 89.027 -26.0471
0.536939 89.017 -26.2060
0.540830 89.007 -26.3670
0.544749 88.997 -26.5302
0.548696 88.987 -26.6955
0.552673 88.977 -26.8628
0.556677 88.967 -27.0322
0.560711 88.957 -27.2036
0.564774 88.946 -27.3769
0.568867 88.936 -27.5521
0.572989 88.926 -27.7291
0.577141 88.915 -27.9080
0.581324 88.905 -28.0885
0.585536 88.894 -28.2708
0.589779 88.883 -28.4546
0.594053 88.872 -28.6400
0.598358 88.862 -28.8268
0.602694 88.851 -29.0150
0.607061 88.840 -29.2045
0.611460 88.828 -29.3952
0.615891 88.817 -29.5870
0.620354 88.806 -29.7798
0.624849 88.795 -29.9736
0.629377 88.783 -30.1681
0.633938 88.772 -30.3634
0.638532 88.760 -30.5592
0.643159 88.748 -30.7555
0.647819 88.736 -30.9520
0.652514 88.725 -31.1488
0.657242 88.713 -31.3456
0.662005 88.701 -31.5423
0.666802 88.688 -31.7387
0.671634 88.676 -31.9347
0.676501 88.664 -32.1301
0.681403 88.652 -32.3246
0.686341 88.639 -32.5183
0.691314 88.626 -32.7107
0.696324 88.614 -32.9019
0.701369 88.601 -33.0915
0.706452 88.588 -33.2795
0.711571 88.575 -33.4658
0.716727 88.561 -33.6502
0.721921 88.548 -33.8330
0.727153 88.533 -34.0145
0.732422 88.519 -34.1950
0.737729 88.503 -34.3752
0.743075 88.487 -34.5558
0.748460 88.470 -34.7374
0.753883 88.453 -34.9203
0.759346 88.435 -35.1050
0.764849 88.417 -35.2914
0.770391 88.398 -35.4799
0.775974 88.379 -35.6702
0.781597 88.359 -35.8626
0.787261 88.340 -36.0570
0.792965 88.319 -36.2533
0.798712 88.299 -36.4515
0.804499 88.278 -36.6516
0.810329 88.256 -36.8535
0.816201 88.235 -37.0572
0.822116 88.213 -37.2627
0.828073 88.190 -37.4698
0.834073 88.168 -37.6785
0.840118 88.145 -37.8887
0.846205 88.122 -38.1004
0.852337 88.098 -38.3134
0.858514 88.074 -38.5277
0.864735 88.050 -38.7432
0.871001 88.026 -38.9598
0.877313 88.001 -39.1773
0.883670 87.976 -39.3956
0.890074 87.951 -39.6146
0.896523 87.926 -39.8342
0.903020 87.900 -40.0541
0.909564 87.874 -40.2744
0.916155 87.849 -40.4947
0.922793 87.822 -40.7149
0.929480 87.796 -40.9348
0.936216 87.770 -41.1542
0.943000 87.743 -41.3728
0.949833 87.717 -41.5906
0.956716 87.690 -41.8071
0.963649 87.664 -42.0222
0.970632 87.637 -42.2356
0.977666 87.610 -42.4470
0.984750 87.583 -42.6560
0.991886 87.557 -42.8625
0.999074 87.530 -43.0660
1.006313 87.504 -43.2662
1.013605 87.477 -43.4628
1.020950 87.451 -43.6553
1.028349 87.425 -43.8433
1.035801 87.399 -44.0265
1.043306 87.373 -44.2044
1.050867 87.348 -44.3765
1.058482 87.323 -44.5424
1.066152 87.298 -44.7015
1.073878 87.273 -44.8535
1.081659 87.249 -44.9976
1.089498 87.225 -45.1335
1.097393 87.201 -45.2607
1.105345 87.177 -45.3787
1.113355 87.153 -45.4872
1.121422 87.128 -45.5860
1.129549 87.104 -45.6749
1.137734 87.079 -45.7539
1.145978 87.053 -45.8230
1.154283 87.028 -45.8822
1.162647 87.002 -45.9315
1.171072 86.976 -45.9711
1.179558 86.950 -46.0011
1.188106 86.924 -46.0216
1.196715 86.897 -46.0327
1.205387 86.871 -46.0346
1.214122 86.844 -46.0275
1.222920 86.818 -46.0115
1.231781 86.792 -45.9869
1.240708 86.766 -45.9538
1.249698 86.740 -45.9127
1.258754 86.715 -45.8637
1.267875 86.690 -45.8071
1.277063 86.665 -45.7432
1.286317 86.641 -45.6725
1.295638 86.618 -45.5954
1.305027 86.596 -45.5122
1.314484 86.574 -45.4234
1.324009 86.553 -45.3296
1.333603 86.534 -45.2312
1.343267 86.515 -45.1288
1.353001 86.497 -45.0231
1.362805 86.481 -44.9147
1.372681 86.467 -44.8042
1.382628 86.454 -44.6925
1.392647 86.442 -44.5801
1.402739 86.433 -44.4679
1.412904 86.425 -44.3564
1.423142 86.419 -44.2461
1.433455 86.415 -44.1374
1.443842 86.414 -44.0299
1.454305 86.415 -43.9231
1.464843 86.418 -43.8155
1.475458 86.423 -43.7056
1.486150 86.431 -43.5913
1.496919 86.441 -43.4714
1.507766 86.453 -43.3448
1.518692 86.467 -43.2113
1.529697 86.484 -43.0710
1.540782 86.502 -42.9241
1.551947 86.523 -42.7712
1.563193 86.546 -42.6130
1.574521 86.571 -42.4504
1.585931 86.598 -42.2842
1.597423 86.627 -42.1153
1.608998 86.658 -41.9446
1.620658 86.691 -41.7731
1.632402 86.726 -41.6018
1.644231 86.764 -41.4318
1.656146 86.803 -41.2641
1.668147 86.844 -41.0998
1.680235 86.886 -40.9399
1.692410 86.931 -40.7858
1.704674 86.977 -40.6383
1.717027 87.025 -40.4987
1.729469 87.075 -40.3682
1.742002 87.127 -40.2477
1.754625 87.180 -40.1383
1.767340 87.234 -40.0409
1.780147 87.291 -39.9563
1.793046 87.349 -39.8848
1.806040 87.408 -39.8264
1.819127 87.470 -39.7805
1.832309 87.534 -39.7457
1.845587 87.600 -39.7204
1.858961 87.669 -39.7030
1.872431 87.741 -39.6921
1.886000 87.816 -39.6871
1.899666 87.894 -39.6879
1.913432 87.975 -39.6947
1.927298 88.059 -39.7081
1.941264 88.145 -39.7288
1.955331 88.234 -39.7574
1.969500 88.326 -39.7948
1.983772 88.419 -39.8418
1.998147 88.514 -39.8994
2.012626 88.612 -39.9682
2.027211 88.710 -40.0492
2.041901 88.810 -40.1433
2.056697 88.911 -40.2512
2.071601 89.013 -40.3739
2.086613 89.115 -40.5121
2.101733 89.218 -40.6666
2.116963 89.320 -40.8384
2.132303 89.423 -41.0280
2.147755 89.525 -41.2360
2.163318 89.626 -41.4628
2.178995 89.727 -41.7085
2.194785 89.828 -41.9729
2.210689 89.929 -42.2550
2.226709 90.030 -42.5541
2.242844 90.131 -42.8691
2.259097 90.233 -43.1990
2.275467 90.335 -43.5430
2.291956 90.438 -43.9002
2.308565 90.542 -44.2702
2.325294 90.646 -44.6522
2.342144 90.750 -45.0458
2.359116 90.855 -45.4507
2.376211 90.960 -45.8663
2.393430 91.065 -46.2925
2.410774 91.169 -46.7289
2.428243 91.274 -47.1755
2.445839 91.378 -47.6321
2.463562 91.481 -48.0987
2.481415 91.584 -48.5754
2.499396 91.686 -49.0626
2.517508 91.787 -49.5607
2.535750 91.887 -50.0704
2.554126 91.985 -50.5924
2.572634 92.083 -51.1278
2.591276 92.180 -51.6772
2.610054 92.276 -52.2409
2.628967 92.371 -52.8187
2.648018 92.465 -53.4100
2.667206 92.558 -54.0136
2.686534 92.651 -54.6284
2.706002 92.742 -55.2531
2.725610 92.833 -55.8862
2.745361 92.923 -56.5264
2.765255 93.012 -57.1725
2.785294 93.099 -57.8233
2.805477 93.186 -58.4776
2.825807 93.272 -59.1346
2.846284 93.357 -59.7936
2.866909 93.441 -60.4544
2.887684 93.523 -61.1171
2.908609 93.605 -61.7826
2.929686 93.685 -62.4521
2.950916 93.763 -63.1273
2.972299 93.841 -63.8098
2.993838 93.917 -64.5004
3.015532 93.991 -65.1992
3.037384 94.065 -65.9058
3.059394 94.136 -66.6192
3.081564 94.207 -67.3380
3.103894 94.276 -68.0608
3.126386 94.344 -68.7859
3.149041 94.410 -69.5118
3.171861 94.476 -70.2369
3.194845 94.540 -70.9599
3.217996 94.603 -71.6797
3.241315 94.665 -72.3959
3.264803 94.725 -73.1084
3.288461 94.785 -73.8180
3.312291 94.843 -74.5262
3.336293 94.900 -75.2346
3.360469 94.955 -75.9445
3.384820 95.009 -76.6564
3.409348 95.061 -77.3702
3.434054 95.112 -78.0852
3.458938 95.161 -78.8001
3.484003 95.209 -79.5136
3.509250 95.256 -80.2239
3.534679 95.302 -80.9296
3.560293 95.347 -81.6289
3.586092 95.392 -82.3206
3.612079 95.435 -83.0036
3.638253 95.478 -83.6775
3.664618 95.519 -84.3427
3.691173 95.560 -84.9999
3.717921 95.600 -85.6503
3.744862 95.638 -86.2947
3.771999 95.676 -86.9337
3.799332 95.712 -87.5673
3.826864 95.748 -88.1953
3.854595 95.783 -88.8173
3.882527 95.818 -89.4325
3.910661 95.852 -90.0402
3.938999 95.886 -90.6395
3.967543 95.919 -91.2295
3.996294 95.953 -91.8096
4.025252 95.987 -92.3794
4.054421 96.020 -92.9389
4.083801 96.054 -93.4882
4.113394 96.087 -94.0278
4.143201 96.120 -94.5583
4.173225 96.153 -95.0803
4.203466 96.187 -95.5943
4.233926 96.220 -96.1010
4.264606 96.254 -96.6006
4.295509 96.288 -97.0934
4.326636 96.323 -97.5796
4.357989 96.358 -98.0590
4.389569 96.395 -98.5314
4.421378 96.432 -98.9964
4.453417 96.470 -99.4539
4.485688 96.509 -99.9039
4.518193 96.549 -100.3470
4.550934 96.589 -100.7843
4.583912 96.630 -101.2167
4.617129 96.672 -101.6456
4.650587 96.715 -102.0721
4.684287 96.759 -102.4973
4.718231 96.803 -102.9217
4.752421 96.849 -103.3458
4.786859 96.895 -103.7694
4.821547 96.942 -104.1923
4.856485 96.991 -104.6144
4.891677 97.040 -105.0361
4.927125 97.090 -105.4577
4.962829 97.140 -105.8802
4.998791 97.191 -106.3044
5.035015 97.242 -106.7313
5.071500 97.294 -107.1616
5.108251 97.346 -107.5960
5.145267 97.398 -108.0347
5.182552 97.451 -108.4778
5.220107 97.503 -108.9250
5.257934 97.556 -109.3761
5.296035 97.608 -109.8309
5.334412 97.661 -110.2891
5.373067 97.713 -110.7508
5.412003 97.765 -111.2159
5.451221 97.816 -111.6847
5.490722 97.866 -112.1574
5.530510 97.916 -112.6340
5.570587 97.965 -113.1147
5.610953 98.013 -113.5991
5.651613 98.061 -114.0866
5.692567 98.107 -114.5763
5.733818 98.153 -115.0675
5.775367 98.197 -115.5594
5.817218 98.241 -116.0515
5.859372 98.283 -116.5436
5.901831 98.324 -117.0357
5.944598 98.364 -117.5279
5.987675 98.403 -118.0198
6.031065 98.440 -118.5108
6.074768 98.476 -119.0002
