* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: May 13, 2024 12:28:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Vader 0011 L
* Measurement: L KZ Vader 0011
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.983 158.2726
0.368865 83.978 158.2506
0.371538 83.970 158.2178
0.374230 83.961 158.1765
0.376942 83.951 158.1289
0.379673 83.939 158.0766
0.382424 83.927 158.0206
0.385196 83.915 157.9616
0.387987 83.903 157.8998
0.390798 83.890 157.8356
0.393630 83.878 157.7689
0.396483 83.865 157.6999
0.399356 83.852 157.6285
0.402250 83.839 157.5547
0.405165 83.826 157.4785
0.408101 83.813 157.4000
0.411058 83.800 157.3190
0.414037 83.786 157.2355
0.417037 83.773 157.1496
0.420059 83.759 157.0612
0.423103 83.746 156.9702
0.426169 83.732 156.8768
0.429257 83.718 156.7808
0.432368 83.704 156.6822
0.435501 83.690 156.5810
0.438656 83.676 156.4772
0.441835 83.662 156.3708
0.445037 83.647 156.2617
0.448262 83.633 156.1499
0.451510 83.618 156.0355
0.454782 83.604 155.9183
0.458077 83.589 155.7985
0.461397 83.574 155.6759
0.464740 83.559 155.5505
0.468108 83.544 155.4224
0.471500 83.529 155.2916
0.474917 83.513 155.1579
0.478358 83.498 155.0214
0.481825 83.483 154.8822
0.485316 83.467 154.7401
0.488833 83.451 154.5952
0.492375 83.435 154.4475
0.495943 83.419 154.2970
0.499537 83.403 154.1436
0.503157 83.387 153.9874
0.506803 83.371 153.8284
0.510475 83.354 153.6666
0.514175 83.338 153.5019
0.517900 83.321 153.3344
0.521653 83.304 153.1642
0.525434 83.287 152.9911
0.529241 83.270 152.8152
0.533076 83.253 152.6366
0.536939 83.236 152.4552
0.540830 83.218 152.2711
0.544749 83.201 152.0843
0.548696 83.183 151.8948
0.552673 83.165 151.7026
0.556677 83.147 151.5078
0.560711 83.129 151.3105
0.564774 83.111 151.1106
0.568867 83.093 150.9082
0.572989 83.074 150.7033
0.577141 83.055 150.4960
0.581324 83.037 150.2864
0.585536 83.018 150.0745
0.589779 82.999 149.8603
0.594053 82.980 149.6440
0.598358 82.960 149.4255
0.602694 82.941 149.2051
0.607061 82.921 148.9827
0.611460 82.902 148.7585
0.615891 82.882 148.5325
0.620354 82.862 148.3048
0.624849 82.842 148.0756
0.629377 82.821 147.8449
0.633938 82.801 147.6129
0.638532 82.780 147.3797
0.643159 82.760 147.1454
0.647819 82.739 146.9102
0.652514 82.718 146.6742
0.657242 82.697 146.4376
0.662005 82.675 146.2005
0.666802 82.654 145.9631
0.671634 82.632 145.7256
0.676501 82.610 145.4881
0.681403 82.588 145.2509
0.686341 82.566 145.0142
0.691314 82.544 144.7781
0.696324 82.521 144.5429
0.701370 82.499 144.3088
0.706452 82.475 144.0759
0.711571 82.452 143.8442
0.716728 82.428 143.6139
0.721921 82.403 143.3848
0.727153 82.376 143.1563
0.732422 82.348 142.9279
0.737729 82.319 142.6987
0.743075 82.287 142.4678
0.748460 82.254 142.2344
0.753883 82.220 141.9978
0.759346 82.185 141.7577
0.764849 82.150 141.5137
0.770391 82.113 141.2658
0.775974 82.076 141.0137
0.781597 82.039 140.7574
0.787261 82.001 140.4969
0.792966 81.962 140.2321
0.798712 81.923 139.9631
0.804500 81.883 139.6898
0.810329 81.842 139.4122
0.816201 81.801 139.1303
0.822116 81.760 138.8442
0.828073 81.717 138.5538
0.834074 81.675 138.2592
0.840118 81.631 137.9604
0.846206 81.587 137.6575
0.852338 81.542 137.3504
0.858514 81.496 137.0392
0.864735 81.450 136.7241
0.871001 81.403 136.4050
0.877313 81.355 136.0821
0.883670 81.306 135.7555
0.890074 81.257 135.4252
0.896524 81.206 135.0915
0.903020 81.155 134.7543
0.909564 81.103 134.4140
0.916155 81.051 134.0706
0.922794 80.997 133.7243
0.929481 80.942 133.3754
0.936216 80.887 133.0241
0.943000 80.830 132.6706
0.949834 80.773 132.3152
0.956717 80.715 131.9582
0.963649 80.655 131.5999
0.970632 80.595 131.2406
0.977666 80.533 130.8807
0.984750 80.470 130.5207
0.991886 80.407 130.1610
0.999074 80.342 129.8020
1.006314 80.276 129.4442
1.013606 80.209 129.0883
1.020951 80.140 128.7347
1.028349 80.071 128.3842
1.035801 80.000 128.0372
1.043307 79.927 127.6947
1.050867 79.854 127.3573
1.058482 79.779 127.0257
1.066152 79.702 126.7008
1.073878 79.624 126.3833
1.081660 79.545 126.0739
1.089498 79.464 125.7731
1.097393 79.381 125.4813
1.105345 79.296 125.1987
1.113355 79.209 124.9253
1.121423 79.120 124.6610
1.129549 79.029 124.4058
1.137734 78.936 124.1594
1.145979 78.840 123.9221
1.154283 78.742 123.6936
1.162647 78.642 123.4742
1.171072 78.540 123.2637
1.179558 78.436 123.0624
1.188106 78.329 122.8702
1.196715 78.221 122.6873
1.205387 78.110 122.5137
1.214122 77.998 122.3495
1.222920 77.884 122.1950
1.231782 77.768 122.0500
1.240708 77.650 121.9149
1.249699 77.530 121.7897
1.258754 77.409 121.6746
1.267876 77.287 121.5696
1.277063 77.163 121.4750
1.286318 77.037 121.3908
1.295639 76.911 121.3172
1.305027 76.783 121.2544
1.314484 76.654 121.2024
1.324009 76.524 121.1614
1.333604 76.394 121.1315
1.343268 76.262 121.1128
1.353002 76.130 121.1053
1.362806 75.998 121.1091
1.372681 75.865 121.1243
1.382628 75.732 121.1509
1.392647 75.599 121.1888
1.402739 75.466 121.2381
1.412904 75.333 121.2990
1.423142 75.200 121.3717
1.433455 75.067 121.4570
1.443843 74.935 121.5561
1.454305 74.801 121.6711
1.464844 74.667 121.8052
1.475459 74.531 121.9624
1.486150 74.392 122.1469
1.496920 74.250 122.3627
1.507767 74.105 122.6134
1.518693 73.957 122.9015
1.529698 73.805 123.2293
1.540783 73.650 123.5987
1.551948 73.492 124.0112
1.563194 73.332 124.4682
1.574521 73.170 124.9709
1.585931 73.007 125.5203
1.597423 72.843 126.1173
1.608999 72.679 126.7626
1.620658 72.515 127.4566
1.632402 72.352 128.1996
1.644232 72.191 128.9914
1.656146 72.032 129.8315
1.668147 71.876 130.7190
1.680235 71.724 131.6526
1.692411 71.576 132.6302
1.704675 71.434 133.6496
1.717028 71.299 134.7076
1.729470 71.170 135.8006
1.742003 71.050 136.9244
1.754626 70.939 138.0744
1.767341 70.838 139.2455
1.780147 70.749 140.4330
1.793047 70.671 141.6323
1.806040 70.607 142.8402
1.819128 70.557 144.0547
1.832310 70.521 145.2757
1.845587 70.501 146.5043
1.858961 70.497 147.7411
1.872432 70.508 148.9848
1.886001 70.534 150.2321
1.899667 70.574 151.4776
1.913433 70.629 152.7149
1.927299 70.696 153.9366
1.941265 70.776 155.1355
1.955332 70.867 156.3043
1.969501 70.968 157.4364
1.983773 71.079 158.5257
1.998148 71.198 159.5669
2.012627 71.324 160.5553
2.027212 71.456 161.4871
2.041902 71.593 162.3590
2.056698 71.734 163.1686
2.071602 71.876 163.9139
2.086614 72.020 164.5933
2.101734 72.163 165.2059
2.116964 72.305 165.7510
2.132304 72.444 166.2281
2.147756 72.580 166.6370
2.163320 72.712 166.9779
2.178996 72.840 167.2511
2.194786 72.965 167.4574
2.210690 73.087 167.5978
2.226710 73.209 167.6741
2.242845 73.330 167.6888
2.259098 73.453 167.6447
2.275468 73.577 167.5450
2.291957 73.702 167.3932
2.308566 73.828 167.1928
2.325295 73.955 166.9475
2.342145 74.083 166.6606
2.359117 74.211 166.3356
2.376212 74.338 165.9757
2.393431 74.465 165.5838
2.410775 74.591 165.1628
2.428244 74.715 164.7151
2.445840 74.836 164.2429
2.463564 74.955 163.7479
2.481416 75.071 163.2314
2.499397 75.183 162.6937
2.517509 75.290 162.1343
2.535752 75.393 161.5514
2.554127 75.491 160.9418
2.572635 75.585 160.3013
2.591277 75.673 159.6257
2.610055 75.758 158.9120
2.628968 75.838 158.1591
2.648019 75.914 157.3679
2.667208 75.986 156.5406
2.686535 76.054 155.6807
2.706003 76.119 154.7919
2.725612 76.180 153.8787
2.745363 76.238 152.9455
2.765257 76.293 151.9968
2.785295 76.345 151.0370
2.805478 76.394 150.0703
2.825808 76.441 149.1004
2.846285 76.485 148.1304
2.866910 76.527 147.1623
2.887685 76.566 146.1966
2.908611 76.604 145.2317
2.929688 76.638 144.2640
2.950917 76.670 143.2882
2.972301 76.698 142.2991
2.993839 76.724 141.2924
3.015534 76.745 140.2663
3.037386 76.764 139.2205
3.059396 76.779 138.1564
3.081565 76.792 137.0766
3.103896 76.801 135.9845
3.126388 76.808 134.8839
3.149043 76.812 133.7791
3.171862 76.814 132.6745
3.194847 76.814 131.5744
3.217998 76.812 130.4826
3.241317 76.808 129.4017
3.264805 76.802 128.3331
3.288463 76.795 127.2757
3.312293 76.785 126.2267
3.336295 76.773 125.1822
3.360471 76.758 124.1385
3.384822 76.741 123.0933
3.409350 76.721 122.0460
3.434056 76.699 120.9973
3.458940 76.675 119.9493
3.484005 76.649 118.9052
3.509252 76.622 117.8691
3.534681 76.595 116.8455
3.560295 76.566 115.8393
3.586094 76.538 114.8557
3.612081 76.510 113.8990
3.638255 76.481 112.9731
3.664620 76.453 112.0801
3.691175 76.424 111.2203
3.717923 76.395 110.3928
3.744864 76.365 109.5958
3.772001 76.335 108.8276
3.799335 76.305 108.0863
3.826866 76.275 107.3707
3.854597 76.247 106.6796
3.882529 76.221 106.0128
3.910664 76.197 105.3705
3.939002 76.177 104.7534
3.967546 76.161 104.1632
3.996296 76.149 103.6024
4.025255 76.142 103.0741
4.054423 76.140 102.5813
4.083804 76.142 102.1259
4.113396 76.149 101.7082
4.143204 76.160 101.3261
4.173227 76.176 100.9760
4.203468 76.197 100.6527
4.233928 76.223 100.3507
4.264609 76.256 100.0643
4.295512 76.294 99.7883
4.326639 76.339 99.5187
4.357992 76.391 99.2534
4.389572 76.451 98.9922
4.421380 76.518 98.7367
4.453419 76.593 98.4887
4.485691 76.676 98.2483
4.518196 76.766 98.0135
4.550936 76.863 97.7803
4.583914 76.965 97.5433
4.617131 77.072 97.2963
4.650589 77.184 97.0333
4.684289 77.299 96.7490
4.718233 77.418 96.4395
4.752424 77.540 96.1032
4.786862 77.665 95.7404
4.821549 77.794 95.3527
4.856488 77.926 94.9423
4.891680 78.061 94.5111
4.927127 78.197 94.0602
4.962831 78.336 93.5898
4.998794 78.474 93.0997
5.035017 78.612 92.5893
5.071503 78.748 92.0575
5.108253 78.883 91.5033
5.145270 79.016 90.9261
5.182555 79.146 90.3265
5.220110 79.274 89.7061
5.257937 79.400 89.0680
5.296038 79.524 88.4162
5.334415 79.645 87.7546
5.373071 79.763 87.0871
5.412006 79.877 86.4164
5.451224 79.988 85.7442
5.490725 80.094 85.0707
5.530514 80.196 84.3956
5.570590 80.294 83.7186
5.610957 80.387 83.0410
5.651616 80.476 82.3655
5.692570 80.562 81.6960
5.733821 80.643 81.0369
5.775370 80.721 80.3921
5.817221 80.795 79.7649
5.859375 80.865 79.1566
5.901834 80.932 78.5676
5.944602 80.995 77.9976
5.987679 81.055 77.4466
6.031068 81.112 76.9156
6.074771 81.166 76.4066
6.118792 81.218 75.9216
6.163131 81.268 75.4631
6.207792 81.318 75.0329
6.252776 81.366 74.6318
6.298086 81.414 74.2596
6.343725 81.461 73.9153
6.389694 81.507 73.5972
6.435996 81.554 73.3034
6.482634 81.602 73.0321
6.529610 81.650 72.7821
6.576926 81.701 72.5523
6.624585 81.753 72.3420
6.672590 81.808 72.1502
6.720942 81.864 71.9745
6.769645 81.923 71.8117
6.818700 81.984 71.6577
6.868111 82.047 71.5085
6.917881 82.112 71.3607
6.968010 82.179 71.2117
7.018504 82.249 71.0600
7.069362 82.321 70.9041
7.120590 82.395 70.7422
7.172189 82.469 70.5720
7.224161 82.545 70.3907
7.276511 82.621 70.1960
7.329239 82.697 69.9862
7.382350 82.773 69.7605
