* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jun 21, 2025 11:48:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Vader Pro 1100 L
* Measurement: L KZ Vader Pro 1100
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.349 155.5459
0.368865 94.343 155.5204
0.371538 94.334 155.4822
0.374230 94.324 155.4341
0.376942 94.311 155.3788
0.379673 94.298 155.3179
0.382424 94.285 155.2527
0.385196 94.271 155.1839
0.387987 94.256 155.1119
0.390798 94.242 155.0370
0.393630 94.227 154.9593
0.396483 94.213 154.8788
0.399356 94.198 154.7954
0.402250 94.183 154.7093
0.405165 94.168 154.6203
0.408101 94.153 154.5286
0.411058 94.137 154.4339
0.414037 94.122 154.3363
0.417037 94.107 154.2358
0.420059 94.091 154.1324
0.423103 94.075 154.0260
0.426169 94.059 153.9165
0.429257 94.043 153.8040
0.432368 94.027 153.6885
0.435501 94.011 153.5699
0.438656 93.995 153.4481
0.441835 93.979 153.3232
0.445037 93.962 153.1952
0.448262 93.945 153.0639
0.451510 93.929 152.9295
0.454782 93.912 152.7918
0.458077 93.895 152.6508
0.461397 93.878 152.5065
0.464740 93.860 152.3590
0.468108 93.843 152.2081
0.471500 93.825 152.0539
0.474917 93.808 151.8963
0.478358 93.790 151.7354
0.481825 93.772 151.5710
0.485316 93.754 151.4032
0.488833 93.736 151.2321
0.492375 93.718 151.0575
0.495943 93.699 150.8794
0.499537 93.681 150.6979
0.503157 93.662 150.5130
0.506803 93.643 150.3246
0.510475 93.624 150.1327
0.514175 93.605 149.9373
0.517900 93.586 149.7385
0.521653 93.566 149.5362
0.525434 93.547 149.3305
0.529241 93.527 149.1213
0.533076 93.507 148.9087
0.536939 93.487 148.6927
0.540830 93.467 148.4732
0.544749 93.447 148.2504
0.548696 93.427 148.0242
0.552673 93.406 147.7947
0.556677 93.385 147.5618
0.560711 93.365 147.3257
0.564774 93.344 147.0863
0.568867 93.323 146.8438
0.572989 93.301 146.5981
0.577141 93.280 146.3493
0.581324 93.258 146.0974
0.585536 93.236 145.8425
0.589779 93.215 145.5847
0.594053 93.192 145.3241
0.598358 93.170 145.0606
0.602694 93.148 144.7945
0.607061 93.125 144.5257
0.611460 93.103 144.2544
0.615891 93.080 143.9807
0.620354 93.057 143.7046
0.624849 93.033 143.4263
0.629377 93.010 143.1459
0.633938 92.987 142.8636
0.638532 92.963 142.5794
0.643159 92.939 142.2935
0.647819 92.915 142.0060
0.652514 92.891 141.7171
0.657242 92.866 141.4271
0.662005 92.842 141.1359
0.666802 92.817 140.8439
0.671634 92.792 140.5512
0.676501 92.767 140.2581
0.681403 92.741 139.9647
0.686341 92.716 139.6712
0.691314 92.690 139.3780
0.696324 92.664 139.0851
0.701370 92.638 138.7928
0.706452 92.611 138.5013
0.711571 92.584 138.2107
0.716728 92.556 137.9208
0.721921 92.527 137.6315
0.727153 92.496 137.3422
0.732422 92.464 137.0521
0.737729 92.429 136.7600
0.743075 92.393 136.4648
0.748460 92.354 136.1654
0.753883 92.314 135.8611
0.759346 92.274 135.5514
0.764849 92.232 135.2357
0.770391 92.190 134.9138
0.775974 92.147 134.5856
0.781597 92.104 134.2510
0.787261 92.060 133.9097
0.792966 92.016 133.5618
0.798712 91.971 133.2072
0.804500 91.925 132.8458
0.810329 91.879 132.4775
0.816201 91.832 132.1023
0.822116 91.785 131.7202
0.828073 91.737 131.3310
0.834074 91.688 130.9348
0.840118 91.638 130.5316
0.846206 91.588 130.1212
0.852338 91.536 129.7038
0.858514 91.484 129.2793
0.864735 91.431 128.8477
0.871001 91.377 128.4090
0.877313 91.322 127.9633
0.883670 91.266 127.5106
0.890074 91.210 127.0509
0.896524 91.152 126.5844
0.903020 91.093 126.1112
0.909564 91.032 125.6313
0.916155 90.971 125.1449
0.922794 90.908 124.6521
0.929481 90.844 124.1531
0.936216 90.779 123.6481
0.943000 90.712 123.1374
0.949834 90.644 122.6211
0.956717 90.574 122.0996
0.963649 90.503 121.5732
0.970632 90.431 121.0422
0.977666 90.356 120.5070
0.984750 90.280 119.9680
0.991886 90.202 119.4257
0.999074 90.122 118.8806
1.006314 90.041 118.3331
1.013606 89.957 117.7840
1.020951 89.872 117.2339
1.028349 89.784 116.6833
1.035801 89.694 116.1332
1.043307 89.602 115.5842
1.050867 89.508 115.0371
1.058482 89.411 114.4928
1.066152 89.312 113.9521
1.073878 89.210 113.4157
1.081660 89.107 112.8841
1.089498 89.001 112.3576
1.097393 88.893 111.8360
1.105345 88.784 111.3188
1.113355 88.673 110.8051
1.121423 88.561 110.2940
1.129549 88.448 109.7846
1.137734 88.335 109.2761
1.145979 88.221 108.7679
1.154283 88.105 108.2594
1.162647 87.989 107.7500
1.171072 87.871 107.2392
1.179558 87.752 106.7265
1.188106 87.631 106.2114
1.196715 87.509 105.6933
1.205387 87.384 105.1716
1.214122 87.257 104.6458
1.222920 87.128 104.1153
1.231782 86.995 103.5795
1.240708 86.860 103.0376
1.249699 86.721 102.4891
1.258754 86.579 101.9331
1.267876 86.433 101.3691
1.277063 86.283 100.7961
1.286318 86.128 100.2134
1.295639 85.969 99.6203
1.305027 85.804 99.0157
1.314484 85.634 98.3989
1.324009 85.458 97.7690
1.333604 85.276 97.1250
1.343268 85.087 96.4660
1.353002 84.891 95.7912
1.362806 84.688 95.0996
1.372681 84.478 94.3903
1.382628 84.259 93.6625
1.392647 84.031 92.9156
1.402739 83.794 92.1488
1.412904 83.547 91.3618
1.423142 83.290 90.5543
1.433455 83.021 89.7263
1.443843 82.738 88.8783
1.454305 82.441 88.0108
1.464844 82.127 87.1246
1.475459 81.793 86.2202
1.486150 81.435 85.2977
1.496920 81.053 84.3562
1.507767 80.645 83.3941
1.518693 80.211 82.4089
1.529698 79.751 81.3973
1.540783 79.266 80.3551
1.551948 78.758 79.2777
1.563194 78.229 78.1592
1.574521 77.680 76.9930
1.585931 77.114 75.7711
1.597423 76.533 74.4842
1.608999 75.941 73.1208
1.620658 75.339 71.6676
1.632402 74.730 70.1082
1.644232 74.119 68.4225
1.656146 73.507 66.5863
1.668147 72.899 64.5690
1.680235 72.299 62.3331
1.692411 71.711 59.8312
1.704675 71.139 57.0041
1.717028 70.588 53.7769
1.729470 70.063 50.0562
1.742003 69.569 45.7269
1.754626 69.113 40.6518
1.767341 68.700 34.6777
1.780147 68.338 27.6561
1.793047 68.033 19.4861
1.806040 67.791 10.1837
1.819128 67.620 -0.0464
1.832310 67.522 -10.7927
1.845587 67.502 -21.5231
1.858961 67.560 -31.7400
1.872432 67.696 -41.1050
1.886001 67.905 -49.4693
1.899667 68.183 -56.8306
1.913433 68.524 -63.2700
1.927299 68.924 -68.9019
1.941265 69.374 -73.8437
1.955332 69.868 -78.2024
1.969501 70.400 -82.0699
1.983773 70.962 -85.5222
1.998148 71.548 -88.6217
2.012627 72.150 -91.4191
2.027212 72.762 -93.9556
2.041902 73.378 -96.2649
2.056698 73.989 -98.3743
2.071602 74.589 -100.3065
2.086614 75.173 -102.0805
2.101734 75.733 -103.7123
2.116964 76.264 -105.2162
2.132304 76.760 -106.6057
2.147756 77.219 -107.8941
2.163320 77.636 -109.0963
2.178996 78.011 -110.2294
2.194786 78.346 -111.3129
2.210690 78.645 -112.3679
2.226710 78.910 -113.4138
2.242845 79.147 -114.4652
2.259098 79.359 -115.5309
2.275468 79.548 -116.6148
2.291957 79.717 -117.7171
2.308566 79.866 -118.8356
2.325295 79.997 -119.9664
2.342145 80.111 -121.1047
2.359117 80.209 -122.2453
2.376212 80.292 -123.3822
2.393431 80.361 -124.5095
2.410775 80.417 -125.6209
2.428244 80.462 -126.7101
2.445840 80.496 -127.7708
2.463564 80.522 -128.7968
2.481416 80.539 -129.7829
2.499397 80.549 -130.7249
2.517509 80.553 -131.6207
2.535752 80.551 -132.4717
2.554127 80.543 -133.2831
2.572635 80.529 -134.0641
2.591277 80.507 -134.8270
2.610055 80.476 -135.5828
2.628968 80.436 -136.3403
2.648019 80.385 -137.1046
2.667208 80.323 -137.8780
2.686535 80.249 -138.6600
2.706003 80.163 -139.4483
2.725612 80.064 -140.2388
2.745363 79.952 -141.0260
2.765257 79.827 -141.8028
2.785295 79.689 -142.5607
2.805478 79.536 -143.2900
2.825808 79.369 -143.9794
2.846285 79.187 -144.6167
2.866910 78.988 -145.1892
2.887685 78.770 -145.6845
2.908611 78.531 -146.0916
2.929688 78.268 -146.4024
2.950917 77.976 -146.6114
2.972301 77.653 -146.7146
2.993839 77.297 -146.7077
3.015534 76.909 -146.5840
3.037386 76.492 -146.3338
3.059396 76.050 -145.9438
3.081565 75.590 -145.3972
3.103896 75.119 -144.6729
3.126388 74.646 -143.7457
3.149043 74.179 -142.5862
3.171862 73.731 -141.1607
3.194847 73.312 -139.4316
3.217998 72.934 -137.3578
3.241317 72.610 -134.8959
3.264805 72.350 -132.0021
3.288463 72.162 -128.6348
3.312293 72.051 -124.7624
3.336295 72.017 -120.3761
3.360471 72.056 -115.5101
3.384822 72.163 -110.2562
3.409350 72.330 -104.7645
3.434056 72.549 -99.2268
3.458940 72.809 -93.8450
3.484005 73.104 -88.7965
3.509252 73.424 -84.2105
3.534681 73.762 -80.1601
3.560295 74.110 -76.6687
3.586094 74.465 -73.7235
3.612081 74.822 -71.2887
3.638255 75.182 -69.3165
3.664620 75.545 -67.7542
3.691175 75.915 -66.5486
3.717923 76.293 -65.6492
3.744864 76.681 -65.0096
3.772001 77.077 -64.5881
3.799335 77.479 -64.3483
3.826866 77.881 -64.2584
3.854597 78.280 -64.2916
3.882529 78.670 -64.4259
3.910664 79.046 -64.6438
3.939002 79.404 -64.9326
3.967546 79.740 -65.2842
3.996296 80.051 -65.6951
4.025255 80.337 -66.1661
4.054423 80.596 -66.6997
4.083804 80.831 -67.2972
4.113396 81.043 -67.9562
4.143204 81.233 -68.6696
4.173227 81.404 -69.4268
4.203468 81.557 -70.2152
4.233928 81.693 -71.0217
4.264609 81.814 -71.8338
4.295512 81.922 -72.6412
4.326639 82.016 -73.4367
4.357992 82.099 -74.2175
4.389572 82.169 -74.9857
4.421380 82.226 -75.7471
4.453419 82.270 -76.5084
4.485691 82.300 -77.2734
4.518196 82.316 -78.0415
4.550936 82.319 -78.8074
4.583914 82.309 -79.5624
4.617131 82.287 -80.2950
4.650589 82.254 -80.9931
4.684289 82.210 -81.6447
4.718233 82.156 -82.2399
4.752424 82.092 -82.7724
4.786862 82.016 -83.2396
4.821549 81.930 -83.6423
4.856488 81.832 -83.9815
4.891680 81.724 -84.2574
4.927127 81.608 -84.4682
4.962831 81.486 -84.6098
4.998794 81.360 -84.6766
5.035017 81.233 -84.6608
5.071503 81.106 -84.5540
5.108253 80.980 -84.3470
5.145270 80.858 -84.0315
5.182555 80.737 -83.6017
5.220110 80.620 -83.0565
5.257937 80.507 -82.4006
5.296038 80.400 -81.6440
5.334415 80.302 -80.8010
5.373071 80.216 -79.8888
5.412006 80.147 -78.9249
5.451224 80.096 -77.9254
5.490725 80.067 -76.9026
5.530514 80.060 -75.8660
5.570590 80.075 -74.8252
5.610957 80.110 -73.7936
5.651616 80.165 -72.7896
5.692570 80.235 -71.8350
5.733821 80.318 -70.9523
5.775370 80.413 -70.1619
5.817221 80.516 -69.4799
5.859375 80.628 -68.9159
5.901834 80.747 -68.4729
5.944602 80.873 -68.1492
5.987679 81.004 -67.9403
6.031068 81.139 -67.8412
6.074771 81.273 -67.8471
6.118792 81.405 -67.9542
6.163131 81.530 -68.1601
6.207792 81.648 -68.4634
6.252776 81.757 -68.8626
6.298086 81.856 -69.3541
6.343725 81.946 -69.9306
6.389694 82.026 -70.5811
6.435996 82.096 -71.2923
6.482634 82.155 -72.0512
6.529610 82.203 -72.8472
6.576926 82.239 -73.6737
6.624585 82.262 -74.5277
6.672590 82.274 -75.4077
6.720942 82.273 -76.3098
