* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: Apr 16, 2024 5:21:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L KZ ZS10 PRO 2 1100 18
* Measurement: L KZ ZS10 PRO 2 1100 18
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.211 156.3782
0.368865 83.205 156.3535
0.371538 83.196 156.3164
0.374230 83.185 156.2698
0.376942 83.172 156.2161
0.379673 83.158 156.1571
0.382424 83.144 156.0938
0.385196 83.129 156.0271
0.387987 83.114 155.9573
0.390798 83.099 155.8846
0.393630 83.084 155.8092
0.396483 83.069 155.7310
0.399356 83.053 155.6502
0.402250 83.037 155.5666
0.405165 83.022 155.4802
0.408101 83.006 155.3911
0.411058 82.990 155.2993
0.414037 82.974 155.2045
0.417037 82.957 155.1070
0.420059 82.941 155.0065
0.423103 82.925 154.9032
0.426169 82.908 154.7969
0.429257 82.891 154.6877
0.432368 82.874 154.5755
0.435501 82.858 154.4602
0.438656 82.840 154.3420
0.441835 82.823 154.2207
0.445037 82.806 154.0962
0.448262 82.788 153.9687
0.451510 82.771 153.8381
0.454782 82.753 153.7043
0.458077 82.735 153.5672
0.461397 82.717 153.4270
0.464740 82.699 153.2836
0.468108 82.681 153.1369
0.471500 82.663 152.9870
0.474917 82.644 152.8338
0.478358 82.626 152.6773
0.481825 82.607 152.5175
0.485316 82.588 152.3543
0.488833 82.569 152.1878
0.492375 82.550 152.0179
0.495943 82.530 151.8447
0.499537 82.511 151.6681
0.503157 82.491 151.4881
0.506803 82.472 151.3047
0.510475 82.452 151.1180
0.514175 82.432 150.9278
0.517900 82.412 150.7342
0.521653 82.391 150.5372
0.525434 82.371 150.3369
0.529241 82.350 150.1331
0.533076 82.330 149.9260
0.536939 82.309 149.7155
0.540830 82.288 149.5016
0.544749 82.266 149.2844
0.548696 82.245 149.0639
0.552673 82.224 148.8401
0.556677 82.202 148.6130
0.560711 82.180 148.3827
0.564774 82.158 148.1492
0.568867 82.136 147.9125
0.572989 82.114 147.6726
0.577141 82.091 147.4297
0.581324 82.068 147.1838
0.585536 82.046 146.9349
0.589779 82.023 146.6830
0.594053 82.000 146.4283
0.598358 81.976 146.1709
0.602694 81.953 145.9106
0.607061 81.929 145.6478
0.611460 81.905 145.3824
0.615891 81.881 145.1146
0.620354 81.857 144.8444
0.624849 81.833 144.5719
0.629377 81.809 144.2973
0.633938 81.784 144.0207
0.638532 81.759 143.7422
0.643159 81.734 143.4619
0.647819 81.709 143.1800
0.652514 81.683 142.8967
0.657242 81.658 142.6120
0.662005 81.632 142.3261
0.666802 81.606 142.0393
0.671634 81.580 141.7518
0.676501 81.554 141.4636
0.681403 81.527 141.1751
0.686341 81.500 140.8864
0.691314 81.473 140.5977
0.696324 81.446 140.3093
0.701370 81.419 140.0213
0.706452 81.391 139.7340
0.711571 81.362 139.4473
0.716728 81.333 139.1613
0.721921 81.302 138.8756
0.727153 81.270 138.5898
0.732422 81.236 138.3030
0.737729 81.199 138.0141
0.743075 81.161 137.7219
0.748460 81.120 137.4254
0.753883 81.078 137.1239
0.759346 81.035 136.8167
0.764849 80.992 136.5034
0.770391 80.947 136.1839
0.775974 80.902 135.8578
0.781597 80.856 135.5251
0.787261 80.810 135.1857
0.792966 80.763 134.8393
0.798712 80.716 134.4860
0.804500 80.668 134.1257
0.810329 80.619 133.7583
0.816201 80.570 133.3837
0.822116 80.520 133.0018
0.828073 80.469 132.6127
0.834074 80.417 132.2162
0.840118 80.365 131.8122
0.846206 80.311 131.4009
0.852338 80.257 130.9820
0.858514 80.202 130.5557
0.864735 80.146 130.1218
0.871001 80.089 129.6804
0.877313 80.031 129.2315
0.883670 79.972 128.7751
0.890074 79.912 128.3112
0.896524 79.851 127.8399
0.903020 79.788 127.3612
0.909564 79.725 126.8752
0.916155 79.660 126.3820
0.922794 79.593 125.8818
0.929481 79.526 125.3746
0.936216 79.456 124.8606
0.943000 79.386 124.3401
0.949834 79.313 123.8132
0.956717 79.240 123.2801
0.963649 79.164 122.7412
0.970632 79.087 122.1967
0.977666 79.008 121.6470
0.984750 78.927 121.0924
0.991886 78.844 120.5334
0.999074 78.759 119.9704
1.006314 78.672 119.4039
1.013606 78.583 118.8345
1.020951 78.492 118.2628
1.028349 78.399 117.6893
1.035801 78.303 117.1148
1.043307 78.205 116.5400
1.050867 78.104 115.9657
1.058482 78.000 115.3926
1.066152 77.894 114.8216
1.073878 77.785 114.2532
1.081660 77.673 113.6879
1.089498 77.558 113.1258
1.097393 77.439 112.5668
1.105345 77.316 112.0100
1.113355 77.190 111.4546
1.121423 77.060 110.8993
1.129549 76.926 110.3431
1.137734 76.788 109.7851
1.145979 76.645 109.2245
1.154283 76.499 108.6604
1.162647 76.348 108.0921
1.171072 76.193 107.5189
1.179558 76.035 106.9399
1.188106 75.872 106.3546
1.196715 75.706 105.7619
1.205387 75.537 105.1612
1.214122 75.363 104.5514
1.222920 75.187 103.9317
1.231782 75.007 103.3010
1.240708 74.824 102.6582
1.249699 74.638 102.0023
1.258754 74.449 101.3321
1.267876 74.258 100.6462
1.277063 74.064 99.9433
1.286318 73.868 99.2221
1.295639 73.669 98.4809
1.305027 73.469 97.7183
1.314484 73.267 96.9324
1.324009 73.063 96.1217
1.333604 72.858 95.2841
1.343268 72.652 94.4178
1.353002 72.445 93.5208
1.362806 72.238 92.5910
1.372681 72.030 91.6264
1.382628 71.822 90.6247
1.392647 71.614 89.5840
1.402739 71.407 88.5021
1.412904 71.200 87.3770
1.423142 70.994 86.2069
1.433455 70.789 84.9900
1.443843 70.584 83.7246
1.454305 70.378 82.4085
1.464844 70.171 81.0395
1.475459 69.962 79.6139
1.486150 69.748 78.1270
1.496920 69.529 76.5724
1.507767 69.304 74.9421
1.518693 69.072 73.2270
1.529698 68.835 71.4160
1.540783 68.592 69.4967
1.551948 68.344 67.4549
1.563194 68.091 65.2748
1.574521 67.836 62.9382
1.585931 67.578 60.4251
1.597423 67.318 57.7133
1.608999 67.059 54.7788
1.620658 66.800 51.5960
1.632402 66.543 48.1391
1.644232 66.290 44.3834
1.656146 66.041 40.3075
1.668147 65.799 35.8971
1.680235 65.564 31.1489
1.692411 65.339 26.0757
1.704675 65.125 20.7102
1.717028 64.923 15.1081
1.729470 64.736 9.3472
1.742003 64.565 3.5219
1.754626 64.412 -2.2659
1.767341 64.280 -7.9181
1.780147 64.172 -13.3517
1.793047 64.088 -18.5062
1.806040 64.032 -23.3476
1.819128 64.006 -27.8673
1.832310 64.012 -32.0779
1.845587 64.052 -36.0058
1.858961 64.128 -39.6827
1.872432 64.238 -43.1388
1.886001 64.382 -46.3990
1.899667 64.559 -49.4831
1.913433 64.766 -52.4065
1.927299 65.002 -55.1813
1.941265 65.263 -57.8171
1.955332 65.546 -60.3218
1.969501 65.849 -62.7019
1.983773 66.168 -64.9632
1.998148 66.500 -67.1107
2.012627 66.842 -69.1486
2.027212 67.191 -71.0809
2.041902 67.543 -72.9107
2.056698 67.894 -74.6413
2.071602 68.241 -76.2754
2.086614 68.581 -77.8155
2.101734 68.909 -79.2641
2.116964 69.224 -80.6242
2.132304 69.521 -81.8988
2.147756 69.798 -83.0924
2.163320 70.053 -84.2110
2.178996 70.287 -85.2630
2.194786 70.498 -86.2591
2.210690 70.689 -87.2121
2.226710 70.862 -88.1346
2.242845 71.019 -89.0366
2.259098 71.162 -89.9253
2.275468 71.292 -90.8046
2.291957 71.412 -91.6760
2.308566 71.520 -92.5394
2.325295 71.619 -93.3935
2.342145 71.708 -94.2361
2.359117 71.789 -95.0647
2.376212 71.862 -95.8761
2.393431 71.927 -96.6666
2.410775 71.986 -97.4327
2.428244 72.039 -98.1701
2.445840 72.087 -98.8746
2.463564 72.130 -99.5419
2.481416 72.169 -100.1679
2.499397 72.205 -100.7488
2.517509 72.238 -101.2819
2.535752 72.267 -101.7658
2.554127 72.292 -102.2013
2.572635 72.312 -102.5910
2.591277 72.326 -102.9393
2.610055 72.334 -103.2505
2.628968 72.333 -103.5281
2.648019 72.326 -103.7744
2.667208 72.311 -103.9904
2.686535 72.290 -104.1761
2.706003 72.262 -104.3307
2.725612 72.230 -104.4529
2.745363 72.194 -104.5411
2.765257 72.156 -104.5929
2.785295 72.116 -104.6061
2.805478 72.075 -104.5779
2.825808 72.036 -104.5053
2.846285 71.998 -104.3853
2.866910 71.963 -104.2144
2.887685 71.932 -103.9891
2.908611 71.904 -103.7057
2.929688 71.880 -103.3602
2.950917 71.859 -102.9493
2.972301 71.839 -102.4704
2.993839 71.821 -101.9228
3.015534 71.804 -101.3075
3.037386 71.788 -100.6272
3.059396 71.773 -99.8861
3.081565 71.762 -99.0897
3.103896 71.754 -98.2446
3.126388 71.751 -97.3585
3.149043 71.754 -96.4396
3.171862 71.764 -95.4970
3.194847 71.783 -94.5394
3.217998 71.811 -93.5752
3.241317 71.851 -92.6113
3.264805 71.903 -91.6524
3.288463 71.968 -90.7000
3.312293 72.047 -89.7536
3.336295 72.140 -88.8114
3.360471 72.247 -87.8739
3.384822 72.367 -86.9444
3.409350 72.498 -86.0289
3.434056 72.640 -85.1356
3.458940 72.790 -84.2735
3.484005 72.948 -83.4520
3.509252 73.111 -82.6802
3.534681 73.278 -81.9662
3.560295 73.446 -81.3171
3.586094 73.616 -80.7384
3.612081 73.786 -80.2337
3.638255 73.955 -79.8043
3.664620 74.125 -79.4488
3.691175 74.294 -79.1639
3.717923 74.465 -78.9449
3.744864 74.637 -78.7869
3.772001 74.811 -78.6851
3.799335 74.985 -78.6353
3.826866 75.159 -78.6339
3.854597 75.332 -78.6775
3.882529 75.502 -78.7635
3.910664 75.669 -78.8896
3.939002 75.832 -79.0543
3.967546 75.989 -79.2570
3.996296 76.140 -79.4976
4.025255 76.284 -79.7769
4.054423 76.422 -80.0958
4.083804 76.554 -80.4542
4.113396 76.680 -80.8504
4.143204 76.800 -81.2813
4.173227 76.914 -81.7423
4.203468 77.022 -82.2280
4.233928 77.124 -82.7330
4.264609 77.221 -83.2520
4.295512 77.312 -83.7808
4.326639 77.398 -84.3163
4.357992 77.477 -84.8574
4.389572 77.549 -85.4049
4.421380 77.615 -85.9610
4.453419 77.675 -86.5279
4.485691 77.727 -87.1065
4.518196 77.774 -87.6956
4.550936 77.813 -88.2919
4.583914 77.847 -88.8907
4.617131 77.876 -89.4866
4.650589 77.899 -90.0740
4.684289 77.917 -90.6478
4.718233 77.930 -91.2043
4.752424 77.939 -91.7418
4.786862 77.942 -92.2603
4.821549 77.941 -92.7613
4.856488 77.934 -93.2459
4.891680 77.923 -93.7147
4.927127 77.907 -94.1669
4.962831 77.888 -94.6008
4.998794 77.866 -95.0137
5.035017 77.842 -95.4026
5.071503 77.817 -95.7642
5.108253 77.791 -96.0957
5.145270 77.765 -96.3952
5.182555 77.737 -96.6618
5.220110 77.709 -96.8964
5.257937 77.680 -97.1009
5.296038 77.652 -97.2781
5.334415 77.625 -97.4312
5.373071 77.600 -97.5635
5.412006 77.578 -97.6775
5.451224 77.559 -97.7749
5.490725 77.545 -97.8563
5.530514 77.536 -97.9218
5.570590 77.531 -97.9719
5.610957 77.531 -98.0092
5.651616 77.535 -98.0382
5.692570 77.544 -98.0651
5.733821 77.557 -98.0967
5.775370 77.575 -98.1398
5.817221 77.598 -98.1999
5.859375 77.626 -98.2803
5.901834 77.659 -98.3829
5.944602 77.697 -98.5085
5.987679 77.739 -98.6582
6.031068 77.785 -98.8342
6.074771 77.834 -99.0393
6.118792 77.885 -99.2771
6.163131 77.938 -99.5509
6.207792 77.991 -99.8632
6.252776 78.045 -100.2154
6.298086 78.099 -100.6074
6.343725 78.154 -101.0374
6.389694 78.208 -101.5032
6.435996 78.261 -102.0017
6.482634 78.312 -102.5305
6.529610 78.361 -103.0875
6.576926 78.408 -103.6718
6.624585 78.451 -104.2825
6.672590 78.491 -104.9188
