* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 18, 2024 12:12:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZS10 Pro 2 1110 L
* Measurement: L KZ ZS10 Pro 2 1110
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 77.197 -171.2782
0.368865 77.198 -171.2816
0.371538 77.200 -171.2867
0.374230 77.202 -171.2931
0.376942 77.204 -171.3002
0.379673 77.206 -171.3079
0.382424 77.208 -171.3159
0.385196 77.211 -171.3241
0.387987 77.213 -171.3326
0.390798 77.216 -171.3411
0.393630 77.218 -171.3498
0.396483 77.221 -171.3586
0.399356 77.223 -171.3674
0.402250 77.226 -171.3764
0.405165 77.228 -171.3855
0.408101 77.231 -171.3947
0.411058 77.233 -171.4041
0.414037 77.236 -171.4135
0.417037 77.239 -171.4231
0.420059 77.241 -171.4329
0.423103 77.244 -171.4427
0.426169 77.247 -171.4527
0.429257 77.249 -171.4629
0.432368 77.252 -171.4732
0.435501 77.255 -171.4836
0.438656 77.258 -171.4942
0.441835 77.260 -171.5050
0.445037 77.263 -171.5160
0.448262 77.266 -171.5271
0.451510 77.269 -171.5385
0.454782 77.272 -171.5500
0.458077 77.275 -171.5618
0.461397 77.278 -171.5737
0.464740 77.281 -171.5859
0.468108 77.284 -171.5983
0.471500 77.287 -171.6109
0.474917 77.290 -171.6238
0.478358 77.293 -171.6369
0.481825 77.296 -171.6503
0.485316 77.299 -171.6640
0.488833 77.302 -171.6779
0.492375 77.305 -171.6921
0.495943 77.308 -171.7066
0.499537 77.311 -171.7215
0.503157 77.314 -171.7366
0.506803 77.318 -171.7521
0.510475 77.321 -171.7679
0.514175 77.324 -171.7841
0.517900 77.327 -171.8007
0.521653 77.331 -171.8176
0.525434 77.334 -171.8349
0.529241 77.337 -171.8527
0.533076 77.341 -171.8708
0.536939 77.344 -171.8894
0.540830 77.348 -171.9084
0.544749 77.351 -171.9279
0.548696 77.354 -171.9479
0.552673 77.358 -171.9684
0.556677 77.361 -171.9894
0.560711 77.365 -172.0110
0.564774 77.369 -172.0330
0.568867 77.372 -172.0557
0.572989 77.376 -172.0789
0.577141 77.379 -172.1028
0.581324 77.383 -172.1273
0.585536 77.387 -172.1524
0.589779 77.391 -172.1783
0.594053 77.394 -172.2048
0.598358 77.398 -172.2320
0.602694 77.402 -172.2600
0.607061 77.406 -172.2888
0.611460 77.410 -172.3184
0.615891 77.414 -172.3488
0.620354 77.417 -172.3801
0.624849 77.421 -172.4122
0.629377 77.425 -172.4453
0.633938 77.429 -172.4794
0.638532 77.433 -172.5144
0.643159 77.438 -172.5504
0.647819 77.442 -172.5876
0.652514 77.446 -172.6258
0.657242 77.450 -172.6652
0.662005 77.454 -172.7057
0.666802 77.458 -172.7475
0.671634 77.463 -172.7905
0.676501 77.467 -172.8349
0.681403 77.471 -172.8807
0.686341 77.475 -172.9278
0.691314 77.480 -172.9765
0.696324 77.484 -173.0267
0.701370 77.488 -173.0785
0.706452 77.492 -173.1321
0.711571 77.496 -173.1874
0.716728 77.499 -173.2447
0.721921 77.500 -173.3040
0.727153 77.501 -173.3657
0.732422 77.499 -173.4300
0.737729 77.495 -173.4972
0.743075 77.490 -173.5675
0.748460 77.483 -173.6412
0.753883 77.475 -173.7186
0.759346 77.466 -173.7995
0.764849 77.457 -173.8843
0.770391 77.448 -173.9727
0.775974 77.440 -174.0650
0.781597 77.431 -174.1609
0.787261 77.422 -174.2607
0.792966 77.413 -174.3641
0.798712 77.404 -174.4711
0.804500 77.394 -174.5819
0.810329 77.385 -174.6962
0.816201 77.375 -174.8141
0.822116 77.366 -174.9355
0.828073 77.355 -175.0603
0.834074 77.345 -175.1886
0.840118 77.334 -175.3203
0.846206 77.322 -175.4553
0.852338 77.310 -175.5935
0.858514 77.297 -175.7349
0.864735 77.283 -175.8794
0.871001 77.269 -176.0269
0.877313 77.253 -176.1775
0.883670 77.237 -176.3309
0.890074 77.220 -176.4871
0.896524 77.201 -176.6460
0.903020 77.181 -176.8076
0.909564 77.160 -176.9716
0.916155 77.137 -177.1381
0.922794 77.113 -177.3068
0.929481 77.087 -177.4778
0.936216 77.059 -177.6508
0.943000 77.029 -177.8257
0.949834 76.998 -178.0024
0.956717 76.964 -178.1808
0.963649 76.928 -178.3607
0.970632 76.889 -178.5419
0.977666 76.848 -178.7244
0.984750 76.804 -178.9078
0.991886 76.758 -179.0920
0.999074 76.708 -179.2769
1.006314 76.656 -179.4622
1.013606 76.600 -179.6478
1.020951 76.540 -179.8333
1.028349 76.477 179.9814
1.035801 76.411 179.7965
1.043307 76.340 179.6124
1.050867 76.265 179.4291
1.058482 76.185 179.2468
1.066152 76.101 179.0656
1.073878 76.012 178.8853
1.081660 75.917 178.7054
1.089498 75.816 178.5251
1.097393 75.707 178.3429
1.105345 75.591 178.1572
1.113355 75.467 177.9659
1.121423 75.333 177.7673
1.129549 75.189 177.5601
1.137734 75.036 177.3433
1.145979 74.873 177.1163
1.154283 74.700 176.8787
1.162647 74.518 176.6303
1.171072 74.326 176.3708
1.179558 74.127 176.1003
1.188106 73.919 175.8185
1.196715 73.703 175.5254
1.205387 73.481 175.2210
1.214122 73.251 174.9052
1.222920 73.016 174.5782
1.231782 72.776 174.2397
1.240708 72.530 173.8900
1.249699 72.281 173.5289
1.258754 72.028 173.1567
1.267876 71.773 172.7734
1.277063 71.516 172.3792
1.286318 71.257 171.9742
1.295639 70.999 171.5587
1.305027 70.741 171.1331
1.314484 70.486 170.6976
1.324009 70.232 170.2528
1.333604 69.983 169.7993
1.343268 69.738 169.3376
1.353002 69.499 168.8688
1.362806 69.268 168.3937
1.372681 69.045 167.9136
1.382628 68.831 167.4298
1.392647 68.629 166.9440
1.402739 68.439 166.4580
1.412904 68.263 165.9736
1.423142 68.102 165.4924
1.433455 67.957 165.0159
1.443843 67.829 164.5438
1.454305 67.719 164.0742
1.464844 67.627 163.6018
1.475459 67.551 163.1179
1.486150 67.492 162.6108
1.496920 67.447 162.0661
1.507767 67.417 161.4671
1.518693 67.401 160.7925
1.529698 67.398 160.0135
1.540783 67.408 159.0873
1.551948 67.431 157.9451
1.563194 67.466 156.4670
1.574521 67.514 154.4203
1.585931 67.574 151.2895
1.597423 67.645 145.6721
1.608999 67.728 132.2436
1.620658 67.822 82.6025
1.632402 67.927 18.2324
1.644232 68.043 0.4163
1.656146 68.169 -6.3536
1.668147 68.305 -9.9801
1.680235 68.451 -12.3313
1.692411 68.606 -14.0503
1.704675 68.771 -15.4150
1.717028 68.943 -16.5647
1.729470 69.124 -17.5770
1.742003 69.313 -18.4985
1.754626 69.510 -19.3588
1.767341 69.714 -20.1775
1.780147 69.925 -20.9680
1.793047 70.145 -21.7394
1.806040 70.374 -22.4974
1.819128 70.613 -23.2451
1.832310 70.865 -23.9836
1.845587 71.132 -24.7122
1.858961 71.416 -25.4298
1.872432 71.719 -26.1351
1.886001 72.039 -26.8276
1.899667 72.378 -27.5071
1.913433 72.734 -28.1738
1.927299 73.105 -28.8283
1.941265 73.490 -29.4715
1.955332 73.887 -30.1041
1.969501 74.295 -30.7273
1.983773 74.711 -31.3419
1.998148 75.133 -31.9490
2.012627 75.560 -32.5497
2.027212 75.988 -33.1448
2.041902 76.417 -33.7356
2.056698 76.843 -34.3229
2.071602 77.264 -34.9080
2.086614 77.678 -35.4917
2.101734 78.082 -36.0753
2.116964 78.475 -36.6598
2.132304 78.855 -37.2466
2.147756 79.219 -37.8368
2.163320 79.566 -38.4318
2.178996 79.897 -39.0331
2.194786 80.210 -39.6420
2.210690 80.507 -40.2594
2.226710 80.789 -40.8859
2.242845 81.058 -41.5212
2.259098 81.314 -42.1646
2.275468 81.558 -42.8148
2.291957 81.792 -43.4705
2.308566 82.016 -44.1300
2.325295 82.231 -44.7920
2.342145 82.437 -45.4551
2.359117 82.636 -46.1182
2.376212 82.828 -46.7801
2.393431 83.013 -47.4400
2.410775 83.194 -48.0972
2.428244 83.370 -48.7509
2.445840 83.542 -49.4009
2.463564 83.712 -50.0468
2.481416 83.879 -50.6887
2.499397 84.046 -51.3271
2.517509 84.211 -51.9629
2.535752 84.376 -52.5974
2.554127 84.540 -53.2326
2.572635 84.702 -53.8710
2.591277 84.862 -54.5150
2.610055 85.018 -55.1660
2.628968 85.171 -55.8246
2.648019 85.320 -56.4906
2.667208 85.464 -57.1628
2.686535 85.604 -57.8399
2.706003 85.740 -58.5200
2.725612 85.872 -59.2013
2.745363 86.000 -59.8818
2.765257 86.125 -60.5601
2.785295 86.247 -61.2340
2.805478 86.366 -61.9023
2.825808 86.483 -62.5635
2.846285 86.597 -63.2167
2.866910 86.709 -63.8612
2.887685 86.820 -64.4974
2.908611 86.928 -65.1263
2.929688 87.034 -65.7498
2.950917 87.137 -66.3704
2.972301 87.238 -66.9906
2.993839 87.335 -67.6121
3.015534 87.429 -68.2354
3.037386 87.520 -68.8603
3.059396 87.608 -69.4860
3.081565 87.693 -70.1111
3.103896 87.774 -70.7338
3.126388 87.854 -71.3523
3.149043 87.930 -71.9646
3.171862 88.005 -72.5690
3.194847 88.078 -73.1635
3.217998 88.148 -73.7466
3.241317 88.218 -74.3175
3.264805 88.285 -74.8757
3.288463 88.351 -75.4218
3.312293 88.414 -75.9570
3.336295 88.476 -76.4833
3.360471 88.535 -77.0019
3.384822 88.591 -77.5140
3.409350 88.646 -78.0200
3.434056 88.698 -78.5196
3.458940 88.747 -79.0123
3.484005 88.796 -79.4971
3.509252 88.842 -79.9730
3.534681 88.888 -80.4387
3.560295 88.933 -80.8929
3.586094 88.976 -81.3344
3.612081 89.020 -81.7620
3.638255 89.063 -82.1750
3.664620 89.105 -82.5731
3.691175 89.147 -82.9562
3.717923 89.188 -83.3251
3.744864 89.228 -83.6803
3.772001 89.267 -84.0230
3.799335 89.305 -84.3540
3.826866 89.343 -84.6741
3.854597 89.381 -84.9843
3.882529 89.419 -85.2852
3.910664 89.457 -85.5773
3.939002 89.496 -85.8609
3.967546 89.535 -86.1362
3.996296 89.576 -86.4030
4.025255 89.618 -86.6606
4.054423 89.662 -86.9084
4.083804 89.706 -87.1461
4.113396 89.751 -87.3738
4.143204 89.798 -87.5927
4.173227 89.845 -87.8041
4.203468 89.893 -88.0101
4.233928 89.943 -88.2130
4.264609 89.994 -88.4150
4.295512 90.046 -88.6180
4.326639 90.099 -88.8237
4.357992 90.154 -89.0331
4.389572 90.211 -89.2466
4.421380 90.269 -89.4637
4.453419 90.329 -89.6841
4.485691 90.391 -89.9075
4.518196 90.454 -90.1343
4.550936 90.518 -90.3658
4.583914 90.583 -90.6033
4.617131 90.650 -90.8486
4.650589 90.717 -91.1034
4.684289 90.784 -91.3695
4.718233 90.852 -91.6481
4.752424 90.920 -91.9399
4.786862 90.989 -92.2454
4.821549 91.058 -92.5640
4.856488 91.127 -92.8954
4.891680 91.196 -93.2389
4.927127 91.265 -93.5941
4.962831 91.334 -93.9606
4.998794 91.403 -94.3383
5.035017 91.470 -94.7272
5.071503 91.537 -95.1274
5.108253 91.602 -95.5397
5.145270 91.666 -95.9641
5.182555 91.728 -96.4009
5.220110 91.790 -96.8497
5.257937 91.849 -97.3096
5.296038 91.908 -97.7791
5.334415 91.964 -98.2563
5.373071 92.019 -98.7397
5.412006 92.073 -99.2280
5.451224 92.124 -99.7200
5.490725 92.173 -100.2156
5.530514 92.221 -100.7148
5.570590 92.266 -101.2178
5.610957 92.309 -101.7241
5.651616 92.350 -102.2327
5.692570 92.390 -102.7421
5.733821 92.428 -103.2502
5.775370 92.464 -103.7554
5.817221 92.499 -104.2562
5.859375 92.532 -104.7518
5.901834 92.564 -105.2419
5.944602 92.594 -105.7267
5.987679 92.623 -106.2062
6.031068 92.651 -106.6801
6.074771 92.678 -107.1478
6.118792 92.705 -107.6088
6.163131 92.731 -108.0621
6.207792 92.757 -108.5071
