* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 27, 2024 1:07:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ ZS12 Pro X 1100 L
* Measurement: L KZ ZS12 Pro X 1100
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.862 -178.2741
0.368865 79.866 -178.2820
0.371538 79.871 -178.2936
0.374230 79.877 -178.3080
0.376942 79.885 -178.3243
0.379673 79.893 -178.3419
0.382424 79.901 -178.3603
0.385196 79.909 -178.3794
0.387987 79.918 -178.3989
0.390798 79.926 -178.4189
0.393630 79.935 -178.4391
0.396483 79.944 -178.4597
0.399356 79.953 -178.4807
0.402250 79.962 -178.5019
0.405165 79.971 -178.5235
0.408101 79.980 -178.5454
0.411058 79.989 -178.5677
0.414037 79.998 -178.5903
0.417037 80.008 -178.6133
0.420059 80.017 -178.6366
0.423103 80.026 -178.6603
0.426169 80.036 -178.6844
0.429257 80.045 -178.7089
0.432368 80.055 -178.7338
0.435501 80.065 -178.7590
0.438656 80.075 -178.7847
0.441835 80.084 -178.8109
0.445037 80.094 -178.8374
0.448262 80.104 -178.8644
0.451510 80.114 -178.8919
0.454782 80.125 -178.9198
0.458077 80.135 -178.9483
0.461397 80.145 -178.9772
0.464740 80.155 -179.0066
0.468108 80.166 -179.0365
0.471500 80.176 -179.0669
0.474917 80.187 -179.0979
0.478358 80.198 -179.1294
0.481825 80.208 -179.1615
0.485316 80.219 -179.1941
0.488833 80.230 -179.2273
0.492375 80.241 -179.2612
0.495943 80.252 -179.2956
0.499537 80.263 -179.3307
0.503157 80.274 -179.3664
0.506803 80.286 -179.4028
0.510475 80.297 -179.4399
0.514175 80.308 -179.4776
0.517900 80.320 -179.5161
0.521653 80.332 -179.5552
0.525434 80.343 -179.5951
0.529241 80.355 -179.6358
0.533076 80.367 -179.6772
0.536939 80.379 -179.7194
0.540830 80.391 -179.7625
0.544749 80.403 -179.8064
0.548696 80.415 -179.8511
0.552673 80.428 -179.8967
0.556677 80.440 -179.9431
0.560711 80.453 -179.9905
0.564774 80.465 179.9611
0.568867 80.478 179.9119
0.572989 80.491 179.8616
0.577141 80.503 179.8103
0.581324 80.516 179.7580
0.585536 80.529 179.7047
0.589779 80.543 179.6502
0.594053 80.556 179.5947
0.598358 80.569 179.5380
0.602694 80.583 179.4802
0.607061 80.596 179.4212
0.611460 80.610 179.3610
0.615891 80.623 179.2995
0.620354 80.637 179.2367
0.624849 80.651 179.1726
0.629377 80.665 179.1072
0.633938 80.679 179.0404
0.638532 80.694 178.9722
0.643159 80.708 178.9025
0.647819 80.722 178.8314
0.652514 80.737 178.7587
0.657242 80.752 178.6844
0.662005 80.766 178.6086
0.666802 80.781 178.5311
0.671634 80.796 178.4519
0.676501 80.811 178.3709
0.681403 80.826 178.2882
0.686341 80.842 178.2037
0.691314 80.857 178.1172
0.696324 80.873 178.0289
0.701370 80.888 177.9386
0.706452 80.904 177.8462
0.711571 80.920 177.7517
0.716728 80.935 177.6551
0.721921 80.951 177.5563
0.727153 80.966 177.4551
0.732422 80.982 177.3516
0.737729 80.997 177.2457
0.743075 81.012 177.1372
0.748460 81.027 177.0263
0.753883 81.042 176.9128
0.759346 81.056 176.7967
0.764849 81.071 176.6780
0.770391 81.086 176.5568
0.775974 81.101 176.4330
0.781597 81.116 176.3067
0.787261 81.131 176.1779
0.792966 81.146 176.0464
0.798712 81.162 175.9125
0.804500 81.177 175.7761
0.810329 81.192 175.6371
0.816201 81.208 175.4957
0.822116 81.223 175.3519
0.828073 81.239 175.2055
0.834074 81.254 175.0568
0.840118 81.270 174.9056
0.846206 81.286 174.7521
0.852338 81.301 174.5962
0.858514 81.317 174.4380
0.864735 81.333 174.2774
0.871001 81.349 174.1145
0.877313 81.364 173.9494
0.883670 81.380 173.7820
0.890074 81.396 173.6124
0.896524 81.412 173.4405
0.903020 81.428 173.2665
0.909564 81.443 173.0903
0.916155 81.459 172.9120
0.922794 81.475 172.7315
0.929481 81.491 172.5490
0.936216 81.506 172.3644
0.943000 81.522 172.1778
0.949834 81.537 171.9892
0.956717 81.553 171.7986
0.963649 81.568 171.6061
0.970632 81.583 171.4116
0.977666 81.599 171.2152
0.984750 81.614 171.0169
0.991886 81.629 170.8168
0.999074 81.643 170.6149
1.006314 81.658 170.4111
1.013606 81.673 170.2055
1.020951 81.687 169.9982
1.028349 81.701 169.7891
1.035801 81.715 169.5782
1.043307 81.729 169.3657
1.050867 81.742 169.1513
1.058482 81.756 168.9352
1.066152 81.769 168.7173
1.073878 81.782 168.4974
1.081660 81.794 168.2753
1.089498 81.807 168.0508
1.097393 81.819 167.8234
1.105345 81.831 167.5925
1.113355 81.842 167.3577
1.121423 81.854 167.1185
1.129549 81.865 166.8747
1.137734 81.876 166.6260
1.145979 81.886 166.3724
1.154283 81.897 166.1139
1.162647 81.907 165.8505
1.171072 81.917 165.5824
1.179558 81.927 165.3095
1.188106 81.936 165.0322
1.196715 81.945 164.7503
1.205387 81.954 164.4641
1.214122 81.963 164.1738
1.222920 81.971 163.8795
1.231782 81.979 163.5812
1.240708 81.987 163.2793
1.249699 81.995 162.9739
1.258754 82.002 162.6651
1.267876 82.009 162.3532
1.277063 82.015 162.0383
1.286318 82.022 161.7208
1.295639 82.028 161.4007
1.305027 82.033 161.0783
1.314484 82.039 160.7539
1.324009 82.044 160.4277
1.333604 82.048 160.1000
1.343268 82.053 159.7711
1.353002 82.057 159.4412
1.362806 82.060 159.1107
1.372681 82.064 158.7798
1.382628 82.067 158.4490
1.392647 82.069 158.1183
1.402739 82.071 157.7883
1.412904 82.073 157.4590
1.423142 82.075 157.1309
1.433455 82.076 156.8039
1.443843 82.076 156.4779
1.454305 82.076 156.1526
1.464844 82.076 155.8276
1.475459 82.075 155.5020
1.486150 82.073 155.1748
1.496920 82.071 154.8456
1.507767 82.068 154.5137
1.518693 82.065 154.1789
1.529698 82.061 153.8411
1.540783 82.056 153.5002
1.551948 82.051 153.1563
1.563194 82.045 152.8095
1.574521 82.039 152.4601
1.585931 82.032 152.1081
1.597423 82.024 151.7538
1.608999 82.016 151.3974
1.620658 82.007 151.0392
1.632402 81.998 150.6794
1.644232 81.988 150.3184
1.656146 81.977 149.9565
1.668147 81.967 149.5938
1.680235 81.955 149.2310
1.692411 81.944 148.8682
1.704675 81.932 148.5060
1.717028 81.919 148.1448
1.729470 81.906 147.7849
1.742003 81.893 147.4269
1.754626 81.880 147.0712
1.767341 81.866 146.7183
1.780147 81.852 146.3687
1.793047 81.838 146.0225
1.806040 81.823 145.6802
1.819128 81.808 145.3416
1.832310 81.793 145.0065
1.845587 81.776 144.6745
1.858961 81.759 144.3452
1.872432 81.742 144.0179
1.886001 81.723 143.6924
1.899667 81.704 143.3686
1.913433 81.684 143.0462
1.927299 81.663 142.7254
1.941265 81.642 142.4061
1.955332 81.620 142.0886
1.969501 81.597 141.7729
1.983773 81.574 141.4593
1.998148 81.551 141.1479
2.012627 81.527 140.8392
2.027212 81.504 140.5334
2.041902 81.480 140.2308
2.056698 81.457 139.9318
2.071602 81.433 139.6368
2.086614 81.410 139.3464
2.101734 81.388 139.0609
2.116964 81.366 138.7810
2.132304 81.345 138.5073
2.147756 81.325 138.2404
2.163320 81.306 137.9811
2.178996 81.287 137.7302
2.194786 81.269 137.4885
2.210690 81.251 137.2568
2.226710 81.234 137.0358
2.242845 81.218 136.8256
2.259098 81.201 136.6264
2.275468 81.185 136.4379
2.291957 81.169 136.2599
2.308566 81.153 136.0917
2.325295 81.138 135.9329
2.342145 81.124 135.7827
2.359117 81.110 135.6404
2.376212 81.098 135.5052
2.393431 81.087 135.3765
2.410775 81.077 135.2533
2.428244 81.069 135.1348
2.445840 81.063 135.0202
2.463564 81.059 134.9087
2.481416 81.057 134.7997
2.499397 81.057 134.6927
2.517509 81.061 134.5877
2.535752 81.067 134.4852
2.554127 81.076 134.3861
2.572635 81.088 134.2922
2.591277 81.103 134.2053
2.610055 81.121 134.1266
2.628968 81.142 134.0567
2.648019 81.165 133.9954
2.667208 81.192 133.9417
2.686535 81.221 133.8941
2.706003 81.253 133.8507
2.725612 81.288 133.8095
2.745363 81.325 133.7681
2.765257 81.365 133.7242
2.785295 81.407 133.6755
2.805478 81.452 133.6195
2.825808 81.499 133.5541
2.846285 81.549 133.4771
2.866910 81.602 133.3869
2.887685 81.657 133.2826
2.908611 81.714 133.1640
2.929688 81.775 133.0319
2.950917 81.839 132.8878
2.972301 81.906 132.7336
2.993839 81.977 132.5704
3.015534 82.051 132.3988
3.037386 82.129 132.2188
3.059396 82.209 132.0298
3.081565 82.292 131.8307
3.103896 82.378 131.6205
3.126388 82.466 131.3975
3.149043 82.555 131.1605
3.171862 82.646 130.9080
3.194847 82.738 130.6386
3.217998 82.831 130.3510
3.241317 82.924 130.0441
3.264805 83.018 129.7172
3.288463 83.112 129.3701
3.312293 83.207 129.0032
3.336295 83.303 128.6172
3.360471 83.400 128.2133
3.384822 83.498 127.7926
3.409350 83.597 127.3564
3.434056 83.697 126.9056
3.458940 83.798 126.4412
3.484005 83.899 125.9641
3.509252 84.000 125.4749
3.534681 84.101 124.9740
3.560295 84.201 124.4617
3.586094 84.300 123.9380
3.612081 84.399 123.4024
3.638255 84.496 122.8544
3.664620 84.593 122.2930
3.691175 84.688 121.7176
3.717923 84.782 121.1277
3.744864 84.875 120.5240
3.772001 84.968 119.9076
3.799335 85.059 119.2803
3.826866 85.149 118.6441
3.854597 85.238 118.0013
3.882529 85.326 117.3541
3.910664 85.413 116.7043
3.939002 85.498 116.0537
3.967546 85.582 115.4030
3.996296 85.664 114.7525
4.025255 85.745 114.1014
4.054423 85.823 113.4487
4.083804 85.900 112.7931
4.113396 85.975 112.1342
4.143204 86.049 111.4724
4.173227 86.121 110.8092
4.203468 86.191 110.1464
4.233928 86.259 109.4863
4.264609 86.327 108.8314
4.295512 86.393 108.1838
4.326639 86.457 107.5453
4.357992 86.521 106.9172
4.389572 86.583 106.2994
4.421380 86.644 105.6916
4.453419 86.703 105.0928
4.485691 86.761 104.5022
4.518196 86.818 103.9198
4.550936 86.873 103.3459
4.583914 86.928 102.7815
4.617131 86.982 102.2278
4.650589 87.035 101.6863
4.684289 87.088 101.1583
4.718233 87.142 100.6450
4.752424 87.195 100.1472
4.786862 87.248 99.6652
4.821549 87.301 99.1986
4.856488 87.354 98.7469
4.891680 87.408 98.3091
4.927127 87.461 97.8845
4.962831 87.515 97.4720
4.998794 87.570 97.0711
5.035017 87.626 96.6813
5.071503 87.683 96.3024
5.108253 87.741 95.9345
5.145270 87.801 95.5778
5.182555 87.863 95.2324
5.220110 87.926 94.8978
5.257937 87.990 94.5729
5.296038 88.056 94.2561
5.334415 88.124 93.9453
5.373071 88.192 93.6384
5.412006 88.263 93.3336
5.451224 88.335 93.0296
5.490725 88.408 92.7256
5.530514 88.484 92.4213
5.570590 88.561 92.1169
5.610957 88.639 91.8119
5.651616 88.719 91.5054
5.692570 88.800 91.1963
5.733821 88.882 90.8829
5.775370 88.964 90.5639
5.817221 89.047 90.2380
5.859375 89.130 89.9044
5.901834 89.214 89.5630
5.944602 89.297 89.2137
5.987679 89.381 88.8572
6.031068 89.465 88.4937
6.074771 89.548 88.1237
6.118792 89.631 87.7474
6.163131 89.713 87.3647
6.207792 89.793 86.9757
6.252776 89.873 86.5802
6.298086 89.951 86.1785
6.343725 90.027 85.7713
6.389694 90.103 85.3597
6.435996 90.176 84.9451
6.482634 90.248 84.5290
6.529610 90.319 84.1127
6.576926 90.387 83.6970
6.624585 90.454 83.2823
6.672590 90.519 82.8689
6.720942 90.582 82.4575
6.769645 90.643 82.0489
6.818700 90.702 81.6445
6.868111 90.760 81.2455
6.917881 90.817 80.8531
6.968010 90.872 80.4681
7.018504 90.926 80.0908
7.069362 90.979 79.7211
7.120590 91.030 79.3590
