* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 24, 2024 12:39:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ Zenith 1000 L
* Measurement: L KZ Zenith 1000
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 95.977 157.0320
0.368865 95.971 157.0080
0.371538 95.962 156.9719
0.374230 95.952 156.9266
0.376942 95.940 156.8744
0.379673 95.927 156.8170
0.382424 95.913 156.7556
0.385196 95.899 156.6908
0.387987 95.885 156.6230
0.390798 95.871 156.5525
0.393630 95.856 156.4793
0.396483 95.842 156.4035
0.399356 95.827 156.3250
0.402250 95.812 156.2440
0.405165 95.797 156.1603
0.408101 95.782 156.0739
0.411058 95.767 155.9849
0.414037 95.752 155.8932
0.417037 95.736 155.7987
0.420059 95.721 155.7014
0.423103 95.705 155.6014
0.426169 95.690 155.4985
0.429257 95.674 155.3928
0.432368 95.658 155.2843
0.435501 95.642 155.1728
0.438656 95.626 155.0585
0.441835 95.610 154.9412
0.445037 95.593 154.8209
0.448262 95.577 154.6976
0.451510 95.560 154.5714
0.454782 95.543 154.4421
0.458077 95.526 154.3098
0.461397 95.509 154.1744
0.464740 95.492 154.0359
0.468108 95.475 153.8943
0.471500 95.458 153.7496
0.474917 95.440 153.6018
0.478358 95.423 153.4507
0.481825 95.405 153.2966
0.485316 95.387 153.1392
0.488833 95.369 152.9787
0.492375 95.351 152.8149
0.495943 95.333 152.6479
0.499537 95.314 152.4777
0.503157 95.296 152.3043
0.506803 95.277 152.1276
0.510475 95.258 151.9477
0.514175 95.239 151.7646
0.517900 95.220 151.5782
0.521653 95.201 151.3885
0.525434 95.182 151.1957
0.529241 95.162 150.9996
0.533076 95.143 150.8003
0.536939 95.123 150.5979
0.540830 95.103 150.3922
0.544749 95.083 150.1833
0.548696 95.063 149.9713
0.552673 95.042 149.7562
0.556677 95.022 149.5380
0.560711 95.001 149.3167
0.564774 94.980 149.0924
0.568867 94.959 148.8651
0.572989 94.938 148.6348
0.577141 94.917 148.4016
0.581324 94.896 148.1655
0.585536 94.874 147.9266
0.589779 94.852 147.6850
0.594053 94.830 147.4407
0.598358 94.808 147.1938
0.602694 94.786 146.9443
0.607061 94.764 146.6923
0.611460 94.741 146.4379
0.615891 94.719 146.1813
0.620354 94.696 145.9224
0.624849 94.673 145.6615
0.629377 94.650 145.3985
0.633938 94.626 145.1337
0.638532 94.603 144.8671
0.643159 94.579 144.5988
0.647819 94.555 144.3291
0.652514 94.531 144.0581
0.657242 94.507 143.7858
0.662005 94.483 143.5125
0.666802 94.458 143.2384
0.671634 94.433 142.9636
0.676501 94.408 142.6883
0.681403 94.383 142.4126
0.686341 94.358 142.1369
0.691314 94.333 141.8614
0.696324 94.307 141.5861
0.701370 94.281 141.3113
0.706452 94.254 141.0372
0.711571 94.227 140.7638
0.716728 94.200 140.4911
0.721921 94.171 140.2188
0.727153 94.141 139.9465
0.732422 94.108 139.6734
0.737729 94.074 139.3984
0.743075 94.038 139.1205
0.748460 94.000 138.8386
0.753883 93.960 138.5521
0.759346 93.920 138.2605
0.764849 93.879 137.9633
0.770391 93.837 137.6603
0.775974 93.795 137.3514
0.781597 93.752 137.0364
0.787261 93.708 136.7153
0.792966 93.664 136.3879
0.798712 93.620 136.0542
0.804500 93.575 135.7142
0.810329 93.529 135.3677
0.816201 93.482 135.0148
0.822116 93.435 134.6553
0.828073 93.387 134.2893
0.834074 93.339 133.9167
0.840118 93.289 133.5375
0.846206 93.239 133.1517
0.852338 93.188 132.7592
0.858514 93.137 132.3600
0.864735 93.084 131.9542
0.871001 93.031 131.5418
0.877313 92.976 131.1227
0.883670 92.921 130.6971
0.890074 92.864 130.2650
0.896524 92.807 129.8264
0.903020 92.748 129.3814
0.909564 92.689 128.9301
0.916155 92.628 128.4727
0.922794 92.566 128.0093
0.929481 92.502 127.5400
0.936216 92.438 127.0649
0.943000 92.372 126.5844
0.949834 92.304 126.0986
0.956717 92.235 125.6077
0.963649 92.165 125.1121
0.970632 92.093 124.6120
0.977666 92.020 124.1078
0.984750 91.944 123.5999
0.991886 91.868 123.0887
0.999074 91.789 122.5745
1.006314 91.708 122.0580
1.013606 91.626 121.5396
1.020951 91.542 121.0198
1.028349 91.455 120.4995
1.035801 91.367 119.9791
1.043307 91.276 119.4594
1.050867 91.183 118.9411
1.058482 91.088 118.4250
1.066152 90.991 117.9118
1.073878 90.891 117.4022
1.081660 90.789 116.8966
1.089498 90.685 116.3953
1.097393 90.579 115.8982
1.105345 90.471 115.4048
1.113355 90.361 114.9143
1.121423 90.250 114.4260
1.129549 90.138 113.9390
1.137734 90.025 113.4526
1.145979 89.910 112.9663
1.154283 89.794 112.4795
1.162647 89.677 111.9917
1.171072 89.558 111.5025
1.179558 89.437 111.0112
1.188106 89.315 110.5175
1.196715 89.191 110.0209
1.205387 89.064 109.5207
1.214122 88.935 109.0165
1.222920 88.804 108.5076
1.231782 88.669 107.9935
1.240708 88.532 107.4736
1.249699 88.392 106.9471
1.258754 88.249 106.4134
1.267876 88.101 105.8718
1.277063 87.951 105.3214
1.286318 87.796 104.7615
1.295639 87.636 104.1913
1.305027 87.473 103.6098
1.314484 87.304 103.0163
1.324009 87.131 102.4096
1.333604 86.952 101.7890
1.343268 86.768 101.1533
1.353002 86.577 100.5015
1.362806 86.381 99.8327
1.372681 86.178 99.1458
1.382628 85.968 98.4398
1.392647 85.750 97.7136
1.402739 85.525 96.9665
1.412904 85.292 96.1976
1.423142 85.050 95.4063
1.433455 84.799 94.5921
1.443843 84.536 93.7550
1.454305 84.262 92.8950
1.464844 83.972 92.0123
1.475459 83.666 91.1071
1.486150 83.340 90.1790
1.496920 82.993 89.2267
1.507767 82.624 88.2485
1.518693 82.232 87.2413
1.529698 81.819 86.2016
1.540783 81.384 85.1250
1.551948 80.930 84.0064
1.563194 80.458 82.8396
1.574521 79.970 81.6177
1.585931 79.467 80.3324
1.597423 78.952 78.9740
1.608999 78.427 77.5311
1.620658 77.895 75.9904
1.632402 77.358 74.3359
1.644232 76.819 72.5488
1.656146 76.280 70.6064
1.668147 75.746 68.4818
1.680235 75.218 66.1426
1.692411 74.701 63.5500
1.704675 74.199 60.6581
1.717028 73.716 57.4127
1.729470 73.255 53.7515
1.742003 72.821 49.6047
1.754626 72.420 44.8994
1.767341 72.057 39.5668
1.780147 71.736 33.5561
1.793047 71.464 26.8539
1.806040 71.245 19.5050
1.819128 71.085 11.6278
1.832310 70.988 3.4097
1.845587 70.955 -4.9195
1.858961 70.987 -13.1259
1.872432 71.084 -21.0076
1.886001 71.242 -28.4169
1.899667 71.459 -35.2665
1.913433 71.729 -41.5231
1.927299 72.049 -47.1936
1.941265 72.413 -52.3102
1.955332 72.815 -56.9188
1.969501 73.250 -61.0698
1.983773 73.713 -64.8130
1.998148 74.198 -68.1945
2.012627 74.699 -71.2557
2.027212 75.210 -74.0328
2.041902 75.726 -76.5570
2.056698 76.241 -78.8550
2.071602 76.748 -80.9497
2.086614 77.244 -82.8605
2.101734 77.721 -84.6043
2.116964 78.176 -86.1961
2.132304 78.603 -87.6499
2.147756 78.999 -88.9794
2.163320 79.361 -90.1993
2.178996 79.689 -91.3263
2.194786 79.984 -92.3789
2.210690 80.249 -93.3774
2.226710 80.488 -94.3404
2.242845 80.703 -95.2825
2.259098 80.899 -96.2133
2.275468 81.077 -97.1379
2.291957 81.239 -98.0582
2.308566 81.386 -98.9736
2.325295 81.520 -99.8820
2.342145 81.640 -100.7805
2.359117 81.748 -101.6653
2.376212 81.844 -102.5321
2.393431 81.930 -103.3764
2.410775 82.007 -104.1931
2.428244 82.075 -104.9771
2.445840 82.135 -105.7230
2.463564 82.188 -106.4255
2.481416 82.235 -107.0794
2.499397 82.276 -107.6803
2.517509 82.312 -108.2254
2.535752 82.342 -108.7135
2.554127 82.366 -109.1466
2.572635 82.383 -109.5293
2.591277 82.390 -109.8681
2.610055 82.387 -110.1694
2.628968 82.374 -110.4378
2.648019 82.348 -110.6759
2.667208 82.313 -110.8844
2.686535 82.267 -111.0624
2.706003 82.212 -111.2078
2.725612 82.149 -111.3174
2.745363 82.081 -111.3874
2.765257 82.007 -111.4133
2.785295 81.930 -111.3898
2.805478 81.852 -111.3114
2.825808 81.773 -111.1719
2.846285 81.697 -110.9650
2.866910 81.622 -110.6839
2.887685 81.551 -110.3220
2.908611 81.484 -109.8725
2.929688 81.419 -109.3293
2.950917 81.357 -108.6869
2.972301 81.294 -107.9409
2.993839 81.231 -107.0888
3.015534 81.167 -106.1300
3.037386 81.103 -105.0658
3.059396 81.041 -103.8997
3.081565 80.980 -102.6369
3.103896 80.924 -101.2851
3.126388 80.875 -99.8539
3.149043 80.835 -98.3550
3.171862 80.806 -96.8020
3.194847 80.790 -95.2097
3.217998 80.792 -93.5930
3.241317 80.812 -91.9655
3.264805 80.853 -90.3383
3.288463 80.917 -88.7187
3.312293 81.005 -87.1104
3.336295 81.117 -85.5158
3.360471 81.253 -83.9399
3.384822 81.411 -82.3910
3.409350 81.588 -80.8806
3.434056 81.781 -79.4221
3.458940 81.989 -78.0293
3.484005 82.207 -76.7150
3.509252 82.433 -75.4907
3.534681 82.663 -74.3658
3.560295 82.894 -73.3474
3.586094 83.125 -72.4400
3.612081 83.353 -71.6458
3.638255 83.578 -70.9637
3.664620 83.800 -70.3900
3.691175 84.020 -69.9184
3.717923 84.239 -69.5410
3.744864 84.457 -69.2495
3.772001 84.675 -69.0359
3.799335 84.892 -68.8923
3.826866 85.108 -68.8114
3.854597 85.320 -68.7869
3.882529 85.529 -68.8130
3.910664 85.731 -68.8848
3.939002 85.927 -68.9986
3.967546 86.115 -69.1521
3.996296 86.295 -69.3444
4.025255 86.465 -69.5760
4.054423 86.625 -69.8477
4.083804 86.777 -70.1599
4.113396 86.919 -70.5109
4.143204 87.053 -70.8968
4.173227 87.179 -71.3121
4.203468 87.296 -71.7502
4.233928 87.407 -72.2041
4.264609 87.509 -72.6671
4.295512 87.605 -73.1335
4.326639 87.693 -73.5992
4.357992 87.775 -74.0620
4.389572 87.848 -74.5224
4.421380 87.914 -74.9825
4.453419 87.972 -75.4449
4.485691 88.022 -75.9108
4.518196 88.064 -76.3790
4.550936 88.099 -76.8463
4.583914 88.127 -77.3075
4.617131 88.149 -77.7567
4.650589 88.165 -78.1874
4.684289 88.176 -78.5938
4.718233 88.183 -78.9711
4.752424 88.185 -79.3165
4.786862 88.182 -79.6290
4.821549 88.173 -79.9095
4.856488 88.160 -80.1591
4.891680 88.142 -80.3787
4.927127 88.121 -80.5685
4.962831 88.097 -80.7277
4.998794 88.072 -80.8551
5.035017 88.047 -80.9488
5.071503 88.022 -81.0066
5.108253 87.999 -81.0259
5.145270 87.977 -81.0048
5.182555 87.957 -80.9424
5.220110 87.939 -80.8399
5.257937 87.923 -80.7006
5.296038 87.909 -80.5298
5.334415 87.900 -80.3339
5.373071 87.894 -80.1197
5.412006 87.895 -79.8937
5.451224 87.901 -79.6606
5.490725 87.914 -79.4237
5.530514 87.935 -79.1844
5.570590 87.963 -78.9446
5.610957 87.998 -78.7076
5.651616 88.039 -78.4788
5.692570 88.086 -78.2656
5.733821 88.138 -78.0759
5.775370 88.194 -77.9176
5.817221 88.255 -77.7969
5.859375 88.319 -77.7178
5.901834 88.388 -77.6820
5.944602 88.460 -77.6897
5.987679 88.534 -77.7403
6.031068 88.611 -77.8339
6.074771 88.690 -77.9706
6.118792 88.767 -78.1513
6.163131 88.844 -78.3769
6.207792 88.919 -78.6486
6.252776 88.991 -78.9665
6.298086 89.061 -79.3298
6.343725 89.128 -79.7358
6.389694 89.191 -80.1802
6.435996 89.252 -80.6576
6.482634 89.308 -81.1631
6.529610 89.359 -81.6923
6.576926 89.406 -82.2425
6.624585 89.448 -82.8121
6.672590 89.484 -83.3998
6.720942 89.515 -84.0033
