* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jun 23, 2025 12:09:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kefine Quatio Black L
* Measurement: Kefine Quatio Black L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.682 159.4808
0.368865 93.676 159.4593
0.371538 93.667 159.4271
0.374230 93.657 159.3866
0.376942 93.645 159.3400
0.379673 93.632 159.2887
0.382424 93.619 159.2339
0.385196 93.605 159.1760
0.387987 93.591 159.1155
0.390798 93.577 159.0526
0.393630 93.563 158.9873
0.396483 93.549 158.9197
0.399356 93.534 158.8498
0.402250 93.520 158.7775
0.405165 93.505 158.7029
0.408101 93.490 158.6260
0.411058 93.475 158.5467
0.414037 93.460 158.4649
0.417037 93.445 158.3808
0.420059 93.430 158.2942
0.423103 93.415 158.2051
0.426169 93.399 158.1136
0.429257 93.384 158.0195
0.432368 93.368 157.9229
0.435501 93.352 157.8238
0.438656 93.336 157.7220
0.441835 93.320 157.6177
0.445037 93.304 157.5108
0.448262 93.288 157.4012
0.451510 93.272 157.2890
0.454782 93.255 157.1741
0.458077 93.239 157.0565
0.461397 93.222 156.9362
0.464740 93.205 156.8132
0.468108 93.188 156.6874
0.471500 93.171 156.5589
0.474917 93.154 156.4276
0.478358 93.137 156.2935
0.481825 93.119 156.1567
0.485316 93.102 156.0170
0.488833 93.084 155.8745
0.492375 93.066 155.7292
0.495943 93.048 155.5811
0.499537 93.030 155.4301
0.503157 93.012 155.2763
0.506803 92.993 155.1196
0.510475 92.975 154.9601
0.514175 92.956 154.7977
0.517900 92.937 154.6325
0.521653 92.919 154.4644
0.525434 92.900 154.2935
0.529241 92.880 154.1197
0.533076 92.861 153.9431
0.536939 92.842 153.7637
0.540830 92.822 153.5816
0.544749 92.802 153.3966
0.548696 92.782 153.2088
0.552673 92.762 153.0183
0.556677 92.742 152.8251
0.560711 92.722 152.6291
0.564774 92.702 152.4305
0.568867 92.681 152.2293
0.572989 92.660 152.0254
0.577141 92.639 151.8190
0.581324 92.618 151.6101
0.585536 92.597 151.3987
0.589779 92.576 151.1849
0.594053 92.554 150.9687
0.598358 92.532 150.7502
0.602694 92.511 150.5294
0.607061 92.489 150.3065
0.611460 92.466 150.0815
0.615891 92.444 149.8544
0.620354 92.422 149.6254
0.624849 92.399 149.3945
0.629377 92.376 149.1619
0.633938 92.353 148.9277
0.638532 92.330 148.6919
0.643159 92.307 148.4546
0.647819 92.283 148.2160
0.652514 92.260 147.9763
0.657242 92.236 147.7355
0.662005 92.212 147.4938
0.666802 92.188 147.2513
0.671634 92.164 147.0083
0.676501 92.139 146.7648
0.681403 92.114 146.5210
0.686341 92.089 146.2772
0.691314 92.064 146.0335
0.696324 92.039 145.7900
0.701370 92.013 145.5471
0.706452 91.987 145.3047
0.711571 91.961 145.0629
0.716728 91.934 144.8218
0.721921 91.905 144.5811
0.727153 91.875 144.3404
0.732422 91.844 144.0990
0.737729 91.810 143.8560
0.743075 91.774 143.6104
0.748460 91.737 143.3615
0.753883 91.698 143.1084
0.759346 91.658 142.8509
0.764849 91.618 142.5886
0.770391 91.577 142.3213
0.775974 91.535 142.0488
0.781597 91.493 141.7710
0.787261 91.450 141.4879
0.792966 91.407 141.1994
0.798712 91.363 140.9054
0.804500 91.319 140.6059
0.810329 91.274 140.3008
0.816201 91.228 139.9901
0.822116 91.182 139.6738
0.828073 91.135 139.3519
0.834074 91.087 139.0242
0.840118 91.039 138.6908
0.846206 90.990 138.3517
0.852338 90.940 138.0069
0.858514 90.889 137.6563
0.864735 90.837 137.3000
0.871001 90.785 136.9379
0.877313 90.731 136.5702
0.883670 90.677 136.1968
0.890074 90.621 135.8178
0.896524 90.565 135.4333
0.903020 90.507 135.0432
0.909564 90.448 134.6477
0.916155 90.389 134.2470
0.922794 90.327 133.8410
0.929481 90.265 133.4299
0.936216 90.201 133.0140
0.943000 90.136 132.5932
0.949834 90.070 132.1680
0.956717 90.002 131.7383
0.963649 89.933 131.3046
0.970632 89.862 130.8670
0.977666 89.789 130.4258
0.984750 89.715 129.9813
0.991886 89.639 129.5340
0.999074 89.562 129.0842
1.006314 89.482 128.6322
1.013606 89.400 128.1786
1.020951 89.317 127.7238
1.028349 89.231 127.2685
1.035801 89.144 126.8131
1.043307 89.054 126.3582
1.050867 88.962 125.9046
1.058482 88.868 125.4528
1.066152 88.771 125.0035
1.073878 88.672 124.5574
1.081660 88.571 124.1148
1.089498 88.468 123.6760
1.097393 88.362 123.2410
1.105345 88.256 122.8095
1.113355 88.148 122.3809
1.121423 88.038 121.9546
1.129549 87.928 121.5300
1.137734 87.818 121.1066
1.145979 87.706 120.6839
1.154283 87.593 120.2616
1.162647 87.480 119.8391
1.171072 87.365 119.4163
1.179558 87.248 118.9927
1.188106 87.130 118.5679
1.196715 87.011 118.1416
1.205387 86.889 117.7133
1.214122 86.765 117.2826
1.222920 86.638 116.8491
1.231782 86.509 116.4123
1.240708 86.377 115.9717
1.249699 86.242 115.5268
1.258754 86.103 115.0770
1.267876 85.960 114.6217
1.277063 85.813 114.1603
1.286318 85.662 113.6922
1.295639 85.506 113.2165
1.305027 85.345 112.7327
1.314484 85.179 112.2399
1.324009 85.007 111.7372
1.333604 84.830 111.2239
1.343268 84.645 110.6989
1.353002 84.454 110.1614
1.362806 84.256 109.6102
1.372681 84.051 109.0445
1.382628 83.837 108.4629
1.392647 83.615 107.8646
1.402739 83.383 107.2483
1.412904 83.143 106.6130
1.423142 82.891 105.9577
1.433455 82.629 105.2817
1.443843 82.354 104.5844
1.454305 82.064 103.8655
1.464844 81.757 103.1250
1.475459 81.430 102.3631
1.486150 81.081 101.5796
1.496920 80.707 100.7735
1.507767 80.308 99.9434
1.518693 79.882 99.0869
1.529698 79.432 98.2009
1.540783 78.957 97.2813
1.551948 78.459 96.3236
1.563194 77.940 95.3220
1.574521 77.402 94.2701
1.585931 76.848 93.1600
1.597423 76.279 91.9825
1.608999 75.698 90.7263
1.620658 75.108 89.3782
1.632402 74.512 87.9220
1.644232 73.914 86.3381
1.656146 73.316 84.6024
1.668147 72.722 82.6852
1.680235 72.136 80.5495
1.692411 71.562 78.1493
1.704675 71.004 75.4271
1.717028 70.468 72.3109
1.729470 69.958 68.7113
1.742003 69.480 64.5192
1.754626 69.040 59.6066
1.767341 68.643 53.8328
1.780147 68.297 47.0657
1.793047 68.009 39.2227
1.806040 67.783 30.3349
1.819128 67.627 20.6108
1.832310 67.546 10.4493
1.845587 67.541 0.3566
1.858961 67.614 -9.2000
1.872432 67.763 -17.9076
1.886001 67.986 -25.6347
1.899667 68.277 -32.3888
1.913433 68.630 -38.2550
1.927299 69.041 -43.3482
1.941265 69.503 -47.7845
1.955332 70.009 -51.6686
1.969501 70.553 -55.0896
1.983773 71.127 -58.1211
1.998148 71.725 -60.8230
2.012627 72.341 -63.2437
2.027212 72.967 -65.4223
2.041902 73.597 -67.3904
2.056698 74.224 -69.1737
2.071602 74.841 -70.7930
2.086614 75.443 -72.2656
2.101734 76.023 -73.6060
2.116964 76.575 -74.8264
2.132304 77.094 -75.9381
2.147756 77.577 -76.9517
2.163320 78.021 -77.8783
2.178996 78.424 -78.7300
2.194786 78.789 -79.5204
2.210690 79.118 -80.2639
2.226710 79.416 -80.9737
2.242845 79.687 -81.6603
2.259098 79.934 -82.3305
2.275468 80.159 -82.9881
2.291957 80.366 -83.6345
2.308566 80.554 -84.2696
2.325295 80.726 -84.8922
2.342145 80.884 -85.5005
2.359117 81.028 -86.0924
2.376212 81.161 -86.6653
2.393431 81.283 -87.2166
2.410775 81.396 -87.7434
2.428244 81.501 -88.2427
2.445840 81.602 -88.7115
2.463564 81.698 -89.1469
2.481416 81.792 -89.5461
2.499397 81.884 -89.9067
2.517509 81.976 -90.2273
2.535752 82.068 -90.5074
2.554127 82.159 -90.7482
2.572635 82.248 -90.9522
2.591277 82.334 -91.1233
2.610055 82.415 -91.2650
2.628968 82.490 -91.3803
2.648019 82.558 -91.4714
2.667208 82.619 -91.5393
2.686535 82.675 -91.5847
2.706003 82.725 -91.6076
2.725612 82.770 -91.6077
2.745363 82.811 -91.5848
2.765257 82.850 -91.5381
2.785295 82.887 -91.4670
2.805478 82.923 -91.3708
2.825808 82.960 -91.2486
2.846285 82.997 -91.0996
2.866910 83.037 -90.9227
2.887685 83.080 -90.7168
2.908611 83.126 -90.4805
2.929688 83.174 -90.2123
2.950917 83.225 -89.9110
2.972301 83.277 -89.5758
2.993839 83.330 -89.2071
3.015534 83.385 -88.8062
3.037386 83.440 -88.3756
3.059396 83.495 -87.9185
3.081565 83.552 -87.4385
3.103896 83.611 -86.9398
3.126388 83.672 -86.4267
3.149043 83.735 -85.9039
3.171862 83.801 -85.3757
3.194847 83.871 -84.8465
3.217998 83.946 -84.3199
3.241317 84.024 -83.7986
3.264805 84.109 -83.2839
3.288463 84.198 -82.7755
3.312293 84.294 -82.2719
3.336295 84.395 -81.7710
3.360471 84.502 -81.2721
3.384822 84.615 -80.7760
3.409350 84.732 -80.2853
3.434056 84.854 -79.8039
3.458940 84.979 -79.3362
3.484005 85.108 -78.8872
3.509252 85.238 -78.4618
3.534681 85.371 -78.0649
3.560295 85.504 -77.7005
3.586094 85.637 -77.3723
3.612081 85.771 -77.0828
3.638255 85.905 -76.8332
3.664620 86.038 -76.6231
3.691175 86.172 -76.4509
3.717923 86.307 -76.3143
3.744864 86.442 -76.2110
3.772001 86.578 -76.1387
3.799335 86.714 -76.0957
3.826866 86.849 -76.0805
3.854597 86.984 -76.0921
3.882529 87.117 -76.1294
3.910664 87.249 -76.1919
3.939002 87.377 -76.2790
3.967546 87.502 -76.3908
3.996296 87.624 -76.5275
4.025255 87.742 -76.6896
4.054423 87.856 -76.8775
4.083804 87.966 -77.0912
4.113396 88.072 -77.3295
4.143204 88.175 -77.5908
4.173227 88.275 -77.8722
4.203468 88.371 -78.1708
4.233928 88.463 -78.4834
4.264609 88.551 -78.8070
4.295512 88.636 -79.1390
4.326639 88.716 -79.4777
4.357992 88.792 -79.8221
4.389572 88.865 -80.1727
4.421380 88.932 -80.5304
4.453419 88.995 -80.8964
4.485691 89.053 -81.2709
4.518196 89.107 -81.6529
4.550936 89.157 -82.0403
4.583914 89.203 -82.4300
4.617131 89.245 -82.8187
4.650589 89.283 -83.2029
4.684289 89.319 -83.5795
4.718233 89.351 -83.9464
4.752424 89.380 -84.3024
4.786862 89.406 -84.6473
4.821549 89.428 -84.9821
4.856488 89.448 -85.3074
4.891680 89.464 -85.6236
4.927127 89.477 -85.9302
4.962831 89.489 -86.2265
4.998794 89.498 -86.5112
5.035017 89.507 -86.7829
5.071503 89.514 -87.0399
5.108253 89.522 -87.2810
5.145270 89.529 -87.5052
5.182555 89.535 -87.7126
5.220110 89.542 -87.9036
5.257937 89.548 -88.0797
5.296038 89.554 -88.2430
5.334415 89.561 -88.3956
5.373071 89.569 -88.5396
5.412006 89.578 -88.6770
5.451224 89.590 -88.8090
5.490725 89.604 -88.9360
5.530514 89.621 -89.0584
5.570590 89.639 -89.1765
5.610957 89.661 -89.2917
5.651616 89.685 -89.4065
5.692570 89.711 -89.5242
5.733821 89.739 -89.6487
5.775370 89.770 -89.7833
5.817221 89.803 -89.9311
5.859375 89.838 -90.0938
5.901834 89.876 -90.2724
5.944602 89.916 -90.4673
5.987679 89.959 -90.6788
6.031068 90.003 -90.9083
6.074771 90.049 -91.1570
6.118792 90.095 -91.4269
6.163131 90.142 -91.7197
6.207792 90.190 -92.0368
6.252776 90.237 -92.3790
6.298086 90.285 -92.7462
6.343725 90.332 -93.1377
6.389694 90.379 -93.5519
6.435996 90.426 -93.9874
6.482634 90.471 -94.4425
6.529610 90.515 -94.9161
6.576926 90.557 -95.4075
6.624585 90.597 -95.9164
6.672590 90.636 -96.4420
6.720942 90.672 -96.9830
