* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jun 23, 2025 12:06:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kefine Quatio Silver L
* Measurement: Kefine Quatio Silver L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.624 159.3847
0.368865 93.618 159.3631
0.371538 93.610 159.3307
0.374230 93.599 159.2901
0.376942 93.587 159.2433
0.379673 93.574 159.1918
0.382424 93.561 159.1367
0.385196 93.547 159.0786
0.387987 93.533 159.0179
0.390798 93.519 158.9547
0.393630 93.505 158.8891
0.396483 93.490 158.8212
0.399356 93.476 158.7509
0.402250 93.461 158.6784
0.405165 93.447 158.6035
0.408101 93.432 158.5262
0.411058 93.417 158.4465
0.414037 93.402 158.3644
0.417037 93.387 158.2799
0.420059 93.371 158.1929
0.423103 93.356 158.1034
0.426169 93.340 158.0115
0.429257 93.325 157.9170
0.432368 93.309 157.8199
0.435501 93.293 157.7203
0.438656 93.277 157.6181
0.441835 93.261 157.5133
0.445037 93.245 157.4059
0.448262 93.229 157.2958
0.451510 93.212 157.1831
0.454782 93.196 157.0676
0.458077 93.179 156.9495
0.461397 93.163 156.8286
0.464740 93.146 156.7050
0.468108 93.129 156.5787
0.471500 93.111 156.4496
0.474917 93.094 156.3176
0.478358 93.077 156.1829
0.481825 93.059 156.0454
0.485316 93.042 155.9051
0.488833 93.024 155.7619
0.492375 93.006 155.6159
0.495943 92.988 155.4671
0.499537 92.970 155.3154
0.503157 92.952 155.1608
0.506803 92.933 155.0033
0.510475 92.915 154.8430
0.514175 92.896 154.6799
0.517900 92.877 154.5138
0.521653 92.858 154.3449
0.525434 92.839 154.1732
0.529241 92.820 153.9986
0.533076 92.800 153.8211
0.536939 92.781 153.6409
0.540830 92.761 153.4577
0.544749 92.741 153.2718
0.548696 92.721 153.0831
0.552673 92.701 152.8917
0.556677 92.681 152.6975
0.560711 92.661 152.5006
0.564774 92.640 152.3010
0.568867 92.620 152.0987
0.572989 92.599 151.8938
0.577141 92.578 151.6864
0.581324 92.557 151.4764
0.585536 92.535 151.2639
0.589779 92.514 151.0490
0.594053 92.492 150.8317
0.598358 92.471 150.6121
0.602694 92.449 150.3902
0.607061 92.427 150.1662
0.611460 92.404 149.9400
0.615891 92.382 149.7118
0.620354 92.359 149.4816
0.624849 92.337 149.2496
0.629377 92.314 149.0158
0.633938 92.291 148.7803
0.638532 92.268 148.5433
0.643159 92.244 148.3048
0.647819 92.221 148.0650
0.652514 92.197 147.8241
0.657242 92.173 147.5820
0.662005 92.149 147.3391
0.666802 92.125 147.0954
0.671634 92.100 146.8511
0.676501 92.076 146.6063
0.681403 92.051 146.3613
0.686341 92.026 146.1163
0.691314 92.001 145.8713
0.696324 91.975 145.6266
0.701370 91.950 145.3824
0.706452 91.924 145.1388
0.711571 91.897 144.8958
0.716728 91.870 144.6535
0.721921 91.841 144.4115
0.727153 91.811 144.1696
0.732422 91.780 143.9270
0.737729 91.746 143.6828
0.743075 91.710 143.4359
0.748460 91.672 143.1857
0.753883 91.633 142.9314
0.759346 91.594 142.6726
0.764849 91.553 142.4090
0.770391 91.512 142.1402
0.775974 91.470 141.8663
0.781597 91.428 141.5871
0.787261 91.385 141.3026
0.792966 91.341 141.0125
0.798712 91.297 140.7170
0.804500 91.253 140.4159
0.810329 91.208 140.1092
0.816201 91.162 139.7969
0.822116 91.115 139.4789
0.828073 91.068 139.1552
0.834074 91.020 138.8258
0.840118 90.972 138.4906
0.846206 90.922 138.1496
0.852338 90.872 137.8029
0.858514 90.821 137.4503
0.864735 90.769 137.0920
0.871001 90.717 136.7280
0.877313 90.663 136.3582
0.883670 90.608 135.9826
0.890074 90.553 135.6015
0.896524 90.496 135.2147
0.903020 90.438 134.8224
0.909564 90.379 134.4246
0.916155 90.319 134.0214
0.922794 90.258 133.6131
0.929481 90.195 133.1996
0.936216 90.131 132.7811
0.943000 90.066 132.3578
0.949834 89.999 131.9299
0.956717 89.931 131.4977
0.963649 89.862 131.0612
0.970632 89.790 130.6209
0.977666 89.718 130.1769
0.984750 89.643 129.7297
0.991886 89.567 129.2795
0.999074 89.489 128.8268
1.006314 89.409 128.3719
1.013606 89.327 127.9154
1.020951 89.243 127.4577
1.028349 89.157 126.9994
1.035801 89.069 126.5409
1.043307 88.979 126.0831
1.050867 88.887 125.6264
1.058482 88.792 125.1717
1.066152 88.695 124.7194
1.073878 88.595 124.2702
1.081660 88.494 123.8246
1.089498 88.390 123.3828
1.097393 88.284 122.9449
1.105345 88.177 122.5104
1.113355 88.068 122.0788
1.121423 87.958 121.6495
1.129549 87.847 121.2220
1.137734 87.735 120.7955
1.145979 87.622 120.3698
1.154283 87.509 119.9444
1.162647 87.394 119.5188
1.171072 87.277 119.0929
1.179558 87.160 118.6660
1.188106 87.040 118.2380
1.196715 86.919 117.8083
1.205387 86.795 117.3766
1.214122 86.670 116.9424
1.222920 86.541 116.5053
1.231782 86.410 116.0647
1.240708 86.276 115.6203
1.249699 86.139 115.1714
1.258754 85.999 114.7175
1.267876 85.854 114.2579
1.277063 85.706 113.7921
1.286318 85.553 113.3193
1.295639 85.396 112.8389
1.305027 85.233 112.3500
1.314484 85.066 111.8519
1.324009 84.893 111.3438
1.333604 84.714 110.8246
1.343268 84.528 110.2936
1.353002 84.336 109.7496
1.362806 84.138 109.1917
1.372681 83.931 108.6188
1.382628 83.717 108.0298
1.392647 83.495 107.4235
1.402739 83.264 106.7988
1.412904 83.024 106.1547
1.423142 82.773 105.4901
1.433455 82.512 104.8042
1.443843 82.238 104.0965
1.454305 81.950 103.3666
1.464844 81.645 102.6146
1.475459 81.321 101.8405
1.486150 80.975 101.0440
1.496920 80.604 100.2244
1.507767 80.209 99.3798
1.518693 79.788 98.5079
1.529698 79.343 97.6053
1.540783 78.873 96.6679
1.551948 78.381 95.6908
1.563194 77.869 94.6683
1.574521 77.338 93.5934
1.585931 76.791 92.4579
1.597423 76.229 91.2522
1.608999 75.656 89.9647
1.620658 75.075 88.5812
1.632402 74.488 87.0851
1.644232 73.898 85.4556
1.656146 73.308 83.6676
1.668147 72.723 81.6899
1.680235 72.146 79.4839
1.692411 71.581 77.0014
1.704675 71.033 74.1824
1.717028 70.505 70.9521
1.729470 70.004 67.2184
1.742003 69.534 62.8701
1.754626 69.101 57.7788
1.767341 68.712 51.8091
1.780147 68.372 44.8422
1.793047 68.089 36.8227
1.806040 67.869 27.8217
1.819128 67.717 18.0898
1.832310 67.638 8.0483
1.845587 67.635 -1.8122
1.858961 67.708 -11.0707
1.872432 67.857 -19.4672
1.886001 68.077 -26.9083
1.899667 68.366 -33.4195
1.913433 68.716 -39.0896
1.927299 69.123 -44.0292
1.941265 69.580 -48.3473
1.955332 70.081 -52.1414
1.969501 70.619 -55.4945
1.983773 71.187 -58.4749
1.998148 71.779 -61.1387
2.012627 72.388 -63.5310
2.027212 73.008 -65.6888
2.041902 73.631 -67.6416
2.056698 74.252 -69.4139
2.071602 74.863 -71.0255
2.086614 75.459 -72.4929
2.101734 76.032 -73.8297
2.116964 76.579 -75.0479
2.132304 77.093 -76.1582
2.147756 77.571 -77.1709
2.163320 78.010 -78.0970
2.178996 78.409 -78.9483
2.194786 78.770 -79.7383
2.210690 79.096 -80.4813
2.226710 79.390 -81.1907
2.242845 79.658 -81.8766
2.259098 79.901 -82.5462
2.275468 80.124 -83.2030
2.291957 80.327 -83.8486
2.308566 80.512 -84.4828
2.325295 80.682 -85.1045
2.342145 80.837 -85.7118
2.359117 80.978 -86.3026
2.376212 81.108 -86.8743
2.393431 81.227 -87.4241
2.410775 81.338 -87.9493
2.428244 81.441 -88.4467
2.445840 81.539 -88.9134
2.463564 81.633 -89.3463
2.481416 81.724 -89.7425
2.499397 81.814 -90.0998
2.517509 81.904 -90.4165
2.535752 81.993 -90.6920
2.554127 82.082 -90.9276
2.572635 82.169 -91.1258
2.591277 82.253 -91.2902
2.610055 82.332 -91.4246
2.628968 82.404 -91.5317
2.648019 82.470 -91.6138
2.667208 82.530 -91.6720
2.686535 82.583 -91.7069
2.706003 82.631 -91.7186
2.725612 82.675 -91.7069
2.745363 82.715 -91.6714
2.765257 82.752 -91.6116
2.785295 82.787 -91.5269
2.805478 82.822 -91.4165
2.825808 82.857 -91.2796
2.846285 82.894 -91.1155
2.866910 82.933 -90.9232
2.887685 82.975 -90.7014
2.908611 83.020 -90.4490
2.929688 83.068 -90.1642
2.950917 83.119 -89.8458
2.972301 83.171 -89.4930
2.993839 83.225 -89.1062
3.015534 83.279 -88.6867
3.037386 83.335 -88.2372
3.059396 83.392 -87.7608
3.081565 83.450 -87.2614
3.103896 83.510 -86.7435
3.126388 83.572 -86.2116
3.149043 83.637 -85.6703
3.171862 83.705 -85.1246
3.194847 83.777 -84.5787
3.217998 83.853 -84.0365
3.241317 83.934 -83.5008
3.264805 84.021 -82.9731
3.288463 84.113 -82.4531
3.312293 84.211 -81.9392
3.336295 84.315 -81.4294
3.360471 84.424 -80.9227
3.384822 84.540 -80.4202
3.409350 84.660 -79.9243
3.434056 84.785 -79.4388
3.458940 84.914 -78.9683
3.484005 85.045 -78.5178
3.509252 85.179 -78.0921
3.534681 85.315 -77.6959
3.560295 85.451 -77.3336
3.586094 85.588 -77.0085
3.612081 85.724 -76.7232
3.638255 85.861 -76.4787
3.664620 85.997 -76.2749
3.691175 86.134 -76.1099
3.717923 86.270 -75.9814
3.744864 86.408 -75.8870
3.772001 86.546 -75.8243
3.799335 86.683 -75.7915
3.826866 86.821 -75.7870
3.854597 86.957 -75.8095
3.882529 87.092 -75.8579
3.910664 87.225 -75.9315
3.939002 87.355 -76.0298
3.967546 87.481 -76.1527
3.996296 87.604 -76.3004
4.025255 87.723 -76.4733
4.054423 87.838 -76.6720
4.083804 87.949 -76.8965
4.113396 88.056 -77.1457
4.143204 88.160 -77.4177
4.173227 88.259 -77.7098
4.203468 88.355 -78.0190
4.233928 88.448 -78.3419
4.264609 88.536 -78.6756
4.295512 88.621 -79.0172
4.326639 88.702 -79.3650
4.357992 88.778 -79.7181
4.389572 88.850 -80.0768
4.421380 88.917 -80.4422
4.453419 88.980 -80.8154
4.485691 89.038 -81.1967
4.518196 89.092 -81.5851
4.550936 89.141 -81.9785
4.583914 89.186 -82.3739
4.617131 89.228 -82.7677
4.650589 89.266 -83.1566
4.684289 89.301 -83.5374
4.718233 89.333 -83.9077
4.752424 89.361 -84.2665
4.786862 89.387 -84.6137
4.821549 89.409 -84.9501
4.856488 89.427 -85.2763
4.891680 89.443 -85.5928
4.927127 89.456 -85.8991
4.962831 89.467 -86.1947
4.998794 89.476 -86.4781
5.035017 89.484 -86.7478
5.071503 89.491 -87.0025
5.108253 89.498 -87.2407
5.145270 89.505 -87.4616
5.182555 89.511 -87.6650
5.220110 89.517 -87.8515
5.257937 89.524 -88.0226
5.296038 89.530 -88.1804
5.334415 89.537 -88.3272
5.373071 89.545 -88.4653
5.412006 89.555 -88.5965
5.451224 89.567 -88.7221
5.490725 89.581 -88.8429
5.530514 89.598 -88.9589
5.570590 89.618 -89.0706
5.610957 89.640 -89.1794
5.651616 89.665 -89.2879
5.692570 89.692 -89.3995
5.733821 89.721 -89.5179
5.775370 89.753 -89.6469
5.817221 89.787 -89.7893
5.859375 89.823 -89.9470
5.901834 89.862 -90.1211
5.944602 89.904 -90.3117
5.987679 89.948 -90.5195
6.031068 89.993 -90.7454
6.074771 90.040 -90.9910
6.118792 90.088 -91.2580
6.163131 90.136 -91.5481
6.207792 90.184 -91.8629
6.252776 90.233 -92.2030
6.298086 90.281 -92.5683
6.343725 90.330 -92.9580
6.389694 90.378 -93.3707
6.435996 90.425 -93.8046
6.482634 90.471 -94.2581
6.529610 90.515 -94.7300
6.576926 90.558 -95.2197
6.624585 90.599 -95.7265
6.672590 90.638 -96.2499
6.720942 90.675 -96.7885
