* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 23, 2025 1:17:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwi Ears Airoso L
* Measurement: L Kiwi Ears Airoso
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 90.357 121.6864
1.030000 90.000 119.5153
1.060000 89.617 117.4084
1.090000 89.207 115.4055
1.120000 88.773 113.5134
1.150000 88.322 111.6931
1.180000 87.857 109.9092
1.220000 87.208 107.5441
1.250000 86.697 105.7495
1.280000 86.161 103.9102
1.320000 85.402 101.3436
1.360000 84.587 98.5889
1.400000 83.708 95.5844
1.450000 82.497 91.4108
1.500000 81.058 86.7636
1.550000 79.274 81.5158
1.600000 77.232 75.1557
1.650000 75.114 66.6246
1.700000 73.121 53.7351
1.750000 71.472 32.3829
1.800000 70.411 0.4865
1.850000 70.164 -30.6257
1.900000 70.784 -52.2221
1.950000 72.076 -66.6589
2.000000 73.761 -76.7868
2.060000 75.929 -85.4280
2.120000 77.888 -91.5304
2.180000 79.358 -95.9004
2.240000 80.309 -99.3555
2.300000 80.918 -102.6035
2.360000 81.297 -105.7547
2.430000 81.537 -109.1079
2.500000 81.644 -111.8282
2.580000 81.666 -113.9440
2.650000 81.561 -115.1528
2.720000 81.324 -115.9642
2.800000 80.959 -116.2935
2.900000 80.493 -115.3454
3.000000 80.058 -112.2804
3.070000 79.742 -108.7339
3.150000 79.429 -103.4718
3.250000 79.284 -95.8952
3.350000 79.588 -88.2709
3.450000 80.315 -81.2819
3.550000 81.243 -75.8203
3.650000 82.164 -72.3705
3.750000 83.031 -70.7062
3.870000 84.027 -70.2750
4.000000 84.962 -70.9507
4.120000 85.626 -72.3437
4.250000 86.157 -74.4417
4.370000 86.507 -76.4782
4.500000 86.744 -78.6397
4.620000 86.844 -80.5974
4.750000 86.859 -82.3947
4.870000 86.801 -83.6086
5.000000 86.682 -84.4834
5.150000 86.534 -84.8681
5.300000 86.411 -84.5291
5.450000 86.349 -83.7426
5.600000 86.393 -82.8172
5.800000 86.600 -81.7762
6.000000 86.919 -81.6176
6.150000 87.193 -82.1562
6.300000 87.450 -83.2622
6.500000 87.738 -85.4602
6.700000 87.935 -88.1244
6.900000 88.040 -90.9891
7.100000 88.073 -93.7298
7.300000 88.065 -96.1924
7.500000 88.056 -98.2519
7.750000 88.095 -100.3340
8.000000 88.231 -102.0813
8.250000 88.466 -103.8300
8.500000 88.765 -105.7871
8.750000 89.084 -107.9993
9.000000 89.384 -110.3487
9.250000 89.650 -112.6532
9.500000 89.882 -114.7528
9.750000 90.094 -116.5508
10.000000 90.302 -118.0454
10.300000 90.558 -119.5263
10.600000 90.820 -120.8096
10.900000 91.076 -122.0055
11.200000 91.309 -123.1463
11.500000 91.514 -124.2164
11.800000 91.691 -125.2002
12.200000 91.892 -126.4036
12.500000 92.021 -127.2738
12.800000 92.130 -128.1504
13.200000 92.241 -129.3364
13.600000 92.322 -130.5229
14.000000 92.387 -131.7215
14.500000 92.463 -133.3353
15.000000 92.531 -135.1576
15.500000 92.587 -137.1137
16.000000 92.643 -139.0677
16.500000 92.719 -140.9801
17.000000 92.817 -142.8727
17.500000 92.923 -144.7089
18.000000 93.031 -146.4023
18.500000 93.141 -147.9139
19.000000 93.251 -149.2694
19.500000 93.351 -150.4993
20.000000 93.436 -151.6161
20.600000 93.516 -152.8382
21.200001 93.570 -153.9897
21.799999 93.601 -155.1142
22.400000 93.616 -156.2509
23.000000 93.621 -157.4484
23.600000 93.619 -158.7144
24.299999 93.615 -160.2270
25.000000 93.622 -161.7401
25.799999 93.645 -163.4431
26.500000 93.673 -164.8550
27.200001 93.703 -166.1498
28.000000 93.733 -167.4741
29.000000 93.754 -168.9356
30.000000 93.746 -170.2463
30.700001 93.726 -171.1017
31.500000 93.698 -172.0422
32.500000 93.675 -173.2066
33.500000 93.678 -174.4874
34.500000 93.685 -175.9024
35.500000 93.684 -177.2988
36.500000 93.673 -178.5935
37.500000 93.650 -179.7777
38.700001 93.607 178.9292
40.000000 93.550 177.5944
41.200001 93.491 176.4063
42.500000 93.432 175.1696
43.700001 93.381 174.0892
45.000000 93.329 173.0099
46.200001 93.280 172.0685
47.500000 93.227 171.0677
48.700001 93.174 170.1494
50.000000 93.116 169.1934
51.500000 93.054 168.1315
53.000000 92.987 167.1090
54.500000 92.917 166.1694
56.000000 92.850 165.2503
58.000000 92.760 163.9996
60.000000 92.670 162.7746
61.500000 92.594 161.8951
63.000000 92.511 161.0934
65.000000 92.401 160.0882
67.000000 92.290 159.1386
69.000000 92.183 158.2865
71.000000 92.082 157.5206
73.000000 91.991 156.8095
75.000000 91.899 156.0577
77.500000 91.782 155.1371
80.000000 91.668 154.1753
82.500000 91.554 153.1838
85.000000 91.415 152.2032
87.500000 91.257 151.4024
90.000000 91.108 150.7614
92.500000 90.970 150.1810
95.000000 90.836 149.6354
97.500000 90.705 149.1135
100.000000 90.578 148.6635
103.000000 90.429 148.2113
106.000000 90.292 147.7676
109.000000 90.172 147.3238
112.000000 90.052 146.8001
115.000000 89.916 146.1705
118.000000 89.783 145.6509
122.000000 89.583 145.2970
125.000000 89.421 145.2574
128.000000 89.279 145.0866
132.000000 89.100 144.8828
136.000000 88.923 144.8835
140.000000 88.771 144.9301
145.000000 88.606 144.9566
150.000000 88.507 145.4021
155.000000 88.424 145.3872
160.000000 88.324 144.8491
165.000000 88.192 144.2725
170.000000 88.019 143.8957
175.000000 87.853 143.7841
180.000000 87.705 143.7305
185.000000 87.561 143.6849
190.000000 87.416 143.6525
195.000000 87.269 143.6720
200.000000 87.127 143.7706
206.000000 86.970 143.9800
212.000000 86.820 144.1486
218.000000 86.658 144.4351
224.000000 86.520 144.9282
230.000000 86.420 145.4024
236.000000 86.343 145.7571
243.000000 86.253 145.9208
250.000000 86.134 146.0524
258.000000 85.997 146.4350
265.000000 85.895 146.6977
272.000000 85.779 146.9585
280.000000 85.658 147.4202
290.000000 85.547 147.9522
300.000000 85.425 148.2157
307.000000 85.325 148.5002
315.000000 85.215 148.8661
325.000000 85.078 149.4032
335.000000 84.960 150.0344
345.000000 84.855 150.6180
355.000000 84.752 151.2161
365.000000 84.653 151.8369
375.000000 84.559 152.4722
387.000000 84.455 153.2568
400.000000 84.355 154.1022
412.000000 84.272 154.8588
425.000000 84.179 155.7374
437.000000 84.115 156.6162
450.000000 84.068 157.4736
462.000000 84.025 158.0559
475.000000 83.948 158.7093
487.000000 83.878 159.4130
500.000000 83.801 160.2431
515.000000 83.731 161.2578
530.000000 83.663 162.2519
545.000000 83.604 163.3324
560.000000 83.561 164.3976
580.000000 83.506 165.7498
600.000000 83.451 167.1671
615.000000 83.420 168.2739
630.000000 83.390 169.4265
650.000000 83.375 171.0800
670.000000 83.405 172.6336
690.000000 83.428 173.9083
710.000000 83.431 175.2641
730.000000 83.446 176.6895
750.000000 83.469 178.1498
775.000000 83.514 -179.9641
800.000000 83.584 -178.0365
825.000000 83.698 -176.1048
850.000000 83.834 -174.5161
875.000000 83.952 -173.0229
900.000000 84.080 -171.4949
925.000000 84.228 -169.9918
950.000000 84.400 -168.6479
975.000000 84.580 -167.5726
1000.000000 84.738 -166.8231
1030.000000 84.846 -166.0504
1060.000000 84.884 -164.7898
1090.000000 84.974 -162.7533
1120.000000 85.180 -160.9321
1150.000000 85.401 -159.6159
1180.000000 85.608 -158.4872
1220.000000 85.891 -157.2074
1250.000000 86.073 -156.5449
1280.000000 86.220 -155.8818
1320.000000 86.392 -154.9091
1360.000000 86.540 -153.8893
1400.000000 86.668 -152.6306
1450.000000 86.867 -150.8853
1500.000000 87.058 -149.2324
1550.000000 87.252 -147.2294
1600.000000 87.548 -145.0794
1650.000000 87.895 -143.6987
1700.000000 88.190 -142.8356
1750.000000 88.418 -142.1196
1800.000000 88.600 -141.1942
1850.000000 88.782 -140.1764
1900.000000 88.939 -139.0770
1950.000000 89.107 -137.6472
2000.000000 89.342 -136.2402
2060.000000 89.629 -135.1927
2120.000000 89.842 -134.4144
2180.000000 90.002 -133.3195
2240.000000 90.197 -131.9768
2300.000000 90.409 -130.8632
2360.000000 90.603 -129.8749
2430.000000 90.803 -128.8493
2500.000000 90.965 -127.7257
2580.000000 91.163 -126.1094
2650.000000 91.380 -124.9040
2720.000000 91.564 -123.9194
2800.000000 91.789 -122.6503
2900.000000 92.137 -121.7881
3000.000000 92.393 -122.2670
3070.000000 92.431 -123.0609
3150.000000 92.318 -123.7098
3250.000000 92.029 -123.6911
3350.000000 91.636 -122.4111
3450.000000 91.279 -119.7349
3550.000000 91.036 -116.3041
3650.000000 90.922 -112.8692
3750.000000 90.856 -109.8191
3870.000000 90.798 -106.4663
4000.000000 90.761 -103.0886
4120.000000 90.744 -100.6325
4250.000000 90.670 -98.6173
4370.000000 90.544 -97.0463
4500.000000 90.385 -95.8688
4620.000000 90.177 -95.4714
4750.000000 89.857 -95.5858
4870.000000 89.518 -96.1878
5000.000000 89.118 -97.7703
5150.000000 88.623 -101.0095
5300.000000 88.225 -106.2040
5450.000000 88.089 -114.3630
5600.000000 88.400 -125.8988
5800.000000 89.701 -146.2511
6000.000000 91.349 -169.8756
6150.000000 92.181 172.8760
6300.000000 92.420 158.2213
6500.000000 92.019 145.5635
6700.000000 91.357 141.3585
6900.000000 90.834 143.8767
7100.000000 90.631 150.5156
7300.000000 90.753 159.0894
7500.000000 91.176 167.9191
7750.000000 91.974 177.0844
8000.000000 92.723 -177.9521
8250.000000 92.853 -176.8057
8500.000000 92.005 -175.6808
8750.000000 90.374 -169.8313
9000.000000 88.493 -157.4943
9250.000000 86.843 -140.0832
9500.000000 85.575 -120.3379
9750.000000 84.589 -99.9674
10000.000000 83.765 -78.8384
10300.000000 82.989 -51.7524
10600.000000 82.590 -22.8403
10900.000000 82.601 6.2718
11200.000000 82.985 35.3548
11500.000000 83.783 64.2630
11800.000000 85.123 92.6866
12200.000000 88.085 126.6653
12500.000000 91.052 142.2173
12800.000000 93.614 143.4444
13200.000000 94.086 130.3820
13600.000000 90.889 126.7154
14000.000000 86.640 144.5784
14500.000000 82.615 -176.9814
15000.000000 80.299 -138.4539
15500.000000 78.877 -107.5758
16000.000000 77.456 -88.7981
16500.000000 74.918 -82.0656
17000.000000 70.669 -82.4200
17500.000000 65.461 -88.3404
18000.000000 61.376 -94.4505
18500.000000 59.095 -83.7450
19000.000000 58.095 -45.0201
19500.000000 58.010 -13.6450
20000.000000 57.319 3.4273
