* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 23, 2025 1:17:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwi Ears Airoso R
* Measurement: R Kiwi Ears Airoso
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 90.319 121.6347
1.030000 89.963 119.4623
1.060000 89.580 117.3543
1.090000 89.169 115.3504
1.120000 88.736 113.4575
1.150000 88.286 111.6363
1.180000 87.822 109.8516
1.220000 87.175 107.4853
1.250000 86.664 105.6899
1.280000 86.129 103.8498
1.320000 85.372 101.2824
1.360000 84.557 98.5273
1.400000 83.678 95.5234
1.450000 82.466 91.3524
1.500000 81.026 86.7108
1.550000 79.237 81.4727
1.600000 77.190 75.1293
1.650000 75.066 66.6279
1.700000 73.067 53.7924
1.750000 71.412 32.5212
1.800000 70.347 0.6359
1.850000 70.099 -30.6075
1.900000 70.721 -52.3193
1.950000 72.016 -66.8173
2.000000 73.705 -76.9759
2.060000 75.879 -85.6360
2.120000 77.842 -91.7500
2.180000 79.316 -96.1302
2.240000 80.271 -99.5973
2.300000 80.881 -102.8600
2.360000 81.263 -106.0279
2.430000 81.506 -109.4025
2.500000 81.614 -112.1462
2.580000 81.639 -114.2931
2.650000 81.536 -115.5361
2.720000 81.301 -116.3902
2.800000 80.938 -116.7785
2.900000 80.470 -115.9159
3.000000 80.026 -112.9460
3.070000 79.699 -109.4701
3.150000 79.372 -104.2809
3.250000 79.210 -96.7563
3.350000 79.498 -89.1216
3.450000 80.211 -82.0701
3.550000 81.128 -76.5286
3.650000 82.043 -73.0107
3.750000 82.908 -71.2974
3.870000 83.906 -70.8278
4.000000 84.844 -71.4837
4.120000 85.510 -72.8760
4.250000 86.043 -74.9863
4.370000 86.393 -77.0416
4.500000 86.629 -79.2315
4.620000 86.727 -81.2220
4.750000 86.738 -83.0575
4.870000 86.675 -84.3071
5.000000 86.548 -85.2206
5.150000 86.390 -85.6418
5.300000 86.256 -85.3240
5.450000 86.181 -84.5412
5.600000 86.214 -83.6010
5.800000 86.409 -82.5214
6.000000 86.723 -82.3244
6.150000 86.996 -82.8428
6.300000 87.252 -83.9414
6.500000 87.541 -86.1491
6.700000 87.739 -88.8423
6.900000 87.844 -91.7514
7.100000 87.876 -94.5452
7.300000 87.865 -97.0644
7.500000 87.851 -99.1771
7.750000 87.883 -101.3140
8.000000 88.012 -103.0983
8.250000 88.243 -104.8683
8.500000 88.540 -106.8379
8.750000 88.858 -109.0598
9.000000 89.158 -111.4193
9.250000 89.424 -113.7341
9.500000 89.656 -115.8428
9.750000 89.867 -117.6474
10.000000 90.074 -119.1455
10.300000 90.328 -120.6279
10.600000 90.590 -121.9126
10.900000 90.843 -123.1112
11.200000 91.073 -124.2555
11.500000 91.272 -125.3267
11.800000 91.444 -126.3062
12.200000 91.637 -127.4945
12.500000 91.761 -128.3493
12.800000 91.865 -129.2119
13.200000 91.972 -130.3885
13.600000 92.047 -131.5790
14.000000 92.106 -132.7921
14.500000 92.172 -134.4282
15.000000 92.230 -136.2655
15.500000 92.276 -138.2248
16.000000 92.325 -140.1783
16.500000 92.398 -142.1018
17.000000 92.491 -144.0231
17.500000 92.589 -145.8868
18.000000 92.685 -147.5748
18.500000 92.785 -149.0327
19.000000 92.891 -150.3067
19.500000 92.995 -151.4686
20.000000 93.087 -152.5582
20.600000 93.170 -153.7925
21.200001 93.220 -154.9630
21.799999 93.244 -156.0870
22.400000 93.253 -157.2128
23.000000 93.253 -158.4022
23.600000 93.245 -159.6600
24.299999 93.235 -161.1591
25.000000 93.239 -162.6680
25.799999 93.258 -164.3774
26.500000 93.281 -165.7810
27.200001 93.308 -167.0538
28.000000 93.337 -168.3594
29.000000 93.356 -169.8080
30.000000 93.348 -171.1183
30.700001 93.328 -172.0101
31.500000 93.293 -173.0344
32.500000 93.241 -174.2661
33.500000 93.212 -175.4441
34.500000 93.212 -176.6899
35.500000 93.215 -178.0010
36.500000 93.206 -179.2504
37.500000 93.184 179.6111
38.700001 93.143 178.3466
40.000000 93.083 177.0341
41.200001 93.021 175.8533
42.500000 92.957 174.6115
43.700001 92.900 173.5111
45.000000 92.838 172.4139
46.200001 92.780 171.4596
47.500000 92.709 170.4888
48.700001 92.645 169.6472
50.000000 92.574 168.7602
51.500000 92.493 167.7970
53.000000 92.411 166.8762
54.500000 92.329 166.0056
56.000000 92.252 165.1585
58.000000 92.157 164.0155
60.000000 92.055 162.9086
61.500000 91.971 162.1471
63.000000 91.883 161.4272
65.000000 91.763 160.5085
67.000000 91.648 159.6618
69.000000 91.536 158.8916
71.000000 91.424 158.1813
73.000000 91.312 157.5032
75.000000 91.200 156.8578
77.500000 91.069 156.1543
80.000000 90.954 155.3968
82.500000 90.837 154.5793
85.000000 90.702 153.8007
87.500000 90.553 153.1542
90.000000 90.405 152.5965
92.500000 90.264 152.0965
95.000000 90.125 151.6548
97.500000 89.989 151.2942
100.000000 89.856 151.0080
103.000000 89.703 150.7097
106.000000 89.564 150.3660
109.000000 89.435 149.9944
112.000000 89.297 149.5991
115.000000 89.149 149.1346
118.000000 89.008 148.8082
122.000000 88.781 148.8087
125.000000 88.613 149.0995
128.000000 88.475 149.3482
132.000000 88.329 149.9173
136.000000 88.227 150.5771
140.000000 88.205 150.9371
145.000000 88.177 150.5796
150.000000 88.074 149.8519
155.000000 87.903 149.4096
160.000000 87.725 149.2338
165.000000 87.568 149.0811
170.000000 87.408 149.0230
175.000000 87.249 149.1567
180.000000 87.108 149.3093
185.000000 86.975 149.4420
190.000000 86.844 149.5801
195.000000 86.710 149.7617
200.000000 86.576 150.0356
206.000000 86.432 150.4385
212.000000 86.302 150.7431
218.000000 86.160 151.1163
224.000000 86.034 151.6156
230.000000 85.924 152.0554
236.000000 85.818 152.4611
243.000000 85.693 152.8991
250.000000 85.558 153.4154
258.000000 85.424 154.2023
265.000000 85.336 154.7739
272.000000 85.234 155.3197
280.000000 85.130 156.0660
290.000000 85.042 156.9157
300.000000 84.938 157.4541
307.000000 84.849 157.9211
315.000000 84.751 158.5050
325.000000 84.628 159.3239
335.000000 84.527 160.2143
345.000000 84.436 161.0362
355.000000 84.344 161.8685
365.000000 84.257 162.7293
375.000000 84.176 163.6141
387.000000 84.087 164.6947
400.000000 84.001 165.8570
412.000000 83.929 166.9075
425.000000 83.852 168.0832
437.000000 83.799 169.2358
450.000000 83.763 170.3900
462.000000 83.731 171.2404
475.000000 83.667 172.1896
487.000000 83.609 173.1526
500.000000 83.545 174.2765
515.000000 83.488 175.6262
530.000000 83.432 176.9459
545.000000 83.385 178.3437
560.000000 83.352 179.7319
580.000000 83.311 -178.4826
600.000000 83.271 -176.6294
615.000000 83.247 -175.2068
630.000000 83.224 -173.7542
650.000000 83.223 -171.6842
670.000000 83.265 -169.7068
690.000000 83.299 -168.0091
710.000000 83.313 -166.2468
730.000000 83.338 -164.4162
750.000000 83.371 -162.5400
775.000000 83.430 -160.1476
800.000000 83.514 -157.7301
825.000000 83.647 -155.3189
850.000000 83.801 -153.2847
875.000000 83.938 -151.3682
900.000000 84.094 -149.4973
925.000000 84.278 -147.8758
950.000000 84.460 -146.9289
975.000000 84.485 -146.7032
1000.000000 84.276 -145.2503
1030.000000 84.250 -140.9318
1060.000000 84.507 -137.6181
1090.000000 84.765 -135.1434
1120.000000 85.015 -133.0924
1150.000000 85.233 -131.3308
1180.000000 85.426 -129.6155
1220.000000 85.683 -127.4408
1250.000000 85.839 -126.0117
1280.000000 85.959 -124.4225
1320.000000 86.133 -121.8853
1360.000000 86.376 -119.3301
1400.000000 86.646 -117.2009
1450.000000 86.951 -115.0669
1500.000000 87.163 -113.1027
1550.000000 87.325 -110.7733
1600.000000 87.515 -108.1427
1650.000000 87.710 -105.6892
1700.000000 87.886 -103.1107
1750.000000 88.081 -100.3676
1800.000000 88.319 -97.6464
1850.000000 88.566 -95.4148
1900.000000 88.736 -93.2839
1950.000000 88.894 -90.5985
2000.000000 89.152 -87.7815
2060.000000 89.506 -85.3920
2120.000000 89.746 -83.7216
2180.000000 89.863 -81.7917
2240.000000 89.947 -79.3874
2300.000000 90.010 -76.5914
2360.000000 90.112 -73.2238
2430.000000 90.327 -69.4215
2500.000000 90.522 -65.9660
2580.000000 90.753 -61.2450
2650.000000 91.140 -57.0567
2720.000000 91.605 -54.0594
2800.000000 92.091 -51.8624
2900.000000 92.529 -50.4567
3000.000000 92.724 -49.4696
3070.000000 92.745 -48.7453
3150.000000 92.657 -47.6300
3250.000000 92.418 -45.6405
3350.000000 92.055 -42.5745
3450.000000 91.693 -38.1217
3550.000000 91.420 -32.7175
3650.000000 91.283 -27.0751
3750.000000 91.220 -21.7584
3870.000000 91.185 -15.7747
4000.000000 91.181 -9.6779
4120.000000 91.196 -4.8290
4250.000000 91.151 -0.3875
4370.000000 91.032 3.2984
4500.000000 90.849 6.7224
4620.000000 90.586 9.2293
4750.000000 90.169 11.5909
4870.000000 89.711 13.5992
5000.000000 89.169 15.2993
5150.000000 88.510 16.4925
5300.000000 87.944 16.5159
5450.000000 87.604 14.4088
5600.000000 87.614 9.7684
5800.000000 88.392 -0.5592
6000.000000 89.704 -14.4050
6150.000000 90.594 -25.1440
6300.000000 91.121 -34.5251
6500.000000 91.219 -42.2259
6700.000000 90.981 -43.0311
6900.000000 90.769 -37.5997
7100.000000 90.808 -27.9978
7300.000000 91.138 -16.4183
7500.000000 91.739 -4.8640
7750.000000 92.638 6.8483
8000.000000 93.199 13.8333
8250.000000 92.826 18.4707
8500.000000 91.413 26.3324
8750.000000 89.479 41.9055
9000.000000 87.732 64.6403
9250.000000 86.501 90.4228
9500.000000 85.645 116.4177
9750.000000 84.962 142.4616
10000.000000 84.400 169.5819
10300.000000 83.992 -155.8568
10600.000000 84.015 -119.9487
10900.000000 84.533 -83.5455
11200.000000 85.644 -47.2029
11500.000000 87.542 -12.0879
11800.000000 90.354 17.4213
12200.000000 94.364 33.6660
12500.000000 95.497 28.1865
12800.000000 93.942 22.8140
13200.000000 89.471 37.5406
13600.000000 85.164 76.2949
14000.000000 82.291 123.3300
14500.000000 80.453 -177.6661
15000.000000 80.135 -123.4072
15500.000000 80.826 -82.1908
16000.000000 81.346 -59.6085
16500.000000 80.317 -50.5886
17000.000000 77.405 -45.0313
17500.000000 73.270 -38.1066
18000.000000 68.617 -28.6445
18500.000000 63.770 -13.5662
19000.000000 58.696 13.0277
19500.000000 53.634 62.7692
20000.000000 50.448 123.3639
