* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Sep 8, 2024 1:50:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kiwi Ears Canta L
* Measurement: L Kiwi Ears Canta
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	89.230	-58.5456
0.368865	89.233	-58.6084
0.371538	89.237	-58.7024
0.374230	89.242	-58.8205
0.376942	89.247	-58.9565
0.379673	89.253	-59.1058
0.382424	89.259	-59.2654
0.385196	89.265	-59.4335
0.387987	89.272	-59.6090
0.390798	89.278	-59.7914
0.393630	89.285	-59.9805
0.396483	89.291	-60.1760
0.399356	89.298	-60.3779
0.402250	89.305	-60.5862
0.405165	89.312	-60.8010
0.408101	89.318	-61.0222
0.411058	89.325	-61.2499
0.414037	89.332	-61.4842
0.417037	89.339	-61.7250
0.420059	89.346	-61.9724
0.423103	89.353	-62.2265
0.426169	89.360	-62.4871
0.429257	89.367	-62.7545
0.432368	89.375	-63.0285
0.435501	89.382	-63.3092
0.438656	89.389	-63.5967
0.441835	89.396	-63.8908
0.445037	89.404	-64.1917
0.448262	89.411	-64.4993
0.451510	89.419	-64.8136
0.454782	89.426	-65.1347
0.458077	89.434	-65.4624
0.461397	89.442	-65.7968
0.464740	89.450	-66.1379
0.468108	89.457	-66.4855
0.471500	89.465	-66.8398
0.474917	89.473	-67.2007
0.478358	89.481	-67.5680
0.481825	89.489	-67.9419
0.485316	89.497	-68.3221
0.488833	89.505	-68.7087
0.492375	89.514	-69.1016
0.495943	89.522	-69.5007
0.499537	89.530	-69.9059
0.503157	89.539	-70.3172
0.506803	89.547	-70.7345
0.510475	89.555	-71.1576
0.514175	89.564	-71.5865
0.517900	89.573	-72.0211
0.521653	89.581	-72.4612
0.525434	89.590	-72.9067
0.529241	89.599	-73.3575
0.533076	89.608	-73.8135
0.536939	89.617	-74.2746
0.540830	89.626	-74.7405
0.544749	89.635	-75.2112
0.548696	89.644	-75.6864
0.552673	89.653	-76.1661
0.556677	89.662	-76.6500
0.560711	89.672	-77.1380
0.564774	89.681	-77.6299
0.568867	89.691	-78.1255
0.572989	89.700	-78.6246
0.577141	89.710	-79.1272
0.581324	89.720	-79.6328
0.585536	89.729	-80.1414
0.589779	89.739	-80.6528
0.594053	89.749	-81.1668
0.598358	89.759	-81.6831
0.602694	89.769	-82.2015
0.607061	89.779	-82.7219
0.611460	89.789	-83.2439
0.615891	89.800	-83.7675
0.620354	89.810	-84.2924
0.624849	89.820	-84.8184
0.629377	89.831	-85.3452
0.633938	89.841	-85.8727
0.638532	89.852	-86.4007
0.643159	89.863	-86.9288
0.647819	89.874	-87.4570
0.652514	89.884	-87.9850
0.657242	89.895	-88.5126
0.662005	89.906	-89.0396
0.666802	89.918	-89.5658
0.671634	89.929	-90.0910
0.676501	89.940	-90.6151
0.681403	89.951	-91.1378
0.686341	89.963	-91.6589
0.691314	89.974	-92.1784
0.696324	89.986	-92.6961
0.701370	89.997	-93.2119
0.706452	90.009	-93.7258
0.711571	90.020	-94.2381
0.716728	90.031	-94.7490
0.721921	90.041	-95.2593
0.727153	90.050	-95.7701
0.732422	90.058	-96.2829
0.737729	90.064	-96.7997
0.743075	90.069	-97.3223
0.748460	90.073	-97.8524
0.753883	90.077	-98.3910
0.759346	90.079	-98.9388
0.764849	90.082	-99.4963
0.770391	90.084	-100.0636
0.775974	90.086	-100.6408
0.781597	90.087	-101.2278
0.787261	90.089	-101.8245
0.792966	90.090	-102.4307
