* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 1:00:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: LetShuoer S15 R
* Measurement: R  LetShuoer S15
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 85.477 -1.9975
0.368865 85.477 -2.0012
0.371538 85.477 -2.0067
0.374230 85.477 -2.0136
0.376942 85.476 -2.0214
0.379673 85.476 -2.0300
0.382424 85.476 -2.0390
0.385196 85.476 -2.0485
0.387987 85.475 -2.0583
0.390798 85.475 -2.0684
0.393630 85.475 -2.0788
0.396483 85.475 -2.0895
0.399356 85.474 -2.1005
0.402250 85.474 -2.1117
0.405165 85.474 -2.1232
0.408101 85.474 -2.1350
0.411058 85.473 -2.1471
0.414037 85.473 -2.1595
0.417037 85.473 -2.1721
0.420059 85.472 -2.1851
0.423103 85.472 -2.1983
0.426169 85.472 -2.2118
0.429257 85.472 -2.2257
0.432367 85.471 -2.2398
0.435501 85.471 -2.2543
0.438656 85.471 -2.2690
0.441835 85.470 -2.2841
0.445037 85.470 -2.2994
0.448262 85.470 -2.3151
0.451510 85.469 -2.3312
0.454782 85.469 -2.3475
0.458077 85.469 -2.3642
0.461397 85.468 -2.3811
0.464740 85.468 -2.3985
0.468108 85.468 -2.4161
0.471500 85.468 -2.4341
0.474917 85.467 -2.4524
0.478358 85.467 -2.4711
0.481825 85.467 -2.4901
0.485316 85.466 -2.5095
0.488833 85.466 -2.5292
0.492375 85.466 -2.5492
0.495943 85.465 -2.5696
0.499537 85.465 -2.5904
0.503157 85.465 -2.6115
0.506803 85.464 -2.6330
0.510475 85.464 -2.6548
0.514174 85.463 -2.6770
0.517900 85.463 -2.6996
0.521653 85.463 -2.7225
0.525433 85.462 -2.7458
0.529241 85.462 -2.7695
0.533076 85.462 -2.7935
0.536939 85.461 -2.8180
0.540830 85.461 -2.8427
0.544749 85.461 -2.8679
0.548696 85.460 -2.8934
0.552673 85.460 -2.9193
0.556677 85.459 -2.9456
0.560711 85.459 -2.9723
0.564774 85.459 -2.9994
0.568867 85.458 -3.0268
0.572989 85.458 -3.0546
0.577141 85.458 -3.0828
0.581324 85.457 -3.1114
0.585536 85.457 -3.1403
0.589779 85.456 -3.1696
0.594053 85.456 -3.1993
0.598358 85.456 -3.2294
0.602694 85.455 -3.2599
0.607061 85.455 -3.2908
0.611460 85.454 -3.3220
0.615891 85.454 -3.3536
0.620354 85.453 -3.3856
0.624849 85.453 -3.4179
0.629377 85.453 -3.4506
0.633938 85.452 -3.4837
0.638532 85.452 -3.5172
0.643159 85.451 -3.5510
0.647819 85.451 -3.5852
0.652514 85.450 -3.6198
0.657242 85.450 -3.6547
0.662005 85.449 -3.6899
0.666802 85.449 -3.7255
0.671634 85.449 -3.7615
0.676501 85.448 -3.7978
0.681403 85.448 -3.8344
0.686341 85.447 -3.8714
0.691314 85.447 -3.9087
0.696324 85.446 -3.9463
0.701369 85.446 -3.9843
0.706452 85.445 -4.0225
0.711571 85.445 -4.0611
0.716727 85.444 -4.1001
0.721921 85.443 -4.1394
0.727153 85.443 -4.1792
0.732422 85.442 -4.2194
0.737729 85.440 -4.2602
0.743075 85.439 -4.3016
0.748460 85.438 -4.3437
0.753883 85.436 -4.3866
0.759346 85.434 -4.4303
0.764849 85.433 -4.4747
0.770391 85.431 -4.5200
0.775974 85.429 -4.5661
0.781597 85.427 -4.6130
0.787261 85.425 -4.6607
0.792965 85.423 -4.7093
0.798712 85.421 -4.7587
0.804499 85.419 -4.8088
0.810329 85.417 -4.8598
0.816201 85.414 -4.9116
0.822116 85.412 -4.9642
0.828073 85.410 -5.0176
0.834073 85.408 -5.0717
0.840118 85.405 -5.1267
0.846205 85.403 -5.1824
0.852337 85.400 -5.2388
0.858514 85.398 -5.2960
0.864735 85.395 -5.3540
0.871001 85.392 -5.4127
0.877313 85.389 -5.4720
0.883670 85.387 -5.5321
0.890074 85.384 -5.5929
0.896523 85.381 -5.6544
0.903020 85.378 -5.7165
0.909564 85.374 -5.7792
0.916155 85.371 -5.8426
0.922793 85.368 -5.9066
0.929480 85.365 -5.9712
0.936216 85.361 -6.0363
0.943000 85.358 -6.1020
0.949833 85.354 -6.1682
0.956716 85.350 -6.2349
0.963649 85.347 -6.3021
0.970632 85.343 -6.3697
0.977666 85.339 -6.4378
0.984750 85.335 -6.5062
0.991886 85.331 -6.5750
0.999074 85.326 -6.6441
1.006313 85.322 -6.7136
1.013605 85.318 -6.7832
1.020950 85.313 -6.8531
1.028349 85.309 -6.9232
1.035801 85.304 -6.9935
1.043306 85.299 -7.0638
1.050867 85.294 -7.1342
1.058482 85.289 -7.2047
1.066152 85.284 -7.2751
1.073878 85.278 -7.3456
1.081659 85.273 -7.4161
1.089498 85.267 -7.4866
1.097393 85.262 -7.5572
1.105345 85.256 -7.6281
1.113355 85.250 -7.6993
1.121422 85.243 -7.7709
1.129549 85.237 -7.8430
1.137734 85.231 -7.9157
1.145978 85.224 -7.9889
1.154283 85.217 -8.0628
1.162647 85.210 -8.1372
1.171072 85.203 -8.2122
1.179558 85.195 -8.2878
1.188106 85.188 -8.3639
1.196715 85.180 -8.4406
1.205387 85.172 -8.5179
1.214122 85.164 -8.5957
1.222920 85.156 -8.6740
1.231781 85.147 -8.7528
1.240708 85.139 -8.8320
1.249698 85.130 -8.9117
1.258754 85.121 -8.9919
1.267875 85.112 -9.0724
1.277063 85.103 -9.1533
1.286317 85.094 -9.2346
1.295638 85.084 -9.3162
1.305027 85.075 -9.3981
1.314484 85.065 -9.4803
1.324009 85.055 -9.5626
1.333603 85.045 -9.6452
1.343267 85.035 -9.7280
1.353001 85.025 -9.8108
1.362805 85.015 -9.8938
1.372681 85.005 -9.9767
1.382628 84.995 -10.0597
1.392647 84.984 -10.1426
1.402739 84.974 -10.2253
1.412904 84.964 -10.3080
1.423142 84.953 -10.3904
1.433455 84.942 -10.4725
1.443842 84.932 -10.5544
1.454305 84.921 -10.6360
1.464843 84.910 -10.7172
1.475458 84.899 -10.7982
1.486150 84.888 -10.8788
1.496919 84.877 -10.9592
1.507766 84.865 -11.0394
1.518692 84.853 -11.1193
1.529697 84.841 -11.1990
1.540782 84.829 -11.2785
1.551947 84.816 -11.3578
1.563193 84.804 -11.4370
1.574521 84.791 -11.5159
1.585931 84.778 -11.5947
1.597423 84.765 -11.6734
1.608998 84.752 -11.7519
1.620658 84.738 -11.8303
1.632402 84.725 -11.9085
1.644231 84.712 -11.9867
1.656146 84.698 -12.0647
1.668147 84.685 -12.1426
1.680235 84.672 -12.2204
1.692410 84.659 -12.2981
1.704674 84.646 -12.3757
1.717027 84.633 -12.4533
1.729469 84.620 -12.5308
1.742002 84.608 -12.6082
1.754625 84.595 -12.6855
1.767340 84.583 -12.7627
1.780147 84.572 -12.8398
1.793046 84.561 -12.9166
1.806040 84.550 -12.9931
1.819127 84.539 -13.0690
1.832309 84.529 -13.1442
1.845587 84.519 -13.2183
1.858961 84.509 -13.2912
1.872431 84.499 -13.3627
1.886000 84.490 -13.4328
1.899666 84.481 -13.5015
1.913432 84.472 -13.5688
1.927298 84.463 -13.6350
1.941264 84.454 -13.7002
1.955331 84.445 -13.7647
1.969500 84.437 -13.8287
1.983772 84.429 -13.8924
1.998147 84.422 -13.9561
2.012626 84.415 -14.0201
2.027211 84.408 -14.0846
2.041901 84.402 -14.1499
2.056697 84.397 -14.2164
2.071601 84.392 -14.2843
2.086613 84.388 -14.3541
2.101733 84.384 -14.4259
2.116963 84.381 -14.5000
2.132303 84.379 -14.5768
2.147755 84.378 -14.6564
2.163318 84.378 -14.7387
2.178995 84.379 -14.8237
2.194785 84.381 -14.9110
2.210689 84.384 -15.0001
2.226709 84.387 -15.0905
2.242844 84.392 -15.1818
2.259097 84.398 -15.2739
2.275467 84.404 -15.3667
2.291956 84.412 -15.4606
2.308565 84.420 -15.5558
2.325294 84.430 -15.6528
2.342144 84.440 -15.7521
2.359116 84.451 -15.8543
2.376211 84.464 -15.9598
2.393430 84.477 -16.0693
2.410774 84.491 -16.1835
2.428243 84.506 -16.3028
2.445839 84.523 -16.4281
2.463562 84.540 -16.5597
2.481415 84.558 -16.6984
2.499396 84.577 -16.8447
2.517508 84.597 -16.9988
2.535750 84.619 -17.1610
2.554126 84.641 -17.3312
2.572634 84.665 -17.5090
2.591276 84.690 -17.6940
2.610054 84.716 -17.8857
2.628967 84.744 -18.0838
2.648018 84.773 -18.2882
2.667206 84.803 -18.4990
2.686534 84.835 -18.7163
2.706002 84.868 -18.9405
2.725610 84.902 -19.1717
2.745361 84.937 -19.4104
2.765255 84.973 -19.6570
2.785294 85.010 -19.9119
2.805477 85.048 -20.1754
2.825807 85.087 -20.4481
2.846284 85.127 -20.7303
2.866909 85.168 -21.0225
2.887684 85.209 -21.3249
2.908609 85.251 -21.6378
2.929686 85.294 -21.9613
2.950916 85.338 -22.2953
2.972299 85.382 -22.6397
2.993838 85.428 -22.9942
3.015532 85.475 -23.3584
3.037384 85.523 -23.7321
3.059394 85.572 -24.1149
3.081564 85.621 -24.5065
3.103894 85.672 -24.9066
3.126386 85.724 -25.3150
3.149041 85.776 -25.7313
3.171861 85.829 -26.1554
3.194845 85.882 -26.5871
3.217996 85.936 -27.0263
3.241315 85.991 -27.4730
3.264803 86.046 -27.9274
3.288461 86.101 -28.3897
3.312291 86.157 -28.8602
3.336293 86.214 -29.3391
3.360469 86.271 -29.8265
3.384820 86.328 -30.3220
3.409348 86.387 -30.8253
3.434054 86.446 -31.3355
3.458938 86.505 -31.8520
3.484003 86.565 -32.3738
3.509250 86.626 -32.9002
3.534679 86.687 -33.4302
3.560293 86.749 -33.9631
3.586092 86.811 -34.4983
3.612079 86.874 -35.0353
3.638253 86.938 -35.5740
3.664618 87.001 -36.1145
3.691173 87.066 -36.6570
3.717921 87.131 -37.2019
3.744862 87.196 -37.7492
3.771999 87.262 -38.2988
3.799332 87.328 -38.8502
3.826864 87.396 -39.4028
3.854595 87.463 -39.9559
3.882527 87.532 -40.5088
3.910661 87.601 -41.0606
3.938999 87.672 -41.6105
3.967543 87.743 -42.1580
3.996294 87.815 -42.7024
4.025252 87.888 -43.2436
4.054421 87.961 -43.7814
4.083801 88.036 -44.3160
4.113394 88.112 -44.8475
4.143201 88.188 -45.3761
4.173225 88.266 -45.9019
4.203466 88.344 -46.4249
4.233926 88.424 -46.9450
4.264606 88.505 -47.4622
4.295509 88.587 -47.9762
4.326636 88.670 -48.4869
4.357989 88.755 -48.9939
4.389569 88.841 -49.4968
4.421378 88.928 -49.9955
4.453417 89.017 -50.4897
4.485688 89.107 -50.9796
4.518193 89.199 -51.4656
4.550934 89.292 -51.9482
4.583912 89.386 -52.4281
4.617129 89.482 -52.9061
4.650587 89.578 -53.3827
4.684287 89.677 -53.8586
4.718231 89.776 -54.3339
4.752421 89.877 -54.8086
4.786859 89.979 -55.2827
4.821547 90.082 -55.7559
4.856485 90.187 -56.2280
4.891677 90.293 -56.6993
4.927125 90.400 -57.1703
4.962829 90.508 -57.6417
4.998791 90.617 -58.1140
5.035015 90.727 -58.5882
5.071500 90.837 -59.0647
5.108251 90.948 -59.5440
5.145267 91.059 -60.0261
5.182552 91.171 -60.5110
5.220107 91.283 -60.9983
5.257934 91.395 -61.4877
5.296035 91.508 -61.9790
5.334412 91.621 -62.4720
5.373067 91.733 -62.9668
5.412003 91.846 -63.4633
5.451221 91.957 -63.9619
5.490722 92.068 -64.4626
5.530510 92.179 -64.9656
5.570587 92.289 -65.4707
5.610953 92.398 -65.9775
5.651613 92.506 -66.4851
5.692567 92.614 -66.9926
5.733818 92.720 -67.4989
5.775367 92.825 -68.0035
5.817218 92.929 -68.5057
5.859372 93.032 -69.0054
5.901831 93.134 -69.5026
5.944598 93.233 -69.9973
5.987675 93.332 -70.4890
6.031065 93.429 -70.9768
