* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 8, 2025 3:15:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Letshuoer Mystic 8 R
* Measurement: R  Letsuoer Mystic 8
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 91.232 132.9354
1.030000 90.642 131.3799
1.060000 89.944 129.9239
1.090000 89.114 128.6280
1.120000 88.090 127.5358
1.150000 86.810 126.6532
1.180000 85.287 125.9860
1.220000 82.979 125.4717
1.250000 81.124 125.4240
1.280000 79.238 125.7486
1.320000 76.796 126.9917
1.360000 74.602 129.7102
1.400000 72.846 135.1870
1.450000 71.587 151.2037
1.500000 71.653 -167.9261
1.550000 72.952 -124.4402
1.600000 75.107 -107.4352
1.650000 77.720 -101.2013
1.700000 80.424 -98.7611
1.750000 82.901 -97.9475
1.800000 84.906 -97.9605
1.850000 86.373 -98.5266
1.900000 87.467 -99.5892
1.950000 88.325 -101.0055
2.000000 89.009 -102.5953
2.060000 89.668 -104.5466
2.120000 90.224 -106.4075
2.180000 90.741 -108.1183
2.240000 91.219 -109.7761
2.300000 91.613 -111.5250
2.360000 91.917 -113.3406
2.430000 92.185 -115.4169
2.500000 92.394 -117.3102
2.580000 92.588 -119.1633
2.650000 92.707 -120.6173
2.720000 92.770 -121.9969
2.800000 92.792 -123.4370
2.900000 92.778 -124.8807
3.000000 92.732 -125.8162
3.070000 92.671 -126.2038
3.150000 92.588 -126.4274
3.250000 92.494 -126.4231
3.350000 92.437 -126.0910
3.450000 92.409 -125.4061
3.550000 92.413 -124.5389
3.650000 92.460 -123.7176
3.750000 92.561 -123.0120
3.870000 92.739 -122.3192
4.000000 92.961 -121.9611
4.120000 93.171 -122.1202
4.250000 93.400 -122.7432
4.370000 93.584 -123.6450
4.500000 93.735 -124.9621
4.620000 93.830 -126.4310
4.750000 93.884 -128.1170
4.870000 93.884 -129.7006
5.000000 93.837 -131.4219
5.150000 93.740 -133.2474
5.300000 93.606 -134.8178
5.450000 93.458 -136.1356
5.600000 93.322 -137.1564
5.800000 93.182 -138.1455
6.000000 93.127 -138.9507
6.150000 93.143 -139.5577
6.300000 93.201 -140.3153
6.500000 93.329 -141.6257
6.700000 93.476 -143.3185
6.900000 93.617 -145.3280
7.100000 93.730 -147.5002
7.300000 93.811 -149.6885
7.500000 93.864 -151.7302
7.750000 93.911 -153.9417
8.000000 93.966 -155.6992
8.250000 94.055 -157.0734
8.500000 94.186 -158.2149
8.750000 94.352 -159.2790
9.000000 94.532 -160.3638
9.250000 94.703 -161.4764
9.500000 94.850 -162.5699
9.750000 94.966 -163.5725
10.000000 95.037 -164.4347
10.300000 95.071 -165.2678
10.600000 95.078 -165.9255
10.900000 95.074 -166.4863
11.200000 95.059 -167.0149
11.500000 95.029 -167.5430
11.800000 94.986 -168.0798
12.200000 94.915 -168.8244
12.500000 94.852 -169.4290
12.800000 94.779 -170.0935
13.200000 94.666 -171.0741
13.600000 94.543 -172.1242
14.000000 94.422 -173.2073
14.500000 94.291 -174.6398
15.000000 94.190 -176.2464
15.500000 94.104 -177.9936
16.000000 94.025 -179.6982
16.500000 93.967 178.7820
17.000000 93.942 177.4348
17.500000 93.942 176.1958
18.000000 93.939 175.0722
18.500000 93.924 174.1177
19.000000 93.897 173.3447
19.500000 93.859 172.7106
20.000000 93.807 172.1619
20.600000 93.725 171.5523
21.200001 93.625 170.9202
21.799999 93.513 170.1995
22.400000 93.389 169.3740
23.000000 93.259 168.4720
23.600000 93.134 167.5310
24.299999 93.004 166.4168
25.000000 92.893 165.3358
25.799999 92.789 164.2576
26.500000 92.719 163.4796
27.200001 92.654 162.8060
28.000000 92.563 162.1974
29.000000 92.431 161.6647
30.000000 92.275 161.1136
30.700001 92.145 160.7294
31.500000 92.001 160.3053
32.500000 91.841 159.6358
33.500000 91.685 158.8818
34.500000 91.545 158.2683
35.500000 91.427 157.7865
36.500000 91.311 157.3856
37.500000 91.179 157.1161
38.700001 91.013 156.9689
40.000000 90.842 156.7989
41.200001 90.681 156.5622
42.500000 90.507 156.3576
43.700001 90.359 156.2868
45.000000 90.218 156.2678
46.200001 90.090 156.2325
47.500000 89.949 156.1976
48.700001 89.816 156.2047
50.000000 89.678 156.3181
51.500000 89.536 156.5542
53.000000 89.407 156.8227
54.500000 89.283 157.0990
56.000000 89.171 157.3426
58.000000 89.035 157.5902
60.000000 88.905 157.8639
61.500000 88.806 158.1205
63.000000 88.707 158.3938
65.000000 88.576 158.7350
67.000000 88.458 159.1200
69.000000 88.352 159.5371
71.000000 88.253 159.9903
73.000000 88.163 160.4420
75.000000 88.082 160.8725
77.500000 87.993 161.4053
80.000000 87.915 161.8648
82.500000 87.842 162.1850
85.000000 87.753 162.4620
87.500000 87.655 162.8676
90.000000 87.570 163.3675
92.500000 87.503 163.8844
95.000000 87.450 164.3955
97.500000 87.397 164.8647
100.000000 87.336 165.3299
103.000000 87.270 165.9396
106.000000 87.228 166.4932
109.000000 87.189 166.9274
112.000000 87.151 167.2584
115.000000 87.106 167.6430
118.000000 87.038 168.4010
122.000000 86.988 169.3281
125.000000 86.953 169.5966
128.000000 86.926 169.9400
132.000000 86.900 170.4289
136.000000 86.878 170.8455
140.000000 86.850 171.2659
145.000000 86.816 171.8469
150.000000 86.779 172.4041
155.000000 86.729 173.0160
160.000000 86.702 173.6454
165.000000 86.679 174.0896
170.000000 86.640 174.5355
175.000000 86.609 175.0743
180.000000 86.592 175.5619
185.000000 86.576 175.9926
190.000000 86.558 176.3833
195.000000 86.544 176.7674
200.000000 86.523 177.1925
206.000000 86.505 177.7742
212.000000 86.490 178.2486
218.000000 86.451 178.7327
224.000000 86.435 179.4078
230.000000 86.441 -179.9067
236.000000 86.451 -179.2906
243.000000 86.475 -178.6727
250.000000 86.499 -178.1467
258.000000 86.540 -177.5984
265.000000 86.583 -177.3490
272.000000 86.591 -177.1693
280.000000 86.592 -176.8119
290.000000 86.622 -176.3857
300.000000 86.629 -176.2115
307.000000 86.614 -175.9963
315.000000 86.596 -175.7019
325.000000 86.566 -175.2440
335.000000 86.550 -174.7169
345.000000 86.540 -174.2560
355.000000 86.521 -173.7868
365.000000 86.505 -173.3052
375.000000 86.491 -172.8167
387.000000 86.474 -172.2341
400.000000 86.464 -171.6055
412.000000 86.457 -171.0512
425.000000 86.441 -170.4204
437.000000 86.444 -169.7751
450.000000 86.465 -169.1818
462.000000 86.479 -168.8498
475.000000 86.459 -168.4567
487.000000 86.438 -168.0005
500.000000 86.408 -167.4344
515.000000 86.390 -166.7245
530.000000 86.370 -166.0389
545.000000 86.356 -165.2824
560.000000 86.353 -164.5408
580.000000 86.346 -163.6174
600.000000 86.334 -162.6240
615.000000 86.333 -161.8465
630.000000 86.329 -161.0294
650.000000 86.348 -159.8246
670.000000 86.404 -158.7256
690.000000 86.446 -157.9132
710.000000 86.463 -156.9896
730.000000 86.485 -155.9730
750.000000 86.512 -154.9194
775.000000 86.561 -153.5390
800.000000 86.627 -152.1167
825.000000 86.736 -150.6827
850.000000 86.863 -149.6135
875.000000 86.963 -148.6129
900.000000 87.065 -147.5497
925.000000 87.181 -146.5004
950.000000 87.316 -145.5396
975.000000 87.454 -144.6957
1000.000000 87.595 -143.8894
1030.000000 87.785 -142.9171
1060.000000 88.015 -142.2627
1090.000000 88.218 -141.9819
1120.000000 88.393 -141.7914
1150.000000 88.548 -141.6292
1180.000000 88.695 -141.4410
1220.000000 88.916 -141.3264
1250.000000 89.057 -141.5096
1280.000000 89.164 -141.6688
1320.000000 89.282 -141.7410
1360.000000 89.391 -141.7302
1400.000000 89.511 -141.4737
1450.000000 89.724 -141.0032
1500.000000 89.920 -140.7192
1550.000000 90.051 -140.2906
1600.000000 90.173 -139.7785
1650.000000 90.298 -139.6265
1700.000000 90.400 -139.5370
1750.000000 90.484 -139.4199
1800.000000 90.563 -139.0970
1850.000000 90.684 -138.8466
1900.000000 90.821 -138.7945
1950.000000 91.002 -138.7133
2000.000000 91.255 -138.7613
2060.000000 91.570 -139.2668
2120.000000 91.857 -140.0527
2180.000000 92.106 -140.9088
2240.000000 92.353 -141.9530
2300.000000 92.566 -143.3652
2360.000000 92.743 -144.9099
2430.000000 92.900 -147.0771
2500.000000 92.939 -149.4335
2580.000000 92.827 -151.5522
2650.000000 92.671 -152.5298
2720.000000 92.520 -152.5808
2800.000000 92.478 -151.8044
2900.000000 92.626 -151.1623
3000.000000 92.851 -151.3852
3070.000000 93.008 -152.0322
3150.000000 93.163 -153.0137
3250.000000 93.334 -154.6395
3350.000000 93.425 -156.6278
3450.000000 93.450 -158.5775
3550.000000 93.436 -160.3180
3650.000000 93.418 -161.9547
3750.000000 93.360 -163.6423
3870.000000 93.223 -165.4438
4000.000000 93.031 -166.8441
4120.000000 92.867 -168.0020
4250.000000 92.665 -169.1685
4370.000000 92.452 -169.9045
4500.000000 92.241 -170.5134
4620.000000 92.043 -171.0951
4750.000000 91.807 -171.5169
4870.000000 91.612 -171.6766
5000.000000 91.424 -171.8715
5150.000000 91.187 -171.9833
5300.000000 90.966 -171.7793
5450.000000 90.755 -171.5463
5600.000000 90.520 -171.0917
5800.000000 90.271 -170.2575
6000.000000 90.018 -169.7789
6150.000000 89.806 -169.1310
6300.000000 89.608 -168.2661
6500.000000 89.375 -166.6683
6700.000000 89.226 -164.7000
6900.000000 89.179 -162.4761
7100.000000 89.262 -160.4224
7300.000000 89.452 -159.0588
7500.000000 89.719 -158.7650
7750.000000 90.029 -160.0320
8000.000000 90.186 -162.6212
8250.000000 90.186 -165.2297
8500.000000 90.227 -168.0140
8750.000000 90.273 -172.7210
9000.000000 89.901 -179.3031
9250.000000 88.933 175.3140
9500.000000 87.656 173.6323
9750.000000 86.489 175.5394
10000.000000 85.665 179.6129
10300.000000 85.149 -174.6693
10600.000000 85.044 -169.2936
10900.000000 85.250 -164.9753
11200.000000 85.662 -162.0835
11500.000000 86.246 -160.7725
11800.000000 86.988 -161.7810
12200.000000 87.882 -168.5993
12500.000000 87.979 -177.3262
12800.000000 87.304 173.8963
13200.000000 85.526 167.3769
13600.000000 83.667 168.5639
14000.000000 82.504 174.6642
14500.000000 82.541 -177.4531
15000.000000 84.067 -178.3407
15500.000000 85.374 166.4688
16000.000000 84.847 147.5921
16500.000000 84.705 132.1125
17000.000000 85.878 104.7138
17500.000000 84.238 62.7330
18000.000000 78.834 27.6521
18500.000000 72.416 -1.8071
19000.000000 66.758 -40.4491
19500.000000 61.183 -69.0887
20000.000000 58.674 -86.5321
