* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 26, 2025 11:17:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: limeears 1dd L
* Measurement: L May 26
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 91.986 171.9061
0.368865 91.982 171.8964
0.371538 91.976 171.8820
0.374230 91.970 171.8638
0.376942 91.962 171.8429
0.379673 91.954 171.8200
0.382424 91.946 171.7956
0.385196 91.937 171.7698
0.387987 91.928 171.7430
0.390798 91.919 171.7151
0.393630 91.910 171.6863
0.396483 91.901 171.6565
0.399356 91.891 171.6258
0.402250 91.882 171.5941
0.405165 91.873 171.5614
0.408101 91.863 171.5277
0.411058 91.854 171.4931
0.414037 91.844 171.4575
0.417037 91.835 171.4209
0.420059 91.825 171.3833
0.423103 91.815 171.3447
0.426169 91.805 171.3051
0.429257 91.795 171.2645
0.432368 91.785 171.2228
0.435501 91.775 171.1801
0.438656 91.765 171.1364
0.441835 91.755 171.0916
0.445037 91.745 171.0458
0.448262 91.734 170.9989
0.451510 91.724 170.9509
0.454782 91.713 170.9019
0.458077 91.703 170.8517
0.461397 91.692 170.8005
0.464740 91.681 170.7482
0.468108 91.671 170.6948
0.471500 91.660 170.6404
0.474917 91.649 170.5848
0.478358 91.638 170.5281
0.481825 91.627 170.4703
0.485316 91.615 170.4114
0.488833 91.604 170.3513
0.492375 91.593 170.2902
0.495943 91.581 170.2280
0.499537 91.570 170.1646
0.503157 91.558 170.1001
0.506803 91.546 170.0345
0.510475 91.535 169.9678
0.514175 91.523 169.9000
0.517900 91.511 169.8311
0.521653 91.499 169.7610
0.525434 91.487 169.6899
0.529241 91.474 169.6177
0.533076 91.462 169.5443
0.536939 91.450 169.4699
0.540830 91.437 169.3944
0.544749 91.424 169.3178
0.548696 91.412 169.2402
0.552673 91.399 169.1614
0.556677 91.386 169.0817
0.560711 91.373 169.0009
0.564774 91.360 168.9191
0.568867 91.347 168.8362
0.572989 91.334 168.7524
0.577141 91.320 168.6676
0.581324 91.307 168.5818
0.585536 91.293 168.4951
0.589779 91.280 168.4074
0.594053 91.266 168.3188
0.598358 91.252 168.2294
0.602694 91.238 168.1390
0.607061 91.224 168.0479
0.611460 91.210 167.9559
0.615891 91.196 167.8632
0.620354 91.182 167.7697
0.624849 91.167 167.6754
0.629377 91.153 167.5805
0.633938 91.138 167.4850
0.638532 91.123 167.3888
0.643159 91.108 167.2921
0.647819 91.093 167.1948
0.652514 91.078 167.0970
0.657242 91.063 166.9988
0.662005 91.048 166.9003
0.666802 91.032 166.8013
0.671634 91.017 166.7021
0.676501 91.001 166.6027
0.681403 90.986 166.5031
0.686341 90.970 166.4034
0.691314 90.954 166.3037
0.696324 90.937 166.2040
0.701370 90.921 166.1043
0.706452 90.904 166.0048
0.711571 90.887 165.9054
0.716728 90.870 165.8061
0.721921 90.852 165.7067
0.727153 90.832 165.6072
0.732422 90.811 165.5072
0.737729 90.789 165.4063
0.743075 90.765 165.3041
0.748460 90.741 165.2003
0.753883 90.715 165.0947
0.759346 90.689 164.9870
0.764849 90.662 164.8772
0.770391 90.634 164.7652
0.775974 90.607 164.6510
0.781597 90.579 164.5345
0.787261 90.550 164.4157
0.792966 90.522 164.2947
0.798712 90.493 164.1714
0.804500 90.463 164.0459
0.810329 90.433 163.9181
0.816201 90.403 163.7881
0.822116 90.372 163.6559
0.828073 90.341 163.5215
0.834074 90.309 163.3849
0.840118 90.277 163.2461
0.846206 90.245 163.1053
0.852338 90.211 162.9623
0.858514 90.178 162.8173
0.864735 90.143 162.6703
0.871001 90.108 162.5213
0.877313 90.072 162.3704
0.883670 90.036 162.2176
0.890074 89.998 162.0630
0.896524 89.960 161.9066
0.903020 89.922 161.7485
0.909564 89.882 161.5888
0.916155 89.842 161.4276
0.922794 89.800 161.2648
0.929481 89.758 161.1008
0.936216 89.714 160.9354
0.943000 89.670 160.7689
0.949834 89.625 160.6013
0.956717 89.578 160.4328
0.963649 89.530 160.2635
0.970632 89.481 160.0936
0.977666 89.431 159.9231
0.984750 89.379 159.7523
0.991886 89.327 159.5814
0.999074 89.272 159.4104
1.006314 89.216 159.2398
1.013606 89.159 159.0695
1.020951 89.100 158.8999
1.028349 89.040 158.7313
1.035801 88.978 158.5638
1.043307 88.914 158.3977
1.050867 88.848 158.2334
1.058482 88.780 158.0710
1.066152 88.711 157.9108
1.073878 88.640 157.7531
1.081660 88.567 157.5979
1.089498 88.493 157.4452
1.097393 88.417 157.2949
1.105345 88.341 157.1465
1.113355 88.265 156.9997
1.121423 88.188 156.8542
1.129549 88.112 156.7095
1.137734 88.036 156.5656
1.145979 87.961 156.4224
1.154283 87.885 156.2797
1.162647 87.810 156.1377
1.171072 87.734 155.9963
1.179558 87.658 155.8557
1.188106 87.581 155.7158
1.196715 87.503 155.5768
1.205387 87.424 155.4387
1.214122 87.343 155.3017
1.222920 87.260 155.1658
1.231782 87.176 155.0313
1.240708 87.089 154.8983
1.249699 86.999 154.7668
1.258754 86.906 154.6371
1.267876 86.809 154.5094
1.277063 86.709 154.3838
1.286318 86.604 154.2607
1.295639 86.495 154.1402
1.305027 86.381 154.0225
1.314484 86.261 153.9081
1.324009 86.135 153.7973
1.333604 86.003 153.6904
1.343268 85.864 153.5877
1.353002 85.718 153.4898
1.362806 85.563 153.3971
1.372681 85.401 153.3101
1.382628 85.229 153.2295
1.392647 85.048 153.1559
1.402739 84.856 153.0898
1.412904 84.654 153.0322
1.423142 84.440 152.9838
1.433455 84.212 152.9454
1.443843 83.970 152.9178
1.454305 83.712 152.9019
1.464844 83.434 152.8984
1.475459 83.134 152.9082
1.486150 82.810 152.9323
1.496920 82.458 152.9716
1.507767 82.079 153.0277
1.518693 81.672 153.1024
1.529698 81.237 153.1977
1.540783 80.776 153.3162
1.551948 80.291 153.4608
1.563194 79.782 153.6350
1.574521 79.254 153.8428
1.585931 78.707 154.0889
1.597423 78.144 154.3789
1.608999 77.568 154.7192
1.620658 76.983 155.1176
1.632402 76.390 155.5833
1.644232 75.794 156.1275
1.656146 75.199 156.7634
1.668147 74.607 157.5075
1.680235 74.023 158.3796
1.692411 73.452 159.4044
1.704675 72.898 160.6123
1.717028 72.366 162.0417
1.729470 71.862 163.7407
1.742003 71.391 165.7698
1.754626 70.961 168.2060
1.767341 70.577 171.1460
1.780147 70.247 174.7098
1.793047 69.978 179.0423
1.806040 69.776 -175.6934
1.819128 69.648 -169.3368
1.832310 69.598 -161.7817
1.845587 69.629 -153.0618
1.858961 69.740 -143.4462
1.872432 69.931 -133.4621
1.886001 70.197 -123.7654
1.899667 70.534 -114.9150
1.913433 70.936 -107.2200
1.927299 71.397 -100.7415
1.941265 71.911 -95.3842
1.955332 72.470 -90.9882
1.969501 73.068 -87.3858
1.983773 73.699 -84.4276
1.998148 74.355 -81.9893
2.012627 75.029 -79.9712
2.027212 75.716 -78.2946
2.041902 76.407 -76.8976
2.056698 77.097 -75.7311
2.071602 77.779 -74.7567
2.086614 78.446 -73.9436
2.101734 79.093 -73.2671
2.116964 79.713 -72.7075
2.132304 80.303 -72.2487
2.147756 80.859 -71.8777
2.163320 81.378 -71.5840
2.178996 81.860 -71.3588
2.194786 82.306 -71.1951
2.210690 82.722 -71.0869
2.226710 83.110 -71.0288
2.242845 83.476 -71.0160
2.259098 83.822 -71.0439
2.275468 84.151 -71.1080
2.291957 84.465 -71.2043
2.308566 84.765 -71.3289
2.325295 85.051 -71.4786
2.342145 85.326 -71.6501
2.359117 85.589 -71.8409
2.376212 85.843 -72.0484
2.393431 86.088 -72.2704
2.410775 86.325 -72.5052
2.428244 86.555 -72.7508
2.445840 86.780 -73.0060
2.463564 87.001 -73.2695
2.481416 87.217 -73.5405
2.499397 87.431 -73.8183
2.517509 87.643 -74.1029
2.535752 87.853 -74.3948
2.554127 88.060 -74.6948
2.572635 88.263 -75.0044
2.591277 88.461 -75.3250
2.610055 88.654 -75.6574
2.628968 88.839 -76.0018
2.648019 89.018 -76.3577
2.667208 89.189 -76.7240
2.686535 89.353 -77.0992
2.706003 89.511 -77.4818
2.725612 89.663 -77.8702
2.745363 89.809 -78.2627
2.765257 89.951 -78.6578
2.785295 90.088 -79.0539
2.805478 90.221 -79.4497
2.825808 90.351 -79.8441
2.846285 90.479 -80.2360
2.866910 90.604 -80.6249
2.887685 90.728 -81.0109
2.908611 90.850 -81.3947
2.929688 90.969 -81.7774
2.950917 91.086 -82.1611
2.972301 91.200 -82.5474
2.993839 91.310 -82.9374
3.015534 91.416 -83.3316
3.037386 91.518 -83.7296
3.059396 91.616 -84.1305
3.081565 91.711 -84.5331
3.103896 91.802 -84.9362
3.126388 91.890 -85.3380
3.149043 91.976 -85.7372
3.171862 92.058 -86.1323
3.194847 92.139 -86.5217
3.217998 92.217 -86.9044
3.241317 92.294 -87.2794
3.264805 92.369 -87.6467
3.288463 92.442 -88.0065
3.312293 92.513 -88.3597
3.336295 92.581 -88.7077
3.360471 92.647 -89.0516
3.384822 92.711 -89.3922
3.409350 92.771 -89.7297
3.434056 92.829 -90.0641
3.458940 92.885 -90.3949
3.484005 92.939 -90.7216
3.509252 92.990 -91.0434
3.534681 93.041 -91.3595
3.560295 93.090 -91.6691
3.586094 93.137 -91.9713
3.612081 93.184 -92.2657
3.638255 93.231 -92.5516
3.664620 93.276 -92.8289
3.691175 93.320 -93.0979
3.717923 93.363 -93.3589
3.744864 93.404 -93.6125
3.772001 93.444 -93.8592
3.799335 93.483 -94.0997
3.826866 93.521 -94.3345
3.854597 93.558 -94.5640
3.882529 93.594 -94.7888
3.910664 93.630 -95.0091
3.939002 93.666 -95.2251
3.967546 93.702 -95.4370
3.996296 93.738 -95.6445
4.025255 93.775 -95.8474
4.054423 93.811 -96.0454
4.083804 93.848 -96.2383
4.113396 93.884 -96.4263
4.143204 93.921 -96.6100
4.173227 93.957 -96.7905
4.203468 93.994 -96.9690
4.233928 94.031 -97.1468
4.264609 94.067 -97.3254
4.295512 94.105 -97.5062
4.326639 94.142 -97.6900
4.357992 94.180 -97.8777
4.389572 94.219 -98.0697
4.421380 94.257 -98.2656
4.453419 94.297 -98.4654
4.485691 94.337 -98.6690
4.518196 94.377 -98.8765
4.550936 94.417 -99.0887
4.583914 94.458 -99.3062
4.617131 94.499 -99.5301
4.650589 94.539 -99.7615
4.684289 94.580 -100.0013
4.718233 94.620 -100.2504
4.752424 94.660 -100.5094
4.786862 94.699 -100.7786
4.821549 94.739 -101.0580
4.856488 94.777 -101.3472
4.891680 94.816 -101.6461
4.927127 94.854 -101.9541
4.962831 94.891 -102.2709
4.998794 94.928 -102.5963
5.035017 94.964 -102.9300
5.071503 94.998 -103.2722
5.108253 95.031 -103.6230
5.145270 95.063 -103.9828
5.182555 95.094 -104.3518
5.220110 95.123 -104.7299
5.257937 95.151 -105.1165
5.296038 95.178 -105.5104
5.334415 95.203 -105.9104
5.373071 95.227 -106.3152
5.412006 95.250 -106.7236
5.451224 95.271 -107.1349
5.490725 95.290 -107.5485
5.530514 95.308 -107.9645
5.570590 95.325 -108.3830
5.610957 95.340 -108.8038
5.651616 95.353 -109.2262
5.692570 95.366 -109.6492
5.733821 95.377 -110.0715
5.775370 95.388 -110.4917
5.817221 95.397 -110.9088
5.859375 95.406 -111.3219
5.901834 95.414 -111.7309
5.944602 95.422 -112.1358
5.987679 95.429 -112.5367
6.031068 95.436 -112.9339
6.074771 95.443 -113.3273
6.118792 95.450 -113.7168
6.163131 95.458 -114.1023
6.207792 95.466 -114.4833
6.252776 95.475 -114.8598
6.298086 95.485 -115.2318
6.343725 95.496 -115.6000
6.389694 95.508 -115.9653
6.435996 95.521 -116.3290
6.482634 95.536 -116.6926
6.529610 95.553 -117.0572
6.576926 95.571 -117.4237
6.624585 95.591 -117.7926
6.672590 95.613 -118.1644
6.720942 95.637 -118.5398
6.769645 95.662 -118.9200
