* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: May 17, 2025 4:17:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Lime Ears Maris R
* Measurement: R Lime Ears Maris
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.374 157.6511
0.368865 94.368 157.6280
0.371538 94.358 157.5934
0.374230 94.347 157.5499
0.376942 94.334 157.4997
0.379673 94.320 157.4445
0.382424 94.305 157.3854
0.385196 94.291 157.3230
0.387987 94.275 157.2577
0.390798 94.260 157.1898
0.393630 94.244 157.1192
0.396483 94.229 157.0461
0.399356 94.213 156.9705
0.402250 94.197 156.8923
0.405165 94.181 156.8115
0.408101 94.165 156.7281
0.411058 94.149 156.6422
0.414037 94.132 156.5535
0.417037 94.116 156.4622
0.420059 94.099 156.3682
0.423103 94.082 156.2715
0.426169 94.065 156.1720
0.429257 94.049 156.0697
0.432368 94.031 155.9647
0.435501 94.014 155.8568
0.438656 93.997 155.7461
0.441835 93.979 155.6325
0.445037 93.962 155.5160
0.448262 93.944 155.3966
0.451510 93.926 155.2743
0.454782 93.908 155.1490
0.458077 93.890 155.0207
0.461397 93.872 154.8895
0.464740 93.853 154.7552
0.468108 93.835 154.6179
0.471500 93.816 154.4775
0.474917 93.797 154.3341
0.478358 93.778 154.1876
0.481825 93.759 154.0380
0.485316 93.740 153.8852
0.488833 93.721 153.7294
0.492375 93.701 153.5704
0.495943 93.682 153.4083
0.499537 93.662 153.2430
0.503157 93.642 153.0745
0.506803 93.622 152.9029
0.510475 93.602 152.7281
0.514175 93.582 152.5502
0.517900 93.561 152.3691
0.521653 93.540 152.1848
0.525434 93.520 151.9973
0.529241 93.499 151.8067
0.533076 93.478 151.6130
0.536939 93.456 151.4161
0.540830 93.435 151.2160
0.544749 93.413 151.0129
0.548696 93.392 150.8067
0.552673 93.370 150.5975
0.556677 93.348 150.3851
0.560711 93.326 150.1698
0.564774 93.303 149.9516
0.568867 93.281 149.7303
0.572989 93.258 149.5062
0.577141 93.235 149.2792
0.581324 93.212 149.0494
0.585536 93.189 148.8169
0.589779 93.166 148.5816
0.594053 93.142 148.3437
0.598358 93.119 148.1033
0.602694 93.095 147.8604
0.607061 93.071 147.6150
0.611460 93.047 147.3673
0.615891 93.022 147.1173
0.620354 92.998 146.8652
0.624849 92.973 146.6111
0.629377 92.948 146.3550
0.633938 92.923 146.0971
0.638532 92.898 145.8374
0.643159 92.872 145.5762
0.647819 92.847 145.3136
0.652514 92.821 145.0497
0.657242 92.795 144.7846
0.662005 92.769 144.5186
0.666802 92.742 144.2517
0.671634 92.716 143.9843
0.676501 92.689 143.7164
0.681403 92.662 143.4483
0.686341 92.635 143.1802
0.691314 92.607 142.9122
0.696324 92.580 142.6447
0.701370 92.552 142.3778
0.706452 92.523 142.1116
0.711571 92.494 141.8462
0.716728 92.464 141.5816
0.721921 92.433 141.3176
0.727153 92.401 141.0536
0.732422 92.366 140.7889
0.737729 92.328 140.5225
0.743075 92.289 140.2532
0.748460 92.248 139.9800
0.753883 92.205 139.7023
0.759346 92.161 139.4195
0.764849 92.117 139.1312
0.770391 92.072 138.8372
0.775974 92.026 138.5372
0.781597 91.980 138.2313
0.787261 91.933 137.9192
0.792966 91.886 137.6009
0.798712 91.838 137.2763
0.804500 91.790 136.9453
0.810329 91.741 136.6079
0.816201 91.692 136.2639
0.822116 91.641 135.9135
0.828073 91.590 135.5564
0.834074 91.538 135.1926
0.840118 91.486 134.8222
0.846206 91.432 134.4450
0.852338 91.378 134.0611
0.858514 91.323 133.6704
0.864735 91.267 133.2729
0.871001 91.209 132.8686
0.877313 91.151 132.4575
0.883670 91.092 132.0397
0.890074 91.031 131.6151
0.896524 90.969 131.1839
0.903020 90.906 130.7460
0.909564 90.841 130.3017
0.916155 90.775 129.8508
0.922794 90.708 129.3937
0.929481 90.639 128.9303
0.936216 90.568 128.4609
0.943000 90.496 127.9856
0.949834 90.422 127.5047
0.956717 90.346 127.0183
0.963649 90.268 126.5268
0.970632 90.189 126.0305
0.977666 90.107 125.5295
0.984750 90.023 125.0245
0.991886 89.937 124.5156
0.999074 89.848 124.0034
1.006314 89.757 123.4884
1.013606 89.664 122.9711
1.020951 89.568 122.4520
1.028349 89.469 121.9319
1.035801 89.368 121.4114
1.043307 89.263 120.8912
1.050867 89.156 120.3721
1.058482 89.045 119.8549
1.066152 88.931 119.3404
1.073878 88.814 118.8292
1.081660 88.693 118.3219
1.089498 88.568 117.8188
1.097393 88.438 117.3198
1.105345 88.305 116.8244
1.113355 88.167 116.3318
1.121423 88.023 115.8411
1.129549 87.875 115.3515
1.137734 87.721 114.8623
1.145979 87.563 114.3728
1.154283 87.399 113.8824
1.162647 87.230 113.3905
1.171072 87.056 112.8966
1.179558 86.878 112.4001
1.188106 86.695 111.9004
1.196715 86.507 111.3969
1.205387 86.315 110.8889
1.214122 86.119 110.3757
1.222920 85.919 109.8567
1.231782 85.714 109.3310
1.240708 85.507 108.7978
1.249699 85.295 108.2562
1.258754 85.081 107.7053
1.267876 84.863 107.1440
1.277063 84.643 106.5713
1.286318 84.420 105.9859
1.295639 84.195 105.3867
1.305027 83.969 104.7722
1.314484 83.740 104.1410
1.324009 83.510 103.4916
1.333604 83.279 102.8222
1.343268 83.047 102.1312
1.353002 82.815 101.4165
1.362806 82.582 100.6761
1.372681 82.350 99.9079
1.382628 82.119 99.1095
1.392647 81.889 98.2786
1.402739 81.660 97.4127
1.412904 81.433 96.5091
1.423142 81.208 95.5655
1.433455 80.985 94.5790
1.443843 80.764 93.5473
1.454305 80.544 92.4677
1.464844 80.323 91.3372
1.475459 80.101 90.1521
1.486150 79.876 88.9072
1.496920 79.646 87.5956
1.507767 79.410 86.2075
1.518693 79.169 84.7311
1.529698 78.922 83.1511
1.540783 78.670 81.4487
1.551948 78.414 79.6008
1.563194 78.154 77.5786
1.574521 77.892 75.3462
1.585931 77.627 72.8586
1.597423 77.362 70.0594
1.608999 77.098 66.8772
1.620658 76.836 63.2226
1.632402 76.578 58.9847
1.644232 76.323 54.0298
1.656146 76.076 48.2067
1.668147 75.835 41.3646
1.680235 75.605 33.3962
1.692411 75.385 24.3113
1.704675 75.178 14.3223
1.717028 74.986 3.8784
1.729470 74.811 -6.4246
1.742003 74.656 -16.0361
1.754626 74.521 -24.6096
1.767341 74.410 -32.0329
1.780147 74.325 -38.3625
1.793047 74.269 -43.7377
1.806040 74.245 -48.3209
1.819128 74.256 -52.2677
1.832310 74.304 -55.7136
1.845587 74.391 -58.7708
1.858961 74.519 -61.5268
1.872432 74.688 -64.0465
1.886001 74.897 -66.3761
1.899667 75.144 -68.5485
1.913433 75.426 -70.5871
1.927299 75.740 -72.5087
1.941265 76.083 -74.3262
1.955332 76.452 -76.0491
1.969501 76.843 -77.6850
1.983773 77.251 -79.2401
1.998148 77.674 -80.7191
2.012627 78.107 -82.1262
2.027212 78.546 -83.4646
2.041902 78.988 -84.7371
2.056698 79.427 -85.9459
2.071602 79.860 -87.0930
2.086614 80.283 -88.1802
2.101734 80.691 -89.2092
2.116964 81.081 -90.1817
2.132304 81.450 -91.1001
2.147756 81.794 -91.9676
2.163320 82.111 -92.7886
2.178996 82.401 -93.5697
2.194786 82.664 -94.3192
2.210690 82.901 -95.0471
2.226710 83.116 -95.7628
2.242845 83.311 -96.4739
2.259098 83.488 -97.1850
2.275468 83.648 -97.8985
2.291957 83.793 -98.6144
2.308566 83.925 -99.3317
2.325295 84.044 -100.0486
2.342145 84.151 -100.7626
2.359117 84.247 -101.4708
2.376212 84.333 -102.1702
2.393431 84.411 -102.8575
2.410775 84.482 -103.5294
2.428244 84.545 -104.1824
2.445840 84.604 -104.8129
2.463564 84.658 -105.4174
2.481416 84.710 -105.9928
2.499397 84.758 -106.5363
2.517509 84.806 -107.0462
2.535752 84.852 -107.5220
2.554127 84.896 -107.9651
2.572635 84.937 -108.3788
2.591277 84.974 -108.7674
2.610055 85.007 -109.1352
2.628968 85.033 -109.4855
2.648019 85.053 -109.8203
2.667208 85.067 -110.1405
2.686535 85.075 -110.4461
2.706003 85.077 -110.7361
2.725612 85.075 -111.0094
2.745363 85.068 -111.2642
2.765257 85.058 -111.4985
2.785295 85.045 -111.7098
2.805478 85.029 -111.8956
2.825808 85.013 -112.0529
2.846285 84.996 -112.1786
2.866910 84.979 -112.2692
2.887685 84.962 -112.3215
2.908611 84.946 -112.3320
2.929688 84.929 -112.2976
2.950917 84.912 -112.2161
2.972301 84.893 -112.0866
2.993839 84.873 -111.9096
3.015534 84.850 -111.6867
3.037386 84.826 -111.4208
3.059396 84.800 -111.1154
3.081565 84.775 -110.7745
3.103896 84.749 -110.4024
3.126388 84.725 -110.0035
3.149043 84.703 -109.5825
3.171862 84.685 -109.1434
3.194847 84.671 -108.6897
3.217998 84.662 -108.2235
3.241317 84.660 -107.7450
3.264805 84.666 -107.2520
3.288463 84.678 -106.7399
3.312293 84.699 -106.2034
3.336295 84.728 -105.6391
3.360471 84.763 -105.0467
3.384822 84.806 -104.4293
3.409350 84.856 -103.7926
3.434056 84.911 -103.1436
3.458940 84.972 -102.4905
3.484005 85.038 -101.8421
3.509252 85.109 -101.2070
3.534681 85.184 -100.5938
3.560295 85.263 -100.0106
3.586094 85.345 -99.4640
3.612081 85.431 -98.9593
3.638255 85.521 -98.4995
3.664620 85.614 -98.0852
3.691175 85.712 -97.7147
3.717923 85.815 -97.3857
3.744864 85.922 -97.0960
3.772001 86.034 -96.8443
3.799335 86.149 -96.6298
3.826866 86.266 -96.4527
3.854597 86.385 -96.3132
3.882529 86.505 -96.2120
3.910664 86.623 -96.1499
3.939002 86.739 -96.1278
3.967546 86.852 -96.1467
3.996296 86.961 -96.2076
4.025255 87.067 -96.3115
4.054423 87.169 -96.4587
4.083804 87.268 -96.6487
4.113396 87.363 -96.8795
4.143204 87.455 -97.1483
4.173227 87.544 -97.4513
4.203468 87.629 -97.7841
4.233928 87.710 -98.1425
4.264609 87.786 -98.5225
4.295512 87.858 -98.9210
4.326639 87.925 -99.3357
4.357992 87.986 -99.7661
4.389572 88.041 -100.2131
4.421380 88.090 -100.6785
4.453419 88.133 -101.1642
4.485691 88.169 -101.6705
4.518196 88.200 -102.1955
4.550936 88.225 -102.7358
4.583914 88.245 -103.2864
4.617131 88.258 -103.8418
4.650589 88.267 -104.3964
4.684289 88.270 -104.9455
4.718233 88.268 -105.4855
4.752424 88.260 -106.0151
4.786862 88.247 -106.5346
4.821549 88.228 -107.0454
4.856488 88.203 -107.5488
4.891680 88.173 -108.0444
4.927127 88.138 -108.5308
4.962831 88.098 -109.0049
4.998794 88.055 -109.4630
5.035017 88.009 -109.9009
5.071503 87.959 -110.3144
5.108253 87.908 -110.7001
5.145270 87.854 -111.0557
5.182555 87.798 -111.3803
5.220110 87.739 -111.6743
5.257937 87.679 -111.9389
5.296038 87.617 -112.1759
5.334415 87.555 -112.3867
5.373071 87.494 -112.5729
5.412006 87.436 -112.7352
5.451224 87.380 -112.8737
5.490725 87.327 -112.9877
5.530514 87.278 -113.0763
5.570590 87.233 -113.1397
5.610957 87.191 -113.1803
5.651616 87.154 -113.2025
5.692570 87.122 -113.2126
5.733821 87.094 -113.2178
5.775370 87.072 -113.2251
5.817221 87.056 -113.2402
5.859375 87.046 -113.2669
5.901834 87.043 -113.3071
5.944602 87.047 -113.3624
5.987679 87.056 -113.4352
6.031068 87.071 -113.5291
6.074771 87.091 -113.6495
6.118792 87.115 -113.8017
6.163131 87.143 -113.9912
6.207792 87.173 -114.2221
6.252776 87.206 -114.4965
6.298086 87.241 -114.8150
6.343725 87.279 -115.1765
6.389694 87.318 -115.5793
6.435996 87.358 -116.0216
6.482634 87.397 -116.5020
6.529610 87.436 -117.0197
6.576926 87.472 -117.5743
6.624585 87.507 -118.1656
6.672590 87.539 -118.7927
6.720942 87.568 -119.4525
