* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 21, 2025 9:46:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Moondrop Kadenz NozL
* Measurement: L Moondrop Kadenz L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.875 158.7023
0.368865 93.869 158.6801
0.371538 93.860 158.6468
0.374230 93.850 158.6050
0.376942 93.837 158.5567
0.379673 93.824 158.5037
0.382424 93.811 158.4470
0.385196 93.797 158.3872
0.387987 93.782 158.3246
0.390798 93.768 158.2594
0.393630 93.753 158.1918
0.396483 93.738 158.1219
0.399356 93.724 158.0494
0.402250 93.709 157.9746
0.405165 93.694 157.8973
0.408101 93.678 157.8176
0.411058 93.663 157.7354
0.414037 93.648 157.6507
0.417037 93.632 157.5635
0.420059 93.617 157.4737
0.423103 93.601 157.3814
0.426169 93.585 157.2865
0.429257 93.569 157.1889
0.432368 93.553 157.0887
0.435501 93.537 156.9859
0.438656 93.520 156.8803
0.441835 93.504 156.7721
0.445037 93.488 156.6611
0.448262 93.471 156.5474
0.451510 93.454 156.4309
0.454782 93.437 156.3116
0.458077 93.420 156.1895
0.461397 93.403 156.0646
0.464740 93.386 155.9369
0.468108 93.368 155.8063
0.471500 93.351 155.6728
0.474917 93.333 155.5364
0.478358 93.315 155.3971
0.481825 93.297 155.2549
0.485316 93.279 155.1098
0.488833 93.261 154.9617
0.492375 93.243 154.8107
0.495943 93.224 154.6568
0.499537 93.206 154.4998
0.503157 93.187 154.3399
0.506803 93.168 154.1770
0.510475 93.149 154.0112
0.514175 93.130 153.8423
0.517900 93.111 153.6705
0.521653 93.091 153.4957
0.525434 93.072 153.3179
0.529241 93.052 153.1372
0.533076 93.032 152.9535
0.536939 93.012 152.7669
0.540830 92.992 152.5773
0.544749 92.972 152.3849
0.548696 92.952 152.1895
0.552673 92.931 151.9913
0.556677 92.910 151.7902
0.560711 92.890 151.5863
0.564774 92.869 151.3795
0.568867 92.847 151.1701
0.572989 92.826 150.9579
0.577141 92.805 150.7430
0.581324 92.783 150.5255
0.585536 92.761 150.3054
0.589779 92.739 150.0828
0.594053 92.717 149.8577
0.598358 92.695 149.6302
0.602694 92.672 149.4004
0.607061 92.650 149.1682
0.611460 92.627 148.9339
0.615891 92.604 148.6975
0.620354 92.581 148.4590
0.624849 92.558 148.2186
0.629377 92.535 147.9764
0.633938 92.511 147.7324
0.638532 92.487 147.4869
0.643159 92.463 147.2398
0.647819 92.439 146.9914
0.652514 92.415 146.7417
0.657242 92.391 146.4910
0.662005 92.366 146.2393
0.666802 92.341 145.9868
0.671634 92.316 145.7338
0.676501 92.291 145.4803
0.681403 92.266 145.2265
0.686341 92.240 144.9727
0.691314 92.214 144.7190
0.696324 92.188 144.4656
0.701370 92.162 144.2128
0.706452 92.135 143.9605
0.711571 92.108 143.7090
0.716728 92.080 143.4582
0.721921 92.051 143.2078
0.727153 92.020 142.9575
0.732422 91.988 142.7064
0.737729 91.953 142.4537
0.743075 91.916 142.1982
0.748460 91.878 141.9393
0.753883 91.838 141.6761
0.759346 91.797 141.4082
0.764849 91.755 141.1352
0.770391 91.713 140.8570
0.775974 91.670 140.5733
0.781597 91.627 140.2842
0.787261 91.583 139.9893
0.792966 91.539 139.6888
0.798712 91.494 139.3826
0.804500 91.448 139.0705
0.810329 91.402 138.7525
0.816201 91.355 138.4286
0.822116 91.307 138.0988
0.828073 91.259 137.7630
0.834074 91.210 137.4212
0.840118 91.161 137.0733
0.846206 91.110 136.7194
0.852338 91.059 136.3593
0.858514 91.007 135.9932
0.864735 90.954 135.6210
0.871001 90.900 135.2427
0.877313 90.845 134.8584
0.883670 90.789 134.4680
0.890074 90.732 134.0717
0.896524 90.674 133.6694
0.903020 90.614 133.2613
0.909564 90.554 132.8474
0.916155 90.492 132.4279
0.922794 90.429 132.0028
0.929481 90.365 131.5722
0.936216 90.300 131.1364
0.943000 90.233 130.6955
0.949834 90.164 130.2497
0.956717 90.094 129.7992
0.963649 90.023 129.3443
0.970632 89.949 128.8852
0.977666 89.874 128.4223
0.984750 89.798 127.9558
0.991886 89.719 127.4863
0.999074 89.639 127.0140
1.006314 89.556 126.5394
1.013606 89.472 126.0629
1.020951 89.385 125.5853
1.028349 89.297 125.1068
1.035801 89.206 124.6283
1.043307 89.113 124.1504
1.050867 89.017 123.6737
1.058482 88.919 123.1989
1.066152 88.818 122.7268
1.073878 88.715 122.2579
1.081660 88.609 121.7928
1.089498 88.501 121.3317
1.097393 88.391 120.8746
1.105345 88.278 120.4211
1.113355 88.164 119.9706
1.121423 88.048 119.5224
1.129549 87.930 119.0760
1.137734 87.810 118.6306
1.145979 87.689 118.1858
1.154283 87.566 117.7411
1.162647 87.442 117.2961
1.171072 87.316 116.8504
1.179558 87.187 116.4035
1.188106 87.056 115.9551
1.196715 86.924 115.5047
1.205387 86.788 115.0518
1.214122 86.650 114.5960
1.222920 86.510 114.1367
1.231782 86.366 113.6733
1.240708 86.219 113.2054
1.249699 86.069 112.7323
1.258754 85.916 112.2534
1.267876 85.759 111.7679
1.277063 85.598 111.2752
1.286318 85.433 110.7746
1.295639 85.263 110.2651
1.305027 85.089 109.7459
1.314484 84.911 109.2162
1.324009 84.727 108.6750
1.333604 84.539 108.1212
1.343268 84.345 107.5538
1.353002 84.145 106.9717
1.362806 83.939 106.3736
1.372681 83.727 105.7585
1.382628 83.509 105.1250
1.392647 83.283 104.4719
1.402739 83.051 103.7978
1.412904 82.810 103.1017
1.423142 82.562 102.3822
1.433455 82.304 101.6386
1.443843 82.036 100.8701
1.454305 81.756 100.0763
1.464844 81.461 99.2570
1.475459 81.150 98.4120
1.486150 80.819 97.5407
1.496920 80.467 96.6417
1.507767 80.092 95.7126
1.518693 79.695 94.7502
1.529698 79.276 93.7500
1.540783 78.836 92.7067
1.551948 78.375 91.6138
1.563194 77.897 90.4636
1.574521 77.402 89.2469
1.585931 76.893 87.9527
1.597423 76.372 86.5677
1.608999 75.842 85.0759
1.620658 75.304 83.4576
1.632402 74.763 81.6889
1.644232 74.219 79.7402
1.656146 73.678 77.5747
1.668147 73.142 75.1465
1.680235 72.614 72.3980
1.692411 72.098 69.2571
1.704675 71.599 65.6343
1.717028 71.120 61.4197
1.729470 70.667 56.4838
1.742003 70.243 50.6841
1.754626 69.855 43.8860
1.767341 69.508 36.0070
1.780147 69.208 27.0844
1.793047 68.961 17.3448
1.806040 68.772 7.2155
1.819128 68.647 -2.7724
1.832310 68.591 -12.1502
1.845587 68.606 -20.6338
1.858961 68.692 -28.1327
1.872432 68.849 -34.6883
1.886001 69.075 -40.4037
1.899667 69.364 -45.3986
1.913433 69.712 -49.7860
1.927299 70.113 -53.6638
1.941265 70.561 -57.1135
1.955332 71.051 -60.2017
1.969501 71.576 -62.9823
1.983773 72.129 -65.4989
1.998148 72.705 -67.7867
2.012627 73.297 -69.8741
2.027212 73.898 -71.7845
2.041902 74.502 -73.5369
2.056698 75.103 -75.1469
2.071602 75.695 -76.6273
2.086614 76.271 -77.9892
2.101734 76.825 -79.2416
2.116964 77.353 -80.3928
2.132304 77.849 -81.4505
2.147756 78.309 -82.4227
2.163320 78.730 -83.3183
2.178996 79.112 -84.1478
2.194786 79.457 -84.9234
2.210690 79.765 -85.6588
2.226710 80.043 -86.3666
2.242845 80.293 -87.0568
2.259098 80.519 -87.7359
2.275468 80.724 -88.4073
2.291957 80.908 -89.0720
2.308566 81.075 -89.7295
2.325295 81.224 -90.3781
2.342145 81.359 -91.0157
2.359117 81.480 -91.6395
2.376212 81.588 -92.2465
2.393431 81.686 -92.8336
2.410775 81.775 -93.3973
2.428244 81.856 -93.9342
2.445840 81.932 -94.4406
2.463564 82.003 -94.9129
2.481416 82.071 -95.3479
2.499397 82.138 -95.7427
2.517509 82.205 -96.0952
2.535752 82.271 -96.4048
2.554127 82.337 -96.6724
2.572635 82.400 -96.9009
2.591277 82.460 -97.0942
2.610055 82.515 -97.2562
2.628968 82.563 -97.3900
2.648019 82.605 -97.4976
2.667208 82.640 -97.5802
2.686535 82.669 -97.6378
2.706003 82.692 -97.6704
2.725612 82.710 -97.6770
2.745363 82.724 -97.6568
2.765257 82.735 -97.6087
2.785295 82.745 -97.5313
2.805478 82.754 -97.4232
2.825808 82.764 -97.2830
2.846285 82.776 -97.1090
2.866910 82.790 -96.8997
2.887685 82.807 -96.6531
2.908611 82.827 -96.3673
2.929688 82.851 -96.0403
2.950917 82.877 -95.6702
2.972301 82.905 -95.2560
2.993839 82.935 -94.7978
3.015534 82.965 -94.2971
3.037386 82.997 -93.7567
3.059396 83.030 -93.1801
3.081565 83.064 -92.5718
3.103896 83.101 -91.9368
3.126388 83.141 -91.2805
3.149043 83.185 -90.6088
3.171862 83.232 -89.9273
3.194847 83.285 -89.2417
3.217998 83.344 -88.5570
3.241317 83.410 -87.8771
3.264805 83.483 -87.2041
3.288463 83.563 -86.5381
3.312293 83.652 -85.8776
3.336295 83.749 -85.2207
3.360471 83.854 -84.5668
3.384822 83.966 -83.9171
3.409350 84.086 -83.2754
3.434056 84.211 -82.6465
3.458940 84.342 -82.0363
3.484005 84.477 -81.4510
3.509252 84.615 -80.8969
3.534681 84.756 -80.3796
3.560295 84.897 -79.9046
3.586094 85.040 -79.4759
3.612081 85.182 -79.0966
3.638255 85.325 -78.7680
3.664620 85.467 -78.4896
3.691175 85.610 -78.2594
3.717923 85.754 -78.0744
3.744864 85.899 -77.9316
3.772001 86.044 -77.8281
3.799335 86.190 -77.7613
3.826866 86.336 -77.7293
3.854597 86.481 -77.7302
3.882529 86.624 -77.7626
3.910664 86.764 -77.8253
3.939002 86.901 -77.9176
3.967546 87.034 -78.0392
3.996296 87.163 -78.1902
4.025255 87.287 -78.3713
4.054423 87.406 -78.5830
4.083804 87.520 -78.8252
4.113396 87.630 -79.0969
4.143204 87.736 -79.3957
4.173227 87.837 -79.7181
4.203468 87.934 -80.0604
4.233928 88.027 -80.4185
4.264609 88.115 -80.7886
4.295512 88.198 -81.1675
4.326639 88.276 -81.5529
4.357992 88.350 -81.9436
4.389572 88.419 -82.3401
4.421380 88.482 -82.7438
4.453419 88.540 -83.1562
4.485691 88.592 -83.5776
4.518196 88.639 -84.0070
4.550936 88.681 -84.4417
4.583914 88.718 -84.8781
4.617131 88.751 -85.3121
4.650589 88.780 -85.7394
4.684289 88.805 -86.1562
4.718233 88.826 -86.5595
4.752424 88.843 -86.9479
4.786862 88.857 -87.3213
4.821549 88.866 -87.6806
4.856488 88.872 -88.0266
4.891680 88.874 -88.3597
4.927127 88.873 -88.6795
4.962831 88.869 -88.9848
4.998794 88.863 -89.2741
5.035017 88.856 -89.5453
5.071503 88.848 -89.7964
5.108253 88.840 -90.0257
5.145270 88.831 -90.2318
5.182555 88.823 -90.4143
5.220110 88.814 -90.5739
5.257937 88.804 -90.7125
5.296038 88.796 -90.8323
5.334415 88.788 -90.9363
5.373071 88.782 -91.0274
5.412006 88.779 -91.1079
5.451224 88.778 -91.1795
5.490725 88.781 -91.2429
5.530514 88.787 -91.2985
5.570590 88.796 -91.3468
5.610957 88.810 -91.3897
5.651616 88.826 -91.4305
5.692570 88.846 -91.4736
5.733821 88.869 -91.5241
5.775370 88.895 -91.5869
5.817221 88.925 -91.6659
5.859375 88.957 -91.7636
5.901834 88.994 -91.8812
5.944602 89.033 -92.0193
5.987679 89.076 -92.1787
6.031068 89.121 -92.3606
6.074771 89.168 -92.5669
6.118792 89.216 -92.7999
6.163131 89.265 -93.0619
6.207792 89.314 -93.3546
6.252776 89.364 -93.6789
6.298086 89.413 -94.0349
6.343725 89.462 -94.4212
6.389694 89.511 -94.8360
6.435996 89.558 -95.2770
6.482634 89.604 -95.7420
6.529610 89.648 -96.2295
6.576926 89.690 -96.7384
6.624585 89.730 -97.2681
6.672590 89.767 -97.8179
6.720942 89.801 -98.3859
