* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 21, 2025 9:50:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L Moondrop Kadenz S
* Measurement: L Moondrop Kadenz S
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.756 159.1012
0.368865 93.750 159.0794
0.371538 93.741 159.0467
0.374230 93.730 159.0057
0.376942 93.718 158.9584
0.379673 93.705 158.9064
0.382424 93.692 158.8507
0.385196 93.678 158.7919
0.387987 93.663 158.7305
0.390798 93.649 158.6666
0.393630 93.634 158.6003
0.396483 93.620 158.5316
0.399356 93.605 158.4606
0.402250 93.590 158.3872
0.405165 93.575 158.3114
0.408101 93.560 158.2332
0.411058 93.545 158.1526
0.414037 93.529 158.0695
0.417037 93.514 157.9839
0.420059 93.498 157.8959
0.423103 93.483 157.8053
0.426169 93.467 157.7122
0.429257 93.451 157.6165
0.432368 93.435 157.5183
0.435501 93.419 157.4174
0.438656 93.403 157.3139
0.441835 93.386 157.2078
0.445037 93.370 157.0990
0.448262 93.353 156.9874
0.451510 93.337 156.8732
0.454782 93.320 156.7563
0.458077 93.303 156.6366
0.461397 93.286 156.5141
0.464740 93.268 156.3889
0.468108 93.251 156.2608
0.471500 93.234 156.1300
0.474917 93.216 155.9963
0.478358 93.198 155.8598
0.481825 93.180 155.7204
0.485316 93.163 155.5781
0.488833 93.144 155.4330
0.492375 93.126 155.2850
0.495943 93.108 155.1341
0.499537 93.089 154.9802
0.503157 93.071 154.8235
0.506803 93.052 154.6639
0.510475 93.033 154.5013
0.514175 93.014 154.3359
0.517900 92.995 154.1675
0.521653 92.975 153.9962
0.525434 92.956 153.8220
0.529241 92.936 153.6449
0.533076 92.917 153.4649
0.536939 92.897 153.2821
0.540830 92.877 153.0963
0.544749 92.857 152.9077
0.548696 92.836 152.7163
0.552673 92.816 152.5221
0.556677 92.795 152.3251
0.560711 92.774 152.1253
0.564774 92.754 151.9228
0.568867 92.732 151.7176
0.572989 92.711 151.5097
0.577141 92.690 151.2992
0.581324 92.668 151.0861
0.585536 92.647 150.8705
0.589779 92.625 150.6525
0.594053 92.603 150.4320
0.598358 92.581 150.2091
0.602694 92.558 149.9839
0.607061 92.536 149.7566
0.611460 92.513 149.5271
0.615891 92.490 149.2955
0.620354 92.467 149.0619
0.624849 92.444 148.8264
0.629377 92.421 148.5892
0.633938 92.398 148.3502
0.638532 92.374 148.1097
0.643159 92.350 147.8677
0.647819 92.326 147.6244
0.652514 92.302 147.3799
0.657242 92.278 147.1343
0.662005 92.253 146.8878
0.666802 92.228 146.6406
0.671634 92.204 146.3927
0.676501 92.179 146.1445
0.681403 92.153 145.8959
0.686341 92.128 145.6474
0.691314 92.102 145.3989
0.696324 92.076 145.1508
0.701370 92.050 144.9032
0.706452 92.023 144.6562
0.711571 91.996 144.4099
0.716728 91.968 144.1642
0.721921 91.939 143.9191
0.727153 91.909 143.6739
0.732422 91.877 143.4280
0.737729 91.842 143.1806
0.743075 91.805 142.9305
0.748460 91.767 142.6769
0.753883 91.727 142.4193
0.759346 91.687 142.1570
0.764849 91.645 141.8898
0.770391 91.603 141.6174
0.775974 91.561 141.3397
0.781597 91.518 141.0567
0.787261 91.474 140.7681
0.792966 91.430 140.4740
0.798712 91.385 140.1743
0.804500 91.339 139.8689
0.810329 91.293 139.5578
0.816201 91.247 139.2409
0.822116 91.199 138.9182
0.828073 91.151 138.5897
0.834074 91.103 138.2553
0.840118 91.053 137.9150
0.846206 91.003 137.5688
0.852338 90.952 137.2167
0.858514 90.900 136.8586
0.864735 90.847 136.4947
0.871001 90.794 136.1248
0.877313 90.739 135.7490
0.883670 90.683 135.3673
0.890074 90.626 134.9799
0.896524 90.569 134.5866
0.903020 90.510 134.1877
0.909564 90.449 133.7832
0.916155 90.388 133.3731
0.922794 90.326 132.9576
0.929481 90.262 132.5369
0.936216 90.196 132.1110
0.943000 90.130 131.6802
0.949834 90.061 131.2446
0.956717 89.992 130.8045
0.963649 89.920 130.3601
0.970632 89.847 129.9116
0.977666 89.773 129.4594
0.984750 89.696 129.0038
0.991886 89.618 128.5451
0.999074 89.538 128.0838
1.006314 89.456 127.6203
1.013606 89.372 127.1550
1.020951 89.286 126.6885
1.028349 89.197 126.2213
1.035801 89.107 125.7540
1.043307 89.014 125.2873
1.050867 88.918 124.8218
1.058482 88.820 124.3582
1.066152 88.720 123.8973
1.073878 88.617 123.4395
1.081660 88.512 122.9854
1.089498 88.404 122.5353
1.097393 88.294 122.0891
1.105345 88.182 121.6466
1.113355 88.068 121.2070
1.121423 87.953 120.7698
1.129549 87.836 120.3344
1.137734 87.717 119.9001
1.145979 87.597 119.4666
1.154283 87.475 119.0333
1.162647 87.352 118.5999
1.171072 87.227 118.1660
1.179558 87.099 117.7311
1.188106 86.970 117.2950
1.196715 86.839 116.8570
1.205387 86.705 116.4169
1.214122 86.568 115.9742
1.222920 86.429 115.5283
1.231782 86.287 115.0788
1.240708 86.142 114.6251
1.249699 85.993 114.1666
1.258754 85.841 113.7028
1.267876 85.686 113.2329
1.277063 85.526 112.7563
1.286318 85.362 112.2722
1.295639 85.194 111.7800
1.305027 85.021 111.2787
1.314484 84.844 110.7675
1.324009 84.661 110.2454
1.333604 84.473 109.7115
1.343268 84.279 109.1648
1.353002 84.080 108.6041
1.362806 83.874 108.0284
1.372681 83.662 107.4364
1.382628 83.443 106.8269
1.392647 83.216 106.1985
1.402739 82.983 105.5502
1.412904 82.741 104.8806
1.423142 82.490 104.1886
1.433455 82.230 103.4732
1.443843 81.959 102.7337
1.454305 81.676 101.9696
1.464844 81.377 101.1808
1.475459 81.061 100.3671
1.486150 80.725 99.5280
1.496920 80.367 98.6621
1.507767 79.986 97.7673
1.518693 79.581 96.8404
1.529698 79.153 95.8772
1.540783 78.704 94.8726
1.551948 78.233 93.8203
1.563194 77.744 92.7130
1.574521 77.238 91.5416
1.585931 76.717 90.2954
1.597423 76.184 88.9617
1.608999 75.641 87.5246
1.620658 75.090 85.9649
1.632402 74.535 84.2591
1.644232 73.978 82.3779
1.656146 73.423 80.2845
1.668147 72.873 77.9329
1.680235 72.331 75.2646
1.692411 71.802 72.2056
1.704675 71.290 68.6624
1.717028 70.799 64.5180
1.729470 70.333 59.6304
1.742003 69.899 53.8372
1.754626 69.501 46.9751
1.767341 69.146 38.9269
1.780147 68.839 29.7015
1.793047 68.586 19.5279
1.806040 68.395 8.8853
1.819128 68.269 -1.6070
1.832310 68.215 -11.3999
1.845587 68.234 -20.1714
1.858961 68.328 -27.8355
1.872432 68.495 -34.4586
1.886001 68.732 -40.1730
1.899667 69.035 -45.1221
1.913433 69.398 -49.4367
1.927299 69.817 -53.2267
1.941265 70.285 -56.5815
1.955332 70.794 -59.5726
1.969501 71.340 -62.2570
1.983773 71.915 -64.6802
1.998148 72.513 -66.8784
2.012627 73.127 -68.8809
2.027212 73.751 -70.7112
2.041902 74.377 -72.3884
2.056698 75.000 -73.9281
2.071602 75.612 -75.3431
2.086614 76.209 -76.6442
2.101734 76.783 -77.8403
2.116964 77.329 -78.9396
2.132304 77.843 -79.9496
2.147756 78.319 -80.8778
2.163320 78.756 -81.7330
2.178996 79.152 -82.5250
2.194786 79.510 -83.2655
2.210690 79.831 -83.9674
2.226710 80.119 -84.6427
2.242845 80.380 -85.3008
2.259098 80.616 -85.9478
2.275468 80.829 -86.5868
2.291957 81.021 -87.2189
2.308566 81.196 -87.8434
2.325295 81.353 -88.4590
2.342145 81.494 -89.0635
2.359117 81.622 -89.6545
2.376212 81.737 -90.2292
2.393431 81.841 -90.7846
2.410775 81.936 -91.3177
2.428244 82.024 -91.8251
2.445840 82.105 -92.3038
2.463564 82.183 -92.7503
2.481416 82.259 -93.1619
2.499397 82.334 -93.5358
2.517509 82.408 -93.8703
2.535752 82.483 -94.1650
2.554127 82.558 -94.4208
2.572635 82.632 -94.6403
2.591277 82.703 -94.8272
2.610055 82.769 -94.9852
2.628968 82.829 -95.1174
2.648019 82.883 -95.2255
2.667208 82.931 -95.3108
2.686535 82.973 -95.3736
2.706003 83.009 -95.4138
2.725612 83.041 -95.4310
2.745363 83.069 -95.4243
2.765257 83.094 -95.3931
2.785295 83.117 -95.3363
2.805478 83.140 -95.2529
2.825808 83.163 -95.1417
2.846285 83.188 -95.0014
2.866910 83.215 -94.8309
2.887685 83.244 -94.6285
2.908611 83.276 -94.3927
2.929688 83.311 -94.1217
2.950917 83.348 -93.8141
2.972301 83.387 -93.4691
2.993839 83.427 -93.0868
3.015534 83.467 -92.6688
3.037386 83.508 -92.2173
3.059396 83.551 -91.7358
3.081565 83.594 -91.2279
3.103896 83.640 -90.6979
3.126388 83.687 -90.1506
3.149043 83.738 -89.5908
3.171862 83.792 -89.0232
3.194847 83.850 -88.4525
3.217998 83.913 -87.8827
3.241317 83.981 -87.3169
3.264805 84.056 -86.7565
3.288463 84.137 -86.2015
3.312293 84.224 -85.6502
3.336295 84.318 -85.1007
3.360471 84.419 -84.5522
3.384822 84.525 -84.0058
3.409350 84.638 -83.4644
3.434056 84.755 -82.9324
3.458940 84.877 -82.4147
3.484005 85.002 -81.9170
3.509252 85.130 -81.4446
3.534681 85.259 -81.0029
3.560295 85.390 -80.5965
3.586094 85.522 -80.2295
3.612081 85.654 -79.9045
3.638255 85.786 -79.6230
3.664620 85.919 -79.3846
3.691175 86.052 -79.1877
3.717923 86.186 -79.0296
3.744864 86.320 -78.9079
3.772001 86.456 -78.8202
3.799335 86.592 -78.7646
3.826866 86.728 -78.7395
3.854597 86.864 -78.7438
3.882529 86.997 -78.7763
3.910664 87.129 -78.8363
3.939002 87.258 -78.9235
3.967546 87.383 -79.0377
3.996296 87.504 -79.1792
4.025255 87.622 -79.3487
4.054423 87.735 -79.5466
4.083804 87.844 -79.7728
4.113396 87.949 -80.0262
4.143204 88.051 -80.3048
4.173227 88.148 -80.6056
4.203468 88.242 -80.9252
4.233928 88.332 -81.2602
4.264609 88.418 -81.6072
4.295512 88.500 -81.9634
4.326639 88.577 -82.3268
4.357992 88.650 -82.6965
4.389572 88.718 -83.0729
4.421380 88.781 -83.4572
4.453419 88.839 -83.8506
4.485691 88.893 -84.2535
4.518196 88.941 -84.6648
4.550936 88.985 -85.0820
4.583914 89.024 -85.5019
4.617131 89.059 -85.9206
4.650589 89.090 -86.3341
4.684289 89.116 -86.7391
4.718233 89.138 -87.1331
4.752424 89.156 -87.5148
4.786862 89.169 -87.8844
4.821549 89.179 -88.2431
4.856488 89.186 -88.5917
4.891680 89.191 -88.9305
4.927127 89.195 -89.2587
4.962831 89.198 -89.5751
4.998794 89.200 -89.8779
5.035017 89.202 -90.1650
5.071503 89.203 -90.4347
5.108253 89.202 -90.6854
5.145270 89.201 -90.9161
5.182555 89.198 -91.1266
5.220110 89.194 -91.3176
5.257937 89.189 -91.4907
5.296038 89.184 -91.6478
5.334415 89.180 -91.7914
5.373071 89.177 -91.9238
5.412006 89.175 -92.0467
5.451224 89.176 -92.1616
5.490725 89.179 -92.2690
5.530514 89.186 -92.3690
5.570590 89.195 -92.4620
5.610957 89.207 -92.5497
5.651616 89.222 -92.6349
5.692570 89.239 -92.7214
5.733821 89.259 -92.8136
5.775370 89.282 -92.9157
5.817221 89.308 -93.0308
5.859375 89.337 -93.1613
5.901834 89.369 -93.3082
5.944602 89.404 -93.4720
5.987679 89.441 -93.6533
6.031068 89.481 -93.8535
6.074771 89.522 -94.0745
6.118792 89.565 -94.3183
6.163131 89.608 -94.5872
6.207792 89.652 -94.8828
6.252776 89.696 -95.2060
6.298086 89.741 -95.5568
6.343725 89.785 -95.9344
6.389694 89.830 -96.3370
6.435996 89.873 -96.7630
6.482634 89.916 -97.2107
6.529610 89.957 -97.6788
6.576926 89.996 -98.1665
6.624585 90.033 -98.6734
6.672590 90.068 -99.1988
6.720942 90.101 -99.7411
