* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -1.0 dBFS with no timing reference
* Dated: Jul 4, 2025 12:17:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L Moondrop Rays FPS2 L
* Measurement: L Moondrop Rays FPS2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.677 -179.4002
0.368865 89.671 -179.3837
0.371538 89.663 -179.3590
0.374230 89.652 -179.3284
0.376942 89.640 -179.2935
0.379673 89.627 -179.2557
0.382424 89.614 -179.2158
0.385196 89.600 -179.1744
0.387987 89.586 -179.1317
0.390798 89.572 -179.0879
0.393630 89.558 -179.0431
0.396483 89.543 -178.9973
0.399356 89.529 -178.9505
0.402250 89.514 -178.9027
0.405165 89.499 -178.8539
0.408101 89.484 -178.8040
0.411058 89.469 -178.7531
0.414037 89.454 -178.7010
0.417037 89.439 -178.6479
0.420059 89.424 -178.5936
0.423103 89.408 -178.5381
0.426169 89.393 -178.4814
0.429257 89.377 -178.4234
0.432368 89.361 -178.3642
0.435501 89.345 -178.3036
0.438656 89.329 -178.2418
0.441835 89.313 -178.1785
0.445037 89.297 -178.1139
0.448262 89.281 -178.0478
0.451510 89.264 -177.9802
0.454782 89.248 -177.9111
0.458077 89.231 -177.8404
0.461397 89.214 -177.7682
0.464740 89.197 -177.6943
0.468108 89.180 -177.6187
0.471500 89.163 -177.5414
0.474917 89.146 -177.4623
0.478358 89.128 -177.3814
0.481825 89.111 -177.2986
0.485316 89.093 -177.2139
0.488833 89.075 -177.1273
0.492375 89.057 -177.0386
0.495943 89.039 -176.9479
0.499537 89.021 -176.8551
0.503157 89.003 -176.7601
0.506803 88.984 -176.6628
0.510475 88.965 -176.5633
0.514175 88.947 -176.4615
0.517900 88.928 -176.3572
0.521653 88.909 -176.2505
0.525434 88.890 -176.1413
0.529241 88.870 -176.0294
0.533076 88.851 -175.9150
0.536939 88.831 -175.7978
0.540830 88.812 -175.6778
0.544749 88.792 -175.5550
0.548696 88.772 -175.4292
0.552673 88.752 -175.3005
0.556677 88.731 -175.1687
0.560711 88.711 -175.0337
0.564774 88.690 -174.8956
0.568867 88.670 -174.7541
0.572989 88.649 -174.6092
0.577141 88.628 -174.4609
0.581324 88.606 -174.3091
0.585536 88.585 -174.1536
0.589779 88.564 -173.9945
0.594053 88.542 -173.8315
0.598358 88.520 -173.6647
0.602694 88.498 -173.4940
0.607061 88.476 -173.3192
0.611460 88.454 -173.1403
0.615891 88.431 -172.9571
0.620354 88.409 -172.7697
0.624849 88.386 -172.5778
0.629377 88.363 -172.3815
0.633938 88.340 -172.1807
0.638532 88.317 -171.9751
0.643159 88.293 -171.7649
0.647819 88.270 -171.5498
0.652514 88.246 -171.3298
0.657242 88.222 -171.1048
0.662005 88.198 -170.8747
0.666802 88.173 -170.6395
0.671634 88.149 -170.3991
0.676501 88.124 -170.1533
0.681403 88.099 -169.9022
0.686341 88.074 -169.6456
0.691314 88.049 -169.3835
0.696324 88.024 -169.1158
0.701370 87.999 -168.8425
0.706452 87.974 -168.5634
0.711571 87.949 -168.2784
0.716728 87.925 -167.9875
0.721921 87.902 -167.6903
0.727153 87.881 -167.3866
0.732422 87.863 -167.0760
0.737729 87.848 -166.7581
0.743075 87.835 -166.4323
0.748460 87.825 -166.0983
0.753883 87.816 -165.7557
0.759346 87.809 -165.4043
0.764849 87.802 -165.0440
0.770391 87.797 -164.6747
0.775974 87.792 -164.2963
0.781597 87.788 -163.9089
0.787261 87.784 -163.5123
0.792966 87.781 -163.1067
0.798712 87.779 -162.6921
0.804500 87.777 -162.2685
0.810329 87.776 -161.8360
0.816201 87.775 -161.3946
0.822116 87.775 -160.9445
0.828073 87.776 -160.4859
0.834074 87.778 -160.0188
0.840118 87.780 -159.5433
0.846206 87.783 -159.0598
0.852338 87.786 -158.5684
0.858514 87.791 -158.0693
0.864735 87.796 -157.5628
0.871001 87.802 -157.0491
0.877313 87.808 -156.5287
0.883670 87.816 -156.0017
0.890074 87.824 -155.4686
0.896524 87.834 -154.9297
0.903020 87.844 -154.3854
0.909564 87.855 -153.8362
0.916155 87.867 -153.2826
0.922794 87.880 -152.7250
0.929481 87.894 -152.1639
0.936216 87.909 -151.6000
0.943000 87.925 -151.0337
0.949834 87.942 -150.4657
0.956717 87.960 -149.8965
0.963649 87.979 -149.3269
0.970632 87.999 -148.7575
0.977666 88.021 -148.1889
0.984750 88.043 -147.6219
0.991886 88.067 -147.0573
0.999074 88.092 -146.4956
1.006314 88.118 -145.9377
1.013606 88.146 -145.3844
1.020951 88.174 -144.8365
1.028349 88.205 -144.2946
1.035801 88.236 -143.7596
1.043307 88.269 -143.2322
1.050867 88.303 -142.7131
1.058482 88.339 -142.2031
1.066152 88.377 -141.7026
1.073878 88.416 -141.2121
1.081660 88.457 -140.7315
1.089498 88.500 -140.2607
1.097393 88.544 -139.7991
1.105345 88.592 -139.3457
1.113355 88.641 -138.8995
1.121423 88.694 -138.4596
1.129549 88.749 -138.0257
1.137734 88.807 -137.5974
1.145979 88.868 -137.1750
1.154283 88.932 -136.7586
1.162647 88.998 -136.3487
1.171072 89.068 -135.9455
1.179558 89.140 -135.5496
1.188106 89.214 -135.1613
1.196715 89.291 -134.7810
1.205387 89.371 -134.4091
1.214122 89.452 -134.0460
1.222920 89.537 -133.6919
1.231782 89.623 -133.3473
1.240708 89.711 -133.0125
1.249699 89.801 -132.6876
1.258754 89.893 -132.3730
1.267876 89.986 -132.0689
1.277063 90.081 -131.7756
1.286318 90.177 -131.4933
1.295639 90.275 -131.2221
1.305027 90.373 -130.9623
1.314484 90.473 -130.7140
1.324009 90.573 -130.4775
1.333604 90.673 -130.2527
1.343268 90.774 -130.0400
1.353002 90.876 -129.8394
1.362806 90.977 -129.6510
1.372681 91.078 -129.4750
1.382628 91.178 -129.3116
1.392647 91.278 -129.1607
1.402739 91.377 -129.0225
1.412904 91.474 -128.8972
1.423142 91.571 -128.7847
1.433455 91.666 -128.6850
1.443843 91.760 -128.5981
1.454305 91.852 -128.5239
1.464844 91.944 -128.4621
1.475459 92.034 -128.4124
1.486150 92.124 -128.3743
1.496920 92.214 -128.3476
1.507767 92.304 -128.3318
1.518693 92.394 -128.3268
1.529698 92.484 -128.3321
1.540783 92.574 -128.3477
1.551948 92.664 -128.3734
1.563194 92.754 -128.4088
1.574521 92.845 -128.4538
1.585931 92.935 -128.5082
1.597423 93.025 -128.5719
1.608999 93.115 -128.6446
1.620658 93.205 -128.7262
1.632402 93.295 -128.8166
1.644232 93.385 -128.9155
1.656146 93.474 -129.0228
1.668147 93.563 -129.1384
1.680235 93.651 -129.2620
1.692411 93.739 -129.3937
1.704675 93.826 -129.5333
1.717028 93.912 -129.6807
1.729470 93.997 -129.8358
1.742003 94.082 -129.9986
1.754626 94.166 -130.1691
1.767341 94.248 -130.3472
1.780147 94.330 -130.5332
1.793047 94.410 -130.7273
1.806040 94.490 -130.9298
1.819128 94.567 -131.1415
1.832310 94.644 -131.3631
1.845587 94.719 -131.5953
1.858961 94.793 -131.8389
1.872432 94.865 -132.0942
1.886001 94.937 -132.3612
1.899667 95.007 -132.6398
1.913433 95.075 -132.9294
1.927299 95.143 -133.2295
1.941265 95.209 -133.5394
1.955332 95.273 -133.8583
1.969501 95.337 -134.1856
1.983773 95.399 -134.5204
1.998148 95.460 -134.8622
2.012627 95.520 -135.2101
2.027212 95.578 -135.5634
2.041902 95.635 -135.9214
2.056698 95.691 -136.2833
2.071602 95.746 -136.6486
2.086614 95.799 -137.0165
2.101734 95.852 -137.3864
2.116964 95.903 -137.7578
2.132304 95.952 -138.1305
2.147756 96.001 -138.5042
2.163320 96.048 -138.8793
2.178996 96.094 -139.2565
2.194786 96.138 -139.6370
2.210690 96.181 -140.0225
2.226710 96.222 -140.4145
2.242845 96.262 -140.8144
2.259098 96.300 -141.2229
2.275468 96.336 -141.6400
2.291957 96.370 -142.0655
2.308566 96.402 -142.4989
2.325295 96.433 -142.9393
2.342145 96.462 -143.3857
2.359117 96.489 -143.8373
2.376212 96.514 -144.2928
2.393431 96.537 -144.7513
2.410775 96.559 -145.2114
2.428244 96.580 -145.6721
2.445840 96.598 -146.1321
2.463564 96.616 -146.5903
2.481416 96.631 -147.0458
2.499397 96.645 -147.4975
2.517509 96.658 -147.9451
2.535752 96.669 -148.3885
2.554127 96.679 -148.8285
2.572635 96.686 -149.2663
2.591277 96.692 -149.7035
2.610055 96.696 -150.1418
2.628968 96.697 -150.5821
2.648019 96.697 -151.0251
2.667208 96.694 -151.4706
2.686535 96.689 -151.9185
2.706003 96.683 -152.3680
2.725612 96.674 -152.8183
2.745363 96.664 -153.2684
2.765257 96.651 -153.7172
2.785295 96.637 -154.1635
2.805478 96.622 -154.6059
2.825808 96.605 -155.0432
2.846285 96.587 -155.4739
2.866910 96.567 -155.8970
2.887685 96.546 -156.3113
2.908611 96.524 -156.7165
2.929688 96.500 -157.1123
2.950917 96.474 -157.4992
2.972301 96.447 -157.8780
2.993839 96.418 -158.2493
3.015534 96.386 -158.6137
3.037386 96.353 -158.9715
3.059396 96.318 -159.3230
3.081565 96.282 -159.6679
3.103896 96.244 -160.0062
3.126388 96.205 -160.3375
3.149043 96.165 -160.6614
3.171862 96.124 -160.9773
3.194847 96.083 -161.2846
3.217998 96.041 -161.5824
3.241317 95.999 -161.8699
3.264805 95.957 -162.1461
3.288463 95.915 -162.4097
3.312293 95.873 -162.6598
3.336295 95.830 -162.8956
3.360471 95.787 -163.1167
3.384822 95.743 -163.3233
3.409350 95.698 -163.5159
3.434056 95.654 -163.6956
3.458940 95.609 -163.8635
3.484005 95.564 -164.0210
3.509252 95.520 -164.1694
3.534681 95.476 -164.3102
3.560295 95.433 -164.4447
3.586094 95.392 -164.5739
3.612081 95.352 -164.6983
3.638255 95.314 -164.8178
3.664620 95.277 -164.9317
3.691175 95.242 -165.0386
3.717923 95.209 -165.1374
3.744864 95.178 -165.2278
3.772001 95.148 -165.3102
3.799335 95.120 -165.3858
3.826866 95.093 -165.4568
3.854597 95.067 -165.5255
3.882529 95.043 -165.5947
3.910664 95.021 -165.6673
3.939002 95.000 -165.7459
3.967546 94.981 -165.8331
3.996296 94.963 -165.9305
4.025255 94.947 -166.0389
4.054423 94.933 -166.1577
4.083804 94.921 -166.2857
4.113396 94.911 -166.4215
4.143204 94.903 -166.5643
4.173227 94.897 -166.7146
4.203468 94.891 -166.8731
4.233928 94.887 -167.0414
4.264609 94.883 -167.2213
4.295512 94.879 -167.4149
4.326639 94.876 -167.6241
4.357992 94.872 -167.8506
4.389572 94.868 -168.0958
4.421380 94.863 -168.3602
4.453419 94.859 -168.6441
4.485691 94.854 -168.9469
4.518196 94.849 -169.2677
4.550936 94.843 -169.6055
4.583914 94.837 -169.9591
4.617131 94.830 -170.3271
4.650589 94.821 -170.7083
4.684289 94.810 -171.1019
4.718233 94.797 -171.5072
4.752424 94.782 -171.9243
4.786862 94.765 -172.3536
4.821549 94.745 -172.7956
4.856488 94.723 -173.2502
4.891680 94.699 -173.7165
4.927127 94.673 -174.1925
4.962831 94.644 -174.6758
4.998794 94.612 -175.1633
5.035017 94.578 -175.6523
5.071503 94.542 -176.1405
5.108253 94.503 -176.6266
5.145270 94.461 -177.1101
5.182555 94.416 -177.5912
5.220110 94.368 -178.0700
5.257937 94.318 -178.5461
5.296038 94.265 -179.0182
5.334415 94.210 -179.4843
5.373071 94.153 -179.9419
5.412006 94.095 179.6117
5.451224 94.035 179.1789
5.490725 93.974 178.7616
5.530514 93.912 178.3611
5.570590 93.848 177.9777
5.610957 93.784 177.6112
5.651616 93.718 177.2614
5.692570 93.653 176.9278
5.733821 93.588 176.6102
5.775370 93.523 176.3088
5.817221 93.460 176.0241
5.859375 93.399 175.7568
5.901834 93.339 175.5077
5.944602 93.282 175.2767
5.987679 93.227 175.0629
6.031068 93.173 174.8640
6.074771 93.123 174.6770
