* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Mar 2, 2025 4:25:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ND Audio ND-Planet L
* Measurement: L ND Audio ND-Planet
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 88.195 160.4715
1.030000 87.868 159.9286
1.060000 87.504 159.4501
1.090000 87.097 159.0544
1.120000 86.632 158.7444
1.150000 86.095 158.5065
1.180000 85.492 158.3394
1.220000 84.610 158.2429
1.250000 83.912 158.2838
1.280000 83.200 158.4434
1.320000 82.258 158.8873
1.360000 81.360 159.6773
1.400000 80.548 160.9441
1.450000 79.703 163.5113
1.500000 79.036 167.8248
1.550000 78.458 175.2713
1.600000 77.965 -171.3527
1.650000 77.594 -148.2517
1.700000 77.386 -118.8938
1.750000 77.385 -96.5209
1.800000 77.640 -83.8485
1.850000 78.226 -76.9647
1.900000 79.197 -73.0927
1.950000 80.488 -70.8780
2.000000 81.968 -69.6546
2.060000 83.805 -68.9980
2.120000 85.507 -68.9086
2.180000 86.915 -69.2020
2.240000 88.005 -69.7855
2.300000 88.873 -70.5908
2.360000 89.592 -71.5386
2.430000 90.303 -72.7393
2.500000 90.939 -73.9814
2.580000 91.627 -75.4324
2.650000 92.177 -76.7686
2.720000 92.660 -78.1619
2.800000 93.145 -79.7610
2.900000 93.683 -81.6837
3.000000 94.159 -83.5334
3.070000 94.449 -84.8267
3.150000 94.742 -86.2799
3.250000 95.065 -87.9926
3.350000 95.349 -89.5652
3.450000 95.592 -91.0472
3.550000 95.800 -92.4429
3.650000 95.986 -93.7231
3.750000 96.153 -94.8838
3.870000 96.327 -96.1535
4.000000 96.499 -97.4056
4.120000 96.649 -98.4514
4.250000 96.803 -99.4898
4.370000 96.941 -100.4148
4.500000 97.090 -101.4091
4.620000 97.225 -102.3278
4.750000 97.368 -103.3591
4.870000 97.494 -104.3630
5.000000 97.625 -105.5018
5.150000 97.762 -106.8803
5.300000 97.882 -108.3300
5.450000 97.985 -109.8211
5.600000 98.069 -111.3269
5.800000 98.155 -113.3301
6.000000 98.218 -115.2648
6.150000 98.255 -116.6593
6.300000 98.288 -117.9940
6.500000 98.331 -119.6857
6.700000 98.381 -121.3021
6.900000 98.440 -122.8694
7.100000 98.509 -124.4247
7.300000 98.585 -125.9853
7.500000 98.664 -127.5615
7.750000 98.760 -129.5352
8.000000 98.848 -131.4761
8.250000 98.927 -133.3321
8.500000 99.000 -135.0657
8.750000 99.071 -136.6595
9.000000 99.145 -138.1215
9.250000 99.223 -139.4763
9.500000 99.303 -140.7511
9.750000 99.382 -141.9662
10.000000 99.456 -143.1281
10.300000 99.533 -144.4463
10.600000 99.597 -145.6680
10.900000 99.649 -146.7877
11.200000 99.691 -147.8162
11.500000 99.726 -148.7774
11.800000 99.753 -149.6964
12.200000 99.775 -150.8860
12.500000 99.781 -151.7603
12.800000 99.778 -152.6217
13.200000 99.764 -153.7584
13.600000 99.743 -154.8989
14.000000 99.716 -156.0596
14.500000 99.680 -157.5405
15.000000 99.644 -159.0370
15.500000 99.615 -160.5355
16.000000 99.596 -162.0272
16.500000 99.585 -163.4871
17.000000 99.581 -164.8787
17.500000 99.585 -166.1796
18.000000 99.593 -167.3881
18.500000 99.603 -168.5061
19.000000 99.610 -169.5334
19.500000 99.611 -170.4765
20.000000 99.605 -171.3535
20.600000 99.589 -172.3474
21.200001 99.561 -173.3070
21.799999 99.525 -174.2607
22.400000 99.482 -175.2289
23.000000 99.437 -176.2173
23.600000 99.393 -177.2246
24.299999 99.347 -178.4149
25.000000 99.310 -179.5945
25.799999 99.278 179.1089
26.500000 99.257 178.0398
27.200001 99.238 177.0473
28.000000 99.214 176.0105
29.000000 99.176 174.8282
30.000000 99.127 173.7108
30.700001 99.088 172.9330
31.500000 99.039 172.0329
32.500000 98.978 170.8856
33.500000 98.921 169.7272
34.500000 98.870 168.5909
35.500000 98.821 167.5159
36.500000 98.773 166.5201
37.500000 98.722 165.5882
38.700001 98.655 164.5276
40.000000 98.577 163.4117
41.200001 98.505 162.4037
42.500000 98.430 161.3278
43.700001 98.362 160.3652
45.000000 98.289 159.3848
46.200001 98.223 158.5161
47.500000 98.150 157.6032
48.700001 98.080 156.7943
50.000000 98.006 155.9570
51.500000 97.922 155.0290
53.000000 97.837 154.1467
54.500000 97.752 153.3083
56.000000 97.673 152.4883
58.000000 97.573 151.3778
60.000000 97.468 150.2804
61.500000 97.385 149.5058
63.000000 97.299 148.7641
65.000000 97.185 147.8226
67.000000 97.074 146.9369
69.000000 96.965 146.1041
71.000000 96.856 145.3128
73.000000 96.750 144.5494
75.000000 96.647 143.8163
77.500000 96.525 142.9387
80.000000 96.408 142.0502
82.500000 96.286 141.0868
85.000000 96.143 140.1390
87.500000 95.988 139.3392
90.000000 95.839 138.6699
92.500000 95.700 138.0599
95.000000 95.567 137.4870
97.500000 95.435 136.9467
100.000000 95.305 136.4358
103.000000 95.158 135.8994
106.000000 95.023 135.4111
109.000000 94.893 134.8637
112.000000 94.760 134.2458
115.000000 94.601 133.6618
118.000000 94.409 133.2643
122.000000 94.215 132.9696
125.000000 94.113 132.6450
128.000000 94.004 132.3636
132.000000 93.842 131.9747
136.000000 93.677 131.5795
140.000000 93.506 131.2672
145.000000 93.298 130.9664
150.000000 93.101 130.7046
155.000000 92.919 130.5879
160.000000 92.759 130.5772
165.000000 92.603 130.4689
170.000000 92.437 130.4691
175.000000 92.293 130.6669
180.000000 92.189 130.8446
185.000000 92.112 130.8552
190.000000 92.036 130.6321
195.000000 91.935 130.3054
200.000000 91.809 130.0271
206.000000 91.655 129.8181
212.000000 91.503 129.6272
218.000000 91.335 129.5776
224.000000 91.184 129.7416
230.000000 91.054 129.9271
236.000000 90.935 130.1285
243.000000 90.811 130.3535
250.000000 90.695 130.5987
258.000000 90.594 130.9254
265.000000 90.526 130.9668
272.000000 90.432 130.9165
280.000000 90.318 130.9942
290.000000 90.203 131.1014
300.000000 90.071 130.9982
307.000000 89.963 131.0503
315.000000 89.848 131.1619
325.000000 89.705 131.3730
335.000000 89.576 131.6832
345.000000 89.457 131.9633
355.000000 89.338 132.2895
365.000000 89.225 132.6707
375.000000 89.119 133.0808
387.000000 88.999 133.6119
400.000000 88.882 134.2497
412.000000 88.786 134.8675
425.000000 88.693 135.6236
437.000000 88.641 136.3738
450.000000 88.613 136.9798
462.000000 88.577 137.2525
475.000000 88.494 137.5785
487.000000 88.410 138.0326
500.000000 88.316 138.7132
515.000000 88.241 139.7137
530.000000 88.202 140.7086
545.000000 88.192 141.5587
560.000000 88.181 142.2304
580.000000 88.137 143.0478
600.000000 88.076 144.0123
615.000000 88.034 144.8150
630.000000 87.988 145.6906
650.000000 87.941 147.0599
670.000000 87.920 148.4606
690.000000 87.869 149.8232
710.000000 87.792 151.9307
730.000000 87.872 155.0842
750.000000 88.229 157.5625
775.000000 88.641 157.9825
800.000000 88.809 158.0336
825.000000 88.933 158.7654
850.000000 89.068 159.5453
875.000000 89.186 160.4165
900.000000 89.318 161.4275
925.000000 89.469 162.4774
950.000000 89.642 163.4668
975.000000 89.820 164.3699
1000.000000 90.001 165.2561
1030.000000 90.242 166.3714
1060.000000 90.525 167.2178
1090.000000 90.787 167.7406
1120.000000 91.031 168.2201
1150.000000 91.270 168.7058
1180.000000 91.517 169.1919
1220.000000 91.876 169.6238
1250.000000 92.124 169.6403
1280.000000 92.342 169.6465
1320.000000 92.619 169.7443
1360.000000 92.888 169.8493
1400.000000 93.151 170.1044
1450.000000 93.536 170.4141
1500.000000 93.916 170.3448
1550.000000 94.283 170.2412
1600.000000 94.687 170.0764
1650.000000 95.091 169.4014
1700.000000 95.462 168.4678
1750.000000 95.805 167.3507
1800.000000 96.130 166.2091
1850.000000 96.465 164.8011
1900.000000 96.760 163.0199
1950.000000 97.012 161.1245
2000.000000 97.248 159.0528
2060.000000 97.461 156.1634
2120.000000 97.578 153.1568
2180.000000 97.605 150.3811
2240.000000 97.593 147.8875
2300.000000 97.524 145.5753
2360.000000 97.416 143.6823
2430.000000 97.276 141.7702
2500.000000 97.090 140.1123
2580.000000 96.823 138.8786
2650.000000 96.594 138.3728
2720.000000 96.366 138.2983
2800.000000 96.148 138.7089
2900.000000 95.918 139.4111
3000.000000 95.699 140.5797
3070.000000 95.576 141.6548
3150.000000 95.472 143.1641
3250.000000 95.430 145.1173
3350.000000 95.431 146.8793
3450.000000 95.470 148.6194
3550.000000 95.552 150.3438
3650.000000 95.707 151.7951
3750.000000 95.887 152.6429
3870.000000 96.086 152.9172
4000.000000 96.228 152.7337
4120.000000 96.358 152.1626
4250.000000 96.394 150.3854
4370.000000 96.224 148.5064
4500.000000 95.856 146.9406
4620.000000 95.359 146.3940
4750.000000 94.733 147.4429
4870.000000 94.228 149.7705
5000.000000 93.810 152.6328
5150.000000 93.378 155.6707
5300.000000 92.922 158.7853
5450.000000 92.426 162.2827
5600.000000 91.911 166.6345
5800.000000 91.347 173.6885
6000.000000 90.965 -178.7495
6150.000000 90.815 -173.0829
6300.000000 90.758 -167.9991
6500.000000 90.705 -162.4246
6700.000000 90.500 -158.0862
6900.000000 89.967 -152.8532
7100.000000 89.424 -143.3454
7300.000000 89.673 -130.2494
7500.000000 91.004 -120.6557
7750.000000 93.076 -121.2566
8000.000000 93.952 -134.3759
8250.000000 92.617 -149.3653
8500.000000 89.639 -154.2313
8750.000000 86.601 -146.9345
9000.000000 84.489 -135.6602
9250.000000 82.869 -127.5064
9500.000000 80.694 -118.7149
9750.000000 78.612 -97.6986
10000.000000 78.060 -79.6761
10300.000000 77.234 -68.3795
10600.000000 75.852 -57.1156
10900.000000 73.774 -42.1193
11200.000000 71.915 -15.4236
11500.000000 71.346 12.1908
11800.000000 71.364 33.9066
12200.000000 71.340 58.7923
12500.000000 71.193 77.8512
12800.000000 71.168 99.3112
13200.000000 72.017 132.1019
13600.000000 74.598 163.2151
14000.000000 78.183 178.6606
14500.000000 80.753 174.3644
15000.000000 80.152 171.3930
15500.000000 79.610 179.9372
16000.000000 79.982 179.8503
16500.000000 78.544 168.1998
17000.000000 74.265 164.2078
17500.000000 69.325 -176.0747
18000.000000 67.009 -169.1268
18500.000000 63.763 167.9326
19000.000000 59.113 116.6273
19500.000000 56.744 68.3408
20000.000000 56.342 51.6409
