* Measurement data measured by REW V5.30.5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Feb 21, 2024 12:25:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ND ND-X12 110 L.txt
* Measurement: L ND X12 110
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.839 -14.6255
0.368865 73.842 -14.6109
0.371538 73.846 -14.5894
0.374230 73.851 -14.5628
0.376942 73.856 -14.5329
0.379673 73.862 -14.5009
0.382424 73.868 -14.4677
0.385196 73.874 -14.4336
0.387987 73.880 -14.3990
0.390798 73.887 -14.3640
0.393630 73.893 -14.3288
0.396483 73.900 -14.2932
0.399356 73.906 -14.2574
0.402250 73.913 -14.2213
0.405165 73.919 -14.1850
0.408101 73.926 -14.1483
0.411058 73.933 -14.1112
0.414037 73.940 -14.0738
0.417037 73.946 -14.0361
0.420059 73.953 -13.9979
0.423103 73.960 -13.9592
0.426169 73.967 -13.9201
0.429257 73.974 -13.8805
0.432367 73.981 -13.8404
0.435501 73.988 -13.7997
0.438656 73.996 -13.7584
0.441835 74.003 -13.7164
0.445037 74.010 -13.6739
0.448262 74.018 -13.6306
0.451510 74.025 -13.5866
0.454782 74.032 -13.5418
0.458077 74.040 -13.4962
0.461397 74.048 -13.4497
0.464740 74.055 -13.4024
0.468108 74.063 -13.3541
0.471500 74.071 -13.3049
0.474917 74.078 -13.2546
0.478358 74.086 -13.2033
0.481825 74.094 -13.1508
0.485316 74.102 -13.0972
0.488833 74.110 -13.0423
0.492375 74.118 -12.9862
0.495943 74.126 -12.9288
0.499537 74.134 -12.8700
0.503157 74.143 -12.8098
0.506803 74.151 -12.7481
0.510475 74.159 -12.6848
0.514174 74.168 -12.6200
0.517900 74.176 -12.5535
0.521653 74.185 -12.4853
0.525433 74.193 -12.4153
0.529241 74.202 -12.3434
0.533076 74.211 -12.2696
0.536939 74.220 -12.1939
0.540830 74.229 -12.1161
0.544749 74.237 -12.0362
0.548696 74.246 -11.9541
0.552673 74.256 -11.8698
0.556677 74.265 -11.7832
0.560711 74.274 -11.6941
0.564774 74.283 -11.6026
0.568867 74.292 -11.5086
0.572989 74.302 -11.4120
0.577141 74.311 -11.3126
0.581324 74.321 -11.2106
0.585536 74.330 -11.1057
0.589779 74.340 -10.9979
0.594053 74.350 -10.8871
0.598358 74.360 -10.7733
0.602694 74.370 -10.6564
0.607061 74.379 -10.5363
0.611460 74.390 -10.4129
0.615891 74.400 -10.2862
0.620354 74.410 -10.1562
0.624849 74.420 -10.0226
0.629377 74.430 -9.8856
0.633938 74.441 -9.7450
0.638532 74.451 -9.6007
0.643159 74.462 -9.4528
0.647819 74.472 -9.3011
0.652514 74.483 -9.1457
0.657242 74.494 -8.9864
0.662005 74.505 -8.8232
0.666802 74.516 -8.6562
0.671634 74.527 -8.4851
0.676501 74.538 -8.3102
0.681403 74.549 -8.1312
0.686341 74.560 -7.9482
0.691314 74.572 -7.7612
0.696324 74.584 -7.5702
0.701369 74.596 -7.3751
0.706452 74.608 -7.1760
0.711571 74.622 -6.9727
0.716727 74.637 -6.7652
0.721921 74.655 -6.5534
0.727153 74.676 -6.3371
0.732422 74.702 -6.1159
0.737729 74.734 -5.8895
0.743075 74.770 -5.6576
0.748460 74.810 -5.4199
0.753883 74.855 -5.1765
0.759346 74.902 -4.9274
0.764849 74.951 -4.6726
0.770391 75.003 -4.4124
0.775974 75.057 -4.1471
0.781597 75.112 -3.8768
0.787261 75.170 -3.6019
0.792965 75.229 -3.3227
0.798712 75.290 -3.0396
0.804499 75.353 -2.7529
0.810329 75.417 -2.4629
0.816201 75.484 -2.1700
0.822116 75.552 -1.8746
0.828073 75.621 -1.5770
0.834073 75.693 -1.2778
0.840118 75.766 -0.9772
0.846205 75.841 -0.6757
0.852337 75.918 -0.3737
0.858514 75.996 -0.0717
0.864735 76.076 0.2299
0.871001 76.158 0.5306
0.877313 76.241 0.8301
0.883670 76.326 1.1278
0.890074 76.413 1.4234
0.896523 76.501 1.7162
0.903020 76.590 2.0059
0.909564 76.682 2.2920
0.916155 76.774 2.5740
0.922793 76.868 2.8515
0.929480 76.964 3.1240
0.936216 77.061 3.3910
0.943000 77.159 3.6520
0.949833 77.259 3.9067
0.956716 77.360 4.1546
0.963649 77.462 4.3952
0.970632 77.565 4.6281
0.977666 77.670 4.8528
0.984750 77.776 5.0690
0.991886 77.882 5.2762
0.999074 77.990 5.4740
1.006313 78.098 5.6621
1.013605 78.208 5.8400
1.020950 78.318 6.0075
1.028349 78.429 6.1641
1.035801 78.541 6.3096
1.043306 78.653 6.4438
1.050867 78.766 6.5663
1.058482 78.879 6.6771
1.066152 78.993 6.7763
1.073878 79.108 6.8641
1.081659 79.222 6.9413
1.089498 79.338 7.0089
1.097393 79.455 7.0684
1.105345 79.572 7.1218
1.113355 79.692 7.1711
1.121422 79.813 7.2175
1.129549 79.935 7.2622
1.137734 80.060 7.3054
1.145978 80.187 7.3473
1.154283 80.316 7.3876
1.162647 80.447 7.4259
1.171072 80.580 7.4618
1.179558 80.715 7.4948
1.188106 80.852 7.5244
1.196715 80.990 7.5501
1.205387 81.131 7.5714
1.214122 81.273 7.5878
1.222920 81.416 7.5988
1.231781 81.562 7.6039
1.240708 81.709 7.6028
1.249698 81.857 7.5950
1.258754 82.006 7.5800
1.267875 82.157 7.5575
1.277063 82.309 7.5270
1.286317 82.462 7.4882
1.295638 82.615 7.4407
1.305027 82.770 7.3841
1.314484 82.925 7.3181
1.324009 83.081 7.2423
1.333603 83.238 7.1564
1.343267 83.395 7.0600
1.353001 83.552 6.9528
1.362805 83.709 6.8345
1.372681 83.866 6.7048
1.382628 84.023 6.5633
1.392647 84.180 6.4098
1.402739 84.336 6.2441
1.412904 84.491 6.0660
1.423142 84.646 5.8756
1.433455 84.800 5.6729
1.443842 84.953 5.4586
1.454305 85.105 5.2335
1.464843 85.257 4.9989
1.475458 85.407 4.7564
1.486150 85.558 4.5076
1.496919 85.708 4.2537
1.507766 85.858 3.9958
1.518692 86.008 3.7342
1.529697 86.158 3.4691
1.540782 86.308 3.2006
1.551947 86.458 2.9286
1.563193 86.607 2.6529
1.574521 86.757 2.3732
1.585931 86.907 2.0894
1.597423 87.056 1.8011
1.608998 87.206 1.5080
1.620658 87.355 1.2100
1.632402 87.504 0.9066
1.644231 87.653 0.5977
1.656146 87.802 0.2828
1.668147 87.950 -0.0384
1.680235 88.099 -0.3661
1.692410 88.247 -0.7007
1.704674 88.395 -1.0425
1.717027 88.543 -1.3918
1.729469 88.690 -1.7491
1.742002 88.837 -2.1147
1.754625 88.984 -2.4888
1.767340 89.130 -2.8718
1.780147 89.276 -3.2640
1.793046 89.422 -3.6655
1.806040 89.567 -4.0765
1.819127 89.712 -4.4967
1.832309 89.856 -4.9258
1.845587 89.999 -5.3632
1.858961 90.142 -5.8082
1.872431 90.284 -6.2601
1.886000 90.426 -6.7183
1.899666 90.567 -7.1821
1.913432 90.706 -7.6510
1.927298 90.846 -8.1245
1.941264 90.984 -8.6024
1.955331 91.122 -9.0843
1.969500 91.258 -9.5698
1.983772 91.395 -10.0589
1.998147 91.530 -10.5513
2.012626 91.665 -11.0468
2.027211 91.799 -11.5454
2.041901 91.933 -12.0471
2.056697 92.066 -12.5517
2.071601 92.198 -13.0593
2.086613 92.330 -13.5700
2.101733 92.461 -14.0839
2.116963 92.592 -14.6011
2.132303 92.722 -15.1220
2.147755 92.851 -15.6469
2.163318 92.980 -16.1761
2.178995 93.109 -16.7102
2.194785 93.236 -17.2497
2.210689 93.363 -17.7952
2.226709 93.489 -18.3470
2.242844 93.615 -18.9052
2.259097 93.739 -19.4695
2.275467 93.862 -20.0395
2.291956 93.984 -20.6147
2.308565 94.105 -21.1945
2.325294 94.225 -21.7780
2.342144 94.343 -22.3648
2.359116 94.461 -22.9542
2.376211 94.578 -23.5455
2.393430 94.694 -24.1382
2.410774 94.810 -24.7319
2.428243 94.924 -25.3260
2.445839 95.037 -25.9202
2.463562 95.150 -26.5143
2.481415 95.262 -27.1080
2.499396 95.373 -27.7014
2.517508 95.484 -28.2948
2.535750 95.593 -28.8887
2.554126 95.702 -29.4839
2.572634 95.810 -30.0815
2.591276 95.917 -30.6827
2.610054 96.022 -31.2881
2.628967 96.127 -31.8982
2.648018 96.230 -32.5128
2.667206 96.332 -33.1313
2.686534 96.432 -33.7531
2.706002 96.532 -34.3773
2.725610 96.630 -35.0030
2.745361 96.728 -35.6293
2.765255 96.824 -36.2552
2.785294 96.919 -36.8798
2.805477 97.013 -37.5023
2.825807 97.107 -38.1220
2.846284 97.199 -38.7382
2.866909 97.291 -39.3508
2.887684 97.382 -39.9596
2.908609 97.472 -40.5651
2.929686 97.561 -41.1683
2.950916 97.649 -41.7704
2.972299 97.736 -42.3724
2.993838 97.822 -42.9753
3.015532 97.906 -43.5793
3.037384 97.989 -44.1842
3.059394 98.071 -44.7895
3.081564 98.152 -45.3946
3.103894 98.231 -45.9985
3.126386 98.310 -46.6003
3.149041 98.388 -47.1989
3.171861 98.465 -47.7935
3.194845 98.541 -48.3832
3.217996 98.616 -48.9672
3.241315 98.691 -49.5449
3.264803 98.766 -50.1164
3.288461 98.839 -50.6819
3.312291 98.912 -51.2421
3.336293 98.984 -51.7980
3.360469 99.055 -52.3502
3.384820 99.124 -52.8993
3.409348 99.193 -53.4454
3.434054 99.261 -53.9885
3.458938 99.329 -54.5281
3.484003 99.395 -55.0638
3.509250 99.461 -55.5950
3.534679 99.527 -56.1211
3.560293 99.592 -56.6414
3.586092 99.657 -57.1553
3.612079 99.722 -57.6625
3.638253 99.787 -58.1625
3.664618 99.852 -58.6553
3.691173 99.916 -59.1413
3.717921 99.980 -59.6208
3.744862 100.044 -60.0942
3.771999 100.107 -60.5620
3.799332 100.170 -61.0246
3.826864 100.233 -61.4822
3.854595 100.296 -61.9352
3.882527 100.359 -62.3838
3.910661 100.422 -62.8279
3.938999 100.486 -63.2678
3.967543 100.550 -63.7032
3.996294 100.614 -64.1341
4.025252 100.679 -64.5603
4.054421 100.744 -64.9815
4.083801 100.809 -65.3978
4.113394 100.875 -65.8093
4.143201 100.942 -66.2164
4.173225 101.008 -66.6199
4.203466 101.075 -67.0204
4.233926 101.143 -67.4188
4.264606 101.211 -67.8159
4.295509 101.280 -68.2124
4.326636 101.349 -68.6089
4.357989 101.419 -69.0057
4.389569 101.489 -69.4029
4.421378 101.560 -69.8002
4.453417 101.632 -70.1976
4.485688 101.705 -70.5950
4.518193 101.778 -70.9925
4.550934 101.851 -71.3909
4.583912 101.925 -71.7906
4.617129 101.999 -72.1925
4.650587 102.074 -72.5974
4.684287 102.149 -73.0060
4.718231 102.224 -73.4188
4.752421 102.300 -73.8363
4.786859 102.375 -74.2583
4.821547 102.451 -74.6850
4.856485 102.527 -75.1160
4.891677 102.603 -75.5512
4.927125 102.679 -75.9907
4.962829 102.755 -76.4343
4.998791 102.831 -76.8822
5.035015 102.907 -77.3348
5.071500 102.982 -77.7920
5.108251 103.056 -78.2544
5.145267 103.130 -78.7221
5.182552 103.204 -79.1953
5.220107 103.276 -79.6736
5.257934 103.349 -80.1568
5.296035 103.420 -80.6441
5.334412 103.491 -81.1351
5.373067 103.561 -81.6289
5.412003 103.630 -82.1251
5.451221 103.698 -82.6235
5.490722 103.765 -83.1241
5.530510 103.831 -83.6269
5.570587 103.896 -84.1321
5.610953 103.959 -84.6394
5.651613 104.022 -85.1480
5.692567 104.083 -85.6572
5.733818 104.144 -86.1660
5.775367 104.203 -86.6734
5.817218 104.261 -87.1787
5.859372 104.318 -87.6818
5.901831 104.374 -88.1825
5.944598 104.429 -88.6809
5.987675 104.483 -89.1768
6.031065 104.535 -89.6698
6.074768 104.587 -90.1592
6.118788 104.638 -90.6445
6.163127 104.689 -91.1247
6.207788 104.738 -91.5995
6.252772 104.787 -92.0687
6.298082 104.836 -92.5322
