* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Nov 4, 2024 12:31:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NF Acous NE4 Pop L
* Measurement: L NF Acous NE4 Pop
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	93.166	159.9295
0.368865	93.158	159.9097
0.371538	93.145	159.8800
0.374230	93.128	159.8426
0.376942	93.110	159.7993
0.379673	93.090	159.7516
0.382424	93.070	159.7005
0.385196	93.049	159.6463
0.387987	93.027	159.5895
0.390798	93.006	159.5302
0.393630	92.984	159.4685
0.396483	92.962	159.4044
0.399356	92.940	159.3379
0.402250	92.917	159.2691
0.405165	92.894	159.1978
0.408101	92.872	159.1242
0.411058	92.849	159.0480
0.414037	92.826	158.9694
0.417037	92.802	158.8883
0.420059	92.779	158.8047
0.423103	92.755	158.7185
0.426169	92.732	158.6297
0.429257	92.708	158.5384
0.432368	92.684	158.4444
0.435501	92.659	158.3477
0.438656	92.635	158.2484
0.441835	92.610	158.1464
0.445037	92.585	158.0416
0.448262	92.560	157.9342
0.451510	92.535	157.8239
0.454782	92.510	157.7109
0.458077	92.484	157.5950
0.461397	92.458	157.4763
0.464740	92.432	157.3548
0.468108	92.406	157.2304
0.471500	92.380	157.1031
0.474917	92.354	156.9728
0.478358	92.327	156.8397
0.481825	92.300	156.7036
0.485316	92.273	156.5645
0.488833	92.246	156.4225
0.492375	92.218	156.2775
0.495943	92.190	156.1294
0.499537	92.163	155.9784
0.503157	92.135	155.8243
0.506803	92.106	155.6672
0.510475	92.078	155.5071
0.514175	92.049	155.3439
0.517900	92.020	155.1776
0.521653	91.991	155.0083
0.525434	91.962	154.8360
0.529241	91.932	154.6606
0.533076	91.903	154.4821
0.536939	91.873	154.3006
0.540830	91.842	154.1161
0.544749	91.812	153.9285
0.548696	91.781	153.7380
0.552673	91.751	153.5444
0.556677	91.720	153.3479
0.560711	91.688	153.1484
0.564774	91.657	152.9460
0.568867	91.625	152.7407
0.572989	91.593	152.5326
0.577141	91.561	152.3216
0.581324	91.528	152.1079
0.585536	91.496	151.8914
0.589779	91.463	151.6722
0.594053	91.430	151.4504
0.598358	91.396	151.2261
0.602694	91.363	150.9992
0.607061	91.329	150.7700
0.611460	91.295	150.5383
0.615891	91.260	150.3044
0.620354	91.226	150.0684
0.624849	91.191	149.8303
0.629377	91.156	149.5902
0.633938	91.120	149.3483
0.638532	91.085	149.1046
0.643159	91.049	148.8593
0.647819	91.013	148.6126
0.652514	90.976	148.3646
0.657242	90.940	148.1154
0.662005	90.903	147.8652
0.666802	90.866	147.6143
0.671634	90.828	147.3627
0.676501	90.790	147.1108
0.681403	90.752	146.8586
0.686341	90.714	146.6065
0.691314	90.675	146.3547
0.696324	90.636	146.1034
0.701370	90.596	145.8527
0.706452	90.556	145.6030
0.711571	90.514	145.3542
0.716728	90.471	145.1064
0.721921	90.425	144.8593
0.727153	90.375	144.6123
0.732422	90.319	144.3645
0.737729	90.258	144.1148
0.743075	90.192	143.8619
0.748460	90.120	143.6046
0.753883	90.043	143.3422
