* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Oct 14, 2024 1:25:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NF Acoud NM20 R
* Measurement: R NF Acoud NM20
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	84.750	158.2475
0.368865	84.744	158.2239
0.371538	84.736	158.1886
0.374230	84.725	158.1443
0.376942	84.713	158.0933
0.379673	84.701	158.0372
0.382424	84.687	157.9772
0.385196	84.674	157.9139
0.387987	84.660	157.8478
0.390798	84.646	157.7790
0.393630	84.632	157.7077
0.396483	84.617	157.6339
0.399356	84.603	157.5575
0.402250	84.588	157.4786
0.405165	84.574	157.3972
0.408101	84.559	157.3132
0.411058	84.544	157.2267
0.414037	84.529	157.1376
0.417037	84.514	157.0458
0.420059	84.499	156.9513
0.423103	84.483	156.8542
0.426169	84.468	156.7544
0.429257	84.452	156.6519
0.432368	84.437	156.5466
0.435501	84.421	156.4385
0.438656	84.405	156.3276
0.441835	84.389	156.2139
0.445037	84.373	156.0973
0.448262	84.356	155.9779
0.451510	84.340	155.8555
0.454782	84.324	155.7303
0.458077	84.307	155.6021
0.461397	84.290	155.4709
0.464740	84.273	155.3368
0.468108	84.257	155.1997
0.471500	84.239	155.0596
0.474917	84.222	154.9165
0.478358	84.205	154.7703
0.481825	84.187	154.6210
0.485316	84.170	154.4687
0.488833	84.152	154.3132
0.492375	84.134	154.1547
0.495943	84.116	153.9931
0.499537	84.098	153.8283
0.503157	84.080	153.6604
0.506803	84.062	153.4894
0.510475	84.043	153.3153
0.514175	84.025	153.1380
0.517900	84.006	152.9575
0.521653	83.987	152.7739
0.525434	83.968	152.5872
0.529241	83.949	152.3973
