* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Jul 17, 2024 1:01:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NiceHCK F1 Pro R
* Measurement: R NiceHCK F1 Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.171 -159.2291
0.368865 78.182 -159.2468
0.371538 78.199 -159.2730
0.374230 78.219 -159.3054
0.376942 78.242 -159.3420
0.379673 78.267 -159.3813
0.382424 78.293 -159.4222
0.385196 78.319 -159.4644
0.387987 78.346 -159.5073
0.390798 78.373 -159.5508
0.393630 78.401 -159.5948
0.396483 78.428 -159.6392
0.399356 78.456 -159.6841
0.402250 78.485 -159.7295
0.405165 78.513 -159.7753
0.408101 78.541 -159.8215
0.411058 78.570 -159.8681
0.414037 78.599 -159.9153
0.417037 78.628 -159.9629
0.420059 78.658 -160.0110
0.423103 78.687 -160.0596
0.426169 78.717 -160.1087
0.429257 78.747 -160.1583
0.432368 78.777 -160.2085
0.435501 78.808 -160.2592
0.438656 78.838 -160.3105
0.441835 78.869 -160.3624
0.445037 78.900 -160.4149
0.448262 78.932 -160.4679
0.451510 78.963 -160.5217
0.454782 78.995 -160.5760
0.458077 79.027 -160.6311
0.461397 79.059 -160.6868
0.464740 79.092 -160.7432
0.468108 79.125 -160.8004
0.471500 79.158 -160.8583
0.474917 79.191 -160.9169
0.478358 79.224 -160.9764
0.481825 79.258 -161.0366
0.485316 79.292 -161.0977
0.488833 79.326 -161.1597
0.492375 79.361 -161.2225
0.495943 79.395 -161.2862
0.499537 79.430 -161.3508
0.503157 79.465 -161.4165
0.506803 79.501 -161.4830
0.510475 79.537 -161.5506
0.514175 79.573 -161.6193
0.517900 79.609 -161.6890
0.521653 79.645 -161.7598
0.525434 79.682 -161.8318
0.529241 79.719 -161.9049
0.533076 79.756 -161.9792
0.536939 79.794 -162.0547
0.540830 79.832 -162.1315
0.544749 79.870 -162.2097
0.548696 79.908 -162.2891
0.552673 79.947 -162.3700
0.556677 79.986 -162.4522
0.560711 80.025 -162.5360
0.564774 80.064 -162.6212
0.568867 80.104 -162.7080
0.572989 80.144 -162.7964
0.577141 80.185 -162.8865
0.581324 80.225 -162.9782
0.585536 80.266 -163.0717
0.589779 80.308 -163.1670
0.594053 80.349 -163.2641
0.598358 80.391 -163.3632
0.602694 80.433 -163.4642
0.607061 80.476 -163.5672
0.611460 80.518 -163.6724
0.615891 80.561 -163.7796
0.620354 80.605 -163.8891
0.624849 80.649 -164.0009
0.629377 80.693 -164.1151
0.633938 80.737 -164.2316
0.638532 80.782 -164.3507
0.643159 80.827 -164.4723
0.647819 80.872 -164.5966
0.652514 80.918 -164.7237
0.657242 80.964 -164.8536
0.662005 81.010 -164.9864
0.666802 81.056 -165.1223
0.671634 81.103 -165.2612
0.676501 81.151 -165.4034
0.681403 81.198 -165.5489
0.686341 81.246 -165.6978
0.691314 81.295 -165.8503
0.696324 81.343 -166.0064
0.701370 81.392 -166.1664
0.706452 81.441 -166.3302
0.711571 81.490 -166.4980
0.716728 81.539 -166.6701
0.721921 81.587 -166.8463
0.727153 81.635 -167.0270
0.732422 81.681 -167.2120
0.737729 81.726 -167.4016
0.743075 81.769 -167.5956
0.748460 81.811 -167.7940
0.753883 81.853 -167.9968
0.759346 81.894 -168.2039
0.764849 81.934 -168.4153
0.770391 81.975 -168.6310
0.775974 82.015 -168.8507
0.781597 82.055 -169.0745
0.787261 82.095 -169.3023
0.792966 82.135 -169.5341
0.798712 82.175 -169.7696
0.804500 82.214 -170.0090
0.810329 82.254 -170.2520
0.816201 82.293 -170.4987
0.822116 82.332 -170.7489
0.828073 82.371 -171.0025
0.834074 82.410 -171.2596
0.840118 82.449 -171.5200
0.846206 82.488 -171.7836
0.852338 82.527 -172.0504
0.858514 82.565 -172.3203
0.864735 82.603 -172.5933
0.871001 82.642 -172.8692
0.877313 82.680 -173.1479
0.883670 82.717 -173.4296
0.890074 82.755 -173.7139
0.896524 82.793 -174.0010
0.903020 82.830 -174.2907
0.909564 82.868 -174.5831
0.916155 82.905 -174.8779
0.922794 82.942 -175.1752
0.929481 82.979 -175.4749
0.936216 83.015 -175.7770
0.943000 83.052 -176.0815
0.949834 83.088 -176.3883
0.956717 83.124 -176.6973
0.963649 83.160 -177.0086
0.970632 83.196 -177.3220
0.977666 83.232 -177.6377
0.984750 83.268 -177.9556
0.991886 83.303 -178.2756
0.999074 83.338 -178.5978
1.006314 83.373 -178.9222
1.013606 83.408 -179.2487
1.020951 83.443 -179.5775
1.028349 83.478 -179.9084
1.035801 83.512 179.7583
1.043307 83.547 179.4228
1.050867 83.581 179.0848
1.058482 83.615 178.7443
1.066152 83.649 178.4010
1.073878 83.683 178.0547
1.081660 83.716 177.7049
1.089498 83.749 177.3510
1.097393 83.782 176.9921
1.105345 83.815 176.6272
1.113355 83.848 176.2555
1.121423 83.880 175.8761
1.129549 83.912 175.4885
1.137734 83.943 175.0925
1.145979 83.974 174.6880
1.154283 84.004 174.2751
1.162647 84.034 173.8539
1.171072 84.064 173.4245
1.179558 84.093 172.9873
1.188106 84.122 172.5425
1.196715 84.150 172.0903
1.205387 84.178 171.6311
1.214122 84.205 171.1652
1.222920 84.232 170.6929
1.231782 84.259 170.2145
1.240708 84.285 169.7305
1.249699 84.310 169.2411
1.258754 84.335 168.7468
1.267876 84.360 168.2479
1.277063 84.384 167.7448
1.286318 84.408 167.2380
1.295639 84.431 166.7280
1.305027 84.454 166.2151
1.314484 84.476 165.7000
1.324009 84.498 165.1829
1.333604 84.519 164.6644
1.343268 84.540 164.1451
1.353002 84.561 163.6255
1.362806 84.581 163.1060
1.372681 84.601 162.5873
1.382628 84.620 162.0699
1.392647 84.639 161.5544
1.402739 84.658 161.0411
1.412904 84.676 160.5306
1.423142 84.693 160.0232
1.433455 84.710 159.5189
1.443843 84.727 159.0176
1.454305 84.744 158.5185
1.464844 84.759 158.0204
1.475459 84.774 157.5220
1.486150 84.789 157.0216
1.496920 84.803 156.5178
1.507767 84.816 156.0097
1.518693 84.828 155.4968
1.529698 84.840 154.9787
1.540783 84.850 154.4554
1.551948 84.860 153.9271
1.563194 84.870 153.3939
1.574521 84.878 152.8560
1.585931 84.886 152.3138
1.597423 84.893 151.7675
1.608999 84.899 151.2176
1.620658 84.904 150.6644
1.632402 84.909 150.1083
1.644232 84.913 149.5499
1.656146 84.916 148.9895
1.668147 84.918 148.4277
1.680235 84.920 147.8651
1.692411 84.921 147.3022
1.704675 84.922 146.7396
1.717028 84.921 146.1779
1.729470 84.920 145.6178
1.742003 84.919 145.0600
1.754626 84.917 144.5051
1.767341 84.914 143.9537
1.780147 84.911 143.4062
1.793047 84.907 142.8632
1.806040 84.902 142.3243
1.819128 84.896 141.7893
1.832310 84.890 141.2572
1.845587 84.883 140.7267
1.858961 84.875 140.1964
1.872432 84.866 139.6651
1.886001 84.855 139.1320
1.899667 84.844 138.5966
1.913433 84.831 138.0588
1.927299 84.817 137.5187
1.941265 84.802 136.9764
1.955332 84.786 136.4324
1.969501 84.769 135.8871
1.983773 84.752 135.3411
1.998148 84.733 134.7950
2.012627 84.714 134.2495
2.027212 84.694 133.7053
2.041902 84.673 133.1636
2.056698 84.652 132.6251
2.071602 84.631 132.0911
2.086614 84.609 131.5625
2.101734 84.587 131.0407
2.116964 84.564 130.5269
2.132304 84.542 130.0225
2.147756 84.519 129.5286
2.163320 84.497 129.0463
2.178996 84.474 128.5766
2.194786 84.451 128.1198
2.210690 84.427 127.6761
2.226710 84.402 127.2450
2.242845 84.377 126.8260
2.259098 84.351 126.4189
2.275468 84.323 126.0228
2.291957 84.295 125.6377
2.308566 84.267 125.2630
2.325295 84.237 124.8987
2.342145 84.208 124.5444
2.359117 84.178 124.2001
2.376212 84.149 123.8657
2.393431 84.120 123.5411
2.410775 84.092 123.2264
2.428244 84.064 122.9216
2.445840 84.038 122.6270
2.463564 84.013 122.3426
2.481416 83.991 122.0689
2.499397 83.970 121.8066
2.517509 83.951 121.5565
2.535752 83.935 121.3200
2.554127 83.921 121.0989
2.572635 83.909 120.8953
2.591277 83.899 120.7111
2.610055 83.891 120.5477
2.628968 83.885 120.4056
2.648019 83.880 120.2844
2.667208 83.877 120.1830
2.686535 83.877 120.0998
2.706003 83.878 120.0325
2.725612 83.882 119.9789
2.745363 83.888 119.9363
2.765257 83.896 119.9022
2.785295 83.908 119.8735
2.805478 83.923 119.8475
2.825808 83.941 119.8215
2.846285 83.962 119.7931
2.866910 83.988 119.7604
2.887685 84.017 119.7223
2.908611 84.051 119.6790
2.929688 84.089 119.6318
2.950917 84.132 119.5830
2.972301 84.180 119.5351
2.993839 84.233 119.4895
3.015534 84.291 119.4462
3.037386 84.353 119.4044
3.059396 84.420 119.3619
3.081565 84.490 119.3165
3.103896 84.564 119.2650
3.126388 84.641 119.2043
3.149043 84.722 119.1313
3.171862 84.805 119.0428
3.194847 84.890 118.9360
3.217998 84.977 118.8082
3.241317 85.066 118.6576
3.264805 85.156 118.4831
3.288463 85.249 118.2848
3.312293 85.344 118.0639
3.336295 85.441 117.8221
3.360471 85.541 117.5612
3.384822 85.644 117.2826
3.409350 85.749 116.9872
3.434056 85.857 116.6753
3.458940 85.966 116.3470
3.484005 86.077 116.0019
3.509252 86.189 115.6396
3.534681 86.301 115.2594
3.560295 86.412 114.8604
3.586094 86.523 114.4418
3.612081 86.633 114.0025
3.638255 86.742 113.5416
3.664620 86.850 113.0583
3.691175 86.957 112.5525
3.717923 87.062 112.0244
3.744864 87.168 111.4753
3.772001 87.272 110.9072
3.799335 87.375 110.3221
3.826866 87.478 109.7227
3.854597 87.579 109.1114
3.882529 87.679 108.4902
3.910664 87.778 107.8613
3.939002 87.874 107.2259
3.967546 87.968 106.5846
3.996296 88.060 105.9374
4.025255 88.150 105.2831
4.054423 88.237 104.6203
4.083804 88.322 103.9478
4.113396 88.404 103.2652
4.143204 88.484 102.5737
4.173227 88.561 101.8752
4.203468 88.636 101.1724
4.233928 88.709 100.4684
4.264609 88.780 99.7662
4.295512 88.848 99.0687
4.326639 88.915 98.3780
4.357992 88.979 97.6951
4.389572 89.040 97.0199
4.421380 89.099 96.3513
4.453419 89.156 95.6882
4.485691 89.210 95.0294
4.518196 89.262 94.3754
4.550936 89.311 93.7272
4.583914 89.359 93.0867
4.617131 89.405 92.4562
4.650589 89.449 91.8385
4.684289 89.492 91.2357
4.718233 89.534 90.6498
4.752424 89.575 90.0818
4.786862 89.615 89.5319
4.821549 89.654 88.9996
4.856488 89.691 88.4840
4.891680 89.728 87.9844
4.927127 89.763 87.5003
4.962831 89.799 87.0316
4.998794 89.835 86.5783
5.035017 89.871 86.1409
5.071503 89.908 85.7200
5.108253 89.946 85.3163
5.145270 89.985 84.9305
5.182555 90.025 84.5627
5.220110 90.066 84.2121
5.257937 90.109 83.8774
5.296038 90.153 83.5566
5.334415 90.198 83.2472
5.373071 90.246 82.9469
5.412006 90.295 82.6535
5.451224 90.346 82.3657
5.490725 90.400 82.0827
5.530514 90.456 81.8044
5.570590 90.514 81.5305
5.610957 90.575 81.2602
5.651616 90.638 80.9917
5.692570 90.703 80.7228
5.733821 90.770 80.4507
5.775370 90.838 80.1729
5.817221 90.907 79.8874
5.859375 90.978 79.5927
5.901834 91.050 79.2885
5.944602 91.123 78.9748
5.987679 91.197 78.6516
6.031068 91.272 78.3190
6.074771 91.347 77.9764
6.118792 91.422 77.6234
6.163131 91.497 77.2590
6.207792 91.571 76.8828
6.252776 91.644 76.4945
6.298086 91.716 76.0941
6.343725 91.787 75.6827
6.389694 91.856 75.2615
6.435996 91.924 74.8323
6.482634 91.990 74.3966
6.529610 92.054 73.9558
6.576926 92.116 73.5107
6.624585 92.176 73.0618
6.672590 92.233 72.6095
6.720942 92.288 72.1549
6.769645 92.341 71.6996
6.818700 92.391 71.2457
6.868111 92.440 70.7953
