* Measurement data measured by REW V5.30 beta 4
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -27.0 dBFS with no timing reference
* Dated: Dec 13, 2023 11:48:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Oriolus Isabellae
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.688 5.7673
0.368865 60.722 5.7299
0.371538 60.772 5.6765
0.374230 60.828 5.6170
0.376942 60.887 5.5556
0.379673 60.946 5.4939
0.382424 61.007 5.4326
0.385196 61.067 5.3716
0.387987 61.129 5.3110
0.390798 61.190 5.2509
0.393630 61.252 5.1911
0.396483 61.315 5.1318
0.399356 61.378 5.0727
0.402250 61.441 5.0141
0.405165 61.505 4.9557
0.408101 61.569 4.8977
0.411058 61.634 4.8399
0.414037 61.700 4.7824
0.417037 61.765 4.7251
0.420059 61.832 4.6680
0.423103 61.898 4.6111
0.426169 61.965 4.5544
0.429257 62.033 4.4977
0.432367 62.101 4.4412
0.435501 62.170 4.3847
0.438656 62.239 4.3283
0.441835 62.309 4.2719
0.445037 62.379 4.2154
0.448262 62.450 4.1589
0.451510 62.521 4.1023
0.454782 62.593 4.0455
0.458077 62.665 3.9886
0.461397 62.738 3.9315
0.464740 62.811 3.8742
0.468108 62.885 3.8165
0.471500 62.959 3.7586
0.474917 63.034 3.7003
0.478358 63.109 3.6416
0.481825 63.185 3.5825
0.485316 63.262 3.5229
0.488833 63.339 3.4628
0.492375 63.417 3.4022
0.495943 63.495 3.3410
0.499537 63.574 3.2791
0.503157 63.653 3.2165
0.506803 63.733 3.1532
0.510475 63.813 3.0891
0.514174 63.894 3.0243
0.517900 63.976 2.9585
0.521653 64.058 2.8919
0.525433 64.141 2.8243
0.529241 64.225 2.7557
0.533076 64.309 2.6861
0.536939 64.393 2.6154
0.540830 64.479 2.5435
0.544749 64.565 2.4704
0.548696 64.651 2.3962
0.552673 64.738 2.3206
0.556677 64.826 2.2437
0.560711 64.915 2.1655
0.564774 65.004 2.0858
0.568867 65.093 2.0046
0.572989 65.184 1.9219
0.577141 65.275 1.8376
0.581324 65.366 1.7518
0.585536 65.459 1.6642
0.589779 65.552 1.5749
0.594053 65.645 1.4838
0.598358 65.740 1.3910
0.602694 65.835 1.2962
0.607061 65.931 1.1995
0.611460 66.027 1.1009
0.615891 66.124 1.0002
0.620354 66.222 0.8974
0.624849 66.320 0.7925
0.629377 66.420 0.6855
0.633938 66.520 0.5762
0.638532 66.620 0.4646
0.643159 66.722 0.3507
0.647819 66.824 0.2344
0.652514 66.927 0.1156
0.657242 67.031 -0.0056
0.662005 67.135 -0.1294
0.666802 67.240 -0.2558
0.671634 67.346 -0.3848
0.676501 67.453 -0.5165
0.681403 67.560 -0.6510
0.686341 67.668 -0.7882
0.691314 67.777 -0.9284
0.696324 67.887 -1.0714
0.701369 67.998 -1.2174
0.706452 68.109 -1.3664
0.711571 68.221 -1.5185
0.716727 68.334 -1.6736
0.721921 68.447 -1.8318
0.727153 68.560 -1.9927
0.732422 68.670 -2.1558
0.737729 68.776 -2.3198
0.743075 68.880 -2.4836
0.748460 68.983 -2.6464
0.753883 69.086 -2.8080
0.759346 69.188 -2.9685
0.764849 69.291 -3.1279
0.770391 69.394 -3.2863
0.775974 69.498 -3.4436
0.781597 69.601 -3.6001
0.787261 69.705 -3.7558
0.792965 69.809 -3.9107
0.798712 69.913 -4.0650
0.804499 70.018 -4.2187
0.810329 70.122 -4.3719
0.816201 70.227 -4.5248
0.822116 70.332 -4.6774
0.828073 70.437 -4.8298
0.834073 70.543 -4.9821
0.840118 70.649 -5.1344
0.846205 70.754 -5.2867
0.852337 70.861 -5.4393
0.858514 70.967 -5.5921
0.864735 71.073 -5.7453
0.871001 71.180 -5.8990
0.877313 71.287 -6.0533
0.883670 71.394 -6.2082
0.890074 71.502 -6.3640
0.896523 71.609 -6.5206
0.903020 71.717 -6.6782
0.909564 71.825 -6.8369
0.916155 71.933 -6.9968
0.922793 72.042 -7.1580
0.929480 72.150 -7.3206
0.936216 72.259 -7.4848
0.943000 72.368 -7.6505
0.949833 72.477 -7.8180
0.956716 72.587 -7.9874
0.963649 72.697 -8.1587
0.970632 72.807 -8.3321
0.977666 72.917 -8.5076
0.984750 73.028 -8.6855
0.991886 73.138 -8.8657
0.999074 73.249 -9.0485
1.006313 73.360 -9.2339
1.013605 73.472 -9.4221
1.020950 73.584 -9.6132
1.028349 73.696 -9.8073
1.035801 73.808 -10.0045
1.043306 73.921 -10.2049
1.050867 74.034 -10.4088
1.058482 74.147 -10.6161
1.066152 74.260 -10.8270
1.073878 74.374 -11.0417
1.081659 74.488 -11.2602
1.089498 74.602 -11.4824
1.097393 74.717 -11.7079
1.105345 74.832 -11.9360
1.113355 74.946 -12.1655
1.121422 75.061 -12.3958
1.129549 75.176 -12.6269
1.137734 75.291 -12.8584
1.145978 75.405 -13.0906
1.154283 75.520 -13.3233
1.162647 75.634 -13.5565
1.171072 75.748 -13.7904
1.179558 75.863 -14.0249
1.188106 75.977 -14.2600
1.196715 76.091 -14.4959
1.205387 76.205 -14.7325
1.214122 76.319 -14.9698
1.222920 76.433 -15.2080
1.231781 76.547 -15.4470
1.240708 76.661 -15.6869
1.249698 76.775 -15.9277
1.258754 76.889 -16.1696
1.267875 77.003 -16.4125
1.277063 77.116 -16.6566
1.286317 77.230 -16.9018
1.295638 77.344 -17.1483
1.305027 77.458 -17.3961
1.314484 77.572 -17.6452
1.324009 77.686 -17.8959
1.333603 77.800 -18.1480
1.343267 77.913 -18.4018
1.353001 78.028 -18.6572
1.362805 78.142 -18.9145
1.372681 78.256 -19.1736
1.382628 78.370 -19.4346
1.392647 78.485 -19.6977
1.402739 78.599 -19.9629
1.412904 78.714 -20.2304
1.423142 78.829 -20.5001
1.433455 78.944 -20.7724
1.443842 79.059 -21.0470
1.454305 79.175 -21.3241
1.464843 79.290 -21.6034
1.475458 79.406 -21.8842
1.486150 79.521 -22.1660
1.496919 79.637 -22.4484
1.507766 79.752 -22.7314
1.518692 79.866 -23.0149
1.529697 79.981 -23.2991
1.540782 80.095 -23.5840
1.551947 80.209 -23.8697
1.563193 80.322 -24.1563
1.574521 80.436 -24.4439
1.585931 80.549 -24.7325
1.597423 80.661 -25.0223
1.608998 80.774 -25.3134
1.620658 80.886 -25.6059
1.632402 80.999 -25.8999
1.644231 81.111 -26.1956
1.656146 81.222 -26.4929
1.668147 81.334 -26.7922
1.680235 81.445 -27.0935
1.692410 81.556 -27.3969
1.704674 81.667 -27.7026
1.717027 81.778 -28.0108
1.729469 81.889 -28.3215
1.742002 82.000 -28.6350
1.754625 82.111 -28.9514
1.767340 82.221 -29.2708
1.780147 82.332 -29.5935
1.793046 82.442 -29.9196
1.806040 82.552 -30.2493
1.819127 82.663 -30.5828
1.832309 82.773 -30.9200
1.845587 82.883 -31.2611
1.858961 82.993 -31.6059
1.872431 83.102 -31.9542
1.886000 83.211 -32.3057
1.899666 83.319 -32.6601
1.913432 83.426 -33.0173
1.927298 83.534 -33.3770
1.941264 83.640 -33.7390
1.955331 83.747 -34.1031
1.969500 83.852 -34.4691
1.983772 83.958 -34.8369
1.998147 84.063 -35.2063
2.012626 84.167 -35.5770
2.027211 84.272 -35.9491
2.041901 84.375 -36.3224
2.056697 84.479 -36.6967
2.071601 84.582 -37.0720
2.086613 84.685 -37.4482
2.101733 84.787 -37.8251
2.116963 84.889 -38.2029
2.132303 84.991 -38.5813
2.147755 85.092 -38.9604
2.163318 85.194 -39.3402
2.178995 85.295 -39.7210
2.194785 85.396 -40.1033
2.210689 85.496 -40.4878
2.226709 85.596 -40.8755
2.242844 85.695 -41.2667
2.259097 85.793 -41.6613
2.275467 85.891 -42.0590
2.291956 85.988 -42.4593
2.308565 86.084 -42.8621
2.325294 86.180 -43.2668
2.342144 86.275 -43.6730
2.359116 86.370 -44.0805
2.376211 86.463 -44.4889
2.393430 86.557 -44.8978
2.410774 86.649 -45.3069
2.428243 86.741 -45.7159
2.445839 86.833 -46.1245
2.463562 86.924 -46.5324
2.481415 87.015 -46.9392
2.499396 87.106 -47.3448
2.517508 87.196 -47.7489
2.535750 87.285 -48.1516
2.554126 87.375 -48.5531
2.572634 87.463 -48.9544
2.591276 87.551 -49.3572
2.610054 87.639 -49.7623
2.628967 87.725 -50.1699
2.648018 87.811 -50.5796
2.667206 87.895 -50.9912
2.686534 87.979 -51.4041
2.706002 88.062 -51.8179
2.725610 88.145 -52.2320
2.745361 88.227 -52.6461
2.765255 88.308 -53.0596
2.785294 88.388 -53.4721
2.805477 88.468 -53.8830
2.825807 88.548 -54.2918
2.846284 88.627 -54.6982
2.866909 88.706 -55.1016
2.887684 88.784 -55.5017
2.908609 88.862 -55.8984
2.929686 88.940 -56.2923
2.950916 89.017 -56.6846
2.972299 89.094 -57.0766
2.993838 89.169 -57.4690
3.015532 89.244 -57.8617
3.037384 89.318 -58.2545
3.059394 89.391 -58.6470
3.081564 89.463 -59.0387
3.103894 89.535 -59.4293
3.126386 89.606 -59.8183
3.149041 89.677 -60.2052
3.171861 89.747 -60.5895
3.194845 89.817 -60.9708
3.217996 89.887 -61.3485
3.241315 89.957 -61.7223
3.264803 90.026 -62.0917
3.288461 90.096 -62.4567
3.312291 90.165 -62.8179
3.336293 90.234 -63.1761
3.360469 90.302 -63.5319
3.384820 90.369 -63.8856
3.409348 90.436 -64.2372
3.434054 90.503 -64.5867
3.458938 90.569 -64.9340
3.484003 90.634 -65.2791
3.509250 90.700 -65.6217
3.534679 90.765 -65.9618
3.560293 90.831 -66.2993
3.586092 90.896 -66.6340
3.612079 90.962 -66.9657
3.638253 91.027 -67.2942
3.664618 91.093 -67.6194
3.691173 91.159 -67.9414
3.717921 91.225 -68.2600
3.744862 91.290 -68.5757
3.771999 91.356 -68.8887
3.799332 91.421 -69.1992
3.826864 91.486 -69.5076
3.854595 91.551 -69.8141
3.882527 91.617 -70.1191
3.910661 91.682 -70.4227
3.938999 91.748 -70.7254
3.967543 91.814 -71.0273
3.996294 91.880 -71.3284
4.025252 91.946 -71.6287
4.054421 92.013 -71.9278
4.083801 92.080 -72.2251
4.113394 92.147 -72.5207
4.143201 92.214 -72.8148
4.173225 92.282 -73.1078
4.203466 92.350 -73.4002
4.233926 92.417 -73.6925
4.264606 92.485 -73.9852
4.295509 92.553 -74.2789
4.326636 92.622 -74.5739
4.357989 92.690 -74.8706
4.389569 92.759 -75.1693
4.421378 92.828 -75.4695
4.453417 92.896 -75.7709
4.485688 92.966 -76.0731
4.518193 93.035 -76.3764
4.550934 93.104 -76.6807
4.583912 93.174 -76.9864
4.617129 93.243 -77.2937
4.650587 93.313 -77.6028
4.684287 93.382 -77.9139
4.718231 93.452 -78.2274
4.752421 93.521 -78.5435
4.786859 93.590 -78.8624
4.821547 93.658 -79.1840
4.856485 93.727 -79.5082
4.891677 93.796 -79.8348
4.927125 93.864 -80.1635
4.962829 93.932 -80.4941
4.998791 94.000 -80.8262
5.035015 94.068 -81.1598
5.071500 94.135 -81.4947
5.108251 94.202 -81.8309
5.145267 94.269 -82.1687
5.182552 94.335 -82.5088
5.220107 94.400 -82.8511
5.257934 94.466 -83.1955
5.296035 94.530 -83.5414
5.334412 94.595 -83.8884
5.373067 94.659 -84.2358
5.412003 94.723 -84.5831
5.451221 94.786 -84.9299
5.490722 94.849 -85.2762
5.530510 94.911 -85.6224
5.570587 94.973 -85.9691
5.610953 95.034 -86.3162
5.651613 95.095 -86.6637
5.692567 95.156 -87.0110
5.733818 95.216 -87.3577
5.775367 95.276 -87.7034
5.817218 95.336 -88.0476
5.859372 95.396 -88.3902
5.901831 95.455 -88.7313
5.944598 95.514 -89.0712
5.987675 95.573 -89.4103
6.031065 95.631 -89.7485
6.074768 95.689 -90.0858
6.118788 95.748 -90.4223
6.163127 95.806 -90.7579
6.207788 95.864 -91.0925
6.252772 95.922 -91.4259
6.298082 95.981 -91.7583
