* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2025 11:55:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Punch Audio Martilo L
* Measurement: L Punch Audio Martilo
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 86.824 -91.3005
0.368865 86.838 -91.3951
0.371538 86.859 -91.5363
0.374230 86.885 -91.7126
0.376942 86.914 -91.9143
0.379673 86.945 -92.1341
0.382424 86.978 -92.3674
0.385196 87.011 -92.6111
0.387987 87.045 -92.8637
0.390798 87.080 -93.1240
0.393630 87.114 -93.3916
0.396483 87.149 -93.6661
0.399356 87.185 -93.9475
0.402250 87.220 -94.2355
0.405165 87.256 -94.5302
0.408101 87.292 -94.8315
0.411058 87.329 -95.1393
0.414037 87.365 -95.4535
0.417037 87.402 -95.7742
0.420059 87.439 -96.1012
0.423103 87.477 -96.4345
0.426169 87.514 -96.7740
0.429257 87.552 -97.1196
0.432368 87.591 -97.4713
0.435501 87.629 -97.8289
0.438656 87.668 -98.1924
0.441835 87.707 -98.5617
0.445037 87.746 -98.9366
0.448262 87.786 -99.3171
0.451510 87.826 -99.7031
0.454782 87.866 -100.0944
0.458077 87.907 -100.4909
0.461397 87.948 -100.8925
0.464740 87.989 -101.2991
0.468108 88.030 -101.7105
0.471500 88.072 -102.1267
0.474917 88.114 -102.5474
0.478358 88.156 -102.9725
0.481825 88.199 -103.4019
0.485316 88.242 -103.8354
0.488833 88.285 -104.2729
0.492375 88.329 -104.7143
0.495943 88.372 -105.1594
0.499537 88.417 -105.6080
0.503157 88.461 -106.0600
0.506803 88.506 -106.5153
0.510475 88.551 -106.9736
0.514175 88.597 -107.4349
0.517900 88.642 -107.8989
0.521653 88.689 -108.3656
0.525434 88.735 -108.8348
0.529241 88.782 -109.3064
0.533076 88.829 -109.7801
0.536939 88.877 -110.2559
0.540830 88.924 -110.7336
0.544749 88.973 -111.2131
0.548696 89.021 -111.6942
0.552673 89.070 -112.1769
0.556677 89.119 -112.6610
0.560711 89.169 -113.1463
0.564774 89.219 -113.6329
0.568867 89.269 -114.1205
0.572989 89.320 -114.6090
0.577141 89.371 -115.0984
0.581324 89.422 -115.5886
0.585536 89.474 -116.0795
0.589779 89.526 -116.5709
0.594053 89.579 -117.0629
0.598358 89.632 -117.5554
0.602694 89.685 -118.0483
0.607061 89.739 -118.5416
0.611460 89.793 -119.0351
0.615891 89.847 -119.5290
0.620354 89.902 -120.0232
0.624849 89.958 -120.5176
0.629377 90.013 -121.0123
0.633938 90.069 -121.5072
0.638532 90.126 -122.0024
0.643159 90.183 -122.4979
0.647819 90.240 -122.9937
0.652514 90.298 -123.4899
0.657242 90.356 -123.9865
0.662005 90.415 -124.4835
0.666802 90.474 -124.9812
0.671634 90.533 -125.4794
0.676501 90.593 -125.9784
0.681403 90.653 -126.4783
0.686341 90.714 -126.9792
0.691314 90.775 -127.4811
0.696324 90.836 -127.9844
0.701370 90.898 -128.4892
0.706452 90.960 -128.9958
0.711571 91.022 -129.5044
0.716728 91.084 -130.0155
0.721921 91.145 -130.5296
0.727153 91.205 -131.0474
0.732422 91.264 -131.5697
0.737729 91.321 -132.0974
0.743075 91.377 -132.6311
0.748460 91.431 -133.1714
0.753883 91.484 -133.7187
0.759346 91.537 -134.2730
0.764849 91.589 -134.8342
0.770391 91.641 -135.4021
0.775974 91.692 -135.9765
0.781597 91.744 -136.5572
0.787261 91.795 -137.1437
0.792966 91.846 -137.7359
0.798712 91.897 -138.3335
0.804500 91.948 -138.9359
0.810329 91.999 -139.5431
0.816201 92.050 -140.1546
0.822116 92.100 -140.7702
0.828073 92.150 -141.3895
0.834074 92.201 -142.0122
0.840118 92.251 -142.6381
0.846206 92.301 -143.2667
0.852338 92.351 -143.8979
0.858514 92.400 -144.5314
0.864735 92.450 -145.1668
0.871001 92.499 -145.8039
0.877313 92.549 -146.4425
0.883670 92.598 -147.0823
0.890074 92.647 -147.7231
0.896524 92.696 -148.3646
0.903020 92.745 -149.0066
0.909564 92.793 -149.6490
0.916155 92.842 -150.2915
0.922794 92.890 -150.9340
0.929481 92.939 -151.5764
0.936216 92.987 -152.2184
0.943000 93.035 -152.8599
0.949834 93.084 -153.5010
0.956717 93.132 -154.1413
0.963649 93.180 -154.7810
0.970632 93.228 -155.4199
0.977666 93.276 -156.0579
0.984750 93.324 -156.6951
0.991886 93.371 -157.3315
0.999074 93.419 -157.9670
1.006314 93.467 -158.6018
1.013606 93.515 -159.2358
1.020951 93.563 -159.8691
1.028349 93.611 -160.5019
1.035801 93.659 -161.1343
1.043307 93.706 -161.7664
1.050867 93.754 -162.3986
1.058482 93.802 -163.0311
1.066152 93.851 -163.6644
1.073878 93.899 -164.2992
1.081660 93.947 -164.9363
1.089498 93.995 -165.5771
1.097393 94.043 -166.2231
1.105345 94.091 -166.8761
1.113355 94.139 -167.5380
1.121423 94.187 -168.2102
1.129549 94.235 -168.8936
1.137734 94.282 -169.5888
1.145979 94.329 -170.2958
1.154283 94.376 -171.0147
1.162647 94.422 -171.7453
1.171072 94.468 -172.4871
1.179558 94.514 -173.2399
1.188106 94.560 -174.0032
1.196715 94.605 -174.7764
1.205387 94.650 -175.5592
1.214122 94.695 -176.3509
1.222920 94.739 -177.1511
1.231782 94.783 -177.9590
1.240708 94.827 -178.7741
1.249699 94.871 -179.5958
1.258754 94.914 179.5767
1.267876 94.957 178.7439
1.277063 95.000 177.9066
1.286318 95.042 177.0656
1.295639 95.084 176.2216
1.305027 95.126 175.3752
1.314484 95.168 174.5274
1.324009 95.209 173.6788
1.333604 95.250 172.8304
1.343268 95.291 171.9827
1.353002 95.332 171.1368
1.362806 95.372 170.2933
1.372681 95.413 169.4530
1.382628 95.453 168.6168
1.392647 95.493 167.7854
1.402739 95.533 166.9594
1.412904 95.572 166.1393
1.423142 95.611 165.3254
1.433455 95.651 164.5178
1.443843 95.690 163.7158
1.454305 95.729 162.9183
1.464844 95.767 162.1232
1.475459 95.805 161.3280
1.486150 95.843 160.5304
1.496920 95.881 159.7281
1.507767 95.918 158.9198
1.518693 95.955 158.1046
1.529698 95.991 157.2821
1.540783 96.027 156.4524
1.551948 96.062 155.6155
1.563194 96.097 154.7720
1.574521 96.131 153.9220
1.585931 96.165 153.0661
1.597423 96.198 152.2048
1.608999 96.231 151.3386
1.620658 96.264 150.4681
1.632402 96.296 149.5939
1.644232 96.327 148.7166
1.656146 96.358 147.8367
1.668147 96.389 146.9550
1.680235 96.419 146.0721
1.692411 96.448 145.1886
1.704675 96.477 144.3052
1.717028 96.506 143.4227
1.729470 96.534 142.5415
1.742003 96.561 141.6625
1.754626 96.589 140.7860
1.767341 96.615 139.9126
1.780147 96.642 139.0424
1.793047 96.667 138.1752
1.806040 96.693 137.3104
1.819128 96.717 136.4465
1.832310 96.742 135.5813
1.845587 96.765 134.7122
1.858961 96.788 133.8367
1.872432 96.811 132.9527
1.886001 96.832 132.0589
1.899667 96.853 131.1547
1.913433 96.873 130.2400
1.927299 96.893 129.3152
1.941265 96.911 128.3809
1.955332 96.929 127.4380
1.969501 96.946 126.4874
1.983773 96.963 125.5303
1.998148 96.978 124.5679
2.012627 96.993 123.6014
2.027212 97.007 122.6324
2.041902 97.021 121.6623
2.056698 97.033 120.6927
2.071602 97.045 119.7252
2.086614 97.056 118.7615
2.101734 97.067 117.8033
2.116964 97.077 116.8521
2.132304 97.086 115.9093
2.147756 97.094 114.9760
2.163320 97.102 114.0526
2.178996 97.108 113.1386
2.194786 97.114 112.2326
2.210690 97.119 111.3321
2.226710 97.123 110.4343
2.242845 97.126 109.5367
2.259098 97.128 108.6374
2.275468 97.129 107.7353
2.291957 97.128 106.8299
2.308566 97.127 105.9214
2.325295 97.125 105.0101
2.342145 97.121 104.0968
2.359117 97.117 103.1825
2.376212 97.112 102.2682
2.393431 97.106 101.3555
2.410775 97.099 100.4457
2.428244 97.091 99.5405
2.445840 97.083 98.6418
2.463564 97.073 97.7514
2.481416 97.064 96.8712
2.499397 97.053 96.0031
2.517509 97.042 95.1484
2.535752 97.030 94.3084
2.554127 97.017 93.4833
2.572635 97.004 92.6724
2.591277 96.989 91.8746
2.610055 96.973 91.0882
2.628968 96.956 90.3119
2.648019 96.938 89.5444
2.667208 96.919 88.7850
2.686535 96.899 88.0332
2.706003 96.878 87.2888
2.725612 96.856 86.5519
2.745363 96.834 85.8228
2.765257 96.811 85.1020
2.785295 96.788 84.3900
2.805478 96.765 83.6879
2.825808 96.743 82.9966
2.846285 96.720 82.3174
2.866910 96.698 81.6518
2.887685 96.676 81.0013
2.908611 96.655 80.3674
2.929688 96.633 79.7516
2.950917 96.613 79.1552
2.972301 96.592 78.5786
2.993839 96.571 78.0221
3.015534 96.550 77.4851
3.037386 96.530 76.9669
3.059396 96.509 76.4664
3.081565 96.489 75.9825
3.103896 96.470 75.5140
3.126388 96.451 75.0596
3.149043 96.434 74.6181
3.171862 96.419 74.1885
3.194847 96.405 73.7699
3.217998 96.393 73.3618
3.241317 96.384 72.9644
3.264805 96.377 72.5781
3.288463 96.372 72.2047
3.312293 96.371 71.8463
3.336295 96.372 71.5047
3.360471 96.375 71.1814
3.384822 96.381 70.8763
3.409350 96.390 70.5883
3.434056 96.401 70.3154
3.458940 96.414 70.0548
3.484005 96.430 69.8033
3.509252 96.448 69.5576
3.534681 96.469 69.3141
3.560295 96.492 69.0698
3.586094 96.518 68.8217
3.612081 96.547 68.5680
3.638255 96.578 68.3078
3.664620 96.613 68.0414
3.691175 96.650 67.7703
3.717923 96.691 67.4961
3.744864 96.735 67.2199
3.772001 96.782 66.9419
3.799335 96.832 66.6614
3.826866 96.885 66.3770
3.854597 96.939 66.0869
3.882529 96.996 65.7891
3.910664 97.053 65.4811
3.939002 97.111 65.1609
3.967546 97.170 64.8266
3.996296 97.230 64.4766
4.025255 97.290 64.1100
4.054423 97.350 63.7270
4.083804 97.412 63.3281
4.113396 97.474 62.9142
4.143204 97.536 62.4867
4.173227 97.599 62.0467
4.203468 97.663 61.5953
4.233928 97.725 61.1336
4.264609 97.788 60.6621
4.295512 97.849 60.1812
4.326639 97.908 59.6910
4.357992 97.966 59.1909
4.389572 98.022 58.6801
4.421380 98.076 58.1577
4.453419 98.127 57.6231
4.485691 98.177 57.0768
4.518196 98.226 56.5201
4.550936 98.272 55.9552
4.583914 98.316 55.3848
4.617131 98.358 54.8117
4.650589 98.397 54.2385
4.684289 98.435 53.6675
4.718233 98.469 53.0998
4.752424 98.501 52.5358
4.786862 98.529 51.9748
4.821549 98.555 51.4161
4.856488 98.578 50.8593
4.891680 98.598 50.3052
4.927127 98.616 49.7554
4.962831 98.631 49.2123
4.998794 98.643 48.6787
5.035017 98.654 48.1574
5.071503 98.662 47.6509
5.108253 98.669 47.1607
5.145270 98.673 46.6876
5.182555 98.676 46.2316
5.220110 98.676 45.7923
5.257937 98.674 45.3694
5.296038 98.671 44.9629
5.334415 98.667 44.5733
5.373071 98.662 44.2014
5.412006 98.657 43.8481
5.451224 98.652 43.5148
5.490725 98.647 43.2024
5.530514 98.642 42.9116
5.570590 98.638 42.6424
5.610957 98.635 42.3939
5.651616 98.632 42.1645
5.692570 98.630 41.9521
5.733821 98.629 41.7543
5.775370 98.630 41.5692
5.817221 98.633 41.3953
5.859375 98.639 41.2319
5.901834 98.647 41.0786
5.944602 98.657 40.9348
5.987679 98.670 40.7992
6.031068 98.685 40.6693
6.074771 98.702 40.5419
6.118792 98.721 40.4136
6.163131 98.742 40.2814
6.207792 98.765 40.1428
6.252776 98.790 39.9966
6.298086 98.817 39.8420
6.343725 98.846 39.6787
6.389694 98.876 39.5060
6.435996 98.907 39.3226
6.482634 98.938 39.1273
6.529610 98.969 38.9188
6.576926 99.000 38.6957
6.624585 99.031 38.4576
6.672590 99.060 38.2044
6.720942 99.089 37.9370
6.769645 99.117 37.6567
