* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Oct 26, 2024 2:09:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ROSESELSA EARFREE-i5
* Measurement: L ROSESELSA EARFREE-i5
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	86.025	156.8864
0.368865	86.020	156.8623
0.371538	86.013	156.8263
0.374230	86.004	156.7810
0.376942	85.993	156.7289
0.379673	85.982	156.6716
0.382424	85.971	156.6103
0.385196	85.959	156.5457
0.387987	85.947	156.4781
0.390798	85.934	156.4078
0.393630	85.922	156.3349
0.396483	85.910	156.2595
0.399356	85.897	156.1814
0.402250	85.884	156.1008
0.405165	85.872	156.0177
0.408101	85.859	155.9319
0.411058	85.846	155.8434
0.414037	85.833	155.7523
0.417037	85.820	155.6586
0.420059	85.806	155.5621
0.423103	85.793	155.4629
0.426169	85.780	155.3610
0.429257	85.766	155.2562
0.432368	85.752	155.1487
0.435501	85.739	155.0384
0.438656	85.725	154.9252
0.441835	85.711	154.8092
0.445037	85.697	154.6902
0.448262	85.683	154.5684
0.451510	85.669	154.4436
0.454782	85.654	154.3159
0.458077	85.640	154.1853
0.461397	85.625	154.0517
0.464740	85.611	153.9150
0.468108	85.596	153.7754
0.471500	85.581	153.6327
0.474917	85.566	153.4870
0.478358	85.551	153.3383
0.481825	85.536	153.1864
0.485316	85.521	153.0316
0.488833	85.505	152.8736
0.492375	85.490	152.7126
0.495943	85.474	152.5484
0.499537	85.458	152.3812
0.503157	85.443	152.2108
0.506803	85.427	152.0374
0.510475	85.411	151.8609
0.514175	85.394	151.6812
0.517900	85.378	151.4985
0.521653	85.362	151.3127
0.525434	85.345	151.1238
0.529241	85.328	150.9319
0.533076	85.312	150.7369
0.536939	85.295	150.5388
0.540830	85.278	150.3378
0.544749	85.260	150.1337
0.548696	85.243	149.9267
0.552673	85.226	149.7167
0.556677	85.208	149.5039
0.560711	85.191	149.2881
0.564774	85.173	149.0695
0.568867	85.155	148.8482
0.572989	85.137	148.6240
0.577141	85.119	148.3972
0.581324	85.100	148.1677
0.585536	85.082	147.9357
0.589779	85.063	147.7010
0.594053	85.045	147.4640
0.598358	85.026	147.2245
0.602694	85.007	146.9828
0.607061	84.988	146.7388
0.611460	84.968	146.4926
0.615891	84.949	146.2444
0.620354	84.929	145.9943
0.624849	84.910	145.7423
0.629377	84.890	145.4886
0.633938	84.870	145.2332
0.638532	84.850	144.9764
0.643159	84.830	144.7182
0.647819	84.809	144.4588
0.652514	84.789	144.1982
0.657242	84.768	143.9368
0.662005	84.747	143.6746
0.666802	84.726	143.4118
0.671634	84.705	143.1487
0.676501	84.684	142.8853
0.681403	84.662	142.6218
0.686341	84.641	142.3586
0.691314	84.619	142.0957
0.696324	84.597	141.8334
0.701370	84.574	141.5718
0.706452	84.552	141.3112
0.711571	84.529	141.0516
0.716728	84.505	140.7929
0.721921	84.481	140.5350
0.727153	84.455	140.2774
0.732422	84.428	140.0194
0.737729	84.399	139.7601
0.743075	84.368	139.4984
0.748460	84.336	139.2334
0.753883	84.303	138.9646
0.759346	84.269	138.6914
0.764849	84.234	138.4135
0.770391	84.199	138.1308
0.775974	84.163	137.8430
0.781597	84.127	137.5502
0.787261	84.090	137.2523
0.792966	84.052	136.9492
0.798712	84.015	136.6408
0.804500	83.976	136.3273
0.810329	83.937	136.0085
0.816201	83.897	135.6844
0.822116	83.857	135.3551
0.828073	83.816	135.0206
0.834074	83.775	134.6808
0.840118	83.733	134.3358
