* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: May 20, 2024 11:34:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Rose Technics QuietSea R
* Measurement: R Rose Technics QuietSea
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.898 157.2508
0.368865 83.892 157.2268
0.371538 83.883 157.1909
0.374230 83.872 157.1458
0.376942 83.859 157.0937
0.379673 83.846 157.0365
0.382424 83.832 156.9753
0.385196 83.817 156.9107
0.387987 83.803 156.8431
0.390798 83.788 156.7728
0.393630 83.773 156.6999
0.396483 83.758 156.6243
0.399356 83.743 156.5461
0.402250 83.727 156.4653
0.405165 83.712 156.3819
0.408101 83.696 156.2958
0.411058 83.681 156.2071
0.414037 83.665 156.1156
0.417037 83.649 156.0214
0.420059 83.633 155.9244
0.423103 83.617 155.8247
0.426169 83.601 155.7221
0.429257 83.584 155.6167
0.432368 83.568 155.5085
0.435501 83.551 155.3973
0.438656 83.535 155.2832
0.441835 83.518 155.1662
0.445037 83.501 155.0463
0.448262 83.484 154.9233
0.451510 83.467 154.7974
0.454782 83.449 154.6684
0.458077 83.432 154.5363
0.461397 83.414 154.4012
0.464740 83.397 154.2630
0.468108 83.379 154.1217
0.471500 83.361 153.9773
0.474917 83.343 153.8297
0.478358 83.325 153.6790
0.481825 83.306 153.5250
0.485316 83.288 153.3679
0.488833 83.269 153.2076
0.492375 83.251 153.0440
0.495943 83.232 152.8772
0.499537 83.213 152.7072
0.503157 83.193 152.5339
0.506803 83.174 152.3574
0.510475 83.155 152.1776
0.514175 83.135 151.9946
0.517900 83.115 151.8083
0.521653 83.096 151.6187
0.525434 83.076 151.4259
0.529241 83.055 151.2298
0.533076 83.035 151.0305
0.536939 83.015 150.8279
0.540830 82.994 150.6222
0.544749 82.973 150.4132
0.548696 82.953 150.2010
0.552673 82.932 149.9857
0.556677 82.910 149.7672
0.560711 82.889 149.5456
0.564774 82.867 149.3210
0.568867 82.846 149.0932
0.572989 82.824 148.8625
0.577141 82.802 148.6288
0.581324 82.780 148.3922
0.585536 82.758 148.1527
0.589779 82.735 147.9104
0.594053 82.713 147.6653
0.598358 82.690 147.4175
0.602694 82.667 147.1671
0.607061 82.644 146.9142
0.611460 82.620 146.6588
0.615891 82.597 146.4010
0.620354 82.573 146.1409
0.624849 82.550 145.8787
0.629377 82.526 145.6143
0.633938 82.502 145.3480
0.638532 82.477 145.0798
0.643159 82.453 144.8099
0.647819 82.428 144.5384
0.652514 82.403 144.2654
0.657242 82.378 143.9911
0.662005 82.353 143.7157
0.666802 82.328 143.4393
0.671634 82.302 143.1620
0.676501 82.276 142.8842
0.681403 82.250 142.6059
0.686341 82.224 142.3274
0.691314 82.198 142.0489
0.696324 82.171 141.7705
0.701370 82.144 141.4925
0.706452 82.117 141.2150
0.711571 82.089 140.9380
0.716728 82.061 140.6616
0.721921 82.031 140.3854
0.727153 81.999 140.1090
0.732422 81.966 139.8316
0.737729 81.930 139.5521
0.743075 81.893 139.2695
0.748460 81.853 138.9827
0.753883 81.813 138.6911
0.759346 81.771 138.3940
0.764849 81.728 138.0911
0.770391 81.685 137.7822
0.775974 81.641 137.4670
0.781597 81.596 137.1455
0.787261 81.551 136.8175
0.792966 81.505 136.4829
0.798712 81.459 136.1417
0.804500 81.412 135.7938
0.810329 81.364 135.4391
0.816201 81.316 135.0775
0.822116 81.266 134.7091
0.828073 81.217 134.3336
0.834074 81.166 133.9511
0.840118 81.115 133.5616
0.846206 81.063 133.1650
0.852338 81.010 132.7612
0.858514 80.956 132.3503
0.864735 80.901 131.9322
0.871001 80.845 131.5069
0.877313 80.788 131.0744
0.883670 80.731 130.6348
0.890074 80.672 130.1881
0.896524 80.612 129.7343
0.903020 80.551 129.2735
0.909564 80.489 128.8057
0.916155 80.426 128.3310
0.922794 80.361 127.8496
0.929481 80.295 127.3616
0.936216 80.228 126.8671
0.943000 80.159 126.3662
0.949834 80.089 125.8593
0.956717 80.018 125.3465
0.963649 79.945 124.8280
0.970632 79.870 124.3042
0.977666 79.794 123.7753
0.984750 79.716 123.2417
0.991886 79.637 122.7038
0.999074 79.555 122.1620
1.006314 79.472 121.6167
1.013606 79.387 121.0685
1.020951 79.300 120.5179
1.028349 79.210 119.9654
1.035801 79.119 119.4118
1.043307 79.026 118.8577
1.050867 78.930 118.3037
1.058482 78.832 117.7507
1.066152 78.731 117.1993
1.073878 78.628 116.6500
1.081660 78.522 116.1034
1.089498 78.414 115.5596
1.097393 78.303 115.0183
1.105345 78.189 114.4790
1.113355 78.071 113.9406
1.121423 77.951 113.4023
1.129549 77.827 112.8631
1.137734 77.700 112.3221
1.145979 77.570 111.7786
1.154283 77.437 111.2318
1.162647 77.300 110.6810
1.171072 77.160 110.1257
1.179558 77.017 109.5651
1.188106 76.871 108.9986
1.196715 76.721 108.4253
1.205387 76.569 107.8445
1.214122 76.414 107.2555
1.222920 76.255 106.6573
1.231782 76.094 106.0491
1.240708 75.930 105.4300
1.249699 75.763 104.7988
1.258754 75.594 104.1546
1.267876 75.421 103.4962
1.277063 75.247 102.8224
1.286318 75.070 102.1321
1.295639 74.890 101.4239
1.305027 74.708 100.6963
1.314484 74.525 99.9481
1.324009 74.339 99.1776
1.333604 74.151 98.3832
1.343268 73.961 97.5635
1.353002 73.769 96.7166
1.362806 73.576 95.8408
1.372681 73.382 94.9345
1.382628 73.186 93.9958
1.392647 72.989 93.0232
1.402739 72.791 92.0148
1.412904 72.591 90.9692
1.423142 72.391 89.8850
1.433455 72.189 88.7608
1.443843 71.985 87.5955
1.454305 71.779 86.3878
1.464844 71.570 85.1363
1.475459 71.355 83.8388
1.486150 71.133 82.4925
1.496920 70.904 81.0931
1.507767 70.667 79.6355
1.518693 70.421 78.1136
1.529698 70.167 76.5202
1.540783 69.906 74.8473
1.551948 69.637 73.0860
1.563194 69.362 71.2260
1.574521 69.082 69.2564
1.585931 68.798 67.1649
1.597423 68.511 64.9382
1.608999 68.222 62.5618
1.620658 67.932 60.0205
1.632402 67.643 57.2984
1.644232 67.356 54.3795
1.656146 67.072 51.2486
1.668147 66.794 47.8920
1.680235 66.523 44.2993
1.692411 66.259 40.4654
1.704675 66.007 36.3919
1.717028 65.766 32.0899
1.729470 65.539 27.5820
1.742003 65.329 22.9023
1.754626 65.137 18.0970
1.767341 64.966 13.2217
1.780147 64.819 8.3369
1.793047 64.697 3.5029
1.806040 64.603 -1.2270
1.819128 64.539 -5.8115
1.832310 64.508 -10.2245
1.845587 64.511 -14.4548
1.858961 64.549 -18.5015
1.872432 64.621 -22.3691
1.886001 64.726 -26.0640
1.899667 64.864 -29.5920
1.913433 65.031 -32.9585
1.927299 65.226 -36.1684
1.941265 65.447 -39.2258
1.955332 65.690 -42.1350
1.969501 65.953 -44.8998
1.983773 66.232 -47.5241
1.998148 66.525 -50.0116
2.012627 66.829 -52.3660
2.027212 67.140 -54.5907
2.041902 67.455 -56.6892
2.056698 67.771 -58.6646
2.071602 68.085 -60.5199
2.086614 68.393 -62.2582
2.101734 68.692 -63.8822
2.116964 68.978 -65.3954
2.132304 69.249 -66.8012
2.147756 69.503 -68.1044
2.163320 69.738 -69.3115
2.178996 69.952 -70.4311
2.194786 70.147 -71.4742
2.210690 70.325 -72.4541
2.226710 70.486 -73.3839
2.242845 70.634 -74.2746
2.259098 70.771 -75.1342
2.275468 70.897 -75.9677
2.291957 71.014 -76.7777
2.308566 71.122 -77.5652
2.325295 71.223 -78.3299
2.342145 71.316 -79.0705
2.359117 71.402 -79.7853
2.376212 71.483 -80.4718
2.393431 71.557 -81.1274
2.410775 71.627 -81.7487
2.428244 71.692 -82.3325
2.445840 71.754 -82.8749
2.463564 71.812 -83.3721
2.481416 71.868 -83.8202
2.499397 71.921 -84.2157
2.517509 71.971 -84.5556
2.535752 72.020 -84.8380
2.554127 72.065 -85.0623
2.572635 72.106 -85.2296
2.591277 72.142 -85.3423
2.610055 72.173 -85.4033
2.628968 72.197 -85.4150
2.648019 72.214 -85.3794
2.667208 72.227 -85.2980
2.686535 72.234 -85.1717
2.706003 72.237 -85.0012
2.725612 72.237 -84.7869
2.745363 72.236 -84.5294
2.765257 72.234 -84.2289
2.785295 72.233 -83.8862
2.805478 72.234 -83.5018
2.825808 72.239 -83.0765
2.846285 72.250 -82.6109
2.866910 72.266 -82.1054
2.887685 72.290 -81.5599
2.908611 72.322 -80.9734
2.929688 72.362 -80.3438
2.950917 72.409 -79.6690
2.972301 72.463 -78.9471
2.993839 72.524 -78.1787
3.015534 72.591 -77.3666
3.037386 72.664 -76.5156
3.059396 72.742 -75.6328
3.081565 72.826 -74.7259
3.103896 72.915 -73.8039
3.126388 73.010 -72.8761
3.149043 73.110 -71.9519
3.171862 73.216 -71.0405
3.194847 73.328 -70.1505
3.217998 73.445 -69.2890
3.241317 73.570 -68.4617
3.264805 73.701 -67.6714
3.288463 73.839 -66.9184
3.312293 73.986 -66.2006
3.336295 74.141 -65.5150
3.360471 74.305 -64.8595
3.384822 74.476 -64.2338
3.409350 74.655 -63.6396
3.434056 74.840 -63.0797
3.458940 75.030 -62.5576
3.484005 75.223 -62.0768
3.509252 75.419 -61.6409
3.534681 75.614 -61.2530
3.560295 75.809 -60.9160
3.586094 76.002 -60.6318
3.612081 76.191 -60.4017
3.638255 76.377 -60.2259
3.664620 76.560 -60.1034
3.691175 76.739 -60.0319
3.717923 76.916 -60.0084
3.744864 77.090 -60.0288
3.772001 77.262 -60.0892
3.799335 77.432 -60.1853
3.826866 77.599 -60.3131
3.854597 77.763 -60.4690
3.882529 77.924 -60.6496
3.910664 78.081 -60.8520
3.939002 78.233 -61.0742
3.967546 78.380 -61.3148
3.996296 78.522 -61.5737
4.025255 78.659 -61.8515
4.054423 78.790 -62.1493
4.083804 78.915 -62.4680
4.113396 79.034 -62.8069
4.143204 79.149 -63.1641
4.173227 79.258 -63.5363
4.203468 79.361 -63.9197
4.233928 79.461 -64.3098
4.264609 79.555 -64.7025
4.295512 79.645 -65.0938
4.326639 79.730 -65.4812
4.357992 79.810 -65.8628
4.389572 79.886 -66.2389
4.421380 79.958 -66.6105
4.453419 80.024 -66.9792
4.485691 80.084 -67.3456
4.518196 80.141 -67.7093
4.550936 80.192 -68.0683
4.583914 80.240 -68.4197
4.617131 80.284 -68.7603
4.650589 80.325 -69.0862
4.684289 80.363 -69.3941
4.718233 80.399 -69.6814
4.752424 80.433 -69.9463
4.786862 80.464 -70.1884
4.821549 80.493 -70.4081
4.856488 80.520 -70.6066
4.891680 80.545 -70.7846
4.927127 80.567 -70.9431
4.962831 80.589 -71.0825
4.998794 80.611 -71.2031
5.035017 80.634 -71.3045
5.071503 80.657 -71.3865
5.108253 80.682 -71.4482
5.145270 80.709 -71.4890
5.182555 80.737 -71.5088
5.220110 80.768 -71.5086
5.257937 80.800 -71.4908
5.296038 80.834 -71.4588
5.334415 80.871 -71.4167
5.373071 80.910 -71.3688
5.412006 80.952 -71.3189
5.451224 80.998 -71.2699
5.490725 81.048 -71.2234
5.530514 81.101 -71.1803
5.570590 81.158 -71.1411
5.610957 81.219 -71.1073
5.651616 81.283 -71.0814
5.692570 81.351 -71.0669
5.733821 81.420 -71.0677
5.775370 81.492 -71.0874
5.817221 81.565 -71.1291
5.859375 81.641 -71.1946
5.901834 81.718 -71.2848
5.944602 81.796 -71.3992
5.987679 81.876 -71.5376
6.031068 81.956 -71.6996
6.074771 82.037 -71.8849
6.118792 82.117 -72.0939
6.163131 82.197 -72.3267
6.207792 82.275 -72.5838
6.252776 82.352 -72.8652
6.298086 82.427 -73.1704
6.343725 82.500 -73.4978
6.389694 82.572 -73.8450
6.435996 82.641 -74.2090
6.482634 82.708 -74.5869
6.529610 82.773 -74.9763
6.576926 82.835 -75.3753
6.624585 82.894 -75.7830
6.672590 82.950 -76.1985
6.720942 83.004 -76.6205
