* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Aug 13, 2024 12:04:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SIVGA QUE L
* Measurement: L SIVGA QUE
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.096 169.4651
0.368865 81.093 169.4511
0.371538 81.087 169.4301
0.374230 81.080 169.4039
0.376942 81.072 169.3737
0.379673 81.064 169.3407
0.382424 81.055 169.3054
0.385196 81.046 169.2684
0.387987 81.036 169.2299
0.390798 81.027 169.1899
0.393630 81.018 169.1486
0.396483 81.008 169.1060
0.399356 80.999 169.0620
0.402250 80.989 169.0167
0.405165 80.979 168.9701
0.408101 80.969 168.9222
0.411058 80.960 168.8729
0.414037 80.950 168.8223
0.417037 80.940 168.7703
0.420059 80.929 168.7169
0.423103 80.919 168.6621
0.426169 80.909 168.6059
0.429257 80.899 168.5483
0.432368 80.888 168.4892
0.435501 80.878 168.4287
0.438656 80.867 168.3667
0.441835 80.857 168.3033
0.445037 80.846 168.2384
0.448262 80.835 168.1720
0.451510 80.824 168.1041
0.454782 80.814 168.0346
0.458077 80.802 167.9637
0.461397 80.791 167.8912
0.464740 80.780 167.8172
0.468108 80.769 167.7416
0.471500 80.758 167.6644
0.474917 80.746 167.5857
0.478358 80.735 167.5054
0.481825 80.723 167.4235
0.485316 80.712 167.3400
0.488833 80.700 167.2549
0.492375 80.688 167.1681
0.495943 80.676 167.0798
0.499537 80.664 166.9898
0.503157 80.652 166.8982
0.506803 80.640 166.8050
0.510475 80.628 166.7101
0.514175 80.615 166.6136
0.517900 80.603 166.5154
0.521653 80.590 166.4155
0.525434 80.578 166.3141
0.529241 80.565 166.2109
0.533076 80.552 166.1061
0.536939 80.539 165.9997
0.540830 80.526 165.8916
0.544749 80.513 165.7818
0.548696 80.500 165.6704
0.552673 80.487 165.5573
0.556677 80.473 165.4426
0.560711 80.460 165.3262
0.564774 80.446 165.2083
0.568867 80.433 165.0886
0.572989 80.419 164.9674
0.577141 80.405 164.8446
0.581324 80.391 164.7201
0.585536 80.377 164.5941
0.589779 80.363 164.4665
0.594053 80.348 164.3374
0.598358 80.334 164.2067
0.602694 80.320 164.0745
0.607061 80.305 163.9408
0.611460 80.290 163.8056
0.615891 80.275 163.6689
0.620354 80.261 163.5308
0.624849 80.246 163.3913
0.629377 80.230 163.2504
0.633938 80.215 163.1081
0.638532 80.200 162.9645
0.643159 80.184 162.8197
0.647819 80.169 162.6736
0.652514 80.153 162.5262
0.657242 80.137 162.3777
0.662005 80.122 162.2281
0.666802 80.105 162.0773
0.671634 80.089 161.9256
0.676501 80.073 161.7728
0.681403 80.057 161.6191
0.686341 80.040 161.4645
0.691314 80.024 161.3091
0.696324 80.007 161.1529
0.701370 79.990 160.9959
0.706452 79.972 160.8383
0.711571 79.955 160.6799
0.716728 79.936 160.5207
0.721921 79.917 160.3605
0.727153 79.897 160.1991
0.732422 79.875 160.0360
0.737729 79.852 159.8707
0.743075 79.827 159.7028
0.748460 79.800 159.5317
0.753883 79.773 159.3570
0.759346 79.745 159.1786
0.764849 79.716 158.9963
0.770391 79.687 158.8099
0.775974 79.658 158.6194
0.781597 79.628 158.4247
0.787261 79.598 158.2258
0.792966 79.567 158.0226
0.798712 79.536 157.8151
0.804500 79.504 157.6033
0.810329 79.472 157.3872
0.816201 79.440 157.1666
0.822116 79.407 156.9417
0.828073 79.374 156.7123
0.834074 79.340 156.4785
0.840118 79.305 156.2403
0.846206 79.270 155.9975
0.852338 79.234 155.7503
0.858514 79.198 155.4987
0.864735 79.161 155.2425
0.871001 79.123 154.9818
0.877313 79.085 154.7166
0.883670 79.046 154.4470
0.890074 79.006 154.1728
0.896524 78.965 153.8942
0.903020 78.923 153.6111
0.909564 78.881 153.3236
0.916155 78.837 153.0317
0.922794 78.793 152.7354
0.929481 78.747 152.4348
0.936216 78.701 152.1299
0.943000 78.653 151.8207
0.949834 78.605 151.5073
0.956717 78.555 151.1898
0.963649 78.503 150.8682
0.970632 78.451 150.5427
0.977666 78.397 150.2132
0.984750 78.342 149.8799
0.991886 78.286 149.5429
0.999074 78.228 149.2023
1.006314 78.168 148.8582
1.013606 78.107 148.5107
1.020951 78.044 148.1601
1.028349 77.980 147.8064
1.035801 77.914 147.4498
1.043307 77.846 147.0904
1.050867 77.776 146.7285
1.058482 77.704 146.3641
1.066152 77.630 145.9974
1.073878 77.553 145.6282
1.081660 77.475 145.2565
1.089498 77.394 144.8819
1.097393 77.311 144.5036
1.105345 77.224 144.1208
1.113355 77.135 143.7325
1.121423 77.043 143.3377
1.129549 76.947 142.9355
1.137734 76.849 142.5252
1.145979 76.747 142.1062
1.154283 76.642 141.6779
1.162647 76.534 141.2399
1.171072 76.422 140.7918
1.179558 76.308 140.3331
1.188106 76.191 139.8633
1.196715 76.071 139.3819
1.205387 75.949 138.8884
1.214122 75.823 138.3824
1.222920 75.695 137.8631
1.231782 75.565 137.3301
1.240708 75.433 136.7827
1.249699 75.298 136.2204
1.258754 75.161 135.6422
1.267876 75.022 135.0476
1.277063 74.882 134.4358
1.286318 74.740 133.8060
1.295639 74.596 133.1572
1.305027 74.451 132.4887
1.314484 74.305 131.7993
1.324009 74.158 131.0882
1.333604 74.011 130.3541
1.343268 73.862 129.5960
1.353002 73.714 128.8126
1.362806 73.565 128.0027
1.372681 73.416 127.1648
1.382628 73.268 126.2974
1.392647 73.120 125.3990
1.402739 72.973 124.4678
1.412904 72.826 123.5019
1.423142 72.681 122.4991
1.433455 72.536 121.4566
1.443843 72.392 120.3714
1.454305 72.248 119.2394
1.464844 72.103 118.0556
1.475459 71.955 116.8141
1.486150 71.805 115.5081
1.496920 71.649 114.1306
1.507767 71.489 112.6743
1.518693 71.324 111.1318
1.529698 71.154 109.4956
1.540783 70.979 107.7577
1.551948 70.801 105.9099
1.563194 70.619 103.9436
1.574521 70.435 101.8501
1.585931 70.249 99.6203
1.597423 70.063 97.2453
1.608999 69.878 94.7164
1.620658 69.693 92.0258
1.632402 69.512 89.1666
1.644232 69.334 86.1341
1.656146 69.160 82.9258
1.668147 68.993 79.5427
1.680235 68.834 75.9897
1.692411 68.683 72.2767
1.704675 68.542 68.4188
1.717028 68.413 64.4364
1.729470 68.298 60.3553
1.742003 68.198 56.2053
1.754626 68.115 52.0191
1.767341 68.050 47.8306
1.780147 68.006 43.6727
1.793047 67.985 39.5751
1.806040 67.989 35.5633
1.819128 68.019 31.6569
1.832310 68.078 27.8700
1.845587 68.166 24.2118
1.858961 68.285 20.6889
1.872432 68.434 17.3059
1.886001 68.612 14.0666
1.899667 68.819 10.9733
1.913433 69.052 8.0266
1.927299 69.309 5.2255
1.941265 69.590 2.5673
1.955332 69.890 0.0481
1.969501 70.208 -2.3372
1.983773 70.541 -4.5943
1.998148 70.887 -6.7298
2.012627 71.243 -8.7500
2.027212 71.606 -10.6619
2.041902 71.974 -12.4720
2.056698 72.343 -14.1868
2.071602 72.710 -15.8126
2.086614 73.074 -17.3555
2.101734 73.430 -18.8213
2.116964 73.777 -20.2157
2.132304 74.112 -21.5444
2.147756 74.432 -22.8129
2.163320 74.737 -24.0272
2.178996 75.027 -25.1935
2.194786 75.301 -26.3182
2.210690 75.562 -27.4079
2.226710 75.811 -28.4682
2.242845 76.051 -29.5035
2.259098 76.283 -30.5166
2.275468 76.508 -31.5091
2.291957 76.727 -32.4817
2.308566 76.940 -33.4347
2.325295 77.148 -34.3680
2.342145 77.351 -35.2812
2.359117 77.550 -36.1740
2.376212 77.744 -37.0461
2.393431 77.934 -37.8971
2.410775 78.120 -38.7266
2.428244 78.302 -39.5344
2.445840 78.481 -40.3203
2.463564 78.657 -41.0841
2.481416 78.831 -41.8260
2.499397 79.001 -42.5465
2.517509 79.169 -43.2465
2.535752 79.334 -43.9277
2.554127 79.497 -44.5924
2.572635 79.655 -45.2436
2.591277 79.810 -45.8844
2.610055 79.961 -46.5175
2.628968 80.106 -47.1446
2.648019 80.248 -47.7663
2.667208 80.384 -48.3826
2.686535 80.516 -48.9930
2.706003 80.644 -49.5965
2.725612 80.768 -50.1921
2.745363 80.889 -50.7786
2.765257 81.006 -51.3545
2.785295 81.120 -51.9188
2.805478 81.232 -52.4699
2.825808 81.341 -53.0069
2.846285 81.449 -53.5287
2.866910 81.555 -54.0346
2.887685 81.659 -54.5245
2.908611 81.762 -54.9989
2.929688 81.863 -55.4591
2.950917 81.961 -55.9067
2.972301 82.057 -56.3437
2.993839 82.150 -56.7716
3.015534 82.241 -57.1913
3.037386 82.328 -57.6030
3.059396 82.412 -58.0065
3.081565 82.494 -58.4012
3.103896 82.574 -58.7865
3.126388 82.652 -59.1612
3.149043 82.728 -59.5245
3.171862 82.802 -59.8751
3.194847 82.876 -60.2120
3.217998 82.949 -60.5342
3.241317 83.021 -60.8407
3.264805 83.093 -61.1310
3.288463 83.164 -61.4047
3.312293 83.234 -61.6622
3.336295 83.303 -61.9040
3.360471 83.371 -62.1309
3.384822 83.438 -62.3437
3.409350 83.503 -62.5433
3.434056 83.567 -62.7304
3.458940 83.631 -62.9058
3.484005 83.694 -63.0702
3.509252 83.757 -63.2241
3.534681 83.820 -63.3680
3.560295 83.883 -63.5023
3.586094 83.947 -63.6271
3.612081 84.012 -63.7425
3.638255 84.077 -63.8481
3.664620 84.144 -63.9434
3.691175 84.212 -64.0278
3.717923 84.281 -64.1012
3.744864 84.350 -64.1638
3.772001 84.420 -64.2165
3.799335 84.491 -64.2608
3.826866 84.562 -64.2983
3.854597 84.635 -64.3309
3.882529 84.708 -64.3606
3.910664 84.783 -64.3892
3.939002 84.858 -64.4184
3.967546 84.935 -64.4494
3.996296 85.014 -64.4827
4.025255 85.094 -64.5183
4.054423 85.176 -64.5558
4.083804 85.259 -64.5946
4.113396 85.343 -64.6345
4.143204 85.429 -64.6760
4.173227 85.517 -64.7202
4.203468 85.605 -64.7687
4.233928 85.695 -64.8231
4.264609 85.785 -64.8853
4.295512 85.875 -64.9570
4.326639 85.966 -65.0397
4.357992 86.058 -65.1342
4.389572 86.149 -65.2411
4.421380 86.241 -65.3603
4.453419 86.333 -65.4913
4.485691 86.426 -65.6335
4.518196 86.519 -65.7866
4.550936 86.612 -65.9501
4.583914 86.705 -66.1240
4.617131 86.797 -66.3084
4.650589 86.889 -66.5033
4.684289 86.980 -66.7091
4.718233 87.070 -66.9262
4.752424 87.159 -67.1547
4.786862 87.246 -67.3949
4.821549 87.332 -67.6468
4.856488 87.417 -67.9098
4.891680 87.501 -68.1829
4.927127 87.584 -68.4650
4.962831 87.665 -68.7548
4.998794 87.745 -69.0508
5.035017 87.823 -69.3520
5.071503 87.899 -69.6577
5.108253 87.974 -69.9674
5.145270 88.047 -70.2813
5.182555 88.118 -70.5995
5.220110 88.187 -70.9219
5.257937 88.254 -71.2479
5.296038 88.320 -71.5763
5.334415 88.384 -71.9057
5.373071 88.446 -72.2345
5.412006 88.507 -72.5614
5.451224 88.567 -72.8853
5.490725 88.626 -73.2056
5.530514 88.683 -73.5221
5.570590 88.739 -73.8349
5.610957 88.794 -74.1443
5.651616 88.847 -74.4499
5.692570 88.900 -74.7514
5.733821 88.952 -75.0483
5.775370 89.004 -75.3399
5.817221 89.055 -75.6256
5.859375 89.107 -75.9049
5.901834 89.158 -76.1779
5.944602 89.210 -76.4446
5.987679 89.261 -76.7058
6.031068 89.313 -76.9621
6.074771 89.365 -77.2145
6.118792 89.418 -77.4637
6.163131 89.472 -77.7103
6.207792 89.526 -77.9548
6.252776 89.582 -78.1974
6.298086 89.638 -78.4384
6.343725 89.696 -78.6785
6.389694 89.755 -78.9185
6.435996 89.814 -79.1599
6.482634 89.875 -79.4040
6.529610 89.937 -79.6519
6.576926 90.000 -79.9047
6.624585 90.064 -80.1628
6.672590 90.128 -80.4266
6.720942 90.194 -80.6963
6.769645 90.261 -80.9723
