* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jun 18, 2025 11:44:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L Shortbus Audio Nobody
* Measurement: L Shortbus Audio Nobody
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.885 156.2557
0.368865 94.879 156.2309
0.371538 94.871 156.1937
0.374230 94.860 156.1470
0.376942 94.848 156.0932
0.379673 94.835 156.0341
0.382424 94.821 155.9707
0.385196 94.808 155.9039
0.387987 94.794 155.8340
0.390798 94.779 155.7613
0.393630 94.765 155.6858
0.396483 94.750 155.6076
0.399356 94.736 155.5267
0.402250 94.721 155.4431
0.405165 94.706 155.3568
0.408101 94.691 155.2677
0.411058 94.676 155.1758
0.414037 94.661 155.0811
0.417037 94.645 154.9836
0.420059 94.630 154.8832
0.423103 94.614 154.7800
0.426169 94.599 154.6738
0.429257 94.583 154.5647
0.432368 94.567 154.4526
0.435501 94.551 154.3376
0.438656 94.535 154.2195
0.441835 94.519 154.0984
0.445037 94.502 153.9742
0.448262 94.486 153.8469
0.451510 94.469 153.7166
0.454782 94.453 153.5831
0.458077 94.436 153.4464
0.461397 94.419 153.3066
0.464740 94.402 153.1636
0.468108 94.385 153.0173
0.471500 94.367 152.8679
0.474917 94.350 152.7151
0.478358 94.332 152.5592
0.481825 94.315 152.3999
0.485316 94.297 152.2374
0.488833 94.279 152.0715
0.492375 94.261 151.9024
0.495943 94.243 151.7299
0.499537 94.224 151.5541
0.503157 94.206 151.3750
0.506803 94.187 151.1925
0.510475 94.168 151.0066
0.514175 94.149 150.8174
0.517900 94.130 150.6249
0.521653 94.111 150.4290
0.525434 94.092 150.2298
0.529241 94.073 150.0273
0.533076 94.053 149.8215
0.536939 94.033 149.6123
0.540830 94.013 149.3999
0.544749 93.993 149.1842
0.548696 93.973 148.9652
0.552673 93.953 148.7431
0.556677 93.933 148.5177
0.560711 93.912 148.2892
0.564774 93.891 148.0575
0.568867 93.870 147.8228
0.572989 93.849 147.5850
0.577141 93.828 147.3442
0.581324 93.807 147.1005
0.585536 93.785 146.8539
0.589779 93.764 146.6045
0.594053 93.742 146.3523
0.598358 93.720 146.0974
0.602694 93.698 145.8399
0.607061 93.675 145.5799
0.611460 93.653 145.3174
0.615891 93.630 145.0526
0.620354 93.607 144.7856
0.624849 93.585 144.5164
0.629377 93.561 144.2452
0.633938 93.538 143.9720
0.638532 93.515 143.6971
0.643159 93.491 143.4206
0.647819 93.467 143.1425
0.652514 93.443 142.8632
0.657242 93.419 142.5826
0.662005 93.395 142.3010
0.666802 93.370 142.0186
0.671634 93.346 141.7355
0.676501 93.321 141.4520
0.681403 93.296 141.1682
0.686341 93.271 140.8844
0.691314 93.245 140.6008
0.696324 93.219 140.3176
0.701370 93.193 140.0350
0.706452 93.167 139.7531
0.711571 93.140 139.4720
0.716728 93.113 139.1917
0.721921 93.084 138.9119
0.727153 93.054 138.6322
0.732422 93.021 138.3516
0.737729 92.987 138.0692
0.743075 92.951 137.7839
0.748460 92.913 137.4945
0.753883 92.874 137.2004
0.759346 92.834 136.9010
0.764849 92.793 136.5960
0.770391 92.751 136.2851
0.775974 92.709 135.9680
0.781597 92.666 135.6448
0.787261 92.623 135.3153
0.792966 92.579 134.9794
0.798712 92.534 134.6371
0.804500 92.489 134.2882
0.810329 92.444 133.9328
0.816201 92.398 133.5708
0.822116 92.351 133.2021
0.828073 92.303 132.8268
0.834074 92.255 132.4447
0.840118 92.206 132.0558
0.846206 92.156 131.6603
0.852338 92.105 131.2579
0.858514 92.053 130.8488
0.864735 92.001 130.4330
0.871001 91.948 130.0103
0.877313 91.894 129.5811
0.883670 91.838 129.1451
0.890074 91.782 128.7026
0.896524 91.725 128.2535
0.903020 91.667 127.7980
0.909564 91.607 127.3363
0.916155 91.546 126.8683
0.922794 91.484 126.3943
0.929481 91.421 125.9144
0.936216 91.357 125.4288
0.943000 91.291 124.9378
0.949834 91.224 124.4415
0.956717 91.155 123.9403
0.963649 91.085 123.4345
0.970632 91.013 122.9243
0.977666 90.939 122.4102
0.984750 90.864 121.8926
0.991886 90.787 121.3718
0.999074 90.709 120.8484
1.006314 90.628 120.3229
1.013606 90.546 119.7959
1.020951 90.461 119.2679
1.028349 90.375 118.7397
1.035801 90.286 118.2119
1.043307 90.195 117.6853
1.050867 90.102 117.1606
1.058482 90.007 116.6388
1.066152 89.909 116.1204
1.073878 89.809 115.6064
1.081660 89.707 115.0970
1.089498 89.603 114.5927
1.097393 89.498 114.0933
1.105345 89.391 113.5983
1.113355 89.283 113.1070
1.121423 89.175 112.6185
1.129549 89.067 112.1320
1.137734 88.958 111.6469
1.145979 88.849 111.1624
1.154283 88.740 110.6782
1.162647 88.631 110.1936
1.171072 88.520 109.7083
1.179558 88.409 109.2218
1.188106 88.296 108.7336
1.196715 88.182 108.2432
1.205387 88.067 107.7502
1.214122 87.949 107.2540
1.222920 87.829 106.7541
1.231782 87.706 106.2500
1.240708 87.580 105.7411
1.249699 87.451 105.2268
1.258754 87.318 104.7064
1.267876 87.180 104.1794
1.277063 87.039 103.6450
1.286318 86.892 103.1027
1.295639 86.740 102.5515
1.305027 86.582 101.9909
1.314484 86.419 101.4199
1.324009 86.248 100.8379
1.333604 86.070 100.2441
1.343268 85.885 99.6375
1.353002 85.691 99.0175
1.362806 85.489 98.3832
1.372681 85.278 97.7338
1.382628 85.057 97.0686
1.392647 84.825 96.3869
1.402739 84.582 95.6881
1.412904 84.328 94.9717
1.423142 84.060 94.2377
1.433455 83.779 93.4860
1.443843 83.482 92.7170
1.454305 83.167 91.9313
1.464844 82.832 91.1298
1.475459 82.474 90.3136
1.486150 82.089 89.4830
1.496920 81.676 88.6378
1.507767 81.232 87.7771
1.518693 80.758 86.8991
1.529698 80.255 86.0014
1.540783 79.723 85.0810
1.551948 79.164 84.1343
1.563194 78.580 83.1570
1.574521 77.974 82.1438
1.585931 77.347 81.0888
1.597423 76.703 79.9848
1.608999 76.044 78.8231
1.620658 75.374 77.5936
1.632402 74.695 76.2838
1.644232 74.011 74.8783
1.656146 73.327 73.3584
1.668147 72.645 71.7008
1.680235 71.971 69.8759
1.692411 71.309 67.8464
1.704675 70.665 65.5646
1.717028 70.042 62.9683
1.729470 69.448 59.9768
1.742003 68.889 56.4840
1.754626 68.371 52.3513
1.767341 67.902 47.3993
1.780147 67.490 41.4040
1.793047 67.142 34.1062
1.806040 66.866 25.2577
1.819128 66.670 14.7303
1.832310 66.559 2.6948
1.845587 66.536 -10.2411
1.858961 66.603 -23.1353
1.872432 66.757 -35.0884
1.886001 66.995 -45.5789
1.899667 67.311 -54.4979
1.913433 67.699 -61.9880
1.927299 68.151 -68.2804
1.941265 68.659 -73.6050
1.955332 69.217 -78.1572
1.969501 69.816 -82.0922
1.983773 70.448 -85.5301
1.998148 71.106 -88.5630
2.012627 71.781 -91.2618
2.027212 72.466 -93.6808
2.041902 73.152 -95.8627
2.056698 73.834 -97.8409
2.071602 74.503 -99.6419
2.086614 75.152 -101.2873
2.101734 75.774 -102.7949
2.116964 76.364 -104.1798
2.132304 76.915 -105.4561
2.147756 77.423 -106.6373
2.163320 77.886 -107.7382
2.178996 78.302 -108.7752
2.194786 78.674 -109.7674
2.210690 79.004 -110.7347
2.226710 79.299 -111.6955
2.242845 79.561 -112.6633
2.259098 79.796 -113.6461
2.275468 80.005 -114.6472
2.291957 80.192 -115.6665
2.308566 80.356 -116.7012
2.325295 80.501 -117.7477
2.342145 80.626 -118.8010
2.359117 80.735 -119.8559
2.376212 80.827 -120.9069
2.393431 80.905 -121.9481
2.410775 80.969 -122.9736
2.428244 81.022 -123.9776
2.445840 81.064 -124.9539
2.463564 81.098 -125.8972
2.481416 81.124 -126.8023
2.499397 81.144 -127.6656
2.517509 81.160 -128.4852
2.535752 81.170 -129.2623
2.554127 81.176 -130.0019
2.572635 81.177 -130.7128
2.591277 81.170 -131.4058
2.610055 81.156 -132.0914
2.628968 81.131 -132.7771
2.648019 81.096 -133.4677
2.667208 81.049 -134.1646
2.686535 80.992 -134.8674
2.706003 80.922 -135.5735
2.725612 80.841 -136.2790
2.745363 80.748 -136.9785
2.765257 80.644 -137.6655
2.785295 80.528 -138.3324
2.805478 80.399 -138.9702
2.825808 80.259 -139.5692
2.846285 80.107 -140.1186
2.866910 79.942 -140.6076
2.887685 79.762 -141.0256
2.908611 79.566 -141.3638
2.929688 79.352 -141.6157
2.950917 79.117 -141.7773
2.972301 78.857 -141.8461
2.993839 78.573 -141.8194
3.015534 78.265 -141.6929
3.037386 77.934 -141.4603
3.059396 77.586 -141.1127
3.081565 77.223 -140.6390
3.103896 76.852 -140.0256
3.126388 76.478 -139.2569
3.149043 76.109 -138.3149
3.171862 75.752 -137.1797
3.194847 75.415 -135.8297
3.217998 75.105 -134.2413
3.241317 74.831 -132.3897
3.264805 74.597 -130.2482
3.288463 74.410 -127.7891
3.312293 74.271 -124.9858
3.336295 74.179 -121.8189
3.360471 74.133 -118.2867
3.384822 74.128 -114.4140
3.409350 74.163 -110.2570
3.434056 74.233 -105.9028
3.458940 74.334 -101.4628
3.484005 74.464 -97.0597
3.509252 74.619 -92.8125
3.534681 74.795 -88.8233
3.560295 74.992 -85.1676
3.586094 75.206 -81.8913
3.612081 75.437 -79.0132
3.638255 75.688 -76.5289
3.664620 75.958 -74.4175
3.691175 76.251 -72.6476
3.717923 76.567 -71.1835
3.744864 76.907 -69.9893
3.772001 77.265 -69.0310
3.799335 77.639 -68.2772
3.826866 78.021 -67.6997
3.854597 78.405 -67.2733
3.882529 78.785 -66.9764
3.910664 79.155 -66.7911
3.939002 79.508 -66.7031
3.967546 79.840 -66.7022
3.996296 80.149 -66.7822
4.025255 80.432 -66.9403
4.054423 80.691 -67.1758
4.083804 80.926 -67.4869
4.113396 81.140 -67.8688
4.143204 81.334 -68.3129
4.173227 81.510 -68.8080
4.203468 81.670 -69.3413
4.233928 81.815 -69.8997
4.264609 81.947 -70.4710
4.295512 82.065 -71.0450
4.326639 82.171 -71.6143
4.357992 82.264 -72.1756
4.389572 82.346 -72.7297
4.421380 82.415 -73.2811
4.453419 82.471 -73.8348
4.485691 82.513 -74.3932
4.518196 82.542 -74.9549
4.550936 82.558 -75.5144
4.583914 82.562 -76.0630
4.617131 82.556 -76.5902
4.650589 82.539 -77.0845
4.684289 82.514 -77.5350
4.718233 82.479 -77.9326
4.752424 82.436 -78.2713
4.786862 82.383 -78.5486
4.821549 82.321 -78.7648
4.856488 82.249 -78.9207
4.891680 82.170 -79.0166
4.927127 82.083 -79.0516
4.962831 81.992 -79.0230
4.998794 81.899 -78.9272
5.035017 81.806 -78.7591
5.071503 81.715 -78.5133
5.108253 81.628 -78.1835
5.145270 81.544 -77.7645
5.182555 81.466 -77.2532
5.220110 81.391 -76.6505
5.257937 81.322 -75.9628
5.296038 81.260 -75.2008
5.334415 81.207 -74.3793
5.373071 81.164 -73.5147
5.412006 81.135 -72.6237
5.451224 81.121 -71.7205
5.490725 81.125 -70.8160
5.530514 81.146 -69.9179
5.570590 81.185 -69.0330
5.610957 81.239 -68.1709
5.651616 81.309 -67.3446
5.692570 81.390 -66.5696
5.733821 81.481 -65.8622
5.775370 81.580 -65.2370
5.817221 81.684 -64.7054
5.859375 81.793 -64.2743
5.901834 81.906 -63.9455
5.944602 82.024 -63.7169
5.987679 82.144 -63.5844
6.031068 82.265 -63.5433
6.074771 82.384 -63.5889
6.118792 82.500 -63.7177
6.163131 82.611 -63.9272
6.207792 82.714 -64.2161
6.252776 82.808 -64.5832
6.298086 82.894 -65.0259
6.343725 82.971 -65.5382
6.389694 83.039 -66.1110
6.435996 83.098 -66.7331
6.482634 83.148 -67.3931
6.529610 83.187 -68.0817
6.576926 83.216 -68.7926
6.624585 83.234 -69.5231
6.672590 83.242 -70.2714
6.720942 83.239 -71.0343
