* Measurement data measured by REW V5.30.5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Feb 1, 2024 11:20:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EA500LM Gold 350 L
* Measurement: L Feb 1 gold 350
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 77.544 0.1240
0.368865 77.548 0.1329
0.371538 77.554 0.1463
0.374230 77.561 0.1630
0.376942 77.569 0.1820
0.379673 77.578 0.2028
0.382424 77.587 0.2248
0.385196 77.596 0.2478
0.387987 77.606 0.2716
0.390798 77.615 0.2962
0.393630 77.625 0.3215
0.396483 77.634 0.3474
0.399356 77.644 0.3740
0.402250 77.654 0.4012
0.405165 77.664 0.4291
0.408101 77.674 0.4577
0.411058 77.684 0.4870
0.414037 77.694 0.5169
0.417037 77.705 0.5475
0.420059 77.715 0.5788
0.423103 77.725 0.6108
0.426169 77.736 0.6435
0.429257 77.746 0.6768
0.432367 77.757 0.7109
0.435501 77.768 0.7457
0.438656 77.778 0.7812
0.441835 77.789 0.8174
0.445037 77.800 0.8543
0.448262 77.811 0.8919
0.451510 77.822 0.9302
0.454782 77.833 0.9693
0.458077 77.845 1.0091
0.461397 77.856 1.0496
0.464740 77.867 1.0908
0.468108 77.879 1.1328
0.471500 77.891 1.1754
0.474917 77.902 1.2189
0.478358 77.914 1.2630
0.481825 77.926 1.3078
0.485316 77.938 1.3534
0.488833 77.950 1.3997
0.492375 77.962 1.4467
0.495943 77.974 1.4945
0.499537 77.986 1.5429
0.503157 77.999 1.5921
0.506803 78.011 1.6420
0.510475 78.024 1.6925
0.514174 78.036 1.7438
0.517900 78.049 1.7958
0.521653 78.062 1.8484
0.525433 78.075 1.9017
0.529241 78.088 1.9557
0.533076 78.101 2.0104
0.536939 78.114 2.0657
0.540830 78.127 2.1216
0.544749 78.141 2.1782
0.548696 78.154 2.2354
0.552673 78.168 2.2932
0.556677 78.181 2.3516
0.560711 78.195 2.4106
0.564774 78.209 2.4702
0.568867 78.223 2.5302
0.572989 78.237 2.5909
0.577141 78.251 2.6520
0.581324 78.266 2.7137
0.585536 78.280 2.7758
0.589779 78.294 2.8384
0.594053 78.309 2.9014
0.598358 78.324 2.9648
0.602694 78.339 3.0286
0.607061 78.353 3.0928
0.611460 78.368 3.1573
0.615891 78.384 3.2221
0.620354 78.399 3.2872
0.624849 78.414 3.3526
0.629377 78.430 3.4181
0.633938 78.445 3.4839
0.638532 78.461 3.5498
0.643159 78.477 3.6159
0.647819 78.493 3.6820
0.652514 78.509 3.7481
0.657242 78.525 3.8143
0.662005 78.541 3.8805
0.666802 78.557 3.9465
0.671634 78.574 4.0125
0.676501 78.591 4.0783
0.681403 78.607 4.1439
0.686341 78.624 4.2092
0.691314 78.641 4.2743
0.696324 78.659 4.3390
0.701369 78.676 4.4034
0.706452 78.694 4.4674
0.711571 78.712 4.5310
0.716727 78.731 4.5944
0.721921 78.752 4.6577
0.727153 78.774 4.7210
0.732422 78.798 4.7848
0.737729 78.824 4.8494
0.743075 78.852 4.9152
0.748460 78.883 4.9825
0.753883 78.915 5.0515
0.759346 78.949 5.1224
0.764849 78.983 5.1950
0.770391 79.019 5.2694
0.775974 79.055 5.3454
0.781597 79.093 5.4231
0.787261 79.131 5.5022
0.792965 79.170 5.5827
0.798712 79.210 5.6644
0.804499 79.251 5.7471
0.810329 79.293 5.8308
0.816201 79.335 5.9153
0.822116 79.379 6.0004
0.828073 79.423 6.0860
0.834073 79.468 6.1720
0.840118 79.514 6.2581
0.846205 79.560 6.3442
0.852337 79.608 6.4301
0.858514 79.656 6.5156
0.864735 79.705 6.6007
0.871001 79.756 6.6851
0.877313 79.806 6.7685
0.883670 79.858 6.8509
0.890074 79.911 6.9321
0.896523 79.964 7.0118
0.903020 80.018 7.0899
0.909564 80.073 7.1661
0.916155 80.129 7.2403
0.922793 80.185 7.3122
0.929480 80.242 7.3817
0.936216 80.300 7.4486
0.943000 80.359 7.5126
0.949833 80.419 7.5735
0.956716 80.479 7.6312
0.963649 80.540 7.6853
0.970632 80.602 7.7357
0.977666 80.664 7.7822
0.984750 80.727 7.8246
0.991886 80.791 7.8625
0.999074 80.855 7.8959
1.006313 80.921 7.9245
1.013605 80.986 7.9480
1.020950 81.052 7.9663
1.028349 81.119 7.9792
1.035801 81.187 7.9863
1.043306 81.255 7.9876
1.050867 81.323 7.9829
1.058482 81.392 7.9720
1.066152 81.461 7.9548
1.073878 81.531 7.9315
1.081659 81.602 7.9021
1.089498 81.673 7.8672
1.097393 81.745 7.8274
1.105345 81.818 7.7835
1.113355 81.891 7.7364
1.121422 81.966 7.6867
1.129549 82.041 7.6351
1.137734 82.118 7.5816
1.145978 82.196 7.5265
1.154283 82.276 7.4695
1.162647 82.356 7.4108
1.171072 82.438 7.3500
1.179558 82.520 7.2870
1.188106 82.604 7.2216
1.196715 82.689 7.1537
1.205387 82.775 7.0829
1.214122 82.862 7.0090
1.222920 82.950 6.9320
1.231781 83.039 6.8514
1.240708 83.129 6.7672
1.249698 83.220 6.6791
1.258754 83.312 6.5869
1.267875 83.405 6.4903
1.277063 83.498 6.3892
1.286317 83.592 6.2833
1.295638 83.687 6.1724
1.305027 83.783 6.0563
1.314484 83.879 5.9347
1.324009 83.976 5.8075
1.333603 84.074 5.6743
1.343267 84.172 5.5351
1.353001 84.270 5.3894
1.362805 84.369 5.2371
1.372681 84.468 5.0780
1.382628 84.567 4.9119
1.392647 84.667 4.7384
1.402739 84.766 4.5575
1.412904 84.866 4.3690
1.423142 84.966 4.1727
1.433455 85.066 3.9686
1.443842 85.165 3.7570
1.454305 85.265 3.5382
1.464843 85.365 3.3128
1.475458 85.465 3.0815
1.486150 85.566 2.8451
1.496919 85.666 2.6042
1.507766 85.768 2.3593
1.518692 85.869 2.1106
1.529697 85.972 1.8582
1.540782 86.074 1.6022
1.551947 86.178 1.3425
1.563193 86.281 1.0790
1.574521 86.385 0.8116
1.585931 86.490 0.5401
1.597423 86.595 0.2644
1.608998 86.700 -0.0156
1.620658 86.806 -0.3002
1.632402 86.912 -0.5894
1.644231 87.018 -0.8836
1.656146 87.124 -1.1828
1.668147 87.231 -1.4873
1.680235 87.338 -1.7974
1.692410 87.445 -2.1131
1.704674 87.552 -2.4347
1.717027 87.659 -2.7625
1.729469 87.766 -3.0967
1.742002 87.874 -3.4376
1.754625 87.981 -3.7854
1.767340 88.088 -4.1403
1.780147 88.195 -4.5026
1.793046 88.301 -4.8725
1.806040 88.408 -5.2501
1.819127 88.514 -5.6355
1.832309 88.621 -6.0285
1.845587 88.727 -6.4291
1.858961 88.832 -6.8370
1.872431 88.938 -7.2516
1.886000 89.044 -7.6728
1.899666 89.149 -8.0999
1.913432 89.254 -8.5328
1.927298 89.360 -8.9710
1.941264 89.465 -9.4141
1.955331 89.569 -9.8619
1.969500 89.674 -10.3141
1.983772 89.779 -10.7705
1.998147 89.883 -11.2307
2.012626 89.987 -11.6945
2.027211 90.091 -12.1619
2.041901 90.195 -12.6326
2.056697 90.298 -13.1064
2.071601 90.401 -13.5834
2.086613 90.504 -14.0633
2.101733 90.607 -14.5463
2.116963 90.709 -15.0323
2.132303 90.811 -15.5214
2.147755 90.913 -16.0138
2.163318 91.015 -16.5097
2.178995 91.116 -17.0097
2.194785 91.217 -17.5143
2.210689 91.317 -18.0239
2.226709 91.417 -18.5391
2.242844 91.516 -19.0600
2.259097 91.615 -19.5866
2.275467 91.713 -20.1187
2.291956 91.810 -20.6559
2.308565 91.908 -21.1976
2.325294 92.004 -21.7433
2.342144 92.100 -22.2924
2.359116 92.196 -22.8444
2.376211 92.291 -23.3987
2.393430 92.385 -23.9548
2.410774 92.479 -24.5122
2.428243 92.573 -25.0704
2.445839 92.666 -25.6291
2.463562 92.758 -26.1878
2.481415 92.851 -26.7463
2.499396 92.942 -27.3046
2.517508 93.034 -27.8626
2.535750 93.124 -28.4208
2.554126 93.215 -28.9798
2.572634 93.304 -29.5403
2.591276 93.393 -30.1034
2.610054 93.482 -30.6697
2.628967 93.569 -31.2395
2.648018 93.656 -31.8128
2.667206 93.742 -32.3894
2.686534 93.827 -32.9686
2.706002 93.912 -33.5498
2.725610 93.995 -34.1324
2.745361 94.079 -34.7156
2.765255 94.161 -35.2986
2.785294 94.243 -35.8808
2.805477 94.325 -36.4613
2.825807 94.406 -37.0396
2.846284 94.486 -37.6152
2.866909 94.566 -38.1876
2.887684 94.646 -38.7568
2.908609 94.725 -39.3230
2.929686 94.804 -39.8869
2.950916 94.882 -40.4491
2.972299 94.959 -41.0107
2.993838 95.036 -41.5721
3.015532 95.112 -42.1338
3.037384 95.187 -42.6955
3.059394 95.261 -43.2571
3.081564 95.335 -43.8180
3.103894 95.408 -44.3777
3.126386 95.480 -44.9356
3.149041 95.553 -45.4909
3.171861 95.624 -46.0430
3.194845 95.696 -46.5914
3.217996 95.767 -47.1353
3.241315 95.838 -47.6745
3.264803 95.909 -48.2088
3.288461 95.980 -48.7382
3.312291 96.050 -49.2632
3.336293 96.120 -49.7843
3.360469 96.189 -50.3019
3.384820 96.258 -50.8166
3.409348 96.327 -51.3284
3.434054 96.395 -51.8374
3.458938 96.463 -52.3435
3.484003 96.530 -52.8465
3.509250 96.598 -53.3463
3.534679 96.665 -53.8425
3.560293 96.733 -54.3349
3.586092 96.800 -54.8232
3.612079 96.868 -55.3072
3.638253 96.936 -55.7867
3.664618 97.004 -56.2616
3.691173 97.072 -56.7320
3.717921 97.140 -57.1981
3.744862 97.208 -57.6601
3.771999 97.276 -58.1184
3.799332 97.344 -58.5732
3.826864 97.413 -59.0248
3.854595 97.481 -59.4736
3.882527 97.550 -59.9198
3.910661 97.619 -60.3636
3.938999 97.688 -60.8053
3.967543 97.758 -61.2449
3.996294 97.827 -61.6824
4.025252 97.898 -62.1179
4.054421 97.968 -62.5512
4.083801 98.039 -62.9823
4.113394 98.111 -63.4111
4.143201 98.182 -63.8379
4.173225 98.254 -64.2630
4.203466 98.327 -64.6868
4.233926 98.399 -65.1097
4.264606 98.472 -65.5321
4.295509 98.545 -65.9544
4.326636 98.618 -66.3771
4.357989 98.691 -66.8003
4.389569 98.765 -67.2242
4.421378 98.839 -67.6489
4.453417 98.913 -68.0742
4.485688 98.987 -68.5001
4.518193 99.062 -68.9265
4.550934 99.136 -69.3534
4.583912 99.211 -69.7809
4.617129 99.285 -70.2092
4.650587 99.360 -70.6383
4.684287 99.434 -71.0684
4.718231 99.508 -71.4998
4.752421 99.583 -71.9326
4.786859 99.656 -72.3670
4.821547 99.730 -72.8030
4.856485 99.804 -73.2404
4.891677 99.877 -73.6791
4.927125 99.950 -74.1188
4.962829 100.022 -74.5591
4.998791 100.094 -74.9996
5.035015 100.166 -75.4401
5.071500 100.238 -75.8805
5.108251 100.309 -76.3208
5.145267 100.379 -76.7609
5.182552 100.449 -77.2011
5.220107 100.518 -77.6414
5.257934 100.587 -78.0815
5.296035 100.655 -78.5210
5.334412 100.723 -78.9596
5.373067 100.790 -79.3967
5.412003 100.857 -79.8318
5.451221 100.924 -80.2647
5.490722 100.990 -80.6951
5.530510 101.055 -81.1232
5.570587 101.120 -81.5490
5.610953 101.185 -81.9725
5.651613 101.249 -82.3938
5.692567 101.313 -82.8126
5.733818 101.376 -83.2288
5.775367 101.439 -83.6421
5.817218 101.502 -84.0523
5.859372 101.565 -84.4594
5.901831 101.628 -84.8632
5.944598 101.691 -85.2640
5.987675 101.753 -85.6620
6.031065 101.816 -86.0575
6.074768 101.878 -86.4507
6.118788 101.940 -86.8420
6.163127 102.003 -87.2314
6.207788 102.065 -87.6193
6.252772 102.128 -88.0057
6.298082 102.191 -88.3907
6.343721 102.254 -88.7746
6.389690 102.317 -89.1577
6.435992 102.380 -89.5406
6.482630 102.443 -89.9237
6.529606 102.507 -90.3075
6.576922 102.570 -90.6924
6.624581 102.634 -91.0786
