* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 9, 2024 12:24:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot EM10 L
* Measurement: L Simgot EM10
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.999 170.6092
0.368865 84.994 170.5978
0.371538 84.988 170.5807
0.374230 84.980 170.5594
0.376942 84.972 170.5348
0.379673 84.962 170.5078
0.382424 84.952 170.4790
0.385196 84.942 170.4487
0.387987 84.932 170.4170
0.390798 84.921 170.3842
0.393630 84.911 170.3502
0.396483 84.900 170.3150
0.399356 84.890 170.2788
0.402250 84.879 170.2414
0.405165 84.868 170.2028
0.408101 84.857 170.1631
0.411058 84.846 170.1222
0.414037 84.835 170.0802
0.417037 84.824 170.0370
0.420059 84.812 169.9925
0.423103 84.801 169.9469
0.426169 84.790 169.9001
0.429257 84.778 169.8521
0.432368 84.767 169.8028
0.435501 84.755 169.7523
0.438656 84.743 169.7005
0.441835 84.731 169.6476
0.445037 84.719 169.5933
0.448262 84.707 169.5377
0.451510 84.695 169.4809
0.454782 84.683 169.4228
0.458077 84.671 169.3634
0.461397 84.658 169.3027
0.464740 84.646 169.2407
0.468108 84.633 169.1774
0.471500 84.621 169.1128
0.474917 84.608 169.0468
0.478358 84.595 168.9795
0.481825 84.582 168.9109
0.485316 84.569 168.8409
0.488833 84.556 168.7696
0.492375 84.543 168.6970
0.495943 84.530 168.6230
0.499537 84.516 168.5476
0.503157 84.503 168.4709
0.506803 84.489 168.3928
0.510475 84.476 168.3134
0.514175 84.462 168.2326
0.517900 84.448 168.1505
0.521653 84.434 168.0670
0.525434 84.420 167.9822
0.529241 84.406 167.8960
0.533076 84.391 167.8085
0.536939 84.377 167.7197
0.540830 84.362 167.6295
0.544749 84.348 167.5380
0.548696 84.333 167.4451
0.552673 84.318 167.3510
0.556677 84.303 167.2556
0.560711 84.288 167.1588
0.564774 84.273 167.0608
0.568867 84.258 166.9616
0.572989 84.243 166.8611
0.577141 84.227 166.7593
0.581324 84.212 166.6564
0.585536 84.196 166.5522
0.589779 84.180 166.4469
0.594053 84.164 166.3404
0.598358 84.148 166.2328
0.602694 84.132 166.1240
0.607061 84.116 166.0142
0.611460 84.099 165.9034
0.615891 84.083 165.7915
0.620354 84.066 165.6786
0.624849 84.049 165.5648
0.629377 84.033 165.4501
0.633938 84.016 165.3345
0.638532 83.998 165.2180
0.643159 83.981 165.1008
0.647819 83.964 164.9828
0.652514 83.946 164.8641
0.657242 83.929 164.7448
0.662005 83.911 164.6249
0.666802 83.893 164.5045
0.671634 83.875 164.3836
0.676501 83.857 164.2623
0.681403 83.839 164.1407
0.686341 83.820 164.0188
0.691314 83.802 163.8967
0.696324 83.783 163.7744
0.701370 83.764 163.6521
0.706452 83.745 163.5298
0.711571 83.725 163.4074
0.716728 83.705 163.2850
0.721921 83.683 163.1624
0.727153 83.661 163.0393
0.732422 83.636 162.9154
0.737729 83.610 162.7903
0.743075 83.582 162.6634
0.748460 83.553 162.5343
0.753883 83.523 162.4027
0.759346 83.492 162.2684
0.764849 83.461 162.1313
0.770391 83.430 161.9912
0.775974 83.398 161.8481
0.781597 83.365 161.7019
0.787261 83.333 161.5526
0.792966 83.300 161.4003
0.798712 83.266 161.2449
0.804500 83.233 161.0864
0.810329 83.198 160.9248
0.816201 83.164 160.7601
0.822116 83.129 160.5922
0.828073 83.093 160.4213
0.834074 83.057 160.2473
0.840118 83.021 160.0702
0.846206 82.984 159.8900
0.852338 82.946 159.7068
0.858514 82.907 159.5206
0.864735 82.868 159.3313
0.871001 82.828 159.1391
0.877313 82.787 158.9439
0.883670 82.745 158.7458
0.890074 82.702 158.5449
0.896524 82.658 158.3411
0.903020 82.613 158.1346
0.909564 82.567 157.9253
0.916155 82.520 157.7134
0.922794 82.472 157.4990
0.929481 82.422 157.2821
0.936216 82.371 157.0628
0.943000 82.318 156.8412
0.949834 82.264 156.6175
0.956717 82.209 156.3916
0.963649 82.152 156.1639
0.970632 82.093 155.9343
0.977666 82.032 155.7031
0.984750 81.970 155.4705
0.991886 81.905 155.2365
0.999074 81.839 155.0014
1.006314 81.770 154.7655
1.013606 81.700 154.5288
1.020951 81.626 154.2918
1.028349 81.551 154.0546
1.035801 81.473 153.8174
1.043307 81.392 153.5807
1.050867 81.309 153.3447
1.058482 81.222 153.1096
1.066152 81.133 152.8758
1.073878 81.041 152.6434
1.081660 80.946 152.4125
1.089498 80.847 152.1829
1.097393 80.745 151.9543
1.105345 80.639 151.7262
1.113355 80.530 151.4978
1.121423 80.418 151.2686
1.129549 80.301 151.0379
1.137734 80.181 150.8055
1.145979 80.058 150.5711
1.154283 79.931 150.3343
1.162647 79.800 150.0951
1.171072 79.666 149.8534
1.179558 79.528 149.6089
1.188106 79.387 149.3617
1.196715 79.242 149.1116
1.205387 79.093 148.8586
1.214122 78.942 148.6024
1.222920 78.787 148.3431
1.231782 78.628 148.0805
1.240708 78.467 147.8145
1.249699 78.302 147.5451
1.258754 78.134 147.2720
1.267876 77.963 146.9953
1.277063 77.788 146.7147
1.286318 77.611 146.4302
1.295639 77.431 146.1416
1.305027 77.249 145.8489
1.314484 77.063 145.5519
1.324009 76.875 145.2505
1.333604 76.684 144.9446
1.343268 76.491 144.6340
1.353002 76.296 144.3188
1.362806 76.098 143.9987
1.372681 75.898 143.6736
1.382628 75.696 143.3435
1.392647 75.493 143.0082
1.402739 75.287 142.6676
1.412904 75.079 142.3215
1.423142 74.870 141.9696
1.433455 74.658 141.6115
1.443843 74.442 141.2464
1.454305 74.222 140.8733
1.464844 73.996 140.4905
1.475459 73.761 140.0956
1.486150 73.516 139.6860
1.496920 73.258 139.2585
1.507767 72.986 138.8099
1.518693 72.701 138.3365
1.529698 72.403 137.8341
1.540783 72.092 137.2977
1.551948 71.770 136.7215
1.563194 71.438 136.0977
1.574521 71.097 135.4168
1.585931 70.750 134.6658
1.597423 70.397 133.8277
1.608999 70.042 132.8789
1.620658 69.686 131.7857
1.632402 69.331 130.4991
1.644232 68.979 128.9439
1.656146 68.634 126.9991
1.668147 68.297 124.4585
1.680235 67.972 120.9404
1.692411 67.660 115.6660
1.704675 67.367 106.8355
1.717028 67.094 89.8209
1.729470 66.845 55.7708
1.742003 66.625 15.2024
1.754626 66.436 -7.8644
1.767341 66.284 -19.3003
1.780147 66.173 -25.7945
1.793047 66.106 -29.9911
1.806040 66.090 -32.9750
1.819128 66.128 -35.2513
1.832310 66.224 -37.0823
1.845587 66.381 -38.6156
1.858961 66.599 -39.9395
1.872432 66.878 -41.1098
1.886001 67.216 -42.1634
1.899667 67.609 -43.1254
1.913433 68.052 -44.0139
1.927299 68.542 -44.8423
1.941265 69.072 -45.6208
1.955332 69.638 -46.3571
1.969501 70.234 -47.0575
1.983773 70.854 -47.7271
1.998148 71.492 -48.3700
2.012627 72.144 -48.9895
2.027212 72.803 -49.5886
2.041902 73.463 -50.1698
2.056698 74.119 -50.7351
2.071602 74.766 -51.2865
2.086614 75.397 -51.8257
2.101734 76.007 -52.3543
2.116964 76.592 -52.8737
2.132304 77.146 -53.3855
2.147756 77.667 -53.8912
2.163320 78.153 -54.3927
2.178996 78.602 -54.8919
2.194786 79.015 -55.3910
2.210690 79.396 -55.8920
2.226710 79.748 -56.3965
2.242845 80.074 -56.9055
2.259098 80.376 -57.4190
2.275468 80.658 -57.9365
2.291957 80.922 -58.4571
2.308566 81.167 -58.9800
2.325295 81.398 -59.5038
2.342145 81.613 -60.0276
2.359117 81.816 -60.5504
2.376212 82.008 -61.0712
2.393431 82.190 -61.5891
2.410775 82.364 -62.1034
2.428244 82.531 -62.6134
2.445840 82.694 -63.1186
2.463564 82.854 -63.6186
2.481416 83.013 -64.1132
2.499397 83.172 -64.6025
2.517509 83.332 -65.0871
2.535752 83.493 -65.5680
2.554127 83.656 -66.0468
2.572635 83.818 -66.5254
2.591277 83.980 -67.0060
2.610055 84.139 -67.4901
2.628968 84.293 -67.9785
2.648019 84.444 -68.4712
2.667208 84.589 -68.9677
2.686535 84.730 -69.4670
2.706003 84.866 -69.9679
2.725612 84.998 -70.4692
2.745363 85.125 -70.9696
2.765257 85.249 -71.4677
2.785295 85.370 -71.9622
2.805478 85.487 -72.4520
2.825808 85.603 -72.9360
2.846285 85.716 -73.4133
2.866910 85.827 -73.8835
2.887685 85.936 -74.3465
2.908611 86.044 -74.8031
2.929688 86.150 -75.2544
2.950917 86.253 -75.7024
2.972301 86.354 -76.1488
2.993839 86.452 -76.5947
3.015534 86.546 -77.0407
3.037386 86.638 -77.4868
3.059396 86.726 -77.9323
3.081565 86.811 -78.3763
3.103896 86.893 -78.8177
3.126388 86.973 -79.2552
3.149043 87.051 -79.6874
3.171862 87.127 -80.1131
3.194847 87.201 -80.5309
3.217998 87.273 -80.9398
3.241317 87.344 -81.3389
3.264805 87.414 -81.7280
3.288463 87.482 -82.1072
3.312293 87.549 -82.4773
3.336295 87.614 -82.8394
3.360471 87.676 -83.1944
3.384822 87.737 -83.5430
3.409350 87.796 -83.8858
3.434056 87.852 -84.2229
3.458940 87.907 -84.5541
3.484005 87.960 -84.8792
3.509252 88.013 -85.1977
3.534681 88.064 -85.5092
3.560295 88.114 -85.8131
3.586094 88.164 -86.1089
3.612081 88.213 -86.3960
3.638255 88.263 -86.6741
3.664620 88.311 -86.9427
3.691175 88.360 -87.2019
3.717923 88.407 -87.4519
3.744864 88.454 -87.6931
3.772001 88.501 -87.9262
3.799335 88.546 -88.1519
3.826866 88.592 -88.3711
3.854597 88.637 -88.5846
3.882529 88.682 -88.7932
3.910664 88.727 -88.9976
3.939002 88.772 -89.1983
3.967546 88.818 -89.3957
3.996296 88.865 -89.5898
4.025255 88.912 -89.7804
4.054423 88.960 -89.9671
4.083804 89.009 -90.1495
4.113396 89.059 -90.3278
4.143204 89.108 -90.5027
4.173227 89.159 -90.6751
4.203468 89.210 -90.8466
4.233928 89.261 -91.0187
4.264609 89.313 -91.1929
4.295512 89.366 -91.3709
4.326639 89.419 -91.5537
4.357992 89.473 -91.7422
4.389572 89.527 -91.9369
4.421380 89.583 -92.1374
4.453419 89.639 -92.3436
4.485691 89.696 -92.5553
4.518196 89.753 -92.7726
4.550936 89.811 -92.9959
4.583914 89.869 -93.2262
4.617131 89.928 -93.4642
4.650589 89.986 -93.7110
4.684289 90.045 -93.9674
4.718233 90.103 -94.2344
4.752424 90.161 -94.5124
4.786862 90.218 -94.8018
4.821549 90.276 -95.1023
4.856488 90.333 -95.4137
4.891680 90.389 -95.7356
4.927127 90.446 -96.0674
4.962831 90.501 -96.4087
4.998794 90.556 -96.7591
5.035017 90.610 -97.1184
5.071503 90.663 -97.4865
5.108253 90.714 -97.8636
5.145270 90.765 -98.2500
5.182555 90.814 -98.6458
5.220110 90.862 -99.0510
5.257937 90.908 -99.4649
5.296038 90.953 -99.8864
5.334415 90.997 -100.3143
5.373071 91.040 -100.7474
5.412006 91.081 -101.1844
5.451224 91.121 -101.6247
5.490725 91.159 -102.0679
5.530514 91.196 -102.5141
5.570590 91.231 -102.9634
5.610957 91.265 -103.4156
5.651616 91.297 -103.8700
5.692570 91.328 -104.3257
5.733821 91.359 -104.7815
5.775370 91.388 -105.2362
5.817221 91.416 -105.6889
5.859375 91.443 -106.1389
5.901834 91.470 -106.5860
5.944602 91.495 -107.0304
5.987679 91.520 -107.4722
6.031068 91.545 -107.9115
6.074771 91.569 -108.3480
6.118792 91.592 -108.7816
6.163131 91.616 -109.2119
6.207792 91.641 -109.6386
6.252776 91.665 -110.0616
6.298086 91.690 -110.4810
6.343725 91.715 -110.8970
6.389694 91.741 -111.3105
6.435996 91.767 -111.7222
6.482634 91.794 -112.1328
6.529610 91.822 -112.5432
6.576926 91.851 -112.9537
6.624585 91.881 -113.3647
6.672590 91.912 -113.7765
6.720942 91.944 -114.1894
