* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Nov 29, 2024 12:53:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: L SIMGOT ET142 Gold Foam 3
* Measurement: L SIMGOT ET142 Gold 3Foa
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	83.072	159.1990
0.368865	83.065	159.1762
0.371538	83.054	159.1422
0.374230	83.042	159.0994
0.376942	83.027	159.0501
0.379673	83.011	158.9958
0.382424	82.995	158.9378
0.385196	82.978	158.8765
0.387987	82.961	158.8124
0.390798	82.944	158.7457
0.393630	82.926	158.6765
0.396483	82.909	158.6048
0.399356	82.891	158.5306
0.402250	82.873	158.4539
0.405165	82.855	158.3747
0.408101	82.837	158.2929
0.411058	82.818	158.2086
0.414037	82.800	158.1217
0.417037	82.781	158.0322
0.420059	82.763	157.9400
0.423103	82.744	157.8452
0.426169	82.725	157.7476
0.429257	82.706	157.6474
0.432368	82.686	157.5443
0.435501	82.667	157.4386
0.438656	82.647	157.3300
0.441835	82.628	157.2185
0.445037	82.608	157.1043
0.448262	82.588	156.9871
0.451510	82.568	156.8670
0.454782	82.548	156.7440
0.458077	82.527	156.6181
0.461397	82.507	156.4892
0.464740	82.486	156.3573
0.468108	82.465	156.2223
0.471500	82.444	156.0844
0.474917	82.423	155.9433
0.478358	82.402	155.7992
0.481825	82.380	155.6519
0.485316	82.359	155.5016
0.488833	82.337	155.3481
0.492375	82.315	155.1915
0.495943	82.293	155.0316
0.499537	82.271	154.8686
0.503157	82.248	154.7024
0.506803	82.226	154.5330
0.510475	82.203	154.3604
0.514175	82.180	154.1845
0.517900	82.157	154.0054
0.521653	82.134	153.8230
0.525434	82.110	153.6374
0.529241	82.087	153.4486
0.533076	82.063	153.2565
0.536939	82.039	153.0611
0.540830	82.015	152.8625
0.544749	81.991	152.6606
0.548696	81.966	152.4555
0.552673	81.942	152.2471
0.556677	81.917	152.0356
0.560711	81.892	151.8208
0.564774	81.867	151.6029
0.568867	81.841	151.3818
0.572989	81.816	151.1576
0.577141	81.790	150.9302
0.581324	81.764	150.6998
0.585536	81.738	150.4664
0.589779	81.712	150.2299
0.594053	81.685	149.9904
0.598358	81.659	149.7481
0.602694	81.632	149.5029
0.607061	81.605	149.2549
0.611460	81.578	149.0041
0.615891	81.550	148.7506
0.620354	81.523	148.4946
0.624849	81.495	148.2360
0.629377	81.467	147.9749
0.633938	81.438	147.7115
0.638532	81.410	147.4458
0.643159	81.381	147.1779
0.647819	81.352	146.9080
0.652514	81.323	146.6361
0.657242	81.294	146.3624
0.662005	81.265	146.0870
0.666802	81.235	145.8100
0.671634	81.205	145.5316
0.676501	81.175	145.2520
0.681403	81.145	144.9713
0.686341	81.114	144.6896
0.691314	81.083	144.4072
0.696324	81.052	144.1242
0.701370	81.020	143.8407
0.706452	80.988	143.5569
0.711571	80.955	143.2728
0.716728	80.922	142.9883
0.721921	80.886	142.7032
0.727153	80.849	142.4168
0.732422	80.809	142.1284
0.737729	80.765	141.8368
0.743075	80.719	141.5408
0.748460	80.670	141.2396
0.753883	80.618	140.9321
0.759346	80.565	140.6179
0.764849	80.510	140.2965
0.770391	80.454	139.9676
0.775974	80.397	139.6310
0.781597	80.338	139.2863
0.787261	80.279	138.9335
0.792966	80.218	138.5724
0.798712	80.156	138.2028
0.804500	80.093	137.8246
0.810329	80.029	137.4376
0.816201	79.963	137.0416
0.822116	79.897	136.6366
0.828073	79.829	136.2222
0.834074	79.760	135.7985
0.840118	79.690	135.3652
0.846206	79.619	134.9221
0.852338	79.546	134.4692
0.858514	79.472	134.0063
0.864735	79.398	133.5332
0.871001	79.322	133.0497
0.877313	79.245	132.5558
0.883670	79.166	132.0514
0.890074	79.087	131.5362
0.896524	79.006	131.0102
0.903020	78.924	130.4733
0.909564	78.841	129.9253
0.916155	78.756	129.3662
0.922794	78.671	128.7958
0.929481	78.584	128.2142
0.936216	78.496	127.6212
0.943000	78.407	127.0168
0.949834	78.317	126.4011
0.956717	78.226	125.7738
0.963649	78.133	125.1352
0.970632	78.039	124.4853
0.977666	77.944	123.8240
0.984750	77.848	123.1514
0.991886	77.751	122.4678
0.999074	77.653	121.7732
1.006314	77.553	121.0677
1.013606	77.453	120.3517
1.020951	77.351	119.6252
1.028349	77.248	118.8887
1.035801	77.144	118.1423
1.043307	77.039	117.3865
1.050867	76.933	116.6215
1.058482	76.826	115.8476
1.066152	76.717	115.0650
1.073878	76.607	114.2739
1.081660	76.496	113.4738
1.089498	76.382	112.6643
1.097393	76.266	111.8438
1.105345	76.146	111.0106
1.113355	76.022	110.1622
1.121423	75.893	109.2963
1.129549	75.758	108.4102
1.137734	75.619	107.5017
1.145979	75.474	106.5685
1.154283	75.323	105.6083
1.162647	75.168	104.6187
1.171072	75.007	103.5976
1.179558	74.842	102.5422
1.188106	74.673	101.4499
1.196715	74.501	100.3179
1.205387	74.324	99.1431
1.214122	74.145	97.9224
1.222920	73.964	96.6523
1.231782	73.780	95.3292
1.240708	73.595	93.9493
1.249699	73.409	92.5086
1.258754	73.222	91.0029
1.267876	73.036	89.4279
1.277063	72.850	87.7791
1.286318	72.665	86.0523
1.295639	72.483	84.2428
1.305027	72.303	82.3464
1.314484	72.127	80.3590
1.324009	71.955	78.2769
1.333604	71.788	76.0971
1.343268	71.627	73.8172
1.353002	71.472	71.4360
