* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -4.0 dBFS with no timing reference
* Dated: Aug 27, 2024 12:20:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EW300 DSP
* Measurement: Simgot EW300DSPSilver Fm
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.409 -59.2489
0.368865 89.415 -59.3095
0.371538 89.424 -59.4000
0.374230 89.435 -59.5135
0.376942 89.448 -59.6438
0.379673 89.461 -59.7864
0.382424 89.475 -59.9384
0.385196 89.489 -60.0979
0.387987 89.504 -60.2639
0.390798 89.519 -60.4359
0.393630 89.534 -60.6135
0.396483 89.549 -60.7966
0.399356 89.564 -60.9851
0.402250 89.579 -61.1791
0.405165 89.594 -61.3784
0.408101 89.610 -61.5831
0.411058 89.625 -61.7932
0.414037 89.641 -62.0087
0.417037 89.657 -62.2297
0.420059 89.673 -62.4560
0.423103 89.689 -62.6878
0.426169 89.705 -62.9251
0.429257 89.721 -63.1677
0.432368 89.738 -63.4157
0.435501 89.754 -63.6692
0.438656 89.771 -63.9280
0.441835 89.788 -64.1922
0.445037 89.805 -64.4618
0.448262 89.822 -64.7366
0.451510 89.839 -65.0168
0.454782 89.856 -65.3022
0.458077 89.873 -65.5929
0.461397 89.891 -65.8887
0.464740 89.909 -66.1897
0.468108 89.926 -66.4958
0.471500 89.944 -66.8070
0.474917 89.962 -67.1231
0.478358 89.980 -67.4442
0.481825 89.999 -67.7701
0.485316 90.017 -68.1009
0.488833 90.036 -68.4364
0.492375 90.054 -68.7765
0.495943 90.073 -69.1212
0.499537 90.092 -69.4704
0.503157 90.111 -69.8241
0.506803 90.130 -70.1820
0.510475 90.150 -70.5441
0.514175 90.169 -70.9104
0.517900 90.189 -71.2806
0.521653 90.209 -71.6548
0.525434 90.229 -72.0327
0.529241 90.249 -72.4144
0.533076 90.269 -72.7995
0.536939 90.289 -73.1881
0.540830 90.310 -73.5801
0.544749 90.331 -73.9751
0.548696 90.351 -74.3733
0.552673 90.372 -74.7743
0.556677 90.393 -75.1781
0.560711 90.415 -75.5845
0.564774 90.436 -75.9934
0.568867 90.458 -76.4046
0.572989 90.479 -76.8180
0.577141 90.501 -77.2335
0.581324 90.523 -77.6508
0.585536 90.546 -78.0699
0.589779 90.568 -78.4905
0.594053 90.591 -78.9125
0.598358 90.613 -79.3358
0.602694 90.636 -79.7602
0.607061 90.659 -80.1855
0.611460 90.682 -80.6117
0.615891 90.706 -81.0384
0.620354 90.729 -81.4656
0.624849 90.753 -81.8931
0.629377 90.777 -82.3207
0.633938 90.801 -82.7483
0.638532 90.825 -83.1758
0.643159 90.850 -83.6029
0.647819 90.874 -84.0295
0.652514 90.899 -84.4555
0.657242 90.924 -84.8808
0.662005 90.949 -85.3051
0.666802 90.974 -85.7283
0.671634 91.000 -86.1502
0.676501 91.025 -86.5709
0.681403 91.051 -86.9900
0.686341 91.077 -87.4074
0.691314 91.103 -87.8232
0.696324 91.130 -88.2371
0.701370 91.156 -88.6490
0.706452 91.183 -89.0591
0.711571 91.209 -89.4674
0.716728 91.235 -89.8740
0.721921 91.261 -90.2796
0.727153 91.285 -90.6848
0.732422 91.309 -91.0906
0.737729 91.331 -91.4983
0.743075 91.351 -91.9092
0.748460 91.371 -92.3242
0.753883 91.390 -92.7440
0.759346 91.408 -93.1691
0.764849 91.426 -93.5996
0.770391 91.444 -94.0357
0.775974 91.462 -94.4773
0.781597 91.479 -94.9243
0.787261 91.497 -95.3766
0.792966 91.514 -95.8339
0.798712 91.531 -96.2962
0.804500 91.547 -96.7633
0.810329 91.564 -97.2349
0.816201 91.580 -97.7109
0.822116 91.596 -98.1911
0.828073 91.612 -98.6752
0.834074 91.628 -99.1630
0.840118 91.644 -99.6543
0.846206 91.659 -100.1489
0.852338 91.674 -100.6465
0.858514 91.688 -101.1468
0.864735 91.703 -101.6497
0.871001 91.717 -102.1548
0.877313 91.731 -102.6619
0.883670 91.745 -103.1706
0.890074 91.758 -103.6808
0.896524 91.771 -104.1921
0.903020 91.783 -104.7043
0.909564 91.795 -105.2170
0.916155 91.807 -105.7299
0.922794 91.818 -106.2427
0.929481 91.829 -106.7552
0.936216 91.840 -107.2669
0.943000 91.850 -107.7777
0.949834 91.860 -108.2870
0.956717 91.869 -108.7947
0.963649 91.877 -109.3004
0.970632 91.886 -109.8037
0.977666 91.893 -110.3044
0.984750 91.900 -110.8019
0.991886 91.907 -111.2961
0.999074 91.913 -111.7866
1.006314 91.918 -112.2729
1.013606 91.923 -112.7549
1.020951 91.926 -113.2319
1.028349 91.930 -113.7038
1.035801 91.932 -114.1702
1.043307 91.934 -114.6307
1.050867 91.935 -115.0850
1.058482 91.936 -115.5329
1.066152 91.935 -115.9742
1.073878 91.934 -116.4089
1.081660 91.932 -116.8374
1.089498 91.929 -117.2602
1.097393 91.925 -117.6785
1.105345 91.921 -118.0937
1.113355 91.915 -118.5073
1.121423 91.909 -118.9209
1.129549 91.902 -119.3353
1.137734 91.894 -119.7515
1.145979 91.885 -120.1699
1.154283 91.875 -120.5908
1.162647 91.864 -121.0144
1.171072 91.852 -121.4408
1.179558 91.839 -121.8700
1.188106 91.826 -122.3020
1.196715 91.811 -122.7368
1.205387 91.795 -123.1742
1.214122 91.778 -123.6142
1.222920 91.760 -124.0566
1.231782 91.742 -124.5013
1.240708 91.722 -124.9479
1.249699 91.700 -125.3964
1.258754 91.678 -125.8463
1.267876 91.655 -126.2974
1.277063 91.630 -126.7493
1.286318 91.604 -127.2014
1.295639 91.577 -127.6535
1.305027 91.549 -128.1048
1.314484 91.520 -128.5549
1.324009 91.489 -129.0029
1.333604 91.457 -129.4483
1.343268 91.423 -129.8902
1.353002 91.389 -130.3276
1.362806 91.353 -130.7597
1.372681 91.315 -131.1855
1.382628 91.276 -131.6037
1.392647 91.236 -132.0132
1.402739 91.194 -132.4128
1.412904 91.151 -132.8013
1.423142 91.106 -133.1774
1.433455 91.059 -133.5401
1.443843 91.011 -133.8885
1.454305 90.960 -134.2222
1.464844 90.907 -134.5414
1.475459 90.852 -134.8466
1.486150 90.794 -135.1387
1.496920 90.732 -135.4184
1.507767 90.668 -135.6864
1.518693 90.600 -135.9428
1.529698 90.529 -136.1878
1.540783 90.456 -136.4213
1.551948 90.379 -136.6431
1.563194 90.300 -136.8528
1.574521 90.218 -137.0501
1.585931 90.134 -137.2343
1.597423 90.047 -137.4051
1.608999 89.959 -137.5618
1.620658 89.869 -137.7037
1.632402 89.777 -137.8301
1.644232 89.684 -137.9402
1.656146 89.591 -138.0332
1.668147 89.496 -138.1082
1.680235 89.401 -138.1642
1.692411 89.306 -138.2001
1.704675 89.211 -138.2150
1.717028 89.117 -138.2075
1.729470 89.023 -138.1765
1.742003 88.931 -138.1205
1.754626 88.840 -138.0384
1.767341 88.751 -137.9283
1.780147 88.664 -137.7888
1.793047 88.579 -137.6176
1.806040 88.495 -137.4124
1.819128 88.414 -137.1703
1.832310 88.334 -136.8879
1.845587 88.255 -136.5614
1.858961 88.175 -136.1871
1.872432 88.095 -135.7622
1.886001 88.014 -135.2841
1.899667 87.932 -134.7513
1.913433 87.850 -134.1627
1.927299 87.767 -133.5178
1.941265 87.684 -132.8166
1.955332 87.602 -132.0595
1.969501 87.522 -131.2474
1.983773 87.443 -130.3816
1.998148 87.367 -129.4641
2.012627 87.294 -128.4975
2.027212 87.225 -127.4849
2.041902 87.160 -126.4304
2.056698 87.102 -125.3385
2.071602 87.049 -124.2148
2.086614 87.004 -123.0653
2.101734 86.967 -121.8965
2.116964 86.939 -120.7155
2.132304 86.922 -119.5291
2.147756 86.915 -118.3436
2.163320 86.921 -117.1641
2.178996 86.939 -115.9938
2.194786 86.972 -114.8335
2.210690 87.019 -113.6821
2.226710 87.081 -112.5382
2.242845 87.157 -111.4015
2.259098 87.248 -110.2739
2.275468 87.353 -109.1595
2.291957 87.471 -108.0632
2.308566 87.602 -106.9911
2.325295 87.742 -105.9491
2.342145 87.893 -104.9431
2.359117 88.052 -103.9784
2.376212 88.219 -103.0601
2.393431 88.391 -102.1924
2.410775 88.568 -101.3789
2.428244 88.748 -100.6228
2.445840 88.930 -99.9264
2.463564 89.112 -99.2919
2.481416 89.292 -98.7205
2.499397 89.471 -98.2131
2.517509 89.647 -97.7698
2.535752 89.820 -97.3900
2.554127 89.991 -97.0720
2.572635 90.159 -96.8133
2.591277 90.326 -96.6107
2.610055 90.493 -96.4607
2.628968 90.661 -96.3596
2.648019 90.830 -96.3040
2.667208 91.000 -96.2906
2.686535 91.170 -96.3163
2.706003 91.342 -96.3781
2.725612 91.513 -96.4733
2.745363 91.683 -96.5992
2.765257 91.853 -96.7535
2.785295 92.020 -96.9341
2.805478 92.185 -97.1391
2.825808 92.347 -97.3668
2.846285 92.505 -97.6163
2.866910 92.659 -97.8871
2.887685 92.808 -98.1792
2.908611 92.953 -98.4937
2.929688 93.092 -98.8322
2.950917 93.226 -99.1966
2.972301 93.355 -99.5882
2.993839 93.479 -100.0072
3.015534 93.599 -100.4525
3.037386 93.715 -100.9217
3.059396 93.826 -101.4119
3.081565 93.934 -101.9198
3.103896 94.037 -102.4417
3.126388 94.136 -102.9742
3.149043 94.232 -103.5137
3.171862 94.324 -104.0570
3.194847 94.412 -104.6015
3.217998 94.497 -105.1451
3.241317 94.578 -105.6867
3.264805 94.656 -106.2267
3.288463 94.729 -106.7667
3.312293 94.799 -107.3097
3.336295 94.864 -107.8590
3.360471 94.925 -108.4167
3.384822 94.981 -108.9836
3.409350 95.032 -109.5589
3.434056 95.080 -110.1405
3.458940 95.123 -110.7255
3.484005 95.162 -111.3102
3.509252 95.197 -111.8909
3.534681 95.229 -112.4636
3.560295 95.258 -113.0244
3.586094 95.284 -113.5703
3.612081 95.307 -114.0987
3.638255 95.327 -114.6085
3.664620 95.343 -115.1002
3.691175 95.356 -115.5753
3.717923 95.366 -116.0361
3.744864 95.371 -116.4842
3.772001 95.373 -116.9201
3.799335 95.372 -117.3437
3.826866 95.367 -117.7537
3.854597 95.360 -118.1479
3.882529 95.351 -118.5237
3.910664 95.340 -118.8774
3.939002 95.329 -119.2050
3.967546 95.317 -119.5018
3.996296 95.304 -119.7637
4.025255 95.291 -119.9881
4.054423 95.278 -120.1759
4.083804 95.263 -120.3331
4.113396 95.248 -120.4673
4.143204 95.232 -120.5849
4.173227 95.216 -120.6899
4.203468 95.200 -120.7840
4.233928 95.185 -120.8665
4.264609 95.172 -120.9356
4.295512 95.161 -120.9886
4.326639 95.154 -121.0222
4.357992 95.150 -121.0334
4.389572 95.149 -121.0196
4.421380 95.153 -120.9793
4.453419 95.161 -120.9128
4.485691 95.173 -120.8219
4.518196 95.189 -120.7105
4.550936 95.208 -120.5836
4.583914 95.232 -120.4469
4.617131 95.259 -120.3066
4.650589 95.290 -120.1685
4.684289 95.325 -120.0377
4.718233 95.364 -119.9181
4.752424 95.408 -119.8118
4.786862 95.456 -119.7194
4.821549 95.509 -119.6404
4.856488 95.566 -119.5750
4.891680 95.628 -119.5240
4.927127 95.693 -119.4896
4.962831 95.761 -119.4743
4.998794 95.831 -119.4813
5.035017 95.902 -119.5137
5.071503 95.973 -119.5742
5.108253 96.045 -119.6648
5.145270 96.118 -119.7863
5.182555 96.190 -119.9385
5.220110 96.263 -120.1201
5.257937 96.336 -120.3294
5.296038 96.408 -120.5642
5.334415 96.480 -120.8223
5.373071 96.549 -121.1019
5.412006 96.616 -121.4016
5.451224 96.681 -121.7208
5.490725 96.742 -122.0595
5.530514 96.800 -122.4179
5.570590 96.855 -122.7955
5.610957 96.906 -123.1907
5.651616 96.954 -123.6004
5.692570 96.999 -124.0209
5.733821 97.040 -124.4477
5.775370 97.077 -124.8771
5.817221 97.111 -125.3061
5.859375 97.141 -125.7331
5.901834 97.167 -126.1575
5.944602 97.189 -126.5792
5.987679 97.207 -126.9971
6.031068 97.222 -127.4091
