* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: May 17, 2024 12:40:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Simgot Supermix 4 R
* Measurement: R Simgot Supermix 4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.102 -53.4758
0.368865 89.105 -53.5320
0.371538 89.109 -53.6162
0.374230 89.114 -53.7218
0.376942 89.120 -53.8433
0.379673 89.126 -53.9766
0.382424 89.132 -54.1189
0.385196 89.139 -54.2687
0.387987 89.146 -54.4249
0.390798 89.152 -54.5870
0.393630 89.159 -54.7549
0.396483 89.166 -54.9283
0.399356 89.173 -55.1073
0.402250 89.180 -55.2918
0.405165 89.187 -55.4818
0.408101 89.194 -55.6774
0.411058 89.201 -55.8786
0.414037 89.209 -56.0854
0.417037 89.216 -56.2978
0.420059 89.223 -56.5158
0.423103 89.231 -56.7396
0.426169 89.238 -56.9690
0.429257 89.245 -57.2042
0.432368 89.253 -57.4450
0.435501 89.261 -57.6917
0.438656 89.268 -57.9440
0.441835 89.276 -58.2021
0.445037 89.284 -58.4660
0.448262 89.291 -58.7356
0.451510 89.299 -59.0109
0.454782 89.307 -59.2920
0.458077 89.315 -59.5788
0.461397 89.323 -59.8714
0.464740 89.331 -60.1696
0.468108 89.340 -60.4735
0.471500 89.348 -60.7830
0.474917 89.356 -61.0981
0.478358 89.364 -61.4188
0.481825 89.373 -61.7451
0.485316 89.381 -62.0768
0.488833 89.390 -62.4140
0.492375 89.398 -62.7565
0.495943 89.407 -63.1044
0.499537 89.416 -63.4575
0.503157 89.424 -63.8158
0.506803 89.433 -64.1793
0.510475 89.442 -64.5478
0.514175 89.451 -64.9212
0.517900 89.460 -65.2995
0.521653 89.469 -65.6826
0.525434 89.478 -66.0704
0.529241 89.488 -66.4627
0.533076 89.497 -66.8595
0.536939 89.506 -67.2606
0.540830 89.516 -67.6659
0.544749 89.525 -68.0754
0.548696 89.535 -68.4888
0.552673 89.544 -68.9061
0.556677 89.554 -69.3270
0.560711 89.564 -69.7515
0.564774 89.574 -70.1794
0.568867 89.583 -70.6106
0.572989 89.593 -71.0448
0.577141 89.603 -71.4820
0.581324 89.614 -71.9219
0.585536 89.624 -72.3644
0.589779 89.634 -72.8093
0.594053 89.644 -73.2565
0.598358 89.655 -73.7057
0.602694 89.665 -74.1568
0.607061 89.676 -74.6096
0.611460 89.687 -75.0638
0.615891 89.697 -75.5194
0.620354 89.708 -75.9760
0.624849 89.719 -76.4336
0.629377 89.730 -76.8918
0.633938 89.741 -77.3506
0.638532 89.752 -77.8096
0.643159 89.763 -78.2688
0.647819 89.775 -78.7278
0.652514 89.786 -79.1865
0.657242 89.797 -79.6447
0.662005 89.809 -80.1021
0.666802 89.821 -80.5586
0.671634 89.832 -81.0140
0.676501 89.844 -81.4680
0.681403 89.856 -81.9204
0.686341 89.868 -82.3711
0.691314 89.880 -82.8198
0.696324 89.892 -83.2665
0.701370 89.904 -83.7109
0.706452 89.916 -84.1530
0.711571 89.928 -84.5929
0.716728 89.939 -85.0309
0.721921 89.950 -85.4674
0.727153 89.960 -85.9033
0.732422 89.969 -86.3399
0.737729 89.976 -86.7787
0.743075 89.983 -87.2214
0.748460 89.988 -87.6691
0.753883 89.992 -88.1228
0.759346 89.997 -88.5831
0.764849 90.000 -89.0503
0.770391 90.004 -89.5246
0.775974 90.007 -90.0059
0.781597 90.011 -90.4942
0.787261 90.014 -90.9895
0.792966 90.017 -91.4916
0.798712 90.019 -92.0004
0.804500 90.022 -92.5156
0.810329 90.024 -93.0371
0.816201 90.026 -93.5648
0.822116 90.028 -94.0983
0.828073 90.030 -94.6376
0.834074 90.031 -95.1823
0.840118 90.032 -95.7323
0.846206 90.033 -96.2872
0.852338 90.034 -96.8468
0.858514 90.034 -97.4108
0.864735 90.034 -97.9790
0.871001 90.033 -98.5509
0.877313 90.032 -99.1264
0.883670 90.030 -99.7050
0.890074 90.029 -100.2865
0.896524 90.026 -100.8704
0.903020 90.023 -101.4565
0.909564 90.020 -102.0442
0.916155 90.016 -102.6333
0.922794 90.011 -103.2233
0.929481 90.006 -103.8138
0.936216 90.000 -104.4044
0.943000 89.993 -104.9947
0.949834 89.986 -105.5841
0.956717 89.978 -106.1722
0.963649 89.969 -106.7587
0.970632 89.959 -107.3428
0.977666 89.949 -107.9243
0.984750 89.937 -108.5026
0.991886 89.925 -109.0771
0.999074 89.911 -109.6473
1.006314 89.897 -110.2128
1.013606 89.882 -110.7729
1.020951 89.865 -111.3271
1.028349 89.847 -111.8748
1.035801 89.828 -112.4155
1.043307 89.808 -112.9487
1.050867 89.786 -113.4737
1.058482 89.763 -113.9902
1.066152 89.739 -114.4979
1.073878 89.714 -114.9966
1.081660 89.687 -115.4866
1.089498 89.658 -115.9687
1.097393 89.629 -116.4442
1.105345 89.598 -116.9148
1.113355 89.566 -117.3827
1.121423 89.533 -117.8497
1.129549 89.500 -118.3173
1.137734 89.465 -118.7866
1.145979 89.429 -119.2582
1.154283 89.393 -119.7328
1.162647 89.355 -120.2106
1.171072 89.317 -120.6918
1.179558 89.277 -121.1767
1.188106 89.236 -121.6652
1.196715 89.194 -122.1574
1.205387 89.150 -122.6534
1.214122 89.105 -123.1531
1.222920 89.058 -123.6563
1.231782 89.010 -124.1630
1.240708 88.960 -124.6730
1.249699 88.908 -125.1859
1.258754 88.854 -125.7016
1.267876 88.799 -126.2196
1.277063 88.741 -126.7395
1.286318 88.680 -127.2608
1.295639 88.618 -127.7827
1.305027 88.553 -128.3047
1.314484 88.485 -128.8258
1.324009 88.415 -129.3452
1.333604 88.341 -129.8617
1.343268 88.265 -130.3741
1.353002 88.186 -130.8811
1.362806 88.103 -131.3812
1.372681 88.017 -131.8726
1.382628 87.927 -132.3536
1.392647 87.834 -132.8221
1.402739 87.737 -133.2760
1.412904 87.635 -133.7130
1.423142 87.529 -134.1309
1.433455 87.418 -134.5276
1.443843 87.301 -134.9011
1.454305 87.178 -135.2503
1.464844 87.047 -135.5747
1.475459 86.908 -135.8744
1.486150 86.759 -136.1500
1.496920 86.599 -136.4021
1.507767 86.429 -136.6309
1.518693 86.248 -136.8360
1.529698 86.056 -137.0169
1.540783 85.854 -137.1723
1.551948 85.642 -137.3011
1.563194 85.422 -137.4014
1.574521 85.195 -137.4715
1.585931 84.961 -137.5090
1.597423 84.721 -137.5115
1.608999 84.476 -137.4761
1.620658 84.228 -137.3998
1.632402 83.978 -137.2791
1.644232 83.727 -137.1101
1.656146 83.476 -136.8886
1.668147 83.227 -136.6099
1.680235 82.981 -136.2688
1.692411 82.741 -135.8599
1.704675 82.507 -135.3771
1.717028 82.281 -134.8140
1.729470 82.065 -134.1636
1.742003 81.861 -133.4187
1.754626 81.672 -132.5717
1.767341 81.498 -131.6146
1.780147 81.342 -130.5389
1.793047 81.206 -129.3356
1.806040 81.091 -127.9945
1.819128 80.999 -126.5042
1.832310 80.929 -124.8516
1.845587 80.882 -123.0226
1.858961 80.857 -121.0045
1.872432 80.854 -118.7884
1.886001 80.870 -116.3714
1.899667 80.906 -113.7577
1.913433 80.961 -110.9596
1.927299 81.033 -107.9981
1.941265 81.122 -104.9022
1.955332 81.227 -101.7085
1.969501 81.347 -98.4593
1.983773 81.481 -95.2005
1.998148 81.628 -91.9788
2.012627 81.787 -88.8385
2.027212 81.957 -85.8194
2.041902 82.137 -82.9550
2.056698 82.325 -80.2711
2.071602 82.521 -77.7861
2.086614 82.724 -75.5110
2.101734 82.931 -73.4508
2.116964 83.143 -71.6050
2.132304 83.359 -69.9689
2.147756 83.577 -68.5343
2.163320 83.799 -67.2899
2.178996 84.025 -66.2220
2.194786 84.257 -65.3146
2.210690 84.496 -64.5507
2.226710 84.745 -63.9138
2.242845 85.005 -63.3894
2.259098 85.276 -62.9651
2.275468 85.560 -62.6310
2.291957 85.853 -62.3785
2.308566 86.157 -62.2004
2.325295 86.468 -62.0905
2.342145 86.786 -62.0431
2.359117 87.109 -62.0532
2.376212 87.435 -62.1165
2.393431 87.762 -62.2290
2.410775 88.089 -62.3874
2.428244 88.413 -62.5888
2.445840 88.732 -62.8308
2.463564 89.045 -63.1114
2.481416 89.349 -63.4293
2.499397 89.644 -63.7837
2.517509 89.927 -64.1743
2.535752 90.199 -64.6013
2.554127 90.458 -65.0656
2.572635 90.705 -65.5677
2.591277 90.941 -66.1079
2.610055 91.166 -66.6852
2.628968 91.382 -67.2972
2.648019 91.590 -67.9407
2.667208 91.789 -68.6117
2.686535 91.981 -69.3060
2.706003 92.166 -70.0195
2.725612 92.344 -70.7482
2.745363 92.516 -71.4885
2.765257 92.683 -72.2370
2.785295 92.846 -72.9909
2.805478 93.003 -73.7476
2.825808 93.157 -74.5054
2.846285 93.307 -75.2632
2.866910 93.454 -76.0206
2.887685 93.598 -76.7787
2.908611 93.738 -77.5398
2.929688 93.876 -78.3074
2.950917 94.009 -79.0859
2.972301 94.138 -79.8787
2.993839 94.262 -80.6880
3.015534 94.381 -81.5140
3.037386 94.495 -82.3551
3.059396 94.604 -83.2090
3.081565 94.708 -84.0723
3.103896 94.808 -84.9416
3.126388 94.903 -85.8131
3.149043 94.994 -86.6831
3.171862 95.081 -87.5482
3.194847 95.165 -88.4054
3.217998 95.245 -89.2527
3.241317 95.322 -90.0888
3.264805 95.396 -90.9142
3.288463 95.466 -91.7312
3.312293 95.533 -92.5433
3.336295 95.596 -93.3546
3.360471 95.654 -94.1684
3.384822 95.708 -94.9862
3.409350 95.758 -95.8078
3.434056 95.804 -96.6318
3.458940 95.846 -97.4555
3.484005 95.884 -98.2757
3.509252 95.918 -99.0886
3.534681 95.949 -99.8903
3.560295 95.978 -100.6770
3.586094 96.003 -101.4455
3.612081 96.026 -102.1932
3.638255 96.047 -102.9190
3.664620 96.064 -103.6233
3.691175 96.078 -104.3080
3.717923 96.089 -104.9754
3.744864 96.097 -105.6278
3.772001 96.101 -106.2664
3.799335 96.102 -106.8916
3.826866 96.101 -107.5029
3.854597 96.097 -108.0991
3.882529 96.092 -108.6785
3.910664 96.085 -109.2390
3.939002 96.077 -109.7782
3.967546 96.069 -110.2936
3.996296 96.061 -110.7831
4.025255 96.052 -111.2447
4.054423 96.043 -111.6773
4.083804 96.033 -112.0808
4.113396 96.023 -112.4560
4.143204 96.012 -112.8043
4.173227 96.000 -113.1275
4.203468 95.989 -113.4279
4.233928 95.979 -113.7076
4.264609 95.971 -113.9687
4.295512 95.964 -114.2126
4.326639 95.960 -114.4405
4.357992 95.960 -114.6524
4.389572 95.962 -114.8476
4.421380 95.968 -115.0246
4.453419 95.978 -115.1825
4.485691 95.990 -115.3218
4.518196 96.007 -115.4444
4.550936 96.026 -115.5539
4.583914 96.048 -115.6551
4.617131 96.074 -115.7529
4.650589 96.103 -115.8527
4.684289 96.135 -115.9589
4.718233 96.171 -116.0747
4.752424 96.211 -116.2020
4.786862 96.255 -116.3409
4.821549 96.302 -116.4908
4.856488 96.353 -116.6514
4.891680 96.408 -116.8234
4.927127 96.466 -117.0084
4.962831 96.526 -117.2090
4.998794 96.588 -117.4282
5.035017 96.650 -117.6688
5.071503 96.714 -117.9337
5.108253 96.777 -118.2249
5.145270 96.841 -118.5432
5.182555 96.905 -118.8885
5.220110 96.970 -119.2598
5.257937 97.034 -119.6553
5.296038 97.098 -120.0732
5.334415 97.160 -120.5115
5.373071 97.221 -120.9687
5.412006 97.281 -121.4440
5.451224 97.337 -121.9369
5.490725 97.391 -122.4478
5.530514 97.441 -122.9772
5.570590 97.489 -123.5247
5.610957 97.533 -124.0891
5.651616 97.574 -124.6674
5.692570 97.612 -125.2561
5.733821 97.647 -125.8512
5.775370 97.678 -126.4491
5.817221 97.706 -127.0472
5.859375 97.730 -127.6442
5.901834 97.750 -128.2398
5.944602 97.766 -128.8339
5.987679 97.778 -129.4256
6.031068 97.787 -130.0130
