* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 24, 2025 11:38:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Softears Volume S 10ohm
* Measurement: L Softears Volume S 10ohm
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 92.390 126.2478
1.030000 92.085 124.5456
1.060000 91.761 122.9383
1.090000 91.420 121.4646
1.120000 91.060 120.1413
1.150000 90.683 118.9517
1.180000 90.291 117.8782
1.220000 89.743 116.6090
1.250000 89.315 115.7689
1.280000 88.872 115.0176
1.320000 88.257 114.1462
1.360000 87.616 113.4158
1.400000 86.949 112.8204
1.450000 86.071 112.2778
1.500000 85.093 112.1306
1.550000 83.948 112.7264
1.600000 82.686 114.2974
1.650000 81.400 117.0357
1.700000 80.193 121.1294
1.750000 79.171 126.6815
1.800000 78.442 133.5866
1.850000 78.095 141.5972
1.900000 78.138 150.4018
1.950000 78.495 159.0646
2.000000 79.066 166.5094
2.060000 79.896 173.1676
2.120000 80.730 177.4517
2.180000 81.446 179.7994
2.240000 82.037 -179.4344
2.300000 82.587 -179.9415
2.360000 83.116 178.6734
2.430000 83.683 176.4118
2.500000 84.163 173.8006
2.580000 84.569 170.4856
2.650000 84.796 167.0078
2.720000 84.923 162.9405
2.800000 84.974 157.9142
2.900000 84.941 151.6537
3.000000 84.818 145.4268
3.070000 84.670 140.7435
3.150000 84.446 135.0872
3.250000 84.110 127.9636
3.350000 83.726 121.0283
3.450000 83.290 113.9146
3.550000 82.813 106.6304
3.650000 82.318 99.7213
3.750000 81.805 93.5385
3.870000 81.173 86.8602
4.000000 80.535 80.6891
4.120000 80.020 76.7098
4.250000 79.569 74.4682
4.370000 79.376 73.8300
4.500000 79.517 74.4864
4.620000 79.927 75.9202
4.750000 80.584 77.0887
4.870000 81.356 77.3260
5.000000 82.301 76.8032
5.150000 83.346 75.1398
5.300000 84.272 72.5158
5.450000 85.064 69.4785
5.600000 85.694 66.2756
5.800000 86.297 62.0589
6.000000 86.664 58.4976
6.150000 86.814 56.3633
6.300000 86.893 54.8820
6.500000 86.934 53.9317
6.700000 86.990 54.0326
6.900000 87.112 54.8920
7.100000 87.334 55.9621
7.300000 87.632 56.8311
7.500000 87.956 57.1769
7.750000 88.321 56.8651
8.000000 88.574 55.9433
8.250000 88.695 54.8304
8.500000 88.705 53.8653
8.750000 88.650 53.2500
9.000000 88.584 52.9782
9.250000 88.544 52.8667
9.500000 88.540 52.6743
9.750000 88.554 52.2043
10.000000 88.550 51.3998
10.300000 88.489 50.0720
10.600000 88.381 48.5369
10.900000 88.258 46.9606
11.200000 88.151 45.4022
11.500000 88.076 43.8368
11.800000 88.037 42.2287
12.200000 88.031 40.0493
12.500000 88.051 38.4780
12.800000 88.090 37.0349
13.200000 88.179 35.3356
13.600000 88.305 33.8360
14.000000 88.440 32.4983
14.500000 88.582 31.1513
15.000000 88.696 30.2816
15.500000 88.804 29.7585
16.000000 88.892 29.3151
16.500000 88.930 28.8613
17.000000 88.921 28.4621
17.500000 88.889 28.0959
18.000000 88.847 27.6208
18.500000 88.793 26.9487
19.000000 88.731 26.1109
19.500000 88.674 25.1626
20.000000 88.635 24.1271
20.600000 88.616 22.8120
21.200001 88.632 21.5008
21.799999 88.680 20.2644
22.400000 88.744 19.1770
23.000000 88.813 18.3145
23.600000 88.883 17.6624
24.299999 88.948 17.0644
25.000000 88.980 16.5992
25.799999 88.982 16.1650
26.500000 88.963 15.7280
27.200001 88.925 15.1821
28.000000 88.875 14.4406
29.000000 88.830 13.3498
30.000000 88.816 12.1824
30.700001 88.825 11.4146
31.500000 88.849 10.6483
32.500000 88.884 9.8597
33.500000 88.905 9.2280
34.500000 88.906 8.6667
35.500000 88.886 8.0949
36.500000 88.854 7.4793
37.500000 88.823 6.8144
38.700001 88.800 5.9741
40.000000 88.784 5.1075
41.200001 88.773 4.4191
42.500000 88.758 3.7617
43.700001 88.736 3.1822
45.000000 88.705 2.5682
46.200001 88.678 2.0033
47.500000 88.650 1.3932
48.700001 88.623 0.8652
50.000000 88.590 0.3369
51.500000 88.550 -0.2274
53.000000 88.517 -0.7644
54.500000 88.491 -1.3018
56.000000 88.471 -1.7603
58.000000 88.451 -2.3971
60.000000 88.417 -3.1187
61.500000 88.384 -3.6968
63.000000 88.350 -4.2320
65.000000 88.305 -4.8580
67.000000 88.257 -5.3998
69.000000 88.202 -5.9195
71.000000 88.150 -6.4670
73.000000 88.095 -7.0226
75.000000 88.041 -7.4947
77.500000 87.983 -8.0851
80.000000 87.925 -8.7134
82.500000 87.862 -9.4156
85.000000 87.781 -10.1280
87.500000 87.688 -10.6924
90.000000 87.598 -11.1101
92.500000 87.517 -11.5057
95.000000 87.440 -11.9187
97.500000 87.359 -12.2794
100.000000 87.276 -12.5993
103.000000 87.182 -12.9391
106.000000 87.101 -13.2304
109.000000 87.023 -13.5812
112.000000 86.941 -14.0011
115.000000 86.814 -14.3771
118.000000 86.629 -14.4583
122.000000 86.500 -14.4885
125.000000 86.453 -14.8425
128.000000 86.388 -14.9911
132.000000 86.267 -15.1366
136.000000 86.152 -15.3198
140.000000 86.043 -15.4963
145.000000 85.900 -15.6882
150.000000 85.746 -15.8825
155.000000 85.571 -15.8706
160.000000 85.406 -15.7269
165.000000 85.239 -15.6687
170.000000 85.057 -15.3902
175.000000 84.908 -14.8152
180.000000 84.799 -14.3457
185.000000 84.686 -14.0067
190.000000 84.574 -13.5262
195.000000 84.504 -12.9128
200.000000 84.472 -12.4450
206.000000 84.454 -11.8351
212.000000 84.373 -11.8348
218.000000 84.220 -11.9343
224.000000 84.083 -11.6706
230.000000 83.963 -11.3721
236.000000 83.844 -11.0018
243.000000 83.700 -10.4718
250.000000 83.553 -9.9156
258.000000 83.408 -9.1128
265.000000 83.306 -8.4508
272.000000 83.197 -7.7888
280.000000 83.087 -6.8755
290.000000 82.995 -5.7899
300.000000 82.885 -4.9929
307.000000 82.791 -4.3278
315.000000 82.689 -3.4848
325.000000 82.570 -2.3127
335.000000 82.476 -1.0962
345.000000 82.395 0.0330
355.000000 82.316 1.1727
365.000000 82.242 2.3146
375.000000 82.173 3.4553
387.000000 82.102 4.8566
400.000000 82.041 6.4197
412.000000 82.001 7.8374
425.000000 81.964 9.3726
437.000000 81.957 10.8128
450.000000 81.976 12.2283
462.000000 81.993 13.2555
475.000000 81.979 14.3673
487.000000 81.966 15.4716
500.000000 81.950 16.6978
515.000000 81.949 18.1246
530.000000 81.944 19.5225
545.000000 81.947 20.9592
560.000000 81.965 22.3961
580.000000 82.004 24.3193
600.000000 82.066 26.1916
615.000000 82.121 27.4340
630.000000 82.159 28.6358
650.000000 82.219 30.3712
670.000000 82.311 32.0494
690.000000 82.391 33.4921
710.000000 82.451 35.0582
730.000000 82.531 36.6947
750.000000 82.622 38.2986
775.000000 82.745 40.2706
800.000000 82.877 42.2735
825.000000 83.052 44.2941
850.000000 83.248 45.9309
875.000000 83.419 47.4853
900.000000 83.595 49.0789
925.000000 83.786 50.6436
950.000000 83.999 52.0867
975.000000 84.218 53.3902
1000.000000 84.441 54.6412
1030.000000 84.738 56.1263
1060.000000 85.079 57.2050
1090.000000 85.390 57.8168
1120.000000 85.667 58.2924
1150.000000 85.920 58.7128
1180.000000 86.164 59.1259
1220.000000 86.508 59.4791
1250.000000 86.739 59.4414
1280.000000 86.931 59.4022
1320.000000 87.157 59.4560
1360.000000 87.370 59.5607
1400.000000 87.586 59.8837
1450.000000 87.909 60.3972
1500.000000 88.202 60.6754
1550.000000 88.411 61.1084
1600.000000 88.598 61.6978
1650.000000 88.779 62.0135
1700.000000 88.933 62.3673
1750.000000 89.073 62.8623
1800.000000 89.220 63.7077
1850.000000 89.446 64.5689
1900.000000 89.732 65.0836
1950.000000 90.072 65.2690
2000.000000 90.451 65.0844
2060.000000 90.870 64.4316
2120.000000 91.238 63.6710
2180.000000 91.569 63.0146
2240.000000 91.912 62.3032
2300.000000 92.245 61.3240
2360.000000 92.577 60.2525
2430.000000 92.978 58.5224
2500.000000 93.330 56.1711
2580.000000 93.634 53.1143
2650.000000 93.843 50.2230
2720.000000 93.979 47.1189
2800.000000 94.053 43.4344
2900.000000 93.978 38.6934
3000.000000 93.726 34.5919
3070.000000 93.498 32.1897
3150.000000 93.204 29.9854
3250.000000 92.835 27.8294
3350.000000 92.431 26.2384
3450.000000 92.028 25.4793
3550.000000 91.674 25.5215
3650.000000 91.415 25.9946
3750.000000 91.204 26.5329
3870.000000 90.977 27.4484
4000.000000 90.792 28.9525
4120.000000 90.731 30.3050
4250.000000 90.736 31.5360
4370.000000 90.793 32.5737
4500.000000 90.947 33.2273
4620.000000 91.124 33.0848
4750.000000 91.303 32.2653
4870.000000 91.465 30.8949
5000.000000 91.583 28.5563
5150.000000 91.538 25.1939
5300.000000 91.298 21.8690
5450.000000 90.865 18.9769
5600.000000 90.251 17.2051
5800.000000 89.362 17.1109
6000.000000 88.556 19.3226
6150.000000 88.118 22.3282
6300.000000 87.892 25.9027
6500.000000 87.957 30.7913
6700.000000 88.457 34.2436
6900.000000 89.200 34.6881
7100.000000 89.858 31.5955
7300.000000 90.141 26.1276
7500.000000 89.989 20.2900
7750.000000 89.384 14.8921
8000.000000 88.753 11.9450
8250.000000 88.317 9.8778
8500.000000 88.030 7.0581
8750.000000 87.747 2.9949
9000.000000 87.318 -2.2581
9250.000000 86.607 -8.0639
9500.000000 85.543 -13.0118
9750.000000 84.253 -15.8005
10000.000000 82.948 -15.9800
10300.000000 81.601 -13.3948
10600.000000 80.626 -9.1666
10900.000000 80.019 -4.4838
11200.000000 79.727 -0.1486
11500.000000 79.692 3.2486
11800.000000 79.848 5.3038
12200.000000 80.220 5.3228
12500.000000 80.452 2.9429
12800.000000 80.445 -0.9811
13200.000000 79.940 -6.1068
13600.000000 79.180 -8.4210
14000.000000 78.706 -8.2089
14500.000000 78.976 -9.1342
15000.000000 79.679 -17.5750
15500.000000 79.547 -30.9649
16000.000000 79.281 -41.7674
16500.000000 79.734 -58.0001
17000.000000 78.708 -81.8873
17500.000000 75.537 -100.3618
18000.000000 71.542 -106.3819
18500.000000 68.090 -100.6089
19000.000000 66.430 -89.9958
19500.000000 65.941 -86.5181
20000.000000 65.682 -86.2950
