* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jul 5, 2025 2:51:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SymphoneEars Hexad L
* Measurement: L SymphoneEars Hexad L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 92.211 169.7722
0.368865 92.210 169.7599
0.371538 92.208 169.7416
0.374230 92.206 169.7187
0.376942 92.203 169.6924
0.379673 92.200 169.6637
0.382424 92.198 169.6331
0.385196 92.195 169.6010
0.387987 92.191 169.5677
0.390798 92.188 169.5332
0.393630 92.185 169.4976
0.396483 92.182 169.4610
0.399356 92.179 169.4232
0.402250 92.176 169.3845
0.405165 92.173 169.3446
0.408101 92.169 169.3036
0.411058 92.166 169.2616
0.414037 92.163 169.2185
0.417037 92.159 169.1743
0.420059 92.156 169.1289
0.423103 92.153 169.0824
0.426169 92.149 169.0348
0.429257 92.146 168.9861
0.432368 92.142 168.9362
0.435501 92.139 168.8851
0.438656 92.135 168.8329
0.441835 92.132 168.7795
0.445037 92.128 168.7250
0.448262 92.125 168.6692
0.451510 92.121 168.6123
0.454782 92.118 168.5541
0.458077 92.114 168.4947
0.461397 92.110 168.4342
0.464740 92.107 168.3724
0.468108 92.103 168.3093
0.471500 92.099 168.2451
0.474917 92.095 168.1796
0.478358 92.092 168.1128
0.481825 92.088 168.0448
0.485316 92.084 167.9756
0.488833 92.080 167.9051
0.492375 92.076 167.8334
0.495943 92.072 167.7604
0.499537 92.068 167.6861
0.503157 92.064 167.6106
0.506803 92.060 167.5338
0.510475 92.056 167.4557
0.514175 92.052 167.3764
0.517900 92.048 167.2959
0.521653 92.044 167.2140
0.525434 92.039 167.1309
0.529241 92.035 167.0466
0.533076 92.031 166.9610
0.536939 92.027 166.8741
0.540830 92.022 166.7861
0.544749 92.018 166.6967
0.548696 92.014 166.6062
0.552673 92.009 166.5144
0.556677 92.005 166.4214
0.560711 92.000 166.3272
0.564774 91.996 166.2318
0.568867 91.991 166.1353
0.572989 91.987 166.0375
0.577141 91.982 165.9386
0.581324 91.978 165.8386
0.585536 91.973 165.7374
0.589779 91.968 165.6351
0.594053 91.964 165.5318
0.598358 91.959 165.4273
0.602694 91.954 165.3218
0.607061 91.949 165.2153
0.611460 91.944 165.1078
0.615891 91.939 164.9993
0.620354 91.935 164.8898
0.624849 91.930 164.7794
0.629377 91.925 164.6681
0.633938 91.920 164.5560
0.638532 91.914 164.4430
0.643159 91.909 164.3292
0.647819 91.904 164.2147
0.652514 91.899 164.0994
0.657242 91.894 163.9834
0.662005 91.888 163.8669
0.666802 91.883 163.7497
0.671634 91.878 163.6320
0.676501 91.872 163.5137
0.681403 91.867 163.3951
0.686341 91.862 163.2760
0.691314 91.856 163.1566
0.696324 91.850 163.0369
0.701370 91.845 162.9169
0.706452 91.839 162.7967
0.711571 91.833 162.6763
0.716728 91.828 162.5558
0.721921 91.822 162.4349
0.727153 91.815 162.3136
0.732422 91.809 162.1917
0.737729 91.802 162.0688
0.743075 91.795 161.9447
0.748460 91.788 161.8192
0.753883 91.780 161.6921
0.759346 91.773 161.5631
0.764849 91.765 161.4324
0.770391 91.757 161.2998
0.775974 91.749 161.1652
0.781597 91.741 161.0288
0.787261 91.733 160.8904
0.792966 91.724 160.7501
0.798712 91.716 160.6078
0.804500 91.707 160.4637
0.810329 91.698 160.3177
0.816201 91.689 160.1697
0.822116 91.680 160.0199
0.828073 91.671 159.8682
0.834074 91.662 159.7147
0.840118 91.653 159.5593
0.846206 91.643 159.4021
0.852338 91.633 159.2431
0.858514 91.624 159.0824
0.864735 91.614 158.9199
0.871001 91.604 158.7556
0.877313 91.594 158.5897
0.883670 91.583 158.4221
0.890074 91.573 158.2529
0.896524 91.563 158.0821
0.903020 91.552 157.9098
0.909564 91.541 157.7360
0.916155 91.530 157.5607
0.922794 91.519 157.3840
0.929481 91.508 157.2059
0.936216 91.497 157.0265
0.943000 91.486 156.8459
0.949834 91.474 156.6640
0.956717 91.463 156.4811
0.963649 91.451 156.2971
0.970632 91.440 156.1122
0.977666 91.428 155.9263
0.984750 91.416 155.7396
0.991886 91.404 155.5521
0.999074 91.391 155.3640
1.006314 91.379 155.1754
1.013606 91.367 154.9863
1.020951 91.354 154.7968
1.028349 91.342 154.6072
1.035801 91.329 154.4173
1.043307 91.316 154.2275
1.050867 91.304 154.0377
1.058482 91.291 153.8482
1.066152 91.278 153.6590
1.073878 91.265 153.4702
1.081660 91.251 153.2820
1.089498 91.238 153.0942
1.097393 91.225 152.9071
1.105345 91.211 152.7204
1.113355 91.198 152.5341
1.121423 91.184 152.3481
1.129549 91.170 152.1623
1.137734 91.156 151.9767
1.145979 91.141 151.7911
1.154283 91.127 151.6055
1.162647 91.112 151.4199
1.171072 91.097 151.2342
1.179558 91.082 151.0483
1.188106 91.067 150.8622
1.196715 91.052 150.6758
1.205387 91.036 150.4891
1.214122 91.021 150.3019
1.222920 91.005 150.1143
1.231782 90.989 149.9261
1.240708 90.973 149.7373
1.249699 90.957 149.5477
1.258754 90.940 149.3574
1.267876 90.924 149.1663
1.277063 90.907 148.9742
1.286318 90.891 148.7810
1.295639 90.874 148.5867
1.305027 90.857 148.3912
1.314484 90.840 148.1944
1.324009 90.823 147.9961
1.333604 90.806 147.7963
1.343268 90.788 147.5948
1.353002 90.771 147.3916
1.362806 90.754 147.1865
1.372681 90.737 146.9794
1.382628 90.719 146.7702
1.392647 90.702 146.5588
1.402739 90.684 146.3450
1.412904 90.667 146.1288
1.423142 90.650 145.9100
1.433455 90.632 145.6886
1.443843 90.615 145.4645
1.454305 90.598 145.2379
1.464844 90.580 145.0087
1.475459 90.563 144.7773
1.486150 90.545 144.5438
1.496920 90.528 144.3084
1.507767 90.510 144.0711
1.518693 90.492 143.8320
1.529698 90.475 143.5912
1.540783 90.457 143.3486
1.551948 90.439 143.1042
1.563194 90.420 142.8580
1.574521 90.402 142.6099
1.585931 90.384 142.3598
1.597423 90.366 142.1078
1.608999 90.348 141.8536
1.620658 90.329 141.5974
1.632402 90.311 141.3389
1.644232 90.293 141.0782
1.656146 90.275 140.8152
1.668147 90.257 140.5498
1.680235 90.238 140.2819
1.692411 90.221 140.0115
1.704675 90.203 139.7384
1.717028 90.185 139.4627
1.729470 90.167 139.1842
1.742003 90.150 138.9028
1.754626 90.132 138.6185
1.767341 90.115 138.3313
1.780147 90.098 138.0409
1.793047 90.082 137.7476
1.806040 90.065 137.4512
1.819128 90.049 137.1519
1.832310 90.033 136.8497
1.845587 90.018 136.5449
1.858961 90.002 136.2377
1.872432 89.987 135.9281
1.886001 89.971 135.6161
1.899667 89.956 135.3018
1.913433 89.942 134.9851
1.927299 89.927 134.6658
1.941265 89.912 134.3439
1.955332 89.898 134.0192
1.969501 89.884 133.6914
1.983773 89.870 133.3606
1.998148 89.857 133.0264
2.012627 89.844 132.6886
2.027212 89.831 132.3472
2.041902 89.818 132.0018
2.056698 89.806 131.6523
2.071602 89.794 131.2985
2.086614 89.783 130.9401
2.101734 89.772 130.5769
2.116964 89.761 130.2088
2.132304 89.751 129.8354
2.147756 89.742 129.4568
2.163320 89.732 129.0728
2.178996 89.724 128.6833
2.194786 89.716 128.2886
2.210690 89.708 127.8886
2.226710 89.701 127.4838
2.242845 89.695 127.0743
2.259098 89.689 126.6601
2.275468 89.683 126.2413
2.291957 89.678 125.8180
2.308566 89.674 125.3900
2.325295 89.670 124.9573
2.342145 89.667 124.5198
2.359117 89.664 124.0773
2.376212 89.662 123.6296
2.393431 89.661 123.1767
2.410775 89.660 122.7184
2.428244 89.660 122.2545
2.445840 89.660 121.7848
2.463564 89.662 121.3092
2.481416 89.663 120.8275
2.499397 89.666 120.3395
2.517509 89.669 119.8450
2.535752 89.673 119.3440
2.554127 89.677 118.8364
2.572635 89.682 118.3222
2.591277 89.688 117.8014
2.610055 89.695 117.2741
2.628968 89.703 116.7406
2.648019 89.711 116.2010
2.667208 89.721 115.6554
2.686535 89.731 115.1040
2.706003 89.742 114.5470
2.725612 89.754 113.9845
2.745363 89.766 113.4166
2.765257 89.780 112.8435
2.785295 89.794 112.2653
2.805478 89.809 111.6821
2.825808 89.825 111.0940
2.846285 89.841 110.5010
2.866910 89.858 109.9033
2.887685 89.876 109.3006
2.908611 89.895 108.6931
2.929688 89.914 108.0806
2.950917 89.935 107.4629
2.972301 89.956 106.8400
2.993839 89.978 106.2120
3.015534 90.001 105.5789
3.037386 90.025 104.9409
3.059396 90.050 104.2985
3.081565 90.075 103.6518
3.103896 90.102 103.0013
3.126388 90.129 102.3473
3.149043 90.157 101.6901
3.171862 90.186 101.0301
3.194847 90.216 100.3675
3.217998 90.246 99.7027
3.241317 90.277 99.0357
3.264805 90.308 98.3665
3.288463 90.340 97.6950
3.312293 90.373 97.0211
3.336295 90.407 96.3445
3.360471 90.441 95.6653
3.384822 90.476 94.9835
3.409350 90.512 94.2995
3.434056 90.549 93.6138
3.458940 90.586 92.9271
3.484005 90.624 92.2400
3.509252 90.663 91.5532
3.534681 90.702 90.8673
3.560295 90.742 90.1829
3.586094 90.782 89.5005
3.612081 90.823 88.8205
3.638255 90.864 88.1429
3.664620 90.906 87.4677
3.691175 90.948 86.7947
3.717923 90.990 86.1235
3.744864 91.033 85.4542
3.772001 91.077 84.7867
3.799335 91.121 84.1215
3.826866 91.166 83.4589
3.854597 91.211 82.7996
3.882529 91.257 82.1440
3.910664 91.303 81.4928
3.939002 91.349 80.8466
3.967546 91.395 80.2057
3.996296 91.442 79.5704
4.025255 91.489 78.9409
4.054423 91.537 78.3169
4.083804 91.585 77.6984
4.113396 91.633 77.0852
4.143204 91.681 76.4774
4.173227 91.730 75.8751
4.203468 91.779 75.2786
4.233928 91.828 74.6882
4.264609 91.878 74.1044
4.295512 91.928 73.5274
4.326639 91.978 72.9577
4.357992 92.028 72.3954
4.389572 92.079 71.8407
4.421380 92.129 71.2936
4.453419 92.180 70.7540
4.485691 92.232 70.2218
4.518196 92.283 69.6969
4.550936 92.335 69.1793
4.583914 92.387 68.6688
4.617131 92.439 68.1656
4.650589 92.491 67.6695
4.684289 92.544 67.1807
4.718233 92.596 66.6993
4.752424 92.649 66.2253
4.786862 92.702 65.7587
4.821549 92.756 65.2995
4.856488 92.809 64.8477
4.891680 92.863 64.4030
4.927127 92.916 63.9653
4.962831 92.970 63.5343
4.998794 93.024 63.1098
5.035017 93.078 62.6915
5.071503 93.132 62.2793
5.108253 93.186 61.8730
5.145270 93.240 61.4727
5.182555 93.295 61.0783
5.220110 93.349 60.6897
5.257937 93.403 60.3068
5.296038 93.457 59.9294
5.334415 93.511 59.5573
5.373071 93.565 59.1901
5.412006 93.619 58.8277
5.451224 93.672 58.4697
5.490725 93.726 58.1161
5.530514 93.779 57.7667
5.570590 93.831 57.4215
5.610957 93.884 57.0805
5.651616 93.936 56.7435
5.692570 93.988 56.4106
5.733821 94.039 56.0815
5.775370 94.090 55.7562
5.817221 94.140 55.4346
5.859375 94.189 55.1165
5.901834 94.238 54.8018
5.944602 94.287 54.4906
5.987679 94.335 54.1828
6.031068 94.382 53.8785
6.074771 94.428 53.5776
6.118792 94.474 53.2803
6.163131 94.519 52.9866
6.207792 94.563 52.6965
6.252776 94.606 52.4099
6.298086 94.648 52.1268
6.343725 94.690 51.8472
6.389694 94.730 51.5712
6.435996 94.770 51.2987
6.482634 94.809 51.0299
6.529610 94.847 50.7649
6.576926 94.884 50.5036
6.624585 94.920 50.2461
6.672590 94.956 49.9924
6.720942 94.990 49.7424
6.769645 95.024 49.4959
6.818700 95.056 49.2530
6.868111 95.088 49.0134
6.917881 95.120 48.7773
6.968010 95.150 48.5445
7.018504 95.179 48.3149
7.069362 95.208 48.0884
7.120590 95.236 47.8647
7.172189 95.263 47.6437
7.224161 95.290 47.4250
7.276511 95.315 47.2085
7.329239 95.340 46.9938
7.382350 95.365 46.7809
