* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jul 5, 2025 2:53:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SymphoneEars Hexad R
* Measurement: R SymphoneEars Hexad L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.769 177.5846
0.368865 89.771 177.5755
0.371538 89.774 177.5620
0.374230 89.778 177.5452
0.376942 89.782 177.5261
0.379673 89.787 177.5054
0.382424 89.792 177.4835
0.385196 89.797 177.4608
0.387987 89.802 177.4375
0.390798 89.808 177.4136
0.393630 89.813 177.3892
0.396483 89.818 177.3642
0.399356 89.824 177.3388
0.402250 89.829 177.3128
0.405165 89.835 177.2863
0.408101 89.840 177.2594
0.411058 89.846 177.2318
0.414037 89.851 177.2038
0.417037 89.857 177.1752
0.420059 89.863 177.1461
0.423103 89.869 177.1165
0.426169 89.874 177.0862
0.429257 89.880 177.0555
0.432368 89.886 177.0241
0.435501 89.892 176.9921
0.438656 89.898 176.9595
0.441835 89.904 176.9264
0.445037 89.910 176.8926
0.448262 89.916 176.8582
0.451510 89.922 176.8232
0.454782 89.928 176.7875
0.458077 89.934 176.7512
0.461397 89.941 176.7142
0.464740 89.947 176.6765
0.468108 89.953 176.6382
0.471500 89.960 176.5992
0.474917 89.966 176.5594
0.478358 89.973 176.5190
0.481825 89.979 176.4778
0.485316 89.986 176.4359
0.488833 89.992 176.3932
0.492375 89.999 176.3498
0.495943 90.006 176.3057
0.499537 90.013 176.2607
0.503157 90.019 176.2150
0.506803 90.026 176.1684
0.510475 90.033 176.1211
0.514175 90.040 176.0729
0.517900 90.047 176.0238
0.521653 90.054 175.9740
0.525434 90.061 175.9232
0.529241 90.068 175.8716
0.533076 90.076 175.8191
0.536939 90.083 175.7657
0.540830 90.090 175.7113
0.544749 90.098 175.6561
0.548696 90.105 175.5998
0.552673 90.113 175.5426
0.556677 90.120 175.4845
0.560711 90.128 175.4253
0.564774 90.135 175.3652
0.568867 90.143 175.3040
0.572989 90.151 175.2418
0.577141 90.159 175.1785
0.581324 90.167 175.1142
0.585536 90.175 175.0487
0.589779 90.183 174.9822
0.594053 90.191 174.9145
0.598358 90.199 174.8457
0.602694 90.207 174.7757
0.607061 90.215 174.7046
0.611460 90.223 174.6322
0.615891 90.232 174.5587
0.620354 90.240 174.4838
0.624849 90.249 174.4078
0.629377 90.257 174.3304
0.633938 90.266 174.2518
0.638532 90.274 174.1718
0.643159 90.283 174.0905
0.647819 90.292 174.0078
0.652514 90.301 173.9236
0.657242 90.310 173.8381
0.662005 90.319 173.7512
0.666802 90.328 173.6627
0.671634 90.337 173.5728
0.676501 90.346 173.4813
0.681403 90.355 173.3883
0.686341 90.364 173.2937
0.691314 90.374 173.1975
0.696324 90.383 173.0997
0.701370 90.393 173.0001
0.706452 90.402 172.8989
0.711571 90.412 172.7959
0.716728 90.422 172.6911
0.721921 90.431 172.5844
0.727153 90.441 172.4758
0.732422 90.451 172.3652
0.737729 90.460 172.2526
0.743075 90.470 172.1378
0.748460 90.480 172.0207
0.753883 90.489 171.9015
0.759346 90.499 171.7799
0.764849 90.509 171.6561
0.770391 90.519 171.5299
0.775974 90.529 171.4015
0.781597 90.539 171.2707
0.787261 90.549 171.1376
0.792966 90.559 171.0021
0.798712 90.570 170.8644
0.804500 90.580 170.7243
0.810329 90.590 170.5820
0.816201 90.601 170.4373
0.822116 90.612 170.2903
0.828073 90.622 170.1409
0.834074 90.633 169.9893
0.840118 90.644 169.8354
0.846206 90.655 169.6792
0.852338 90.666 169.5207
0.858514 90.677 169.3600
0.864735 90.688 169.1969
0.871001 90.699 169.0316
0.877313 90.710 168.8640
0.883670 90.721 168.6942
0.890074 90.732 168.5221
0.896524 90.744 168.3477
0.903020 90.755 168.1712
0.909564 90.766 167.9924
0.916155 90.777 167.8114
0.922794 90.789 167.6282
0.929481 90.800 167.4427
0.936216 90.811 167.2551
0.943000 90.823 167.0653
0.949834 90.834 166.8733
0.956717 90.845 166.6792
0.963649 90.857 166.4829
0.970632 90.868 166.2844
0.977666 90.879 166.0838
0.984750 90.890 165.8810
0.991886 90.902 165.6760
0.999074 90.913 165.4690
1.006314 90.924 165.2598
1.013606 90.935 165.0484
1.020951 90.946 164.8350
1.028349 90.956 164.6194
1.035801 90.967 164.4016
1.043307 90.978 164.1817
1.050867 90.988 163.9597
1.058482 90.999 163.7354
1.066152 91.009 163.5089
1.073878 91.019 163.2800
1.081660 91.029 163.0487
1.089498 91.039 162.8146
1.097393 91.049 162.5776
1.105345 91.058 162.3372
1.113355 91.068 162.0932
1.121423 91.077 161.8452
1.129549 91.086 161.5931
1.137734 91.096 161.3367
1.145979 91.105 161.0759
1.154283 91.114 160.8108
1.162647 91.123 160.5414
1.171072 91.131 160.2676
1.179558 91.140 159.9896
1.188106 91.149 159.7074
1.196715 91.157 159.4210
1.205387 91.165 159.1306
1.214122 91.174 158.8361
1.222920 91.182 158.5377
1.231782 91.190 158.2354
1.240708 91.198 157.9293
1.249699 91.205 157.6195
1.258754 91.213 157.3061
1.267876 91.220 156.9891
1.277063 91.228 156.6687
1.286318 91.235 156.3450
1.295639 91.242 156.0181
1.305027 91.249 155.6880
1.314484 91.255 155.3549
1.324009 91.262 155.0190
1.333604 91.268 154.6802
1.343268 91.274 154.3389
1.353002 91.280 153.9950
1.362806 91.286 153.6488
1.372681 91.291 153.3003
1.382628 91.297 152.9498
1.392647 91.302 152.5973
1.402739 91.307 152.2429
1.412904 91.311 151.8868
1.423142 91.316 151.5291
1.433455 91.320 151.1696
1.443843 91.324 150.8083
1.454305 91.328 150.4448
1.464844 91.331 150.0788
1.475459 91.334 149.7097
1.486150 91.337 149.3367
1.496920 91.340 148.9596
1.507767 91.342 148.5779
1.518693 91.344 148.1915
1.529698 91.345 147.8002
1.540783 91.346 147.4041
1.551948 91.347 147.0031
1.563194 91.348 146.5974
1.574521 91.348 146.1870
1.585931 91.348 145.7722
1.597423 91.347 145.3529
1.608999 91.347 144.9294
1.620658 91.345 144.5017
1.632402 91.344 144.0701
1.644232 91.342 143.6348
1.656146 91.340 143.1958
1.668147 91.338 142.7534
1.680235 91.335 142.3078
1.692411 91.333 141.8592
1.704675 91.329 141.4078
1.717028 91.326 140.9538
1.729470 91.322 140.4975
1.742003 91.319 140.0391
1.754626 91.314 139.5788
1.767341 91.310 139.1167
1.780147 91.305 138.6532
1.793047 91.301 138.1880
1.806040 91.296 137.7213
1.819128 91.290 137.2526
1.832310 91.285 136.7815
1.845587 91.278 136.3073
1.858961 91.272 135.8292
1.872432 91.265 135.3467
1.886001 91.258 134.8595
1.899667 91.250 134.3673
1.913433 91.242 133.8700
1.927299 91.233 133.3678
1.941265 91.224 132.8606
1.955332 91.215 132.3488
1.969501 91.205 131.8326
1.983773 91.195 131.3121
1.998148 91.184 130.7878
2.012627 91.173 130.2599
2.027212 91.162 129.7288
2.041902 91.151 129.1949
2.056698 91.140 128.6586
2.071602 91.128 128.1204
2.086614 91.117 127.5808
2.101734 91.105 127.0403
2.116964 91.094 126.4994
2.132304 91.082 125.9587
2.147756 91.070 125.4184
2.163320 91.059 124.8790
2.178996 91.047 124.3407
2.194786 91.035 123.8032
2.210690 91.024 123.2663
2.226710 91.012 122.7296
2.242845 91.000 122.1925
2.259098 90.987 121.6547
2.275468 90.975 121.1158
2.291957 90.962 120.5758
2.308566 90.949 120.0345
2.325295 90.936 119.4919
2.342145 90.923 118.9482
2.359117 90.910 118.4033
2.376212 90.897 117.8575
2.393431 90.884 117.3109
2.410775 90.871 116.7637
2.428244 90.859 116.2162
2.445840 90.847 115.6687
2.463564 90.836 115.1217
2.481416 90.825 114.5754
2.499397 90.814 114.0303
2.517509 90.805 113.4869
2.535752 90.796 112.9458
2.554127 90.788 112.4074
2.572635 90.780 111.8723
2.591277 90.773 111.3406
2.610055 90.767 110.8127
2.628968 90.761 110.2884
2.648019 90.755 109.7676
2.667208 90.751 109.2499
2.686535 90.746 108.7352
2.706003 90.743 108.2228
2.725612 90.740 107.7126
2.745363 90.738 107.2040
2.765257 90.737 106.6966
2.785295 90.737 106.1901
2.805478 90.738 105.6840
2.825808 90.740 105.1782
2.846285 90.743 104.6725
2.866910 90.748 104.1667
2.887685 90.754 103.6611
2.908611 90.762 103.1561
2.929688 90.771 102.6524
2.950917 90.782 102.1510
2.972301 90.794 101.6526
2.993839 90.808 101.1577
3.015534 90.823 100.6664
3.037386 90.840 100.1786
3.059396 90.858 99.6937
3.081565 90.878 99.2111
3.103896 90.900 98.7300
3.126388 90.922 98.2495
3.149043 90.947 97.7688
3.171862 90.973 97.2868
3.194847 91.000 96.8029
3.217998 91.029 96.3163
3.241317 91.059 95.8266
3.264805 91.091 95.3336
3.288463 91.124 94.8377
3.312293 91.159 94.3395
3.336295 91.196 93.8398
3.360471 91.235 93.3394
3.384822 91.276 92.8386
3.409350 91.319 92.3375
3.434056 91.363 91.8358
3.458940 91.409 91.3331
3.484005 91.456 90.8288
3.509252 91.505 90.3221
3.534681 91.554 89.8123
3.560295 91.605 89.2987
3.586094 91.657 88.7803
3.612081 91.709 88.2568
3.638255 91.762 87.7275
3.664620 91.816 87.1925
3.691175 91.871 86.6518
3.717923 91.927 86.1059
3.744864 91.984 85.5553
3.772001 92.043 85.0006
3.799335 92.102 84.4422
3.826866 92.161 83.8807
3.854597 92.222 83.3163
3.882529 92.283 82.7495
3.910664 92.344 82.1803
3.939002 92.404 81.6089
3.967546 92.465 81.0349
3.996296 92.526 80.4583
4.025255 92.586 79.8784
4.054423 92.646 79.2950
4.083804 92.706 78.7078
4.113396 92.766 78.1170
4.143204 92.826 77.5232
4.173227 92.885 76.9272
4.203468 92.944 76.3302
4.233928 93.003 75.7332
4.264609 93.061 75.1375
4.295512 93.118 74.5439
4.326639 93.175 73.9531
4.357992 93.231 73.3654
4.389572 93.286 72.7806
4.421380 93.340 72.1981
4.453419 93.392 71.6176
4.485691 93.444 71.0389
4.518196 93.495 70.4623
4.550936 93.545 69.8887
4.583914 93.595 69.3193
4.617131 93.643 68.7554
4.650589 93.690 68.1984
4.684289 93.737 67.6494
4.718233 93.783 67.1092
4.752424 93.827 66.5783
4.786862 93.871 66.0564
4.821549 93.914 65.5434
4.856488 93.956 65.0388
4.891680 93.997 64.5427
4.927127 94.037 64.0553
4.962831 94.077 63.5772
4.998794 94.116 63.1089
5.035017 94.154 62.6513
5.071503 94.192 62.2050
5.108253 94.230 61.7706
5.145270 94.268 61.3484
5.182555 94.306 60.9383
5.220110 94.343 60.5401
5.257937 94.380 60.1533
5.296038 94.417 59.7773
5.334415 94.454 59.4115
5.373071 94.491 59.0555
5.412006 94.528 58.7089
5.451224 94.566 58.3716
5.490725 94.604 58.0435
5.530514 94.643 57.7246
5.570590 94.682 57.4149
5.610957 94.722 57.1139
5.651616 94.762 56.8206
5.692570 94.803 56.5339
5.733821 94.844 56.2527
5.775370 94.886 55.9757
5.817221 94.929 55.7020
5.859375 94.972 55.4310
5.901834 95.015 55.1626
5.944602 95.059 54.8966
5.987679 95.104 54.6325
6.031068 95.149 54.3698
6.074771 95.194 54.1077
6.118792 95.239 53.8451
6.163131 95.284 53.5813
6.207792 95.329 53.3155
6.252776 95.374 53.0473
6.298086 95.418 52.7766
6.343725 95.462 52.5034
6.389694 95.506 52.2280
6.435996 95.549 51.9505
6.482634 95.592 51.6710
6.529610 95.633 51.3894
6.576926 95.673 51.1057
6.624585 95.713 50.8199
6.672590 95.751 50.5321
6.720942 95.787 50.2427
6.769645 95.823 49.9523
6.818700 95.857 49.6616
6.868111 95.890 49.3715
6.917881 95.921 49.0826
6.968010 95.951 48.7952
7.018504 95.979 48.5097
7.069362 96.006 48.2263
7.120590 96.032 47.9454
7.172189 96.056 47.6677
7.224161 96.078 47.3936
7.276511 96.100 47.1240
7.329239 96.120 46.8592
7.382350 96.139 46.5994
