* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Apr 5, 2025 3:05:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L TANGZU Wan'er S.G II
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.298 159.7915
0.368865 94.293 159.7700
0.371538 94.284 159.7378
0.374230 94.274 159.6973
0.376942 94.262 159.6507
0.379673 94.250 159.5995
0.382424 94.237 159.5447
0.385196 94.223 159.4869
0.387987 94.209 159.4265
0.390798 94.196 159.3636
0.393630 94.182 159.2985
0.396483 94.168 159.2310
0.399356 94.153 159.1612
0.402250 94.139 159.0892
0.405165 94.125 159.0148
0.408101 94.110 158.9380
0.411058 94.095 158.8590
0.414037 94.081 158.7775
0.417037 94.066 158.6936
0.420059 94.051 158.6074
0.423103 94.036 158.5186
0.426169 94.021 158.4274
0.429257 94.005 158.3337
0.432368 93.990 158.2375
0.435501 93.975 158.1388
0.438656 93.959 158.0375
0.441835 93.943 157.9336
0.445037 93.927 157.8272
0.448262 93.911 157.7181
0.451510 93.895 157.6064
0.454782 93.879 157.4921
0.458077 93.863 157.3750
0.461397 93.846 157.2553
0.464740 93.830 157.1329
0.468108 93.813 157.0078
0.471500 93.797 156.8799
0.474917 93.780 156.7493
0.478358 93.763 156.6159
0.481825 93.745 156.4798
0.485316 93.728 156.3408
0.488833 93.711 156.1991
0.492375 93.693 156.0546
0.495943 93.676 155.9072
0.499537 93.658 155.7570
0.503157 93.640 155.6040
0.506803 93.622 155.4482
0.510475 93.604 155.2896
0.514175 93.585 155.1281
0.517900 93.567 154.9637
0.521653 93.548 154.7965
0.525434 93.530 154.6266
0.529241 93.511 154.4537
0.533076 93.492 154.2781
0.536939 93.473 154.0996
0.540830 93.454 153.9184
0.544749 93.434 153.7344
0.548696 93.415 153.5476
0.552673 93.395 153.3580
0.556677 93.375 153.1658
0.560711 93.355 152.9708
0.564774 93.335 152.7732
0.568867 93.315 152.5729
0.572989 93.295 152.3700
0.577141 93.274 152.1646
0.581324 93.253 151.9566
0.585536 93.232 151.7461
0.589779 93.212 151.5332
0.594053 93.190 151.3179
0.598358 93.169 151.1003
0.602694 93.148 150.8803
0.607061 93.126 150.6582
0.611460 93.104 150.4340
0.615891 93.082 150.2077
0.620354 93.060 149.9793
0.624849 93.038 149.7491
0.629377 93.016 149.5171
0.633938 92.993 149.2834
0.638532 92.970 149.0480
0.643159 92.948 148.8112
0.647819 92.924 148.5729
0.652514 92.901 148.3334
0.657242 92.878 148.0928
0.662005 92.854 147.8511
0.666802 92.831 147.6086
0.671634 92.807 147.3653
0.676501 92.783 147.1215
0.681403 92.758 146.8774
0.686341 92.734 146.6330
0.691314 92.709 146.3885
0.696324 92.684 146.1442
0.701370 92.659 145.9002
0.706452 92.634 145.6566
0.711571 92.608 145.4134
0.716728 92.581 145.1707
0.721921 92.553 144.9282
0.727153 92.524 144.6854
0.732422 92.493 144.4418
0.737729 92.459 144.1964
0.743075 92.424 143.9482
0.748460 92.387 143.6965
0.753883 92.349 143.4406
0.759346 92.310 143.1800
0.764849 92.271 142.9144
0.770391 92.230 142.6436
0.775974 92.189 142.3676
0.781597 92.148 142.0860
0.787261 92.106 141.7990
0.792966 92.063 141.5064
0.798712 92.020 141.2081
0.804500 91.976 140.9042
0.810329 91.932 140.5945
0.816201 91.887 140.2790
0.822116 91.841 139.9577
0.828073 91.795 139.6306
0.834074 91.748 139.2975
0.840118 91.700 138.9586
0.846206 91.651 138.6136
0.852338 91.602 138.2628
0.858514 91.552 137.9060
0.864735 91.501 137.5432
0.871001 91.449 137.1745
0.877313 91.396 136.7998
0.883670 91.343 136.4192
0.890074 91.288 136.0328
0.896524 91.232 135.6405
0.903020 91.176 135.2424
0.909564 91.118 134.8387
0.916155 91.059 134.4293
0.922794 90.999 134.0144
0.929481 90.937 133.5941
0.936216 90.875 133.1686
0.943000 90.811 132.7379
0.949834 90.746 132.3024
0.956717 90.679 131.8620
0.963649 90.611 131.4171
0.970632 90.542 130.9680
0.977666 90.470 130.5148
0.984750 90.398 130.0578
0.991886 90.323 129.5975
0.999074 90.247 129.1341
1.006314 90.169 128.6680
1.013606 90.090 128.1996
1.020951 90.008 127.7294
1.028349 89.925 127.2580
1.035801 89.839 126.7857
1.043307 89.752 126.3132
1.050867 89.662 125.8411
1.058482 89.570 125.3700
1.066152 89.476 124.9004
1.073878 89.379 124.4328
1.081660 89.280 123.9677
1.089498 89.179 123.5051
1.097393 89.075 123.0449
1.105345 88.970 122.5867
1.113355 88.861 122.1298
1.121423 88.751 121.6734
1.129549 88.638 121.2169
1.137734 88.524 120.7595
1.145979 88.407 120.3007
1.154283 88.287 119.8402
1.162647 88.166 119.3772
1.171072 88.042 118.9115
1.179558 87.916 118.4426
1.188106 87.787 117.9699
1.196715 87.656 117.4929
1.205387 87.523 117.0112
1.214122 87.386 116.5242
1.222920 87.248 116.0313
1.231782 87.106 115.5318
1.240708 86.962 115.0252
1.249699 86.815 114.5107
1.258754 86.665 113.9876
1.267876 86.512 113.4552
1.277063 86.356 112.9126
1.286318 86.197 112.3589
1.295639 86.035 111.7933
1.305027 85.870 111.2148
1.314484 85.702 110.6222
1.324009 85.530 110.0147
1.333604 85.355 109.3910
1.343268 85.176 108.7499
1.353002 84.994 108.0902
1.362806 84.809 107.4106
1.372681 84.619 106.7097
1.382628 84.426 105.9861
1.392647 84.229 105.2385
1.402739 84.027 104.4653
1.412904 83.822 103.6651
1.423142 83.612 102.8366
1.433455 83.396 101.9783
1.443843 83.175 101.0891
1.454305 82.947 100.1676
1.464844 82.710 99.2127
1.475459 82.462 98.2226
1.486150 82.202 97.1955
1.496920 81.928 96.1284
1.507767 81.639 95.0176
1.518693 81.335 93.8587
1.529698 81.017 92.6465
1.540783 80.686 91.3746
1.551948 80.341 90.0362
1.563194 79.985 88.6231
1.574521 79.619 87.1260
1.585931 79.245 85.5345
1.597423 78.863 83.8366
1.608999 78.476 82.0186
1.620658 78.086 80.0649
1.632402 77.694 77.9579
1.644232 77.302 75.6777
1.656146 76.914 73.2021
1.668147 76.530 70.5064
1.680235 76.154 67.5642
1.692411 75.788 64.3477
1.704675 75.434 60.8289
1.717028 75.096 56.9820
1.729470 74.777 52.7865
1.742003 74.480 48.2311
1.754626 74.208 43.3189
1.767341 73.965 38.0726
1.780147 73.755 32.5382
1.793047 73.581 26.7847
1.806040 73.447 20.9003
1.819128 73.356 14.9822
1.832310 73.311 9.1248
1.845587 73.314 3.4092
1.858961 73.365 -2.1013
1.872432 73.463 -7.3616
1.886001 73.607 -12.3424
1.899667 73.794 -17.0278
1.913433 74.022 -21.4126
1.927299 74.287 -25.5003
1.941265 74.586 -29.3002
1.955332 74.915 -32.8256
1.969501 75.271 -36.0924
1.983773 75.648 -39.1176
1.998148 76.044 -41.9182
2.012627 76.454 -44.5107
2.027212 76.874 -46.9107
2.041902 77.300 -49.1327
2.056698 77.727 -51.1901
2.071602 78.151 -53.0947
2.086614 78.568 -54.8576
2.101734 78.973 -56.4886
2.116964 79.363 -57.9970
2.132304 79.734 -59.3916
2.147756 80.084 -60.6813
2.163320 80.410 -61.8757
2.178996 80.712 -62.9852
2.194786 80.991 -64.0217
2.210690 81.249 -64.9978
2.226710 81.489 -65.9255
2.242845 81.713 -66.8145
2.259098 81.925 -67.6719
2.275468 82.126 -68.5022
2.291957 82.316 -69.3081
2.308566 82.497 -70.0909
2.325295 82.670 -70.8509
2.342145 82.835 -71.5879
2.359117 82.993 -72.3012
2.376212 83.145 -72.9898
2.393431 83.291 -73.6525
2.410775 83.431 -74.2879
2.428244 83.567 -74.8945
2.445840 83.699 -75.4705
2.463564 83.828 -76.0144
2.481416 83.954 -76.5247
2.499397 84.077 -77.0000
2.517509 84.199 -77.4396
2.535752 84.318 -77.8438
2.554127 84.436 -78.2134
2.572635 84.549 -78.5509
2.591277 84.659 -78.8591
2.610055 84.764 -79.1412
2.628968 84.864 -79.3998
2.648019 84.958 -79.6370
2.667208 85.047 -79.8542
2.686535 85.131 -80.0524
2.706003 85.211 -80.2325
2.725612 85.287 -80.3946
2.745363 85.360 -80.5393
2.765257 85.430 -80.6665
2.785295 85.498 -80.7764
2.805478 85.566 -80.8688
2.825808 85.633 -80.9436
2.846285 85.700 -81.0005
2.866910 85.769 -81.0392
2.887685 85.838 -81.0589
2.908611 85.909 -81.0589
2.929688 85.982 -81.0384
2.950917 86.055 -80.9965
2.972301 86.129 -80.9329
2.993839 86.202 -80.8479
3.015534 86.276 -80.7424
3.037386 86.349 -80.6181
3.059396 86.422 -80.4769
3.081565 86.495 -80.3211
3.103896 86.568 -80.1532
3.126388 86.642 -79.9758
3.149043 86.717 -79.7914
3.171862 86.793 -79.6025
3.194847 86.871 -79.4115
3.217998 86.951 -79.2201
3.241317 87.033 -79.0297
3.264805 87.117 -78.8406
3.288463 87.204 -78.6523
3.312293 87.294 -78.4633
3.336295 87.387 -78.2721
3.360471 87.483 -78.0781
3.384822 87.580 -77.8816
3.409350 87.680 -77.6842
3.434056 87.782 -77.4882
3.458940 87.886 -77.2966
3.484005 87.991 -77.1125
3.509252 88.097 -76.9394
3.534681 88.204 -76.7805
3.560295 88.311 -76.6389
3.586094 88.419 -76.5170
3.612081 88.527 -76.4168
3.638255 88.635 -76.3393
3.664620 88.744 -76.2844
3.691175 88.852 -76.2513
3.717923 88.961 -76.2384
3.744864 89.071 -76.2445
3.772001 89.181 -76.2684
3.799335 89.291 -76.3094
3.826866 89.401 -76.3670
3.854597 89.511 -76.4409
3.882529 89.619 -76.5311
3.910664 89.726 -76.6375
3.939002 89.832 -76.7605
3.967546 89.935 -76.9004
3.996296 90.036 -77.0574
4.025255 90.135 -77.2323
4.054423 90.232 -77.4252
4.083804 90.326 -77.6362
4.113396 90.418 -77.8645
4.143204 90.508 -78.1091
4.173227 90.595 -78.3683
4.203468 90.680 -78.6402
4.233928 90.762 -78.9230
4.264609 90.842 -79.2147
4.295512 90.920 -79.5140
4.326639 90.994 -79.8198
4.357992 91.065 -80.1317
4.389572 91.134 -80.4499
4.421380 91.199 -80.7752
4.453419 91.260 -81.1083
4.485691 91.319 -81.4492
4.518196 91.374 -81.7972
4.550936 91.426 -82.1506
4.583914 91.476 -82.5073
4.617131 91.522 -82.8649
4.650589 91.566 -83.2209
4.684289 91.607 -83.5733
4.718233 91.646 -83.9206
4.752424 91.683 -84.2619
4.786862 91.717 -84.5975
4.821549 91.748 -84.9279
4.856488 91.777 -85.2536
4.891680 91.804 -85.5747
4.927127 91.828 -85.8909
4.962831 91.850 -86.2013
4.998794 91.871 -86.5050
5.035017 91.891 -86.8007
5.071503 91.910 -87.0873
5.108253 91.928 -87.3639
5.145270 91.946 -87.6299
5.182555 91.963 -87.8853
5.220110 91.979 -88.1307
5.257937 91.995 -88.3669
5.296038 92.011 -88.5952
5.334415 92.026 -88.8168
5.373071 92.042 -89.0330
5.412006 92.059 -89.2446
5.451224 92.077 -89.4523
5.490725 92.096 -89.6564
5.530514 92.116 -89.8567
5.570590 92.138 -90.0537
5.610957 92.161 -90.2482
5.651616 92.185 -90.4419
5.692570 92.211 -90.6370
5.733821 92.238 -90.8358
5.775370 92.266 -91.0407
5.817221 92.296 -91.2534
5.859375 92.328 -91.4751
5.901834 92.361 -91.7064
5.944602 92.396 -91.9476
5.987679 92.432 -92.1992
6.031068 92.470 -92.4621
6.074771 92.508 -92.7376
6.118792 92.547 -93.0272
6.163131 92.587 -93.3323
6.207792 92.627 -93.6541
6.252776 92.668 -93.9932
6.298086 92.708 -94.3497
6.343725 92.749 -94.7232
6.389694 92.790 -95.1129
6.435996 92.830 -95.5181
6.482634 92.870 -95.9380
6.529610 92.909 -96.3722
6.576926 92.947 -96.8203
6.624585 92.984 -97.2823
6.672590 93.020 -97.7577
6.720942 93.055 -98.2456
6.769645 93.088 -98.7445
