* Measurement data measured by REW V5.30.5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 12, 2024 1:17:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TIMSOK TS-316 L
* Measurement: L TIMSOK TS-316
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 80.279 9.0324
1.106594 80.354 9.0599
1.114613 80.465 9.1000
1.122690 80.601 9.1488
1.130825 80.753 9.2026
1.139020 80.915 9.2586
1.147273 81.084 9.3147
1.155587 81.256 9.3692
1.163961 81.431 9.4211
1.172395 81.609 9.4693
1.180891 81.787 9.5130
1.189448 81.968 9.5514
1.198068 82.149 9.5838
1.206749 82.332 9.6097
1.215494 82.517 9.6284
1.224302 82.702 9.6393
1.233174 82.889 9.6421
1.242110 83.078 9.6360
1.251111 83.268 9.6208
1.260177 83.459 9.5959
1.269308 83.651 9.5610
1.278506 83.845 9.5156
1.287771 84.041 9.4594
1.297103 84.237 9.3920
1.306502 84.436 9.3130
1.315969 84.635 9.2221
1.325505 84.836 9.1190
1.335111 85.039 9.0034
1.344785 85.243 8.8749
1.354530 85.448 8.7333
1.364346 85.655 8.5783
1.374232 85.864 8.4095
1.384191 86.073 8.2268
1.394221 86.284 8.0299
1.404324 86.496 7.8187
1.414500 86.709 7.5931
1.424751 86.921 7.3532
1.435075 87.133 7.0996
1.445474 87.343 6.8330
1.455948 87.550 6.5547
1.466499 87.752 6.2666
1.477126 87.950 5.9708
1.487830 88.143 5.6694
1.498611 88.332 5.3639
1.509471 88.518 5.0553
1.520409 88.703 4.7443
1.531427 88.885 4.4310
1.542524 89.066 4.1154
1.553702 89.246 3.7972
1.564960 89.425 3.4763
1.576301 89.603 3.1523
1.587723 89.779 2.8249
1.599229 89.955 2.4938
1.610817 90.130 2.1585
1.622490 90.303 1.8186
1.634247 90.476 1.4739
1.646089 90.649 1.1239
1.658018 90.820 0.7683
1.670032 90.991 0.4066
1.682134 91.160 0.0384
1.694323 91.330 -0.3366
1.706601 91.498 -0.7189
1.718968 91.667 -1.1089
1.731424 91.834 -1.5070
1.743971 92.002 -1.9136
1.756608 92.169 -2.3290
1.769338 92.335 -2.7537
1.782159 92.502 -3.1879
1.795073 92.668 -3.6317
1.808081 92.833 -4.0852
1.821183 92.998 -4.5480
1.834380 93.163 -5.0195
1.847673 93.327 -5.4991
1.861062 93.489 -5.9856
1.874548 93.651 -6.4783
1.888132 93.811 -6.9763
1.901814 93.971 -7.4789
1.915595 94.129 -7.9857
1.929476 94.285 -8.4962
1.943458 94.441 -9.0100
1.957541 94.595 -9.5269
1.971726 94.749 -10.0466
1.986014 94.901 -10.5689
2.000406 95.052 -11.0937
2.014902 95.202 -11.6210
2.029502 95.351 -12.1507
2.044209 95.499 -12.6829
2.059022 95.647 -13.2176
2.073943 95.793 -13.7549
2.088971 95.939 -14.2950
2.104109 96.084 -14.8381
2.119356 96.229 -15.3845
2.134714 96.373 -15.9345
2.150183 96.516 -16.4886
2.165764 96.659 -17.0471
2.181458 96.801 -17.6107
2.197266 96.943 -18.1799
2.213188 97.083 -18.7551
2.229226 97.223 -19.3366
2.245379 97.361 -19.9242
2.261650 97.498 -20.5176
2.278039 97.634 -21.1164
2.294547 97.768 -21.7198
2.311174 97.901 -22.3271
2.327922 98.033 -22.9378
2.344791 98.164 -23.5511
2.361782 98.293 -24.1665
2.378897 98.422 -24.7833
2.396135 98.549 -25.4010
2.413498 98.675 -26.0193
2.430988 98.800 -26.6377
2.448604 98.924 -27.2559
2.466347 99.047 -27.8738
2.484219 99.170 -28.4912
2.502221 99.291 -29.1084
2.520353 99.412 -29.7258
2.538617 99.532 -30.3439
2.557013 99.651 -30.9638
2.575542 99.769 -31.5865
2.594205 99.886 -32.2133
2.613004 100.001 -32.8446
2.631939 100.115 -33.4808
2.651011 100.228 -34.1216
2.670221 100.339 -34.7664
2.689571 100.449 -35.4143
2.709061 100.557 -36.0644
2.728692 100.664 -36.7158
2.748465 100.770 -37.3675
2.768381 100.875 -38.0186
2.788442 100.979 -38.6681
2.808648 101.081 -39.3152
2.829001 101.183 -39.9592
2.849501 101.283 -40.5998
2.870150 101.383 -41.2365
2.890948 101.481 -41.8698
2.911897 101.579 -42.5001
2.932998 101.675 -43.1285
2.954252 101.771 -43.7566
2.975659 101.865 -44.3853
2.997222 101.957 -45.0155
3.018941 102.048 -45.6474
3.040818 102.138 -46.2806
3.062853 102.226 -46.9145
3.085048 102.313 -47.5482
3.107403 102.399 -48.1807
3.129921 102.484 -48.8109
3.152601 102.567 -49.4378
3.175447 102.650 -50.0603
3.198457 102.731 -50.6774
3.221634 102.812 -51.2886
3.244980 102.892 -51.8933
3.268494 102.971 -52.4916
3.292179 103.049 -53.0841
3.316035 103.126 -53.6717
3.340065 103.202 -54.2554
3.364268 103.276 -54.8363
3.388647 103.350 -55.4146
3.413202 103.422 -55.9903
3.437936 103.493 -56.5632
3.462848 103.563 -57.1327
3.487942 103.633 -57.6980
3.513217 103.701 -58.2582
3.538675 103.769 -58.8126
3.564318 103.836 -59.3603
3.590146 103.903 -59.9006
3.616162 103.969 -60.4330
3.642366 104.035 -60.9572
3.668760 104.100 -61.4736
3.695346 104.165 -61.9825
3.722124 104.229 -62.4845
3.749096 104.293 -62.9801
3.776263 104.356 -63.4698
3.803627 104.418 -63.9537
3.831190 104.480 -64.4319
3.858953 104.541 -64.9044
3.886916 104.603 -65.3710
3.915082 104.664 -65.8316
3.943453 104.725 -66.2858
3.972029 104.787 -66.7334
4.000812 104.849 -67.1742
4.029803 104.911 -67.6079
4.059005 104.973 -68.0344
4.088418 105.035 -68.4539
4.118044 105.098 -68.8667
4.147885 105.161 -69.2733
4.177943 105.224 -69.6743
4.208218 105.287 -70.0704
4.238712 105.350 -70.4622
4.269428 105.414 -70.8504
4.300366 105.478 -71.2355
4.331528 105.543 -71.6178
4.362916 105.609 -71.9974
4.394531 105.675 -72.3743
4.426376 105.742 -72.7483
4.458451 105.810 -73.1192
4.490759 105.878 -73.4872
4.523301 105.948 -73.8528
4.556078 106.017 -74.2167
4.589094 106.087 -74.5797
4.622348 106.158 -74.9429
4.655844 106.229 -75.3071
4.689582 106.301 -75.6731
4.723565 106.374 -76.0414
4.757793 106.447 -76.4122
4.792270 106.520 -76.7856
4.826997 106.594 -77.1613
4.861975 106.669 -77.5393
4.897207 106.744 -77.9198
4.932694 106.819 -78.3031
4.968439 106.895 -78.6897
5.004442 106.971 -79.0801
5.040707 107.047 -79.4750
5.077234 107.123 -79.8749
5.114026 107.199 -80.2801
5.151084 107.274 -80.6907
5.188411 107.350 -81.1069
5.226008 107.426 -81.5283
5.263878 107.501 -81.9548
5.302022 107.576 -82.3860
5.340443 107.651 -82.8217
5.379142 107.725 -83.2619
5.418121 107.798 -83.7063
5.457383 107.871 -84.1552
5.496930 107.943 -84.6086
5.536763 108.015 -85.0667
5.576884 108.085 -85.5294
5.617297 108.155 -85.9963
5.658002 108.224 -86.4670
5.699002 108.292 -86.9406
5.740300 108.359 -87.4163
5.781896 108.425 -87.8937
5.823794 108.489 -88.3722
5.865995 108.553 -88.8518
5.908503 108.616 -89.3326
5.951319 108.677 -89.8144
5.994444 108.737 -90.2969
6.037883 108.797 -90.7795
6.081636 108.855 -91.2614
6.125706 108.912 -91.7417
6.170095 108.968 -92.2197
6.214807 109.023 -92.6949
6.259841 109.077 -93.1672
6.305203 109.130 -93.6366
6.350893 109.182 -94.1030
6.396914 109.233 -94.5661
6.443269 109.283 -95.0255
6.489959 109.333 -95.4807
6.536988 109.382 -95.9313
6.584358 109.431 -96.3769
6.632071 109.479 -96.8173
6.680129 109.526 -97.2527
6.728536 109.574 -97.6832
6.777294 109.621 -98.1091
6.826405 109.667 -98.5304
6.875872 109.714 -98.9474
6.925697 109.761 -99.3601
6.975883 109.808 -99.7686
7.026433 109.855 -100.1730
7.077350 109.902 -100.5738
7.128635 109.949 -100.9714
7.180293 109.997 -101.3667
7.232324 110.045 -101.7602
7.284732 110.093 -102.1526
7.337521 110.142 -102.5444
7.390691 110.192 -102.9360
7.444247 110.242 -103.3277
7.498191 110.292 -103.7201
7.552526 110.342 -104.1142
7.607255 110.393 -104.5107
7.662380 110.444 -104.9101
7.717905 110.496 -105.3132
7.773832 110.547 -105.7202
7.830165 110.599 -106.1314
7.886906 110.651 -106.5470
7.944057 110.702 -106.9674
8.001623 110.753 -107.3929
8.059607 110.804 -107.8238
8.118010 110.855 -108.2602
8.176836 110.905 -108.7020
8.236089 110.954 -109.1488
8.295771 111.003 -109.6002
8.355886 111.051 -110.0560
8.416435 111.097 -110.5156
8.477425 111.143 -110.9788
8.538856 111.188 -111.4450
8.600732 111.231 -111.9136
8.663056 111.273 -112.3835
8.725832 111.314 -112.8538
8.789062 111.354 -113.3236
8.852752 111.392 -113.7923
8.916903 111.429 -114.2591
8.981518 111.465 -114.7233
9.046601 111.499 -115.1838
9.112157 111.533 -115.6398
9.178187 111.566 -116.0903
9.244697 111.598 -116.5351
9.311687 111.629 -116.9735
9.379164 111.659 -117.4055
9.447129 111.690 -117.8307
9.515587 111.720 -118.2488
9.584540 111.750 -118.6600
9.653994 111.780 -119.0645
9.723950 111.811 -119.4629
9.794415 111.842 -119.8559
9.865389 111.874 -120.2444
9.936877 111.907 -120.6293
10.008884 111.940 -121.0118
10.081413 111.974 -121.3931
10.154468 112.010 -121.7747
10.228051 112.046 -122.1579
10.302168 112.083 -122.5439
10.376822 112.120 -122.9335
10.452016 112.159 -123.3277
10.527756 112.198 -123.7275
10.604044 112.237 -124.1338
10.680885 112.276 -124.5476
10.758284 112.316 -124.9693
10.836243 112.354 -125.3990
10.914766 112.392 -125.8365
10.993859 112.430 -126.2817
11.073525 112.466 -126.7337
11.153769 112.501 -127.1916
11.234593 112.534 -127.6540
11.316004 112.565 -128.1195
11.398005 112.595 -128.5866
11.480599 112.623 -129.0536
11.563792 112.650 -129.5190
11.647588 112.674 -129.9807
11.731991 112.697 -130.4371
11.817006 112.718 -130.8867
11.902637 112.738 -131.3283
11.988889 112.757 -131.7609
12.075766 112.775 -132.1835
12.163272 112.792 -132.5956
12.251412 112.809 -132.9973
12.340191 112.827 -133.3888
12.429613 112.844 -133.7709
12.519683 112.862 -134.1444
12.610406 112.881 -134.5106
12.701786 112.900 -134.8708
12.793828 112.920 -135.2270
12.886538 112.941 -135.5804
12.979918 112.963 -135.9328
13.073977 112.986 -136.2853
13.168715 113.009 -136.6393
13.264141 113.032 -136.9955
13.360258 113.056 -137.3544
13.457072 113.079 -137.7159
13.554587 113.102 -138.0795
13.652809 113.124 -138.4447
13.751743 113.145 -138.8102
13.851394 113.166 -139.1746
13.951767 113.185 -139.5363
14.052867 113.204 -139.8940
14.154700 113.223 -140.2462
14.257271 113.240 -140.5916
14.360585 113.258 -140.9295
14.464648 113.276 -141.2596
14.569465 113.295 -141.5822
14.675041 113.314 -141.8983
14.781383 113.335 -142.2094
14.888494 113.357 -142.5176
14.996383 113.381 -142.8258
15.105053 113.407 -143.1371
15.214510 113.435 -143.4547
15.324760 113.465 -143.7819
15.435810 113.495 -144.1218
15.547665 113.527 -144.4771
15.660330 113.559 -144.8497
15.773811 113.590 -145.2409
15.888115 113.621 -145.6510
16.003246 113.650 -146.0793
16.119213 113.677 -146.5242
16.236019 113.701 -146.9832
16.353672 113.722 -147.4528
16.472178 113.739 -147.9291
16.591541 113.752 -148.4075
16.711771 113.762 -148.8833
16.832870 113.767 -149.3517
16.954849 113.770 -149.8081
17.077711 113.769 -150.2484
17.201464 113.765 -150.6691
17.326113 113.761 -151.0675
17.451664 113.755 -151.4422
17.578125 113.749 -151.7925
17.705503 113.743 -152.1191
17.833805 113.740 -152.4240
17.963036 113.738 -152.7101
18.093203 113.739 -152.9812
18.224314 113.744 -153.2420
18.356375 113.752 -153.4978
18.489393 113.763 -153.7538
18.623375 113.777 -154.0153
