* Measurement data measured by REW V5.30.3
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 12, 2024 1:01:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: TINHIFI T2 MKII L
* Measurement: L TinHifi T2 MK2 Stock
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.796 -26.0872
0.368865 70.790 -26.1071
0.371538 70.782 -26.1368
0.374230 70.771 -26.1744
0.376942 70.759 -26.2180
0.379673 70.747 -26.2661
0.382424 70.734 -26.3179
0.385196 70.720 -26.3728
0.387987 70.706 -26.4306
0.390798 70.693 -26.4911
0.393630 70.678 -26.5542
0.396483 70.664 -26.6198
0.399356 70.650 -26.6880
0.402250 70.636 -26.7587
0.405165 70.621 -26.8321
0.408101 70.606 -26.9080
0.411058 70.592 -26.9865
0.414037 70.577 -27.0677
0.417037 70.562 -27.1514
0.420059 70.547 -27.2379
0.423103 70.532 -27.3270
0.426169 70.517 -27.4188
0.429257 70.501 -27.5133
0.432367 70.486 -27.6106
0.435501 70.470 -27.7106
0.438656 70.454 -27.8133
0.441835 70.439 -27.9188
0.445037 70.423 -28.0270
0.448262 70.407 -28.1380
0.451510 70.390 -28.2518
0.454782 70.374 -28.3684
0.458077 70.358 -28.4878
0.461397 70.341 -28.6100
0.464740 70.325 -28.7350
0.468108 70.308 -28.8628
0.471500 70.291 -28.9934
0.474917 70.274 -29.1268
0.478358 70.257 -29.2630
0.481825 70.240 -29.4019
0.485316 70.222 -29.5437
0.488833 70.205 -29.6882
0.492375 70.187 -29.8355
0.495943 70.169 -29.9855
0.499537 70.151 -30.1382
0.503157 70.133 -30.2936
0.506803 70.115 -30.4517
0.510475 70.097 -30.6125
0.514174 70.079 -30.7758
0.517900 70.060 -30.9417
0.521653 70.041 -31.1102
0.525433 70.023 -31.2812
0.529241 70.004 -31.4546
0.533076 69.984 -31.6304
0.536939 69.965 -31.8086
0.540830 69.946 -31.9890
0.544749 69.926 -32.1717
0.548696 69.907 -32.3566
0.552673 69.887 -32.5435
0.556677 69.867 -32.7325
0.560711 69.847 -32.9233
0.564774 69.827 -33.1160
0.568867 69.806 -33.3104
0.572989 69.786 -33.5065
0.577141 69.765 -33.7041
0.581324 69.744 -33.9030
0.585536 69.723 -34.1033
0.589779 69.702 -34.3047
0.594053 69.681 -34.5071
0.598358 69.660 -34.7104
0.602694 69.638 -34.9144
0.607061 69.616 -35.1189
0.611460 69.594 -35.3238
0.615891 69.572 -35.5288
0.620354 69.550 -35.7338
0.624849 69.528 -35.9387
0.629377 69.505 -36.1430
0.633938 69.483 -36.3467
0.638532 69.460 -36.5495
0.643159 69.437 -36.7512
0.647819 69.413 -36.9514
0.652514 69.390 -37.1499
0.657242 69.367 -37.3464
0.662005 69.343 -37.5406
0.666802 69.319 -37.7322
0.671634 69.295 -37.9209
0.676501 69.271 -38.1062
0.681403 69.246 -38.2879
0.686341 69.222 -38.4655
0.691314 69.197 -38.6387
0.696324 69.172 -38.8071
0.701369 69.146 -38.9703
0.706452 69.121 -39.1279
0.711571 69.094 -39.2798
0.716727 69.067 -39.4256
0.721921 69.039 -39.5656
0.727153 69.009 -39.7001
0.732422 68.977 -39.8298
0.737729 68.943 -39.9555
0.743075 68.906 -40.0784
0.748460 68.866 -40.1993
0.753883 68.824 -40.3189
0.759346 68.780 -40.4375
0.764849 68.734 -40.5554
0.770391 68.687 -40.6725
0.775974 68.637 -40.7891
0.781597 68.586 -40.9048
0.787261 68.534 -41.0197
0.792965 68.480 -41.1337
0.798712 68.424 -41.2465
0.804499 68.367 -41.3580
0.810329 68.309 -41.4681
0.816201 68.249 -41.5764
0.822116 68.189 -41.6830
0.828073 68.126 -41.7874
0.834073 68.063 -41.8895
0.840118 67.999 -41.9890
0.846205 67.933 -42.0856
0.852337 67.867 -42.1791
0.858514 67.799 -42.2692
0.864735 67.731 -42.3555
0.871001 67.662 -42.4377
0.877313 67.592 -42.5153
0.883670 67.522 -42.5880
0.890074 67.451 -42.6555
0.896523 67.380 -42.7171
0.903020 67.308 -42.7726
0.909564 67.236 -42.8212
0.916155 67.164 -42.8626
0.922793 67.092 -42.8962
0.929480 67.020 -42.9212
0.936216 66.948 -42.9373
0.943000 66.877 -42.9435
0.949833 66.806 -42.9393
0.956716 66.736 -42.9240
0.963649 66.666 -42.8966
0.970632 66.597 -42.8565
0.977666 66.530 -42.8027
0.984750 66.463 -42.7344
0.991886 66.398 -42.6507
0.999074 66.334 -42.5505
1.006313 66.272 -42.4329
1.013605 66.212 -42.2969
1.020950 66.154 -42.1413
1.028349 66.099 -41.9650
1.035801 66.046 -41.7670
1.043306 65.995 -41.5461
1.050867 65.947 -41.3011
1.058482 65.903 -41.0307
1.066152 65.861 -40.7336
1.073878 65.823 -40.4086
1.081659 65.789 -40.0540
1.089498 65.758 -39.6682
1.097393 65.730 -39.2493
1.105345 65.705 -38.7955
1.113355 65.684 -38.3048
1.121422 65.664 -37.7757
1.129549 65.648 -37.2070
1.137734 65.633 -36.5980
1.145978 65.621 -35.9484
1.154283 65.611 -35.2583
1.162647 65.604 -34.5278
1.171072 65.598 -33.7575
1.179558 65.596 -32.9481
1.188106 65.595 -32.1006
1.196715 65.597 -31.2164
1.205387 65.602 -30.2970
1.214122 65.609 -29.3441
1.222920 65.618 -28.3598
1.231781 65.631 -27.3466
1.240708 65.646 -26.3070
1.249698 65.664 -25.2441
1.258754 65.684 -24.1611
1.267875 65.708 -23.0613
1.277063 65.735 -21.9486
1.286317 65.764 -20.8269
1.295638 65.797 -19.7001
1.305027 65.833 -18.5726
1.314484 65.872 -17.4486
1.324009 65.915 -16.3325
1.333603 65.961 -15.2285
1.343267 66.010 -14.1410
1.353001 66.063 -13.0742
1.362805 66.120 -12.0320
1.372681 66.180 -11.0185
1.382628 66.244 -10.0372
1.392647 66.311 -9.0915
1.402739 66.383 -8.1843
1.412904 66.459 -7.3181
1.423142 66.539 -6.4946
1.433455 66.624 -5.7149
1.443842 66.714 -4.9788
1.454305 66.809 -4.2845
1.464843 66.910 -3.6292
1.475458 67.018 -3.0088
1.486150 67.133 -2.4193
1.496919 67.256 -1.8576
1.507766 67.387 -1.3217
1.518692 67.526 -0.8106
1.529697 67.672 -0.3239
1.540782 67.826 0.1380
1.551947 67.987 0.5750
1.563193 68.155 0.9865
1.574521 68.329 1.3721
1.585931 68.509 1.7314
1.597423 68.695 2.0641
1.608998 68.886 2.3701
1.620658 69.081 2.6490
1.632402 69.280 2.9008
1.644231 69.483 3.1255
1.656146 69.688 3.3229
1.668147 69.896 3.4932
1.680235 70.105 3.6364
1.692410 70.316 3.7524
1.704674 70.526 3.8415
1.717027 70.736 3.9036
1.729469 70.945 3.9389
1.742002 71.152 3.9474
1.754625 71.357 3.9293
1.767340 71.558 3.8846
1.780147 71.756 3.8137
1.793046 71.950 3.7167
1.806040 72.138 3.5942
1.819127 72.323 3.4470
1.832309 72.504 3.2762
1.845587 72.681 3.0831
1.858961 72.855 2.8693
1.872431 73.027 2.6362
1.886000 73.198 2.3854
1.899666 73.367 2.1180
1.913432 73.534 1.8353
1.927298 73.701 1.5384
1.941264 73.866 1.2281
1.955331 74.030 0.9053
1.969500 74.193 0.5709
1.983772 74.355 0.2256
1.998147 74.515 -0.1301
2.012626 74.674 -0.4955
2.027211 74.832 -0.8701
2.041901 74.989 -1.2535
2.056697 75.145 -1.6454
2.071601 75.299 -2.0454
2.086613 75.452 -2.4534
2.101733 75.604 -2.8692
2.116963 75.755 -3.2929
2.132303 75.904 -3.7247
2.147755 76.051 -4.1648
2.163318 76.197 -4.6139
2.178995 76.342 -5.0727
2.194785 76.485 -5.5422
2.210689 76.626 -6.0235
2.226709 76.765 -6.5172
2.242844 76.902 -7.0237
2.259097 77.036 -7.5425
2.275467 77.169 -8.0729
2.291956 77.299 -8.6138
2.308565 77.428 -9.1638
2.325294 77.554 -9.7218
2.342144 77.678 -10.2862
2.359116 77.801 -10.8557
2.376211 77.921 -11.4292
2.393430 78.040 -12.0052
2.410774 78.157 -12.5828
2.428243 78.273 -13.1609
2.445839 78.387 -13.7384
2.463562 78.499 -14.3146
2.481415 78.611 -14.8890
2.499396 78.721 -15.4612
2.517508 78.830 -16.0316
2.535750 78.938 -16.6007
2.554126 79.044 -17.1700
2.572634 79.149 -17.7413
2.591276 79.252 -18.3167
2.610054 79.353 -18.8976
2.628967 79.452 -19.4848
2.648018 79.549 -20.0782
2.667206 79.644 -20.6771
2.686534 79.737 -21.2803
2.706002 79.828 -21.8865
2.725610 79.917 -22.4941
2.745361 80.005 -23.1013
2.765255 80.091 -23.7066
2.785294 80.175 -24.3081
2.805477 80.258 -24.9043
2.825807 80.340 -25.4937
2.846284 80.420 -26.0749
2.866909 80.500 -26.6469
2.887684 80.578 -27.2095
2.908609 80.655 -27.7628
2.929686 80.731 -28.3078
2.950916 80.806 -28.8463
2.972299 80.879 -29.3800
2.993838 80.950 -29.9102
3.015532 81.019 -30.4376
3.037384 81.087 -30.9622
3.059394 81.153 -31.4838
3.081564 81.217 -32.0014
3.103894 81.280 -32.5140
3.126386 81.343 -33.0206
3.149041 81.404 -33.5198
3.171861 81.464 -34.0102
3.194845 81.524 -34.4906
3.217996 81.584 -34.9598
3.241315 81.643 -35.4167
3.264803 81.702 -35.8606
3.288461 81.761 -36.2915
3.312291 81.820 -36.7097
3.336293 81.877 -37.1157
3.360469 81.934 -37.5105
3.384820 81.991 -37.8948
3.409348 82.046 -38.2692
3.434054 82.102 -38.6340
3.458938 82.157 -38.9896
3.484003 82.211 -39.3361
3.509250 82.267 -39.6734
3.534679 82.322 -40.0015
3.560293 82.379 -40.3201
3.586092 82.436 -40.6290
3.612079 82.494 -40.9275
3.638253 82.554 -41.2151
3.664618 82.615 -41.4910
3.691173 82.677 -41.7548
3.717921 82.741 -42.0063
3.744862 82.805 -42.2460
3.771999 82.871 -42.4749
3.799332 82.937 -42.6943
3.826864 83.005 -42.9061
3.854595 83.074 -43.1120
3.882527 83.145 -43.3139
3.910661 83.217 -43.5136
3.938999 83.291 -43.7125
3.967543 83.367 -43.9117
3.996294 83.444 -44.1116
4.025252 83.524 -44.3120
4.054421 83.606 -44.5122
4.083801 83.690 -44.7115
4.113394 83.776 -44.9099
4.143201 83.864 -45.1079
4.173225 83.954 -45.3067
4.203466 84.046 -45.5081
4.233926 84.139 -45.7141
4.264606 84.233 -45.9266
4.295509 84.329 -46.1477
4.326636 84.426 -46.3788
4.357989 84.523 -46.6210
4.389569 84.622 -46.8746
4.421378 84.722 -47.1394
4.453417 84.823 -47.4148
4.485688 84.925 -47.7001
4.518193 85.028 -47.9950
4.550934 85.131 -48.2996
4.583912 85.235 -48.6141
4.617129 85.340 -48.9390
4.650587 85.444 -49.2750
4.684287 85.548 -49.6227
4.718231 85.651 -49.9828
4.752421 85.753 -50.3558
4.786859 85.855 -50.7418
4.821547 85.955 -51.1407
4.856485 86.055 -51.5517
4.891677 86.155 -51.9738
4.927125 86.253 -52.4056
4.962829 86.350 -52.8457
4.998791 86.446 -53.2930
5.035015 86.540 -53.7465
5.071500 86.633 -54.2056
5.108251 86.723 -54.6704
5.145267 86.812 -55.1410
5.182552 86.899 -55.6176
5.220107 86.983 -56.1001
5.257934 87.066 -56.5873
5.296035 87.147 -57.0777
5.334412 87.226 -57.5691
5.373067 87.303 -58.0596
5.412003 87.378 -58.5472
5.451221 87.451 -59.0309
5.490722 87.522 -59.5099
5.530510 87.591 -59.9844
5.570587 87.658 -60.4544
5.610953 87.723 -60.9198
5.651613 87.786 -61.3796
5.692567 87.848 -61.8325
5.733818 87.908 -62.2767
5.775367 87.967 -62.7105
5.817218 88.024 -63.1327
5.859372 88.081 -63.5424
5.901831 88.137 -63.9393
5.944598 88.191 -64.3235
5.987675 88.245 -64.6952
6.031065 88.298 -65.0545
6.074768 88.351 -65.4012
6.118788 88.404 -65.7350
