* Measurement data measured by REW V5.30.4
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -21.0 dBFS with no timing reference
* Dated: Jan 23, 2024 5:57:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanchjim Mino Popular L
* Measurement: L Tanchjim Mino Popular
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.477 -10.0445
0.368865 79.498 -10.0880
0.371538 79.528 -10.1524
0.374230 79.565 -10.2318
0.376942 79.607 -10.3213
0.379673 79.653 -10.4171
0.382424 79.700 -10.5170
0.385196 79.748 -10.6194
0.387987 79.797 -10.7235
0.390798 79.846 -10.8288
0.393630 79.896 -10.9351
0.396483 79.947 -11.0422
0.399356 79.998 -11.1501
0.402250 80.049 -11.2587
0.405165 80.101 -11.3681
0.408101 80.153 -11.4781
0.411058 80.205 -11.5889
0.414037 80.258 -11.7004
0.417037 80.311 -11.8127
0.420059 80.365 -11.9256
0.423103 80.419 -12.0394
0.426169 80.473 -12.1538
0.429257 80.528 -12.2690
0.432367 80.583 -12.3850
0.435501 80.639 -12.5018
0.438656 80.695 -12.6193
0.441835 80.751 -12.7376
0.445037 80.808 -12.8567
0.448262 80.865 -12.9767
0.451510 80.923 -13.0974
0.454782 80.981 -13.2190
0.458077 81.039 -13.3414
0.461397 81.098 -13.4647
0.464740 81.157 -13.5889
0.468108 81.217 -13.7140
0.471500 81.277 -13.8399
0.474917 81.338 -13.9668
0.478358 81.399 -14.0947
0.481825 81.460 -14.2235
0.485316 81.522 -14.3532
0.488833 81.584 -14.4840
0.492375 81.647 -14.6158
0.495943 81.710 -14.7486
0.499537 81.774 -14.8825
0.503157 81.838 -15.0175
0.506803 81.903 -15.1535
0.510475 81.968 -15.2908
0.514174 82.034 -15.4291
0.517900 82.100 -15.5687
0.521653 82.166 -15.7095
0.525433 82.233 -15.8515
0.529241 82.301 -15.9948
0.533076 82.369 -16.1394
0.536939 82.437 -16.2854
0.540830 82.506 -16.4327
0.544749 82.576 -16.5815
0.548696 82.646 -16.7316
0.552673 82.716 -16.8833
0.556677 82.788 -17.0365
0.560711 82.859 -17.1912
0.564774 82.931 -17.3475
0.568867 83.004 -17.5055
0.572989 83.077 -17.6651
0.577141 83.150 -17.8265
0.581324 83.225 -17.9896
0.585536 83.299 -18.1546
0.589779 83.375 -18.3214
0.594053 83.450 -18.4901
0.598358 83.527 -18.6608
0.602694 83.604 -18.8336
0.607061 83.681 -19.0083
0.611460 83.759 -19.1852
0.615891 83.838 -19.3643
0.620354 83.917 -19.5457
0.624849 83.997 -19.7293
0.629377 84.077 -19.9153
0.633938 84.158 -20.1037
0.638532 84.239 -20.2946
0.643159 84.321 -20.4880
0.647819 84.404 -20.6841
0.652514 84.487 -20.8829
0.657242 84.571 -21.0844
0.662005 84.656 -21.2888
0.666802 84.741 -21.4960
0.671634 84.826 -21.7063
0.676501 84.913 -21.9196
0.681403 85.000 -22.1361
0.686341 85.087 -22.3558
0.691314 85.175 -22.5788
0.696324 85.264 -22.8052
0.701369 85.353 -23.0351
0.706452 85.443 -23.2684
0.711571 85.533 -23.5053
0.716727 85.623 -23.7457
0.721921 85.713 -23.9894
0.727153 85.802 -24.2364
0.732422 85.890 -24.4861
0.737729 85.977 -24.7384
0.743075 86.063 -24.9926
0.748460 86.148 -25.2484
0.753883 86.233 -25.5055
0.759346 86.317 -25.7636
0.764849 86.402 -26.0227
0.770391 86.486 -26.2825
0.775974 86.571 -26.5431
0.781597 86.656 -26.8043
0.787261 86.741 -27.0661
0.792965 86.826 -27.3284
0.798712 86.912 -27.5913
0.804499 86.998 -27.8547
0.810329 87.084 -28.1186
0.816201 87.170 -28.3829
0.822116 87.257 -28.6476
0.828073 87.343 -28.9128
0.834073 87.430 -29.1784
0.840118 87.517 -29.4445
0.846205 87.605 -29.7110
0.852337 87.692 -29.9779
0.858514 87.780 -30.2453
0.864735 87.868 -30.5132
0.871001 87.956 -30.7816
0.877313 88.044 -31.0506
0.883670 88.133 -31.3201
0.890074 88.222 -31.5902
0.896523 88.311 -31.8610
0.903020 88.400 -32.1324
0.909564 88.489 -32.4047
0.916155 88.578 -32.6777
0.922793 88.668 -32.9516
0.929480 88.758 -33.2264
0.936216 88.848 -33.5023
0.943000 88.938 -33.7792
0.949833 89.028 -34.0572
0.956716 89.118 -34.3366
0.963649 89.209 -34.6172
0.970632 89.299 -34.8993
0.977666 89.390 -35.1829
0.984750 89.481 -35.4681
0.991886 89.572 -35.7551
0.999074 89.663 -36.0440
1.006313 89.755 -36.3348
1.013605 89.846 -36.6277
1.020950 89.937 -36.9229
1.028349 90.029 -37.2205
1.035801 90.121 -37.5205
1.043306 90.212 -37.8233
1.050867 90.304 -38.1289
1.058482 90.396 -38.4374
1.066152 90.488 -38.7491
1.073878 90.580 -39.0641
1.081659 90.672 -39.3826
1.089498 90.764 -39.7047
1.097393 90.857 -40.0304
1.105345 90.949 -40.3599
1.113355 91.040 -40.6932
1.121422 91.132 -41.0300
1.129549 91.224 -41.3704
1.137734 91.315 -41.7141
1.145978 91.407 -42.0611
1.154283 91.498 -42.4111
1.162647 91.589 -42.7640
1.171072 91.680 -43.1195
1.179558 91.770 -43.4775
1.188106 91.861 -43.8379
1.196715 91.951 -44.2004
1.205387 92.041 -44.5650
1.214122 92.131 -44.9314
1.222920 92.221 -45.2995
1.231781 92.310 -45.6692
1.240708 92.400 -46.0402
1.249698 92.489 -46.4126
1.258754 92.578 -46.7860
1.267875 92.667 -47.1605
1.277063 92.756 -47.5359
1.286317 92.844 -47.9120
1.295638 92.933 -48.2889
1.305027 93.021 -48.6662
1.314484 93.109 -49.0441
1.324009 93.198 -49.4223
1.333603 93.286 -49.8008
1.343267 93.373 -50.1795
1.353001 93.461 -50.5583
1.362805 93.549 -50.9372
1.372681 93.637 -51.3161
1.382628 93.724 -51.6950
1.392647 93.812 -52.0737
1.402739 93.900 -52.4524
1.412904 93.987 -52.8310
1.423142 94.075 -53.2096
1.433455 94.162 -53.5882
1.443842 94.249 -53.9671
1.454305 94.337 -54.3465
1.464843 94.424 -54.7268
1.475458 94.511 -55.1085
1.486150 94.597 -55.4920
1.496919 94.684 -55.8775
1.507766 94.769 -56.2652
1.518692 94.855 -56.6552
1.529697 94.940 -57.0474
1.540782 95.024 -57.4417
1.551947 95.109 -57.8380
1.563193 95.192 -58.2362
1.574521 95.276 -58.6362
1.585931 95.358 -59.0378
1.597423 95.441 -59.4408
1.608998 95.523 -59.8452
1.620658 95.604 -60.2508
1.632402 95.686 -60.6574
1.644231 95.767 -61.0650
1.656146 95.847 -61.4734
1.668147 95.927 -61.8826
1.680235 96.007 -62.2924
1.692410 96.087 -62.7026
1.704674 96.166 -63.1133
1.717027 96.245 -63.5243
1.729469 96.324 -63.9355
1.742002 96.402 -64.3470
1.754625 96.480 -64.7586
1.767340 96.558 -65.1704
1.780147 96.636 -65.5824
1.793046 96.714 -65.9948
1.806040 96.791 -66.4078
1.819127 96.868 -66.8220
1.832309 96.945 -67.2378
1.845587 97.021 -67.6559
1.858961 97.097 -68.0769
1.872431 97.173 -68.5011
1.886000 97.247 -68.9287
1.899666 97.322 -69.3596
1.913432 97.395 -69.7936
1.927298 97.468 -70.2306
1.941264 97.540 -70.6701
1.955331 97.612 -71.1117
1.969500 97.683 -71.5552
1.983772 97.754 -72.0000
1.998147 97.824 -72.4459
2.012626 97.893 -72.8923
2.027211 97.962 -73.3389
2.041901 98.031 -73.7854
2.056697 98.099 -74.2312
2.071601 98.167 -74.6760
2.086613 98.234 -75.1194
2.101733 98.301 -75.5611
2.116963 98.368 -76.0007
2.132303 98.434 -76.4381
2.147755 98.500 -76.8730
2.163318 98.566 -77.3056
2.178995 98.632 -77.7361
2.194785 98.697 -78.1650
2.210689 98.761 -78.5932
2.226709 98.825 -79.0214
2.242844 98.889 -79.4501
2.259097 98.951 -79.8798
2.275467 99.013 -80.3107
2.291956 99.075 -80.7425
2.308565 99.136 -81.1753
2.325294 99.196 -81.6085
2.342144 99.255 -82.0421
2.359116 99.314 -82.4754
2.376211 99.372 -82.9083
2.393430 99.430 -83.3402
2.410774 99.488 -83.7707
2.428243 99.545 -84.1993
2.445839 99.601 -84.6257
2.463562 99.657 -85.0495
2.481415 99.714 -85.4702
2.499396 99.769 -85.8876
2.517508 99.825 -86.3013
2.535750 99.880 -86.7115
2.554126 99.935 -87.1184
2.572634 99.990 -87.5222
2.591276 100.044 -87.9235
2.610054 100.098 -88.3229
2.628967 100.151 -88.7206
2.648018 100.203 -89.1171
2.667206 100.256 -89.5122
2.686534 100.307 -89.9060
2.706002 100.358 -90.2984
2.725610 100.409 -90.6892
2.745361 100.459 -91.0783
2.765255 100.509 -91.4654
2.785294 100.558 -91.8503
2.805477 100.608 -92.2327
2.825807 100.657 -92.6124
2.846284 100.706 -92.9892
2.866909 100.755 -93.3628
2.887684 100.804 -93.7331
2.908609 100.853 -94.1000
2.929686 100.902 -94.4636
2.950916 100.951 -94.8239
2.972299 101.000 -95.1812
2.993838 101.048 -95.5357
3.015532 101.096 -95.8876
3.037384 101.144 -96.2370
3.059394 101.192 -96.5841
3.081564 101.239 -96.9289
3.103894 101.286 -97.2714
3.126386 101.334 -97.6118
3.149041 101.381 -97.9499
3.171861 101.428 -98.2859
3.194845 101.475 -98.6197
3.217996 101.522 -98.9513
3.241315 101.570 -99.2806
3.264803 101.617 -99.6076
3.288461 101.665 -99.9321
3.312291 101.713 -100.2540
3.336293 101.761 -100.5734
3.360469 101.809 -100.8901
3.384820 101.857 -101.2045
3.409348 101.906 -101.5165
3.434054 101.954 -101.8266
3.458938 102.002 -102.1348
3.484003 102.051 -102.4414
3.509250 102.099 -102.7469
3.534679 102.148 -103.0513
3.560293 102.196 -103.3551
3.586092 102.245 -103.6583
3.612079 102.294 -103.9612
3.638253 102.343 -104.2639
3.664618 102.392 -104.5664
3.691173 102.442 -104.8685
3.717921 102.491 -105.1702
3.744862 102.541 -105.4715
3.771999 102.591 -105.7724
3.799332 102.641 -106.0728
3.826864 102.691 -106.3729
3.854595 102.741 -106.6727
3.882527 102.791 -106.9725
3.910661 102.841 -107.2722
3.938999 102.891 -107.5720
3.967543 102.941 -107.8722
3.996294 102.991 -108.1727
4.025252 103.041 -108.4738
4.054421 103.091 -108.7754
4.083801 103.141 -109.0775
4.113394 103.191 -109.3802
4.143201 103.241 -109.6832
4.173225 103.290 -109.9866
4.203466 103.340 -110.2902
4.233926 103.390 -110.5938
4.264606 103.439 -110.8973
4.295509 103.488 -111.2006
4.326636 103.537 -111.5037
4.357989 103.586 -111.8066
4.389569 103.634 -112.1094
4.421378 103.682 -112.4120
4.453417 103.730 -112.7147
4.485688 103.778 -113.0174
4.518193 103.826 -113.3199
4.550934 103.873 -113.6221
4.583912 103.920 -113.9237
4.617129 103.967 -114.2244
4.650587 104.013 -114.5239
4.684287 104.060 -114.8218
4.718231 104.106 -115.1181
4.752421 104.152 -115.4126
4.786859 104.198 -115.7053
4.821547 104.244 -115.9963
4.856485 104.290 -116.2857
4.891677 104.335 -116.5734
4.927125 104.380 -116.8595
4.962829 104.425 -117.1439
4.998791 104.471 -117.4264
5.035015 104.516 -117.7071
5.071500 104.561 -117.9856
5.108251 104.607 -118.2619
5.145267 104.652 -118.5360
5.182552 104.698 -118.8078
5.220107 104.744 -119.0774
5.257934 104.790 -119.3451
5.296035 104.836 -119.6113
5.334412 104.883 -119.8762
5.373067 104.930 -120.1402
5.412003 104.977 -120.4037
5.451221 105.024 -120.6667
5.490722 105.073 -120.9293
5.530510 105.121 -121.1917
5.570587 105.170 -121.4538
5.610953 105.220 -121.7160
5.651613 105.269 -121.9786
5.692567 105.320 -122.2424
5.733818 105.371 -122.5079
5.775367 105.422 -122.7757
5.817218 105.473 -123.0464
5.859372 105.525 -123.3203
5.901831 105.578 -123.5974
5.944598 105.631 -123.8779
5.987675 105.684 -124.1620
6.031065 105.738 -124.4501
