* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Apr 27, 2025 11:40:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanchjim Zero Ultima R
* Measurement: R Tanchjim Zero Ultima
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.785 156.3452
0.368865 94.779 156.3206
0.371538 94.770 156.2839
0.374230 94.759 156.2376
0.376942 94.747 156.1843
0.379673 94.734 156.1257
0.382424 94.720 156.0630
0.385196 94.706 155.9968
0.387987 94.691 155.9275
0.390798 94.677 155.8555
0.393630 94.662 155.7806
0.396483 94.647 155.7031
0.399356 94.632 155.6229
0.402250 94.617 155.5400
0.405165 94.602 155.4544
0.408101 94.587 155.3661
0.411058 94.572 155.2749
0.414037 94.556 155.1810
0.417037 94.540 155.0843
0.420059 94.525 154.9847
0.423103 94.509 154.8823
0.426169 94.493 154.7770
0.429257 94.477 154.6687
0.432368 94.461 154.5575
0.435501 94.444 154.4433
0.438656 94.428 154.3261
0.441835 94.411 154.2059
0.445037 94.395 154.0827
0.448262 94.378 153.9564
0.451510 94.361 153.8269
0.454782 94.344 153.6944
0.458077 94.327 153.5587
0.461397 94.310 153.4199
0.464740 94.292 153.2779
0.468108 94.275 153.1327
0.471500 94.257 152.9843
0.474917 94.239 152.8327
0.478358 94.221 152.6778
0.481825 94.203 152.5196
0.485316 94.185 152.3582
0.488833 94.167 152.1935
0.492375 94.149 152.0255
0.495943 94.130 151.8542
0.499537 94.111 151.6795
0.503157 94.092 151.5016
0.506803 94.073 151.3203
0.510475 94.054 151.1357
0.514175 94.035 150.9477
0.517900 94.016 150.7565
0.521653 93.996 150.5619
0.525434 93.977 150.3640
0.529241 93.957 150.1627
0.533076 93.937 149.9582
0.536939 93.917 149.7504
0.540830 93.896 149.5393
0.544749 93.876 149.3250
0.548696 93.856 149.1074
0.552673 93.835 148.8866
0.556677 93.814 148.6627
0.560711 93.793 148.4356
0.564774 93.772 148.2054
0.568867 93.751 147.9721
0.572989 93.729 147.7358
0.577141 93.708 147.4966
0.581324 93.686 147.2544
0.585536 93.664 147.0093
0.589779 93.642 146.7614
0.594053 93.620 146.5108
0.598358 93.597 146.2575
0.602694 93.575 146.0016
0.607061 93.552 145.7432
0.611460 93.529 145.4824
0.615891 93.506 145.2193
0.620354 93.483 144.9539
0.624849 93.459 144.6865
0.629377 93.436 144.4170
0.633938 93.412 144.1456
0.638532 93.388 143.8725
0.643159 93.364 143.5978
0.647819 93.340 143.3216
0.652514 93.316 143.0441
0.657242 93.291 142.7654
0.662005 93.266 142.4858
0.666802 93.241 142.2054
0.671634 93.216 141.9243
0.676501 93.191 141.6428
0.681403 93.165 141.3612
0.686341 93.139 141.0795
0.691314 93.114 140.7981
0.696324 93.087 140.5171
0.701370 93.061 140.2368
0.706452 93.034 139.9572
0.711571 93.007 139.6786
0.716728 92.978 139.4008
0.721921 92.949 139.1236
0.727153 92.918 138.8464
0.732422 92.886 138.5686
0.737729 92.851 138.2890
0.743075 92.814 138.0065
0.748460 92.775 137.7201
0.753883 92.735 137.4290
0.759346 92.694 137.1327
0.764849 92.652 136.8308
0.770391 92.610 136.5231
0.775974 92.567 136.2094
0.781597 92.523 135.8895
0.787261 92.479 135.5635
0.792966 92.434 135.2311
0.798712 92.389 134.8923
0.804500 92.343 134.5471
0.810329 92.297 134.1954
0.816201 92.250 133.8372
0.822116 92.202 133.4724
0.828073 92.153 133.1009
0.834074 92.104 132.7228
0.840118 92.054 132.3380
0.846206 92.003 131.9465
0.852338 91.952 131.5483
0.858514 91.899 131.1434
0.864735 91.846 130.7318
0.871001 91.792 130.3134
0.877313 91.737 129.8885
0.883670 91.680 129.4569
0.890074 91.623 129.0188
0.896524 91.565 128.5742
0.903020 91.505 128.1232
0.909564 91.444 127.6659
0.916155 91.382 127.2024
0.922794 91.319 126.7330
0.929481 91.255 126.2577
0.936216 91.189 125.7768
0.943000 91.122 125.2904
0.949834 91.053 124.7988
0.956717 90.982 124.3023
0.963649 90.911 123.8012
0.970632 90.837 123.2958
0.977666 90.762 122.7865
0.984750 90.685 122.2737
0.991886 90.606 121.7578
0.999074 90.525 121.2393
1.006314 90.443 120.7188
1.013606 90.358 120.1967
1.020951 90.271 119.6739
1.028349 90.182 119.1508
1.035801 90.091 118.6283
1.043307 89.997 118.1071
1.050867 89.901 117.5879
1.058482 89.803 117.0717
1.066152 89.702 116.5592
1.073878 89.599 116.0512
1.081660 89.494 115.5482
1.089498 89.386 115.0504
1.097393 89.277 114.5580
1.105345 89.167 114.0704
1.113355 89.056 113.5868
1.121423 88.944 113.1066
1.129549 88.832 112.6289
1.137734 88.721 112.1531
1.145979 88.609 111.6786
1.154283 88.496 111.2049
1.162647 88.384 110.7316
1.171072 88.270 110.2581
1.179558 88.156 109.7841
1.188106 88.041 109.3091
1.196715 87.924 108.8326
1.205387 87.805 108.3542
1.214122 87.684 107.8734
1.222920 87.561 107.3897
1.231782 87.435 106.9025
1.240708 87.305 106.4114
1.249699 87.172 105.9157
1.258754 87.035 105.4148
1.267876 86.894 104.9081
1.277063 86.748 104.3949
1.286318 86.597 103.8746
1.295639 86.439 103.3465
1.305027 86.276 102.8098
1.314484 86.106 102.2637
1.324009 85.929 101.7075
1.333604 85.744 101.1404
1.343268 85.551 100.5614
1.353002 85.349 99.9699
1.362806 85.138 99.3650
1.372681 84.917 98.7458
1.382628 84.686 98.1116
1.392647 84.443 97.4616
1.402739 84.188 96.7952
1.412904 83.920 96.1119
1.423142 83.638 95.4114
1.433455 83.342 94.6939
1.443843 83.028 93.9596
1.454305 82.696 93.2095
1.464844 82.341 92.4447
1.475459 81.961 91.6666
1.486150 81.552 90.8761
1.496920 81.113 90.0736
1.507767 80.640 89.2583
1.518693 80.135 88.4291
1.529698 79.598 87.5838
1.540783 79.029 86.7197
1.551948 78.431 85.8334
1.563194 77.805 84.9207
1.574521 77.155 83.9766
1.585931 76.483 82.9952
1.597423 75.791 81.9692
1.608999 75.083 80.8898
1.620658 74.362 79.7462
1.632402 73.632 78.5249
1.644232 72.897 77.2089
1.656146 72.161 75.7768
1.668147 71.427 74.2007
1.680235 70.702 72.4441
1.692411 69.989 70.4582
1.704675 69.296 68.1769
1.717028 68.626 65.5088
1.729470 67.989 62.3245
1.742003 67.389 58.4381
1.754626 66.835 53.5787
1.767341 66.336 47.3516
1.780147 65.900 39.2014
1.793047 65.536 28.4417
1.806040 65.254 14.5413
1.819128 65.062 -2.1161
1.832310 64.966 -19.5874
1.845587 64.971 -35.3834
1.858961 65.077 -48.2492
1.872432 65.284 -58.2952
1.886001 65.585 -66.1413
1.899667 65.975 -72.3887
1.913433 66.445 -77.4867
1.927299 66.987 -81.7469
1.941265 67.590 -85.3820
1.955332 68.247 -88.5388
1.969501 68.948 -91.3203
1.983773 69.684 -93.8005
1.998148 70.445 -96.0332
2.012627 71.223 -98.0589
2.027212 72.009 -99.9079
2.041902 72.794 -101.6039
2.056698 73.571 -103.1654
2.071602 74.330 -104.6069
2.086614 75.064 -105.9404
2.101734 75.766 -107.1761
2.116964 76.429 -108.3228
2.132304 77.046 -109.3892
2.147756 77.614 -110.3846
2.163320 78.128 -111.3197
2.178996 78.589 -112.2079
2.194786 78.998 -113.0650
2.210690 79.358 -113.9085
2.226710 79.676 -114.7544
2.242845 79.955 -115.6146
2.259098 80.201 -116.4960
2.275468 80.415 -117.4011
2.291957 80.601 -118.3289
2.308566 80.761 -119.2766
2.325295 80.896 -120.2400
2.342145 81.008 -121.2139
2.359117 81.100 -122.1930
2.376212 81.172 -123.1714
2.393431 81.228 -124.1432
2.410775 81.268 -125.1023
2.428244 81.295 -126.0425
2.445840 81.312 -126.9578
2.463564 81.320 -127.8422
2.481416 81.321 -128.6907
2.499397 81.318 -129.4989
2.517509 81.311 -130.2649
2.535752 81.302 -130.9893
2.554127 81.291 -131.6767
2.572635 81.275 -132.3352
2.591277 81.255 -132.9752
2.610055 81.226 -133.6066
2.628968 81.189 -134.2367
2.648019 81.141 -134.8699
2.667208 81.083 -135.5074
2.686535 81.013 -136.1485
2.706003 80.932 -136.7905
2.725612 80.839 -137.4292
2.745363 80.735 -138.0592
2.765257 80.619 -138.6736
2.785295 80.493 -139.2645
2.805478 80.355 -139.8228
2.825808 80.207 -140.3382
2.846285 80.047 -140.7995
2.866910 79.875 -141.1952
2.887685 79.690 -141.5139
2.908611 79.490 -141.7456
2.929688 79.273 -141.8824
2.950917 79.035 -141.9184
2.972301 78.774 -141.8493
2.993839 78.490 -141.6704
3.015534 78.182 -141.3754
3.037386 77.853 -140.9561
3.059396 77.506 -140.4022
3.081565 77.147 -139.7008
3.103896 76.781 -138.8373
3.126388 76.414 -137.7953
3.149043 76.055 -136.5572
3.171862 75.711 -135.1044
3.194847 75.390 -133.4184
3.217998 75.101 -131.4811
3.241317 74.851 -129.2756
3.264805 74.650 -126.7867
3.288463 74.501 -124.0010
3.312293 74.407 -120.9100
3.336295 74.368 -117.5164
3.360471 74.382 -113.8427
3.384822 74.444 -109.9381
3.409350 74.551 -105.8778
3.434056 74.696 -101.7571
3.458940 74.874 -97.6804
3.484005 75.080 -93.7492
3.509252 75.309 -90.0505
3.534681 75.554 -86.6506
3.560295 75.813 -83.5919
3.586094 76.082 -80.8948
3.612081 76.359 -78.5604
3.638255 76.643 -76.5755
3.664620 76.937 -74.9163
3.691175 77.242 -73.5526
3.717923 77.561 -72.4521
3.744864 77.892 -71.5831
3.772001 78.235 -70.9158
3.799335 78.587 -70.4231
3.826866 78.942 -70.0806
3.854597 79.297 -69.8669
3.882529 79.646 -69.7637
3.910664 79.984 -69.7562
3.939002 80.307 -69.8327
3.967546 80.612 -69.9854
3.996296 80.896 -70.2101
4.025255 81.157 -70.5058
4.054423 81.396 -70.8732
4.083804 81.614 -71.3119
4.113396 81.812 -71.8180
4.143204 81.992 -72.3840
4.173227 82.155 -72.9995
4.203468 82.303 -73.6524
4.233928 82.436 -74.3302
4.264609 82.556 -75.0214
4.295512 82.662 -75.7164
4.326639 82.757 -76.4083
4.357992 82.840 -77.0946
4.389572 82.911 -77.7768
4.421380 82.970 -78.4599
4.453419 83.015 -79.1498
4.485691 83.047 -79.8495
4.518196 83.066 -80.5576
4.550936 83.073 -81.2690
4.583914 83.067 -81.9750
4.617131 83.049 -82.6649
4.650589 83.021 -83.3272
4.684289 82.983 -83.9509
4.718233 82.934 -84.5273
4.752424 82.875 -85.0506
4.786862 82.806 -85.5192
4.821549 82.726 -85.9340
4.856488 82.635 -86.2963
4.891680 82.535 -86.6062
4.927127 82.425 -86.8619
4.962831 82.310 -87.0593
4.998794 82.189 -87.1926
5.035017 82.066 -87.2543
5.071503 81.942 -87.2361
5.108253 81.818 -87.1294
5.145270 81.694 -86.9264
5.182555 81.571 -86.6216
5.220110 81.448 -86.2137
5.257937 81.327 -85.7061
5.296038 81.211 -85.1064
5.334415 81.101 -84.4255
5.373071 81.002 -83.6768
5.412006 80.915 -82.8734
5.451224 80.844 -82.0274
5.490725 80.791 -81.1477
5.530514 80.758 -80.2409
5.570590 80.744 -79.3147
5.610957 80.747 -78.3807
5.651616 80.768 -77.4559
5.692570 80.803 -76.5613
5.733821 80.852 -75.7193
5.775370 80.912 -74.9508
5.817221 80.983 -74.2727
5.859375 81.063 -73.6961
5.901834 81.153 -73.2257
5.944602 81.252 -72.8619
5.987679 81.358 -72.6030
6.031068 81.469 -72.4469
6.074771 81.582 -72.3918
6.118792 81.694 -72.4367
6.163131 81.802 -72.5815
6.207792 81.904 -72.8261
6.252776 82.000 -73.1701
6.298086 82.088 -73.6105
6.343725 82.168 -74.1404
6.389694 82.240 -74.7496
6.435996 82.304 -75.4261
6.482634 82.358 -76.1580
6.529610 82.402 -76.9356
6.576926 82.435 -77.7532
6.624585 82.457 -78.6083
6.672590 82.467 -79.4993
6.720942 82.466 -80.4223
