* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: May 29, 2024 1:32:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tigerism Sun Wukong L
* Measurement: L Tigerism Sun Wukong
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.641 -54.2392
0.368865 87.648 -54.2934
0.371538 87.657 -54.3744
0.374230 87.670 -54.4757
0.376942 87.683 -54.5919
0.379673 87.698 -54.7190
0.382424 87.713 -54.8542
0.385196 87.729 -54.9960
0.387987 87.745 -55.1433
0.390798 87.761 -55.2957
0.393630 87.778 -55.4529
0.396483 87.794 -55.6147
0.399356 87.811 -55.7812
0.402250 87.828 -55.9521
0.405165 87.845 -56.1277
0.408101 87.862 -56.3078
0.411058 87.879 -56.4924
0.414037 87.896 -56.6816
0.417037 87.914 -56.8754
0.420059 87.931 -57.0737
0.423103 87.949 -57.2766
0.426169 87.966 -57.4840
0.429257 87.984 -57.6960
0.432368 88.002 -57.9125
0.435501 88.021 -58.1336
0.438656 88.039 -58.3591
0.441835 88.057 -58.5892
0.445037 88.076 -58.8238
0.448262 88.095 -59.0628
0.451510 88.113 -59.3062
0.454782 88.132 -59.5541
0.458077 88.152 -59.8063
0.461397 88.171 -60.0629
0.464740 88.190 -60.3238
0.468108 88.210 -60.5889
0.471500 88.229 -60.8582
0.474917 88.249 -61.1318
0.478358 88.269 -61.4094
0.481825 88.289 -61.6911
0.485316 88.310 -61.9769
0.488833 88.330 -62.2665
0.492375 88.350 -62.5601
0.495943 88.371 -62.8575
0.499537 88.392 -63.1586
0.503157 88.413 -63.4634
0.506803 88.434 -63.7719
0.510475 88.455 -64.0838
0.514175 88.477 -64.3992
0.517900 88.499 -64.7179
0.521653 88.520 -65.0399
0.525434 88.542 -65.3651
0.529241 88.564 -65.6934
0.533076 88.587 -66.0246
0.536939 88.609 -66.3587
0.540830 88.632 -66.6956
0.544749 88.654 -67.0351
0.548696 88.677 -67.3772
0.552673 88.700 -67.7217
0.556677 88.723 -68.0686
0.560711 88.747 -68.4177
0.564774 88.770 -68.7688
0.568867 88.794 -69.1220
0.572989 88.818 -69.4769
0.577141 88.842 -69.8336
0.581324 88.866 -70.1919
0.585536 88.891 -70.5516
0.589779 88.915 -70.9126
0.594053 88.940 -71.2749
0.598358 88.965 -71.6382
0.602694 88.990 -72.0024
0.607061 89.016 -72.3674
0.611460 89.041 -72.7331
0.615891 89.067 -73.0992
0.620354 89.093 -73.4658
0.624849 89.119 -73.8325
0.629377 89.145 -74.1994
0.633938 89.172 -74.5662
0.638532 89.198 -74.9328
0.643159 89.225 -75.2990
0.647819 89.252 -75.6648
0.652514 89.279 -76.0300
0.657242 89.307 -76.3944
0.662005 89.334 -76.7579
0.666802 89.362 -77.1204
0.671634 89.390 -77.4817
0.676501 89.418 -77.8417
0.681403 89.447 -78.2002
0.686341 89.476 -78.5572
0.691314 89.504 -78.9124
0.696324 89.533 -79.2659
0.701370 89.562 -79.6174
0.706452 89.592 -79.9670
0.711571 89.621 -80.3148
0.716728 89.650 -80.6608
0.721921 89.678 -81.0053
0.727153 89.706 -81.3490
0.732422 89.734 -81.6926
0.737729 89.760 -82.0370
0.743075 89.785 -82.3832
0.748460 89.809 -82.7320
0.753883 89.833 -83.0838
0.759346 89.856 -83.4391
0.764849 89.879 -83.7978
0.770391 89.902 -84.1602
0.775974 89.925 -84.5260
0.781597 89.948 -84.8954
0.787261 89.970 -85.2680
0.792966 89.993 -85.6439
0.798712 90.015 -86.0229
0.804500 90.037 -86.4048
0.810329 90.060 -86.7895
0.816201 90.082 -87.1768
0.822116 90.104 -87.5665
0.828073 90.125 -87.9585
0.834074 90.147 -88.3527
0.840118 90.169 -88.7488
0.846206 90.190 -89.1466
0.852338 90.211 -89.5461
0.858514 90.233 -89.9468
0.864735 90.254 -90.3488
0.871001 90.275 -90.7518
0.877313 90.295 -91.1555
0.883670 90.316 -91.5598
0.890074 90.336 -91.9644
0.896524 90.357 -92.3692
0.903020 90.377 -92.7740
0.909564 90.397 -93.1784
0.916155 90.417 -93.5822
0.922794 90.436 -93.9854
0.929481 90.456 -94.3875
0.936216 90.475 -94.7884
0.943000 90.494 -95.1878
0.949834 90.513 -95.5855
0.956717 90.531 -95.9812
0.963649 90.550 -96.3747
0.970632 90.568 -96.7657
0.977666 90.586 -97.1539
0.984750 90.604 -97.5392
0.991886 90.621 -97.9212
0.999074 90.639 -98.2997
1.006314 90.656 -98.6743
1.013606 90.672 -99.0448
1.020951 90.689 -99.4110
1.028349 90.705 -99.7725
1.035801 90.721 -100.1291
1.043307 90.737 -100.4804
1.050867 90.753 -100.8263
1.058482 90.768 -101.1664
1.066152 90.783 -101.5007
1.073878 90.798 -101.8290
1.081660 90.812 -102.1515
1.089498 90.826 -102.4683
1.097393 90.839 -102.7801
1.105345 90.852 -103.0876
1.113355 90.865 -103.3915
1.121423 90.877 -103.6927
1.129549 90.888 -103.9917
1.137734 90.899 -104.2889
1.145979 90.909 -104.5846
1.154283 90.918 -104.8790
1.162647 90.927 -105.1721
1.171072 90.935 -105.4641
1.179558 90.943 -105.7549
1.188106 90.950 -106.0445
1.196715 90.956 -106.3328
1.205387 90.962 -106.6200
1.214122 90.968 -106.9059
1.222920 90.972 -107.1904
1.231782 90.977 -107.4734
1.240708 90.981 -107.7549
1.249699 90.984 -108.0348
1.258754 90.987 -108.3129
1.267876 90.989 -108.5890
1.277063 90.992 -108.8630
1.286318 90.993 -109.1348
1.295639 90.995 -109.4040
1.305027 90.996 -109.6706
1.314484 90.997 -109.9341
1.324009 90.997 -110.1945
1.333604 90.998 -110.4513
1.343268 90.998 -110.7042
1.353002 90.998 -110.9530
1.362806 90.998 -111.1973
1.372681 90.997 -111.4366
1.382628 90.997 -111.6706
1.392647 90.997 -111.8988
1.402739 90.997 -112.1208
1.412904 90.997 -112.3361
1.423142 90.997 -112.5442
1.433455 90.997 -112.7448
1.443843 90.997 -112.9372
1.454305 90.997 -113.1213
1.464844 90.997 -113.2967
1.475459 90.996 -113.4633
1.486150 90.995 -113.6210
1.496920 90.994 -113.7698
1.507767 90.991 -113.9098
1.518693 90.989 -114.0410
1.529698 90.985 -114.1636
1.540783 90.981 -114.2775
1.551948 90.976 -114.3830
1.563194 90.971 -114.4800
1.574521 90.965 -114.5687
1.585931 90.959 -114.6492
1.597423 90.953 -114.7215
1.608999 90.947 -114.7859
1.620658 90.940 -114.8423
1.632402 90.934 -114.8909
1.644232 90.928 -114.9318
1.656146 90.922 -114.9652
1.668147 90.916 -114.9913
1.680235 90.911 -115.0101
1.692411 90.906 -115.0219
1.704675 90.902 -115.0268
1.717028 90.899 -115.0250
1.729470 90.897 -115.0167
1.742003 90.896 -115.0022
1.754626 90.896 -114.9814
1.767341 90.898 -114.9547
1.780147 90.902 -114.9219
1.793047 90.907 -114.8829
1.806040 90.913 -114.8371
1.819128 90.922 -114.7838
1.832310 90.932 -114.7218
1.845587 90.944 -114.6496
1.858961 90.957 -114.5660
1.872432 90.972 -114.4701
1.886001 90.988 -114.3615
1.899667 91.005 -114.2404
1.913433 91.024 -114.1073
1.927299 91.044 -113.9629
1.941265 91.065 -113.8080
1.955332 91.088 -113.6437
1.969501 91.112 -113.4713
1.983773 91.138 -113.2918
1.998148 91.164 -113.1065
2.012627 91.193 -112.9169
2.027212 91.223 -112.7242
2.041902 91.254 -112.5300
2.056698 91.287 -112.3357
2.071602 91.322 -112.1428
2.086614 91.359 -111.9528
2.101734 91.397 -111.7673
2.116964 91.437 -111.5876
2.132304 91.478 -111.4150
2.147756 91.522 -111.2503
2.163320 91.568 -111.0942
2.178996 91.616 -110.9463
2.194786 91.666 -110.8057
2.210690 91.719 -110.6710
2.226710 91.775 -110.5404
2.242845 91.834 -110.4127
2.259098 91.895 -110.2873
2.275468 91.959 -110.1641
2.291957 92.026 -110.0437
2.308566 92.095 -109.9270
2.325295 92.167 -109.8149
2.342145 92.241 -109.7086
2.359117 92.316 -109.6095
2.376212 92.394 -109.5188
2.393431 92.472 -109.4378
2.410775 92.552 -109.3678
2.428244 92.633 -109.3100
2.445840 92.715 -109.2658
2.463564 92.797 -109.2364
2.481416 92.879 -109.2229
2.499397 92.961 -109.2263
2.517509 93.043 -109.2473
2.535752 93.125 -109.2865
2.554127 93.207 -109.3440
2.572635 93.289 -109.4193
2.591277 93.371 -109.5118
2.610055 93.453 -109.6205
2.628968 93.537 -109.7445
2.648019 93.621 -109.8831
2.667208 93.706 -110.0356
2.686535 93.791 -110.2014
2.706003 93.877 -110.3800
2.725612 93.963 -110.5708
2.745363 94.048 -110.7735
2.765257 94.134 -110.9877
2.785295 94.219 -111.2132
2.805478 94.303 -111.4496
2.825808 94.386 -111.6970
2.846285 94.468 -111.9552
2.866910 94.549 -112.2245
2.887685 94.628 -112.5054
2.908611 94.705 -112.7986
2.929688 94.780 -113.1050
2.950917 94.854 -113.4256
2.972301 94.926 -113.7611
2.993839 94.997 -114.1115
3.015534 95.066 -114.4765
3.037386 95.134 -114.8550
3.059396 95.200 -115.2457
3.081565 95.265 -115.6472
3.103896 95.328 -116.0577
3.126388 95.389 -116.4756
3.149043 95.449 -116.8993
3.171862 95.507 -117.3271
3.194847 95.563 -117.7578
3.217998 95.617 -118.1904
3.241317 95.669 -118.6242
3.264805 95.719 -119.0596
3.288463 95.767 -119.4972
3.312293 95.812 -119.9387
3.336295 95.855 -120.3857
3.360471 95.896 -120.8393
3.384822 95.933 -121.2997
3.409350 95.969 -121.7664
3.434056 96.002 -122.2383
3.458940 96.033 -122.7135
3.484005 96.062 -123.1903
3.509252 96.088 -123.6662
3.534681 96.113 -124.1393
3.560295 96.135 -124.6074
3.586094 96.156 -125.0687
3.612081 96.175 -125.5219
3.638255 96.192 -125.9667
3.664620 96.206 -126.4031
3.691175 96.219 -126.8324
3.717923 96.229 -127.2556
3.744864 96.236 -127.6736
3.772001 96.242 -128.0868
3.799335 96.245 -128.4949
3.826866 96.246 -128.8969
3.854597 96.245 -129.2918
3.882529 96.244 -129.6780
3.910664 96.240 -130.0539
3.939002 96.236 -130.4179
3.967546 96.232 -130.7683
3.996296 96.226 -131.1037
4.025255 96.220 -131.4232
4.054423 96.213 -131.7263
4.083804 96.205 -132.0131
4.113396 96.196 -132.2840
4.143204 96.187 -132.5398
4.173227 96.176 -132.7811
4.203468 96.166 -133.0089
4.233928 96.155 -133.2238
4.264609 96.145 -133.4266
4.295512 96.136 -133.6175
4.326639 96.128 -133.7967
4.357992 96.121 -133.9640
4.389572 96.115 -134.1188
4.421380 96.112 -134.2601
4.453419 96.110 -134.3875
4.485691 96.109 -134.5012
4.518196 96.110 -134.6023
4.550936 96.112 -134.6927
4.583914 96.117 -134.7749
4.617131 96.123 -134.8516
4.650589 96.130 -134.9256
4.684289 96.141 -134.9991
4.718233 96.153 -135.0740
4.752424 96.168 -135.1510
4.786862 96.185 -135.2301
4.821549 96.205 -135.3111
4.856488 96.228 -135.3940
4.891680 96.253 -135.4797
4.927127 96.280 -135.5695
4.962831 96.309 -135.6658
4.998794 96.339 -135.7706
5.035017 96.371 -135.8865
5.071503 96.404 -136.0155
5.108253 96.438 -136.1589
5.145270 96.472 -136.3176
5.182555 96.508 -136.4917
5.220110 96.544 -136.6806
5.257937 96.581 -136.8838
5.296038 96.619 -137.1008
5.334415 96.656 -137.3310
5.373071 96.694 -137.5743
5.412006 96.730 -137.8307
5.451224 96.765 -138.1003
5.490725 96.799 -138.3835
5.530514 96.832 -138.6805
5.570590 96.863 -138.9913
5.610957 96.893 -139.3147
5.651616 96.921 -139.6491
5.692570 96.948 -139.9924
5.733821 96.972 -140.3421
5.775370 96.995 -140.6963
5.817221 97.015 -141.0532
5.859375 97.033 -141.4122
5.901834 97.049 -141.7729
5.944602 97.063 -142.1349
5.987679 97.074 -142.4976
6.031068 97.083 -142.8593
