* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jun 1, 2024 4:32:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Truthear Gate R
* Measurement: R Truthear Gate
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.158 -175.8577
0.368865 78.158 -175.8622
0.371538 78.157 -175.8690
0.374230 78.157 -175.8774
0.376942 78.156 -175.8869
0.379673 78.155 -175.8973
0.382424 78.154 -175.9082
0.385196 78.153 -175.9195
0.387987 78.152 -175.9312
0.390798 78.151 -175.9431
0.393630 78.150 -175.9553
0.396483 78.149 -175.9677
0.399356 78.148 -175.9805
0.402250 78.147 -175.9934
0.405165 78.146 -176.0066
0.408101 78.145 -176.0201
0.411058 78.144 -176.0338
0.414037 78.142 -176.0478
0.417037 78.141 -176.0621
0.420059 78.140 -176.0766
0.423103 78.139 -176.0914
0.426169 78.138 -176.1066
0.429257 78.137 -176.1220
0.432368 78.136 -176.1377
0.435501 78.135 -176.1537
0.438656 78.133 -176.1700
0.441835 78.132 -176.1866
0.445037 78.131 -176.2036
0.448262 78.130 -176.2209
0.451510 78.129 -176.2385
0.454782 78.128 -176.2564
0.458077 78.126 -176.2747
0.461397 78.125 -176.2934
0.464740 78.124 -176.3124
0.468108 78.123 -176.3317
0.471500 78.122 -176.3515
0.474917 78.120 -176.3716
0.478358 78.119 -176.3921
0.481825 78.118 -176.4130
0.485316 78.117 -176.4343
0.488833 78.115 -176.4560
0.492375 78.114 -176.4781
0.495943 78.113 -176.5007
0.499537 78.111 -176.5237
0.503157 78.110 -176.5471
0.506803 78.109 -176.5710
0.510475 78.107 -176.5954
0.514175 78.106 -176.6202
0.517900 78.105 -176.6455
0.521653 78.103 -176.6712
0.525434 78.102 -176.6975
0.529241 78.101 -176.7243
0.533076 78.099 -176.7517
0.536939 78.098 -176.7795
0.540830 78.096 -176.8079
0.544749 78.095 -176.8369
0.548696 78.093 -176.8664
0.552673 78.092 -176.8965
0.556677 78.091 -176.9272
0.560711 78.089 -176.9585
0.564774 78.088 -176.9905
0.568867 78.086 -177.0230
0.572989 78.085 -177.0563
0.577141 78.083 -177.0901
0.581324 78.082 -177.1247
0.585536 78.080 -177.1600
0.589779 78.079 -177.1960
0.594053 78.077 -177.2327
0.598358 78.075 -177.2702
0.602694 78.074 -177.3084
0.607061 78.072 -177.3474
0.611460 78.071 -177.3873
0.615891 78.069 -177.4279
0.620354 78.067 -177.4694
0.624849 78.066 -177.5118
0.629377 78.064 -177.5551
0.633938 78.063 -177.5993
0.638532 78.061 -177.6444
0.643159 78.059 -177.6906
0.647819 78.057 -177.7377
0.652514 78.056 -177.7858
0.657242 78.054 -177.8350
0.662005 78.052 -177.8853
0.666802 78.051 -177.9367
0.671634 78.049 -177.9892
0.676501 78.047 -178.0430
0.681403 78.045 -178.0979
0.686341 78.043 -178.1542
0.691314 78.042 -178.2117
0.696324 78.040 -178.2706
0.701370 78.038 -178.3309
0.706452 78.035 -178.3926
0.711571 78.033 -178.4559
0.716728 78.029 -178.5209
0.721921 78.025 -178.5877
0.727153 78.019 -178.6565
0.732422 78.012 -178.7276
0.737729 78.003 -178.8012
0.743075 77.992 -178.8776
0.748460 77.980 -178.9571
0.753883 77.967 -179.0398
0.759346 77.953 -179.1258
0.764849 77.939 -179.2152
0.770391 77.925 -179.3081
0.775974 77.911 -179.4044
0.781597 77.897 -179.5041
0.787261 77.883 -179.6073
0.792966 77.868 -179.7139
0.798712 77.854 -179.8239
0.804500 77.839 -179.9373
0.810329 77.824 179.9459
0.816201 77.809 179.8258
0.822116 77.794 179.7023
0.828073 77.778 179.5755
0.834074 77.762 179.4454
0.840118 77.745 179.3121
0.846206 77.728 179.1757
0.852338 77.710 179.0359
0.858514 77.692 178.8931
0.864735 77.673 178.7473
0.871001 77.653 178.5983
0.877313 77.632 178.4464
0.883670 77.611 178.2916
0.890074 77.588 178.1339
0.896524 77.565 177.9733
0.903020 77.540 177.8101
0.909564 77.514 177.6441
0.916155 77.487 177.4756
0.922794 77.458 177.3046
0.929481 77.428 177.1310
0.936216 77.396 176.9552
0.943000 77.363 176.7771
0.949834 77.327 176.5969
0.956717 77.290 176.4146
0.963649 77.251 176.2303
0.970632 77.210 176.0443
0.977666 77.166 175.8565
0.984750 77.121 175.6671
0.991886 77.072 175.4764
0.999074 77.021 175.2843
1.006314 76.968 175.0911
1.013606 76.911 174.8969
1.020951 76.852 174.7019
1.028349 76.789 174.5062
1.035801 76.723 174.3101
1.043307 76.654 174.1136
1.050867 76.581 173.9171
1.058482 76.504 173.7204
1.066152 76.423 173.5236
1.073878 76.337 173.3267
1.081660 76.247 173.1290
1.089498 76.152 172.9299
1.097393 76.050 172.7282
1.105345 75.943 172.5223
1.113355 75.828 172.3105
1.121423 75.706 172.0914
1.129549 75.576 171.8637
1.137734 75.438 171.6266
1.145979 75.292 171.3795
1.154283 75.138 171.1219
1.162647 74.977 170.8536
1.171072 74.808 170.5743
1.179558 74.633 170.2839
1.188106 74.451 169.9822
1.196715 74.263 169.6690
1.205387 74.068 169.3441
1.214122 73.869 169.0075
1.222920 73.664 168.6589
1.231782 73.454 168.2983
1.240708 73.241 167.9255
1.249699 73.024 167.5403
1.258754 72.804 167.1426
1.267876 72.581 166.7322
1.277063 72.356 166.3092
1.286318 72.130 165.8733
1.295639 71.903 165.4244
1.305027 71.676 164.9625
1.314484 71.450 164.4874
1.324009 71.226 163.9992
1.333604 71.003 163.4977
1.343268 70.783 162.9831
1.353002 70.568 162.4552
1.362806 70.356 161.9141
1.372681 70.151 161.3600
1.382628 69.952 160.7928
1.392647 69.761 160.2127
1.402739 69.578 159.6196
1.412904 69.404 159.0132
1.423142 69.241 158.3928
1.433455 69.089 157.7567
1.443843 68.949 157.1018
1.454305 68.820 156.4227
1.464844 68.701 155.7106
1.475459 68.593 154.9531
1.486150 68.494 154.1344
1.496920 68.402 153.2353
1.507767 68.317 152.2329
1.518693 68.239 151.0989
1.529698 68.168 149.7969
1.540783 68.102 148.2775
1.551948 68.044 146.4709
1.563194 67.992 144.2758
1.574521 67.947 141.5368
1.585931 67.910 138.0081
1.597423 67.880 133.2808
1.608999 67.858 126.6476
1.620658 67.844 116.8687
1.632402 67.839 101.9839
1.644232 67.844 80.4152
1.656146 67.857 55.3417
1.668147 67.881 34.2642
1.680235 67.914 19.8217
1.692411 67.959 10.2833
1.704675 68.015 3.7396
1.717028 68.082 -0.9961
1.729470 68.161 -4.6000
1.742003 68.253 -7.4640
1.754626 68.359 -9.8247
1.767341 68.479 -11.8315
1.780147 68.613 -13.5822
1.793047 68.765 -15.1431
1.806040 68.934 -16.5599
1.819128 69.123 -17.8647
1.832310 69.335 -19.0798
1.845587 69.570 -20.2203
1.858961 69.832 -21.2972
1.872432 70.121 -22.3184
1.886001 70.436 -23.2900
1.899667 70.777 -24.2173
1.913433 71.142 -25.1049
1.927299 71.529 -25.9569
1.941265 71.935 -26.7769
1.955332 72.358 -27.5682
1.969501 72.797 -28.3339
1.983773 73.247 -29.0765
1.998148 73.707 -29.7988
2.012627 74.173 -30.5031
2.027212 74.643 -31.1912
2.041902 75.113 -31.8654
2.056698 75.582 -32.5273
2.071602 76.045 -33.1790
2.086614 76.499 -33.8219
2.101734 76.943 -34.4578
2.116964 77.372 -35.0883
2.132304 77.784 -35.7150
2.147756 78.178 -36.3396
2.163320 78.552 -36.9640
2.178996 78.905 -37.5900
2.194786 79.237 -38.2193
2.210690 79.550 -38.8535
2.226710 79.845 -39.4935
2.242845 80.124 -40.1396
2.259098 80.389 -40.7913
2.275468 80.642 -41.4476
2.291957 80.882 -42.1071
2.308566 81.111 -42.7686
2.325295 81.330 -43.4307
2.342145 81.540 -44.0921
2.359117 81.741 -44.7518
2.376212 81.935 -45.4086
2.393431 82.122 -46.0618
2.410775 82.303 -46.7106
2.428244 82.480 -47.3544
2.445840 82.652 -47.9928
2.463564 82.822 -48.6255
2.481416 82.990 -49.2526
2.499397 83.157 -49.8744
2.517509 83.323 -50.4919
2.535752 83.489 -51.1064
2.554127 83.654 -51.7200
2.572635 83.817 -52.3351
2.591277 83.978 -52.9540
2.610055 84.136 -53.5785
2.628968 84.290 -54.2094
2.648019 84.439 -54.8461
2.667208 84.584 -55.4880
2.686535 84.725 -56.1335
2.706003 84.861 -56.7812
2.725612 84.994 -57.4292
2.745363 85.122 -58.0756
2.765257 85.247 -58.7189
2.785295 85.369 -59.3572
2.805478 85.488 -59.9891
2.825808 85.605 -60.6132
2.846285 85.719 -61.2285
2.866910 85.832 -61.8346
2.887685 85.942 -62.4313
2.908611 86.050 -63.0198
2.929688 86.156 -63.6019
2.950917 86.260 -64.1798
2.972301 86.361 -64.7561
2.993839 86.458 -65.3322
3.015534 86.552 -65.9089
3.037386 86.643 -66.4860
3.059396 86.731 -67.0627
3.081565 86.816 -67.6377
3.103896 86.898 -68.2095
3.126388 86.977 -68.7762
3.149043 87.054 -69.3362
3.171862 87.129 -69.8876
3.194847 87.202 -70.4288
3.217998 87.273 -70.9583
3.241317 87.342 -71.4749
3.264805 87.411 -71.9785
3.288463 87.477 -72.4694
3.312293 87.542 -72.9485
3.336295 87.604 -73.4176
3.360471 87.664 -73.8781
3.384822 87.722 -74.3307
3.409350 87.778 -74.7760
3.434056 87.831 -75.2139
3.458940 87.883 -75.6442
3.484005 87.933 -76.0659
3.509252 87.982 -76.4784
3.534681 88.029 -76.8806
3.560295 88.076 -77.2714
3.586094 88.123 -77.6500
3.612081 88.169 -78.0151
3.638255 88.215 -78.3662
3.664620 88.261 -78.7029
3.691175 88.306 -79.0250
3.717923 88.351 -79.3329
3.744864 88.395 -79.6274
3.772001 88.438 -79.9094
3.799335 88.481 -80.1799
3.826866 88.523 -80.4399
3.854597 88.566 -80.6904
3.882529 88.609 -80.9326
3.910664 88.652 -81.1670
3.939002 88.696 -81.3945
3.967546 88.741 -81.6152
3.996296 88.788 -81.8292
4.025255 88.835 -82.0360
4.054423 88.884 -82.2349
4.083804 88.935 -82.4257
4.113396 88.986 -82.6083
4.143204 89.039 -82.7839
4.173227 89.092 -82.9539
4.203468 89.147 -83.1202
4.233928 89.203 -83.2850
4.264609 89.260 -83.4507
4.295512 89.319 -83.6193
4.326639 89.378 -83.7925
4.357992 89.439 -83.9712
4.389572 89.502 -84.1560
4.421380 89.566 -84.3466
4.453419 89.631 -84.5424
4.485691 89.698 -84.7432
4.518196 89.766 -84.9493
4.550936 89.835 -85.1617
4.583914 89.905 -85.3813
4.617131 89.976 -85.6097
4.650589 90.047 -85.8485
4.684289 90.119 -86.0989
4.718233 90.190 -86.3621
4.752424 90.261 -86.6388
4.786862 90.333 -86.9293
4.821549 90.404 -87.2333
4.856488 90.476 -87.5504
4.891680 90.547 -87.8796
4.927127 90.618 -88.2206
4.962831 90.688 -88.5725
4.998794 90.758 -88.9350
5.035017 90.826 -89.3078
5.071503 90.893 -89.6909
5.108253 90.959 -90.0846
5.145270 91.024 -90.4891
5.182555 91.086 -90.9048
5.220110 91.148 -91.3311
5.257937 91.207 -91.7672
5.296038 91.265 -92.2117
5.334415 91.322 -92.6626
5.373071 91.376 -93.1183
5.412006 91.429 -93.5774
5.451224 91.481 -94.0388
5.490725 91.530 -94.5020
5.530514 91.577 -94.9670
5.570590 91.622 -95.4341
5.610957 91.665 -95.9030
5.651616 91.707 -96.3726
5.692570 91.747 -96.8416
5.733821 91.785 -97.3082
5.775370 91.822 -97.7710
5.817221 91.858 -98.2284
5.859375 91.892 -98.6798
5.901834 91.925 -99.1248
5.944602 91.957 -99.5635
5.987679 91.989 -99.9962
6.031068 92.019 -100.4227
6.074771 92.049 -100.8429
6.118792 92.078 -101.2563
6.163131 92.107 -101.6624
6.207792 92.137 -102.0609
6.252776 92.167 -102.4513
6.298086 92.197 -102.8339
6.343725 92.227 -103.2092
6.389694 92.258 -103.5782
