* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: May 27, 2024 3:22:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Twistura D-Major Black L
* Measurement: L Twistura D-Major Black
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.341 173.1138
0.368865 79.337 173.1036
0.371538 79.331 173.0884
0.374230 79.323 173.0692
0.376942 79.314 173.0472
0.379673 79.305 173.0231
0.382424 79.295 172.9974
0.385196 79.285 172.9704
0.387987 79.275 172.9422
0.390798 79.265 172.9130
0.393630 79.255 172.8828
0.396483 79.244 172.8516
0.399356 79.234 172.8194
0.402250 79.223 172.7862
0.405165 79.212 172.7521
0.408101 79.201 172.7170
0.411058 79.191 172.6808
0.414037 79.180 172.6437
0.417037 79.169 172.6055
0.420059 79.158 172.5663
0.423103 79.146 172.5261
0.426169 79.135 172.4848
0.429257 79.124 172.4425
0.432368 79.112 172.3991
0.435501 79.101 172.3547
0.438656 79.089 172.3091
0.441835 79.078 172.2625
0.445037 79.066 172.2148
0.448262 79.054 172.1660
0.451510 79.042 172.1160
0.454782 79.030 172.0650
0.458077 79.018 172.0128
0.461397 79.006 171.9595
0.464740 78.994 171.9050
0.468108 78.981 171.8494
0.471500 78.969 171.7927
0.474917 78.956 171.7348
0.478358 78.944 171.6757
0.481825 78.931 171.6154
0.485316 78.918 171.5540
0.488833 78.905 171.4914
0.492375 78.892 171.4276
0.495943 78.879 171.3626
0.499537 78.866 171.2964
0.503157 78.853 171.2290
0.506803 78.839 171.1604
0.510475 78.826 171.0906
0.514175 78.812 171.0196
0.517900 78.798 170.9474
0.521653 78.785 170.8739
0.525434 78.771 170.7993
0.529241 78.757 170.7234
0.533076 78.743 170.6464
0.536939 78.729 170.5681
0.540830 78.714 170.4886
0.544749 78.700 170.4079
0.548696 78.685 170.3260
0.552673 78.671 170.2428
0.556677 78.656 170.1585
0.560711 78.641 170.0730
0.564774 78.626 169.9863
0.568867 78.611 169.8983
0.572989 78.596 169.8092
0.577141 78.581 169.7190
0.581324 78.566 169.6275
0.585536 78.550 169.5349
0.589779 78.535 169.4412
0.594053 78.519 169.3463
0.598358 78.503 169.2503
0.602694 78.487 169.1532
0.607061 78.471 169.0550
0.611460 78.455 168.9557
0.615891 78.439 168.8553
0.620354 78.423 168.7539
0.624849 78.406 168.6515
0.629377 78.389 168.5480
0.633938 78.373 168.4436
0.638532 78.356 168.3382
0.643159 78.339 168.2319
0.647819 78.322 168.1246
0.652514 78.305 168.0165
0.657242 78.287 167.9075
0.662005 78.270 167.7977
0.666802 78.252 167.6871
0.671634 78.234 167.5758
0.676501 78.216 167.4637
0.681403 78.198 167.3509
0.686341 78.180 167.2375
0.691314 78.162 167.1236
0.696324 78.143 167.0090
0.701370 78.125 166.8939
0.706452 78.106 166.7782
0.711571 78.086 166.6620
0.716728 78.066 166.5452
0.721921 78.044 166.4276
0.727153 78.021 166.3090
0.732422 77.996 166.1889
0.737729 77.969 166.0670
0.743075 77.940 165.9427
0.748460 77.910 165.8156
0.753883 77.879 165.6855
0.759346 77.847 165.5520
0.764849 77.815 165.4152
0.770391 77.782 165.2747
0.775974 77.750 165.1307
0.781597 77.717 164.9830
0.787261 77.684 164.8316
0.792966 77.651 164.6765
0.798712 77.618 164.5176
0.804500 77.585 164.3550
0.810329 77.551 164.1886
0.816201 77.517 164.0184
0.822116 77.482 163.8444
0.828073 77.447 163.6666
0.834074 77.412 163.4849
0.840118 77.376 163.2995
0.846206 77.339 163.1101
0.852338 77.302 162.9169
0.858514 77.264 162.7199
0.864735 77.225 162.5190
0.871001 77.184 162.3143
0.877313 77.143 162.1058
0.883670 77.101 161.8934
0.890074 77.058 161.6773
0.896524 77.013 161.4574
0.903020 76.967 161.2337
0.909564 76.919 161.0062
0.916155 76.870 160.7751
0.922794 76.818 160.5404
0.929481 76.766 160.3020
0.936216 76.711 160.0600
0.943000 76.654 159.8146
0.949834 76.595 159.5657
0.956717 76.534 159.3135
0.963649 76.470 159.0580
0.970632 76.403 158.7992
0.977666 76.334 158.5374
0.984750 76.263 158.2725
0.991886 76.188 158.0048
0.999074 76.110 157.7344
1.006314 76.028 157.4613
1.013606 75.943 157.1857
1.020951 75.855 156.9079
1.028349 75.763 156.6279
1.035801 75.666 156.3460
1.043307 75.566 156.0624
1.050867 75.461 155.7771
1.058482 75.351 155.4905
1.066152 75.237 155.2025
1.073878 75.117 154.9131
1.081660 74.991 154.6221
1.089498 74.858 154.3289
1.097393 74.718 154.0327
1.105345 74.569 153.7322
1.113355 74.410 153.4262
1.121423 74.241 153.1132
1.129549 74.061 152.7922
1.137734 73.870 152.4621
1.145979 73.667 152.1223
1.154283 73.454 151.7721
1.162647 73.230 151.4108
1.171072 72.996 151.0378
1.179558 72.753 150.6524
1.188106 72.500 150.2541
1.196715 72.238 149.8421
1.205387 71.969 149.4156
1.214122 71.693 148.9738
1.222920 71.410 148.5159
1.231782 71.121 148.0408
1.240708 70.827 147.5474
1.249699 70.529 147.0347
1.258754 70.228 146.5011
1.267876 69.924 145.9454
1.277063 69.619 145.3659
1.286318 69.314 144.7607
1.295639 69.009 144.1279
1.305027 68.706 143.4652
1.314484 68.405 142.7700
1.324009 68.109 142.0395
1.333604 67.818 141.2703
1.343268 67.534 140.4586
1.353002 67.259 139.6001
1.362806 66.992 138.6898
1.372681 66.738 137.7217
1.382628 66.496 136.6889
1.392647 66.268 135.5833
1.402739 66.057 134.3949
1.412904 65.864 133.1119
1.423142 65.690 131.7193
1.433455 65.538 130.1986
1.443843 65.409 128.5256
1.454305 65.304 126.6692
1.464844 65.223 124.5884
1.475459 65.166 122.2298
1.486150 65.134 119.5249
1.496920 65.124 116.3872
1.507767 65.137 112.7085
1.518693 65.172 108.3551
1.529698 65.227 103.1678
1.540783 65.302 96.9700
1.551948 65.397 89.5982
1.563194 65.511 80.9670
1.574521 65.642 71.1708
1.585931 65.790 60.5753
1.597423 65.954 49.7964
1.608999 66.133 39.5130
1.620658 66.325 30.2312
1.632402 66.531 22.1764
1.644232 66.749 15.3402
1.656146 66.978 9.5887
1.668147 67.216 4.7468
1.680235 67.463 0.6457
1.692411 67.716 -2.8599
1.704675 67.976 -5.8884
1.717028 68.240 -8.5338
1.729470 68.507 -10.8701
1.742003 68.776 -12.9556
1.754626 69.046 -14.8363
1.767341 69.315 -16.5487
1.780147 69.583 -18.1221
1.793047 69.849 -19.5800
1.806040 70.114 -20.9414
1.819128 70.379 -22.2216
1.832310 70.646 -23.4327
1.845587 70.916 -24.5844
1.858961 71.193 -25.6839
1.872432 71.478 -26.7368
1.886001 71.771 -27.7474
1.899667 72.074 -28.7193
1.913433 72.385 -29.6556
1.927299 72.704 -30.5589
1.941265 73.030 -31.4316
1.955332 73.362 -32.2761
1.969501 73.700 -33.0942
1.983773 74.041 -33.8879
1.998148 74.386 -34.6591
2.012627 74.732 -35.4093
2.027212 75.078 -36.1402
2.041902 75.424 -36.8532
2.056698 75.767 -37.5498
2.071602 76.106 -38.2312
2.086614 76.440 -38.8990
2.101734 76.768 -39.5542
2.116964 77.088 -40.1983
2.132304 77.398 -40.8327
2.147756 77.699 -41.4587
2.163320 77.988 -42.0781
2.178996 78.266 -42.6927
2.194786 78.532 -43.3043
2.210690 78.786 -43.9149
2.226710 79.030 -44.5259
2.242845 79.264 -45.1382
2.259098 79.488 -45.7519
2.275468 79.704 -46.3668
2.291957 79.911 -46.9822
2.308566 80.111 -47.5973
2.325295 80.303 -48.2112
2.342145 80.489 -48.8230
2.359117 80.669 -49.4320
2.376212 80.844 -50.0372
2.393431 81.013 -50.6381
2.410775 81.179 -51.2341
2.428244 81.340 -51.8245
2.445840 81.499 -52.4089
2.463564 81.655 -52.9872
2.481416 81.810 -53.5591
2.499397 81.963 -54.1249
2.517509 82.115 -54.6852
2.535752 82.266 -55.2409
2.554127 82.416 -55.7936
2.572635 82.564 -56.3451
2.591277 82.711 -56.8976
2.610055 82.854 -57.4524
2.628968 82.994 -58.0104
2.648019 83.130 -58.5714
2.667208 83.262 -59.1350
2.686535 83.391 -59.7002
2.706003 83.517 -60.2661
2.725612 83.639 -60.8313
2.745363 83.758 -61.3946
2.765257 83.874 -61.9547
2.785295 83.987 -62.5103
2.805478 84.099 -63.0604
2.825808 84.208 -63.6039
2.846285 84.315 -64.1400
2.866910 84.421 -64.6682
2.887685 84.525 -65.1886
2.908611 84.627 -65.7019
2.929688 84.727 -66.2092
2.950917 84.826 -66.7124
2.972301 84.922 -67.2133
2.993839 85.015 -67.7129
3.015534 85.106 -68.2118
3.037386 85.194 -68.7101
3.059396 85.279 -69.2070
3.081565 85.362 -69.7017
3.103896 85.442 -70.1931
3.126388 85.520 -70.6800
3.149043 85.597 -71.1610
3.171862 85.671 -71.6348
3.194847 85.745 -72.1002
3.217998 85.816 -72.5561
3.241317 85.887 -73.0019
3.264805 85.956 -73.4370
3.288463 86.025 -73.8618
3.312293 86.091 -74.2771
3.336295 86.156 -74.6838
3.360471 86.219 -75.0831
3.384822 86.281 -75.4755
3.409350 86.340 -75.8617
3.434056 86.398 -76.2415
3.458940 86.454 -76.6148
3.484005 86.509 -76.9814
3.509252 86.563 -77.3407
3.534681 86.616 -77.6922
3.560295 86.669 -78.0354
3.586094 86.721 -78.3695
3.612081 86.772 -78.6940
3.638255 86.824 -79.0085
3.664620 86.875 -79.3127
3.691175 86.926 -79.6066
3.717923 86.977 -79.8904
3.744864 87.027 -80.1646
3.772001 87.076 -80.4298
3.799335 87.125 -80.6869
3.826866 87.173 -80.9365
3.854597 87.222 -81.1795
3.882529 87.270 -81.4166
3.910664 87.319 -81.6484
3.939002 87.368 -81.8755
3.967546 87.418 -82.0982
3.996296 87.468 -82.3164
4.025255 87.520 -82.5299
4.054423 87.572 -82.7383
4.083804 87.624 -82.9413
4.113396 87.678 -83.1391
4.143204 87.732 -83.3322
4.173227 87.787 -83.5217
4.203468 87.842 -83.7089
4.233928 87.898 -83.8954
4.264609 87.954 -84.0827
4.295512 88.012 -84.2721
4.326639 88.070 -84.4649
4.357992 88.128 -84.6618
4.389572 88.188 -84.8630
4.421380 88.248 -85.0686
4.453419 88.309 -85.2780
4.485691 88.371 -85.4913
4.518196 88.433 -85.7085
4.550936 88.496 -85.9301
4.583914 88.560 -86.1568
4.617131 88.624 -86.3896
4.650589 88.688 -86.6295
4.684289 88.752 -86.8772
4.718233 88.815 -87.1337
4.752424 88.879 -87.3993
4.786862 88.942 -87.6743
4.821549 89.006 -87.9586
4.856488 89.069 -88.2518
4.891680 89.132 -88.5535
4.927127 89.194 -88.8633
4.962831 89.256 -89.1806
4.998794 89.317 -89.5052
5.035017 89.378 -89.8368
5.071503 89.437 -90.1753
5.108253 89.495 -90.5210
5.145270 89.552 -90.8739
5.182555 89.608 -91.2344
5.220110 89.663 -91.6021
5.257937 89.717 -91.9764
5.296038 89.769 -92.3565
5.334415 89.820 -92.7410
5.373071 89.870 -93.1289
5.412006 89.919 -93.5189
5.451224 89.966 -93.9105
5.490725 90.012 -94.3032
5.530514 90.057 -94.6972
5.570590 90.100 -95.0924
5.610957 90.142 -95.4886
5.651616 90.182 -95.8854
5.692570 90.222 -96.2818
5.733821 90.260 -96.6767
5.775370 90.298 -97.0691
5.817221 90.334 -97.4581
5.859375 90.370 -97.8431
5.901834 90.405 -98.2241
5.944602 90.439 -98.6011
5.987679 90.473 -98.9742
6.031068 90.506 -99.3435
6.074771 90.539 -99.7091
6.118792 90.571 -100.0707
6.163131 90.604 -100.4282
6.207792 90.637 -100.7814
6.252776 90.670 -101.1302
6.298086 90.703 -101.4746
6.343725 90.737 -101.8152
6.389694 90.771 -102.1526
6.435996 90.805 -102.4875
6.482634 90.840 -102.8209
6.529610 90.876 -103.1535
6.576926 90.913 -103.4858
6.624585 90.950 -103.8181
6.672590 90.989 -104.1507
6.720942 91.028 -104.4842
