* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Jun 30, 2025 12:24:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Twistura Woodnote L
* Measurement: L Twistura Woodnote
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 94.411 157.1488
0.368865 94.405 157.1251
0.371538 94.396 157.0896
0.374230 94.385 157.0449
0.376942 94.372 156.9934
0.379673 94.359 156.9367
0.382424 94.345 156.8761
0.385196 94.330 156.8121
0.387987 94.315 156.7451
0.390798 94.300 156.6755
0.393630 94.285 156.6031
0.396483 94.270 156.5282
0.399356 94.255 156.4507
0.402250 94.239 156.3705
0.405165 94.224 156.2877
0.408101 94.208 156.2023
0.411058 94.192 156.1142
0.414037 94.177 156.0234
0.417037 94.161 155.9298
0.420059 94.144 155.8335
0.423103 94.128 155.7345
0.426169 94.112 155.6326
0.429257 94.095 155.5279
0.432368 94.079 155.4203
0.435501 94.062 155.3099
0.438656 94.045 155.1966
0.441835 94.028 155.0803
0.445037 94.011 154.9611
0.448262 93.994 154.8389
0.451510 93.977 154.7137
0.454782 93.959 154.5855
0.458077 93.942 154.4543
0.461397 93.924 154.3200
0.464740 93.906 154.1826
0.468108 93.888 154.0421
0.471500 93.870 153.8985
0.474917 93.852 153.7518
0.478358 93.833 153.6020
0.481825 93.815 153.4489
0.485316 93.796 153.2927
0.488833 93.778 153.1333
0.492375 93.759 152.9707
0.495943 93.740 152.8050
0.499537 93.720 152.6360
0.503157 93.701 152.4637
0.506803 93.682 152.2883
0.510475 93.662 152.1096
0.514175 93.642 151.9277
0.517900 93.623 151.7425
0.521653 93.603 151.5541
0.525434 93.582 151.3625
0.529241 93.562 151.1677
0.533076 93.542 150.9697
0.536939 93.521 150.7684
0.540830 93.500 150.5640
0.544749 93.479 150.3565
0.548696 93.458 150.1458
0.552673 93.437 149.9319
0.556677 93.416 149.7150
0.560711 93.394 149.4950
0.564774 93.373 149.2720
0.568867 93.351 149.0460
0.572989 93.329 148.8170
0.577141 93.307 148.5852
0.581324 93.284 148.3504
0.585536 93.262 148.1129
0.589779 93.239 147.8727
0.594053 93.216 147.6297
0.598358 93.193 147.3841
0.602694 93.170 147.1360
0.607061 93.147 146.8854
0.611460 93.124 146.6325
0.615891 93.100 146.3772
0.620354 93.076 146.1198
0.624849 93.052 145.8603
0.629377 93.028 145.5988
0.633938 93.004 145.3355
0.638532 92.979 145.0704
0.643159 92.954 144.8037
0.647819 92.930 144.5355
0.652514 92.905 144.2661
0.657242 92.879 143.9954
0.662005 92.854 143.7238
0.666802 92.828 143.4514
0.671634 92.803 143.1783
0.676501 92.777 142.9047
0.681403 92.750 142.6310
0.686341 92.724 142.3572
0.691314 92.697 142.0835
0.696324 92.671 141.8103
0.701370 92.643 141.5376
0.706452 92.616 141.2656
0.711571 92.588 140.9945
0.716728 92.559 140.7241
0.721921 92.529 140.4543
0.727153 92.497 140.1845
0.732422 92.463 139.9140
0.737729 92.428 139.6416
0.743075 92.389 139.3664
0.748460 92.350 139.0873
0.753883 92.308 138.8036
0.759346 92.266 138.5147
0.764849 92.223 138.2203
0.770391 92.180 137.9201
0.775974 92.135 137.6140
0.781597 92.091 137.3018
0.787261 92.045 136.9834
0.792966 92.000 136.6588
0.798712 91.953 136.3278
0.804500 91.906 135.9905
0.810329 91.858 135.6467
0.816201 91.810 135.2963
0.822116 91.761 134.9395
0.828073 91.711 134.5759
0.834074 91.661 134.2058
0.840118 91.610 133.8289
0.846206 91.558 133.4454
0.852338 91.505 133.0551
0.858514 91.451 132.6580
0.864735 91.396 132.2542
0.871001 91.340 131.8437
0.877313 91.284 131.4264
0.883670 91.226 131.0025
0.890074 91.167 130.5719
0.896524 91.107 130.1347
0.903020 91.046 129.6910
0.909564 90.983 129.2408
0.916155 90.920 128.7844
0.922794 90.855 128.3217
0.929481 90.788 127.8530
0.936216 90.720 127.3784
0.943000 90.651 126.8981
0.949834 90.580 126.4124
0.956717 90.507 125.9214
0.963649 90.433 125.4255
0.970632 90.357 124.9249
0.977666 90.279 124.4201
0.984750 90.199 123.9113
0.991886 90.117 123.3990
0.999074 90.033 122.8837
1.006314 89.947 122.3658
1.013606 89.859 121.8458
1.020951 89.769 121.3245
1.028349 89.676 120.8024
1.035801 89.580 120.2802
1.043307 89.483 119.7586
1.050867 89.382 119.2384
1.058482 89.279 118.7205
1.066152 89.173 118.2055
1.073878 89.065 117.6941
1.081660 88.953 117.1870
1.089498 88.839 116.6843
1.097393 88.721 116.1860
1.105345 88.601 115.6916
1.113355 88.478 115.2004
1.121423 88.352 114.7115
1.129549 88.223 114.2241
1.137734 88.091 113.7376
1.145979 87.957 113.2512
1.154283 87.819 112.7645
1.162647 87.679 112.2769
1.171072 87.536 111.7879
1.179558 87.390 111.2970
1.188106 87.241 110.8036
1.196715 87.089 110.3073
1.205387 86.933 109.8073
1.214122 86.775 109.3032
1.222920 86.614 108.7943
1.231782 86.449 108.2799
1.240708 86.281 107.7594
1.249699 86.109 107.2319
1.258754 85.935 106.6967
1.267876 85.757 106.1530
1.277063 85.575 105.5998
1.286318 85.390 105.0363
1.295639 85.201 104.4614
1.305027 85.009 103.8741
1.314484 84.812 103.2733
1.324009 84.613 102.6578
1.333604 84.409 102.0264
1.343268 84.202 101.3778
1.353002 83.990 100.7107
1.362806 83.775 100.0236
1.372681 83.555 99.3152
1.382628 83.332 98.5840
1.392647 83.104 97.8286
1.402739 82.872 97.0474
1.412904 82.635 96.2391
1.423142 82.394 95.4025
1.433455 82.147 94.5365
1.443843 81.893 93.6404
1.454305 81.632 92.7134
1.464844 81.362 91.7552
1.475459 81.079 90.7648
1.486150 80.783 89.7409
1.496920 80.470 88.6807
1.507767 80.141 87.5804
1.518693 79.796 86.4347
1.529698 79.433 85.2369
1.540783 79.055 83.9789
1.551948 78.662 82.6506
1.563194 78.256 81.2403
1.574521 77.838 79.7332
1.585931 77.411 78.1121
1.597423 76.975 76.3552
1.608999 76.534 74.4362
1.620658 76.088 72.3222
1.632402 75.641 69.9725
1.644232 75.195 67.3357
1.656146 74.752 64.3477
1.668147 74.315 60.9279
1.680235 73.888 56.9761
1.692411 73.472 52.3713
1.704675 73.071 46.9730
1.717028 72.689 40.6343
1.729470 72.330 33.2326
1.742003 71.997 24.7282
1.754626 71.694 15.2435
1.767341 71.426 5.1202
1.780147 71.198 -5.1171
1.793047 71.014 -14.9132
1.806040 70.879 -23.8571
1.819128 70.797 -31.7638
1.832310 70.773 -38.6396
1.845587 70.807 -44.5993
1.858961 70.903 -49.7921
1.872432 71.058 -54.3585
1.886001 71.271 -58.4154
1.899667 71.538 -62.0540
1.913433 71.855 -65.3449
1.927299 72.219 -68.3427
1.941265 72.623 -71.0896
1.955332 73.062 -73.6189
1.969501 73.532 -75.9574
1.983773 74.027 -78.1263
1.998148 74.541 -80.1431
2.012627 75.069 -82.0221
2.027212 75.605 -83.7752
2.041902 76.144 -85.4122
2.056698 76.680 -86.9412
2.071602 77.207 -88.3693
2.086614 77.720 -89.7023
2.101734 78.214 -90.9457
2.116964 78.683 -92.1046
2.132304 79.124 -93.1841
2.147756 79.532 -94.1904
2.163320 79.905 -95.1311
2.178996 80.243 -96.0158
2.194786 80.545 -96.8567
2.210690 80.816 -97.6676
2.226710 81.057 -98.4614
2.242845 81.273 -99.2485
2.259098 81.466 -100.0352
2.275468 81.638 -100.8247
2.291957 81.792 -101.6175
2.308566 81.929 -102.4123
2.325295 82.049 -103.2069
2.342145 82.155 -103.9981
2.359117 82.247 -104.7823
2.376212 82.327 -105.5557
2.393431 82.396 -106.3140
2.410775 82.455 -107.0527
2.428244 82.506 -107.7674
2.445840 82.550 -108.4532
2.463564 82.588 -109.1056
2.481416 82.622 -109.7203
2.499397 82.652 -110.2935
2.517509 82.680 -110.8226
2.535752 82.706 -111.3070
2.554127 82.729 -111.7483
2.572635 82.747 -112.1505
2.591277 82.761 -112.5192
2.610055 82.766 -112.8599
2.628968 82.764 -113.1766
2.648019 82.754 -113.4719
2.667208 82.735 -113.7463
2.686535 82.708 -113.9994
2.706003 82.674 -114.2297
2.725612 82.633 -114.4348
2.745363 82.586 -114.6119
2.765257 82.536 -114.7574
2.785295 82.482 -114.8676
2.805478 82.425 -114.9379
2.825808 82.368 -114.9639
2.846285 82.310 -114.9404
2.866910 82.253 -114.8624
2.887685 82.197 -114.7248
2.908611 82.143 -114.5227
2.929688 82.088 -114.2516
2.950917 82.033 -113.9080
2.972301 81.977 -113.4892
2.993839 81.918 -112.9940
3.015534 81.857 -112.4223
3.037386 81.794 -111.7753
3.059396 81.731 -111.0549
3.081565 81.668 -110.2646
3.103896 81.607 -109.4084
3.126388 81.549 -108.4916
3.149043 81.498 -107.5205
3.171862 81.454 -106.5022
3.194847 81.419 -105.4443
3.217998 81.397 -104.3543
3.241317 81.388 -103.2387
3.264805 81.394 -102.1023
3.288463 81.416 -100.9472
3.312293 81.455 -99.7731
3.336295 81.511 -98.5795
3.360471 81.584 -97.3685
3.384822 81.672 -96.1458
3.409350 81.774 -94.9208
3.434056 81.889 -93.7053
3.458940 82.014 -92.5128
3.484005 82.149 -91.3572
3.509252 82.291 -90.2517
3.534681 82.439 -89.2088
3.560295 82.592 -88.2390
3.586094 82.747 -87.3509
3.612081 82.904 -86.5503
3.638255 83.064 -85.8395
3.664620 83.226 -85.2177
3.691175 83.391 -84.6812
3.717923 83.560 -84.2247
3.744864 83.733 -83.8426
3.772001 83.910 -83.5298
3.799335 84.089 -83.2819
3.826866 84.270 -83.0950
3.854597 84.451 -82.9654
3.882529 84.631 -82.8902
3.910664 84.806 -82.8669
3.939002 84.977 -82.8938
3.967546 85.141 -82.9698
3.996296 85.298 -83.0947
4.025255 85.448 -83.2689
4.054423 85.590 -83.4931
4.083804 85.724 -83.7667
4.113396 85.852 -84.0874
4.143204 85.972 -84.4512
4.173227 86.087 -84.8524
4.203468 86.194 -85.2847
4.233928 86.296 -85.7416
4.264609 86.390 -86.2168
4.295512 86.478 -86.7053
4.326639 86.558 -87.2036
4.357992 86.631 -87.7101
4.389572 86.697 -88.2258
4.421380 86.755 -88.7531
4.453419 86.805 -89.2948
4.485691 86.846 -89.8518
4.518196 86.880 -90.4224
4.550936 86.907 -91.0028
4.583914 86.926 -91.5873
4.617131 86.938 -92.1692
4.650589 86.944 -92.7418
4.684289 86.944 -93.2987
4.718233 86.938 -93.8355
4.752424 86.925 -94.3496
4.786862 86.906 -94.8411
4.821549 86.881 -95.3112
4.856488 86.849 -95.7615
4.891680 86.811 -96.1920
4.927127 86.768 -96.6018
4.962831 86.720 -96.9882
4.998794 86.669 -97.3478
5.035017 86.615 -97.6763
5.071503 86.559 -97.9693
5.108253 86.502 -98.2228
5.145270 86.443 -98.4337
5.182555 86.383 -98.6006
5.220110 86.322 -98.7238
5.257937 86.261 -98.8053
5.296038 86.200 -98.8485
5.334415 86.140 -98.8574
5.373071 86.083 -98.8360
5.412006 86.030 -98.7878
5.451224 85.982 -98.7150
5.490725 85.941 -98.6189
5.530514 85.906 -98.4994
5.570590 85.878 -98.3578
5.610957 85.856 -98.1975
5.651616 85.841 -98.0251
5.692570 85.832 -97.8494
5.733821 85.829 -97.6803
5.775370 85.834 -97.5276
5.817221 85.845 -97.3993
5.859375 85.863 -97.3009
5.901834 85.888 -97.2353
5.944602 85.920 -97.2041
5.987679 85.959 -97.2089
6.031068 86.003 -97.2528
6.074771 86.051 -97.3397
6.118792 86.101 -97.4739
6.163131 86.154 -97.6598
6.207792 86.207 -97.9008
6.252776 86.260 -98.1986
6.298086 86.314 -98.5530
6.343725 86.368 -98.9614
6.389694 86.420 -99.4203
6.435996 86.471 -99.9252
6.482634 86.520 -100.4722
6.529610 86.565 -101.0582
6.576926 86.606 -101.6813
6.624585 86.642 -102.3408
6.672590 86.674 -103.0352
6.720942 86.701 -103.7613
