* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Mar 17, 2025 1:11:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Yanyin Cannon Pro 11
* Measurement: L Yanyin Cannon Pro 11
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 93.616 176.8437
1.030000 93.743 175.6342
1.060000 93.865 174.4105
1.090000 93.981 173.1660
1.120000 94.091 171.8782
1.150000 94.194 170.5234
1.180000 94.291 169.1032
1.220000 94.410 167.1307
1.250000 94.492 165.6104
1.280000 94.569 164.0702
1.320000 94.664 162.0078
1.360000 94.751 159.9616
1.400000 94.830 157.9578
1.450000 94.918 155.5385
1.500000 94.995 153.1750
1.550000 95.058 150.7785
1.600000 95.107 148.3408
1.650000 95.144 145.8878
1.700000 95.171 143.4490
1.750000 95.189 141.0538
1.800000 95.199 138.7261
1.850000 95.202 136.4572
1.900000 95.194 134.1906
1.950000 95.177 131.9005
2.000000 95.151 129.6015
2.060000 95.110 126.8704
2.120000 95.064 124.2237
2.180000 95.013 121.7154
2.240000 94.957 119.3503
2.300000 94.893 117.0800
2.360000 94.822 114.8826
2.430000 94.737 112.4206
2.500000 94.657 110.0999
2.580000 94.578 107.6790
2.650000 94.515 105.7910
2.720000 94.456 104.0917
2.800000 94.403 102.3230
2.900000 94.374 100.2995
3.000000 94.393 98.5081
3.070000 94.434 97.4261
3.150000 94.506 96.3026
3.250000 94.632 94.9340
3.350000 94.804 93.5389
3.450000 95.021 92.1711
3.550000 95.269 90.7827
3.650000 95.530 89.2705
3.750000 95.802 87.6059
3.870000 96.140 85.4777
4.000000 96.497 83.0648
4.120000 96.801 80.7242
4.250000 97.106 78.1044
4.370000 97.357 75.7195
4.500000 97.591 73.1994
4.620000 97.775 70.9366
4.750000 97.943 68.6530
4.870000 98.072 66.7343
5.000000 98.188 64.8452
5.150000 98.306 62.9532
5.300000 98.414 61.3836
5.450000 98.523 60.0752
5.600000 98.643 58.9865
5.800000 98.826 57.7788
6.000000 99.034 56.6660
6.150000 99.202 55.8325
6.300000 99.370 54.9432
6.500000 99.585 53.6594
6.700000 99.772 52.2878
6.900000 99.925 50.8743
7.100000 100.040 49.4999
7.300000 100.121 48.2179
7.500000 100.178 47.0785
7.750000 100.230 45.8565
8.000000 100.279 44.8187
8.250000 100.334 43.8658
8.500000 100.396 42.9030
8.750000 100.455 41.8660
9.000000 100.504 40.7419
9.250000 100.535 39.5605
9.500000 100.548 38.3668
9.750000 100.543 37.2029
10.000000 100.513 36.0866
10.300000 100.447 34.8029
10.600000 100.372 33.5471
10.900000 100.303 32.2867
11.200000 100.240 31.0135
11.500000 100.181 29.7415
11.800000 100.130 28.4914
12.200000 100.078 26.8798
12.500000 100.050 25.7135
12.800000 100.027 24.5822
13.200000 100.000 23.1419
13.600000 99.976 21.8109
14.000000 99.957 20.6090
14.500000 99.938 19.2578
15.000000 99.917 18.0085
15.500000 99.886 16.8390
16.000000 99.841 15.7682
16.500000 99.787 14.7781
17.000000 99.733 13.8059
17.500000 99.675 12.8108
18.000000 99.610 11.7992
18.500000 99.541 10.7852
19.000000 99.478 9.7632
19.500000 99.422 8.7269
20.000000 99.373 7.6864
20.600000 99.323 6.4550
21.200001 99.284 5.2627
21.799999 99.254 4.1359
22.400000 99.230 3.0968
23.000000 99.207 2.1426
23.600000 99.181 1.2592
24.299999 99.141 0.3062
25.000000 99.091 -0.5848
25.799999 99.023 -1.5703
26.500000 98.958 -2.4365
27.200001 98.890 -3.3263
28.000000 98.812 -4.3617
29.000000 98.722 -5.6512
30.000000 98.646 -6.9132
30.700001 98.600 -7.7528
31.500000 98.551 -8.6538
32.500000 98.489 -9.6985
33.500000 98.422 -10.6819
34.500000 98.344 -11.6293
35.500000 98.260 -12.5577
36.500000 98.173 -13.4805
37.500000 98.086 -14.3862
38.700001 97.988 -15.4415
40.000000 97.884 -16.5203
41.200001 97.790 -17.4275
42.500000 97.687 -18.3407
43.700001 97.592 -19.1391
45.000000 97.486 -20.0037
46.200001 97.384 -20.7596
47.500000 97.278 -21.5261
48.700001 97.184 -22.2264
50.000000 97.080 -22.9677
51.500000 96.957 -23.7900
53.000000 96.832 -24.5456
54.500000 96.716 -25.2154
56.000000 96.608 -25.8580
58.000000 96.462 -26.7208
60.000000 96.303 -27.5721
61.500000 96.182 -28.1370
63.000000 96.063 -28.6602
65.000000 95.906 -29.2823
67.000000 95.749 -29.8536
69.000000 95.591 -30.4039
71.000000 95.428 -30.8973
73.000000 95.267 -31.3235
75.000000 95.104 -31.6833
77.500000 94.906 -32.0219
80.000000 94.718 -32.2592
82.500000 94.552 -32.4570
85.000000 94.390 -32.7266
87.500000 94.224 -32.9399
90.000000 94.056 -33.0214
92.500000 93.901 -33.0597
95.000000 93.751 -33.1302
97.500000 93.599 -33.1769
100.000000 93.444 -33.1615
103.000000 93.263 -33.0251
106.000000 93.096 -32.8108
109.000000 92.936 -32.6163
112.000000 92.776 -32.4490
115.000000 92.599 -32.2290
118.000000 92.397 -31.8034
122.000000 92.184 -30.9769
125.000000 92.065 -30.3763
128.000000 91.954 -29.6877
132.000000 91.828 -28.7734
136.000000 91.740 -27.8843
140.000000 91.671 -27.1091
145.000000 91.586 -26.4160
150.000000 91.481 -25.8457
155.000000 91.356 -25.1284
160.000000 91.254 -24.3180
165.000000 91.165 -23.6287
170.000000 91.067 -22.9086
175.000000 90.980 -22.0588
180.000000 90.910 -21.2234
185.000000 90.845 -20.3854
190.000000 90.792 -19.5298
195.000000 90.778 -18.7146
200.000000 90.779 -17.9328
206.000000 90.800 -17.0961
212.000000 90.823 -16.5339
218.000000 90.817 -16.0403
224.000000 90.806 -15.4203
230.000000 90.798 -14.8746
236.000000 90.788 -14.3723
243.000000 90.778 -13.8293
250.000000 90.759 -13.2419
258.000000 90.755 -12.4187
265.000000 90.777 -11.8616
272.000000 90.785 -11.3745
280.000000 90.803 -10.7286
290.000000 90.861 -10.0519
300.000000 90.893 -9.7186
307.000000 90.895 -9.4081
315.000000 90.896 -9.0264
325.000000 90.890 -8.5030
335.000000 90.897 -7.9167
345.000000 90.907 -7.4091
355.000000 90.910 -6.9030
365.000000 90.914 -6.3849
375.000000 90.918 -5.8687
387.000000 90.927 -5.2477
400.000000 90.943 -4.5730
412.000000 90.961 -3.9844
425.000000 90.976 -3.3328
437.000000 91.006 -2.6888
450.000000 91.056 -2.1053
462.000000 91.096 -1.8017
475.000000 91.102 -1.4642
487.000000 91.101 -1.0688
500.000000 91.092 -0.5707
515.000000 91.093 0.0566
530.000000 91.088 0.6611
545.000000 91.088 1.3436
560.000000 91.096 2.0236
580.000000 91.103 2.8738
600.000000 91.100 3.8130
615.000000 91.103 4.5569
630.000000 91.102 5.3481
650.000000 91.122 6.5552
670.000000 91.178 7.6972
690.000000 91.221 8.5986
710.000000 91.242 9.6259
730.000000 91.271 10.7615
750.000000 91.307 11.9587
775.000000 91.370 13.5502
800.000000 91.458 15.2061
825.000000 91.596 16.8754
850.000000 91.758 18.1793
875.000000 91.898 19.4006
900.000000 92.046 20.6523
925.000000 92.213 21.8671
950.000000 92.400 22.9528
975.000000 92.593 23.8809
1000.000000 92.789 24.7319
1030.000000 93.045 25.7292
1060.000000 93.338 26.3724
1090.000000 93.605 26.5958
1120.000000 93.842 26.6855
1150.000000 94.056 26.7085
1180.000000 94.261 26.7150
1220.000000 94.550 26.5312
1250.000000 94.739 26.0875
1280.000000 94.888 25.6351
1320.000000 95.055 25.1262
1360.000000 95.205 24.6533
1400.000000 95.353 24.3922
1450.000000 95.579 24.1782
1500.000000 95.764 23.7696
1550.000000 95.858 23.5793
1600.000000 95.928 23.6099
1650.000000 96.000 23.3488
1700.000000 96.042 22.9828
1750.000000 96.045 22.6808
1800.000000 96.025 22.7034
1850.000000 96.036 22.7972
1900.000000 96.057 22.8320
1950.000000 96.123 23.0260
2000.000000 96.269 23.1959
2060.000000 96.462 22.9938
2120.000000 96.623 22.5680
2180.000000 96.744 22.2208
2240.000000 96.872 21.8779
2300.000000 96.986 21.3324
2360.000000 97.096 20.7648
2430.000000 97.228 19.7784
2500.000000 97.309 18.4219
2580.000000 97.322 16.8610
2650.000000 97.297 15.5663
2720.000000 97.223 14.3773
2800.000000 97.118 13.3258
2900.000000 96.960 12.2669
3000.000000 96.812 11.7155
3070.000000 96.742 11.2588
3150.000000 96.646 10.6052
3250.000000 96.491 9.7611
3350.000000 96.276 9.0941
3450.000000 96.046 8.9109
3550.000000 95.841 9.1937
3650.000000 95.692 9.6686
3750.000000 95.560 10.0773
3870.000000 95.410 10.6245
4000.000000 95.270 11.2197
4120.000000 95.160 11.3042
4250.000000 94.985 10.9733
4370.000000 94.744 10.6703
4500.000000 94.426 10.4314
4620.000000 94.065 10.3367
4750.000000 93.598 10.7642
4870.000000 93.154 11.8705
5000.000000 92.689 13.7797
5150.000000 92.217 17.0887
5300.000000 91.948 21.3117
5450.000000 91.912 25.1523
5600.000000 91.989 27.8282
5800.000000 92.065 29.3164
6000.000000 91.863 29.7193
6150.000000 91.561 30.6772
6300.000000 91.227 32.5012
6500.000000 90.846 36.3605
6700.000000 90.670 41.3367
6900.000000 90.755 46.7943
7100.000000 91.133 51.9590
7300.000000 91.838 56.0913
7500.000000 92.848 57.4577
7750.000000 94.151 54.0606
8000.000000 95.032 45.0356
8250.000000 94.969 33.4160
8500.000000 93.991 24.4424
8750.000000 92.793 20.7131
9000.000000 91.923 19.0148
9250.000000 91.052 16.7689
9500.000000 89.922 16.7733
9750.000000 88.948 20.4512
10000.000000 88.467 26.1172
10300.000000 88.566 32.7844
10600.000000 89.261 37.2874
10900.000000 90.322 37.8698
11200.000000 91.325 33.4126
11500.000000 91.740 25.1349
11800.000000 91.363 17.0055
12200.000000 90.275 10.7893
12500.000000 89.392 9.3778
12800.000000 88.675 10.5100
13200.000000 88.295 13.7068
13600.000000 88.547 15.2384
14000.000000 89.024 12.6863
14500.000000 89.150 4.3853
15000.000000 88.356 -4.0068
15500.000000 87.197 -7.0852
16000.000000 86.715 -3.8536
16500.000000 87.798 0.6322
17000.000000 90.171 -2.6931
17500.000000 92.406 -18.1930
18000.000000 93.201 -41.1022
18500.000000 92.807 -63.9757
19000.000000 91.937 -86.5585
19500.000000 90.201 -111.2833
20000.000000 87.988 -128.6211
