* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2025 6:30:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Ziigaat Luna R
* Measurement: R Ziigaat Luna
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 85.780 -162.0811
0.368865 85.791 -162.0977
0.371538 85.806 -162.1222
0.374230 85.825 -162.1525
0.376942 85.847 -162.1866
0.379673 85.870 -162.2232
0.382424 85.894 -162.2614
0.385196 85.919 -162.3004
0.387987 85.944 -162.3402
0.390798 85.969 -162.3804
0.393630 85.995 -162.4211
0.396483 86.021 -162.4621
0.399356 86.047 -162.5034
0.402250 86.073 -162.5450
0.405165 86.100 -162.5870
0.408101 86.126 -162.6294
0.411058 86.153 -162.6721
0.414037 86.180 -162.7152
0.417037 86.208 -162.7586
0.420059 86.235 -162.8025
0.423103 86.263 -162.8468
0.426169 86.291 -162.8914
0.429257 86.319 -162.9366
0.432368 86.347 -162.9822
0.435501 86.375 -163.0283
0.438656 86.404 -163.0749
0.441835 86.433 -163.1220
0.445037 86.462 -163.1696
0.448262 86.492 -163.2178
0.451510 86.521 -163.2666
0.454782 86.551 -163.3159
0.458077 86.581 -163.3659
0.461397 86.611 -163.4165
0.464740 86.641 -163.4677
0.468108 86.672 -163.5197
0.471500 86.703 -163.5723
0.474917 86.734 -163.6257
0.478358 86.765 -163.6799
0.481825 86.797 -163.7348
0.485316 86.828 -163.7905
0.488833 86.860 -163.8471
0.492375 86.893 -163.9045
0.495943 86.925 -163.9629
0.499537 86.958 -164.0221
0.503157 86.991 -164.0824
0.506803 87.024 -164.1436
0.510475 87.057 -164.2058
0.514175 87.091 -164.2691
0.517900 87.125 -164.3335
0.521653 87.159 -164.3990
0.525434 87.193 -164.4657
0.529241 87.228 -164.5336
0.533076 87.263 -164.6027
0.536939 87.298 -164.6731
0.540830 87.333 -164.7449
0.544749 87.369 -164.8180
0.548696 87.405 -164.8925
0.552673 87.441 -164.9685
0.556677 87.477 -165.0460
0.560711 87.514 -165.1250
0.564774 87.551 -165.2057
0.568867 87.588 -165.2880
0.572989 87.626 -165.3720
0.577141 87.664 -165.4578
0.581324 87.702 -165.5453
0.585536 87.740 -165.6348
0.589779 87.778 -165.7262
0.594053 87.817 -165.8196
0.598358 87.856 -165.9150
0.602694 87.896 -166.0126
0.607061 87.936 -166.1123
0.611460 87.976 -166.2143
0.615891 88.016 -166.3186
0.620354 88.057 -166.4253
0.624849 88.097 -166.5345
0.629377 88.139 -166.6463
0.633938 88.180 -166.7607
0.638532 88.222 -166.8778
0.643159 88.264 -166.9977
0.647819 88.306 -167.1205
0.652514 88.349 -167.2463
0.657242 88.392 -167.3752
0.662005 88.435 -167.5073
0.666802 88.479 -167.6426
0.671634 88.523 -167.7814
0.676501 88.567 -167.9236
0.681403 88.612 -168.0695
0.686341 88.657 -168.2191
0.691314 88.702 -168.3725
0.696324 88.747 -168.5300
0.701370 88.793 -168.6915
0.706452 88.839 -168.8573
0.711571 88.885 -169.0274
0.716728 88.931 -169.2020
0.721921 88.976 -169.3812
0.727153 89.021 -169.5649
0.732422 89.064 -169.7533
0.737729 89.107 -169.9463
0.743075 89.148 -170.1438
0.748460 89.189 -170.3457
0.753883 89.229 -170.5521
0.759346 89.269 -170.7627
0.764849 89.308 -170.9775
0.770391 89.347 -171.1965
0.775974 89.386 -171.4196
0.781597 89.425 -171.6468
0.787261 89.464 -171.8779
0.792966 89.503 -172.1129
0.798712 89.541 -172.3518
0.804500 89.580 -172.5945
0.810329 89.619 -172.8410
0.816201 89.658 -173.0911
0.822116 89.696 -173.3448
0.828073 89.735 -173.6022
0.834074 89.773 -173.8630
0.840118 89.811 -174.1273
0.846206 89.850 -174.3950
0.852338 89.888 -174.6661
0.858514 89.926 -174.9405
0.864735 89.964 -175.2181
0.871001 90.002 -175.4989
0.877313 90.040 -175.7829
0.883670 90.078 -176.0701
0.890074 90.116 -176.3603
0.896524 90.153 -176.6535
0.903020 90.191 -176.9498
0.909564 90.229 -177.2490
0.916155 90.266 -177.5512
0.922794 90.303 -177.8564
0.929481 90.341 -178.1644
0.936216 90.378 -178.4753
0.943000 90.415 -178.7892
0.949834 90.452 -179.1059
0.956717 90.489 -179.4255
0.963649 90.526 -179.7480
0.970632 90.562 179.9266
0.977666 90.599 179.5983
0.984750 90.636 179.2671
0.991886 90.672 178.9328
0.999074 90.708 178.5956
1.006314 90.745 178.2553
1.013606 90.781 177.9119
1.020951 90.817 177.5653
1.028349 90.853 177.2155
1.035801 90.889 176.8623
1.043307 90.924 176.5057
1.050867 90.960 176.1455
1.058482 90.996 175.7816
1.066152 91.031 175.4136
1.073878 91.067 175.0414
1.081660 91.102 174.6643
1.089498 91.137 174.2819
1.097393 91.172 173.8933
1.105345 91.206 173.4977
1.113355 91.241 173.0942
1.121423 91.275 172.6821
1.129549 91.309 172.2611
1.137734 91.343 171.8309
1.145979 91.376 171.3915
1.154283 91.409 170.9429
1.162647 91.441 170.4854
1.171072 91.473 170.0191
1.179558 91.505 169.5443
1.188106 91.537 169.0612
1.196715 91.568 168.5700
1.205387 91.599 168.0712
1.214122 91.629 167.5649
1.222920 91.659 167.0515
1.231782 91.689 166.5312
1.240708 91.719 166.0046
1.249699 91.748 165.4718
1.258754 91.777 164.9332
1.267876 91.805 164.3892
1.277063 91.833 163.8401
1.286318 91.861 163.2863
1.295639 91.888 162.7283
1.305027 91.916 162.1664
1.314484 91.942 161.6009
1.324009 91.969 161.0323
1.333604 91.995 160.4612
1.343268 92.021 159.8877
1.353002 92.047 159.3124
1.362806 92.072 158.7357
1.372681 92.097 158.1581
1.382628 92.122 157.5798
1.392647 92.147 157.0015
1.402739 92.171 156.4233
1.412904 92.195 155.8456
1.423142 92.219 155.2686
1.433455 92.242 154.6921
1.443843 92.266 154.1159
1.454305 92.289 153.5392
1.464844 92.311 152.9608
1.475459 92.334 152.3791
1.486150 92.355 151.7926
1.496920 92.377 151.2001
1.507767 92.398 150.6006
1.518693 92.418 149.9937
1.529698 92.438 149.3792
1.540783 92.457 148.7571
1.551948 92.475 148.1275
1.563194 92.494 147.4905
1.574521 92.511 146.8466
1.585931 92.528 146.1959
1.597423 92.545 145.5389
1.608999 92.560 144.8758
1.620658 92.576 144.2070
1.632402 92.591 143.5330
1.644232 92.605 142.8541
1.656146 92.619 142.1708
1.668147 92.632 141.4835
1.680235 92.645 140.7926
1.692411 92.657 140.0986
1.704675 92.669 139.4020
1.717028 92.680 138.7033
1.729470 92.691 138.0029
1.742003 92.702 137.3013
1.754626 92.712 136.5989
1.767341 92.722 135.8960
1.780147 92.731 135.1929
1.793047 92.740 134.4893
1.806040 92.748 133.7850
1.819128 92.756 133.0790
1.832310 92.763 132.3698
1.845587 92.770 131.6555
1.858961 92.776 130.9344
1.872432 92.782 130.2051
1.886001 92.787 129.4667
1.899667 92.791 128.7186
1.913433 92.794 127.9608
1.927299 92.797 127.1936
1.941265 92.799 126.4173
1.955332 92.800 125.6326
1.969501 92.801 124.8400
1.983773 92.801 124.0403
1.998148 92.800 123.2345
2.012627 92.799 122.4234
2.027212 92.797 121.6080
2.041902 92.794 120.7893
2.056698 92.791 119.9686
2.071602 92.787 119.1469
2.086614 92.783 118.3256
2.101734 92.778 117.5058
2.116964 92.773 116.6888
2.132304 92.767 115.8756
2.147756 92.761 115.0672
2.163320 92.754 114.2640
2.178996 92.747 113.4658
2.194786 92.739 112.6716
2.210690 92.730 111.8799
2.226710 92.721 111.0889
2.242845 92.711 110.2968
2.259098 92.700 109.5021
2.275468 92.689 108.7044
2.291957 92.676 107.9031
2.308566 92.663 107.0984
2.325295 92.649 106.2905
2.342145 92.634 105.4800
2.359117 92.619 104.6675
2.376212 92.603 103.8539
2.393431 92.587 103.0402
2.410775 92.570 102.2274
2.428244 92.552 101.4169
2.445840 92.535 100.6098
2.463564 92.517 99.8077
2.481416 92.499 99.0121
2.499397 92.480 98.2242
2.517509 92.462 97.4455
2.535752 92.443 96.6768
2.554127 92.424 95.9187
2.572635 92.404 95.1711
2.591277 92.385 94.4332
2.610055 92.364 93.7044
2.628968 92.343 92.9836
2.648019 92.322 92.2702
2.667208 92.300 91.5637
2.686535 92.277 90.8635
2.706003 92.255 90.1696
2.725612 92.232 89.4820
2.745363 92.209 88.8006
2.765257 92.186 88.1257
2.785295 92.164 87.4577
2.805478 92.141 86.7971
2.825808 92.120 86.1445
2.846285 92.099 85.5008
2.866910 92.079 84.8670
2.887685 92.060 84.2442
2.908611 92.042 83.6338
2.929688 92.025 83.0370
2.950917 92.009 82.4551
2.972301 91.993 81.8890
2.993839 91.978 81.3389
3.015534 91.964 80.8047
3.037386 91.950 80.2857
3.059396 91.937 79.7811
3.081565 91.926 79.2898
3.103896 91.915 78.8108
3.126388 91.906 78.3428
3.149043 91.898 77.8847
3.171862 91.892 77.4354
3.194847 91.888 76.9940
3.217998 91.886 76.5598
3.241317 91.887 76.1329
3.264805 91.890 75.7137
3.288463 91.895 75.3033
3.312293 91.903 74.9036
3.336295 91.914 74.5162
3.360471 91.927 74.1422
3.384822 91.943 73.7820
3.409350 91.961 73.4345
3.434056 91.982 73.0984
3.458940 92.005 72.7716
3.484005 92.031 72.4517
3.509252 92.059 72.1359
3.534681 92.089 71.8217
3.560295 92.121 71.5067
3.586094 92.156 71.1885
3.612081 92.193 70.8659
3.638255 92.232 70.5381
3.664620 92.274 70.2054
3.691175 92.318 69.8690
3.717923 92.365 69.5301
3.744864 92.415 69.1898
3.772001 92.467 68.8484
3.799335 92.522 68.5056
3.826866 92.579 68.1605
3.854597 92.638 67.8119
3.882529 92.698 67.4584
3.910664 92.760 67.0986
3.939002 92.822 66.7308
3.967546 92.884 66.3537
3.996296 92.947 65.9663
4.025255 93.011 65.5679
4.054423 93.075 65.1584
4.083804 93.139 64.7384
4.113396 93.204 64.3086
4.143204 93.270 63.8700
4.173227 93.336 63.4236
4.203468 93.402 62.9706
4.233928 93.468 62.5117
4.264609 93.534 62.0476
4.295512 93.598 61.5789
4.326639 93.662 61.1056
4.357992 93.724 60.6275
4.389572 93.785 60.1440
4.421380 93.844 59.6545
4.453419 93.901 59.1584
4.485691 93.958 58.6562
4.518196 94.012 58.1490
4.550936 94.066 57.6382
4.583914 94.118 57.1263
4.617131 94.168 56.6153
4.650589 94.216 56.1073
4.684289 94.263 55.6042
4.718233 94.307 55.1070
4.752424 94.350 54.6161
4.786862 94.390 54.1310
4.821549 94.428 53.6513
4.856488 94.464 53.1768
4.891680 94.498 52.7078
4.927127 94.530 52.2457
4.962831 94.560 51.7922
4.998794 94.589 51.3492
5.035017 94.616 50.9188
5.071503 94.642 50.5027
5.108253 94.666 50.1021
5.145270 94.689 49.7177
5.182555 94.711 49.3493
5.220110 94.732 48.9967
5.257937 94.751 48.6594
5.296038 94.770 48.3374
5.334415 94.788 48.0306
5.373071 94.805 47.7392
5.412006 94.823 47.4637
5.451224 94.841 47.2047
5.490725 94.859 46.9627
5.530514 94.878 46.7380
5.570590 94.897 46.5305
5.610957 94.918 46.3394
5.651616 94.938 46.1633
5.692570 94.960 46.0004
5.733821 94.983 45.8487
5.775370 95.007 45.7064
5.817221 95.032 45.5723
5.859375 95.060 45.4456
5.901834 95.089 45.3259
5.944602 95.120 45.2128
5.987679 95.152 45.1053
6.031068 95.186 45.0016
6.074771 95.222 44.8994
6.118792 95.258 44.7964
6.163131 95.296 44.6905
6.207792 95.335 44.5799
6.252776 95.375 44.4637
6.298086 95.416 44.3415
6.343725 95.457 44.2131
6.389694 95.500 44.0783
6.435996 95.542 43.9364
6.482634 95.585 43.7867
6.529610 95.627 43.6285
6.576926 95.668 43.4611
6.624585 95.709 43.2843
6.672590 95.748 43.0982
6.720942 95.787 42.9034
6.769645 95.824 42.7009
6.818700 95.860 42.4920
6.868111 95.895 42.2779
6.917881 95.927 42.0594
