* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 21, 2025 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Ziigaat Odyssey
* Measurement: L Feb 21
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 93.592 140.2799
1.030000 93.437 139.2602
1.060000 93.282 138.3133
1.090000 93.127 137.4584
1.120000 92.969 136.7070
1.150000 92.805 136.0560
1.180000 92.637 135.4967
1.220000 92.406 134.8778
1.250000 92.231 134.4973
1.280000 92.056 134.1782
1.320000 91.825 133.8316
1.360000 91.602 133.5523
1.400000 91.391 133.3138
1.450000 91.147 133.0391
1.500000 90.923 132.8231
1.550000 90.710 132.7582
1.600000 90.508 132.8482
1.650000 90.323 133.0535
1.700000 90.160 133.3257
1.750000 90.026 133.6115
1.800000 89.925 133.8622
1.850000 89.863 134.0751
1.900000 89.840 134.3131
1.950000 89.852 134.5879
2.000000 89.893 134.8528
2.060000 89.973 135.0762
2.120000 90.076 135.1070
2.180000 90.195 134.8717
2.240000 90.333 134.3682
2.300000 90.497 133.6600
2.360000 90.684 132.7830
2.430000 90.917 131.5611
2.500000 91.150 130.1271
2.580000 91.403 128.2090
2.650000 91.616 126.2704
2.720000 91.826 124.1386
2.800000 92.060 121.5705
2.900000 92.331 118.2949
3.000000 92.575 114.9430
3.070000 92.731 112.5108
3.150000 92.895 109.7008
3.250000 93.082 106.2661
3.350000 93.248 102.9615
3.450000 93.392 99.7168
3.550000 93.519 96.5845
3.650000 93.637 93.6790
3.750000 93.745 91.0253
3.870000 93.864 88.1080
4.000000 93.995 85.2861
4.120000 94.126 83.0362
4.250000 94.280 80.9400
4.370000 94.441 79.2393
4.500000 94.642 77.6227
4.620000 94.850 76.3060
4.750000 95.094 74.9604
4.870000 95.336 73.7464
5.000000 95.609 72.4542
5.150000 95.924 70.9357
5.300000 96.229 69.3627
5.450000 96.518 67.7722
5.600000 96.778 66.1817
5.800000 97.081 64.1119
6.000000 97.330 62.2071
6.150000 97.487 60.9139
6.300000 97.624 59.7714
6.500000 97.785 58.4789
6.700000 97.934 57.4236
6.900000 98.080 56.5536
7.100000 98.230 55.7837
7.300000 98.383 55.0470
7.500000 98.533 54.2795
7.750000 98.705 53.2437
8.000000 98.851 52.1231
8.250000 98.964 50.9672
8.500000 99.045 49.8313
8.750000 99.102 48.7566
9.000000 99.146 47.7542
9.250000 99.185 46.8036
9.500000 99.224 45.8697
9.750000 99.261 44.9155
10.000000 99.280 43.9188
10.300000 99.270 42.6608
10.600000 99.240 41.3527
10.900000 99.207 40.0219
11.200000 99.176 38.6908
11.500000 99.149 37.3721
11.800000 99.132 36.0746
12.200000 99.124 34.3956
12.500000 99.128 33.1915
12.800000 99.138 32.0465
13.200000 99.159 30.6173
13.600000 99.192 29.2934
14.000000 99.228 28.0699
14.500000 99.267 26.6917
15.000000 99.296 25.4881
15.500000 99.320 24.4222
16.000000 99.333 23.4305
16.500000 99.330 22.4750
17.000000 99.313 21.5490
17.500000 99.290 20.6404
18.000000 99.262 19.7185
18.500000 99.231 18.7593
19.000000 99.200 17.7633
19.500000 99.173 16.7458
20.000000 99.153 15.7228
20.600000 99.137 14.5084
21.200001 99.134 13.3315
21.799999 99.142 12.2121
22.400000 99.155 11.1721
23.000000 99.168 10.2298
23.600000 99.178 9.3798
24.299999 99.181 8.4716
25.000000 99.170 7.6280
25.799999 99.144 6.7140
26.500000 99.115 5.9097
27.200001 99.082 5.0688
28.000000 99.041 4.0720
29.000000 98.993 2.8167
30.000000 98.958 1.5931
30.700001 98.941 0.7799
31.500000 98.925 -0.0867
32.500000 98.905 -1.0747
33.500000 98.881 -1.9758
34.500000 98.853 -2.8454
35.500000 98.819 -3.7370
36.500000 98.779 -4.6466
37.500000 98.737 -5.5563
38.700001 98.691 -6.6240
40.000000 98.644 -7.7125
41.200001 98.601 -8.6498
42.500000 98.550 -9.6024
43.700001 98.501 -10.4444
45.000000 98.445 -11.3468
46.200001 98.392 -12.1609
47.500000 98.337 -13.0152
48.700001 98.287 -13.7779
50.000000 98.233 -14.5749
51.500000 98.169 -15.4575
53.000000 98.107 -16.3057
54.500000 98.048 -17.0973
56.000000 97.997 -17.8584
58.000000 97.927 -18.8890
60.000000 97.849 -19.9256
61.500000 97.783 -20.6954
63.000000 97.715 -21.4182
65.000000 97.625 -22.3257
67.000000 97.534 -23.1807
69.000000 97.443 -24.0065
71.000000 97.351 -24.8052
73.000000 97.259 -25.5632
75.000000 97.166 -26.2798
77.500000 97.048 -27.1081
80.000000 96.933 -27.8540
82.500000 96.826 -28.5468
85.000000 96.722 -29.2723
87.500000 96.613 -29.8769
90.000000 96.530 -30.3971
92.500000 96.455 -31.0319
95.000000 96.367 -31.7244
97.500000 96.265 -32.3757
100.000000 96.157 -32.9552
103.000000 96.032 -33.5689
106.000000 95.916 -34.1409
109.000000 95.803 -34.7090
112.000000 95.685 -35.3061
115.000000 95.551 -35.8629
118.000000 95.405 -36.2028
122.000000 95.228 -36.4419
125.000000 95.108 -36.5906
128.000000 94.998 -36.6846
132.000000 94.865 -36.6846
136.000000 94.765 -36.6279
140.000000 94.704 -36.6917
145.000000 94.638 -37.0610
150.000000 94.529 -37.5806
155.000000 94.387 -37.9764
160.000000 94.264 -38.2050
165.000000 94.145 -38.5178
170.000000 94.010 -38.7341
175.000000 93.884 -38.7768
180.000000 93.772 -38.7850
185.000000 93.667 -38.7621
190.000000 93.571 -38.6271
195.000000 93.501 -38.3373
200.000000 93.465 -38.0556
206.000000 93.460 -37.9821
212.000000 93.453 -38.1910
218.000000 93.409 -38.4364
224.000000 93.361 -38.5714
230.000000 93.321 -38.7741
236.000000 93.278 -39.0178
243.000000 93.221 -39.3141
250.000000 93.152 -39.5137
258.000000 93.091 -39.5284
265.000000 93.067 -39.6603
272.000000 93.033 -39.8423
280.000000 93.006 -39.9467
290.000000 93.013 -40.1691
300.000000 93.001 -40.7262
307.000000 92.975 -41.0461
315.000000 92.944 -41.3825
325.000000 92.898 -41.7515
335.000000 92.868 -42.0547
345.000000 92.842 -42.4312
355.000000 92.809 -42.8138
365.000000 92.778 -43.1849
375.000000 92.748 -43.5502
387.000000 92.717 -43.9739
400.000000 92.688 -44.4333
412.000000 92.666 -44.8838
425.000000 92.634 -45.3434
437.000000 92.621 -45.7020
450.000000 92.626 -46.1806
462.000000 92.627 -46.8295
475.000000 92.593 -47.5073
487.000000 92.559 -48.0336
500.000000 92.517 -48.5336
515.000000 92.483 -49.0581
530.000000 92.447 -49.5978
545.000000 92.418 -50.0646
560.000000 92.398 -50.5374
580.000000 92.370 -51.2359
600.000000 92.336 -51.8589
615.000000 92.317 -52.2885
630.000000 92.295 -52.6887
650.000000 92.287 -53.1104
670.000000 92.314 -53.6343
690.000000 92.324 -54.4354
710.000000 92.305 -55.1630
730.000000 92.284 -55.8071
750.000000 92.258 -56.3999
775.000000 92.226 -57.0340
800.000000 92.198 -57.5516
825.000000 92.200 -57.9504
850.000000 92.216 -58.5807
875.000000 92.202 -59.1793
900.000000 92.191 -59.6198
925.000000 92.195 -59.9695
950.000000 92.223 -60.3259
975.000000 92.260 -60.7274
1000.000000 92.306 -61.1102
1030.000000 92.388 -61.4849
1060.000000 92.517 -62.0977
1090.000000 92.630 -63.0358
1120.000000 92.723 -64.0267
1150.000000 92.803 -65.0152
1180.000000 92.880 -65.9526
1220.000000 93.015 -67.2889
1250.000000 93.100 -68.5266
1280.000000 93.154 -69.7212
1320.000000 93.208 -71.1523
1360.000000 93.260 -72.4716
1400.000000 93.329 -73.5193
1450.000000 93.482 -74.6422
1500.000000 93.626 -75.9216
1550.000000 93.704 -77.0246
1600.000000 93.771 -77.9723
1650.000000 93.844 -79.1821
1700.000000 93.901 -80.3780
1750.000000 93.949 -81.4880
1800.000000 93.998 -82.3536
1850.000000 94.095 -83.2426
1900.000000 94.212 -84.2888
1950.000000 94.375 -85.2683
2000.000000 94.613 -86.3138
2060.000000 94.916 -87.9249
2120.000000 95.195 -89.7154
2180.000000 95.447 -91.4593
2240.000000 95.713 -93.2494
2300.000000 95.970 -95.2708
2360.000000 96.226 -97.3372
2430.000000 96.532 -100.0897
2500.000000 96.791 -103.2175
2580.000000 97.016 -106.7948
2650.000000 97.201 -109.8578
2720.000000 97.372 -112.9695
2800.000000 97.571 -116.7084
2900.000000 97.747 -122.0243
3000.000000 97.766 -127.4443
3070.000000 97.697 -130.9960
3150.000000 97.563 -134.5121
3250.000000 97.387 -138.2802
3350.000000 97.178 -141.5723
3450.000000 96.958 -144.2076
3550.000000 96.749 -146.1201
3650.000000 96.594 -147.3851
3750.000000 96.490 -148.2053
3870.000000 96.451 -148.7547
4000.000000 96.519 -149.0870
4120.000000 96.704 -149.6841
4250.000000 96.980 -150.9242
4370.000000 97.266 -152.6990
4500.000000 97.563 -155.5934
4620.000000 97.738 -158.9983
4750.000000 97.799 -162.7911
4870.000000 97.795 -166.1440
5000.000000 97.725 -169.7715
5150.000000 97.514 -173.6638
5300.000000 97.195 -176.7597
5450.000000 96.794 -178.9750
5600.000000 96.328 -179.9639
5800.000000 95.783 -179.3555
6000.000000 95.419 -177.1623
6150.000000 95.342 -174.7048
6300.000000 95.474 -172.2245
6500.000000 95.953 -169.8135
6700.000000 96.662 -169.8864
6900.000000 97.286 -173.0532
7100.000000 97.533 -178.2461
7300.000000 97.316 176.8292
7500.000000 96.841 174.0871
7750.000000 96.306 174.0314
8000.000000 96.169 175.5630
8250.000000 96.399 176.0173
8500.000000 96.713 173.7632
8750.000000 96.780 169.4590
9000.000000 96.500 165.2245
9250.000000 96.093 161.9650
9500.000000 95.546 158.4516
9750.000000 94.572 156.5175
10000.000000 93.563 159.4337
10300.000000 93.074 165.8421
10600.000000 93.224 169.9744
10900.000000 93.419 170.3769
11200.000000 93.219 169.4369
11500.000000 92.803 170.4825
11800.000000 92.636 172.5519
12200.000000 92.547 172.0381
12500.000000 92.094 170.3221
12800.000000 91.319 170.1533
13200.000000 90.283 173.5165
13600.000000 89.730 178.3783
14000.000000 89.661 -179.8772
14500.000000 89.319 173.9849
15000.000000 87.355 164.7764
15500.000000 84.038 164.8096
16000.000000 81.137 177.1968
16500.000000 80.065 -167.0975
17000.000000 80.421 -162.1666
17500.000000 80.082 -170.9948
18000.000000 77.409 178.1293
18500.000000 72.751 -170.9779
19000.000000 70.127 -141.0315
19500.000000 69.309 -133.2315
20000.000000 68.339 -132.2211
