* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 2, 2024 5:45:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Dec 2
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 93.734 166.6813
0.368865 93.732 166.6665
0.371538 93.729 166.6443
0.374230 93.726 166.6166
0.376942 93.722 166.5847
0.379673 93.718 166.5498
0.382424 93.714 166.5126
0.385196 93.709 166.4736
0.387987 93.705 166.4330
0.390798 93.700 166.3909
0.393630 93.696 166.3474
0.396483 93.691 166.3025
0.399356 93.686 166.2562
0.402250 93.682 166.2086
0.405165 93.677 166.1596
0.408101 93.672 166.1093
0.411058 93.667 166.0575
0.414037 93.663 166.0043
0.417037 93.658 165.9498
0.420059 93.653 165.8938
0.423103 93.648 165.8364
0.426169 93.643 165.7775
0.429257 93.638 165.7172
0.432368 93.633 165.6554
0.435501 93.628 165.5921
0.438656 93.623 165.5274
0.441835 93.618 165.4612
0.445037 93.612 165.3934
0.448262 93.607 165.3242
0.451510 93.602 165.2534
0.454782 93.597 165.1811
0.458077 93.591 165.1073
0.461397 93.586 165.0319
0.464740 93.580 164.9550
0.468108 93.575 164.8765
0.471500 93.569 164.7964
0.474917 93.564 164.7149
0.478358 93.558 164.6317
0.481825 93.553 164.5470
0.485316 93.547 164.4606
0.488833 93.541 164.3727
0.492375 93.536 164.2833
0.495943 93.530 164.1922
0.499537 93.524 164.0996
0.503157 93.518 164.0054
0.506803 93.512 163.9096
0.510475 93.506 163.8122
0.514175 93.500 163.7133
0.517900 93.494 163.6127
0.521653 93.488 163.5107
0.525434 93.482 163.4070
0.529241 93.476 163.3018
0.533076 93.470 163.1951
0.536939 93.463 163.0868
0.540830 93.457 162.9770
0.544749 93.451 162.8656
0.548696 93.444 162.7528
0.552673 93.438 162.6385
0.556677 93.431 162.5227
0.560711 93.425 162.4055
0.564774 93.418 162.2868
0.568867 93.412 162.1667
0.572989 93.405 162.0452
0.577141 93.398 161.9223
0.581324 93.391 161.7981
0.585536 93.385 161.6725
0.589779 93.378 161.5457
0.594053 93.371 161.4176
0.598358 93.364 161.2883
0.602694 93.357 161.1577
0.607061 93.350 161.0260
0.611460 93.343 160.8932
0.615891 93.335 160.7593
0.620354 93.328 160.6243
0.624849 93.321 160.4884
0.629377 93.313 160.3515
0.633938 93.306 160.2137
0.638532 93.299 160.0751
0.643159 93.291 159.9357
0.647819 93.284 159.7956
0.652514 93.276 159.6548
0.657242 93.268 159.5134
0.662005 93.261 159.3714
0.666802 93.253 159.2290
0.671634 93.245 159.0863
0.676501 93.237 158.9432
0.681403 93.229 158.7999
0.686341 93.221 158.6564
0.691314 93.213 158.5129
0.696324 93.205 158.3694
0.701370 93.197 158.2260
0.706452 93.188 158.0827
0.711571 93.180 157.9396
0.716728 93.171 157.7967
0.721921 93.163 157.6539
0.727153 93.154 157.5111
0.732422 93.144 157.3678
0.737729 93.134 157.2238
0.743075 93.124 157.0787
0.748460 93.114 156.9321
0.753883 93.103 156.7838
0.759346 93.092 156.6336
0.764849 93.081 156.4814
0.770391 93.070 156.3271
0.775974 93.058 156.1708
0.781597 93.046 156.0124
0.787261 93.034 155.8518
0.792966 93.022 155.6892
0.798712 93.010 155.5245
0.804500 92.997 155.3577
0.810329 92.985 155.1889
0.816201 92.972 155.0180
0.822116 92.959 154.8450
0.828073 92.946 154.6701
0.834074 92.932 154.4933
0.840118 92.919 154.3144
0.846206 92.905 154.1337
0.852338 92.891 153.9510
0.858514 92.877 153.7666
0.864735 92.863 153.5803
0.871001 92.849 153.3922
0.877313 92.834 153.2025
0.883670 92.819 153.0110
0.890074 92.805 152.8180
0.896524 92.790 152.6234
0.903020 92.774 152.4273
0.909564 92.759 152.2297
0.916155 92.744 152.0308
0.922794 92.728 151.8307
0.929481 92.712 151.6293
0.936216 92.696 151.4268
0.943000 92.680 151.2233
0.949834 92.664 151.0188
0.956717 92.648 150.8135
0.963649 92.632 150.6075
0.970632 92.615 150.4009
0.977666 92.599 150.1938
0.984750 92.582 149.9864
0.991886 92.565 149.7787
0.999074 92.548 149.5709
1.006314 92.531 149.3632
1.013606 92.514 149.1557
1.020951 92.497 148.9485
1.028349 92.480 148.7420
1.035801 92.463 148.5361
1.043307 92.446 148.3312
1.050867 92.428 148.1273
1.058482 92.411 147.9248
1.066152 92.394 147.7237
1.073878 92.376 147.5243
1.081660 92.359 147.3268
1.089498 92.341 147.1312
1.097393 92.323 146.9377
1.105345 92.306 146.7463
1.113355 92.288 146.5569
1.121423 92.270 146.3696
1.129549 92.251 146.1843
1.137734 92.233 146.0009
1.145979 92.214 145.8193
1.154283 92.195 145.6395
1.162647 92.176 145.4614
1.171072 92.157 145.2850
1.179558 92.138 145.1101
1.188106 92.118 144.9366
1.196715 92.098 144.7646
1.205387 92.078 144.5938
1.214122 92.058 144.4242
1.222920 92.038 144.2558
1.231782 92.018 144.0882
1.240708 91.997 143.9216
1.249699 91.977 143.7558
1.258754 91.956 143.5905
1.267876 91.935 143.4258
1.277063 91.915 143.2614
1.286318 91.894 143.0972
1.295639 91.873 142.9331
1.305027 91.852 142.7689
1.314484 91.832 142.6045
1.324009 91.811 142.4396
1.333604 91.791 142.2742
1.343268 91.770 142.1079
1.353002 91.750 141.9407
1.362806 91.729 141.7722
1.372681 91.709 141.6024
1.382628 91.690 141.4310
1.392647 91.670 141.2578
1.402739 91.650 141.0826
1.412904 91.631 140.9052
1.423142 91.612 140.7254
1.433455 91.594 140.5433
1.443843 91.575 140.3588
1.454305 91.557 140.1722
1.464844 91.540 139.9839
1.475459 91.522 139.7943
1.486150 91.505 139.6039
1.496920 91.488 139.4134
1.507767 91.471 139.2228
1.518693 91.454 139.0325
1.529698 91.437 138.8424
1.540783 91.421 138.6526
1.551948 91.404 138.4631
1.563194 91.388 138.2736
1.574521 91.372 138.0841
1.585931 91.357 137.8945
1.597423 91.341 137.7047
1.608999 91.326 137.5143
1.620658 91.311 137.3234
1.632402 91.296 137.1318
1.644232 91.282 136.9392
1.656146 91.268 136.7454
1.668147 91.255 136.5503
1.680235 91.242 136.3537
1.692411 91.229 136.1553
1.704675 91.217 135.9550
1.717028 91.206 135.7524
1.729470 91.194 135.5474
1.742003 91.184 135.3397
1.754626 91.174 135.1291
1.767341 91.165 134.9154
1.780147 91.156 134.6985
1.793047 91.148 134.4783
1.806040 91.141 134.2549
1.819128 91.135 134.0286
1.832310 91.129 133.7998
1.845587 91.124 133.5690
1.858961 91.120 133.3369
1.872432 91.117 133.1039
1.886001 91.114 132.8701
1.899667 91.112 132.6357
1.913433 91.111 132.4006
1.927299 91.111 132.1645
1.941265 91.112 131.9271
1.955332 91.114 131.6882
1.969501 91.116 131.4474
1.983773 91.119 131.2043
1.998148 91.123 130.9585
2.012627 91.127 130.7095
2.027212 91.133 130.4569
2.041902 91.139 130.2003
2.056698 91.146 129.9390
2.071602 91.154 129.6727
2.086614 91.162 129.4008
2.101734 91.171 129.1228
2.116964 91.181 128.8381
2.132304 91.192 128.5464
2.147756 91.203 128.2472
2.163320 91.215 127.9403
2.178996 91.228 127.6256
2.194786 91.242 127.3033
2.210690 91.256 126.9739
2.226710 91.272 126.6378
2.242845 91.289 126.2955
2.259098 91.306 125.9473
2.275468 91.325 125.5936
2.291957 91.345 125.2342
2.308566 91.366 124.8693
2.325295 91.388 124.4987
2.342145 91.411 124.1224
2.359117 91.435 123.7401
2.376212 91.460 123.3517
2.393431 91.485 122.9569
2.410775 91.512 122.5556
2.428244 91.539 122.1474
2.445840 91.567 121.7321
2.463564 91.595 121.3094
2.481416 91.624 120.8790
2.499397 91.653 120.4404
2.517509 91.683 119.9935
2.535752 91.713 119.5378
2.554127 91.744 119.0731
2.572635 91.776 118.5993
2.591277 91.808 118.1162
2.610055 91.841 117.6241
2.628968 91.874 117.1230
2.648019 91.909 116.6135
2.667208 91.944 116.0957
2.686535 91.980 115.5703
2.706003 92.017 115.0377
2.725612 92.054 114.4982
2.745363 92.092 113.9523
2.765257 92.130 113.4005
2.785295 92.169 112.8431
2.805478 92.209 112.2805
2.825808 92.248 111.7130
2.846285 92.288 111.1406
2.866910 92.328 110.5636
2.887685 92.369 109.9818
2.908611 92.409 109.3950
2.929688 92.450 108.8026
2.950917 92.491 108.2042
2.972301 92.532 107.5992
2.993839 92.574 106.9875
3.015534 92.615 106.3692
3.037386 92.658 105.7446
3.059396 92.700 105.1143
3.081565 92.743 104.4790
3.103896 92.786 103.8393
3.126388 92.829 103.1962
3.149043 92.873 102.5503
3.171862 92.916 101.9024
3.194847 92.960 101.2531
3.217998 93.004 100.6030
3.241317 93.047 99.9523
3.264805 93.091 99.3010
3.288463 93.135 98.6488
3.312293 93.178 97.9951
3.336295 93.222 97.3392
3.360471 93.265 96.6807
3.384822 93.309 96.0196
3.409350 93.353 95.3562
3.434056 93.396 94.6911
3.458940 93.440 94.0253
3.484005 93.483 93.3597
3.509252 93.527 92.6954
3.534681 93.571 92.0334
3.560295 93.614 91.3747
3.586094 93.658 90.7202
3.612081 93.702 90.0704
3.638255 93.745 89.4256
3.664620 93.789 88.7856
3.691175 93.833 88.1500
3.717923 93.876 87.5183
3.744864 93.919 86.8900
3.772001 93.963 86.2650
3.799335 94.006 85.6436
3.826866 94.050 85.0261
3.854597 94.093 84.4130
3.882529 94.137 83.8049
3.910664 94.180 83.2026
3.939002 94.224 82.6067
3.967546 94.268 82.0177
3.996296 94.313 81.4361
4.025255 94.357 80.8622
4.054423 94.402 80.2959
4.083804 94.447 79.7370
4.113396 94.492 79.1853
4.143204 94.537 78.6406
4.173227 94.583 78.1027
4.203468 94.629 77.5716
4.233928 94.675 77.0472
4.264609 94.721 76.5296
4.295512 94.768 76.0189
4.326639 94.816 75.5152
4.357992 94.864 75.0188
4.389572 94.912 74.5299
4.421380 94.961 74.0486
4.453419 95.011 73.5749
4.485691 95.061 73.1087
4.518196 95.111 72.6498
4.550936 95.162 72.1976
4.583914 95.214 71.7517
4.617131 95.266 71.3116
4.650589 95.319 70.8767
4.684289 95.372 70.4467
4.718233 95.425 70.0213
4.752424 95.479 69.6005
4.786862 95.534 69.1842
4.821549 95.589 68.7727
4.856488 95.645 68.3658
4.891680 95.701 67.9634
4.927127 95.758 67.5651
4.962831 95.815 67.1705
4.998794 95.872 66.7790
5.035017 95.930 66.3900
5.071503 95.987 66.0032
5.108253 96.045 65.6183
5.145270 96.103 65.2350
5.182555 96.161 64.8534
5.220110 96.219 64.4735
5.257937 96.277 64.0954
5.296038 96.335 63.7191
5.334415 96.393 63.3445
5.373071 96.451 62.9716
5.412006 96.508 62.6003
5.451224 96.565 62.2302
5.490725 96.621 61.8614
5.530514 96.677 61.4936
5.570590 96.732 61.1269
5.610957 96.787 60.7614
5.651616 96.841 60.3975
5.692570 96.895 60.0354
5.733821 96.948 59.6755
5.775370 97.000 59.3182
5.817221 97.051 58.9636
5.859375 97.101 58.6118
5.901834 97.150 58.2629
5.944602 97.199 57.9167
5.987679 97.246 57.5736
6.031068 97.292 57.2336
6.074771 97.338 56.8974
6.118792 97.382 56.5653
6.163131 97.426 56.2376
6.207792 97.469 55.9148
6.252776 97.511 55.5969
6.298086 97.552 55.2838
6.343725 97.592 54.9756
6.389694 97.631 54.6723
6.435996 97.669 54.3740
6.482634 97.707 54.0807
6.529610 97.744 53.7926
6.576926 97.780 53.5098
6.624585 97.816 53.2324
6.672590 97.851 52.9601
6.720942 97.885 52.6929
6.769645 97.919 52.4305
6.818700 97.953 52.1723
6.868111 97.986 51.9181
6.917881 98.018 51.6676
6.968010 98.051 51.4206
7.018504 98.083 51.1768
7.069362 98.114 50.9361
7.120590 98.145 50.6979
7.172189 98.176 50.4617
7.224161 98.207 50.2270
7.276511 98.237 49.9932
7.329239 98.267 49.7599
7.382350 98.296 49.5269
7.435845 98.325 49.2938
