* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 2, 2024 5:44:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Dec 2
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.070 -145.4624
0.368865 88.085 -145.4980
0.371538 88.107 -145.5512
0.374230 88.134 -145.6176
0.376942 88.165 -145.6935
0.379673 88.198 -145.7763
0.382424 88.233 -145.8642
0.385196 88.268 -145.9560
0.387987 88.304 -146.0511
0.390798 88.341 -146.1492
0.393630 88.378 -146.2500
0.396483 88.415 -146.3535
0.399356 88.452 -146.4595
0.402250 88.490 -146.5680
0.405165 88.528 -146.6790
0.408101 88.566 -146.7924
0.411058 88.605 -146.9083
0.414037 88.643 -147.0265
0.417037 88.682 -147.1471
0.420059 88.722 -147.2701
0.423103 88.761 -147.3953
0.426169 88.801 -147.5228
0.429257 88.842 -147.6525
0.432368 88.882 -147.7845
0.435501 88.923 -147.9185
0.438656 88.964 -148.0547
0.441835 89.006 -148.1930
0.445037 89.047 -148.3333
0.448262 89.089 -148.4756
0.451510 89.132 -148.6198
0.454782 89.174 -148.7659
0.458077 89.217 -148.9138
0.461397 89.260 -149.0636
0.464740 89.304 -149.2150
0.468108 89.348 -149.3682
0.471500 89.392 -149.5230
0.474917 89.437 -149.6793
0.478358 89.481 -149.8372
0.481825 89.527 -149.9965
0.485316 89.572 -150.1572
0.488833 89.618 -150.3192
0.492375 89.664 -150.4825
0.495943 89.710 -150.6470
0.499537 89.757 -150.8126
0.503157 89.804 -150.9794
0.506803 89.852 -151.1471
0.510475 89.900 -151.3158
0.514175 89.948 -151.4853
0.517900 89.997 -151.6556
0.521653 90.045 -151.8267
0.525434 90.095 -151.9985
0.529241 90.144 -152.1708
0.533076 90.194 -152.3437
0.536939 90.245 -152.5170
0.540830 90.295 -152.6907
0.544749 90.346 -152.8647
0.548696 90.398 -153.0389
0.552673 90.450 -153.2133
0.556677 90.502 -153.3878
0.560711 90.554 -153.5623
0.564774 90.607 -153.7367
0.568867 90.661 -153.9111
0.572989 90.714 -154.0852
0.577141 90.768 -154.2590
0.581324 90.823 -154.4325
0.585536 90.878 -154.6056
0.589779 90.933 -154.7781
0.594053 90.989 -154.9501
0.598358 91.045 -155.1215
0.602694 91.101 -155.2921
0.607061 91.158 -155.4620
0.611460 91.216 -155.6310
0.615891 91.273 -155.7990
0.620354 91.332 -155.9661
0.624849 91.390 -156.1321
0.629377 91.449 -156.2969
0.633938 91.509 -156.4605
0.638532 91.568 -156.6228
0.643159 91.629 -156.7838
0.647819 91.689 -156.9434
0.652514 91.751 -157.1014
0.657242 91.812 -157.2579
0.662005 91.874 -157.4127
0.666802 91.937 -157.5658
0.671634 92.000 -157.7172
0.676501 92.063 -157.8668
0.681403 92.127 -158.0146
0.686341 92.191 -158.1605
0.691314 92.256 -158.3049
0.696324 92.321 -158.4478
0.701370 92.387 -158.5900
0.706452 92.452 -158.7324
0.711571 92.518 -158.8769
0.716728 92.583 -159.0263
0.721921 92.647 -159.1848
0.727153 92.710 -159.3574
0.732422 92.771 -159.5495
0.737729 92.829 -159.7641
0.743075 92.885 -160.0002
0.748460 92.940 -160.2543
0.753883 92.993 -160.5225
0.759346 93.045 -160.8016
0.764849 93.097 -161.0891
0.770391 93.148 -161.3836
0.775974 93.198 -161.6840
0.781597 93.248 -161.9896
0.787261 93.298 -162.3001
0.792966 93.348 -162.6152
0.798712 93.397 -162.9347
0.804500 93.446 -163.2584
0.810329 93.494 -163.5862
0.816201 93.542 -163.9179
0.822116 93.590 -164.2534
0.828073 93.638 -164.5927
0.834074 93.685 -164.9355
0.840118 93.732 -165.2818
0.846206 93.779 -165.6314
0.852338 93.825 -165.9842
0.858514 93.872 -166.3402
0.864735 93.917 -166.6992
0.871001 93.963 -167.0611
0.877313 94.008 -167.4258
0.883670 94.053 -167.7933
0.890074 94.098 -168.1634
0.896524 94.142 -168.5360
0.903020 94.186 -168.9111
0.909564 94.230 -169.2886
0.916155 94.274 -169.6684
0.922794 94.317 -170.0505
0.929481 94.360 -170.4348
0.936216 94.403 -170.8212
0.943000 94.446 -171.2097
0.949834 94.488 -171.6003
0.956717 94.530 -171.9929
0.963649 94.572 -172.3875
0.970632 94.614 -172.7840
0.977666 94.656 -173.1826
0.984750 94.697 -173.5832
0.991886 94.739 -173.9857
0.999074 94.780 -174.3902
1.006314 94.821 -174.7968
1.013606 94.862 -175.2055
1.020951 94.903 -175.6163
1.028349 94.944 -176.0293
1.035801 94.985 -176.4445
1.043307 95.026 -176.8622
1.050867 95.067 -177.2824
1.058482 95.108 -177.7053
1.066152 95.148 -178.1313
1.073878 95.189 -178.5607
1.081660 95.230 -178.9941
1.089498 95.271 -179.4323
1.097393 95.312 -179.8764
1.105345 95.352 179.6725
1.113355 95.393 179.2132
1.121423 95.433 178.7448
1.129549 95.472 178.2667
1.137734 95.512 177.7787
1.145979 95.550 177.2806
1.154283 95.589 176.7725
1.162647 95.626 176.2546
1.171072 95.664 175.7272
1.179558 95.700 175.1906
1.188106 95.737 174.6450
1.196715 95.773 174.0908
1.205387 95.808 173.5285
1.214122 95.843 172.9584
1.222920 95.877 172.3809
1.231782 95.911 171.7963
1.240708 95.945 171.2052
1.249699 95.978 170.6080
1.258754 96.011 170.0051
1.267876 96.043 169.3971
1.277063 96.074 168.7844
1.286318 96.106 168.1674
1.295639 96.136 167.5469
1.305027 96.167 166.9231
1.314484 96.197 166.2968
1.324009 96.226 165.6685
1.333604 96.256 165.0386
1.343268 96.284 164.4079
1.353002 96.313 163.7769
1.362806 96.341 163.1461
1.372681 96.368 162.5162
1.382628 96.396 161.8877
1.392647 96.423 161.2613
1.402739 96.449 160.6374
1.412904 96.476 160.0164
1.423142 96.502 159.3987
1.433455 96.528 158.7841
1.443843 96.553 158.1725
1.454305 96.578 157.5628
1.464844 96.603 156.9536
1.475459 96.627 156.3432
1.486150 96.650 155.7295
1.496920 96.673 155.1110
1.507767 96.696 154.4866
1.518693 96.718 153.8557
1.529698 96.739 153.2178
1.540783 96.759 152.5731
1.551948 96.779 151.9216
1.563194 96.797 151.2635
1.574521 96.816 150.5992
1.585931 96.833 149.9291
1.597423 96.850 149.2534
1.608999 96.866 148.5726
1.620658 96.882 147.8872
1.632402 96.896 147.1976
1.644232 96.910 146.5044
1.656146 96.924 145.8080
1.668147 96.937 145.1090
1.680235 96.949 144.4080
1.692411 96.960 143.7056
1.704675 96.971 143.0023
1.717028 96.981 142.2989
1.729470 96.991 141.5960
1.742003 97.000 140.8941
1.754626 97.008 140.1940
1.767341 97.016 139.4960
1.780147 97.023 138.8006
1.793047 97.029 138.1078
1.806040 97.035 137.4172
1.819128 97.040 136.7281
1.832310 97.045 136.0388
1.845587 97.048 135.3474
1.858961 97.051 134.6519
1.872432 97.053 133.9508
1.886001 97.054 133.2429
1.899667 97.054 132.5276
1.913433 97.053 131.8049
1.927299 97.051 131.0749
1.941265 97.048 130.3379
1.955332 97.044 129.5945
1.969501 97.039 128.8453
1.983773 97.033 128.0913
1.998148 97.026 127.3332
2.012627 97.018 126.5720
2.027212 97.010 125.8088
2.041902 97.001 125.0449
2.056698 96.991 124.2814
2.071602 96.980 123.5198
2.086614 96.968 122.7614
2.101734 96.956 122.0079
2.116964 96.943 121.2606
2.132304 96.929 120.5209
2.147756 96.915 119.7901
2.163320 96.900 119.0690
2.178996 96.884 118.3579
2.194786 96.868 117.6562
2.210690 96.850 116.9627
2.226710 96.831 116.2758
2.242845 96.812 115.5939
2.259098 96.791 114.9157
2.275468 96.768 114.2404
2.291957 96.745 113.5676
2.308566 96.720 112.8971
2.325295 96.695 112.2291
2.342145 96.668 111.5639
2.359117 96.641 110.9019
2.376212 96.613 110.2440
2.393431 96.585 109.5907
2.410775 96.556 108.9431
2.428244 96.527 108.3023
2.445840 96.497 107.6694
2.463564 96.468 107.0459
2.481416 96.439 106.4333
2.499397 96.410 105.8330
2.517509 96.381 105.2468
2.535752 96.352 104.6761
2.554127 96.324 104.1224
2.572635 96.295 103.5866
2.591277 96.267 103.0695
2.610055 96.238 102.5711
2.628968 96.208 102.0911
2.648019 96.178 101.6290
2.667208 96.148 101.1841
2.686535 96.118 100.7555
2.706003 96.087 100.3423
2.725612 96.057 99.9438
2.745363 96.028 99.5590
2.765257 96.000 99.1870
2.785295 95.973 98.8271
2.805478 95.948 98.4786
2.825808 95.924 98.1408
2.846285 95.903 97.8135
2.866910 95.885 97.4967
2.887685 95.869 97.1911
2.908611 95.856 96.8979
2.929688 95.846 96.6193
2.950917 95.839 96.3577
2.972301 95.835 96.1153
2.993839 95.833 95.8932
3.015534 95.834 95.6914
3.037386 95.838 95.5089
3.059396 95.844 95.3439
3.081565 95.853 95.1937
3.103896 95.865 95.0554
3.126388 95.879 94.9259
3.149043 95.897 94.8019
3.171862 95.918 94.6801
3.194847 95.943 94.5574
3.217998 95.971 94.4312
3.241317 96.003 94.2995
3.264805 96.038 94.1617
3.288463 96.078 94.0183
3.312293 96.122 93.8711
3.336295 96.171 93.7223
3.360471 96.224 93.5736
3.384822 96.282 93.4253
3.409350 96.345 93.2767
3.434056 96.411 93.1261
3.458940 96.480 92.9709
3.484005 96.553 92.8083
3.509252 96.629 92.6351
3.534681 96.707 92.4482
3.560295 96.786 92.2445
3.586094 96.867 92.0213
3.612081 96.950 91.7766
3.638255 97.033 91.5091
3.664620 97.118 91.2185
3.691175 97.205 90.9058
3.717923 97.293 90.5723
3.744864 97.383 90.2198
3.772001 97.475 89.8495
3.799335 97.569 89.4630
3.826866 97.663 89.0609
3.854597 97.758 88.6441
3.882529 97.853 88.2130
3.910664 97.948 87.7676
3.939002 98.042 87.3079
3.967546 98.135 86.8332
3.996296 98.226 86.3428
4.025255 98.316 85.8358
4.054423 98.404 85.3113
4.083804 98.490 84.7690
4.113396 98.575 84.2097
4.143204 98.659 83.6349
4.173227 98.741 83.0470
4.203468 98.821 82.4484
4.233928 98.900 81.8421
4.264609 98.977 81.2305
4.295512 99.051 80.6158
4.326639 99.123 79.9995
4.357992 99.193 79.3820
4.389572 99.259 78.7628
4.421380 99.323 78.1406
4.453419 99.384 77.5142
4.485691 99.442 76.8835
4.518196 99.497 76.2491
4.550936 99.550 75.6133
4.583914 99.600 74.9789
4.617131 99.647 74.3490
4.650589 99.693 73.7268
4.684289 99.735 73.1152
4.718233 99.776 72.5160
4.752424 99.814 71.9301
4.786862 99.850 71.3571
4.821549 99.883 70.7964
4.856488 99.913 70.2471
4.891680 99.942 69.7093
4.927127 99.968 69.1836
4.962831 99.992 68.6714
4.998794 100.015 68.1745
5.035017 100.038 67.6949
5.071503 100.059 67.2344
5.108253 100.080 66.7945
5.145270 100.100 66.3761
5.182555 100.120 65.9792
5.220110 100.139 65.6033
5.257937 100.158 65.2474
5.296038 100.176 64.9102
5.334415 100.195 64.5904
5.373071 100.215 64.2870
5.412006 100.236 63.9994
5.451224 100.259 63.7271
5.490725 100.283 63.4701
5.530514 100.309 63.2288
5.570590 100.337 63.0028
5.610957 100.366 62.7910
5.651616 100.398 62.5911
5.692570 100.432 62.4002
5.733821 100.467 62.2153
5.775370 100.505 62.0333
5.817221 100.544 61.8518
5.859375 100.586 61.6695
5.901834 100.630 61.4857
5.944602 100.677 61.2999
5.987679 100.725 61.1114
6.031068 100.776 60.9187
6.074771 100.827 60.7197
6.118792 100.880 60.5121
6.163131 100.933 60.2939
6.207792 100.987 60.0634
6.252776 101.041 59.8197
6.298086 101.095 59.5627
6.343725 101.149 59.2929
6.389694 101.203 59.0108
6.435996 101.256 58.7172
6.482634 101.309 58.4126
6.529610 101.359 58.0972
6.576926 101.408 57.7711
6.624585 101.455 57.4345
6.672590 101.500 57.0879
6.720942 101.543 56.7324
6.769645 101.583 56.3698
6.818700 101.621 56.0023
6.868111 101.657 55.6323
