* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 28, 2024 12:04:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Ziigaat x Jay Estrella MP L
* Measurement: Ziigaat x Jay Estrella MT
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 97.222 -50.9573
0.368865 97.222 -51.0194
0.371538 97.222 -51.1123
0.374230 97.222 -51.2290
0.376942 97.223 -51.3633
0.379673 97.223 -51.5107
0.382424 97.224 -51.6683
0.385196 97.224 -51.8343
0.387987 97.225 -52.0077
0.390798 97.225 -52.1878
0.393630 97.226 -52.3745
0.396483 97.226 -52.5676
0.399356 97.226 -52.7671
0.402250 97.227 -52.9731
0.405165 97.227 -53.1854
0.408101 97.228 -53.4043
0.411058 97.228 -53.6297
0.414037 97.229 -53.8617
0.417037 97.229 -54.1004
0.420059 97.230 -54.3458
0.423103 97.230 -54.5979
0.426169 97.231 -54.8569
0.429257 97.231 -55.1227
0.432368 97.232 -55.3955
0.435501 97.232 -55.6752
0.438656 97.233 -55.9619
0.441835 97.233 -56.2556
0.445037 97.234 -56.5564
0.448262 97.234 -56.8643
0.451510 97.235 -57.1794
0.454782 97.235 -57.5016
0.458077 97.236 -57.8310
0.461397 97.236 -58.1676
0.464740 97.237 -58.5115
0.468108 97.238 -58.8625
0.471500 97.238 -59.2209
0.474917 97.239 -59.5864
0.478358 97.239 -59.9592
0.481825 97.240 -60.3393
0.485316 97.240 -60.7266
0.488833 97.241 -61.1211
0.492375 97.241 -61.5229
0.495943 97.242 -61.9318
0.499537 97.243 -62.3478
0.503157 97.243 -62.7710
0.506803 97.244 -63.2012
0.510475 97.244 -63.6384
0.514175 97.245 -64.0826
0.517900 97.246 -64.5337
0.521653 97.246 -64.9916
0.525434 97.247 -65.4563
0.529241 97.247 -65.9277
0.533076 97.248 -66.4057
0.536939 97.249 -66.8902
0.540830 97.249 -67.3811
0.544749 97.250 -67.8782
0.548696 97.251 -68.3816
0.552673 97.251 -68.8911
0.556677 97.252 -69.4064
0.560711 97.253 -69.9277
0.564774 97.253 -70.4545
0.568867 97.254 -70.9869
0.572989 97.254 -71.5248
0.577141 97.255 -72.0678
0.581324 97.256 -72.6159
0.585536 97.257 -73.1689
0.589779 97.257 -73.7267
0.594053 97.258 -74.2890
0.598358 97.259 -74.8557
0.602694 97.259 -75.4267
0.607061 97.260 -76.0016
0.611460 97.261 -76.5804
0.615891 97.261 -77.1628
0.620354 97.262 -77.7486
0.624849 97.263 -78.3377
0.629377 97.264 -78.9299
0.633938 97.264 -79.5249
0.638532 97.265 -80.1226
0.643159 97.266 -80.7227
0.647819 97.267 -81.3251
0.652514 97.267 -81.9296
0.657242 97.268 -82.5359
0.662005 97.269 -83.1440
0.666802 97.270 -83.7535
0.671634 97.270 -84.3644
0.676501 97.271 -84.9764
0.681403 97.272 -85.5894
0.686341 97.273 -86.2032
0.691314 97.274 -86.8177
0.696324 97.274 -87.4328
0.701370 97.275 -88.0485
0.706452 97.276 -88.6648
0.711571 97.277 -89.2818
0.716728 97.278 -89.9000
0.721921 97.280 -90.5201
0.727153 97.281 -91.1433
0.732422 97.283 -91.7710
0.737729 97.286 -92.4053
0.743075 97.289 -93.0478
0.748460 97.292 -93.7003
0.753883 97.295 -94.3637
0.759346 97.299 -95.0388
0.764849 97.303 -95.7259
0.770391 97.307 -96.4252
0.775974 97.311 -97.1367
0.781597 97.316 -97.8603
0.787261 97.320 -98.5957
0.792966 97.325 -99.3429
0.798712 97.330 -100.1016
0.804500 97.335 -100.8715
0.810329 97.340 -101.6524
0.816201 97.345 -102.4439
0.822116 97.350 -103.2457
0.828073 97.356 -104.0575
0.834074 97.361 -104.8788
0.840118 97.367 -105.7093
0.846206 97.373 -106.5486
0.852338 97.379 -107.3963
0.858514 97.385 -108.2518
0.864735 97.391 -109.1148
0.871001 97.398 -109.9848
0.877313 97.404 -110.8612
0.883670 97.411 -111.7436
0.890074 97.418 -112.6314
0.896524 97.425 -113.5242
0.903020 97.432 -114.4213
0.909564 97.439 -115.3224
0.916155 97.447 -116.2267
0.922794 97.454 -117.1339
0.929481 97.462 -118.0433
0.936216 97.470 -118.9545
0.943000 97.478 -119.8669
0.949834 97.486 -120.7799
0.956717 97.494 -121.6932
0.963649 97.503 -122.6061
0.970632 97.512 -123.5183
0.977666 97.520 -124.4292
0.984750 97.529 -125.3385
0.991886 97.538 -126.2456
0.999074 97.548 -127.1502
1.006314 97.557 -128.0520
1.013606 97.567 -128.9506
1.020951 97.576 -129.8456
1.028349 97.586 -130.7368
1.035801 97.596 -131.6239
1.043307 97.606 -132.5069
1.050867 97.616 -133.3856
1.058482 97.627 -134.2601
1.066152 97.637 -135.1306
1.073878 97.648 -135.9978
1.081660 97.659 -136.8626
1.089498 97.670 -137.7268
1.097393 97.681 -138.5926
1.105345 97.693 -139.4627
1.113355 97.705 -140.3401
1.121423 97.717 -141.2274
1.129549 97.729 -142.1263
1.137734 97.742 -143.0383
1.145979 97.755 -143.9641
1.154283 97.769 -144.9042
1.162647 97.783 -145.8590
1.171072 97.797 -146.8283
1.179558 97.811 -147.8123
1.188106 97.826 -148.8107
1.196715 97.841 -149.8233
1.205387 97.856 -150.8498
1.214122 97.872 -151.8899
1.222920 97.888 -152.9430
1.231782 97.904 -154.0087
1.240708 97.920 -155.0863
1.249699 97.937 -156.1751
1.258754 97.954 -157.2744
1.267876 97.971 -158.3833
1.277063 97.988 -159.5009
1.286318 98.005 -160.6261
1.295639 98.022 -161.7578
1.305027 98.040 -162.8950
1.314484 98.057 -164.0362
1.324009 98.075 -165.1802
1.333604 98.092 -166.3257
1.343268 98.110 -167.4710
1.353002 98.128 -168.6148
1.362806 98.145 -169.7555
1.372681 98.163 -170.8914
1.382628 98.180 -172.0211
1.392647 98.197 -173.1428
1.402739 98.214 -174.2552
1.412904 98.231 -175.3568
1.423142 98.248 -176.4467
1.433455 98.264 -177.5244
1.443843 98.281 -178.5902
1.454305 98.297 -179.6455
1.464844 98.313 179.3073
1.475459 98.329 178.2643
1.486150 98.345 177.2222
1.496920 98.361 176.1774
1.507767 98.377 175.1277
1.518693 98.393 174.0715
1.529698 98.410 173.0081
1.540783 98.426 171.9371
1.551948 98.442 170.8585
1.563194 98.459 169.7726
1.574521 98.475 168.6797
1.585931 98.492 167.5805
1.597423 98.508 166.4755
1.608999 98.524 165.3653
1.620658 98.540 164.2509
1.632402 98.556 163.1329
1.644232 98.571 162.0123
1.656146 98.587 160.8900
1.668147 98.602 159.7672
1.680235 98.616 158.6447
1.692411 98.630 157.5237
1.704675 98.644 156.4055
1.717028 98.657 155.2911
1.729470 98.670 154.1818
1.742003 98.682 153.0788
1.754626 98.693 151.9832
1.767341 98.703 150.8958
1.780147 98.713 149.8175
1.793047 98.722 148.7481
1.806040 98.730 147.6872
1.819128 98.737 146.6328
1.832310 98.743 145.5822
1.845587 98.749 144.5316
1.858961 98.754 143.4770
1.872432 98.758 142.4152
1.886001 98.761 141.3441
1.899667 98.764 140.2622
1.913433 98.766 139.1691
1.927299 98.767 138.0648
1.941265 98.767 136.9497
1.955332 98.767 135.8248
1.969501 98.766 134.6911
1.983773 98.764 133.5500
1.998148 98.761 132.4032
2.012627 98.757 131.2523
2.027212 98.751 130.0994
2.041902 98.745 128.9466
2.056698 98.738 127.7964
2.071602 98.729 126.6514
2.086614 98.720 125.5141
2.101734 98.709 124.3875
2.116964 98.696 123.2742
2.132304 98.682 122.1769
2.147756 98.667 121.0975
2.163320 98.650 120.0375
2.178996 98.632 118.9967
2.194786 98.611 117.9737
2.210690 98.590 116.9654
2.226710 98.566 115.9679
2.242845 98.540 114.9775
2.259098 98.513 113.9913
2.275468 98.484 113.0073
2.291957 98.453 112.0244
2.308566 98.420 111.0421
2.325295 98.385 110.0607
2.342145 98.349 109.0807
2.359117 98.311 108.1033
2.376212 98.272 107.1297
2.393431 98.231 106.1617
2.410775 98.188 105.2014
2.428244 98.144 104.2512
2.445840 98.099 103.3140
2.463564 98.052 102.3927
2.481416 98.003 101.4905
2.499397 97.954 100.6110
2.517509 97.903 99.7572
2.535752 97.850 98.9318
2.554127 97.795 98.1369
2.572635 97.739 97.3732
2.591277 97.680 96.6404
2.610055 97.618 95.9376
2.628968 97.554 95.2632
2.648019 97.487 94.6159
2.667208 97.417 93.9945
2.686535 97.346 93.3981
2.706003 97.273 92.8258
2.725612 97.199 92.2773
2.745363 97.124 91.7523
2.765257 97.049 91.2508
2.785295 96.974 90.7731
2.805478 96.900 90.3197
2.825808 96.828 89.8915
2.846285 96.757 89.4899
2.866910 96.689 89.1169
2.887685 96.623 88.7752
2.908611 96.561 88.4685
2.929688 96.500 88.2012
2.950917 96.442 87.9778
2.972301 96.385 87.8024
2.993839 96.331 87.6772
3.015534 96.277 87.6024
3.037386 96.226 87.5768
3.059396 96.176 87.5975
3.081565 96.130 87.6608
3.103896 96.087 87.7620
3.126388 96.047 87.8958
3.149043 96.013 88.0565
3.171862 95.985 88.2381
3.194847 95.962 88.4350
3.217998 95.948 88.6421
3.241317 95.941 88.8557
3.264805 95.943 89.0740
3.288463 95.954 89.2981
3.312293 95.976 89.5309
3.336295 96.007 89.7762
3.360471 96.048 90.0361
3.384822 96.099 90.3098
3.409350 96.158 90.5938
3.434056 96.226 90.8823
3.458940 96.301 91.1680
3.484005 96.382 91.4427
3.509252 96.469 91.6979
3.534681 96.561 91.9254
3.560295 96.657 92.1174
3.586094 96.757 92.2675
3.612081 96.859 92.3705
3.638255 96.965 92.4240
3.664620 97.074 92.4277
3.691175 97.187 92.3838
3.717923 97.304 92.2957
3.744864 97.425 92.1670
3.772001 97.550 92.0005
3.799335 97.679 91.7984
3.826866 97.811 91.5622
3.854597 97.944 91.2929
3.882529 98.077 90.9909
3.910664 98.209 90.6562
3.939002 98.340 90.2885
3.967546 98.468 89.8866
3.996296 98.592 89.4493
4.025255 98.713 88.9755
4.054423 98.831 88.4639
4.083804 98.945 87.9150
4.113396 99.057 87.3304
4.143204 99.165 86.7134
4.173227 99.271 86.0684
4.203468 99.373 85.4002
4.233928 99.472 84.7137
4.264609 99.567 84.0132
4.295512 99.658 83.3024
4.326639 99.744 82.5833
4.357992 99.826 81.8564
4.389572 99.902 81.1204
4.421380 99.973 80.3729
4.453419 100.040 79.6116
4.485691 100.101 78.8361
4.518196 100.157 78.0479
4.550936 100.207 77.2508
4.583914 100.254 76.4498
4.617131 100.295 75.6507
4.650589 100.332 74.8591
4.684289 100.364 74.0798
4.718233 100.392 73.3161
4.752424 100.416 72.5692
4.786862 100.434 71.8381
4.821549 100.448 71.1211
4.856488 100.457 70.4168
4.891680 100.462 69.7252
4.927127 100.462 69.0479
4.962831 100.458 68.3879
4.998794 100.452 67.7493
5.035017 100.443 67.1361
5.071503 100.432 66.5526
5.108253 100.419 66.0018
5.145270 100.404 65.4857
5.182555 100.387 65.0048
5.220110 100.368 64.5582
5.257937 100.348 64.1447
5.296038 100.327 63.7627
5.334415 100.306 63.4109
5.373071 100.286 63.0884
5.412006 100.268 62.7950
5.451224 100.252 62.5309
5.490725 100.238 62.2972
5.530514 100.228 62.0947
5.570590 100.222 61.9232
5.610957 100.218 61.7806
5.651616 100.218 61.6629
5.692570 100.222 61.5644
5.733821 100.230 61.4791
5.775370 100.243 61.4011
5.817221 100.260 61.3259
5.859375 100.283 61.2506
5.901834 100.311 61.1737
5.944602 100.344 61.0941
5.987679 100.383 61.0097
6.031068 100.425 60.9168
6.074771 100.472 60.8108
6.118792 100.521 60.6863
6.163131 100.573 60.5387
6.207792 100.628 60.3643
6.252776 100.684 60.1611
6.298086 100.741 59.9289
6.343725 100.800 59.6683
6.389694 100.860 59.3804
6.435996 100.919 59.0661
6.482634 100.977 58.7261
6.529610 101.034 58.3605
6.576926 101.088 57.9692
6.624585 101.139 57.5524
6.672590 101.188 57.1109
