* Measurement data measured by REW V5.31
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.390
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 27, 2024 11:53:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Ziigaat x Jay Estrella R
* Measurement: R Ziigaat x Jay Estrella
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 96.473 -52.6879
0.368865 96.474 -52.7521
0.371538 96.475 -52.8482
0.374230 96.476 -52.9688
0.376942 96.478 -53.1077
0.379673 96.480 -53.2601
0.382424 96.481 -53.4230
0.385196 96.483 -53.5945
0.387987 96.485 -53.7737
0.390798 96.487 -53.9598
0.393630 96.489 -54.1527
0.396483 96.491 -54.3521
0.399356 96.493 -54.5582
0.402250 96.495 -54.7708
0.405165 96.497 -54.9901
0.408101 96.499 -55.2160
0.411058 96.501 -55.4487
0.414037 96.503 -55.6882
0.417037 96.505 -55.9344
0.420059 96.507 -56.1876
0.423103 96.509 -56.4477
0.426169 96.511 -56.7148
0.429257 96.513 -56.9889
0.432368 96.515 -57.2701
0.435501 96.517 -57.5585
0.438656 96.519 -57.8539
0.441835 96.521 -58.1566
0.445037 96.524 -58.4665
0.448262 96.526 -58.7837
0.451510 96.528 -59.1081
0.454782 96.530 -59.4399
0.458077 96.532 -59.7789
0.461397 96.535 -60.1254
0.464740 96.537 -60.4791
0.468108 96.539 -60.8403
0.471500 96.541 -61.2088
0.474917 96.544 -61.5846
0.478358 96.546 -61.9678
0.481825 96.548 -62.3584
0.485316 96.551 -62.7562
0.488833 96.553 -63.1614
0.492375 96.555 -63.5738
0.495943 96.558 -63.9935
0.499537 96.560 -64.4204
0.503157 96.563 -64.8544
0.506803 96.565 -65.2955
0.510475 96.568 -65.7437
0.514175 96.570 -66.1989
0.517900 96.573 -66.6609
0.521653 96.575 -67.1298
0.525434 96.578 -67.6055
0.529241 96.580 -68.0878
0.533076 96.583 -68.5766
0.536939 96.585 -69.0720
0.540830 96.588 -69.5736
0.544749 96.591 -70.0815
0.548696 96.593 -70.5955
0.552673 96.596 -71.1155
0.556677 96.599 -71.6414
0.560711 96.601 -72.1729
0.564774 96.604 -72.7100
0.568867 96.607 -73.2525
0.572989 96.610 -73.8002
0.577141 96.612 -74.3531
0.581324 96.615 -74.9108
0.585536 96.618 -75.4733
0.589779 96.621 -76.0403
0.594053 96.624 -76.6117
0.598358 96.627 -77.1873
0.602694 96.630 -77.7669
0.607061 96.633 -78.3503
0.611460 96.636 -78.9373
0.615891 96.639 -79.5278
0.620354 96.642 -80.1214
0.624849 96.645 -80.7181
0.629377 96.648 -81.3176
0.633938 96.651 -81.9197
0.638532 96.654 -82.5243
0.643159 96.657 -83.1311
0.647819 96.660 -83.7399
0.652514 96.663 -84.3505
0.657242 96.666 -84.9628
0.662005 96.670 -85.5766
0.666802 96.673 -86.1917
0.671634 96.676 -86.8079
0.676501 96.679 -87.4250
0.681403 96.683 -88.0429
0.686341 96.686 -88.6615
0.691314 96.689 -89.2806
0.696324 96.693 -89.9001
0.701370 96.696 -90.5201
0.706452 96.700 -91.1405
0.711571 96.703 -91.7615
0.716728 96.707 -92.3837
0.721921 96.711 -93.0076
0.727153 96.715 -93.6345
0.732422 96.720 -94.2659
0.737729 96.725 -94.9037
0.743075 96.730 -95.5498
0.748460 96.736 -96.2055
0.753883 96.743 -96.8721
0.759346 96.749 -97.5502
0.764849 96.756 -98.2401
0.770391 96.762 -98.9419
0.775974 96.769 -99.6557
0.781597 96.776 -100.3813
0.787261 96.784 -101.1185
0.792966 96.791 -101.8670
0.798712 96.799 -102.6267
0.804500 96.807 -103.3973
0.810329 96.815 -104.1785
0.816201 96.823 -104.9698
0.822116 96.831 -105.7711
0.828073 96.839 -106.5818
0.834074 96.848 -107.4017
0.840118 96.857 -108.2303
0.846206 96.866 -109.0671
0.852338 96.875 -109.9118
0.858514 96.884 -110.7639
0.864735 96.893 -111.6229
0.871001 96.903 -112.4883
0.877313 96.913 -113.3597
0.883670 96.922 -114.2365
0.890074 96.932 -115.1182
0.896524 96.942 -116.0043
0.903020 96.953 -116.8942
0.909564 96.963 -117.7876
0.916155 96.974 -118.6837
0.922794 96.984 -119.5821
0.929481 96.995 -120.4822
0.936216 97.006 -121.3836
0.943000 97.017 -122.2858
0.949834 97.029 -123.1881
0.956717 97.040 -124.0903
0.963649 97.052 -124.9917
0.970632 97.063 -125.8920
0.977666 97.075 -126.7906
0.984750 97.087 -127.6872
0.991886 97.099 -128.5814
0.999074 97.111 -129.4728
1.006314 97.123 -130.3611
1.013606 97.136 -131.2459
1.020951 97.148 -132.1270
1.028349 97.161 -133.0041
1.035801 97.173 -133.8770
1.043307 97.186 -134.7455
1.050867 97.199 -135.6097
1.058482 97.212 -136.4696
1.066152 97.225 -137.3256
1.073878 97.238 -138.1781
1.081660 97.251 -139.0284
1.089498 97.265 -139.8779
1.097393 97.278 -140.7291
1.105345 97.292 -141.5847
1.113355 97.306 -142.4476
1.121423 97.320 -143.3203
1.129549 97.334 -144.2048
1.137734 97.349 -145.1022
1.145979 97.364 -146.0134
1.154283 97.379 -146.9389
1.162647 97.394 -147.8788
1.171072 97.410 -148.8333
1.179558 97.426 -149.8021
1.188106 97.442 -150.7853
1.196715 97.459 -151.7825
1.205387 97.475 -152.7934
1.214122 97.492 -153.8176
1.222920 97.509 -154.8546
1.231782 97.527 -155.9038
1.240708 97.544 -156.9648
1.249699 97.562 -158.0367
1.258754 97.579 -159.1187
1.267876 97.597 -160.2101
1.277063 97.615 -161.3098
1.286318 97.633 -162.4169
1.295639 97.651 -163.5303
1.305027 97.669 -164.6487
1.314484 97.687 -165.7710
1.324009 97.705 -166.8958
1.333604 97.723 -168.0218
1.343268 97.741 -169.1474
1.353002 97.759 -170.2713
1.362806 97.776 -171.3919
1.372681 97.794 -172.5075
1.382628 97.811 -173.6167
1.392647 97.828 -174.7179
1.402739 97.845 -175.8096
1.412904 97.862 -176.8905
1.423142 97.878 -177.9596
1.433455 97.895 -179.0165
1.443843 97.910 179.9385
1.454305 97.926 178.9041
1.464844 97.941 177.8775
1.475459 97.956 176.8553
1.486150 97.971 175.8337
1.496920 97.986 174.8093
1.507767 98.001 173.7799
1.518693 98.016 172.7439
1.529698 98.031 171.7004
1.540783 98.046 170.6492
1.551948 98.061 169.5901
1.563194 98.075 168.5235
1.574521 98.090 167.4498
1.585931 98.104 166.3693
1.597423 98.118 165.2829
1.608999 98.132 164.1910
1.620658 98.146 163.0946
1.632402 98.159 161.9944
1.644232 98.172 160.8913
1.656146 98.185 159.7863
1.668147 98.197 158.6804
1.680235 98.208 157.5746
1.692411 98.219 156.4702
1.704675 98.230 155.3683
1.717028 98.240 154.2700
1.729470 98.249 153.1767
1.742003 98.257 152.0896
1.754626 98.265 151.0097
1.767341 98.272 149.9382
1.780147 98.278 148.8756
1.793047 98.283 147.8221
1.806040 98.287 146.7771
1.819128 98.290 145.7388
1.832310 98.292 144.7045
1.845587 98.293 143.6701
1.858961 98.294 142.6319
1.872432 98.293 141.5865
1.886001 98.292 140.5317
1.899667 98.290 139.4660
1.913433 98.287 138.3889
1.927299 98.283 137.3004
1.941265 98.278 136.2009
1.955332 98.273 135.0913
1.969501 98.266 133.9726
1.983773 98.258 132.8461
1.998148 98.250 131.7135
2.012627 98.240 130.5765
2.027212 98.229 129.4372
2.041902 98.216 128.2977
2.056698 98.203 127.1604
2.071602 98.188 126.0281
2.086614 98.171 124.9035
2.101734 98.154 123.7895
2.116964 98.134 122.6888
2.132304 98.113 121.6043
2.147756 98.091 120.5382
2.163320 98.067 119.4919
2.178996 98.041 118.4655
2.194786 98.013 117.4576
2.210690 97.983 116.4652
2.226710 97.951 115.4846
2.242845 97.917 114.5119
2.259098 97.881 113.5443
2.275468 97.843 112.5796
2.291957 97.803 111.6167
2.308566 97.761 110.6552
2.325295 97.717 109.6951
2.342145 97.672 108.7371
2.359117 97.624 107.7823
2.376212 97.574 106.8319
2.393431 97.523 105.8878
2.410775 97.470 104.9521
2.428244 97.416 104.0274
2.445840 97.360 103.1165
2.463564 97.302 102.2227
2.481416 97.243 101.3495
2.499397 97.182 100.5003
2.517509 97.120 99.6789
2.535752 97.056 98.8883
2.554127 96.990 98.1309
2.572635 96.922 97.4080
2.591277 96.850 96.7198
2.610055 96.776 96.0657
2.628968 96.698 95.4445
2.648019 96.618 94.8552
2.667208 96.535 94.2965
2.686535 96.450 93.7677
2.706003 96.362 93.2679
2.725612 96.274 92.7968
2.745363 96.185 92.3541
2.765257 96.096 91.9396
2.785295 96.008 91.5536
2.805478 95.921 91.1965
2.825808 95.836 90.8690
2.846285 95.754 90.5726
2.866910 95.675 90.3091
2.887685 95.600 90.0813
2.908611 95.529 89.8934
2.929688 95.462 89.7503
2.950917 95.397 89.6575
2.972301 95.336 89.6199
2.993839 95.277 89.6402
3.015534 95.221 89.7190
3.037386 95.167 89.8546
3.059396 95.117 90.0437
3.081565 95.070 90.2813
3.103896 95.028 90.5616
3.126388 94.991 90.8777
3.149043 94.960 91.2223
3.171862 94.936 91.5876
3.194847 94.920 91.9659
3.217998 94.912 92.3504
3.241317 94.915 92.7357
3.264805 94.928 93.1188
3.288463 94.952 93.4997
3.312293 94.988 93.8812
3.336295 95.036 94.2668
3.360471 95.096 94.6583
3.384822 95.168 95.0546
3.409350 95.250 95.4517
3.434056 95.343 95.8432
3.458940 95.443 96.2212
3.484005 95.551 96.5772
3.509252 95.665 96.9024
3.534681 95.783 97.1886
3.560295 95.906 97.4280
3.586094 96.031 97.6143
3.612081 96.158 97.7428
3.638255 96.287 97.8112
3.664620 96.418 97.8195
3.691175 96.552 97.7703
3.717923 96.690 97.6676
3.744864 96.830 97.5156
3.772001 96.974 97.3183
3.799335 97.121 97.0791
3.826866 97.269 96.8009
3.854597 97.419 96.4858
3.882529 97.567 96.1357
3.910664 97.714 95.7515
3.939002 97.859 95.3336
3.967546 98.000 94.8817
3.996296 98.136 94.3947
4.025255 98.268 93.8714
4.054423 98.396 93.3103
4.083804 98.519 92.7115
4.113396 98.639 92.0764
4.143204 98.754 91.4087
4.173227 98.866 90.7130
4.203468 98.974 89.9947
4.233928 99.077 89.2594
4.264609 99.176 88.5121
4.295512 99.271 87.7569
4.326639 99.361 86.9964
4.357992 99.445 86.2314
4.389572 99.525 85.4604
4.421380 99.598 84.6809
4.453419 99.666 83.8903
4.485691 99.729 83.0877
4.518196 99.786 82.2746
4.550936 99.838 81.4548
4.583914 99.885 80.6333
4.617131 99.927 79.8161
4.650589 99.964 79.0092
4.684289 99.997 78.2175
4.718233 100.025 77.4448
4.752424 100.048 76.6924
4.786862 100.067 75.9595
4.821549 100.081 75.2443
4.856488 100.091 74.5452
4.891680 100.095 73.8620
4.927127 100.096 73.1962
4.962831 100.093 72.5505
4.998794 100.087 71.9286
5.035017 100.080 71.3345
5.071503 100.070 70.7724
5.108253 100.059 70.2455
5.145270 100.046 69.7557
5.182555 100.032 69.3036
5.220110 100.017 68.8885
5.257937 100.000 68.5086
5.296038 99.984 68.1620
5.334415 99.967 67.8468
5.373071 99.952 67.5613
5.412006 99.940 67.3046
5.451224 99.930 67.0764
5.490725 99.925 66.8773
5.530514 99.922 66.7079
5.570590 99.924 66.5678
5.610957 99.930 66.4548
5.651616 99.940 66.3643
5.692570 99.954 66.2903
5.733821 99.972 66.2263
5.775370 99.995 66.1658
5.817221 100.024 66.1038
5.859375 100.057 66.0372
5.901834 100.096 65.9644
5.944602 100.140 65.8842
5.987679 100.190 65.7949
6.031068 100.243 65.6931
6.074771 100.300 65.5744
6.118792 100.360 65.4341
6.163131 100.421 65.2679
6.207792 100.484 65.0722
6.252776 100.549 64.8454
6.298086 100.614 64.5874
6.343725 100.680 64.2992
6.389694 100.747 63.9825
6.435996 100.812 63.6389
6.482634 100.876 63.2695
6.529610 100.938 62.8753
6.576926 100.996 62.4565
6.624585 101.051 62.0135
6.672590 101.103 61.5471
