* Measurement data measured by REW V5.31
* Source: P:\Reviews\Squig\site\data\PaulWasabii2024 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 3, 2024 2:40:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from P:\Reviews\Squig\site\data\PaulWasabii2024 Target.txt Format: Comma/Tab/Space delimited data 30 values loaded, 20 Hz to 20,000 Hz
* Measurement: PaulWasabii2024 Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	4.514
20.299999	4.517
20.600000	4.526
20.900000	4.538
21.200001	4.550
21.400000	4.559
21.799999	4.576
22.000000	4.584
22.400000	4.601
22.700001	4.614
23.000000	4.627
23.299999	4.641
23.600000	4.654
24.000000	4.672
24.299999	4.686
24.700001	4.705
25.000000	4.719
25.400000	4.739
25.799999	4.759
26.200001	4.779
26.500000	4.794
26.900000	4.816
27.200001	4.832
27.600000	4.854
28.000000	4.877
28.500000	4.907
29.000000	4.938
29.500000	4.971
30.000000	5.009
30.400000	5.042
30.700001	5.069
31.100000	5.106
31.500000	5.144
32.000000	5.194
32.500000	5.244
33.000000	5.294
33.500000	5.346
34.000000	5.397
34.500000	5.449
35.000000	5.501
35.500000	5.553
36.000000	5.605
36.500000	5.656
37.000000	5.707
37.500000	5.758
38.200001	5.827
38.700001	5.876
39.500000	5.950
40.000000	5.992
40.599998	6.040
41.200001	6.084
41.799999	6.125
42.500000	6.170
43.099998	6.206
43.700001	6.241
44.400002	6.279
45.000000	6.310
45.500000	6.334
46.200001	6.366
46.799999	6.392
47.500000	6.419
48.200001	6.444
48.700001	6.460
49.400002	6.480
50.000000	6.495
50.799999	6.512
51.500000	6.524
52.200001	6.533
53.000000	6.541
53.799999	6.546
54.500000	6.548
55.200001	6.548
56.000000	6.546
57.000000	6.539
58.000000	6.529
59.000000	6.515
60.000000	6.499
60.799999	6.486
61.500000	6.473
62.200001	6.460
63.000000	6.445
64.000000	6.426
65.000000	6.405
66.000000	6.384
67.000000	6.362
68.000000	6.339
69.000000	6.315
70.000000	6.290
71.000000	6.265
72.000000	6.239
73.000000	6.212
74.000000	6.184
75.000000	6.155
76.199997	6.119
77.500000	6.079
78.800003	6.038
80.000000	5.998
81.199997	5.956
82.500000	5.906
83.800003	5.851
85.000000	5.794
86.199997	5.730
87.500000	5.653
88.500000	5.585
90.000000	5.466
91.199997	5.356
92.500000	5.225
93.800003	5.088
95.000000	4.963
96.199997	4.844
97.500000	4.726
98.800003	4.625
100.000000	4.549
101.500000	4.478
103.000000	4.423
104.400002	4.381
106.000000	4.338
107.500000	4.299
109.000000	4.262
110.599998	4.223
112.000000	4.190
113.800003	4.149
115.000000	4.122
117.199997	4.074
118.000000	4.057
120.599998	4.004
122.000000	3.976
124.099998	3.935
125.000000	3.918
126.500000	3.890
128.000000	3.862
131.500000	3.800
132.000000	3.791
134.000000	3.757
136.000000	3.723
138.000000	3.690
140.000000	3.658
143.000000	3.610
145.000000	3.577
147.500000	3.536
150.000000	3.490
152.500000	3.440
155.000000	3.386
157.500000	3.331
160.000000	3.275
162.500000	3.219
165.000000	3.164
167.500000	3.110
170.000000	3.056
172.500000	3.003
175.000000	2.951
177.500000	2.900
180.000000	2.851
182.500000	2.802
185.000000	2.755
187.500000	2.709
190.000000	2.664
192.500000	2.622
195.000000	2.583
197.500000	2.547
200.000000	2.517
203.000000	2.488
206.000000	2.466
209.000000	2.449
212.000000	2.434
214.000000	2.426
218.000000	2.410
220.000000	2.404
224.000000	2.391
227.000000	2.382
230.000000	2.373
233.000000	2.364
236.000000	2.355
240.000000	2.340
243.000000	2.326
247.000000	2.302
250.000000	2.275
254.000000	2.229
258.000000	2.173
262.000000	2.110
265.000000	2.061
269.000000	1.994
272.000000	1.943
276.000000	1.876
280.000000	1.809
285.000000	1.727
290.000000	1.650
295.000000	1.580
300.000000	1.522
304.000000	1.485
307.000000	1.461
311.000000	1.434
315.000000	1.410
320.000000	1.382
325.000000	1.355
330.000000	1.330
335.000000	1.305
340.000000	1.282
345.000000	1.258
350.000000	1.236
355.000000	1.213
360.000000	1.191
365.000000	1.168
370.000000	1.146
375.000000	1.123
382.000000	1.089
387.000000	1.064
395.000000	1.017
400.000000	0.981
406.000000	0.931
412.000000	0.873
418.000000	0.812
425.000000	0.738
431.000000	0.673
437.000000	0.609
444.000000	0.534
450.000000	0.470
455.000000	0.418
462.000000	0.346
468.000000	0.286
475.000000	0.219
482.000000	0.156
487.000000	0.114
494.000000	0.062
500.000000	0.025
508.000000	-0.010
515.000000	-0.031
522.000000	-0.045
530.000000	-0.054
538.000000	-0.059
545.000000	-0.060
552.000000	-0.058
560.000000	-0.053
570.000000	-0.043
580.000000	-0.031
590.000000	-0.018
600.000000	-0.009
608.000000	-0.004
615.000000	-0.002
622.000000	-0.001
630.000000	-0.000
640.000000	-0.000
650.000000	-0.000
660.000000	-0.000
670.000000	-0.000
680.000000	-0.000
690.000000	-0.000
700.000000	-0.000
710.000000	-0.000
720.000000	-0.000
730.000000	-0.000
740.000000	-0.000
750.000000	-0.000
762.000000	-0.000
775.000000	-0.001
788.000000	-0.003
800.000000	-0.009
812.000000	-0.017
825.000000	-0.030
838.000000	-0.043
850.000000	-0.054
862.000000	-0.065
875.000000	-0.074
885.000000	-0.080
900.000000	-0.085
912.000000	-0.087
925.000000	-0.085
938.000000	-0.080
950.000000	-0.071
962.000000	-0.058
975.000000	-0.038
988.000000	-0.012
1000.000000	0.020
1015.000000	0.069
1030.000000	0.126
1044.000000	0.182
1060.000000	0.249
1075.000000	0.313
1090.000000	0.379
1106.000000	0.450
1120.000000	0.513
1138.000000	0.596
1150.000000	0.652
1172.000000	0.756
1180.000000	0.794
1206.000000	0.921
1220.000000	0.990
1241.000000	1.096
1250.000000	1.141
1265.000000	1.218
1280.000000	1.296
1315.000000	1.480
1320.000000	1.506
1340.000000	1.614
1360.000000	1.722
1380.000000	1.832
1400.000000	1.942
1430.000000	2.110
1450.000000	2.223
1475.000000	2.366
1500.000000	2.511
1525.000000	2.659
1550.000000	2.809
1575.000000	2.959
1600.000000	3.111
1625.000000	3.262
1650.000000	3.414
1675.000000	3.565
1700.000000	3.715
1725.000000	3.865
1750.000000	4.014
1775.000000	4.162
1800.000000	4.308
1825.000000	4.453
1850.000000	4.596
1875.000000	4.736
1900.000000	4.875
1925.000000	5.010
1950.000000	5.141
1975.000000	5.265
2000.000000	5.381
2030.000000	5.508
