* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jul 28, 2023 11:22:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = Delta 10dB B = EQ Flat @ 0
* Measurement: A times B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.065
20.299999	5.055
20.600000	5.044
20.900000	5.035
21.200001	5.027
21.400000	5.021
21.799999	5.010
22.000000	5.005
22.400000	4.993
22.700001	4.984
23.000000	4.975
23.299999	4.965
23.600000	4.955
24.000000	4.942
24.299999	4.932
24.700001	4.918
25.000000	4.908
25.400000	4.895
25.799999	4.881
26.200001	4.868
26.500000	4.858
26.900000	4.844
27.200001	4.834
27.600000	4.820
28.000000	4.807
28.500000	4.790
29.000000	4.773
29.500000	4.757
30.000000	4.740
30.400000	4.727
30.700001	4.717
31.100000	4.703
31.500000	4.690
32.000000	4.673
32.500000	4.657
33.000000	4.640
33.500000	4.624
34.000000	4.607
34.500000	4.591
35.000000	4.575
35.500000	4.560
36.000000	4.544
36.500000	4.528
37.000000	4.513
37.500000	4.499
38.200001	4.479
38.700001	4.464
39.500000	4.442
40.000000	4.428
40.599998	4.413
41.200001	4.398
41.799999	4.383
42.500000	4.367
43.099998	4.353
43.700001	4.340
44.400002	4.324
45.000000	4.312
45.500000	4.301
46.200001	4.287
46.799999	4.275
47.500000	4.262
48.200001	4.249
48.700001	4.240
49.400002	4.227
50.000000	4.217
50.799999	4.203
51.500000	4.191
52.200001	4.179
53.000000	4.166
53.799999	4.153
54.500000	4.141
55.200001	4.130
56.000000	4.117
57.000000	4.101
58.000000	4.084
59.000000	4.068
60.000000	4.052
60.799999	4.039
61.500000	4.027
62.200001	4.015
63.000000	4.002
64.000000	3.986
65.000000	3.969
66.000000	3.953
67.000000	3.937
68.000000	3.920
69.000000	3.903
70.000000	3.886
71.000000	3.869
72.000000	3.852
73.000000	3.834
74.000000	3.817
75.000000	3.800
76.199997	3.780
77.500000	3.757
78.800003	3.735
80.000000	3.715
81.199997	3.695
82.500000	3.674
83.800003	3.652
85.000000	3.633
86.199997	3.613
87.500000	3.592
88.500000	3.576
90.000000	3.551
91.199997	3.532
92.500000	3.511
93.800003	3.491
95.000000	3.471
96.199997	3.452
97.500000	3.431
98.800003	3.410
100.000000	3.390
101.500000	3.366
103.000000	3.341
104.400002	3.318
106.000000	3.292
107.500000	3.267
109.000000	3.243
110.599998	3.217
112.000000	3.194
113.800003	3.165
115.000000	3.145
117.199997	3.109
118.000000	3.096
120.599998	3.055
122.000000	3.033
124.099998	3.000
125.000000	2.986
126.500000	2.964
128.000000	2.941
131.500000	2.889
132.000000	2.882
134.000000	2.853
136.000000	2.825
138.000000	2.799
140.000000	2.772
143.000000	2.734
145.000000	2.709
147.500000	2.679
150.000000	2.650
152.500000	2.621
155.000000	2.594
157.500000	2.568
160.000000	2.543
162.500000	2.517
165.000000	2.492
167.500000	2.469
170.000000	2.445
172.500000	2.422
175.000000	2.400
177.500000	2.379
180.000000	2.358
182.500000	2.337
185.000000	2.317
187.500000	2.297
190.000000	2.278
192.500000	2.259
195.000000	2.241
197.500000	2.224
200.000000	2.207
203.000000	2.187
206.000000	2.168
209.000000	2.150
212.000000	2.132
214.000000	2.120
218.000000	2.098
220.000000	2.088
224.000000	2.068
227.000000	2.055
230.000000	2.042
233.000000	2.029
236.000000	2.017
240.000000	2.002
243.000000	1.992
247.000000	1.978
250.000000	1.968
254.000000	1.956
258.000000	1.944
262.000000	1.932
265.000000	1.923
269.000000	1.911
272.000000	1.903
276.000000	1.892
280.000000	1.881
285.000000	1.867
290.000000	1.854
295.000000	1.842
300.000000	1.829
304.000000	1.820
307.000000	1.813
311.000000	1.803
315.000000	1.794
320.000000	1.784
325.000000	1.773
330.000000	1.763
335.000000	1.754
340.000000	1.744
345.000000	1.736
350.000000	1.727
355.000000	1.719
360.000000	1.712
365.000000	1.704
370.000000	1.696
375.000000	1.688
382.000000	1.677
387.000000	1.670
395.000000	1.657
400.000000	1.648
406.000000	1.638
412.000000	1.627
418.000000	1.616
425.000000	1.603
431.000000	1.592
437.000000	1.580
444.000000	1.566
450.000000	1.555
455.000000	1.545
462.000000	1.532
468.000000	1.521
475.000000	1.507
482.000000	1.494
487.000000	1.485
494.000000	1.471
500.000000	1.460
508.000000	1.444
515.000000	1.430
522.000000	1.416
530.000000	1.401
538.000000	1.386
545.000000	1.372
552.000000	1.360
560.000000	1.345
570.000000	1.328
580.000000	1.311
590.000000	1.296
600.000000	1.280
608.000000	1.268
615.000000	1.256
622.000000	1.246
630.000000	1.233
640.000000	1.217
650.000000	1.200
660.000000	1.183
670.000000	1.165
680.000000	1.147
690.000000	1.128
700.000000	1.108
710.000000	1.088
720.000000	1.069
730.000000	1.050
740.000000	1.032
750.000000	1.015
762.000000	0.996
775.000000	0.978
788.000000	0.963
800.000000	0.951
812.000000	0.942
825.000000	0.935
838.000000	0.930
850.000000	0.928
862.000000	0.928
875.000000	0.930
885.000000	0.933
900.000000	0.939
912.000000	0.945
925.000000	0.954
938.000000	0.966
950.000000	0.979
962.000000	0.995
975.000000	1.015
988.000000	1.040
1000.000000	1.068
1015.000000	1.108
1030.000000	1.154
1044.000000	1.201
1060.000000	1.259
1075.000000	1.317
1090.000000	1.374
1106.000000	1.434
1120.000000	1.484
1138.000000	1.546
1150.000000	1.584
1172.000000	1.650
1180.000000	1.672
1206.000000	1.742
1220.000000	1.779
1241.000000	1.832
1250.000000	1.855
1265.000000	1.893
1280.000000	1.930
1315.000000	2.021
1320.000000	2.034
1340.000000	2.089
1360.000000	2.148
1380.000000	2.211
1400.000000	2.278
1430.000000	2.390
1450.000000	2.473
1475.000000	2.585
1500.000000	2.705
1525.000000	2.832
1550.000000	2.958
1575.000000	3.079
1600.000000	3.188
1625.000000	3.282
1650.000000	3.360
1675.000000	3.426
1700.000000	3.483
1725.000000	3.537
1750.000000	3.593
1775.000000	3.656
1800.000000	3.729
1825.000000	3.814
1850.000000	3.912
1875.000000	4.023
1900.000000	4.147
1925.000000	4.284
1950.000000	4.434
1975.000000	4.596
2000.000000	4.768
2030.000000	4.986
2060.000000	5.210
2090.000000	5.434
2120.000000	5.651
2140.000000	5.788
2180.000000	6.046
2200.000000	6.166
2240.000000	6.396
2270.000000	6.562
2300.000000	6.726
2330.000000	6.888
2360.000000	7.047
2400.000000	7.254
2430.000000	7.403
2470.000000	7.589
2500.000000	7.720
2540.000000	7.883
2580.000000	8.039
2620.000000	8.197
2650.000000	8.323
2690.000000	8.502
2720.000000	8.640
2760.000000	8.820
2800.000000	8.986
2850.000000	9.165
2900.000000	9.313
2950.000000	9.428
3000.000000	9.517
3040.000000	9.570
3070.000000	9.600
3110.000000	9.628
3150.000000	9.643
3200.000000	9.644
3250.000000	9.627
3300.000000	9.593
3350.000000	9.542
3400.000000	9.477
3450.000000	9.398
3500.000000	9.309
3550.000000	9.210
3600.000000	9.102
3650.000000	8.987
3700.000000	8.865
3750.000000	8.737
3820.000000	8.551
3870.000000	8.414
3950.000000	8.192
4000.000000	8.053
4060.000000	7.889
4120.000000	7.729
4180.000000	7.574
4250.000000	7.404
4310.000000	7.269
4370.000000	7.144
4440.000000	7.012
4500.000000	6.911
4550.000000	6.833
4620.000000	6.732
4680.000000	6.650
4750.000000	6.554
4820.000000	6.452
4870.000000	6.372
4940.000000	6.251
5000.000000	6.136
5080.000000	5.974
5150.000000	5.831
5220.000000	5.697
5300.000000	5.564
5380.000000	5.458
5450.000000	5.384
5520.000000	5.322
5600.000000	5.257
5700.000000	5.174
5800.000000	5.087
5900.000000	4.996
6000.000000	4.904
6080.000000	4.834
6150.000000	4.776
6220.000000	4.722
6300.000000	4.668
6400.000000	4.612
6500.000000	4.568
6600.000000	4.538
6700.000000	4.521
6800.000000	4.515
6900.000000	4.517
7000.000000	4.526
7100.000000	4.537
7200.000000	4.547
7300.000000	4.552
7400.000000	4.549
7500.000000	4.534
7620.000000	4.496
7750.000000	4.425
7880.000000	4.318
8000.000000	4.187
8120.000000	4.020
8250.000000	3.802
8380.000000	3.547
8500.000000	3.283
8620.000000	2.995
8750.000000	2.665
8850.000000	2.406
9000.000000	2.023
9120.000000	1.734
9250.000000	1.446
9380.000000	1.186
9500.000000	0.961
9620.000000	0.731
9750.000000	0.455
9880.000000	0.127
10000.000000	-0.224
10150.000000	-0.713
10300.000000	-1.226
10440.000000	-1.703
10600.000000	-2.265
10750.000000	-2.857
10900.000000	-3.549
11060.000000	-4.379
11200.000000	-5.124
11380.000000	-6.008
11500.000000	-6.507
11720.000000	-7.208
11800.000000	-7.398
12060.000000	-7.809
12200.000000	-7.913
12410.000000	-7.933
12500.000000	-7.907
12650.000000	-7.833
12800.000000	-7.740
13150.000000	-7.518
13200.000000	-7.491
13400.000000	-7.412
13600.000000	-7.386
13800.000000	-7.418
14000.000000	-7.512
14300.000000	-7.749
14500.000000	-7.950
14750.000000	-8.224
15000.000000	-8.481
15250.000000	-8.686
15500.000000	-8.812
15750.000000	-8.850
16000.000000	-8.803
16250.000000	-8.688
16500.000000	-8.524
16750.000000	-8.328
17000.000000	-8.116
17250.000000	-7.901
17500.000000	-7.695
17750.000000	-7.512
18000.000000	-7.371
18250.000000	-7.285
18500.000000	-7.268
18750.000000	-7.327
19000.000000	-7.456
19250.000000	-7.640
19500.000000	-7.891
19750.000000	-8.497
20000.000000	-10.886
